-32.9 -14.9 -5.0,-21.2 -13.3 -3.7,-27.8 4.8 8.1,44.4 3.4 4.2,11.8 0.0 -0.5,-5.5 0.2 -46.1,21.9 43.9 8.9,11.8 11.7 0.3,4.8 -4.9 37.6,24.8 -53.1 -12.5
-27.378058772068517 -17.334792966227425 1.8263429057694378,-20.742368458567533 -10.682022770114465 -4.272684715942197,-25.686629562475588 3.035192291628263 8.192573804787822,43.35598031076172 2.2316883818387314 2.7039525462962417,6.949703975187089 -2.8444159201911816 -3.7063201643025216,-8.892351359443385 4.335849418785669 -46.877650815827316,22.437092536450272 45.580505573082654 9.516072906044908,7.591140379506196 9.054580955336872 -2.2729272089432704,2.7165796970555527 1.8269414567326667 43.81409456674474,20.190877182941726 -39.58156997875009 -7.389073132501917
-26.724354420488822 -17.997573560869288 0.8472314629172724,-21.889008045128833 -10.778107337508832 -3.812010590570016,-26.161463528310108 1.8470863368663957 8.57014117633606,45.41772371783121 3.57147558324049 3.2409389397698125,6.642721670397957 -2.5417065148095395 -5.153676373321956,-9.859624050797752 -0.6083139077254685 -46.4539752260422,22.675159748988833 46.24844770807625 9.7492716833851,7.540162763176317 9.362492271462424 -3.4521000785504743,1.9691159449785596 -1.132100290076022 44.52057842648381,20.731234094790427 -40.99191853552992 -7.8960924693365255
-26.374216711121512 -18.904375465595702 -0.2023518874479107,-23.617969713820766 -11.849629959695251 -3.5719910353491446,-26.450622506909898 1.0550452194125544 9.008007772789101,47.3486792656387 4.821215504987242 3.9586701762901977,5.7412755901800745 -2.0365192831672294 -6.05443883331938,-9.477278108484219 -6.153334935889931 -47.09562569870967,22.689300103257885 46.3312367675588 9.78124506988499,6.825078075082722 9.790150981293975 -4.5467901049158606,1.5887210887250345 -4.338822781736042 45.18057122682784,21.281367763377094 -42.40096982640402 -8.395134714875198
-27.525020111233598 -19.488294765956226 -0.7146003284140658,-26.19054191655479 -13.948437542254743 -3.9496639162751106,-27.342021326049178 1.2687275725244516 9.259101541916117,49.713657928428624 5.038675506873483 4.317204749074828,4.921215232965343 -1.5260889157294255 -5.7177331228698565,-7.3844330613883855 -8.031939235478387 -49.221077157879556,22.077873390844484 44.70859876552686 9.207546412446947,5.974086487924006 10.194830400348145 -4.712345135903838,1.9172905409803793 -6.319738278641073 44.74061506684464,21.66235847596191 -43.34866704307477 -8.724710243310536
-29.788827123762964 -19.733885657445736 -0.756217756640692,-28.895378766562743 -16.229644676599342 -4.908467580032981,-28.912772509254914 2.335706317727954 9.080803155260554,52.42844663156818 4.236001561475743 4.246526140894445,4.583991464307093 -1.0802952578249259 -4.455138698074836,-4.550530803064206 -6.008438241170578 -51.96079861838669,21.040825752484153 41.910605206760614 8.213149153894612,5.423111775957569 10.566214703448466 -3.951087087926798,2.6898924133499347 -7.248264623670446 43.22488132271329,21.86600025410432 -43.83874525569348 -8.888063652767176
-31.946953099200773 -19.914681580552447 -0.7473702687849494,-30.511447182750715 -17.37845351213279 -6.184622277390736,-30.867508586530654 3.7042004643935353 8.232826634318014,55.06872581500966 2.9254603322910193 3.922871477789414,4.987262705098955 -0.7022807066789875 -3.1035484693921527,-2.6421388030731032 -1.9598054708691597 -53.7703085077423,20.093351152527617 39.33215410834255 7.291899108735732,5.559722337989207 10.963375004265428 -2.7091756276157284,3.3236005905976778 -8.16084356527124 41.22224880580353,21.973545820139215 -44.11797925846503 -8.974764813947862
-32.88682367425841 -20.26987291368611 -1.0788215492806126,-29.96574370184421 -16.23479441305588 -7.519137838360102,-32.900120860398616 4.851076893774565 6.531674187166065,57.222323765321825 1.6054741745248289 3.526784657642569,6.330004090417551 -0.3938744563827545 -2.431862955043238,-3.138277412201846 2.277076586148627 -53.27949359780351,19.709730765712028 38.25872222924346 6.899167245520902,6.704307332550902 11.437038803019822 -1.4155986008866848,3.3053926883930926 -9.98047222933666 39.31492082128317,22.063482491119785 -44.42164570686516 -9.070633364554585
-32.69883267985953 -20.647427840540487 -1.7964972704063362,-27.8028795124225 -13.32354780688401 -8.72502901821407,-34.62533759618925 5.594320461447941 4.395943373652118,58.63765308517726 0.580954579037521 3.261506877370398,8.202197084859739 -0.14920574385514915 -2.4388093254998586,-5.463724748130273 5.487707825560612 -51.03063524218734,19.90089148606567 38.73452047851052 7.053422828318421,8.469244842029434 11.9429631025489 -0.27579297487678517,2.893343822539797 -12.346377069809412 37.9615967797423,22.176618091666523 -44.840386713635496 -9.213656489416007
-32.197924241864 -20.659680587128026 -2.7386264382992342,-25.541758538926615 -10.184443118139399 -9.658679291436925,-35.61020699402327 5.957372102455738 2.60687506107216,59.15984665144629 0.04026103264709596 3.3439499652395943,9.827024973583136 0.04223389452176951 -2.6592377103038567,-7.805984474376435 6.832450373610563 -48.71785410739973,20.398680941545866 40.05614271098846 7.509988297894217,10.040476375918649 12.379703973678168 0.6394494517291964,2.8099627687126842 -14.124566741967765 37.5465894341083,22.331066008187456 -45.37773069965111 -9.413011785539906
-32.151292948541645 -19.965305064312773 -3.734030070719941,-24.61849886979503 -8.27995192172297 -10.187677449598702,-35.464507006750715 5.969346519777265 1.9036356119430455,58.672065774207475 0.1519081292768205 3.9644705508285343,10.47451231660214 0.18973539083505028 -2.653875221079288,-8.466212011917849 5.606909139757996 -47.91628380131405,20.942112898724464 41.537307034025176 8.030091587800166,10.652579743520805 12.650015936346017 1.2580629049571457,3.7277451330291207 -14.246029364919481 38.408816506299395,22.540827431342198 -46.02827847677415 -9.673442169491167
