-32.9 -14.9 -5.0,-21.2 -13.3 -3.7,-27.8 4.8 8.1,44.4 3.4 4.2,11.8 0.0 -0.5,-5.5 0.2 -46.1,21.9 43.9 8.9,11.8 11.7 0.3,4.8 -4.9 37.6,24.8 -53.1 -12.5
-31.022291177711384 -16.096685095207718 -10.42392938785824,-26.293359180242042 -10.600705157972977 -8.82879450729967,-22.558332446820526 3.0424437073575574 8.229328183546706,42.39303705280463 8.763355644606415 15.367407336488036,3.302431241731988 2.2954632530790238 -0.3747536549241979,1.3390003726659823 -12.27552856293586 -50.63912785424811,22.384611600682437 45.438832295005035 9.452899258733458,3.5908699112575144 13.388985897528348 -2.736986048754805,7.272047079485498 -12.65651382011022 43.70250077895913,27.30235933553726 -63.55559147219138 -17.12983761322249
-32.36113452837202 -19.262142325655173 -9.76639049444939,-27.777524003278916 -14.360609363722507 -7.071128020296106,-23.212141621068078 2.987928587668117 10.836844637230621,43.04096273717552 9.949449393071994 15.160751071617145,2.5401001364701483 2.8055703677575545 -1.5175795015406661,2.801474359956609 -19.773787537073698 -49.27947780569723,22.08675750988456 44.55051369927964 9.107914745819787,3.032600537058695 14.001866478844601 -3.4896573847518413,10.991846664345328 -14.812518878550708 42.854049148043664,28.059970342477236 -67.17954132550305 -18.817428348683837
-33.45598042804245 -20.936742376638993 -8.9407421902174,-29.18626995014107 -16.227295797771326 -5.851697020894668,-23.949153768940057 2.892149800981657 12.108531202596016,44.20161657796812 10.391969757747217 14.323023016585967,2.1927224066430915 2.885527535374702 -2.3349351007711276,3.2824696052902635 -23.781746147440547 -48.58818962002834,21.895358275341735 43.98680245587607 8.895642437307322,2.7950205586159544 14.192239042420518 -3.800193226160367,13.375724409939755 -14.557435270119484 42.94766024671072,28.290226232219666 -68.3615321882689 -19.38349240447162
-33.693235490604685 -20.043152696711736 -8.300587442600584,-29.86815227640392 -14.860855018643532 -5.96978596416798,-24.434007011962333 2.777081872226963 10.964321872219156,45.597235723802015 9.713178167883228 13.281267572718907,2.382763620414122 2.4188482674278036 -2.342754409983894,2.2858199489237383 -21.39809312183374 -49.03624746828193,21.98410692888791 44.259360716744496 9.014173876837562,2.926939566399101 13.770992366923402 -3.4929143456287908,12.682107115365156 -11.184191886903086 44.0120528493195,27.804800334373052 -66.14665480555112 -18.36917816900652
-33.25440699494002 -17.57625910757332 -7.89141141969985,-29.82233613733264 -11.554927391677246 -7.062799593165483,-24.73673973166501 2.596364674179898 8.773203115431656,46.88579207527326 8.537732933335265 12.441311708997867,2.9599923069711 1.6716664623130075 -1.817388526282223,0.5045337062088252 -14.909313956736767 -50.11441562264065,22.193882398540346 44.888612118277095 9.271784098069345,3.363857440103846 12.988380064429318 -2.9587450925081153,10.086325464918806 -6.99670794030211 45.17482065247613,27.049730455681285 -62.550028426882136 -16.702900426690018
-32.47868852931031 -14.941914686960525 -7.697591517206571,-29.177018420752816 -8.125444191306261 -8.537714940272117,-25.007790355616116 2.2900869082331803 7.389858840394969,47.7125146730401 7.6890876084911355 12.204770864177306,3.7200945645969035 0.985997605019513 -1.1859961219803596,-1.1325433492680321 -7.630751619490234 -51.119060251199386,22.29955978616822 45.198397550354905 9.399439604309597,4.018801427130425 12.181791398536514 -2.7009781672540734,7.342197119357523 -4.896036954283952 45.3848496755898,26.59686087848261 -60.175786474595 -15.588195921068198
-31.608795020067568 -13.284149700092478 -7.670719396433036,-28.057304808073894 -5.996301708699757 -9.885970508051019,-25.353174269550767 1.8785629709695266 8.07480605760912,47.882824148524286 7.705390433916018 12.743073305723957,4.460687274052485 0.6174477007464692 -0.76986190559617,-2.002989467199833 -2.307251797703335 -51.56178436077056,22.15999685688039 44.7673118719065 9.228763387971275,4.769066098653965 11.618836138369376 -3.03533720002972,5.815085306483587 -6.6080036797371795 44.06214858048642,26.79772867307307 -60.68227514014113 -15.79744016943647
-30.530078676949856 -12.777187102461674 -7.640946403579761,-26.576850967815155 -5.139275280467557 -10.911855120935382,-25.714361263365493 1.6792680177114465 9.88773215922031,47.79550033735624 8.068001755383312 13.375020292886827,4.986539049527728 0.501556889063357 -0.49810711061600244,-2.6193957511811616 0.4294957631669035 -51.75144104307498,21.945128168204818 44.11757383386728 8.964216079134337,5.359590062417813 11.308656644658653 -3.5827788001290974,5.431494871392115 -9.505315414670465 42.371792388946915,27.187839859705637 -62.224588315697396 -16.505961797462593
-29.045168146717565 -13.370755484780428 -7.410312458869861,-24.84666207973926 -5.189998240567726 -11.492077282582425,-25.99473154086619 2.078465008432752 11.37886885251195,47.986675924850374 8.013652985919416 13.222044023365756,5.104074013308935 0.49977535118225014 -0.20907360710605058,-3.757090022810731 0.4369619954157353 -52.181433608817606,21.896897414135594 43.9898355234683 8.896564059335486,5.504673707998201 11.200564344627194 -3.8034324935113504,5.78485872272772 -9.95300470810217 41.88281014542068,27.113802756602173 -62.14687488230025 -16.519399468834997
-27.10213009750566 -14.921252730606795 -6.825155051787334,-23.03521900404665 -5.811062440742787 -11.556309969526852,-26.106621680398362 3.278097055086066 11.497001441067455,48.81949921525976 7.045123342754128 11.7441351047012,4.706006218111728 0.49180828469724247 0.1936246995131703,-5.880205841281887 -2.102690882232165 -53.184012016217636,22.183600246847075 44.89575710981271 9.228340669205823,5.035037732673174 11.230928306737162 -3.346213633226402,6.488832247176354 -5.540993847271401 43.6931279855445,26.126084057632404 -58.59573364647793 -15.000806694715585
-25.27731804277517 -16.881891538388224 -5.923175524153369,-21.559295403630813 -6.781519527315558 -11.263030712051084,-26.001059465343523 4.6838523787108315 10.912651947287443,49.90983241776749 5.81450866630205 9.863843888213145,4.057819008068505 0.4362218792981254 0.524401137737069,-8.108529121599949 -5.604646364864581 -54.39524973202318,22.655375515897173 46.35776218902245 9.780915792942,4.284334234784717 11.280207090768055 -2.6755853267842964,7.244431184742642 0.849316749722721 46.865524993280594,24.65581106053403 -53.18431725985633 -12.657255839585707
-24.31670664367419 -18.597035067006495 -4.793738493092044,-20.90269755629436 -7.911862269661267 -10.832488333743191,-25.639518300621223 5.486451038187906 10.761166638156594,50.671789883807634 5.284190466860448 8.898573910747185,3.525633764703338 0.31287274653617964 0.5215437048441287,-9.198906793187502 -8.105407681379903 -55.263270632195045,23.07646798853774 47.63120614770427 10.272755070576144,3.7219937426880554 11.21376486972195 -2.476187416468779,7.776256304311717 4.9079648538905705 49.91334334939138,23.37186657784207 -48.461657974436285 -10.612664299617084
-24.752381072939937 -19.50405450788545 -3.562801958803063,-21.372618940022207 -8.996290546621191 -10.445330793401725,-25.073993346106914 5.090621861961275 11.859125268418767,50.71139664441179 6.1211590298594745 9.771808455276584,3.4077155016963636 0.11083345058912042 0.015543429696254997,-8.269741689959362 -8.184361119875541 -55.372658500040664,23.267481941334548 48.15477368129677 10.491214371720151,3.718871807081177 10.936483178249361 -3.229115945280517,7.929197694168374 3.55209930189874 51.570464618345774,22.803559715218853 -46.446038411603105 -9.756938515626327
-26.037929856147304 -19.50929895019718 -2.5408326673355783,-22.385722679069875 -9.746849007925352 -10.082523905716796,-24.812911838509496 3.980195343366363 13.415771998736368,50.60235436205171 7.502945157284658 11.420757117906126,3.6601728468447385 -0.13435602737365632 -0.6981923517935853,-6.262518827351707 -7.158272396568565 -54.99607626347666,23.333206893363165 48.291561886255096 10.571019114974439,4.1487740559519315 10.55250097410866 -4.389131828890805,8.154671848180564 -0.1136234234547917 51.68282734122821,22.77641596826327 -46.47949758698392 -9.800011428951567
-27.28778384490991 -18.666598194674695 -2.096320314770588,-23.07862447783539 -9.849746732574417 -9.662238916933994,-25.508236408836453 2.978349911214603 14.134887942855334,51.22267251168007 8.138685414390396 12.158000790273736,4.131515610394916 -0.37254297548641857 -1.1780528512483033,-4.692032663859202 -7.204738127830762 -54.62256890668377,23.467800843496825 48.69537025531413 10.756132933587487,4.729197522289233 10.228618220373908 -5.088241679185505,9.09483121239093 -1.038745054636541 50.44608153805429,22.894640151801383 -47.062469158719665 -10.080746614631014
-27.74769284206608 -17.093477893460577 -2.4847231532679674,-22.763959233841902 -9.078088893514169 -9.13749076233499,-27.561178949892767 2.7624087535805777 13.025959923893815,53.14926305554523 7.036048442891347 10.69274914530291,4.669135956032019 -0.5650458167814015 -1.0760572742415642,-4.772886025374809 -9.98942419226213 -54.65807990114296,23.82158358019888 49.869558897083515 11.23356894333567,5.204791431502766 10.096396070599917 -4.642819046414002,11.156333529939195 4.559725196217227 48.13540301138083,22.834772406620765 -46.95953359084656 -10.052933591527758
-27.438609087374754 -15.282801713806839 -3.29475532725277,-21.793063164852246 -7.717518500388062 -8.666925211569035,-29.8938038172535 3.1487623513882212 10.9025061805647,55.182617015275646 4.964346979127618 8.074731676680525,5.114066164263837 -0.7408670970647088 -0.5967358908642937,-5.948024349741932 -14.15695834771465 -55.017983833987856,24.28614037415427 51.42962427311234 11.85423125495999,5.480675416373708 10.07943485150916 -3.4572627540887435,13.356562076218497 12.985517941021374 45.49422959080023,22.700437251192593 -46.49492666607353 -9.848952881116851
-26.664689997311864 -13.864555787801818 -3.8715489516531525,-20.89674187229528 -6.240924321757342 -8.484311271793366,-30.88779749908689 3.6392761171953456 9.23711284342871,55.474244472230104 3.336476265594396 6.208741404573116,5.305015055617444 -0.9537364437899838 -0.14646817370255194,-7.013152406085665 -17.24829066205013 -55.43843546412853,24.65853285765319 52.6666990799631 12.346233072421892,5.520593860990801 10.025360434755033 -2.3334605590788042,14.205355642229542 17.809961132772003 43.43706955640974,22.751286198866232 -46.56267399116756 -9.8490950676651
-25.73018240275803 -13.397487383469553 -3.6564571271793653,-20.695023807437547 -5.105608249663662 -8.760346967157428,-29.2632328058979 3.8093503375743234 9.243816718420717,52.58937436400716 3.3162528934792888 6.6307401345090895,5.114442476316589 -1.2411764238174943 -0.07677782228735977,-6.968351080301319 -17.174949514623908 -55.65409176624315,24.772398505811644 53.00165612345013 12.487782696909363,5.303819047342886 9.813188489236438 -1.9594091077727145,12.52787508621097 13.85008029702685 42.740960014916126,23.18346036696402 -47.849905253669355 -10.348835811308806
-24.93705825195795 -13.945786102422653 -2.759419110009733,-21.037196568039718 -4.65905750114331 -9.22834896363868,-26.08820960298928 3.7466500147599033 10.340092509035541,47.96386767547405 4.336651049422282 8.314689972815106,4.648476085259582 -1.5282623132049205 -0.35738268332312817,-6.235124309692107 -14.425097797511578 -55.39107250112922,24.71553974452548 52.7568185226467 12.405130300626372,4.9165172825469545 9.540009295117663 -2.230623435045782,9.337308741887442 4.574258572885 43.229535262818516,23.751850949561685 -49.605674975364906 -11.053979730757185
-24.58632710645353 -15.36441944646065 -1.5732188251111552,-21.446486645677762 -5.202302310649304 -9.436600204373203,-23.424158127807015 3.7555531993331006 11.183381213811863,44.248003255198874 5.098413864072132 9.150701751856216,4.11209646335328 -1.6924986800867854 -0.7964780396665656,-5.836307556146066 -10.57694091919312 -54.371885770244944,24.68328321438302 52.635867002071116 12.371764802686242,4.490076278449323 9.395169367141111 -2.707360064815117,6.572487661640987 -2.889173175402148 44.32309354206293,24.024678825513845 -50.47066149402194 -11.420871731797474
-24.913816543362458 -17.45741555759914 -0.46889565625398366,-21.50025983667802 -6.931054982485146 -8.996844881144119,-23.068173303570795 4.092130801109226 10.600978082405721,43.737695449100094 4.474725629992533 7.348915889451632,3.7026693077036907 -1.6344422737980668 -1.2165645919410635,-6.638928547219939 -7.081142015229613 -52.417083610799516,24.841351412541673 53.234374835204235 12.618460956926924,4.155356322479051 9.535205341883868 -2.9925654712132936,5.928512246459979 -2.395487007209325 45.480974069742935,23.635302956714398 -49.28996998021842 -10.986504090417695
-25.623040965998506 -19.61888821982267 0.3683551873151742,-21.22755567500139 -9.182252409205276 -8.0445165148866,-24.62952727800865 4.611603249988884 8.829564144567883,45.79931369028534 2.7684721343946848 3.764793083785056,3.5524839480170542 -1.4443056420285123 -1.5616903858904425,-8.219979801494436 -4.314907094000876 -50.148048311072785,25.110551062028115 54.253869549431286 13.02284888944879,4.037590170767314 9.84600253316783 -3.047621468568398,7.082914270579345 4.060122564073318 46.49313747241681,22.754514114388417 -46.59601863113589 -9.953798122795126
-26.15758274178343 -21.0427873307648 0.844087433291108,-20.877968961620784 -10.873485782120557 -6.970769582169353,-26.64916389853496 4.973453041025115 6.794032808036032,48.36871129672927 0.9806718399710321 0.5455213843437065,3.7620524943118214 -1.3049115104817044 -1.835255838060555,-9.526521131122305 -2.1312659641563863 -48.57721285620652,25.292094896982896 54.95931023385797 13.290115873968519,4.259262618772351 10.081285427687707 -3.0089362134026922,8.728033432380748 10.507683169463837 47.31098899289677,21.815534569162693 -43.74515173065821 -8.850852690383839
-26.01122688227251 -21.01034738695048 0.8707983556733292,-20.662449143188812 -11.03501855126501 -6.152087205889982,-27.76155954396609 4.880751556068549 5.364842565009385,49.51569257967617 0.03701236256520871 -0.3552799148107059,4.401103538621435 -1.376754774196374 -2.029611002691449,-9.616957890428907 -0.42623743302536343 -48.60350184727095,25.205907136570612 54.686078180680745 13.154367449889937,4.908682938980144 10.023237553489652 -2.9949589486642,9.638374976221098 11.560684034688752 47.88801825398078,21.226652041759156 -42.012073128928094 -8.174413106232743
-25.18184307010108 -19.662691840649817 0.42238390131598935,-20.402563753926493 -9.817682751047474 -5.8058312751930075,-27.578709980411105 4.472279031587703 4.839181477861724,48.7034661519984 0.08654919654829901 1.053371359572219,5.2428237369032145 -1.5976469325984386 -2.0260088829410345,-8.671224633682838 0.4526990254478296 -49.999018470202245,24.86128570193204 53.481389240202034 12.64156923635917,5.742806241932603 9.738801953630514 -2.938425158033006,9.45023285654647 7.753796309182933 48.187331901193005,21.137029647010028 -41.82538373464675 -8.095708710410383
-23.950585424035047 -17.62418271879789 -0.49275528675827784,-19.701056305363835 -8.0020451762894 -6.059941065193527,-26.261955249500442 4.131674443621697 5.192072306626952,46.17830302567452 0.8418877610672456 3.6594987271764103,5.893749735761041 -1.780256341945712 -1.6432683964312824,-7.499530520268457 -0.09564697220589702 -51.902617197933296,24.373952346274358 51.79249454048668 11.941705762166382,6.332373927834564 9.454950220477658 -2.6677032999765857,8.28420722239165 2.9492644226602316 48.17744113412662,21.550208202386777 -43.138193316979056 -8.603036065720593
-22.607101719123367 -15.514279613283508 -1.8362524496303254,-18.232010288459453 -6.341191712988395 -7.004174010695727,-24.04422736078743 4.207459572724594 6.361317799369088,42.29930184737445 1.9978115687270361 6.367094708536462,5.992813589385796 -1.7546249136008827 -0.7400618917275946,-6.861302559370836 -2.5867741277268044 -53.486234230516295,23.854319404946917 50.04607105059501 11.23574459969848,6.287059515176842 9.381189555805552 -2.039613206416727,6.315726779445507 0.7614384572787698 47.82137838095962,22.44198119236579 -45.825177746891455 -9.653603700604384
-21.503152722901014 -13.83297353475226 -3.2258458331488526,-16.52712814885327 -5.187324459271981 -8.295985076475267,-21.919690390389587 4.608261087190094 7.89369072261509,38.63594060874689 3.098352971019727 8.408392660459056,5.577090096082327 -1.5689418573601375 0.35357006324847556,-6.844137244951765 -6.507213133549853 -54.38825338645883,23.337317724613367 48.37790069722399 10.578625246349697,5.693197913611974 9.503313576460666 -1.2552155078135403,4.294986398402388 1.4926757297380304 47.017786598954864,23.484406819544557 -48.91069493900481 -10.866873069246404
-21.030572101281045 -13.003178989821869 -4.057405944303106,-15.671414883592545 -4.63401081141602 -9.313924407934568,-21.3736258767239 4.958902357079403 9.08368643544865,37.53858720142697 3.5902855058161256 9.227394221216732,4.940520340680645 -1.412136575557407 1.0034783719584999,-7.1021920288935005 -10.679644353525926 -54.54799243165911,22.8091804173015 46.73609118619108 9.94397876403515,4.944647510961381 9.662784554174642 -0.737661672393811,3.3429978306053534 3.3085640306351367 45.62376715123646,24.1535850401471 -50.87051057803967 -11.644404287601398
-21.543813591818722 -13.395146724235277 -3.778323283236677,-16.66383997578145 -4.75621749260606 -9.481286302606868,-23.731752274214436 4.907897036732061 9.290804779029239,41.11092801285403 2.9853649948923247 8.350399099525436,4.370758125910871 -1.4604339769012413 0.6309166914188838,-7.288873411240225 -13.940077409913824 -53.92806574987156,22.25608048660352 45.069427451652466 9.306116885600776,4.420677860642432 9.708725129447695 -0.876995655736903,4.472259198314069 4.426923769555999 43.54534418572009,23.96476840460214 -50.29550984697676 -11.432675821734682
-22.861317546304246 -14.655303603271753 -2.6138905192903916,-19.161399567781906 -5.427593934505119 -8.917202122521473,-27.956567277322435 4.50414141135126 8.84955590352178,47.79807585512584 1.733646760388605 6.413390412704356,4.006570976121327 -1.6780339128095583 -0.4909492607946475,-7.148779261633622 -15.468173906542564 -52.74862918687182,21.67477827436679 43.38030071147742 8.66803163394982,4.222826660557797 9.632065116867935 -1.544699872524912,7.079473358330997 4.303132369033821 41.38751458211373,23.03079756721242 -47.527177284634554 -10.362133778125433
-24.405292045226112 -15.895010787145802 -1.3644418255011066,-21.8290751266699 -6.372971629167425 -8.255180496849384,-31.263626518659553 4.092502955349259 8.815197909682801,53.340649667649146 0.9787966798232615 4.872652391988131,3.8766665742168005 -1.87240289136551 -1.4592026085174103,-6.493918011575084 -14.697630157588335 -51.42021860722052,21.06986050363593 41.710729066213275 8.05391610041545,4.2473264299598315 9.52856115096477 -2.2289252337571064,9.366913615896497 3.307395200171861 40.271970437914746,21.906262769117827 -44.20107697583549 -9.068827404620718
-25.61671099336264 -16.262611625639074 -0.8046915996849796,-23.366562725158442 -7.3242722627518235 -8.10275944834068,-30.998239840239915 4.005011548330028 10.177606385506909,53.65942757049083 1.8015510931591288 5.111983599747182,4.008243209509792 -1.8583233239835408 -1.4142845074286015,-5.161792884975555 -11.17609818735372 -50.34165093085346,20.448347442785053 40.106463778510225 7.488755864231071,4.3943253976826195 9.49350138684562 -2.4335362275734616,9.604167721627904 1.826197041810923 41.24556238793133,21.132236004466733 -41.913112819487324 -8.173567073346291
-26.42236760118005 -15.764078725801141 -1.032256623980222,-23.477424996319346 -8.196611434839403 -8.408931577105976,-27.46183575737299 4.231237894850313 12.501845520538028,48.89288875846592 3.9113293451402904 6.926952520637762,4.44704160803372 -1.6408934548622196 -0.5031132094194796,-3.4040284229872975 -6.321446411504446 -49.63152146044442,19.856223288483058 38.661815369653056 7.002652980800407,4.715125627164432 9.571505579676446 -2.090124337492511,7.711387037846503 0.1565428546078667 43.84936911195283,20.836362704760973 -41.04705339262076 -7.828018652899487
-27.159981556278975 -15.130803724453123 -1.5720359341757226,-22.714337287214015 -9.060057890334475 -8.565663964941102,-23.456252748879397 4.471086272635181 14.147813876500958,42.74702204150786 5.8576329771587385 8.769735594017261,5.254486471551274 -1.386188693564343 0.27607221820334604,-1.8225304586086577 -3.133451218863633 -49.171402225507414,19.37242957277447 37.51216783176092 6.6300372370590095,5.388881475962 9.764336013036125 -1.4920705957977798,5.004839306569806 -1.4802482083029274 46.35082380553397,20.796594662420826 -40.9613920479242 -7.787025786320148
-28.15685150199464 -15.09192170107801 -1.9433315783012433,-21.6463450389828 -9.982179574908029 -7.976113351257393,-21.756148385137934 4.429363040182557 13.52218419719647,38.91521013022197 6.215195875833775 9.112183423246691,6.476405250710436 -1.2595509484529532 -0.05563166613952321,-1.0082686505016836 -4.521948027132445 -48.83927013659636,19.07449639139319 36.790215947593346 6.404358136126992,6.578254497169484 10.068726803144035 -0.9396465960064375,2.8169626991090517 -2.8649438195043797 47.04748861941982,20.785767084358866 -40.998768921776424 -7.799255475393914
-29.233888440511112 -15.832420343561664 -1.9351390946759819,-20.617584591310766 -10.870559905975798 -6.666223379820531,-22.840079432462193 4.11486910441622 10.868101526085002,38.38209840000869 4.897470842219038 7.769664115761801,7.8098884953816015 -1.3005265563145567 -1.476883985904111,-1.0760632970599928 -10.367571705865874 -48.59700275511934,18.98686474185023 36.54233215204599 6.334865567135526,8.001183439940352 10.401698466328758 -0.6354656007025147,1.8775205298998676 -3.7718675389031597 45.75940749564396,20.70456191701045 -40.858201090596914 -7.750422147897281
-29.72227247166751 -17.011038728173574 -1.5972764146296652,-19.754681175296447 -11.478060184897215 -5.2642391090687966,-24.966028086874953 3.8304005498873055 8.204775651017851,39.512694084291454 3.1125947665409956 5.8568706165694575,8.614760947149364 -1.4270041084205314 -2.9990008398107,-1.6802474396716223 -17.621396848513037 -48.48761852767019,19.08263279678386 36.731405955321016 6.407405809348342,8.94551263095733 10.603179958953199 -0.6876948421114317,2.333425195438119 -3.9691107815838893 43.77902678273728,20.577302550677995 -40.58336017257936 -7.658779721397578
-28.960308863334213 -18.264010975523913 -0.9957782075603182,-19.168681504823848 -11.558638269781413 -4.406797848930745,-26.342502835001035 3.8811277881350392 7.555970781716171,40.59448375931448 2.0873545240173628 4.517011543378322,8.264698519994287 -1.5534576993142108 -3.621376939921865,-2.4595255944214593 -23.17929871404583 -48.554683298385676,19.33040327505655 37.310378777136535 6.604770796041333,8.71024702046603 10.51673740581354 -1.1898670763771673,4.279181615795279 -3.2453882276875565 42.426043159469145,20.43235931456719 -40.23001822735261 -7.547171304208781
-27.040069591208947 -19.200424763423374 -0.3506470186097811,-18.78520503629732 -11.072348507716601 -4.279644805720586,-26.325991303112964 4.3043357769122785 9.055422882348324,40.73757269734451 2.096255829872533 4.209564042405469,6.900722117016074 -1.6377160438498088 -3.11079502661907,-3.1416472199727963 -25.731157807466193 -48.76483336322119,19.632300722550436 38.05086784198149 6.851551236247547,7.392453253472438 10.174410204229716 -1.936568802903368,7.0164776523491605 -1.9688812341937258 42.10480110834374,20.270048946960113 -39.79849104261076 -7.415334119414184
-24.88698205041874 -19.399354988552435 -0.052110427186799924,-18.324865077234602 -10.20710304878561 -4.570024291214506,-25.54217306703849 4.841138533572231 10.747275388054709,39.9615435213132 2.3609737857470803 4.638079956607666,5.512220045464717 -1.685540204407887 -2.0824528280563896,-3.552808794073071 -25.95028528776835 -48.999652633587246,19.816952215503957 38.52402052180457 7.007991264474312,5.971525399981851 9.81661153805831 -2.39187512998861,8.97047214812535 -1.1484225565950226 42.20764271706205,20.05967247293751 -39.22778261782707 -7.237459800887902
-23.451448693565023 -18.45441250953599 -0.48575635512355214,-17.50910890441098 -9.16059407567304 -4.944058614236732,-24.676601870866183 5.2214577555807 10.613371620796554,38.34682812556799 2.066065461269479 5.465083069464408,5.110449035400349 -1.705942819509587 -1.1866185995116003,-3.5333428791969754 -24.612230615646688 -49.14018374812041,19.714247704209907 38.30298174947085 6.935037280784649,5.451586367615536 9.688524773580259 -2.018552315835393,8.566108607335343 -1.7942342336152792 42.08625626925916,19.770689622376405 -38.4579669378162 -6.98794972371979
-23.01919464874745 -16.548374293948893 -1.5446914552257838,-16.478416331537712 -8.056849621305155 -5.239081497996688,-24.202196270118115 5.326618566509176 8.314041179462256,36.478601603203344 1.0320157502912182 6.283198612651427,5.899778746481139 -1.7361722574160283 -0.7500298445409278,-3.2546694700799126 -22.477729666997597 -49.20882564476702,19.339602354339316 37.41394200411865 6.64129078398655,6.070261852886473 9.815136804573779 -0.857768103620882,5.881496846027702 -3.7533565133722084 41.521410962977384,19.437147532657225 -37.584487557441 -6.697295500099313
-23.03547660685957 -14.609003636701939 -2.4992916999014274,-15.903123703419816 -6.926751178861455 -5.508919367614539,-24.323002755569107 5.2293920686558675 5.632019055810356,35.5802746419453 -0.1165750654653861 6.596666785841846,7.06428960919537 -1.8491802852754937 -0.6903272384142526,-3.306860629931803 -20.288786897213654 -49.40671889081848,18.943023489416955 36.455956925503905 6.3220595821197,7.095960325548851 9.94300139899713 0.3179350433926291,3.085135588272079 -5.4020143390229265 40.836438458183316,19.174762559360808 -36.899249103597555 -6.466913493489772
-22.898999423085062 -13.597860950321701 -2.592081238625734,-16.472087783781774 -5.7962873167475975 -5.82030985026428,-25.219475893836023 5.015457545821948 4.461193387469562,36.8900711324684 -0.7132338555473904 5.916204316964999,7.734451655270081 -2.118384910374341 -0.8981750693949814,-4.294460219105593 -18.779347438057123 -49.941664296078734,18.78493455442567 36.053967760228126 6.181161084084503,7.745071015776961 9.805261454297733 0.7024175274665498,2.44569128840184 -5.048848762826617 40.38564460118061,19.10186782150457 -36.700238027603426 -6.40052265043125
-22.378629250458072 -13.773182555264338 -1.6735432613546137,-18.09667575951977 -4.74585209039765 -6.190882952890789,-26.75328272504531 4.801984761105907 5.4389329580989845,40.33300660814303 -0.5795922989912027 4.362959625646104,7.635901778821223 -2.525528547939068 -1.2274428525542103,-6.199577061244296 -18.338720901458903 -50.779918509863414,18.892907821385847 36.28690857659656 6.248131011106425,7.744459829691341 9.358750521278365 0.15903066754367312,4.526454066376158 -2.3479061485960884 40.33075200513922,19.20500394833101 -36.95770098734887 -6.48889999244093
-21.77912742876318 -14.374978399172821 -0.47432407997737036,-19.562656532700096 -3.934604241885453 -6.567173898985435,-28.32457067062111 4.751733322849094 7.383500454201588,43.93291989379017 -0.24392812225638177 2.9418239952819047,7.355920321617657 -2.919631719220033 -1.478731049807445,-8.103199462598441 -18.85727625554596 -51.5380464288793,18.957408945433862 36.443240153353166 6.300191517038864,7.560027238010474 8.884146769696613 -0.4796292912183803,7.421782323748677 1.0989777980827389 40.554673941775945,19.279911068516142 -37.16740451861486 -6.559312648582205
-21.444709209016654 -14.569370859208354 0.2126936092688561,-19.58021091536301 -3.5253734240211916 -6.889514706251152,-29.301541528349922 5.028426026245127 8.979463659444022,45.58138445426503 -0.284272584602753 2.71572558941305,7.5439667505709895 -3.141033754350369 -1.4507612644292005,-9.024101196371193 -20.183884825319037 -51.80813481420605,18.646414141536894 35.758375002566375 6.09754525103534,7.711575522696833 8.684540999395667 -0.31354446324433033,9.048582163846678 3.5483896702767925 40.917982731208866,19.109976821120995 -36.79420914159412 -6.428374355976316
-21.538581271905574 -13.944756842017073 0.07844396755458884,-17.769532709391683 -3.4995443359623204 -7.051738587497138,-29.356185655460063 5.606240603751389 9.54271812943932,44.37271125552963 -0.8746889112246471 3.9378097100544824,8.466985819544645 -3.154226430839885 -1.1089034487944118,-8.585814266715353 -21.98925874892065 -51.39258114861178,17.911247277120818 34.10934237629485 5.598873486155097,8.432339971889158 8.849613658582308 0.9434780263859562,8.471778612867313 4.04749190527833 41.24340305543255,18.666351808622608 -35.75622110328783 -6.068679030559922
-21.923422433443278 -12.790634105002624 -0.3828594921187779,-15.261706942236467 -3.5372492865628486 -6.870476960506082,-28.664872438942513 6.144653816153184 9.437350601395854,41.398111920311926 -1.5185336836842818 5.5167421476648535,9.756834508880688 -3.129831378703545 -0.695213197374785,-7.415948548022724 -23.648313120733672 -50.442961033845606,17.173673286566807 32.438445444056 5.092390825936073,9.479769746123548 9.114720772261071 2.558499641300733,6.662348299247512 2.9560371116380666 41.29082130183739,18.2319287922124 -34.72406886664784 -5.711793906414617
-22.433802273340913 -11.462399285650134 -0.603526541744979,-13.325474082824226 -3.2925092816503523 -6.157095737000245,-27.452243952876636 6.275356209861938 9.125094299591856,37.93539404539762 -1.6588294961891776 6.240391153249044,10.986401168533584 -3.2568751155110496 -0.4765962707445544,-6.234815439342968 -24.507873831340497 -49.14500451736958,16.897293304946164 31.782832983876673 4.895654387064143,10.566766336507872 9.183121101161754 3.705476370750544,4.767414567077485 0.7585183372589893 40.81644373302451,18.11753577070512 -34.435953202358974 -5.612527183893009
-22.929927514076557 -10.292337362391352 -0.27263089750791675,-12.68443818194616 -2.679809043940807 -4.951775947532233,-26.024550012259432 5.844254626004528 8.93350352725902,35.07157090762299 -1.0684743223502071 5.5745061166906735,11.83195676834216 -3.607353441073208 -0.579406001009494,-5.539241449618051 -23.891988776544878 -47.824538078810065,17.259468878804903 32.54411244397021 5.12994472649307,11.441588640433745 8.906917395635661 3.8972426943364744,3.529226747650117 -1.948644416526687 39.83156058527644,18.468425138549016 -35.24615509471073 -5.892042222623105
