-29.1 -13.2 -9.8,-19.2 -9.8 -9.3,-22.3 5.7 7.2,34.9 3.5 12.9,8.1 1.2 1.1,0.3 -28.5 -52.3,20.0 39.0 7.1,7.8 13.0 2.0,1.2 -4.9 46.4,22.1 -44.7 -9.2
-27.32660689648941 -21.98939442597055 -2.5680138041471046,-22.461904791045615 -8.661376922758784 -8.45928528819136,-33.81071064793243 4.448264592025448 6.183621005813539,53.76100760622759 1.56532686050959 0.18407901697801493,5.798400199022968 0.06811333128237898 -2.6224912993153975,-4.281805243988255 -15.312016368541956 -45.734075188368145,18.754533577700194 35.929273859413215 6.150733435903168,6.425568982108084 11.340394501049193 -3.838519657851375,17.87521755802965 -0.24942916206065835 40.053921552272655,17.906085234738892 -33.87902960713442 -5.4368370558322185
-27.57498329638358 -21.41971255359276 -3.1211614022316754,-23.57619774770949 -8.086528300136054 -9.56407991555047,-35.348215586954645 4.524860976556065 5.710495456679084,56.76376925968656 1.3826206951054718 1.0983866962742637,6.009376703705364 0.15133388698869782 -2.539250586891125,-4.697179379686983 -12.745015808951552 -46.29138203091984,18.666699558635813 35.726538456685496 6.061222282742063,6.5644590136878564 11.519656752552839 -3.3730618536198684,16.793025815055184 0.27223229648627784 40.0184510362448,18.253270681621974 -34.729016579225195 -5.703294915203266
-27.999742878301245 -19.900285013780614 -4.239108381398623,-25.162655153468044 -6.5958470918813825 -11.167654798593441,-37.21069619581898 4.477242602986354 4.759679470366533,60.59739727309267 1.2471263773146275 2.5035258903894673,6.126979345742776 0.23657201159089905 -2.333762381655211,-5.24137911104131 -8.819902252775076 -47.27687671929025,18.722178084644252 35.88129266454404 6.085504812738099,6.591470192988481 11.760823766067483 -2.5701120152427928,15.727447111842897 2.1963573077246314 40.92748801259715,18.919417309359435 -36.415801018513974 -6.273577754499716
-28.48635882382302 -17.97322800956918 -5.446622276276738,-26.148795743556345 -5.356549918063907 -12.352650006594898,-37.611217675699365 4.4089327812487475 4.286769237746444,61.89935890215835 1.4308407957658247 4.427819989508956,6.232205944883109 0.2926134889490905 -1.9514483833818272,-5.2568910180903 -6.6888538921170415 -48.504227634273164,18.89178641524346 36.32159069445962 6.2113812686850025,6.588219874809298 11.955815598381815 -1.6271111819141812,14.10287568313779 3.826127972209904 42.32229456247654,19.728266124148988 -38.465438084658 -6.977816157125513
-28.91980924313792 -16.182491946359203 -6.277996775811091,-25.503054801239195 -5.506279735228875 -12.233739762823083,-34.84953781257696 4.422060883153893 5.203454285872212,57.46149859454347 2.18596964586959 6.883403374304033,6.405577874957926 0.2904464524445759 -1.3456193665296874,-4.11737844182449 -9.38540152276722 -49.78520797544061,19.144361764806554 36.970479961829916 6.424435344997648,6.6364277749697465 12.001504829893886 -0.7406919081341528,11.36319794115485 3.5079651153928326 43.7404586372786,20.501371498140628 -40.39882122883843 -7.644184093548939
-29.183837859105353 -14.853191995349674 -6.63517888961144,-23.310209980484373 -7.078415074844978 -10.860365268543752,-29.491967452886666 4.527269645700712 7.164004574431957,48.16467866599407 3.2822125600201457 9.49232198463385,6.649514142135306 0.24313756617407598 -0.6396447971085791,-2.0625165005997634 -16.44442090403018 -50.94416113043416,19.44431767188332 37.73822374592804 6.693067941187686,6.756952481998947 11.91335342397019 -0.04186360979902862,7.695108206956877 1.0851673389631196 44.85380768295462,21.08319492665406 -41.821908232215065 -8.134248646234829
-29.161071896087364 -14.112507716840465 -6.752656613615977,-20.664766230426295 -9.107531627654598 -9.127460789762422,-24.154905795118356 4.652452503580307 8.68535899697699,38.58826205373736 4.052844329365074 11.523788295863154,6.89579046740792 0.20181336020276855 -0.11071156053817299,-0.11528456824956226 -24.236268039065525 -51.81680017269466,19.75206647759428 38.523522125051485 6.970138186180655,6.91560393353505 11.814086975675465 0.397720168638708,3.957167641308389 -2.245046678661601 45.45558824169331,21.338917308057 -42.417597228727246 -8.339780836456013
-28.7415220357169 -14.072871391690505 -6.870225191356935,-18.667837212079064 -10.61887858689608 -7.9356492408590915,-21.44199029459274 4.72647623111437 8.30841868878951,33.29885547733022 3.844899110842621 12.264211733895612,7.075163598141192 0.21777035937152395 -0.028399658451253248,0.7077454556505922 -29.12394604329537 -52.242804656584426,20.02782369992862 39.22453328516305 7.208324999124504,7.076023570636482 11.826308909254147 0.5133992840277296,1.0183738404141693 -5.250113920715583 45.361791964241654,21.143927321893806 -41.894883539358815 -8.161610067409285
-27.996679315716378 -14.660542028878805 -7.064521206345407,-17.6927316154575 -11.289448577389182 -7.5799132047320725,-21.839176340776287 4.774887131378284 6.161623955319077,33.293605966586334 2.7261749583077903 11.731174425274943,7.1557025481272065 0.3129378766025161 -0.3408486693759886,0.23656980914964515 -30.078000446387193 -52.148804883058084,20.23051752645381 39.73635304772101 7.369590975984192,7.197328043823772 11.975158812809902 0.35919485102258647,-0.5889218657244476 -7.02596466402277 44.83749507336239,20.604904845657806 -40.53296903987228 -7.6954046493227475
-27.185687643977058 -15.60927323586436 -7.2434732259434504,-17.36019904002748 -11.470144768242394 -7.728995879800313,-23.642710605753507 4.923199302574858 4.0149496912495435,35.87879631584158 1.509748460907055 10.698299860033236,7.144057663255598 0.4788791746064889 -0.6638249096118726,-0.8234536369522384 -28.765206985309828 -51.55133927047193,20.31774502960346 39.95091071246656 7.4254981461728455,7.233955315798866 12.184997496050835 0.11184583177613178,-0.6804644339217011 -7.00819520051534 44.612132638710705,20.067687636379016 -39.20065603937164 -7.238298664879603
-26.57056543116468 -16.645816326713785 -7.309840473082853,-17.261063169161876 -11.536546183743035 -8.027831088903973,-25.078672694467848 5.297093292409454 3.666070181737764,38.23556370394209 1.0222933701966752 9.95916915857033,7.048762975277112 0.7048360703377636 -0.6080227028612722,-1.7387555023832313 -26.948240749601887 -50.47601072598219,20.24877191200675 39.76448944539894 7.349475952824869,7.141454008300588 12.376705844848093 -0.049129718046701694,0.890477530244523 -4.686237751847022 45.409984563180274,19.88036230967688 -38.771434432946116 -7.089004836556266
-26.229713311666057 -17.55661086333668 -7.249399858195518,-17.138474701742258 -11.660443248818927 -8.282820241627151,-25.353108905055866 5.881103229526978 5.3875016603192085,38.97856482573376 1.4304618074580209 9.833490793425081,6.881637442578974 0.9508351492437784 -0.10997736787672999,-2.1623957112306593 -25.484745490724425 -49.10448064162421,20.037784603609143 39.21622486284505 7.160174181638438,6.917484026148559 12.508312280221997 -0.035745065750397084,3.589323910573336 -0.7610205715067949 47.11149762152569,20.11209324594561 -39.40396998753236 -7.301247923142464
-26.024449143392058 -18.198663053352753 -7.146076251373676,-16.915673498653238 -11.772696583780846 -8.491260382778314,-24.83063468360625 6.492892380936708 7.648636768030879,38.41723998019999 2.1205929474927276 10.080735594690413,6.658383639880239 1.142363184236244 0.5085490881463002,-2.20452807335989 -24.16238840531313 -47.80291111452161,19.763899761774866 38.514140404369705 6.9297045309646155,6.609491490058301 12.58176303024211 0.1317732855432624,6.076011606763228 2.6342325456473317 48.599493837505044,20.502288009705598 -40.41182507334774 -7.639114782141555
-25.807784499696822 -18.437443001191827 -7.086161346784332,-16.53076742951763 -11.79157053743331 -8.66188936499668,-23.94142714358995 6.943148521898822 8.843103980062605,36.96374137989956 2.445144068350389 10.430089017589147,6.395695548189576 1.2042297916391438 0.9088603058249863,-2.00209954034566 -22.715076725547227 -46.94407591922196,19.509661772495505 37.87492446937041 6.732769925963755,6.26824909460383 12.601288184512255 0.425474046278001,6.992460538951544 3.3307743112166017 48.7235315634544,20.775778321982312 -41.07190328459879 -7.854232390152752
-25.613152978720752 -18.3256316345336 -7.015140525136303,-16.112464746528634 -11.691499623730879 -8.82123541019892,-23.058385742638766 7.156061921310022 8.574327460203074,35.236780021722915 2.2334327931068474 10.698903778164656,6.14299015441489 1.1174409044246445 0.9788280423401422,-1.7089966957294176 -21.219180727959753 -46.72830029395509,19.343887111654695 37.46886058009833 6.622913190233241,5.963790653918341 12.560356528816037 0.7544565560239511,6.196185641821525 1.172707224559389 47.371699574641816,20.847930934362875 -41.17911479145703 -7.880197275657142
-25.718058708383406 -18.169164132389625 -6.688019808741173,-16.04731326667312 -11.522903990766684 -9.019893119446108,-22.476926117760293 7.209366262658195 8.082313574390964,34.13449460537077 1.9598618289854333 10.823803119898134,5.993951332476664 0.9390234668146071 0.9128198959779107,-1.5020216454411939 -20.21434637155252 -47.12262528856745,19.316821472013537 37.403456868921324 6.62505227629509,5.792205956512439 12.437879218694093 0.9426637754856613,5.189129239388728 -1.2729319465688935 45.83698535987769,20.891863756619156 -41.22911646935178 -7.896769953955745
-26.41229341064173 -18.286071985230787 -5.851624267935341,-16.73446557957836 -11.340126744412952 -9.308760493206389,-22.48239232691657 7.1905347575452625 8.708029213817523,34.56200320197974 2.139414196505484 10.75051784198004,6.044143606031047 0.7308588630034198 0.9246288165948195,-1.557033977551925 -20.264948103981588 -48.07556170240254,19.47589220386057 37.77828355366225 6.7610330807823305,5.850056479726485 12.212258807354015 0.8110400238805654,5.569941418599537 -1.2795326404889047 45.49553201899176,21.09702529173963 -41.76166055651225 -8.09913351341143
-27.68341371424214 -18.641561378170433 -4.57316903185689,-18.2312278965057 -11.109267400758647 -9.654441344795217,-23.085835483419288 7.117474456606545 10.87990707707104,36.6531100520622 2.974489275985809 10.463261671226228,6.313438835982586 0.5223231487117062 1.088210157190813,-1.8957455292889418 -21.44598928657774 -49.417357261807865,19.778518644484347 38.4839949115367 6.990290810157333,6.151233239077836 11.893382318177025 0.3632901771923029,7.736159863919946 1.857029333930872 46.729388219113346,21.534943420618465 -42.977757065600564 -8.559418705578405
-29.050511853454722 -18.653959273017744 -3.4164738207865346,-20.06504454224932 -10.659647911728666 -9.892883497441392,-23.873152636372108 6.900264860979138 13.611951864205276,39.34608295866293 4.182981805434427 10.005896872271892,6.704385255970858 0.2924091205257585 1.260770995638139,-2.3009391240719945 -23.073948096867646 -50.79495192998716,20.04260771102348 39.087425511819035 7.175524101117944,6.581488034258208 11.539937703313486 -0.11360202560787647,10.223598035971419 5.706024293472956 48.37975625668614,22.09436905990373 -44.55336555964995 -9.159025159957451
-29.99557529772159 -17.700670802091185 -2.9835473190256567,-21.720109796853414 -9.81139521976813 -9.850455906090957,-24.39611414787693 6.440996376127056 15.802658887982048,41.4820531808496 5.4421371993652805 9.42820670969028,7.109349903369977 0.01625287957295268 1.282214967450221,-2.536095718746027 -24.404488475709112 -51.841859901807354,20.07561591011753 39.13128734057269 7.172325777101358,7.0155514431820745 11.214586532570008 -0.31066110518361656,11.418970901329523 7.585665384245902 49.16451521685738,22.648409041754668 -46.1195628528382 -9.76299471113537
-30.287710299196487 -15.709515798233593 -3.4691122363054094,-22.890070934210577 -8.615788302596375 -9.502817416712716,-24.42639441127104 5.757424549167407 16.90456115536473,42.41514032892765 6.521677349735516 8.851001652451089,7.412711713922527 -0.28808900746834776 1.1130721527588174,-2.4771941262457826 -25.09206622173205 -52.402232450802074,19.82442614581666 38.49393146179389 6.945589633094918,7.328289496660188 10.959821535003108 -0.13257809780643856,10.702531375832676 6.487263092697626 48.63079843616297,23.077243321808506 -47.33286084041288 -10.240791480599029
-30.206930730377756 -13.587738227365177 -4.343154620748948,-23.64128205585633 -7.535424879132442 -9.091277705372974,-24.126971531343745 5.073122887716748 17.35606266807498,42.41229059779639 7.355879516779291 8.52148006945589,7.484635360002186 -0.5261860331011524 0.9285188808492073,-2.200395158767374 -25.500759113511066 -52.695034673556265,19.484020761161062 37.6509550025255 6.654702832818726,7.394809254377329 10.782246410273784 0.13575146786206765,9.22246307140928 4.379286601355126 47.80133869550923,23.27363797999021 -47.89503135018308 -10.46974873742381
-30.085177384699943 -12.339913841445165 -5.00313474694291,-24.078851266932222 -7.072883750481309 -8.883738386847858,-23.701385519314865 4.631918481009951 17.695013477395126,41.83596010284308 7.896410920192104 8.698574195088304,7.194736324989352 -0.5960817569261637 0.9250330612538452,-1.8028558519435345 -26.065283275155892 -52.977067318427984,19.274350201926072 37.13803542521025 6.478600327304224,7.091172371531872 10.68482306804978 0.1713634924301065,8.305037609112764 3.5283688641854005 47.84608991343875,23.132568899906456 -47.51506312110634 -10.32901628463119
-30.145256822629246 -12.434452960751056 -5.168819906429274,-24.357269362084583 -7.373476545523739 -9.03110562498192,-23.3864422041613 4.535442247698393 18.137224690222663,41.25733839537995 8.158027395717399 9.450005768030087,6.547935137939669 -0.44705927568662074 1.17727272289321,-1.4350395459867906 -26.84939951205448 -53.386789348957315,19.325755318363836 37.271441127318035 6.522197447451366,6.430767959768685 10.679043607925431 -0.18269054727044295,8.662779828597852 4.911672439954169 49.21305971479249,22.68377543771336 -46.278794656243186 -9.846239334551848
-30.386480298550442 -13.241756106025436 -5.22002789412878,-24.732157633749427 -7.850869708698328 -9.444691338946145,-23.48707227283937 4.594122467226961 18.239005894199597,41.67507891117233 8.284683557248991 10.451917761066005,5.82624267596038 -0.13333481045955015 1.510421730957073,-1.35657522541837 -27.157191576435057 -53.82030833535217,19.585066036293718 37.91811406859707 6.738825211819616,5.708217161023169 10.793869051543798 -0.7433769249044827,9.751326414132196 6.86566161320211 50.871786471487376,22.232978213436454 -45.043812709263335 -9.353165909904682
