-29.1 -13.2 -9.8,-19.2 -9.8 -9.3,-22.3 5.7 7.2,34.9 3.5 12.9,8.1 1.2 1.1,0.3 -28.5 -52.3,20.0 39.0 7.1,7.8 13.0 2.0,1.2 -4.9 46.4,22.1 -44.7 -9.2
-23.98790245852569 -12.126948764634975 -10.92061100001433,-15.669784501242473 -5.319280534320683 -9.152239562881201,-23.445187836157185 5.339847859909628 -1.5269697903738064,34.20553684656961 -1.2742684482662887 11.723142273309652,6.798682099390271 0.8804922450969965 0.2707128308187316,-2.018888603204701 -17.509251608839726 -50.49696361229889,20.341116217357353 39.91829275658992 7.514850006367109,6.552366343358846 12.878893212598928 2.327793716624865,2.168148977388625 -3.709350507368662 45.25943342948475,21.325263475912674 -42.360514230421856 -8.287910271183883
-25.74576547380406 -14.298555288718658 -9.83791190045432,-16.901990922998674 -8.231094081481702 -9.008178185281395,-23.551990883257684 5.814272121003555 0.7602545381740637,34.981608845689635 -0.32396475595165064 11.483689386149983,6.421459436922081 1.089899321008509 0.3189005784340855,-0.7171943766479192 -21.14633149426035 -49.36832680502019,19.861864351012386 38.632233101488076 7.06498452900746,6.216978096667712 12.97512939165112 1.7855003647920085,1.536823780537082 -5.568121252583331 44.2076325868628,21.02363509252949 -41.511064940659395 -7.998600913275021
-27.05487012939281 -15.100766502533219 -9.368000306473881,-17.90790651680748 -9.94195203248036 -9.513357735975303,-22.818225961864524 6.011952835561463 3.2078671992067123,34.698882753810956 1.1046927541578928 12.191370840046385,6.158092940956291 1.2184617182395712 0.6036675927322345,0.6111173710917355 -25.93863307412483 -49.52496432405863,19.693805225168077 38.1860088393322 6.88668214048675,5.951100807295745 12.991240650310369 1.4517770135132115,0.6493639985074312 -6.907341422374941 44.12353800350158,20.864041393198768 -41.11399970390252 -7.869595989688302
-27.495560597899324 -14.026631259179082 -9.720368812906031,-18.339435026975544 -9.720037536354212 -10.709541068899155,-21.330313462899813 5.866166697526347 5.3247358772977265,33.29126726725661 2.755303348126947 13.763327088079212,6.158594004708895 1.2081939133377622 1.1475768367847798,1.5013716616033974 -31.27933774082937 -51.27440633816156,19.851198919115554 38.6267319475926 6.99793584088547,5.890860006459914 12.89067675198693 1.4853473316592374,-0.28177726213241455 -6.781802987220368 45.340434429969896,20.740043976058683 -40.82486584797992 -7.749698115973786
-27.209565135792023 -12.329320736970914 -10.402449317489685,-18.196791956775435 -8.4187372164813 -11.892621282727175,-19.869871683573283 5.639268670278841 6.916444634247005,31.606100539946894 4.1062983814182985 15.196095340667789,6.327468427965874 1.1373457965693738 1.7128707866695727,1.727165936683978 -35.29437670960357 -53.204331105003185,20.103426217497972 39.3265671269448 7.207046611437911,5.978259705144754 12.759576473757882 1.715314271690865,-0.6473675889064896 -5.5446416593860945 46.88438940314425,20.647109411144445 -40.61214220189514 -7.648564188126909
-26.401998907238998 -11.456433980542142 -10.84396267989714,-17.519936040605973 -7.068065542672292 -12.277041526376099,-19.29450330589029 5.6298465557892845 7.82257722363581,30.59155995331344 4.607961672187783 15.386056345913607,6.541792561163774 1.0992751793869078 2.0332657274945483,1.0902059244330562 -35.9743845815014 -53.71367387639405,20.192946872293557 39.5834627570387 7.299216318170396,6.133552598573064 12.69760660034423 1.9340917689832346,0.20350095613748376 -3.6949110794328055 47.63746997218872,20.59204105470607 -40.47923344825367 -7.5937765575100995
-25.328848368907316 -12.15817486157042 -10.721091349758481,-16.46282513151144 -6.372487984276503 -11.559792385841947,-20.025536760137808 5.982637757951596 8.0083787261405,30.821846642033258 4.042971034254054 13.899648885220058,6.714247948356399 1.1450865874977512 1.9912445223882527,-0.34677934894064494 -32.74383638358411 -52.12859611470393,19.98488830868494 39.03041503568169 7.15545909510441,6.29265663047829 12.750941640579402 2.0093911313310437,2.336395982726007 -1.7140588273706907 47.078853598742676,20.557185292881513 -40.37683584477776 -7.580403630581306
-24.357982331949856 -13.650950681517319 -10.252066182007633,-15.430137856017929 -6.320482920814854 -10.499141657890414,-21.52479290197596 6.504013110246183 7.715463947926698,32.04866754114122 2.9250457200325806 11.776985136622002,6.835823420441231 1.2329559642654535 1.796475647427658,-1.9469865663362467 -28.180683984925075 -49.81452831759364,19.614163668380197 38.03729820956462 6.867511108380996,6.425942670809863 12.848109362293883 1.9745268367860038,4.52953321938947 -0.044811086310834775 46.00095583127281,20.47109975855893 -40.13972284897185 -7.532005178361111
-23.87157955339756 -14.947904411776644 -9.727021403792005,-14.85946612734787 -6.805074897525445 -9.99359769864185,-23.12661868670622 6.955492864292155 7.222073140206388,33.914039795057434 1.8647715159917548 10.253117572612428,6.907859390862182 1.3087090430126873 1.7018878250171743,-2.9980196960981726 -25.279044914429367 -48.40673071126966,19.251564270336843 37.07197701299716 6.5551776829344215,6.508324840048206 12.902042324010862 1.8847994044907284,5.391403952082248 0.8757750715109525 45.369963689074766,20.25537903325735 -39.587721278540805 -7.362816397807522
-24.00911283063938 -15.427077635267906 -9.33602493254343,-14.997897706518541 -7.652019057559976 -10.520456736805285,-24.261397485773248 7.175332877033682 6.7406625966051354,35.96738465134816 1.293069425932754 10.063617834674957,6.902207870478815 1.3256648070734955 1.840955396374719,-3.1270240566036334 -25.55377315356865 -48.87910867572628,19.0560106923272 36.567713242555875 6.34809918374697,6.497086257012196 12.851893026169002 1.7727025152825902,4.204554424044903 0.8260842226677121 45.7294680377166,19.913460199690924 -38.74201979150932 -7.067606708480517
-24.292944384648738 -15.394312771874135 -9.014713446512571,-15.608139470986277 -8.51602958752386 -11.486029932888595,-24.60369739608328 7.1968989800674406 6.31642458457892,37.52268658723665 1.1840400370632813 10.674064425322067,6.715742879732795 1.2561947749589113 2.0434248414901868,-2.8244717611084704 -26.758508159977808 -50.52398931013077,19.156240652394413 36.86978635239065 6.40092280810961,6.304680990528734 12.703481485294759 1.6127405812000963,1.9654007968348106 0.1322885640961452 46.54855561273784,19.656875243403107 -38.135794973726846 -6.845913969101503
-24.14898962301178 -15.300628477486802 -8.658927957822414,-16.377097012428017 -9.025152139150581 -12.12913617417296,-23.866507232660783 7.084101975428 5.968364807749113,37.85737894701754 1.4402555472630656 11.351333410184731,6.233655215675729 1.0756781753230626 2.0915529776770074,-2.715853314755735 -26.05884764564535 -52.370590822100986,19.6761955327292 38.30951029037196 6.872134777900201,5.8365949556638235 12.473075711280199 1.3703473166312008,-0.061536504029504356 -0.7936618723875593 47.128258684523935,19.729653747011145 -38.38217195834066 -6.929257729626988
-23.23279713729518 -15.465214624743608 -8.22057042170362,-17.04995263469862 -8.949176092192284 -11.950356226957542,-21.99098794967416 6.892238847706517 5.721698844627976,36.639572120684825 1.969629613234209 11.564821319048578,5.412273125620192 0.7895938679782036 1.8549549040558961,-3.2180960934957725 -21.75986912087417 -53.70381985436525,20.65306769006591 40.9847719427102 7.825180600067765,5.062145878078023 12.1876483818374 1.0230169728327942,-0.9431078621833612 -1.5389030794298693 47.01756656430911,20.267330012943333 -39.81845910353137 -7.446828033236543
-21.87714087007273 -15.818476710852241 -7.816875569842667,-17.54375607899851 -8.475915975452036 -11.222248919794378,-19.591216995080934 6.651203042508558 5.619956197829674,34.68954621002185 2.6958287165239425 11.381190242563875,4.417720688159037 0.4921893868580711 1.4608794033241261,-4.133041117176958 -15.527160075415287 -54.56264954480997,21.868212592951252 44.30504408652659 9.043215361806029,4.138901803294119 11.905741969148723 0.5838122723637643,-0.7234297020524378 -1.6878755881879328 46.49673392799605,21.085468237674917 -41.968536546859866 -8.226028678873886
-20.539026922038225 -16.219500513622442 -7.595407251990696,-17.80708494150312 -7.869870048396267 -10.358986948100268,-17.40471354584904 6.386227907486528 5.710025928660964,33.038938628825285 3.5454090819888124 10.97666637657364,3.4546075300793726 0.29399624573143024 1.0838363190171807,-5.149696202733615 -9.642769574933682 -55.12438114901545,23.05605425838625 47.553514842992364 10.257976872891664,3.2589639547032556 11.691690198917406 0.07232072003504894,0.3741090702973081 -0.824525466642863 45.9801608644967,21.940936384976116 -44.20706682324853 -9.038902932453945
-19.67546139388542 -16.527371810863972 -7.703729317898835,-17.788516818387933 -7.395536570491391 -9.774743007291978,-16.16899677894633 6.122546790292825 6.038797098428606,32.7193867908917 4.444926934485398 10.527475916920903,2.727543278168259 0.30554595836703213 0.8983354946705279,-5.957069167100109 -6.388746685094048 -55.56631592256204,23.951016703371998 50.01337233327895 11.201202943101398,2.614433555696536 11.609826796846688 -0.49187017934243216,2.126119548799923 1.4672012172242122 45.88224746272295,22.590602418617195 -45.90871246761982 -9.657494059891684
-19.74345038630809 -16.601176380386573 -8.28940561731823,-17.4366293058284 -7.317413801203829 -9.883689792786296,-16.62158587134069 5.885393038579846 6.653158768439371,34.76252811001776 5.32093849887028 10.209845059448678,2.4411375592127724 0.6373700385336396 1.0788867738196448,-6.24416782721079 -8.047140471561235 -56.06575512103012,24.287523944909562 50.96780467855773 11.604631382211945,2.397411829665076 11.724485488639807 -1.0891729209577625,4.309212827389492 5.603358395432245 46.61739381158676,22.791334302368412 -46.44813601489618 -9.853845327102055
-21.2 -16.3 -9.5,-16.7 -7.9 -11.1,-19.5 5.7 7.6,40.2 6.1 10.2,2.8 1.4 1.8,-5.7 -16.9 -56.8,23.8 49.7 11.2,2.8 12.1 -1.7,6.7 12.0 48.6,22.3 -45.2 -9.4
