-23.2 -19.0 5.6,-20.0 -10.1 -0.4,-27.9 1.8 13.3,48.4 2.6 0.5,5.0 -4.0 -4.3,-7.3 -16.2 -48.8,21.9 44.2 9.0,6.0 7.1 -6.1,9.4 0.4 44.2,22.0 -44.4 -9.1
-26.466672145421906 -11.50365201728275 -11.597183536250283,-17.80826386626099 -7.964968120188894 -10.68221209587457,-19.638900055865527 4.68875423659446 5.4842945614828364,31.115258722464585 4.31842150032931 14.952082484667537,6.361107848041473 1.3812919699036765 1.2576918766998628,2.229966605016859 -36.03255967329377 -52.903987467499746,21.03515528132234 41.62694975742189 8.077666116199673,6.153025339707079 12.87007048792731 1.1199088616430606,1.324339402186435 -3.9790990476814807 49.13825923002805,20.47066574644721 -40.165583283043496 -7.56421960799177
-25.715437082541285 -12.051915065825197 -11.333988791270196,-17.96335974807106 -7.898725305586436 -11.33684979477583,-20.120598973801798 4.96636312563725 5.7481696311906765,32.30868083950101 4.240996775161762 14.54161394170498,5.6502663505440385 1.3887221127149842 1.505213177105784,1.6201765981308527 -37.56450128908025 -53.702247712668544,21.298861596207427 42.30320924997207 8.293408623584416,5.438679033510082 12.757601108974445 0.8620751355235179,1.401149222283566 -2.8966347127872987 49.253148930759416,20.18994630835452 -39.418721158262066 -7.300834308157228
-24.924612522572108 -13.039612720498859 -10.526032900392764,-17.438538236571162 -8.058917077372405 -11.914020462569038,-21.613872001449135 5.716605431013636 5.71297563219658,34.6687680566184 3.23292490896558 13.352582435789111,5.728820663250417 1.2943398894982177 1.8334402818789621,-0.08188453418829038 -34.646529856269126 -53.7378532828192,20.8435027142911 41.18138321969331 7.881838784546387,5.443227857233923 12.637729401098403 1.0022800982876408,0.6633137315657308 -1.7896623054979752 48.694001950807554,19.87827877801674 -38.667741356324136 -7.035791841137427
-24.342688091613365 -14.322639619209252 -9.447036352556973,-16.68758379358631 -8.501155705719604 -12.195241553825449,-23.259719297620958 6.601219217192699 5.738841118529284,36.991879142364304 1.993061602369184 11.993162257705237,6.121609977122306 1.1671851470110144 2.0753558739718616,-1.9099666755014897 -29.63052607827303 -53.054877131766276,20.0766676797513 39.28054025819134 7.2082014836812895,5.751754872220329 12.539372804294164 1.2790300004459532,0.0036314484390779223 -0.9542142256591594 47.771903351976576,19.683403970658887 -38.23413790936848 -6.880624317375999
-24.22936409344393 -15.740561808969694 -8.396959102625063,-16.210011684645227 -9.275464279595964 -11.961193676324672,-24.13648625456806 7.256679253170737 6.215525177142794,37.99839955918812 1.2779211435765148 11.118918550756815,6.305267813349767 1.0825088287021065 2.0571497897875846,-2.82867999532659 -25.10770167177603 -51.72969100363912,19.44579975778238 37.71937877639451 6.672582058328135,5.905402743988584 12.492589762850942 1.4081320249589688,0.3773796128566045 -0.700389923690706 46.82598430285291,19.76165680869359 -38.45669959544679 -6.952765820923914
-24.667119974954684 -17.070617497612105 -7.531460865234754,-16.20463153485157 -10.271530224874645 -11.167823087141178,-23.876232917969492 7.492122295849325 7.17561447276541,37.21306568890184 1.3767220266883156 10.949887968525386,6.099265903352822 1.0487820631043987 1.7295522751133752,-2.5034216475011357 -22.441132790227428 -50.01210851951412,19.197368455721794 37.11049348540054 6.488210416969573,5.748646301645816 12.483912806308089 1.2727319574783127,2.036115004098703 -1.04904070272635 46.084335104767696,20.144190858028924 -39.394149536282626 -7.273085769655936
-25.444196045081096 -17.98656221043648 -6.76662019603385,-16.370992498669757 -11.112836254727657 -10.062068957317308,-23.030349739411 7.403355166653066 8.058683609002477,35.496074791245945 1.8028332547153054 10.983000812320592,5.8922890001315205 0.963601697254294 1.2500675601381048,-1.7631028427148245 -20.95482662101876 -48.43990821190325,19.244167288691077 37.22619698183627 6.558081085670947,5.629581651701207 12.427608547768187 1.0338072512544434,4.063009904576218 -1.54078022904849 45.59068531487824,20.654321538020653 -40.64021887276851 -7.702127620769437
-26.32140448081731 -18.15465564351434 -5.997287128928144,-16.36367388675826 -11.400175906696575 -8.917923152789637,-22.234765235260117 7.11299009919162 8.251613623501658,33.83054887560012 1.999108657666608 10.650625029161628,6.123798251393761 0.7150670134115985 0.7950073716194097,-1.541010547992253 -19.78689284904573 -47.57539352566607,19.46781309106273 37.76042931086584 6.756343506228169,5.941074674764292 12.23198806230648 0.877714595386993,5.434901067438795 -1.6744805706378443 45.370589118571544,21.096479667036096 -41.7463604128171 -8.085851033622541
-27.09521630862674 -17.498104241250793 -5.272877494987671,-16.076165591520002 -11.008184034503175 -7.965834666037029,-21.88224214306473 6.718313326166172 7.506972238731356,32.86012081286366 1.7078251627033263 9.795928948414064,6.904695592136736 0.29993144613069544 0.46250681208458133,-2.165316956606271 -18.79745900273003 -47.682490802512405,19.782137496557347 38.50398047778221 7.003174116025023,6.767615921351044 11.902867050329816 0.8981065768396302,5.563201647733547 -1.3509773031593812 45.35945476090352,21.355912584534753 -42.44163047548915 -8.330710395894174
-27.630150216082775 -16.430445053613767 -4.937764510088241,-15.857869755588052 -10.33406594376853 -7.3531597722771425,-21.901510772042624 6.2682815589180425 6.275165833524625,32.58057750611312 1.2426477744701645 9.046009871293233,7.7188945296913385 -0.0777072209149094 0.20151679804448247,-2.809455798031648 -19.22447680456927 -48.45573437346379,20.162447530877973 39.43245893725212 7.306582511515002,7.605224348832088 11.632128956997903 1.0117288599032332,4.688625469566894 -1.2381715962783035 45.320665295725064,21.47208952219154 -42.794005555858746 -8.45860197947961
-27.799003191969692 -15.41959480837285 -5.367779476983593,-16.10804882088992 -9.832701454387726 -7.217282659448593,-22.16884522645955 5.806534478070535 5.084590049812066,32.91413938716446 0.9807694100022187 9.113744212213343,7.981559894440892 -0.19111752804559498 -0.055433643388115975,-2.5201627821652326 -22.453713461583828 -49.52577062157372,20.59080634370797 40.541691519886726 7.684204791459642,7.885450744066254 11.63185253865299 1.1156320890304299,3.1460139386639128 -2.0867121400960627 44.999605944380846,21.501787753773353 -42.90958170237842 -8.504406056580441
-27.5989952978134 -14.782214311431623 -6.598516961819081,-16.945735510576366 -9.74197286757503 -7.570790787185058,-22.506254821551504 5.400150283266595 4.366863466897136,33.64143095298681 1.154654641249664 10.239236415236238,7.457690610303781 0.05057965518142165 -0.30529608539167735,-0.9721590437296199 -28.453825517953188 -50.5517867429766,21.018038801542037 41.71508318976159 8.103811198967454,7.379553895161691 11.969183241789787 1.1464675166356073,1.44270398411577 -3.948820338461436 44.4095024168622,21.494801492604324 -42.895639234174425 -8.503374963289746
-27.300993000545883 -14.502303886975998 -7.917281379175646,-17.87364715273932 -9.822515060408637 -8.151803420800746,-22.616403126376543 5.167756025470931 4.3407607378712845,34.23166164113037 1.6784638018877287 11.622813113018358,6.6816834313189455 0.4394804381619202 -0.3899272315479262,0.778692100766353 -34.07678681259895 -51.25574037288128,21.32626672635695 42.588787022788864 8.423500902070103,6.605919882465788 12.392511491109529 1.127980884779235,0.46540574030127035 -5.340651075491999 44.15264791141109,21.485566953312762 -42.86206306296003 -8.49157932401516
-27.211876938677275 -14.519449095740148 -8.512854273073094,-18.313155386375502 -9.771740906661535 -8.662219076029203,-22.186582289107104 5.2345733431362635 5.196073149965436,34.113377137027236 2.4239733882556944 12.327557261094928,6.289606205300528 0.7281696341253026 -0.13085083142078527,1.4942348185242709 -35.764627001395525 -51.36848615369376,21.38868482959778 42.76669073942292 8.487022742813322,6.181676612419153 12.608143746260073 1.0954777887435103,1.1496590031060077 -4.57648275863685 44.90868497924139,21.50639480894822 -42.9188396908224 -8.505118990776609
-27.468768684654243 -14.714737588867143 -8.020848713775694,-17.970439866302783 -9.410870446000828 -8.933076351869271,-21.118312246609563 5.614584426669454 6.848744418819302,33.042488816192694 3.2546951218618774 11.894370597824507,6.6123295554910735 0.7756339445453895 0.5212508172256235,0.5747472207139822 -31.992087781469447 -50.84766052704945,21.16907573259455 42.1210141601179 8.240974664402545,6.433290358149823 12.464501701328318 1.070970450631603,3.736391494295741 -1.0416876770714172 46.917905009725324,21.555539010287905 -43.073550080857856 -8.546797194191106
-27.77715593071418 -14.820518689194765 -7.213003399151128,-17.275840622594632 -8.87591908456085 -9.123768830196028,-19.8578141633597 6.038931110991338 8.518426199490822,31.607276694796376 4.013126489675909 11.079069505298444,7.204721589770015 0.7114003191992408 1.2872934843204007,-0.9561935914466024 -26.402338116068506 -50.22752132059926,20.861553266375804 41.20624538232408 7.893461448169861,6.94818345525753 12.171352994981424 1.042671011176128,6.700391949689996 3.1549703171591754 49.303493536520385,21.544659987524195 -43.07339617090934 -8.534756296815583
-27.7750711653397 -14.545967756881444 -7.0386633501308555,-16.772954843621505 -8.352166886614764 -9.445027709899652,-18.93647008648365 6.194569030551461 9.316029658911646,30.526185111272138 4.538520486678838 10.827420971800876,7.500312234038964 0.7073098838382779 1.8368593679058585,-1.8211924182669994 -23.446523597942704 -50.132413080116656,20.696224444297204 40.68349966380315 7.693458722019341,7.1982152645604085 11.994975124539799 0.9935117165661066,8.240436260659285 5.479021596445673 51.01398677796751,21.371910255628762 -42.62495298788441 -8.373930393500354
-27.265963329081377 -13.744781372419451 -8.078676206995791,-16.834696672842107 -7.989487572453144 -10.009869807620912,-18.721065978803637 5.896334798891045 8.712385482006454,30.301186415083663 4.727203104202744 11.725177102977355,7.14894019155819 0.8742249695441668 1.9513577404278837,-1.2027893854521778 -25.91860764140491 -50.932325323834654,20.811592856375764 40.956295331359144 7.793295856642121,6.85660608862288 12.111664572449337 0.9222756953139684,7.228615135997794 4.318903256380532 51.340086236646066,20.999352509892123 -41.61482056586783 -8.029469753644097
-26.54112119849343 -12.696872538823285 -9.827131313031622,-17.33060838472985 -7.833335834960137 -10.643136443453423,-19.092967364183945 5.336206692839126 7.239785148180843,30.79584209463205 4.643817818521834 13.296347964248978,6.4383736892454175 1.14317159233133 1.7419939795916237,0.36005181575138234 -31.725255740577055 -52.24711350913068,21.07600880098041 41.668455754115335 8.06027679944337,6.19042217200013 12.432349274127752 0.8744928882140897,4.522733438107052 0.7848533915795728 50.581594106525415,20.57753089044263 -40.460521763608924 -7.644111871792763
-25.98132428693359 -11.760340620438118 -11.578759956794116,-18.03789227633711 -7.910011441552035 -11.116805199002375,-19.84449285080915 4.775346936159892 5.625237545251128,31.75660172140758 4.383884747448609 14.870174620101372,5.773404573016942 1.4121860794851262 1.3804722052638951,2.0795412701210023 -37.87659346074077 -53.55902635269994,21.30826488287814 42.32444368221461 8.30941961780143,5.575666559759323 12.819277198648525 0.9042686051996123,1.3448611212745278 -3.5135949322080173 49.223424902703016,20.291565113504486 -39.6769734435002 -7.393171351724524
-25.967352107759588 -11.29328498160908 -12.628293426839132,-18.73375064471629 -8.245814159645118 -11.202853655872982,-20.76796104686384 4.4749177526175075 4.595751561033561,32.929914866900546 4.0429240087955645 15.77589813502023,5.558824688789024 1.5793047582909256 1.0384965373115074,3.1678890624340728 -41.38274636717799 -54.35031257123772,21.32715370683598 42.42872186579988 8.355742379094655,5.388342296967597 13.134696315085158 1.065708156203676,-1.0829318602124212 -6.9669086492332015 47.75049314027633,20.326574895301867 -39.779092467934134 -7.451962797217538
-26.87998417432916 -11.65380498668133 -12.270463011722484,-19.195385786919793 -8.867043756655683 -10.67325939567045,-21.6556905605326 4.696081365976154 4.878336083344429,34.06223110260127 3.7164557203751922 15.342759573491213,6.199425882477959 1.542563956034095 0.8877710956012704,2.837305277467948 -39.25384002517043 -54.103220881439334,20.951467877620928 41.48575305501403 8.014263150701392,6.004452428692112 13.240854592511154 1.4129168511594283,-1.5385755520664013 -7.965554693746903 46.64771333434283,20.867679952058985 -41.28179569930326 -7.99580081204998
-29.1 -13.2 -9.8,-19.2 -9.8 -9.3,-22.3 5.7 7.2,34.9 3.5 12.9,8.1 1.2 1.1,0.3 -28.5 -52.3,20.0 39.0 7.1,7.8 13.0 2.0,1.2 -4.9 46.4,22.1 -44.7 -9.2
