-33.6 -22.4 6.7,-30.6 -10.2 -3.3,-38.3 0.4 14.2,66.1 1.6 -4.6,8.3 -3.2 -6.8,-8.0 -7.7 -47.8,19.8 38.5 7.0,9.7 8.1 -7.3,24.2 5.4 42.4,22.1 -44.7 -9.2
-39.29738592925528 -26.571580436385602 10.393493780642704,-32.61479722442242 -9.655993763377394 -3.2285514535915567,-39.679700740452205 -0.7548684381186006 13.115045445789614,80.53591141965389 -14.994639909598954 -22.085084667589214,7.841973046179265 -4.76978279757726 -5.948222236252246,-10.963284261958654 -5.7712722370547995 -45.723679424155286,20.22151198335568 39.64366732999078 7.319801424738709,9.04315808340904 6.535742138934099 -6.521153118638269,31.021295335080282 3.0887348962067747 40.57098014779826,19.528921186185315 -37.78285750931962 -6.679779054671103
-44.477431815548194 -27.88736333438046 11.31107606655326,-32.7498699728261 -10.07375549822077 -3.130791519471125,-39.48712111822978 -0.6206994240763062 13.988465830617258,85.452435773123 -20.91859689187016 -26.130645769272114,8.021661384999302 -4.963747150909823 -3.9972117805944456,-10.867505687457868 -5.146826548657434 -45.96343233919497,20.47428318264032 40.33550647199728 7.574223006136677,8.888371577916601 6.344473406376098 -4.640231628339733,29.89567888090547 2.3664290449564205 40.43556156552825,20.103005730874397 -39.364886651998326 -7.212191781065339
-47.47520470888024 -28.33996807579639 12.556786284600909,-32.33245497573978 -10.570668916790023 -2.3525343217021963,-38.43714359932497 -0.5945909980824846 16.01449038601545,86.20599159898609 -20.504564363721794 -23.76573635039511,7.789251172138699 -5.075988415560208 -2.8207891240886545,-9.847898557347516 -5.99019401196992 -46.68278564481635,20.44905111345711 40.22866677334812 7.547963247837619,8.46204384089508 6.180029596592836 -3.7717049191477665,27.59770672509316 3.1003367379217917 41.589346719404205,20.94779507644088 -41.646030819296456 -8.02971149413263
-48.41033404246497 -28.037511160536067 13.864615581991202,-31.56689354701238 -10.980522955659195 -1.2481854114993944,-36.85984183061452 -0.6142465123763731 18.5240726170906,83.66898521125012 -15.086209193166038 -16.741229188326606,7.418795159806192 -5.11935618139125 -2.4128353388241184,-8.335996333174556 -7.438639885017207 -47.80802779141007,20.275379189756084 39.696958483915765 7.372262654818263,8.031951739150177 6.055463278058519 -3.7783124879470376,25.065564867332707 4.727902977116262 43.578201493472754,21.925771058560752 -44.297472718669006 -9.017345304106414
-48.41149675185206 -27.458943799444533 14.772732791053379,-30.909531615198155 -11.13193532400569 -0.5315477708369751,-35.35515781248557 -0.4940275689205753 20.3542212062206,80.55306371917277 -8.718831010132469 -9.488253320951038,7.375348769654578 -5.110589953055746 -2.32957122136721,-7.223397652675308 -7.481992075299257 -49.16376204997852,20.29914493131365 39.725331310643234 7.397372365587542,7.980391552428052 5.999170189788816 -3.9948213129625834,23.62076447708732 5.9245316057564334 45.417349763619214,22.91332237294901 -47.064602466252815 -10.075570889997184
-48.540861443349925 -27.05727619327589 14.872074626620172,-30.786340093027405 -10.894280857748504 -0.8280279954598709,-34.48208249792405 -0.0784625489601411 20.480542377785774,79.36972225778848 -5.182321992595227 -6.095823909353204,8.056418401248246 -5.066243448237266 -2.1610580013296983,-7.2933602942897116 -4.430283331815341 -50.558517359212516,20.824066190116724 41.17829551768595 7.93041548227738,8.628867337667582 6.035207457056769 -3.8144439218950623,24.40768361364942 5.544879562585599 46.23695562391053,23.785959473087157 -49.67611620432874 -11.097442610242874
-49.06101925495848 -26.975771942531644 14.331525471104163,-31.277604690169813 -10.569699719870478 -1.7919323854064402,-34.34008183112181 0.4564510656841463 19.39474832863578,80.33593464988854 -5.081520716259603 -6.774254958759368,9.125239231912667 -5.000536843544491 -1.8971237432227956,-8.1371096438627 -0.09682298367065068 -51.63982309069866,21.686514765049083 43.58590861938948 8.800646582616501,9.643414448858358 6.140183619053414 -3.2995575737975873,26.656197777038535 4.415935294149887 46.435797000692745,24.408580043256514 -51.676723195526414 -11.895836990800142
-49.752974119567504 -27.171133613391532 13.668068812960293,-32.255404185274244 -10.720987547764256 -2.4926714728534876,-34.7518488687962 0.7350712508504262 18.501705098583283,82.28667966509371 -7.108924237719915 -9.397710541282347,9.802793324388919 -4.926284818847139 -1.7683769241452383,-8.627907448812545 1.5950487251882546 -51.95823823526785,22.44137893594369 45.6744844084408 9.549499018500015,10.29527804991823 6.262128830931529 -2.915578864752299,28.443073515058213 4.552626697569389 47.17674062229387,24.639689674338914 -52.500317014615156 -12.235339279060566
-50.39718578326818 -27.59196026773417 13.365851764011783,-33.57713339959159 -11.849648941726292 -2.0762362899453097,-35.53289561751979 0.4158569038847161 19.09524538880244,84.09092830675984 -9.953571293375377 -11.903701650644845,9.37701437239292 -4.85551934073658 -1.9863124495734705,-7.735471857258692 -2.8730619312863035 -51.11775183428455,22.66918586398737 46.24575723631992 9.745810211331234,9.918575408905367 6.35150413951319 -3.094728496174901,28.001063262090078 7.755480780367277 49.49228102050371,24.358442850738484 -51.65196450383124 -11.90916552753418
-50.85172468210771 -28.11606976356068 13.42833980246766,-34.94912697211494 -13.628290113158208 -0.76980771684751,-36.45557994710027 -0.37196182992963717 20.89016050259844,85.29464789832974 -12.596108844623169 -13.449350776199166,8.068948567311283 -4.790518276145884 -2.475927366802725,-5.788035478047554 -11.474950526591591 -49.422067654496736,22.327483086678807 45.206258897792104 9.359105013209257,8.720077085470672 6.394848815791964 -3.7743047146841366,25.758463971776507 12.876982888831424 52.61494950958916,23.70895184358009 -49.56558730062379 -11.084833434620885
-51.028269633830746 -28.572388938877054 13.526975015115053,-35.97337706125424 -15.156968553104443 0.45261822917033184,-37.26245167594377 -1.1739768592562811 22.510543361118597,85.91143048292876 -14.218607716514995 -14.034208152978985,6.74417510197964 -4.72682199878529 -2.964324766179627,-4.0522037368830865 -18.3545673604633 -47.65820656882688,21.634239125436995 43.2256429054126 8.63567691130549,7.509325380784604 6.403622605163199 -4.5497457488718815,23.660110959797176 16.733304264513215 54.533980697381395,23.018344410287078 -47.316699101881056 -10.188403761722023
-50.84558671242798 -28.79818644767045 13.346550189755149,-36.27789067682271 -15.577005194986334 0.658976349060848,-37.71038669801435 -1.5547180792454462 22.649579986569595,85.97618682699175 -14.094391604022844 -13.706579793944655,6.225663577266924 -4.66018458689538 -3.1887214181564794,-3.734224988722445 -17.99643559303229 -46.58147118786156,20.813636983879608 40.98636658688258 7.826091052939868,7.055347612725244 6.389527627839814 -5.031410148993089,23.56567684612488 16.33052420232934 53.37727699153632,22.597461288063872 -45.93021650966376 -9.626602497385926
-50.31629054889932 -28.775928569482975 12.8829555864296,-35.92856063968065 -14.850529412629125 -0.19753366502828135,-37.788822477622055 -1.474784535969535 21.415793262943552,85.71109915290589 -12.856763013868205 -13.013478687317237,6.472263450531533 -4.591781171309604 -3.1053688673766167,-4.808436359430725 -11.38187874549268 -46.30282413124558,20.10595494830147 39.13377154196202 7.1616523719413525,7.308655216678602 6.360314412492506 -5.168272378624332,25.536917919448882 12.266638120243423 49.81994508170456,22.44649295866321 -45.44333847129083 -9.424569923776875
-49.527215108391864 -28.602909892696786 12.37811025859363,-35.33757804488842 -13.588799962883588 -1.4636079013182641,-37.67111582157272 -1.2080031992379954 20.037013209295637,85.48645172328693 -12.214552144184122 -12.896315996612135,6.759442103600443 -4.527074076257252 -2.8437404491386844,-6.274928443381143 -4.630159719805377 -46.42365720990623,19.7642001225869 38.28384671223505 6.858434025898646,7.572443294956394 6.3206084051862 -5.177098420139094,28.213723609629188 7.980277791865685 46.551526527623494,22.319954788022915 -45.112135816647985 -9.30567250841059
-48.57002098974395 -28.38141299639082 12.072962118931017,-34.90302740635316 -12.404450174286177 -2.4857108404366506,-37.52959467372241 -1.0240991532053532 19.71517659909168,85.65200695630995 -13.79497086820008 -14.243969793452145,6.388163021859314 -4.471585904507381 -2.533828281104915,-7.150689767101635 -3.69969278717592 -46.546801953155644,20.02219358136241 39.00228434291161 7.114520355462163,7.1752312346490825 6.2751470716120075 -5.270662294992722,30.249730573004683 6.830610085539645 46.18667867763178,21.979415560050132 -44.21126727181931 -8.999337510656744
-47.59047161889248 -28.249512127224293 12.059864921242216,-34.56766316251976 -11.594132623219934 -2.9752730889824974,-37.41965227574482 -0.9482453566984997 20.561216113011678,86.08281831306412 -17.080519180296214 -16.722066882562448,5.5126840110942945 -4.429741726844344 -2.2242409277374633,-7.293343193580911 -8.729449334256337 -46.57180851378275,20.73629601773559 40.89835193085955 7.7884244604768265,6.276480864820111 6.232481592634858 -5.443286614492313,31.314533867477643 9.1422625093559 48.83001762666786,21.452383167440992 -42.78677445795539 -8.511353186584289
-46.78326621665309 -28.377654954781033 12.296769585515769,-33.86239548472439 -11.168696535259285 -2.973835682824503,-37.290914889895646 -0.7844183305028098 21.699255509549296,86.22456686512024 -19.613813593606157 -18.88980809627067,5.059064242631814 -4.404973900677675 -1.889975848876508,-7.320862045536478 -14.594737486850981 -46.666607875557716,21.42145669041368 42.71623453988838 8.431518585532737,5.787238193716402 6.204612639534155 -5.491705546396574,31.996658939811706 12.495133623801522 52.31583700223899,21.006906383578134 -41.58241179885075 -8.097475229681049
-46.33969095616443 -28.92468214179863 12.734883136440335,-32.32511218480516 -11.123438380102495 -2.53857304560434,-37.08813227306969 -0.3371409289519825 22.24521072592212,85.52421918272412 -18.957936048820997 -19.31311129465883,5.9430624084735975 -4.400651229299192 -1.5054918494168323,-7.8537134507126884 -16.154089165547376 -47.00126566758168,21.596908313857575 43.2115022243825 8.599419175236768,6.608076786081277 6.203223390879138 -5.212940478539518,32.894162365637264 14.44302785511719 54.45976826424005,20.91092196858734 -41.34273546144196 -8.014247501246329
-46.32449382006332 -29.737173624758583 13.27893175947125,-30.027027600999567 -11.3251840094354 -1.8180759192624267,-36.730001491366245 0.38087961483391547 21.9835242552687,83.83835620451877 -14.884907956005819 -17.696633738392542,8.148831842129628 -4.4194632404546805 -1.0969159726991327,-8.903615802828924 -12.492129428500554 -47.56164293549693,21.18731087861831 42.18000396415218 8.222024956851381,8.72156817913154 6.229197264746961 -4.585069060962228,34.028710961677255 14.319391614252705 54.62091298596422,21.217761272248573 -42.217359428219616 -8.317311534211674
-46.67158078061518 -30.33882799482426 13.785579893448762,-27.590822112127004 -11.507919111292644 -1.0554606179756354,-36.10828081536567 1.1416709170298736 21.38990308737013,81.44710505094031 -9.450820695052036 -14.922502919618266,10.697234735563452 -4.463397082808273 -0.7438008418341002,-9.852833985522523 -7.063314449220927 -48.14313097092311,20.536541053252304 40.493249655366725 7.616247037971014,11.161058776311002 6.272250597018429 -3.773383295701322,34.82597760390215 13.297842521316515 53.75433939538915,21.758851069803143 -43.7407203098557 -8.854573438489998
-47.30263224675095 -30.25394397281288 14.112678991598926,-25.656306063571183 -11.40748833906051 -0.492631517946841,-35.12383086744491 1.7101449086834484 20.95795193010758,78.66005872916087 -4.790321943478459 -11.927588295709336,12.580474708099423 -4.534225694768538 -0.5278414139849441,-10.075451788713004 -3.4546616816589717 -48.53644619299663,20.002442994570135 39.05951521210954 7.112047303703099,12.93236246432546 6.321287785027776 -2.9529171996277266,34.700473754414 12.609597251162107 52.867438602192806,22.354571417533087 -45.4166917815954 -9.46311196876781
-47.94288027428565 -29.498820208179573 14.226162149009742,-24.599309435741695 -11.013330538733472 -0.19456107246834378,-34.00592722783103 1.9406400542965878 20.73689416023344,76.10180960027589 -2.1861921397991004 -9.661822437597303,13.291989587166139 -4.627950702380539 -0.5204849110451812,-9.607850961987191 -3.0605464654249133 -48.66289586478094,19.772202733988216 38.378618032279576 6.886800448351261,13.557670624524468 6.355795371676387 -2.3337396536167763,33.58538731698768 12.618926157057068 52.290867276377604,22.799662850044886 -46.68001886160018 -9.940575468861251
-48.08530514694156 -28.67142403572755 14.21974237062847,-24.483570473024287 -10.614697202691316 -0.017043332550109536,-33.3721152419728 1.793219659213527 20.250581727340574,74.76935914460432 -1.9140886150616068 -9.090581829205679,12.917803145654949 -4.733750576888284 -0.7810631330247835,-9.269417400023737 -4.683085113551577 -48.59817874430549,19.831245120321206 38.467473963798085 6.937484411037657,13.169663788701799 6.344125607586539 -2.167339632532836,32.02711328423671 12.665149185182036 51.55521036243688,22.858553485219193 -46.88371896453989 -10.037995537504452
-47.22482059560179 -28.39304728142192 14.195304602879018,-25.34689200072269 -10.513208405405937 0.19334698822969482,-33.8442727756385 1.2381126656221235 19.008724261535736,75.64970947491055 -4.166909673621965 -11.144267021108352,11.584567966306635 -4.840522442173182 -1.3644502880415204,-9.904313169338298 -6.981690359768373 -48.42712409471683,20.151343273683313 39.308700300096746 7.248522953195759,11.94110057499313 6.255020339525227 -2.698517800856591,30.598597519978192 12.041382281269176 50.15693923360745,22.301861837105708 -45.39765366980797 -9.511769425129325
-45.51091380230247 -28.847100470900322 14.28855888045906,-26.889543842641856 -10.799557016987762 0.4680309940365034,-35.272669898406434 0.418743906465827 17.21191169593269,78.38598305495785 -8.088207246532484 -15.223302523193098,9.692296119333962 -4.941969585800613 -2.1652211783046176,-11.484797023184342 -8.91406176514915 -48.24372306623159,20.61893575165997 40.61139522747846 7.7131959179828495,10.250506883211822 6.101266867769587 -3.7847491117667893,29.494841247030145 10.594599785141165 48.10817463627401,21.238931822100866 -42.51150693119951 -8.462001553009076
-43.978563003687 -29.624638949893612 14.680972995327805,-28.35518938226202 -11.279098712299733 0.6733854967222757,-36.463764407927016 -0.2871665940102954 15.995340044963484,80.803334623782 -11.4020029965333 -18.65839844522203,8.010793745305211 -5.038296956748639 -2.8611014659598153,-12.803638105182786 -9.841414060616781 -48.1543607872051,21.00502258979595 41.714646932298415 8.101485871263183,8.754765590429532 5.955236111533101 -4.759543710561236,28.399571364218392 8.921022210021858 46.11859525540231,20.237326847810195 -39.75927605332707 -7.4537550489582305
-43.71187855702807 -30.27739103172588 15.551850244259615,-28.965453394109456 -11.738416045352018 0.6664196483123568,-36.167364566479215 -0.4908420403145772 16.541711721970355,80.62879774859022 -11.762502119298187 -18.669848387556836,7.32592752556285 -5.130089299782037 -3.1191388022598283,-12.586527969660084 -9.1666742967683 -48.26351217839958,21.075981151027964 41.94134394499185 8.178164558214597,8.121895634382522 5.892667262910653 -4.928419233256979,26.964905778249168 7.662928337288979 44.93848791192728,19.890509650105212 -38.74565595885532 -7.078621649567908
-44.97161215723739 -30.520290081951153 16.755742984174564,-28.564320373172027 -12.05294882723695 0.44500283098687393,-34.17987881318339 -0.1379571573603326 18.90364741317145,77.44481813572929 -8.680668333383903 -14.667821097312835,7.812252203966517 -5.213028681442234 -2.889255651775515,-10.557921752399068 -7.076946938702424 -48.508254039049625,20.812478434471625 41.21825946386294 7.920474732162773,8.502563671239406 5.937630633349362 -4.148896744620895,25.12392837718501 7.035070932063442 44.78374447482032,20.39435645674929 -40.01769690158238 -7.539661251887798
-46.742309572567116 -30.321237297079815 17.643839615218567,-27.960432381152906 -12.235865617524233 0.2253377836658607,-31.919945861263983 0.3074134733114332 21.382141127742617,73.70973030721233 -4.5454410678156645 -9.4567917990733,8.696789021277509 -5.2751980170244614 -2.5598304397208365,-7.990358140439877 -4.974811443995474 -48.56619608002196,20.527330375319828 40.40818792241274 7.634989209062544,9.245540320739003 6.0341097692923125 -3.1341026239820597,23.245220320190715 6.589537434268182 45.04194463750953,21.328484407938195 -42.48309989856334 -8.437709401678399
-47.90516509191545 -29.671616445046453 17.529960283367508,-28.03927298628991 -12.31291341560862 0.24116477529451755,-30.934783391285663 0.3399782055130313 22.14125235442861,72.11121237945974 -1.9769285014771558 -6.1142862233635205,9.129758181866682 -5.304101124373201 -2.554123924448087,-6.28119893731633 -4.356985838001139 -48.095592270033784,20.559745814676475 40.44861423365097 7.6545583881593,9.634443679835236 6.119535918610654 -2.6659512577042213,21.732579204125518 5.8255809381593435 45.034146929437426,22.221841546697014 -44.91456200598802 -9.324044009321364
-47.91949310965932 -28.717634614853345 16.26128547345308,-29.13427057167692 -12.375549126740522 0.6143855494665449,-31.7854534065587 -0.24196137467931939 20.58073737856902,73.71446582159771 -2.1207286029659946 -6.015495470643745,8.684626691732094 -5.293948800564503 -3.0405518451561777,-6.077438232741402 -5.783422608580012 -47.02120337577537,21.05300612649541 41.75304957461943 8.127538810745955,9.297064324606758 6.161631171267587 -3.09364870608293,20.787882585432158 4.617318538133162 44.5068392927803,22.81399463850197 -46.6256446163812 -9.95194545371656
-47.27333196701733 -27.880996074034485 14.63407276981755,-30.596510260670506 -12.632155798433576 1.2678930830536013,-33.2782234465937 -1.0998809399818228 18.299187768424456,76.69760935914019 -3.4986524343031977 -7.50642625064015,7.687999384343636 -5.2508864391036125 -3.734051206345282,-6.690843700967072 -8.14716604949502 -45.74202021141815,21.80175357775053 43.80263082055302 8.873993212170483,8.473623479649923 6.182018033999218 -3.996427086619434,20.253705552164647 3.5059113737564296 43.9635312996881,23.219291608289748 -47.892339055957095 -10.434143257145111
-46.559320426516805 -27.609941054595613 13.539519429634366,-31.678253412885176 -13.301899015755291 2.1039355280951573,-34.04330178075536 -1.8407036446097897 17.11551844889565,78.94780012032182 -4.36771683135669 -8.626965930794631,6.5434573368015885 -5.18232641758994 -4.30382443470083,-7.297921590572209 -10.17264840622551 -44.704546887224616,22.565079343139217 45.98311520862811 9.680348474957729,7.4671397073655 6.207768982675436 -4.875451808593466,19.93592320655694 3.098794578118616 43.98324624618429,23.590246566227083 -49.088660029128974 -10.9198962268041
-46.156911355782185 -28.077529060356433 13.44138852023481,-31.99200197165727 -14.41628121601761 3.005494305521351,-33.42428721863465 -2.2390200067004535 17.912385265827897,79.33398282984554 -3.822877019345896 -8.323533288409815,5.557197526126465 -5.1011066173235795 -4.568444474986213,-7.426338750314701 -11.059543600101582 -44.15268674064054,23.159325567419717 47.78839766879393 10.363398698759042,6.531337683480987 6.25026484501062 -5.424548581784071,19.690323069371367 3.6360964224381167 44.77247008129074,24.010350179906712 -50.41335633401441 -11.48110436426643
-46.0089755753786 -28.893278720739616 13.928103332510533,-31.887992295382467 -15.622490662079157 3.816094619369188,-32.22572654926785 -2.4127854794839534 19.655085013249394,78.73569882734844 -2.6750969561467355 -7.399027046709351,4.83598464615129 -5.031175774349737 -4.652379212070845,-7.322901603090408 -10.980769977396553 -43.91543826668587,23.518078295171502 48.933827628711946 10.802126815290054,5.818993444691596 6.288751621616332 -5.732090927950758,19.474907987880073 4.605739776503708 45.77477187515219,24.421740445030185 -51.706250826725686 -12.031245061894218
-46.00507059025601 -29.598346929919753 14.481669861775432,-31.80602290931174 -16.521233187285784 4.374813342472446,-31.429326248773656 -2.5217702626145893 21.07583704027518,78.276677172846 -1.9437064534688986 -6.882016257738129,4.461947663536599 -4.997815790428793 -4.717355660618201,-7.321755007692097 -10.228788314297466 -43.771369911004626,23.58964064349245 49.163195045585155 10.88367932343182,5.470204858905828 6.2985926605777225 -5.9345043287618005,19.26030203104275 5.404341422171657 46.34157433878923,24.749299520989876 -52.76331084096412 -12.464478897242511
-46.07491012321778 -29.913075616025072 14.797506889042056,-31.970750425164727 -16.873955248120165 4.6278391478530745,-31.53428668595539 -2.661892553732244 21.380142856614437,78.52172374373593 -2.158678143557955 -7.340983295806654,4.456659098348957 -5.018672971507904 -4.870302115382885,-7.556756858601833 -9.20083841699774 -43.60328202812369,23.423389203500143 48.59092887428732 10.648778398661339,5.5362078411196824 6.269717599096241 -6.096018777270412,19.0466655043861 5.651483811074754 46.17912116086621,24.93244340906875 -53.4064669042343 -12.697650962142633
-46.24312887057469 -29.981362977420684 15.075496774322335,-32.09828057596144 -16.82206080816907 4.77455079692958,-31.899263828827454 -2.7781376560064994 20.892244875096516,78.71446589399277 -2.6932457437282076 -8.256861017796059,4.69854858593844 -5.093344658102653 -5.088614058550109,-7.6883281917164386 -8.541835995025657 -43.5403575950021,23.307617303558995 48.207571816437415 10.501167275429266,5.858187073192558 6.226487761848349 -6.1102090995718665,18.903976252999847 5.493794011227352 45.83237925696314,24.94494309951049 -53.519021151301274 -12.701227837045769
-46.54793356147393 -30.008226740400822 15.588171502413902,-31.831506711619728 -16.56180689582773 5.050721927176711,-31.718737033926896 -2.793714658220983 20.097763789912072,77.90843647382333 -2.754129358413313 -8.95390545395994,5.045396086790368 -5.21880249098471 -5.330953921466626,-7.308883471459789 -8.931866686094923 -43.747211233187606,23.564864254877865 49.1292962962321 10.896646404035321,6.247037217918055 6.198225126628436 -5.846120981499277,18.912159947982122 5.153958119051023 45.96696191865009,24.765566402217168 -52.993276092985035 -12.453467777195648
