time,_SHOULDER_RIGHT_PITCH,_SHOULDER_LEFT_PITCH,_NECK_UNIQUE_ROLL,_NECK_UNIQUE_YAW,_NECK_UNIQUE_PITCH,_ARML_UPPER_ROLL,_ARML_UPPER_YAW,_ARML_MIDDLE_PITCH,_ARML_MIDDLE_YAW,_ARML_EDGE_ROLL,_ARMR_UPPER_ROLL,_ARMR_UPPER_YAW,_ARMR_MIDDLE_PITCH,_ARMR_MIDDLE_YAW,_ARMR_EDGE_ROLL,_HANDL_THUMB_PITCH,_HANDL_INDEX_PITCH,_HANDL_MIDDLE_PITCH,_HANDL_RING_PITCH,_HANDL_LITTLE_PITCH,_HANDR_THUMB_PITCH,_HANDR_INDEX_PITCH,_HANDR_MIDDLE_PITCH,_HANDR_RING_PITCH,_HANDR_LITTLE_PITCH,_HEADL_OPHRYON_VERT,_HEADL_EYELIDU_VERT,_HEADL_EYELIDD_VERT,_HEADL_FACER_TENSE,_HEADL_FACEL_TENSE,_HEADC_EYEBROWR_VERT,_HEADC_EYEBROWL_VERT,_HEADC_EYER_YAW,_HEADC_EYEL_YAW,_HEADC_EYES_PITCH,_HEADR_LIPUP_REACH,_HEADR_LIPDOWN_REACH,_HEADR_MOUTHR_OPEN,_HEADR_MOUTHL_OPEN,_HEADR_CHIN_ROLL,_HIP_UNIQUE_PITCH,_HIP_UNIQUE_ROLL,_HIP_UNIQUE_YAW,_WHEEL_UNIQUE_VERT,_WHEEL_UNIQUE_STEEL,_WHEEL_UNIQUE_SPEED,_WHEEL_UNIQUE_BREAK,_ADD,_ADD,_ADD
3.4,-0.1181390847,0.2544225521,0.2528268044,-0.0780098739,0.0755195651,0.0649120378,-0.4457502576,-1.1117721869,-1.0055019693,0,-0.4595318158,1.0131324475,-0.5573215683,0.5885728488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4178385047,0.0304886305,-0.0794605978,0,0,0,0,0,0,0
3.5,-0.1221465124,0.2645921272,0.2342484178,-0.0756096848,0.0749667241,0.0579413819,-0.3930893963,-1.1604762876,-1.0519930388,0,-0.454449637,0.9661284976,-0.6031156968,0.6649889273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4087882203,0.0168770502,-0.0862480071,0,0,0,0,0,0,0
3.6,-0.1313345333,0.2719095396,0.2180312118,-0.0735632917,0.075068797,0.0535267465,-0.3394576659,-1.2086953369,-1.0996395207,0,-0.4502508247,0.8707846921,-0.6951767302,0.793619608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3991973676,0.0060015258,-0.0936967853,0,0,0,0,0,0,0
3.7,-0.1461674019,0.275955386,0.2059467027,-0.0721711721,0.0755323151,0.0520100191,-0.2901576415,-1.2512089857,-1.1436591101,0,-0.4469261813,0.7008652756,-0.8575440595,0.9948024533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3898866333,-0.0012089549,-0.1014814493,0,0,0,0,0,0,0
3.8,-0.1668006958,0.2769235472,0.199118913,-0.071603564,0.075910646,0.0530957975,-0.2494588056,-1.2843727599,-1.1800721122,0,-0.4440945597,0.4439236164,-1.0944239356,1.2773298231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381495965,-0.0045250003,-0.1093741041,0,0,0,0,0,0,0
3.9,-0.1929586924,0.275612424,0.197888511,-0.0718736924,0.0757159792,0.0559646596,-0.2199343107,-1.3068590997,-1.2064035848,0,-0.4410249925,0.1387985741,-1.3128499359,1.6018626335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3744084221,-0.0044143713,-0.1172504792,0,0,0,0,0,0,0
4,-0.223869214,0.2733281507,0.2017995088,-0.0728356503,0.074538221,0.0595020801,-0.2022114117,-1.319462934,-1.2220007872,0,-0.436810013,-0.1349610791,-1.2684063545,1.8902604759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3687171711,-0.0019210077,-0.1250760313,0,0,0,0,0,0,0
4.1,-0.2582915333,0.2716891492,0.2097063358,-0.0742072917,0.0721476048,0.0625447038,-0.1951605037,-1.3241365039,-1.2279007543,0,-0.4306565394,-0.3340993502,-1.1027260711,2.1009254397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3642387018,0.0015504715,-0.1328777092,0,0,0,0,0,0,0
4.2,-0.2946711127,0.2723285445,0.2199808646,-0.0756145394,0.068560714,0.0640559127,-0.1963854258,-1.3230960873,-1.2263655751,0,-0.4221869854,-0.4649393213,-0.970113317,2.2412255596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3605681873,0.0045056839,-0.1407089055,0,0,0,0,0,0,0
4.3,-0.3313832718,0.276567523,0.2307843753,-0.0766501518,0.064056169,0.0632128356,-0.2028724295,-1.3184682877,-1.2202407041,0,-0.4116117403,-0.5473432123,-0.8798453702,2.3313618446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3571666142,0.0056393671,-0.1486155525,0,0,0,0,0,0,0
4.4,-0.366986547,0.2851198225,0.2403606201,-0.0769377527,0.0591353468,0.0594754099,-0.2116520848,-1.3122155109,-1.2123003561,0,-0.3996899504,-0.5973913884,-0.8232664819,2.3873513444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3534648062,0.0040744479,-0.1566102739,0,0,0,0,0,0,0
4.5,-0.4003905815,0.2979183553,0.2473042818,-0.0761911646,0.0544336397,0.0527109054,-0.2203355452,-1.3059879444,-1.2047275244,0,-0.3875105856,-0.6256762081,-0.7918918637,2.4196943706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3489673982,-0.0004788683,-0.1646592676,0,0,0,0,0,0,0
4.6,-0.4308872787,0.3141289869,0.2507642976,-0.0742598983,0.0505971564,0.0433817824,-0.2274522305,-1.300880992,-1.1988077168,0,-0.3762061568,-0.6390650347,-0.7786871698,2.4353694705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3433404369,-0.0076699708,-0.1726836299,0,0,0,0,0,0,0
4.7,-0.4580728072,0.3323643629,0.2505527678,-0.0711539033,0.0481467904,0.032687402,-0.2325689399,-1.2972518813,-1.1948370768,0,-0.36670645,-0.6423386357,-0.7776993521,2.4395008323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3364694079,-0.0165683459,-0.1805737136,0,0,0,0,0,0,0
4.8,-0.48172548,0.3510132895,0.2471455898,-0.0670439972,0.0473549233,0.0225151319,-0.2362062284,-1.2947134509,-1.1922261136,0,-0.3595891113,-0.6391861031,-0.7838618104,2.436246982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3284795722,-0.0258259908,-0.1882124209,0,0,0,0,0,0,0
4.9,-0.5017081044,0.3685297673,0.2415780928,-0.0622382278,0.048159021,0.015121496,-0.2396037013,-1.2922925171,-1.1897371233,0,-0.3550247445,-0.6326192305,-0.7930601075,2.4290694966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3197166868,-0.0339128228,-0.1955015487,0,0,0,0,0,0,0
5,-0.517929361,0.383560895,0.2352551004,-0.0571381621,0.0501310499,0.0126323907,-0.244402741,-1.2886760367,-1.1857920496,0,-0.3527963154,-0.6249629719,-0.8023396067,2.4206195528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310692492,-0.0393839655,-0.2023847242,0,0,0,0,0,0,0
5.1,-0.5303658183,0.3949419638,0.229707587,-0.0521821477,0.0525127438,0.0165275294,-0.2522818251,-1.2824832965,-1.1788198939,0,-0.3523797319,-0.6176777052,-0.8100851447,2.4125195483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3020047909,-0.0411326004,-0.2088611805,0,0,0,0,0,0,0
5.2,-0.5391159116,0.4016958617,0.2263355317,-0.0477844735,0.0543156927,0.0272593323,-0.2646401839,-1.2724854133,-1.1675555214,0,-0.353065548,-0.6113030291,-0.8159750973,2.4053324755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2942456942,-0.0385846977,-0.2149864627,0,0,0,0,0,0,0
5.3,-0.5444517658,0.4031700945,0.2261777074,-0.044279786,0.0544737885,0.0441060028,-0.2823212948,-1.2578124405,-1.1512954582,0,-0.3541107887,-0.6056663313,-0.8206361461,2.3988324982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2879131178,-0.0318019098,-0.2208587704,0,0,0,0,0,0,0
5.4,-0.5468366341,0.3993128306,0.229743965,-0.0418810526,0.0520256741,0.0652839804,-0.3054734684,-1.2381087947,-1.1300203964,0,-0.3548911306,-0.600268373,-0.8251073026,2.3924686085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2833397224,-0.0214745465,-0.2265925449,0,0,0,0,0,0,0
5.5,-0.5469067332,0.390929331,0.2369350302,-0.0406569923,0.0462982285,0.0883016904,-0.3335198583,-1.2136508502,-1.1044019851,0,-0.3550223236,-0.5947050494,-0.8302731457,2.3858389352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2806503684,-0.0088052195,-0.2322835565,0,0,0,0,0,0,0
5.6,-0.5454118294,0.3797020045,0.2470606778,-0.0405316356,0.0370600289,0.1104805938,-0.3652733955,-1.1853428231,-1.075671204,0,-0.3544226014,-0.588991605,-0.8364104853,2.3790401513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2797543749,0.0046976549,-0.2379716509,0,0,0,0,0,0,0
