-24.8 1.2 -13.1,-15.0 3.7 -8.0,-17.0 6.3 0.3,33.3 1.0 14.3,17.7 1.6 8.5,1.9 43.3 -42.4,27.4 116.3 42.8,16.3 12.4 6.3,3.6 -36.9 39.4,28.4 -110.5 -40.1
-24.733029376219942 1.2667449300144458 -13.333868911935586,-14.83278014149129 3.6999057382436833 -8.300536603556388,-17.23375606861758 6.366743404862737 0.40013505735023003,33.46695563420596 1.033448227029205 14.300076030340604,17.499579791088593 1.6668196431891267 8.566782059083982,2.067030438077005 43.600212950368054 -42.93436656878671,27.5335254830682 115.56566673909622 42.46622421815794,16.099579759354974 12.466819551322587 6.4001155875177345,3.9006313428974755 -34.89624655106242 39.4003223872926,28.533525621139837 -109.76557100664022 -39.766166885013426
-24.79766003736962 1.2022607991645036 -13.108004574825276,-14.994222595040922 3.6999669371136195 -8.010238282151766,-17.007964994342718 6.302260264208233 0.3033973939163054,33.30568472667211 1.0011569735738959 14.300026668106037,17.693152565706754 1.6022870052665552 8.50227382241227,1.9057109645864752 43.31012475882045 -42.418229196182445,27.404534093327474 116.27508244330807 42.78867806939711,16.293152554575997 12.402286973043804 6.303390564753718,3.610271512553921 -36.83168302034788 39.40011307931065,28.404534141756947 -110.4750488645648 -40.08865795944673
-24.766101308500215 1.2343363944724495 -13.21966993200481,-14.91485240232856 3.700182808110967 -8.15415612004559,-17.11988877657769 6.334339352300884 0.3514703379768774,33.38566002548463 1.0170212668939236 14.2998525492895,17.59735041176031 1.6341914982296741 8.534264387591517,1.9855149533483512 43.45478380226031 -42.673901583993526,27.468603702808835 115.92256929239947 42.6284171908893,16.197350473303437 12.434191676392585 6.3515080971216085,3.753972385722628 -35.87263403978606 39.39937477282132,28.46860343503729 -110.12275495273643 -39.92852838088039
-24.674034093103828 1.3268040415641433 -13.542842458437168,-14.684317629700402 3.700350049748245 -8.569933331918154,-17.443261512532935 6.426809705356045 0.49014047165590857,33.61666359168005 1.0631206715079065 14.299717654299826,17.32027644541939 1.7265265872814153 8.626666159331185,2.216385800587996 43.87113524796049 -43.412920422546605,27.653475793677845 114.90567184632138 42.16616967473458,15.920276563265121 12.526526928436308 6.490212774679208,4.169581508614704 -33.101098387413806 39.39880278497855,28.65347528093604 -109.10602735764886 -39.46638258666818
-24.604246672064473 1.3961111312891377 -13.785974142068069,-14.5102889870597 3.700149437767748 -8.882207723156377,-17.686153038093423 6.49611354918666 0.5941386959812884,33.79012990063696 1.0979354564095254 14.299879465386338,17.111960559723368 1.7959926848429655 8.696052268761143,2.3900113104054213 44.18272082636896 -43.968243609339154,27.79216578763359 114.14299796805213 41.819525405247234,15.711960610032225 12.59599283048348 6.594169562458004,4.4820575282501585 -31.018894346042142 39.399488903673785,28.79216556874187 -108.34314973739194 -39.11961629828242
-24.62849538125525 1.3699839179024078 -13.696706729214881,-14.572631182329816 3.69936487420535 -8.766170222948928,-17.595946402812963 6.469973641590683 0.5550948837648056,33.725588502123266 1.0855024354826817 14.300512284434111,17.18879891347184 1.7704873274111437 8.670234089665746,2.3260925227345624 44.063989481824805 -43.76261453336224,27.740207860094948 114.42924012854509 41.94973589000356,15.788798699654054 12.57048670842406 6.554963698082313,4.366808566659502 -31.791012025016 39.40217221165183,28.740208790407145 -108.62859509333079 -39.24934958530916
-24.71832908185399 1.2785642364553544 -13.378576542739633,-14.798667949511167 3.6987024839978013 -8.356077590308525,-17.277023250963904 6.378543242694718 0.4180894771840338,33.49769499475823 1.040324984812404 14.301046559998872,17.461754994158355 1.6795926656244182 8.579075319250235,2.098724672365565 43.65162249412278 -43.034118030441114,27.557618825152716 115.43387963647137 42.40647498732402,16.061754557344095 12.479591401078629 6.4178214743352635,3.9573816802799104 -34.523725487541626 39.40443767109155,28.557620725713154 -109.63256187624249 -39.70568579480983
-24.792785157089707 1.205662508389448 -13.121618470258987,-14.983384593523182 3.6993516622936893 -8.02674972859614,-17.02084232751747 6.305652018309482 0.30861524508179466,33.31479805673614 1.0033523496790056 14.300522940994966,17.68173715334043 1.6061763898425034 8.505917884235606,1.9153125620039435 43.324523623609714 -42.44810032120736,27.4115700340637 116.23675614636716 42.771335770839734,16.281736935074797 12.406175757979222 6.308481330469594,3.6274013511575873 -36.720457305984354 39.40221739808369,28.411570983728293 -110.43609769310505 -40.070941430219946
-24.779018271296373 1.2262341305587516 -13.185730112375897,-14.942735282148238 3.7021936832078777 -8.113761754181596,-17.08835623034252 6.326269624271433 0.3389401537030015,33.36341381202 1.011353912523575 14.298230602866036,17.625612722673406 1.6244953868401055 8.525370053550784,1.9616729575928542 43.42129389226357 -42.60039824403937,27.451639232822345 116.01466012217921 42.670019298563545,16.225613461186153 12.424497524781259 6.3393932605225025,3.7115569565012994 -36.14568636015151 39.392497322160864,28.451636019584505 -110.21688803187837 -39.971353569865954
-24.695178130251165 1.3163067349695214 -13.4937586540551,-14.727426947120978 3.7047966923846016 -8.513995814565783,-17.399500905263626 6.416384345273829 0.4735613205917816,33.58601861925027 1.0542980699804227 14.296131048581978,17.360515193997443 1.712504810095385 8.614417350217458,2.182212079115662 43.830465535101474 -43.309736347293835,27.630800722457682 115.02770076457698 42.22106826448126,15.960516808824249 12.512509484902584 6.474552080799414,4.109174819353401 -33.48232201400994 39.38359469702559,28.630793696414262 -109.23257229636846 -39.52398577279435
