-24.8 1.2 -13.1,-15.0 3.7 -8.0,-17.0 6.3 0.3,33.3 1.0 14.3,17.7 1.6 8.5,1.9 43.3 -42.4,27.4 116.3 42.8,16.3 12.4 6.3,3.6 -36.9 39.4,28.4 -110.5 -40.1
-19.742339104928888 0.730799627655695 -11.503364055081626,-12.257837525474102 4.573887189801267 -5.9492548116224615,-8.842468950397198 5.4058079148080065 -2.0175904245632146,18.90531796046336 -1.1084490960122235 14.753038999982902,17.110429821251678 0.6389243974189611 7.23043947515486,-1.9515241301261077 46.953041066386575 -41.16680949340411,26.62620984645384 119.8046876020682 44.469677007097665,15.959276268925848 11.566918223734922 5.503883995417345,2.186053461659731 -42.375600517854274 36.86439199616704,27.44412714951389 -115.70040480924196 -42.58502984480267
-19.796981074438172 0.27606471842647917 -11.477704920256866,-11.788027512606991 3.8650594477666513 -5.671769837701565,-9.468737837901005 5.297350412708066 -2.3291803507321593,19.699519072280108 -1.3306093684684763 14.142386763459902,17.109054322515195 0.5879098715735442 6.766930189681933,-2.083911825773847 46.396365130218825 -41.97359217622657,26.60029663173214 119.89723701187262 44.498034371516866,16.010680794989124 11.596495351943126 5.402482088743601,1.5578723499709461 -41.65623002932689 36.59063207082839,27.192207587850106 -117.04879255008744 -43.222420236062845
-19.654713166832348 0.19242915204060265 -10.915627209025988,-11.985265568544087 3.7560705893789805 -5.221974277633015,-10.550973468630179 5.345672173313764 -2.77320443909274,21.390814029166084 -1.9111577858781432 13.306698960200146,17.35461485846811 0.3205884656573119 6.427536846136913,-1.5073483339928322 46.963457816489395 -42.98595834397909,26.62699599349582 119.77047672534412 44.43654718936021,16.238512852999275 11.464209803436283 5.592031307792534,1.1626340993185884 -41.25866957967382 36.67042243623622,27.262159093016205 -116.86080352957599 -43.11702984558816
-19.457417251722863 0.46921275780893124 -10.09800852506014,-12.5599166069246 4.097343044657793 -4.692028863458847,-11.608843115405627 5.433555143227958 -3.2672075755714904,23.148632805825606 -2.6330751840680455 12.522338873416922,17.713218710394894 -0.05675049874958332 6.267594455185324,-0.5346229714141566 47.94516148076407 -43.75669441465806,26.671945767874625 119.58515985768967 44.350237881454206,16.545000396451613 11.210244845186084 5.882674004866193,1.140074854738472 -41.01523558892842 36.955999837349964,27.50315330551683 -115.8398368465506 -42.61194236424973
-19.401967566632116 1.0166810964213027 -9.386031528015646,-13.110518343886131 4.613139529115947 -4.18828500081589,-12.101110463795017 5.39612025663701 -3.7098761359968724,24.002635362529045 -3.2106590569956133 12.096063367338145,18.005177120116883 -0.407540759762693 6.303501878737947,0.42088845194924446 48.29235673345864 -43.78745099959065,26.70023028768887 119.50038909790986 44.29964615573033,16.805060415415447 10.891484848845025 5.998520331072336,1.6196310100144877 -40.6886371082226 37.20388491006949,27.702860268418135 -114.98852937055985 -42.19439048598131
-19.612832152924316 1.733474031212399 -9.032263323244711,-13.317858723840665 5.07620004265905 -3.809167537520748,-11.698290056232391 5.13921866766146 -3.988390242740722,23.343918867131666 -3.4241180116941545 12.235257427061375,18.102090862866216 -0.6288653039117217 6.541321162348062,1.052533848846009 47.31384141166339 -42.781545054039135,26.69485505729435 119.58870193893566 44.31182641552553,16.926534052799486 10.560531583375711 5.767363222241714,2.6149462157289673 -40.114760241406685 37.264008480586334,27.710114050859897 -115.0180434233977 -42.20976551975668
-19.946282183904323 2.475169149287898 -8.88695252634967,-13.167385441204912 5.438827337222237 -3.623740878573327,-10.855234235418878 4.830690482610999 -3.947310169268309,21.902365456423865 -3.2977993482258405 12.779226671966638,18.065540203958278 -0.7424459403142685 6.948826167409559,1.4489721649334317 45.64416010221973 -41.18927769630884,26.70520666903088 119.60199322568376 44.28980149927248,16.939215476854848 10.25412380201121 5.401042831291524,3.710760897071809 -39.400543259054395 37.332298289862955,27.60030392169166 -115.55990222171901 -42.47806982683646
-20.196505690249456 3.087375832470789 -8.707217671431238,-12.715069887593417 5.694889974309994 -3.6942729716838274,-10.208356582538794 4.699021920493418 -3.421330398375619,20.71776386221132 -2.91256443935583 13.482072431296439,18.001082520986056 -0.7988563056862499 7.484927673449199,1.7903703169197263 44.224745854718016 -39.63386453349197,26.79603784006631 119.21793432912341 44.10788298792352,16.901128965755184 10.005328232001704 5.200299894977324,4.392531470779964 -38.71566852881994 37.68477464654855,27.501262934354358 -115.9957103718844 -42.69768690987249
-20.207841720439895 3.4443534691695112 -8.336133771374401,-12.05191275448826 5.843163618257793 -4.038172582475828,-10.23439923740854 4.906649118319521 -2.3621430599970936,20.604532146000906 -2.370063631725261 14.100139770438059,18.015963555378786 -0.8274834179256856 8.09535175415571,2.2077924779378044 43.856368922782245 -38.66056012608093,27.007106195216394 118.23719565930719 43.68886277630103,16.883928862368467 9.85202607390443 5.380778913035504,4.317259808349762 -38.200724643994334 38.47432174425018,27.510836307863734 -115.85661154048971 -42.63972548826668
-20.041279855378207 3.544128411108009 -7.988104631771175,-11.420240006499926 5.9036224351974935 -4.47905847770782,-10.72032964930896 5.3306743144454485 -1.2268657700334065,21.403495452311063 -1.861754866238892 14.399466611507822,18.224722717569215 -0.7661888893013432 8.668867044170918,2.620180794389138 44.73214151094297 -38.477830211648204,27.270191489589045 116.99179890233866 43.164965912772345,17.01815088231122 9.852896873973268 5.790511804939088,3.8830177682187617 -37.870616174251154 39.321880337477076,27.597322931389165 -115.31975257486914 -42.38946451404455
-19.816299698844073 3.4181408790407484 -7.977783198326529,-11.103231505933953 5.901963636762705 -4.788231152217892,-11.266893996895003 5.771166997419052 -0.6090679126144498,22.692634097397253 -1.6033418042448306 14.148707696463154,18.743868519390865 -0.5281248471375741 9.0788651473229,2.889209968845101 46.88112391582385 -39.203216283375596,27.48792225489651 115.95721680324331 42.72495896353589,17.450227184197786 10.07223519219873 6.178284630992851,3.687946878652161 -37.70631626368897 39.704780253157125,27.694047546048594 -114.73668442096474 -42.117000751068886
-19.63150404640275 3.1085374164103343 -8.528485103507379,-11.288025402217118 5.853382543374489 -4.801204933699301,-11.531277793154329 6.054533473835577 -0.934282626882378,24.018575843880175 -1.7388382353720524 13.261623896206157,19.616319788939876 -0.06843127735305835 9.217891971904393,2.8937649946851005 50.12347048081107 -40.803827968767635,27.57673003999026 115.54164353306369 42.53341923434429,18.25069276068489 10.538934358773439 6.343361631771456,4.1523326933594715 -37.70671193356447 39.268314134428685,27.75020436230252 -114.3788188218949 -41.953705274181
-19.48022509562285 2.7114458399882704 -9.402972936333358,-11.67749074377189 5.720120912188455 -4.677280173430008,-11.455262195695811 6.139982818570936 -1.780752322599661,24.769881895512338 -2.050778115150816 12.383636582343243,20.513937957034823 0.44603680166398274 9.075075340773996,2.599513886540395 53.225993399387306 -42.488267680983135,27.52264688981409 115.81402688214106 42.6329513895481,19.107389218274257 11.103385574429065 6.339538238202093,4.7996515382631815 -37.961019042757215 38.50469567196728,27.795008104547446 -114.11347225505412 -41.83567804924274
-19.322690322563638 2.339969599384481 -10.21917796032824,-11.822207202600238 5.4477680542053495 -4.677579064145808,-11.070125902156109 6.0284869419295966 -2.460269667935712,24.28540585002089 -2.2080198860354576 12.390254326289144,20.99189705996425 0.7818457890661835 8.66991544519504,1.9994155437237557 54.624257591910514 -43.22660807680456,27.333592300166025 116.73663094024035 43.02780303652078,19.587811568946275 11.559846006301184 6.300652973323277,4.87135778540807 -38.58685939701776 38.17247204322131,27.88283775841992 -113.68088429802253 -41.637611623476744
-19.14421458155852 2.076277571242364 -10.64993879250338,-11.372989595990528 4.992789425624619 -5.000292613651554,-10.44331135678229 5.728572458692929 -2.3914525175261554,22.14072650747871 -1.9288037202424761 13.909066379952058,20.700489819133605 0.7525489701209802 8.034461281979738,1.1405820573596555 53.05461018756967 -42.267032133530286,27.03553125148529 118.1817221661846 43.678033107734024,19.35146236995417 11.73443005519306 6.319064462419781,3.803040725140145 -39.625020923342014 38.83937940752794,28.043081472897693 -112.93754132075587 -41.2892583431045
-19.078140408462012 1.8200609946068194 -10.692229812574833,-10.572131736423364 4.375829958320242 -5.47224694031378,-9.855349270515305 5.293231049851701 -1.623509159663974,19.307650630455534 -1.2228503305070157 16.10502686125586,19.851236259902308 0.4489548627306819 7.274704861524606,0.38944302407260456 49.02801769133927 -40.4984319105404,26.76080745744248 119.49102265878996 44.2831740226869,18.600730963405844 11.641255569373659 6.242325373693893,2.1758353160747994 -40.6630915425889 39.947245204231585,28.157686174759707 -112.42578541491848 -41.04522582271985
-19.311889381850396 1.4043464424411165 -10.461442115151511,-9.878012816635955 3.640981310962131 -5.784597202075243,-9.664618020081443 4.791698846018901 -0.43602186844820623,17.268069790370447 -0.2063671923188044 17.608744507015945,18.86068991916782 0.06316180719028498 6.523651840251737,0.22908449855144475 43.703769381689156 -39.4091007118472,26.68062803887628 119.81243042386684 44.44757989179194,17.73633984997464 11.363123810665737 5.8285532664848025,0.9893794109983777 -41.12309134234786 40.5265679567365,28.05473399960335 -112.9385227592028 -41.2788012492518
-19.969757179401284 0.6799449403325546 -10.06679034678417,-9.688450008701857 2.8345673880628977 -5.678460979717437,-10.143370011977138 4.2982077492766715 0.8904619014279627,17.264108485441916 0.9884666792646498 17.275436729173524,18.088107135359145 -0.23291900705901775 5.899918386762557,1.0123426664817323 38.244842742005204 -40.23392432296915,26.92363401922582 118.50858109286172 43.873655535115226,17.102028839738157 10.983163456692518 4.892037699995389,1.0866622509143815 -40.55575055420109 39.78562913174985,27.607229204308474 -115.06000194626887 -42.26529177179378
-20.73849298209881 -0.37853704905061347 -9.573522205986256,-9.979807225167598 2.018125403181346 -5.24221088796717,-10.96684853357075 3.9214072840838257 2.071067176900345,18.87287303746413 2.1199961663980145 15.520651840219053,17.494004900838554 -0.40815849936464604 5.4222323014720075,2.1891969539806473 33.83312241496262 -42.447430663958585,27.323402223233742 116.43062856758279 42.9435419063866,16.64504406751158 10.586067921982934 3.6368370924745994,2.221984648449423 -39.40449709306411 38.1676293541358,26.999703288831572 -117.92746305682441 -43.600517495135364
-21.119742386408088 -1.7441215337879383 -9.028285220218386,-10.55015302109158 1.2596285442427346 -4.711125417866718,-11.557732793267107 3.784507313790449 2.819088232816429,20.967085582609037 2.9002524012726028 13.420034496482831,16.87021394764296 -0.4909853118985229 5.067063715855188,2.8276741860905252 31.658491697057457 -44.77943011422628,27.588682877201887 115.05944283612385 42.32694161465481,16.144895436452916 10.257192581365594 2.4319011674120943,3.6890789234191375 -38.490413688427466 36.63820049776484,26.54847902515288 -120.06599074486023 -44.59284224573834
-20.688604627399304 -3.353626308318159 -8.484871736680663,-11.197298927752332 0.6251720218710094 -4.301475575662864,-11.408157816026263 3.977988402760487 2.8976882887458557,22.484668376250077 3.091926020537042 11.964541818025312,16.037902855247385 -0.5105567609121283 4.809621041209659,2.1435621594442287 32.63907653516954 -46.081759654021916,27.47255615697903 115.65102803643079 42.591967291894434,15.411501198994275 10.070467254685338 1.6082759911379447,4.830068323651119 -38.51685142604185 36.05571339816535,26.525723304274617 -120.20697125352198 -44.64781309224938
-19.62547815741086 -4.849718129335252 -8.05596880217937,-11.72216197533633 0.16532573381912807 -4.070009916155223,-10.58487686778987 4.324605900311197 2.477363677209598,22.916594695771195 2.8727957764277283 11.434218972185153,15.062766516529704 -0.5002426969371695 4.616041761941003,0.570562087618226 35.47332711350272 -46.224586530371155,27.093788744234384 117.60652689307611 43.46865202739195,14.508020977219168 10.006489930979837 1.1826351269546618,5.39572924112758 -39.21462295177148 36.38728772258599,26.83913482389326 -118.78452530733604 -43.97306376610586
-18.40633303138513 -5.731427860484744 -7.883022134027685,-11.927175629642253 -0.07692153489771525 -3.995581128296566,-9.435233093896588 4.516383166338224 1.9275141780716247,22.023896282591867 2.6233306874923445 11.761968127959605,14.129903637010306 -0.49546997879598315 4.448033968987794,-0.8629096564168577 37.77581129208393 -45.5753353802719,26.7497144548618 119.42134106089672 44.277789138640095,13.621273825336788 10.000284050338708 1.0181419701625811,5.336386095122106 -39.83964397279234 37.1648393107869,27.21844005752224 -117.06423011567618 -43.16789220974197
-17.47719085146213 -5.569912065317111 -8.083264102855296,-11.646516496277432 -0.072159627931118 -4.053865575312718,-8.298958191570573 4.283906876635394 1.5847638282257202,19.66014128266137 2.6814025104682826 12.854111948703748,13.4146355373528 -0.5281019582163263 4.270133076239397,-1.2263128208335976 37.41705059894385 -44.50282548317323,26.705182549776765 119.75073059152743 44.41255447961,12.928550514950567 9.992314372575699 0.9849236716850053,4.627107672973841 -39.72664819005374 37.94300235511261,27.419867736740578 -116.18180904194828 -42.769495312284974
-16.97413246274478 -4.6454480512563086 -8.537146071804985,-11.022199828088777 0.07779408578681049 -4.19484235362952,-7.423516982914244 3.7404503233430617 1.4547175465486213,16.55885080349911 2.9583372226097358 14.381926736615247,12.989591482191877 -0.5952975231236786 4.074593098739441,-0.5776572988456621 34.8217449551616 -43.35674640451128,26.898183624537566 118.86021959497663 43.995180633585726,12.506586785081833 9.978824827083724 1.0307446443717525,3.4699003636007157 -39.00616826434323 38.5253838648689,27.468432291856104 -115.95867258124466 -42.686907602745016
-16.859058859948973 -3.63682329991249 -8.992053714779974,-10.369239389097162 0.19737527052123688 -4.354049264086617,-7.004522346910302 3.2143482129750147 1.356954828856751,13.948060054800553 3.125751507163063 15.884597937523539,12.869690071949993 -0.6747124203573626 3.869245292318284,0.4695036989284128 31.849986047055378 -42.47603723354552,27.083020934018773 117.92026496728698 43.55761394092324,12.375608670451479 9.987406002871843 1.146999725144938,2.1943044687499316 -38.25595827091438 38.855508065875085,27.5401997710352 -115.47761646578134 -42.47615025703241
-17.083430763018313 -3.16574446893793 -9.217304903239253,-9.983007041580665 0.13494296383311827 -4.471374248883113,-7.209154390784186 3.013724134110878 1.1180061146240092,12.964519813797553 2.877932724116794 16.927718627838463,13.067975206838444 -0.7423910454225018 3.6703540785520894,1.3213356484979721 30.283084458660653 -42.16012693422202,27.035436523974894 118.0040189313717 43.587628865113366,12.552580708422646 10.0454514639854 1.3322966253814383,1.1113971813042722 -38.01956057935638 38.89441672878926,27.79599345435914 -113.90697850437292 -41.73472466696593
-17.499860359526906 -3.1388303737345082 -9.254383329228608,-9.908170613200204 0.026500141592395277 -4.539142754399732,-7.880766172627693 3.1839422020494412 0.669257735823494,13.619863746852399 2.203706795024637 17.400948577610883,13.583158791992687 -0.7581673899647969 3.590205453911546,1.6850597907705982 30.80093907891762 -42.25052918963551,26.804147266634164 118.93646839006165 44.006530029397254,13.023858652698138 10.17401155882243 1.6634517572409673,0.30113323134919984 -38.38498535517604 38.78870322706246,28.199910023472835 -111.50501843272244 -40.587980727362996
-17.897186590358896 -3.0013528347038494 -9.320363536785333,-10.027653393154019 0.19362651406190212 -4.583510874876318,-8.65379007367221 3.600844291263154 0.009744987331010646,15.19984351331478 1.28192451986945 17.40302284311173,14.40470628411218 -0.6714171205593552 3.8030348180251097,1.4621268923946726 33.372860606382474 -42.29332846942825,26.613982825498187 119.73733229774759 44.370157643951785,13.756050654619264 10.390044238589208 2.2677387591947467,-0.3056439173506763 -39.14635101931091 38.80467164562518,28.589125773933237 -109.23317142323536 -39.501815754330494
-18.069860460586625 -2.2251815982832506 -9.621258459907459,-10.220328042047333 0.9367860445486307 -4.6318007805243715,-9.178153497007349 4.138597543477389 -0.8590552884044462,16.99743030491459 0.2860591197387698 17.04410912498531,15.510324883739958 -0.4371611746909695 4.466988494014712,0.5792973408148705 37.89581068700696 -41.8580543187802,26.676965369386465 119.4788237240314 44.257948020086644,14.706457224667366 10.706894343498917 3.259371608076787,-0.7811582547723063 -40.08492765698616 39.18772067985504,28.808243292685003 -108.00670474116406 -38.91955730258679
-17.906368963815876 -0.765218517181602 -10.166017868263348,-10.345979730688683 2.2153932838357013 -4.719818817857695,-9.37113021297506 4.687579161771578 -1.917153846937961,18.577739067941575 -0.7307924226398795 16.54634647128498,16.714243813983686 -0.0924060446305757 5.499006047988123,-0.7257140455651514 43.414350238586536 -40.913894183516284,26.983335520504482 118.16176253842268 43.667567139022594,15.70589054794789 11.087966488678797 4.556733931217639,-1.205836670186135 -40.86998465108234 39.86062832680371,28.836286622779863 -107.92537291469633 -38.88661268324718
-17.364712457143362 1.0665671511175234 -10.817918331437372,-10.250283759431058 3.7367519456652047 -4.88964301341835,-9.347622001093761 5.1501491645780035 -3.1308766902627436,19.70705908659121 -1.8045177499287055 16.214645484810365,17.709845968312194 0.2652363457524425 6.637721981808099,-1.9853284491911978 48.342927787050996 -39.7254709629814,27.35938835738016 116.47341411952672 42.90584507458629,16.49166000200993 11.459748433556893 5.933447478289187,-1.6661698070610196 -41.08799812995324 40.50768463627837,28.751646950478076 -108.48608645232906 -39.154238266224624
-16.416277048641074 2.9512300297942655 -11.43856497550989,-9.791401200429279 5.206248064570108 -5.177646465188203,-9.224115081035022 5.434041864743775 -4.460577269992294,20.17320484399904 -2.965905166913434 16.336596087688488,18.20522461696883 0.5399175883163692 7.624898889245557,-2.74834999736502 51.16201656325679 -38.55892425736555,27.63468289395844 115.09283376715699 42.27609546486359,16.81487180884457 11.750268801005728 7.164371638811623,-2.2431660570217558 -40.3584681855762 40.82614068954698,28.634223449939274 -109.17817516487423 -39.47070678009136
-15.236026980193673 4.5939771498888815 -11.919756900479722,-9.04943449357108 6.398407421943009 -5.51886524540369,-9.06430333237559 5.535192428097664 -5.768739246511422,20.055068399090654 -4.1213144038467675 16.86624768633609,18.212268469136564 0.6909312613115597 8.328853144954266,-2.940598917756008 51.75122717651955 -37.586722061754784,27.761854857063067 114.27823298389784 41.89522933412418,16.70350772914717 11.929225887344698 8.10456574905921,-2.920437238385045 -38.90637442278601 40.834508177350735,28.54968936024387 -109.6044282254237 -39.652038417867495
-14.171121473114908 5.720444668579976 -12.178832544094856,-8.292213456608883 7.146237115736812 -5.762620292083077,-8.88722664486339 5.524140025232493 -6.835063879306991,19.677747511948063 -5.07185825001177 17.47552703889794,17.9998292406788 0.7242123628434451 8.724945653801997,-2.8067915710878597 51.17361969406221 -36.902100973383654,27.79764345283295 113.93185582313097 41.72249050706932,16.41974254227737 12.001563957738828 8.676925645832661,-3.599213036263253 -37.468836578113525 40.823034575623524,28.551685024048528 -109.46360352526123 -39.57155703789575
-13.56058658227055 6.07446168997014 -12.141062380597733,-7.784707181802119 7.297516030145935 -5.763750658792713,-8.711071760166613 5.4725178327884505 -7.446319635151185,19.365096420210623 -5.623912943396853 17.838982425254603,17.836824651791332 0.6490337221364412 8.796945084039326,-2.596506810370135 50.5021323657029 -36.58946936876164,27.80073696180744 113.94259433133888 41.71118462297676,16.2249290096463 11.974803650902304 8.814377266960713,-4.1790276905899235 -36.7698392804965 41.07603560090594,28.68899461837286 -108.485058574133 -39.116575829798116
-13.449626086734119 5.780194753856028 -11.886187287796407,-7.601724859090205 6.980237637046902 -5.5552036563494855,-8.566020883714161 5.424736699582883 -7.59895356266435,19.24593503049097 -5.769778077784624 17.880581417252152,17.81817465136259 0.5151648718732477 8.637757171842427,-2.4469953546007828 50.215848028557474 -36.595998265404795,27.800993453656925 114.15298927418421 41.79356188985861,16.202721604611636 11.888239371553418 8.620910788443126,-4.578913270821747 -36.89906091616149 41.56375806106792,28.913372517020136 -106.99579959445484 -38.43846889417134
-13.59928626140768 5.329637298721225 -11.643337512385992,-7.634170754624703 6.593392825559308 -5.342176292146821,-8.493857114823719 5.398880577634663 -7.492194280841403,19.26046423274326 -5.6815609780332474 17.76550666583856,17.870524770377262 0.4115399797216051 8.445834847693002,-2.3868746269430074 50.21952794573201 -36.73613550555086,27.80038910671744 114.36075478110074 41.88150966617259,16.26492158792944 11.811894147764523 8.365953764506347,-4.7367583288217325 -37.33273802686234 41.95271060462757,29.08273491682812 -105.90082290862918 -37.943985419186845
-13.763705602140424 5.2152678447745275 -11.639858604468763,-7.766342305216994 6.534508861396546 -5.329995719922098,-8.534471319318378 5.411099138987687 -7.3302519172225695,19.34159264800155 -5.535986170323025 17.665178840525776,17.915326831778984 0.4253093019453716 8.417720424110277,-2.4383161616531903 50.39444351140379 -36.82336968749423,27.799745869092227 114.36851363127288 41.88892765926606,16.3183012220347 11.814569627069108 8.317452003266784,-4.5965250048229045 -37.53595023538916 41.909693226012614,29.05670483053625 -106.09287167526065 -38.034106056544374
-13.827914686945597 5.52542016647822 -11.88395503142599,-7.907961171609871 6.852816905654676 -5.5320395589200695,-8.66206518268778 5.45374676875095 -7.225370816646943,19.433981090301387 -5.433784268455197 17.65029175930992,17.92093162689438 0.5496461797636017 8.577095935061095,-2.5679237880145593 50.62196285502776 -36.795251669052234,27.799505838674747 114.16601976197587 41.808686300012134,16.325166338131254 11.896281105872168 8.514398587024994,-4.249337145881106 -37.36058510432195 41.45443771888902,28.848815401496164 -107.46839266403421 -38.65977071666419
-13.821656807861967 5.901610461179037 -12.141551511468835,-7.996857731179532 7.21247612920398 -5.749468328365959,-8.778215221572484 5.492870068579803 -7.188119059109064,19.495283457116766 -5.391667929392225 17.680176842881565,17.907540883237257 0.6738242057853568 8.756531166598139,-2.6808663480606247 50.78356105541995 -36.72649405218205,27.799691155528475 113.94991707142306 41.720965102774805,16.30922001409509 11.980994516895644 8.7426592141437,-3.949018814702142 -37.08618040890564 40.99687303544658,28.642760965002317 -108.82233932257311 -39.274359671401044
-13.781933240717086 5.9705772207415775 -12.17168460483,-7.974235988986083 7.265692447038036 -5.777230001109853,-8.783216260771018 5.494018317994545 -7.223053866541332,19.485056510467533 -5.421169555865229 17.709059714282777,17.897646182663927 0.6844622716188291 8.782686607016283,-2.681578171787641 50.76404372127652 -36.69737016888664,27.800292586595674 113.92283503641069 41.70855628816274,16.296891821961072 11.9905770148929 8.780035856901591,-3.9512077491553224 -37.008223995835635 40.95704654802485,28.62650547398752 -108.92251197697226 -39.319054589404814
-13.737289189305066 5.664649910063478 -11.94028234892993,-7.851571515667688 6.956681024343391 -5.584934453783012,-8.66805610614627 5.45438353752913 -7.307301391408528,19.407915484883123 -5.503343193061873 17.71523278539152,17.899331789336347 0.5678605434566466 8.627994878097718,-2.564017922802301 50.56997411759867 -36.73185506028508,27.800947883862293 114.11452502644048 41.784472865395514,16.29810270691843 11.914156907034391 8.58873058838747,-4.269634124414485 -37.195866282976816 41.38609435401924,28.821900422541805 -107.62976026180377 -38.73122989381682
-13.705577358390988 5.302570405089991 -11.674882061502068,-7.729196580781342 6.5988956765695725 -5.363047325503352,-8.538401649564081 5.411169230144139 -7.383301860785048,19.32545096605522 -5.580703738543018 17.707420341802298,17.90246426186142 0.43636375374996633 8.449213946726708,-2.4353456242099063 50.361875127596775 -36.78273593723309,27.80084842042083 114.33613821613964 41.87349371476462,16.301898853887188 11.825912604613011 8.36411495932311,-4.612141840204817 -37.43205947128786 41.86867314602167,29.04075210908266 -106.18706828534673 -38.07568377198322
-13.703667039143637 5.222779673670265 -11.616194842534155,-7.711478441201666 6.524434697294033 -5.313188491115653,-8.505661516723482 5.4035362108236 -7.392231393800479,19.302017430344705 -5.594207023493425 17.696245332616083,17.89600070787337 0.4086092850703796 8.412400341903298,-2.4082821700466104 50.30774814036254 -36.79894715606429,27.799189205629016 114.3877673916399 41.89589956040456,16.296253934231377 11.804328030950375 8.313419374930023,-4.671737859876532 -37.48488788035408 41.96619791445245,29.08442534210397 -105.90597709270615 -37.94832368408452
-13.733477916031166 5.507923490655019 -11.82356574071985,-7.819093140339007 6.811968779386927 -5.485506663953929,-8.6000758458339 5.440015081038816 -7.323564178211845,19.357183112929345 -5.530706349307 17.689637461509978,17.881926698920193 0.5131106135095319 8.556654679165513,-2.5100547641131064 50.45506906665662 -36.765303542413136,27.796787103470702 114.21852146427831 41.83037842649905,16.28254156327336 11.870063591092501 8.488114968649674,-4.381960341697678 -37.29793814779451 41.575976943648634,28.906722515045814 -107.0874276855837 -38.485672350006595
-13.775286615964966 5.8703241705068425 -12.093769961571414,-7.951554085938539 7.173272799766303 -5.710860569834647,-8.734374376221714 5.484792033253665 -7.236697169653562,19.445677673960216 -5.443502356718457 17.691627328533155,17.88108955990631 0.6479057495331185 8.737279150637361,-2.644118467199014 50.67682495496954 -36.71856530601662,27.796806992411103 113.99324509277999 41.74017658562061,16.281534914073454 11.960066602561689 8.714174842326505,-4.0245726916008095 -37.06887762697015 41.081602741924925,28.682135133167662 -108.56928077572525 -39.15918546987933
-13.807702286508649 5.99605879451855 -12.204817896954863,-7.999816232052592 7.294182464618706 -5.804424614976935,-8.812652518113627 5.49893306663278 -7.196035641946135,19.5172412633563 -5.390787434484335 17.70579810034397,17.915325775535926 0.7017289928421189 8.79659374410666,-2.7050341953006365 50.832883269046 -36.69922862584238,27.80252029154567 113.89229158831981 41.69467524004629,16.31504399925232 12.005215348044073 8.801504651740537,-3.9058854464661916 -37.01317168936538 40.901164397437036,28.600801587350652 -109.08588048584365 -39.393271880222024
-13.811255060689119 5.770427783016466 -12.064609059304681,-7.922088630435255 7.0625073750660246 -5.6889397234528545,-8.779939346818155 5.469000621918601 -7.232211502438645,19.52780173850565 -5.408290700872753 17.725380379199645,17.971031891626 0.6293757588629564 8.67898333596529,-2.6450512070697374 50.8221622909764 -36.723813375525104,27.81157908700716 113.99590643949277 41.72811246565638,16.36984557027192 11.971512967804637 8.675052643428236,-4.135270583600594 -37.194392274192985 41.193551136248786,28.734601898992164 -108.17129288303911 -38.976470382279736
-13.769664476644314 5.409501334597746 -11.796697390996405,-7.788242064305084 6.701393648365041 -5.465739113953108,-8.649225951475168 5.423888788185026 -7.3197828621398,19.443560384786586 -5.494445588642583 17.72641644269561,17.975763653590615 0.4953224908917539 8.498290762383252,-2.5121985046436013 50.608416233160085 -36.76903165699366,27.812305707043834 114.21812648464926 41.81637833461624,16.374550783730673 11.883280274171815 8.450771854935097,-4.495123712987959 -37.42392321280138 41.68730360514646,28.959072152867627 -106.68735944218581 -38.30188342068586
-13.66735412827185 5.159079440524328 -11.544348293668106,-7.678329417992583 6.464043093185138 -5.252510407084031,-8.440087662183842 5.396249906292781 -7.427736350193322,19.232111738266898 -5.643660809981071 17.683439492056472,17.852087293599485 0.3740662423318059 8.383552579680353,-2.3632104499083804 50.16227147450859 -36.80822621552102,27.792250496929565 114.45752291935543 41.929843991722194,16.25288865428413 11.770231811732767 8.261814603405977,-4.738031580195434 -37.4901414594459 42.07174695381329,29.131875440521362 -105.6163485521207 -37.817414244501975
-13.534587648583226 5.099450645634077 -11.38022902736074,-7.633108589795036 6.426250514064659 -5.11194599663005,-8.192163928744055 5.3922647308132765 -7.492708607088121,18.909309788457644 -5.792571276861008 17.58365447705078,17.58600827849993 0.30367947436063175 8.374776249926812,-2.21787531685632 49.54063765363106 -36.85836501906604,27.75119916537541 114.63597521464945 42.03687200312004,15.996995092919981 11.650187415103195 8.149354789320805,-4.732458699206796 -37.26896775412314 42.19068622940745,29.18329653707683 -105.39951447964101 -37.72098715787662
-13.489105061256502 4.995058564719965 -11.242284658721422,-7.618350989866924 6.325265533200483 -5.001791072157088,-7.983382492310709 5.367598378273757 -7.389602900036581,18.583101875668895 -5.767562354886007 17.438447802076766,17.28459295081741 0.2527257227489493 8.34207531756513,-2.0254772856637917 48.96507846003158 -37.01966589960069,27.71228612350777 114.71984194434461 42.10199197115106,15.729546658136492 11.518268284333011 7.97904421360186,-4.5679987351917095 -36.803382345284774 42.18271994180808,29.18220392933031 -105.44569608329994 -37.73349249495445
-13.658135880410494 4.575419614698361 -11.053506355525002,-7.591616927655883 5.861060958720908 -4.8680861734853815,-7.8959043418886745 5.272395708946658 -6.9868272464265075,18.371808423232853 -5.383206874007455 17.26186055687763,17.068160820130736 0.18206577348975367 8.136856526139596,-1.7277116623204765 48.67502344404822 -37.401384713583944,27.701195410304262 114.68065352741021 42.08945137124112,15.587478340077455 11.367083961251804 7.5971648744553555,-4.358768271226452 -36.15540856054436 42.219115236790536,29.212831194901817 -105.04968792769975 -37.52316162960167
