-18.1 -3.8 -9.7,-12.1 0.6 -4.0,-12.1 3.4 -1.1,25.3 1.5 13.1,14.7 -0.3 3.8,0.6 35.9 -43.4,25.6 124.1 46.3,14.2 10.4 1.1,4.3 -38.3 35.0,25.9 -122.8 -45.8
-17.50990820385581 -13.164261144851817 -3.870768213951651,-12.221029261338042 -8.011993536787099 1.0822622563887458,-13.345720303487694 0.607508550293354 -1.0492840420640992,25.86136862128674 2.4861189434954487 11.268086729927191,13.480728136403464 -2.5190534559282254 -2.803086231840019,-2.294039401644534 23.542242824054334 -37.10576163537689,27.54308025947572 115.36059652149 42.34788542420002,14.243109977592175 8.384996603409448 -5.077695116901476,0.946084009794449 -42.96403361599833 33.525892264056765,27.89947545402364 -113.72630544118964 -41.64336938900829
-18.581185725137864 -11.492454591255449 -3.821546733455248,-12.328414928384676 -6.7558617664794705 1.4551274610265645,-12.943768628497573 0.6748254324870654 -0.7960553120539455,25.037254501373873 2.387753048680207 10.737041432211724,14.48330194378152 -2.6664562696343195 -2.162391351001397,-2.550102037418072 26.59613292556989 -38.9438767781438,27.06538058467914 117.60729153494684 43.37812381110516,15.114774209198742 8.216109934108577 -4.407481251299027,0.306814085075826 -44.61524547307956 32.8190817233033,27.544794455146906 -115.49414533623721 -42.46178195798863
-19.723901263753987 -9.80715703596794 -3.744954180277885,-12.448654326588157 -5.532803698498015 1.8128122157795845,-12.47046218342126 0.76145513223327 -0.38072385287179145,24.15426278145736 2.3979750107633095 10.274108333847309,15.56631818019861 -2.8060208742216277 -1.4644089854279323,-2.8349595651359696 30.25416649704363 -40.974677016219445,26.622676083653662 119.65594874946643 44.31963292388192,16.054789403787463 8.02843869116757 -3.7632657439621346,-0.368494210329039 -46.70470623477671 32.14102469768066,27.251872912525503 -116.89241136449728 -43.10759745982996
-20.641665943835296 -8.425123088412727 -4.063008356120688,-12.50722511500758 -4.709880065428007 1.8699023978363707,-12.301686521538597 0.8057319451785282 0.19225504886951147,23.951419050170244 2.763280788497459 10.267518550030022,16.421807237158266 -2.7530959631700354 -0.8085105253731538,-2.679513256074802 32.928915269223644 -42.643794148493875,26.334243832853556 121.02005383614997 44.94732246738906,16.788467381807763 8.034015542240036 -3.2723521946315106,-0.21909339738815967 -48.08541085887162 32.45473579517422,27.23638805018036 -116.89898357240337 -43.104291954247465
-21.182550335437938 -7.52923631978277 -4.887200615570738,-12.464074337575486 -4.43487224591182 1.548658817634487,-12.619319483775142 0.7908721614861604 0.8396250967039244,24.750937853785256 3.4878730107899254 10.775513005988786,16.924075560107365 -2.458203565755705 -0.2764477374820901,-1.950108149438481 33.866186746906415 -43.680552174587575,26.235546354382528 121.5550801148607 45.19329023608031,17.207332594606388 8.303363156876399 -2.982575170132192,0.9767027556114576 -48.29989099367252 33.992056118376745,27.526447876536203 -115.40526773599281 -42.40118868859362
-21.434470496247908 -7.080114708056923 -5.8134563932910925,-12.336378431361933 -4.4914929124104415 1.1161442147249805,-13.283128618609867 0.7746094820138403 1.347296966854897,26.183003895429238 4.173675580680412 11.308451126238214,17.250061857557014 -2.096293504335529 0.07928140798005202,-1.070025340607542 33.695206730989554 -44.28528821330664,26.222889173513924 121.68430174295949 45.25061283238621,17.478871714294062 8.672055674385737 -2.809827093741005,2.3795494380226723 -48.0355135228644 35.77086208366759,27.8387399200972 -113.81939304579619 -41.65464343219039
-21.50759758080342 -7.0167200007373856 -6.390989715640196,-12.1468999403933 -4.6294736800674166 0.8704308418560706,-14.12212395565262 0.8214433326914323 1.4905527666943361,27.812776414846994 4.3871402859371 11.327976433952175,17.603995297921127 -1.8626686498874185 0.20967836733511788,-0.5124917499579779 33.172006593880674 -44.70176854289538,26.17987017035906 121.88288808760285 45.33621483744287,17.795361967018682 8.954170508778498 -2.6577845646468434,3.0552396860784046 -48.08310281262274 36.70012343013533,27.862232930554942 -113.68428844119575 -41.58385627223994
-21.47137384028139 -7.198430886306552 -6.384714687562914,-11.94003104447075 -4.637711144361937 0.9391608082656865,-14.9212385750913 0.9663201936420387 1.2386537292420445,29.23059135625074 3.9738556138511916 10.62989262643443,18.048865685231817 -1.8609411592738063 0.14998991386136332,-0.4593321165941534 32.64030556008658 -45.062428353367295,26.03697461476646 122.4397333895522 45.580873072712386,18.209504921310625 9.038230145056026 -2.45559776755595,2.6577642253445584 -48.724155329206 36.31957988837708,27.47262472864521 -115.61070661473362 -42.47420850461506
-21.31751869815783 -7.332757972507166 -5.971165140033466,-11.801439683747844 -4.3798402994856565 1.124744960233531,-15.381293664507302 1.1877907590620254 0.9310307929619219,30.074829283322057 3.312085665628285 9.64768012427357,18.378136225049897 -2.0197501115956844 0.09622787253341553,-0.5362893886194594 31.657008985200687 -45.287250097878065,25.81416282288199 123.28826369968549 45.950968882995646,18.50765039318631 8.954820343886198 -2.181028043741352,1.9635694305505669 -49.268218840490675 35.37266741753942,26.90194758601655 -118.43053149891274 -43.78322650179853
-21.029248053625608 -7.111231522927592 -5.373032834830199,-11.821057286897934 -3.7288476116795772 1.1936352367388292,-15.194749670429976 1.4579881197242073 0.9475732499623968,29.990547576560697 2.8390222116530675 8.885558609449513,18.355578290899018 -2.2480963054632266 0.2618350472319313,-0.3077833853558409 29.693422914797722 -45.27256805056301,25.541500362987044 124.32173756807786 46.394336466917395,18.44684882542021 8.750557755482788 -1.8176236403535388,1.8729520001453497 -48.91762624510629 34.736114999373584,26.42174019896828 -120.77844196364923 -44.87665286569505
-20.63686292762397 -6.443666815910126 -4.786937053737075,-12.013633579748877 -2.7459025664106917 1.0345901773767772,-14.272355142977505 1.734025431736917 1.435710324042812,28.87603109577297 2.7980707937417435 8.654675365089554,17.86781718156975 -2.4626307448966487 0.7314432258213914,0.4209278627221767 26.793855266293818 -44.963099098404726,25.25764988971367 125.39505266642206 46.84690431511905,17.914047023934206 8.482997199100621 -1.4126000890795842,2.813807611202186 -47.28947540387869 34.875218407621496,26.191129561638046 -121.85351919302381 -45.381317705681866
-20.274219686817627 -5.719958172415202 -4.352155298807948,-12.228569512514468 -1.9060497097351226 0.8053599233684909,-13.00494446822886 1.9399821779532147 2.0316166887688283,27.186493475592602 3.0064386313537383 8.841549293386736,17.071673540643147 -2.5968296992383553 1.3063872904330915,1.3149055407475654 24.262829599310606 -44.40996907487863,25.02018181913224 126.27873874134505 47.21841643234521,17.081875728243574 8.233750050177058 -1.1531977833263025,4.175069965646811 -44.9130658978811 35.35039929617261,26.12201313473122 -122.096146816643 -45.49826663909633
-20.08880150694109 -5.39342373475351 -4.200144664188007,-12.293510326312356 -1.7387708935137476 0.6992682035436667,-11.846939969096859 1.9956736970710718 2.303860960713654,25.451009566974907 3.224775012062006 9.276239675911436,16.159859585284423 -2.586505266059785 1.7505000821360899,1.9691280624766025 23.570667957109524 -43.67849767656551,24.889097867282466 126.73244318865066 47.41526847705454,16.160894179720135 8.087548909234034 -1.2449737094445885,5.208082001915673 -42.43873092781168 35.60219766025812,26.093483373580163 -122.111448137457 -45.50475662866937
-20.16303663234541 -5.720425254359848 -4.383542813886606,-12.14100961228932 -2.5033671880120942 0.8146532850876282,-11.124009515230888 1.8762444093085684 2.004180583840452,24.08913198608903 3.283126723597176 9.81197089284817,15.296032805666913 -2.4077959632254538 1.9123544788461468,2.1515832953141976 25.382292603829406 -42.84720086145255,24.888800844110484 126.66057685337618 47.400948254577266,15.322371400390852 8.09547338318076 -1.7598764236553497,5.451592989451268 -40.36050817371091 35.30129120673253,26.026215339327447 -122.30857699531037 -45.58915968818227
-20.413942922470156 -6.456537966831345 -4.754579049318222,-11.970363700224322 -3.7721708798999436 1.0083408943609184,-10.834446506420953 1.6975199173309714 1.350042895266666,23.2419392253579 3.187992468538919 10.360867515293888,14.56997537654915 -2.1393753287886668 1.855985611903257,2.0701575081051984 28.314795075956383 -42.02814774994209,24.95317884170558 126.33562994594479 47.284107569169024,14.6376760639632 8.223036089483342 -2.430138162674601,5.175119117693701 -38.7750342011735 34.70351185985921,25.946613123742743 -122.59841010279656 -45.713846615122065
-20.732651296756835 -7.27899177335898 -5.134135940121916,-12.02255453453204 -5.010059281072004 1.0993831071243245,-10.925269994683024 1.5973212974310438 0.6318001408976986,23.006861704665333 2.973509830005489 10.844275933363521,14.059872437014981 -1.8759522377447106 1.679152445350027,2.0015312984030187 30.665051105065817 -41.33865820424405,25.001973610850616 126.08762036080044 47.196084898388605,14.162510206736533 8.422355877720863 -2.9348762360910485,4.762536142477361 -37.71666803541403 34.15624483436439,25.89762367304208 -122.81384501885852 -45.80581862927917
-21.028099723739224 -7.954102584549128 -5.386263161157217,-12.435587187195196 -5.825867597451303 0.9617776701728469,-11.329435374392759 1.6719316122952796 0.08666515543354926,23.428948738579106 2.684449123952484 11.181984839592534,13.807960869936165 -1.686923631253112 1.4610130728084514,2.1126898910621854 31.287659036479052 -40.8919797199468,24.988606882016096 126.11132632399959 47.21336078525947,13.923577231258706 8.651762881346414 -3.0530788805937545,4.511118265326104 -37.15884305253549 33.9140330261197,25.906012019813677 -122.84372851849133 -45.81629052988697
-21.261742036003707 -8.510915342371852 -5.502317153135813,-13.043771300078497 -6.252986117216953 0.6315659892685747,-11.938422041915386 1.8951316130669467 -0.20486593340199544,24.398769301243682 2.3969383129226207 11.2891890247478,13.75046034408101 -1.5670374690873088 1.2258686165287127,2.247109138327735 30.68203128947459 -40.78934972568359,24.965828085922567 126.20268243496687 47.250630862944654,13.862058885146512 8.887905313233768 -2.858269828519838,4.462737715805367 -36.895313048408795 33.957612336359894,25.95082011957734 -122.74191065201278 -45.76788687304904
-21.40466572665615 -9.026670754827714 -5.4970078745335424,-13.625705755491271 -6.402686728861791 0.17451522310533704,-12.636100917744153 2.218229875984644 -0.19104555948602403,25.77855405068854 2.1928576959641743 11.080240561097744,13.804142426804658 -1.4973478880632 0.987957078809409,2.1889194065269773 29.649309688188442 -41.1298024890059,25.00460761112211 126.08445827587641 47.19291247735273,13.90344857868225 9.110791707212854 -2.4780032471464053,4.612415054213768 -36.68687088206293 34.21749072697649,26.002335469905432 -122.59251014317361 -45.69633182520336
-21.427958288802436 -9.578609529917303 -5.385045283826253,-13.95998943574288 -6.386241320878676 -0.3436074696230498,-13.306342922372334 2.59253497728698 0.1798738433043603,27.430533644943207 2.1540875721254085 10.469491520910807,13.88577868546227 -1.4589090249966812 0.7615164619491284,1.72225106198723 28.990636056756617 -42.012372277465104,25.175915846166802 125.47942342890232 46.925222974392256,13.973239722148211 9.300430597113627 -2.039833303750555,4.955170840849926 -36.29430941252686 34.62417615986102,26.030845568370328 -122.47964571572457 -45.637349552787946
-21.30270721554843 -10.243972375641212 -5.181139339489789,-13.82522122314267 -6.314921781760462 -0.8570349302227739,-13.8330189762932 2.969355493212567 0.9596398410920748,29.216938742037208 2.3625082404545967 9.371293976455405,13.912140687409003 -1.432775016703649 0.5607847682464597,0.6312344710357893 29.507152219315138 -43.536093358612675,25.550723179608745 124.1103474762188 46.33257969997182,13.996925725826697 9.436830516766028 -1.6713141656093828,5.486025636012469 -35.478421498829555 35.108176596905025,26.006637912544395 -122.48743609341645 -45.626664222240834
-21.0 -11.1 -4.9,-13.0 -6.3 -1.3,-14.1 3.3 2.2,31.0 2.9 7.7,13.8 -1.4 0.4,-1.3 32.0 -45.8,26.2 121.7 45.3,13.9 9.5 -1.5,6.2 -34.0 35.6,25.9 -122.7 -45.7
