-18.1 -3.8 -9.7,-12.1 0.6 -4.0,-12.1 3.4 -1.1,25.3 1.5 13.1,14.7 -0.3 3.8,0.6 35.9 -43.4,25.6 124.1 46.3,14.2 10.4 1.1,4.3 -38.3 35.0,25.9 -122.8 -45.8
-20.45817459426922 2.0250701628832526 -11.101533608888055,-13.365286459842025 5.282046078207391 -5.767488369127725,-10.753631395723774 5.572351619648932 -2.3356721775487626,23.404746763503802 -1.1714296046107118 14.65649372925572,18.05913715795884 0.5102378584054281 7.948126106775882,-0.07702524625452561 50.10237013962502 -42.173845803122525,27.449057127534182 116.0350282009647 42.76835077091175,16.73635658904938 11.436929991555333 5.970173009863403,2.9926513737077474 -39.574686268942635 39.67148850532449,28.042977084047372 -113.03408717456284 -41.27434386494106
-20.123751712776176 1.9000942407120367 -11.309248530764549,-12.913316500440125 4.726420476922362 -5.720430574888668,-10.327286957371559 5.401855868662238 -2.5692023178320356,21.63745851641147 -1.4274457018284126 15.646589280384111,18.214982580840537 0.5749463240737336 7.726655233804172,0.4170144499394767 50.44345961962518 -41.57928896105994,27.468917048202034 115.87043420459003 42.70145901222326,16.932771139832884 11.518693650713436 5.78014270659358,3.0735923345225427 -40.696270914028695 39.54314599465996,28.03346484198575 -113.07106778362596 -41.296613654284
-19.235685482428856 2.0721092717018186 -10.897524405579862,-12.26677227174071 4.877930659437539 -5.375255715397136,-10.921218542322867 5.208012595843972 -3.6855495196082573,20.66514606843507 -2.796441519637891 16.049854519554422,18.491828569781987 0.27935834218475475 7.136799725437492,-0.10732906131731208 50.54592998133893 -41.043187471719506,27.83464980344275 113.69293536622101 41.672450267690905,17.229947754528038 11.455807370799125 6.078952764309118,2.6163683001545963 -42.777372968817296 39.44748794690964,28.253667236221972 -111.63176239458049 -40.633571810527485
-18.31286210104098 1.9611305211016548 -10.359413032599083,-11.775329153093628 4.998543695169205 -5.051261797887173,-11.928400690402185 5.048948029066314 -5.035323519947252,20.5769935368993 -4.3021422037629895 16.158714313380862,18.602769165779364 -0.084733970824352 6.337639882971711,-1.1873905185818334 50.61216284120996 -40.68108697964454,28.257606145038174 111.21452024850066 40.492285177307714,17.372065883881337 11.388809757238253 6.437538466460379,1.7090095545366228 -44.49735914043032 39.2214768337666,28.51418250537663 -109.94708964884461 -39.854260610479926
-17.87568581869833 0.9994890219919663 -10.189838497444317,-11.784630018111281 4.355681842335849 -5.064872675643245,-12.730885086292393 4.980482872719504 -5.963576148727925,21.43349742857909 -4.966896983560288 16.271032100132814,18.268213763825734 -0.22464494982197805 5.49481619206895,-2.343017109570685 50.83450830268271 -40.6017958844378,28.448534829135706 110.14867483651823 39.972898135275905,17.110422959460262 11.457075593191995 6.424695027734192,0.4558152208919421 -44.55906016535764 38.701904455611526,28.625417434913263 -109.24822163472771 -39.52796369432939
-18.08502552181247 -0.6278617999069762 -10.52545509174096,-12.322353875728217 2.9984815656679924 -5.44182162957957,-13.043870323390001 4.983492497646437 -6.211347469838228,22.874642722465236 -4.541083794814136 16.467828807973753,17.544506546215118 -0.06772800163045323 4.807288987819245,-3.156222973235078 50.99663306374736 -40.78191191376864,28.32309312067445 110.97048070454453 40.342658354504394,16.496781085985255 11.660143894630291 5.948772833871439,-0.8149471102905846 -43.009261415302454 37.87464447564509,28.534476585556305 -109.86317634861518 -39.808533454754055
-18.729986207994703 -1.9577479159650923 -11.132461832576858,-13.087401275862886 1.7843812181261431 -5.90726439375225,-12.927032904189213 4.961357898720251 -5.929134142172304,24.10560042193077 -3.5278710089808962 16.60590760247947,16.83535230431768 0.23114042095648346 4.508471730231895,-3.2733036235477284 50.45962026747707 -41.06132537093361,28.00881614633756 112.87449437649575 41.22652163413122,15.893586452760056 11.852961812975689 5.269226400018423,-1.543423760554634 -41.284413513397155 36.879722995663045,28.329811661192966 -111.186099597052 -40.420261379699035
-19.582417437878316 -2.021461313349899 -11.762083458504222,-13.76813549593234 1.58257124843399 -6.178552926006231,-12.45944644353348 4.817362968517652 -5.2888553618687615,24.33545403476529 -2.4594354007592405 16.536339904240048,16.549848753374803 0.5088789276372234 4.822168766741777,-2.3627296865811505 48.59565853661002 -41.27653098555267,27.642019941600548 115.00380727448194 42.22504292533111,15.668046176362243 11.887900683985485 4.657867152366386,-1.18081644523336 -40.846831980178116 35.86462387273201,28.105451091695695 -112.57550654327461 -41.07088474886385
-20.41094273250023 -0.8145352758144785 -12.232817595416643,-14.199999011228382 2.451333459261264 -6.1655856674886484,-11.831366272825909 4.565220941422498 -4.542730297898876,23.534395068351568 -1.6861612630018679 16.256670644032845,16.759487530284392 0.6752092298318381 5.6166754756920625,-0.7027666115159658 45.74847186425267 -41.35647613585305,27.327418428152413 116.74342446309532 43.0480334523367,15.883421336021396 11.747356781592886 4.264489949623707,0.13149616181797408 -41.94437005575839 34.9877799128758,27.925415553361145 -113.62672485629774 -41.57183508292417
-20.980371615980633 0.5275191716392913 -12.442695482246597,-14.392319207771823 3.490249989654995 -6.005899831817286,-11.36449270779114 4.349200538382729 -4.037913050953052,22.572437700284734 -1.3435080729944104 15.937613586916997,17.136624271459166 0.7259247678424525 6.3399854779571925,0.7073880294254407 43.41038542972673 -41.33941067642868,27.13236381498583 117.7643542809125 43.53447306119656,16.243631715023426 11.56744883058721 4.094635124700506,1.4361711949758758 -43.38907858081925 34.42056835640611,27.81824894788361 -114.21505464190359 -41.857136791936355
-21.05960492454203 0.824609228147475 -12.298533369132434,-14.364743119915326 3.7599442599868906 -5.849176339557248,-11.380799852118276 4.318266870706971 -4.118327455161164,22.355199337366003 -1.5487963305140404 15.758378118728332,17.335201711694264 0.6627205438001297 6.426896267887943,0.847292163735376 43.11044885568257 -41.2699624994565,27.120661776099706 117.76171310213358 43.534491713758825,16.43588484725058 11.491141404162846 4.144633246427166,1.7459257019192058 -43.92948371738951 34.33216688210179,27.809891884138004 -114.2346513137761 -41.86928272675636
-20.601457432367926 -0.19695777360412356 -11.88596766535575,-14.14878608936627 3.020758925470304 -5.802360839261983,-11.890155169812276 4.500120016742061 -4.756256109232508,23.090476706199155 -2.1750295552085634 15.834000107538673,17.206924179146842 0.52701011533582 5.784630803090648,-0.4338465384851029 45.11490732546734 -41.19557884834857,27.296869217167146 116.75446452876852 43.05566068255878,16.31966752081506 11.57475468649849 4.3733019684651655,0.8062977992527588 -43.1411812241426 34.766042951392144,27.902628017178838 -113.6943127792082 -41.61001536721235
-19.80753821868919 -1.5847184312945484 -11.532538345070636,-13.79201861554942 1.9795998147831386 -5.914587742234336,-12.480215848801166 4.758415665721268 -5.421234381739679,24.042071678499568 -2.76470519439395 16.19270304639505,16.87102307866575 0.41393733655847953 4.959497725054325,-2.1103793731069356 47.9817148707598 -41.16752091634023,27.585392750175092 115.19966482115214 42.31853401844855,15.987521711518555 11.757398438297516 4.688712384627245,-0.6458318663805874 -41.71860650727578 35.59560629919811,28.06673844994005 -112.75792252433762 -41.161228651079966
-18.8972777846253 -2.309630093870702 -11.578133205952236,-13.343353108725802 1.403130887368487 -6.2290893614834575,-12.712857021859806 4.946579269047914 -5.553151677900956,24.414404809126356 -2.842601475240926 16.85344807392406,16.465313216454412 0.42109588333077275 4.537331018716551,-3.084531663189223 50.15972901998009 -41.23649804556418,27.90470924971212 113.58549746697163 41.55871591759166,15.548555377371644 11.969930198671904 4.995822064030465,-1.8090219688302729 -40.43039495881139 36.68084956723004,28.26975272678887 -111.60294543334948 -40.611686353643705
-18.0997827596604 -1.9700654981762178 -12.073247774853234,-12.863838084331627 1.6121133082320234 -6.681188833364228,-12.401214303101618 5.002883263502193 -4.9543284149015205,23.869469872557122 -2.2779611261781265 17.649186958820366,16.1032218543189 0.5642326480363574 4.753634144793582,-2.941405489289393 50.8275895695305 -41.4038649879991,28.15886959158239 112.40195310624107 41.00773057309684,15.113258760390803 12.14727069109979 5.22890551752958,-2.230295294719975 -39.73206896556318 37.801011724477384,28.45040500662669 -110.56122438360842 -40.12097929703642
-17.65915777224393 -1.1368912322945963 -12.619819558851537,-12.43333302082466 2.2361589110014766 -7.0389500704174175,-11.747877052714742 4.997112913198442 -3.9888530784752207,22.7784991336781 -1.4739468525839179 18.124556946384107,15.860375560249407 0.7322320086664373 5.300898251458662,-2.3245619060872196 50.29509883118569 -41.594476880884926,28.229564353474174 112.14182346508132 40.89077817333788,14.794264642801686 12.230638574826878 5.3676785156727735,-1.9967940054733817 -39.59382575627168 38.61016354721207,28.502796600882856 -110.20388814190731 -39.958480226006
-17.817916609566833 -0.4605432963207024 -12.784284703419317,-12.132636675545939 2.847803863708216 -7.0579590669178955,-10.988229200373992 5.009956326132991 -3.067651225437979,21.572447349826962 -0.8774744245405292 17.80370874776007,15.809016678068666 0.8039503126838852 5.82694489868558,-1.963605118800505 48.9708357745179 -41.72723281488705,27.998007000883035 113.29175683572656 41.4295654318868,14.703926252871936 12.162510204275543 5.396271232583126,-1.2428007810893071 -39.94318995968831 38.75468968277925,28.318413185975256 -111.11614405055438 -40.39991304987145
-18.55953056179517 -0.2240700797401257 -12.41039989161988,-11.981507788234627 3.2334042850750913 -6.665535704178864,-10.294100693229927 5.085228859106615 -2.4679400332384858,20.56652521809008 -0.739847754748419 16.598747884426157,16.009469262323265 0.7378067723973416 6.163124175027103,-2.137930647251291 47.39576524801902 -41.777189276851274,27.475459007287252 115.76435345474215 42.58059898896044,14.912889284003304 11.949734967428352 5.344263569137327,-0.1636174948654416 -40.624587425610144 38.158003358105866,27.898773098850377 -113.29829249602244 -41.44294679445407
