-18.4 -11.8 0.8,-17.7 -3.2 -1.4,-19.4 3.4 2.6,30.9 -0.7 6.5,4.6 -3.7 -0.3,-10.5 20.3 -33.1,28.4 69.1 19.8,4.9 7.3 -2.7,-9.7 -31.7 14.4,29.6 -79.7 -24.9
-23.92128063567826 -12.065386900829097 2.676794501009776,-20.661670331929308 -4.0446119980043145 -1.0029408174734702,-24.171965436937523 2.1123345376726856 5.337737291126192,39.586455621649286 0.7253769617225463 4.102984261452304,9.139856852182495 -4.31094963888424 -1.8885374161665347,-13.320551954886572 24.311394195209168 -34.75759706684583,27.17694939186511 62.52327384478647 16.69422152020276,9.659114260881697 6.923772625262422 -3.009216753346823,-5.553054700586965 -30.415501576422873 20.69456683052811,28.75084735240481 -71.69997506581731 -20.954262062162258
-24.479141844467584 -13.336968208314055 2.288392459278785,-22.03485651617733 -4.993843291859767 -1.3133857435305654,-24.1661678454164 1.9894900215732951 5.212377977970963,40.3971326956028 1.1415723363514674 3.7160053319176662,7.676814378840936 -3.8705193368451356 -2.1810569781895874,-12.390993266069158 21.707208094352715 -36.73900686657687,27.36327006152091 63.42015806104257 17.115627591439726,8.271532730035245 7.330973400348048 -3.5488320299460923,-3.379391920085429 -28.29530270617177 23.076975258035993,28.607054239091166 -70.72908594838016 -20.508579675402515
-24.209411212198088 -13.69518292359554 1.8311437515569873,-22.361701858523105 -5.1112821930890355 -1.8099434407331045,-23.59119781873587 2.17998563197666 5.175654134849147,39.75089441754271 1.298884734623753 3.902548451392614,6.477602170572929 -3.616569333952151 -2.095863915708799,-12.383584327038932 20.337211757199817 -37.38608846652658,27.534310591232384 64.26468600683174 17.51048841241574,7.055163078867386 7.598878125160171 -3.5417764603675734,-3.6122821693383425 -27.507193162021842 23.12865301806735,28.66371480227063 -71.26697708094268 -20.79608177440522
-23.356365751346893 -13.25722779836836 1.4095498526657526,-21.865464393368715 -4.4913130115515605 -2.3483987600047778,-22.734179369607745 2.5638208110136627 5.132802623567356,38.18484551474909 1.1856203583067013 4.4449713521463705,5.74382447625301 -3.561843940345101 -1.7268286432250144,-13.129007615229353 20.21499725846957 -36.95131227870415,27.661974568743354 64.90546535973718 17.808421011087987,6.2367691334030795 7.698441530096589 -3.116156430531301,-5.551011872674815 -27.944484135520536 21.49153019805073,28.84982314463734 -72.74935425295688 -21.536035538283297
-22.53225151732477 -12.556905711777082 1.198805376370097,-21.21196147919041 -3.6101074054311635 -2.6790218785698774,-22.207464147073857 2.8680023545166646 4.973162206703952,36.98981050373541 0.8928744984685316 4.803358660760485,5.617417973860825 -3.657308121248697 -1.359305130158399,-14.021254498768986 20.801241310658448 -36.29783834864325,27.706694524950336 65.13341512579206 17.91496720216444,6.029104805960402 7.639454201456606 -2.66955842160656,-7.30811308046282 -28.872430431705997 19.763536307335517,28.991797688586487 -73.84377046944292 -22.07407252959583
-22.304088341154177 -12.106582573402 1.345274833699064,-21.009170235547636 -2.9492263943416703 -2.5842958931920306,-22.531583101972874 2.8497966160027537 4.629160424110108,37.292547846893534 0.5325126179362017 4.5208122468122065,6.18340691258266 -3.844627178517791 -1.2569853541588687,-14.480306164459316 21.55883711109271 -36.19787367776678,27.638046441170694 64.78681894488003 17.757086400231646,6.581549829099111 7.445786549512299 -2.565157222892647,-7.210708638650418 -29.580098022780035 19.398309294317368,28.939383657507506 -73.3997982851579 -21.845940080510882
-22.820266701225744 -12.209362009963579 1.7357923594902476,-21.330933163319518 -3.0210759770303413 -2.1378732712740605,-23.396014586208313 2.542393225998234 4.417097344599997,38.72716245909669 0.39649796325859393 3.8930708315404985,7.023398417094363 -3.985534063049239 -1.482368862400191,-14.176790197969446 21.995122265823564 -36.587518058989914,27.507426394907238 64.12772497906941 17.453268233991256,7.480564043436836 7.264774664299183 -2.8480709823054235,-5.547231364685315 -29.596386609730413 20.523626703371256,28.754345520269304 -71.9199585778202 -21.10544279263857
-24.00980375985429 -13.058688445759081 2.121191020119162,-21.971191505162054 -4.354225771241177 -1.5659872535813273,-24.054742490257006 2.12357321522501 4.854432819739771,40.145567666374994 0.871169982234214 3.6102755853004247,7.45519516721165 -3.899874971308681 -1.9925248246460752,-12.912679804515626 21.64072447573608 -36.96472806910579,27.409106448609833 63.64024567684915 17.222369441940252,8.017621755003095 7.308454054135273 -3.3967474036517418,-3.6338945448129008 -28.575875376027007 22.572478693193037,28.609551672544608 -70.77296269323223 -20.535069818276185
-25.7731384142017 -14.789878046973898 2.2837632372660956,-22.721113693552855 -7.366656984589989 -1.082166572960904,-23.851881273226663 1.762547486268286 6.387188087661131,40.51324879107449 2.2701191343639753 4.276610825436974,6.874106540247384 -3.4387489860320133 -2.731711938457833,-10.585016898837036 20.151146692147098 -36.88638734619611,27.424267682837467 63.74135127585472 17.25312778671086,7.561352471429944 7.754617614005286 -4.087273216666013,-2.7117549498232236 -26.257704270639525 24.97500533578942,28.66142979350394 -71.19666559378656 -20.7517116363292
-27.728072669271917 -16.93195461525633 2.3521614279693344,-23.368580703618665 -11.301907390775558 -0.7509523890900364,-23.128140732931808 1.5241354916735206 8.684911038487284,40.07326910498702 4.126529882907804 5.5477681705990545,5.522121564791781 -2.7886420782164487 -3.5181563676207386,-8.08691375178305 18.504183933891085 -36.57526799009191,27.491242758087967 64.11515672748219 17.40546306000465,6.32624725708744 8.411832383261393 -4.786248472393679,-3.1288182812445298 -23.266161879825596 27.195958937415273,28.881663435572662 -72.96018151647793 -21.63649180906917
-29.322175730433713 -18.648770775114336 2.663651369120012,-23.699493467950955 -14.696144992188913 -0.5471503303148944,-22.824482153524016 1.410281492207194 10.94947801789299,39.838179788669215 5.5035465043053655 6.50816007520541,4.151186219253834 -2.3380444530331563 -4.094174613504785,-6.911417922408582 18.47405053672305 -36.65520813352219,27.46232642846693 64.00437668979902 17.34124729219056,5.036261386088131 8.866279885259814 -5.354559375184056,-4.695203687377928 -20.758663691530614 28.720938826427638,29.130664371785052 -74.94799904411379 -22.627379924276724
-30.037568136413014 -19.17057599609856 3.516949157887472,-23.51230290027898 -16.187834196975313 -0.4392157760421272,-23.777728789923888 1.4148951484153682 12.414245144703068,40.707299163522215 5.5449986065740715 6.322221076059343,3.4717964928381324 -2.4429142776687858 -4.229159278378998,-8.393767437320399 21.636913021954783 -37.68134607596711,27.20788534587974 62.74459277291825 16.76440361623233,4.3774980047161085 8.738751880790824 -5.667641829329787,-7.177434665184983 -19.818881077200718 29.095956490975823,29.275823791597407 -76.09994593016395 -23.190564492687887
-29.827732154237257 -18.640108490649293 4.681582027240568,-22.76616141795504 -15.846712659220557 -0.3302226351191311,-25.38870917130893 1.4402668124211238 12.796912772927318,41.99802729784715 4.508186001023904 5.277158404357193,3.575287466861722 -3.0080700870150063 -4.051789444625199,-11.747488730264429 26.898591657098788 -39.26060267059774,26.84430245454155 60.93547498925442 15.950927208659474,4.462956525567161 8.131312199475 -5.787839715925919,-9.879453374601908 -20.49462695307186 28.635262019368973,29.29324906599882 -76.21826552955096 -23.230608531783904
-28.971735862150314 -17.830393933555932 5.5615482007007735,-21.531223512278657 -14.731147853533198 -0.07808357853195103,-26.066360717308093 1.3254022184735337 12.149734533289305,41.935078734606286 3.419520791366562 4.435717135305101,4.125318417916219 -3.6267127042711174 -3.9389157644897406,-14.720568822997723 31.320406405400096 -40.34493225987864,26.657892641154156 60.049842831125105 15.571963147224483,5.009773836045472 7.478455896332964 -5.906600705357566,-11.785681083591543 -22.118211055560216 28.183754410981102,29.23414158407828 -75.70090141286072 -22.95487545802956
-27.75705190706069 -17.48862797090511 5.5909097844703775,-19.897185896013905 -13.871207038475928 0.4427859862538777,-24.32796318641893 0.9241921375698883 10.556997581533407,38.88530729059961 3.260829151516839 4.804218605297384,4.779713191876443 -3.905514747246263 -4.244794393860116,-15.17981290787631 32.100155845600455 -39.9536870017685,26.918473562432624 61.48067795757513 16.26203791800514,5.7259246559552475 7.19985710196545 -6.203255401609657,-11.940801182568746 -24.00719310236686 28.554165752122756,29.150624095514345 -74.95359152496427 -22.574141727831865
-26.501174831257618 -17.763865678081665 4.785745193479189,-18.223940483624826 -13.54916207004512 1.0867169490840756,-20.687305214784953 0.3421856801665322 8.49855920456712,33.770168577772914 4.080368255313012 6.268893546195026,5.237987551019664 -3.75780455808247 -4.894499990553711,-13.298747597889726 29.135196932791317 -38.35997589376834,27.58599406407642 65.10561413317727 17.962298756063294,6.299350494560523 7.381048034602611 -6.6282078118660435,-10.427974889623833 -25.47114083653687 29.893213326090667,29.085889177965782 -74.31880080779364 -22.258464913457296
-25.545341737981776 -18.332127740825104 3.622415496681857,-17.085060769761988 -13.455897162001964 1.4935215131019082,-17.237097525795193 -0.11604618314203025 6.76710996749727,29.531403338598643 5.188090162755557 7.830158549478534,5.232628955572757 -3.3394265537314975 -5.4736926701700765,-11.075150547903693 24.457809433553408 -36.82843088033582,28.37534587466464 69.60388511174939 20.065539805460396,6.402149766734686 7.843307619326966 -6.950817288766709,-8.151634791880515 -25.813301615843596 31.820902266445977,29.076067058403666 -74.08895528635672 -22.14570040352194
-25.209204583639657 -18.863969913578426 2.574911784738222,-17.02995294036951 -13.276566441221057 1.3141278227369138,-16.011850042547845 -0.15682367873540548 6.126254437466375,29.012927611719043 5.903357188179367 8.513874425371643,4.520351269641285 -2.8117995663828226 -5.579760890285457,-10.467733974412457 20.120631924051104 -36.59165211579759,29.00427097555318 73.65819517685453 21.966146509169075,5.7320894750638605 8.402969722512173 -6.947361681174919,-6.0298282714773075 -24.40284900309219 33.93783121468573,29.154895371054234 -74.5450534924358 -22.368136073380136
