-18.4 -11.8 0.8,-17.7 -3.2 -1.4,-19.4 3.4 2.6,30.9 -0.7 6.5,4.6 -3.7 -0.3,-10.5 20.3 -33.1,28.4 69.1 19.8,4.9 7.3 -2.7,-9.7 -31.7 14.4,29.6 -79.7 -24.9
-24.54767488160802 -17.26590829753336 -2.252016737783208,-22.017449010848342 -11.49324703011507 -4.781181619909128,-18.76836373340458 0.9992635487896955 10.312850803139048,37.881326195043656 9.413740056719849 14.357334313340019,1.1997778721252619 -0.9315858796770488 -3.2627940088900407,-11.550808651109328 24.390849666046254 -39.747810406660484,29.977783711465666 86.83146837377117 28.435642210753045,2.1107878727601945 10.142016546194402 -5.609148502231178,-10.765206635282407 -25.22246860381139 34.49327358200248,29.969595516275657 -86.39995668579017 -28.190324916947276
-25.096484725879694 -19.318978066800895 -1.015763047640713,-21.662660980325303 -13.109993879823595 -3.5763786741207286,-20.137481741401405 1.1438533528291877 9.531502594975832,39.66776611152914 8.050277666322275 12.507618693121808,1.0617930279659857 -1.0008452059918804 -4.345428427608486,-13.911978468215688 22.80606049452009 -40.15735413603115,29.86407931022829 84.2020681325997 27.16331297606063,2.122205760804541 10.299839338525704 -5.684719315940203,-10.82964481419679 -23.082005119864952 34.927116095246696,29.913185124176238 -84.51980755264076 -27.245895167921255
-25.636047623911033 -20.430768798910176 -0.38517416768377405,-21.50278694027445 -13.574732046000314 -3.2179435144319752,-21.049913159132476 1.4246055744589623 8.746546287626858,40.986749331675675 6.934743252842518 11.238140873821951,1.1078256605125776 -0.9964134717779088 -4.688457939887142,-15.12359679927062 21.735864643601342 -40.981402022423296,29.684316549951397 80.95049830549719 25.577709136625945,2.2049769173428877 10.40433527331527 -5.586564884346895,-9.778781923672616 -21.407577696310522 35.44675411378576,29.786889750593158 -81.98414800291552 -25.994432272827535
-25.968115498084643 -20.05213067971245 -0.6673464374740298,-21.748670469578013 -12.413685669704307 -4.058099130797686,-21.396259025694604 1.7622658282236323 8.157834864377497,41.866272033463254 6.398658485515723 10.927445147548287,1.2362839365401044 -0.9134362727462748 -4.039964489329494,-14.454912865159658 21.11309397925386 -42.2514737423661,29.47003027205655 77.96212199370851 24.102835082662327,2.2222857758145356 10.405585301034641 -5.340639646783497,-7.76007404603573 -20.73859720406913 36.14192375562562,29.57212900172636 -79.00037586562566 -24.547765336603295
-25.9818820521801 -18.886130448801246 -1.4341244391743073,-22.134155457962652 -10.475763548339179 -5.393344009863376,-21.28963381882431 2.0805868853995437 7.609955832228435,42.157495132471794 6.177515422256374 11.022056439731559,1.3365670179031754 -0.8205822515603386 -2.989328414487382,-12.898348997783424 20.66563148580267 -43.633488500586836,29.285054901433114 75.75977761187117 22.99957819037335,2.1520378073709234 10.34910514076766 -5.0164954814897555,-5.507837856829302 -20.543563803983442 36.862375868573004,29.319926620642573 -76.0945134252097 -23.15173580064077
-25.58388465245455 -17.884175919936144 -2.111536770676109,-22.298487300311077 -8.872190063815923 -6.31080544060842,-20.887282635147233 2.303918188944021 6.877041559645297,41.67651299531189 5.888601315285721 10.783661522089432,1.2962883276858004 -0.8011008446939676 -2.29277611434399,-11.788068141970369 20.080715170239728 -44.72086059893324,29.19963002521831 74.79440105594551 22.496473292235464,1.9948908748176388 10.299337224721713 -4.692330991383922,-3.872773038742615 -20.078593887662333 37.410267685733245,29.095110341536163 -73.85577118878886 -22.078761721827757
-24.797686112068423 -17.74482234280377 -2.275196741452807,-22.018828430684753 -8.39543362237313 -6.19652156096492,-20.396839518198828 2.3744831400481052 5.903045280957126,40.507451498563945 5.301215817718773 9.728317610932377,1.0648949125669562 -0.8988092695389741 -2.457528126541832,-12.03828643820523 19.133574556258857 -45.271503979827344,29.243586844377276 75.19385031015891 22.66404256920417,1.7782038261614765 10.29994738136144 -4.464983838302631,-3.3386006984833747 -18.848984138847054 37.6713560251521,28.949479459403868 -72.69653339354814 -21.518509388208503
-24.08031847759033 -18.230043992487854 -2.0547883522230026,-21.58319422008075 -8.657271489345568 -5.54371411705936,-20.212582175497197 2.3007113470019096 5.260946843853079,39.72724121411406 4.747721579886985 8.314285217128425,0.8208692480816393 -1.0114654527142035 -3.068472430415014,-13.0077120227902 17.92536499223967 -45.65264906328275,29.29708148799312 75.88928350895544 22.9875199189081,1.6282375507402485 10.317643660005931 -4.500331869739514,-3.0297314148580723 -17.283009901640774 37.84105555243149,28.886575153584932 -72.37420922890276 -21.354127601648063
-23.98915475943777 -18.885012126761453 -1.7082538119358344,-21.39785405183776 -8.996170443520414 -5.101899562558306,-20.771993238224955 2.10635806088886 5.669335361471032,40.642630593326075 4.690821030574242 7.217929343009051,0.7957117264143685 -1.0030170088585246 -3.496992260884147,-13.694978636003514 16.632688268596628 -46.372572964068965,29.205622779598052 75.5348425486923 22.816654674092785,1.6941471259654004 10.301319655936949 -4.980234595182205,-1.75591784397079 -16.022600826507794 38.186461607353735,28.89876764717671 -72.4945919850875 -21.397811431590945
-24.832386563594497 -19.328578682372708 -1.4352876839289348,-21.725485651876117 -8.916648338066288 -5.391958256328744,-22.333421340658298 1.8248107537139127 7.516550056157252,44.03075563663911 5.393227352596343 6.909943763889421,1.1314314886785248 -0.7968921996601475 -3.2903417317350474,-13.410958990406751 15.425635012013075 -47.73090574256872,28.867626337556956 73.21860014292942 21.70997546235649,2.055595207964229 10.206536254462161 -5.979893915771,1.1700165014036423 -15.505369439710872 38.86440217200677,28.951520659479776 -72.60950536939704 -21.43753641144047
-25.841751092814643 -19.497893389983656 -1.1839568679960806,-22.20845612443761 -8.640557494127211 -5.947071127806089,-24.381362910179412 1.531067733761833 9.764262899880643,48.38084624612723 6.253707621273274 6.972530200701986,1.5834387984149645 -0.5734734707227865 -2.755530615023746,-12.815386550582728 14.446167863922229 -49.12592994117547,28.41006316697305 69.90319400310959 20.127929703183405,2.4920397764661733 10.017656785928414 -7.1137548298414695,4.262000710554712 -15.286285886947885 39.55535434269564,28.89406281370706 -72.03762649727493 -21.15665057932208
-25.958370788988017 -19.416038126554778 -0.8343953231132571,-22.32166479952308 -8.583411928358839 -6.033765885788723,-26.191394355471914 1.3113611555430493 10.9889827210924,51.56445703575056 6.437785877499894 6.748020571125475,1.802772252311698 -0.5825142307746987 -2.404682999103447,-12.932152188721885 13.828655639504593 -49.71258765738296,28.02160829762717 67.05734575556312 18.7744594900881,2.701891337215739 9.72682049357979 -7.871869926052152,5.4472434590180026 -14.68202977082727 39.811192835221384,28.544242272782412 -70.0346889532229 -20.21025526413806
-24.45639295279273 -19.12843985794946 -0.3391748681565763,-21.698029948805598 -9.03878021541897 -5.146018936745234,-27.146470176731572 1.236587525080606 10.132592359021004,51.91553084272966 5.367481337399323 5.779943052388957,1.5308690003646952 -0.9832777095458695 -2.6184820703812295,-14.464040059449813 13.665462191654187 -48.89220307968188,27.851202728910796 65.83975383451524 18.204385467578074,2.4620100594947383 9.357398825247824 -7.869192157981937,3.2962466161016546 -13.245647756036828 39.32067741733248,27.801535690990818 -66.22980465262212 -18.42660876493641
-22.289180834889507 -18.79318820050765 -0.016122138160076904,-20.767253315822817 -9.685336831007355 -3.924679839577922,-27.170988019770054 1.3003163606955923 7.979310414197236,50.099534048974164 3.7581432041321916 4.626325629318715,0.964986102919589 -1.4787479849095335 -3.114837574990404,-16.494706765390745 13.83715264496102 -47.3084385270296,27.8474338677776 65.84586379473608 18.220602159334597,1.9448249510941413 9.090243055087278 -7.350462566865751,-0.3767995930898748 -11.722026006655833 38.462786008814334,26.977013077739795 -62.13475563044831 -16.507071537388068
-20.938165137213332 -18.60380209024169 -0.2979264097591753,-20.209603235746634 -10.008388888130636 -3.3712583663956037,-26.359614578830943 1.471799959740048 5.892719654025321,47.51513337065837 2.731837559601548 4.1642287064376315,0.44572350501821784 -1.6284218311595002 -3.4032351541233723,-17.598637614266615 14.157687221507002 -45.99563765402896,27.89588340061667 66.17952095115793 18.389543906430887,1.4471605916533152 9.15572755195345 -6.758473308385611,-2.7376537446822535 -11.230851585229388 37.833551245001644,26.511179286122786 -59.853372140165476 -15.427570766091652
-21.55466130433624 -18.688719401648317 -1.4989095090871458,-20.530036675498366 -9.591574862276591 -4.2672274589658326,-24.844102360792274 1.7230767088609724 5.020960717939241,45.37140299199017 3.181836436573741 5.08302496931382,0.25280646010132396 -1.0977973340499436 -3.0791320589193187,-16.646428316659616 14.458928872132704 -45.79962304505654,27.908137216170232 66.15816336663906 18.380955611456013,1.2122414135259825 9.71387695736827 -6.4551615609213595,-1.5579197542045167 -12.621977624340003 37.89869668612396,26.749728168186575 -61.0352022123186 -15.954847403424496
-23.3419458865649 -18.792476817944838 -3.235056944152861,-21.199047236154243 -8.598872808152967 -6.095584871566396,-22.97455630178577 2.0426686985251314 5.24032623296118,43.757689678902274 4.651190587879673 6.96448505957989,0.3066344268067538 -0.17783942409907907 -2.2454641077969417,-14.25612427853872 14.678467830673089 -46.45354621251723,27.949280346388054 66.35998122606166 18.47438005361429,1.1669095096056235 10.509711670405261 -6.325184340501208,1.8155427449829964 -15.153066066235612 38.354962162770946,27.478913445210164 -64.64932470927741 -17.621345488986876
-24.79161720278354 -18.519360167165445 -4.86723059207472,-21.309207389575285 -7.406276591126893 -7.8649556302410755,-21.18085216343108 2.4251200207190173 5.96246381990946,42.35426950009485 6.189673606760605 8.98573869200177,0.39633415309774866 0.6119847862084764 -1.1905645721259277,-11.684167763540131 14.792519743420806 -47.28406587086059,28.14047575835995 67.82375605214287 19.17213784043385,1.1224228207119704 11.136638338396171 -6.07883361180078,4.729723778456712 -17.50010267936732 38.618154212920096,28.28060823599922 -68.68556106554155 -19.50858262219289
-24.622103403416105 -17.565940387658625 -5.845184077571113,-20.123143271660336 -6.373150580947314 -8.722171520451775,-19.828269439075065 2.8606002617297537 6.644760260509916,40.85753262763949 6.968819330165254 10.44273634673907,0.3513588915691826 0.8319800215505067 -0.1834091975588016,-10.034004541746551 14.869578877158625 -47.68251099511105,28.57130324729481 71.31741908930935 20.84569558810321,0.930054932584678 11.254731026501691 -5.479962078230032,4.8861327694270384 -18.580549490858555 38.18761665330017,28.791216039106676 -71.41347129258489 -20.824550027784834
-23.12935169656948 -16.26907230906451 -6.236637900808618,-18.084552277287923 -5.74157375493448 -8.77565850660489,-18.834099869137813 3.3089346214175035 7.065983053311045,39.079600339270876 7.008096674339662 11.458109111556176,0.2816666015223206 0.5970125761211164 0.6429246678577507,-9.343427093118507 15.616550661591567 -47.492049056760855,29.11213265392632 75.72921326445925 22.958396695431375,0.7192718778265557 10.987123353729059 -4.664982481474302,2.453813503392783 -18.98945021045022 37.143857183225464,29.026719512187928 -73.04913350933259 -21.65737000639781
-21.276677065959944 -15.23648218676532 -6.37074279765179,-16.13678275331886 -5.704007628688997 -8.54064395757524,-17.92611444706972 3.7171111389289733 7.140859470573817,36.88155383506439 6.685692597619965 12.504214434447267,0.41588246294962716 0.2565554319284855 1.212851350030108,-9.199404395779228 18.010419696402764 -46.74699732727057,29.54059727866102 79.15218134180547 24.589403990723074,0.7372287106406465 10.65284579555781 -3.927918694960193,-1.3543024214579917 -20.031547711566155 35.81324427034555,29.1636818763116 -74.63209826962361 -22.46750338320174
-19.949431181380714 -14.980162996604099 -6.54575741091918,-15.126019882083858 -6.378492769336356 -8.486791447227358,-16.88467736725677 4.031781403037692 6.832607830029779,34.21439371723878 6.36535981248043 13.979144925983055,0.9410279906519003 0.12195362738963107 1.469432317156104,-9.215536886809812 22.7529234008769 -45.51700186258506,29.66601167102066 79.96156583438831 24.95513468404126,1.1871744129689465 10.534088452353297 -3.528092141865897,-5.322072289650344 -22.759765513631542 34.53457426677054,29.358213694622798 -77.03894672460144 -23.641751618267392
-19.376758223756813 -15.222347024278966 -6.80001326074708,-15.090331991728826 -7.2767222389984285 -8.699770113260914,-15.925213788106163 4.197223941326143 6.496504021856963,31.76206315832802 6.282495222490516 15.664263422344588,1.7008835560700528 0.18631289187063385 1.506342011544183,-9.236084098068423 28.289971602540255 -44.15465905593578,29.559138210414005 78.86054725769552 24.40417711979166,1.9103416194255485 10.606447664204447 -3.436808514417373,-8.237600275107134 -26.149701674176058 33.74096514587645,29.594701172679166 -79.79125096513586 -24.954471219031827
-19.467371926406347 -15.299621198282466 -7.0449177378170456,-15.6731786171477 -7.614305611373587 -9.077742075936445,-15.475592008041886 4.156558499935667 6.679268236333437,30.56640602517475 6.609818742617703 17.03977954062799,2.3716226150432345 0.2873405998342775 1.490800184766068,-9.217937919680784 31.965938628008725 -43.150731817647376,29.418405977069 77.68905361757402 23.837966279304226,2.571187993013914 10.695808014620996 -3.48473352259037,-8.891064335872365 -28.16258251789717 33.911592751200835,29.773676378893956 -81.74892321527015 -25.880957780589338
-20.12573369125748 -14.64607445875564 -7.1917326510653465,-16.533961617782406 -6.736501219724638 -9.505805382014296,-15.908177411995053 3.8671998099393323 7.836790651343282,31.5262501089302 7.4756536998572285 17.636116736654973,2.6583564770999493 0.28003798001822583 1.5668994895337662,-9.12351661759513 31.443598579479755 -42.92910130515272,29.422740005721984 78.0902207845567 24.060560975756214,2.864233811585851 10.648301416711163 -3.520293696626239,-6.299335895745399 -27.02552214916335 35.42172273580564,29.807212134253483 -81.91277612526713 -25.962001401489484
-21.236098664620997 -13.66698531401925 -7.158643699741373,-17.512655623729447 -5.265728309642299 -9.754639460984937,-17.04295212044453 3.425313477695746 9.531251339201038,34.12952672466738 8.581751378032864 17.49059907547131,2.5579289370716354 0.1973791869257397 1.649547680906088,-8.961451979619584 27.546849227683584 -43.255758358711354,29.55347284629444 79.72345652314425 24.895069746737377,2.787245219995742 10.516310705056457 -3.5734491949975142,-1.6782895252513623 -23.61161792854903 37.6355693888565,29.724844792666733 -80.69394544337753 -25.39339215763414
-22.671366524059447 -13.313419329572758 -6.8677276563123915,-18.550713168402204 -4.54214231203239 -9.530623010069615,-18.38947107650019 3.0050400326725164 10.822585059389114,37.07127457319245 9.390139007348582 16.925417553209176,2.2311309941808823 0.17235522305109013 1.5248556704230416,-8.766346770726958 22.87606992939163 -43.52697401112092,29.680894442463725 81.13335727705338 25.613328770976516,2.5084058333588435 10.46812717038283 -3.7761780602000887,2.5204090727438517 -20.280951284482274 39.34915849478481,29.622122615563303 -79.2961373063137 -24.739015625334282
-24.29340528571744 -14.432941321624986 -6.250149738533211,-19.593428102721425 -5.768989104746103 -8.579639423182009,-19.478448331540406 2.764973433776008 10.847456777662213,39.115496645463274 9.406936272506893 16.243697728456535,1.837332546243586 0.319238851335701 0.9963106944375115,-8.582213338743149 19.880146370857577 -43.19187296817254,29.685077349588138 80.9835401403539 25.54672722422183,2.193288643355109 10.652623698765336 -4.239220807982121,4.010089046880478 -19.22159266929685 39.46569301694336,29.586924498691562 -78.82668092536294 -24.517285943152153
-25.837308046984997 -16.599355247060046 -5.342225264909119,-20.617629545222158 -8.46514511012227 -7.115127616133518,-20.1267076094355 2.6728974021598932 9.699455257132726,39.93041865939587 8.681831494458615 15.49009908623588,1.4981865011692521 0.5217721509264331 0.08605187144000542,-8.559092652127449 19.017169534445927 -42.361804849861855,29.574173649864967 79.46537089672593 24.790231714440853,1.9550849193956914 10.97794845185426 -4.813241843293786,2.5819197682272472 -20.429733203474218 38.2077715490614,29.609438301559674 -79.1700525602788 -24.670420826347645
-26.956377635087904 -18.56468386319776 -4.248108328623139,-21.620491948384178 -11.062796779201427 -5.652175228540526,-20.3356595195345 2.573492279782559 8.089539452756748,39.76763583416969 7.6152024368954345 14.542528806043634,1.3110122249922997 0.5149677275542989 -1.0427159496675928,-8.915431241038124 19.460846722592652 -41.5753611563166,29.43896737829093 77.75585964572738 23.931439451033018,1.8731912713634888 11.196943317477471 -5.181114531860764,-0.632387313160939 -22.487448309526588 36.649215672207866,29.616825408682146 -79.42179108272866 -24.76889836224369
-27.334893518928713 -19.154510263009897 -3.0794516542934605,-22.598960579222144 -12.073324346713177 -4.687768484196111,-20.13138446271787 2.320846352898813 6.7127299888933285,38.92237931477016 6.602139686090158 13.297572366840766,1.3639931357453838 0.05840563010632326 -2.222794738731955,-9.844042959012684 20.39106272205569 -41.34428347078404,29.367011064634607 76.9770465593184 23.530651710144955,2.0184710293334045 11.080448145056767 -5.051984447007739,-4.477528494758315 -24.012085904695425 35.82203158887274,29.54170494905123 -78.73797116206465 -24.412487213598567
-27.11273491361969 -18.42368023009068 -2.0376194454044505,-23.541974917662536 -11.378934234494256 -4.393056270148122,-19.844167500478388 1.9304904470454758 5.8945526360750895,38.16764430079572 5.880907409245817 11.95410622486828,1.6223198865308008 -0.7073092311758831 -3.2638529412328143,-11.160569813739746 21.376300989780688 -41.70173906958114,29.380930314570616 77.2451339931762 23.647958878559397,2.3495065352251454 10.689321728405492 -4.5445141793324355,-7.78059183808065 -24.449940742106723 35.96926941596345,29.40838266035736 -77.3127302248753 -23.70088225323644
-26.766569866491384 -17.33573616059488 -1.3902925012139153,-24.432556398885698 -9.87517616531801 -4.698321720009483,-20.029168122478058 1.5372970790738794 5.687394864459859,38.62959914298803 5.573840414563544 10.934466629914446,1.9602643140625675 -1.3599104236962871 -3.9584582190752613,-12.40184051995548 22.272305222480583 -42.327123122473694,29.45535539767634 77.93278801621521 23.973685023623492,2.741879683316175 10.298810912286054 -4.080089837538744,-9.355649029469948 -23.860082360542513 36.750766481211464,29.308940933220175 -76.10756333279467 -23.10333423254395
-26.766280858113287 -16.828504561217198 -1.383502231764225,-25.253695151739063 -8.46016049790044 -5.513172415755332,-21.2089767706478 1.2737928012565016 6.126476742673661,41.34921409742131 5.783146903334278 10.634438914131845,2.259242944655911 -1.4957181317962285 -4.113335864107987,-13.123296015253306 22.960315445657802 -42.90482182220208,29.55931065513813 78.39532804891614 24.190214786492405,3.0781880047697663 10.173691259177604 -4.061736265976717,-8.114069256308388 -22.34050410501278 37.809055322984854,29.329672737977535 -76.0340709912307 -23.064578177208027
-27.327522322992554 -17.025598185276802 -1.8614603781634476,-25.99024168973838 -7.664959290848511 -6.486964773550072,-23.250902298643062 1.1834312754996354 7.060618484533656,45.74872798675472 6.309570263806814 10.89931570458893,2.561304981569182 -1.1472570261943693 -3.78731792515468,-13.31586885872877 23.64646869316284 -43.3492682871116,29.584228186090368 77.98953402631909 23.992559144002332,3.3962123635159767 10.31037581856183 -4.45162580360328,-4.657384626380863 -20.414469930101923 38.72376839239656,29.429102129766854 -76.82832191216801 -23.454789707187963
-28.45091188229035 -17.36193342225628 -2.32850264311351,-26.628620118286246 -7.7101881143765905 -7.048923787268864,-25.467988730689285 1.234324552913508 8.18097543797346,49.8811882541123 6.698862219318807 11.108759659886726,3.04436952716948 -0.7160119461300387 -3.2524789885269,-13.338848806793818 24.81171360371428 -43.76947903642887,29.355909295859874 76.07342124833298 23.08640896071686,3.864994237250574 10.478285297768014 -4.8390391301596045,-1.016738394111587 -18.964955624352207 39.02133459149409,29.45768082161014 -77.23207039279725 -23.658157842619346
-30.11487143247242 -17.274602719073258 -2.2968341545899684,-27.154360646872174 -8.782262958946896 -6.651881258739522,-27.176341167194895 1.3920179435455335 9.178062821573802,51.833614330957204 6.507624680389324 10.652966660168946,3.8782549474121124 -0.6006147962429589 -2.7818382359628036,-13.544821266354136 26.90084259544876 -44.269829950420196,28.710897643585625 72.06414820496379 21.20516790556985,4.646309596751503 10.448714240921731 -4.817995920211262,0.805438399685628 -18.83870362374098 38.24751931053705,29.270419527979016 -76.01789721793253 -23.073841698493613
-31.963594096477745 -16.718030783673363 -1.6812420149029441,-27.532546348831886 -10.538361855872262 -5.410567961302718,-28.13680122992489 1.6178649822177837 9.836160287379519,51.36402412856259 5.701691292968217 9.468297362553278,4.964459243772244 -0.885979083861022 -2.523306129357415,-13.889595586362521 29.38744346350726 -44.7212814587339,27.763355248683443 66.65980339904195 18.67555079349548,5.654862207000903 10.188535002134152 -4.3397936726362945,0.4049698639820132 -19.85161885464501 36.40347754306892,28.894914170978925 -73.30528326479917 -21.757220189371633
-33.31803809665254 -16.14695784202999 -0.7858530683643123,-27.708485734251102 -12.123833237504089 -4.0798416268546,-28.540318229320473 1.8691653096666345 10.0302277032951,49.846469455620785 4.642666473802791 8.019312062775052,5.944985983943724 -1.3536191388589134 -2.503799644033468,-13.945256314652179 30.80584546326861 -44.769056334798044,26.895930718782182 61.79727138615129 16.398067649440378,6.566410636740231 9.853764554340792 -3.701255679340843,-1.0766365598097647 -20.82267633693687 33.930774638675345,28.525668990765485 -70.51630557218284 -20.39830682288848
-33.51091795954858 -16.024575498928794 0.07543723438835544,-27.630755033399076 -12.689841020815564 -3.418752284967382,-28.594391220991312 2.103319283155302 9.649171926294827,48.691790500135724 3.701924374552196 6.780055307109795,6.462172804984821 -1.7768266859093391 -2.7420330029476387,-13.286346098987126 29.704177180217147 -44.06565925360668,26.49054364295076 59.40453910288735 15.269075620661834,7.056931951367971 9.604173424525722 -3.2082823282333153,-2.4481091035750295 -20.563952793289918 31.28854227167837,28.357294687813866 -69.08056863731383 -19.691059564507164
-32.56822108154257 -16.480612819052656 0.7596417590233517,-27.361075661336972 -12.1300555519094 -3.5759449058597426,-28.47753352519703 2.285125151546658 8.86604059658771,48.497129923538026 3.072660759999165 5.8881181606256465,6.462243315446549 -2.045138829962342 -3.166424628864713,-11.991288749076041 26.079938800979143 -42.72199000468738,26.604056831733566 59.756190615085856 15.418218526076673,7.079751171239602 9.488967489716467 -3.0264167375327626,-2.891859212691518 -18.827918085763603 28.92344415637267,28.397859303521244 -69.15771131283392 -19.718388310684848
-31.282409017676535 -17.276126687634708 1.312727553106381,-27.086260990557168 -11.159053367425313 -4.025207957099039,-28.33621218131303 2.387560183807401 8.168023991793856,48.96001617439297 2.7510795103198347 5.109112760377032,6.227393804289174 -2.17661217229457 -3.605562992310645,-10.695593035656593 21.533038347438115 -41.355744510866685,26.93395422527286 61.29882763205306 16.127471137022116,6.894825884759711 9.435113677830936 -3.1660247137817024,-2.003438005435548 -16.406729437193032 27.268359580186925,28.449191555786975 -69.50331368702598 -19.88763555147826
-30.4695132857177 -18.154452300123353 1.7894572890557088,-26.99494804369652 -10.521553480496719 -4.214365554613823,-28.313982712460064 2.3843473799646855 8.044850884234895,49.73468925077621 2.7203765724669324 4.195241279688847,6.052231808910928 -2.1969466853795114 -3.8876738464616087,-10.050406070757974 17.718071146641453 -40.59767017711686,27.16334679851464 62.406824010953926 16.645300535183434,6.773489335707947 9.364476578096431 -3.6262147370763405,0.5711220064832564 -14.137009347058578 26.743041363578598,28.306557098634794 -68.82531819001828 -19.583015583610106
-30.35617728394154 -18.908622228536306 2.208605226125671,-27.105500459606983 -10.510414466694398 -3.9193315342299457,-28.50851290261181 2.2610180721311632 8.483896125036958,50.59501285995528 2.860717937602512 3.1125603175710297,6.04917163160918 -2.168185419943113 -4.016881731014162,-10.223839149563654 15.255604895442769 -40.59604967338273,27.130058370824557 62.27373702114372 16.59952035597327,6.822559751001163 9.243725660937576 -4.2879306070188035,4.120128877257474 -12.513407384573028 27.312687541334096,27.915719839528403 -66.74796705843882 -18.622036597436956
-30.423777356315092 -19.394510178293473 2.543439143577294,-27.220975292287815 -10.847128282337842 -3.33088126530339,-28.959446596928164 2.0180349433894365 8.837320154502004,51.46611200277747 2.9219907040533606 2.0975402336953892,6.10024862548283 -2.198326372150449 -4.2197309565274645,-10.773216433209438 13.458704304899895 -40.88910065473961,26.867543419891977 61.1289615886105 16.09761879781086,6.940830088718783 9.096185087846353 -4.8826997362112845,6.584390022568078 -11.598156600927945 28.36772259082414,27.412745095665656 -64.05414152259337 -17.37009645580644
-30.113972024489236 -19.475014465357688 2.7651835827183247,-27.133831963201786 -11.218937135406122 -2.6654441331073246,-29.699227149323995 1.6577830281903851 8.429588952913422,52.28150517546965 2.651073748666666 1.4012178524591117,6.075363514243241 -2.396290814291048 -4.732043782802936,-11.221664891886183 11.572481096266545 -40.98161921758623,26.42283440775419 59.27127281650897 15.279051544782602,7.015874600661198 8.948386128231784 -5.136977313802145,5.858620850424734 -11.425225535314581 29.266025809092127,26.945545889364535 -61.59818995806837 -16.22642080777445
-29.27510118112321 -19.16346051988867 2.8890907611860785,-26.798083022849024 -11.433915326433326 -2.0912026800461483,-30.58550133914947 1.231117789445779 7.24128306733674,52.908867939204654 2.0636816925274437 1.1348684685634804,5.977320516174029 -2.769242298781704 -5.5388353386179245,-11.342875464793988 9.642388951992569 -40.665617097799924,25.89462424624839 57.14666884279516 14.343358505091189,7.042133568389975 8.80538169857144 -5.004025609361415,1.8654638403608115 -12.00223462497734 29.582956314786305,26.643921043699148 -60.0906574332752 -15.523886291766985
-28.344271266135575 -18.69095225651491 2.994153271329733,-26.401627018883737 -11.475069914135528 -1.7064908419319442,-31.22285695900053 0.8590669891779857 6.202862571241754,53.12055278334358 1.564731869700496 1.2074298241567916,6.001332789815838 -3.1770262423746742 -6.262018680493744,-11.273289129413197 8.872564018767134 -40.148917947981545,25.45639644945441 55.41428763443233 13.57706557572466,7.168760884286326 8.64112976829649 -4.765463269597147,-2.5365390620433566 -13.298659257704248 29.208726211699947,26.61144483519329 -60.033900044408966 -15.49931381145689
-27.79999540633347 -18.301627169416275 3.162457575672268,-26.14740276177717 -11.337530441128026 -1.6031219803086207,-31.19931629365235 0.6674306172837863 6.307719259167264,52.6817332186869 1.584492399253902 1.5125462088606483,6.355878369113889 -3.469153569008516 -6.497942971399743,-11.175767725393882 10.54028756323867 -39.6695110579741,25.285884835981157 54.743795987701695 13.270841564794727,7.5555061874704394 8.427612514435788 -4.724753168777795,-4.287733231720291 -15.279994756073107 28.05898558021387,26.94789030658869 -61.90560698460549 -16.37808436571636
-27.780773267272583 -17.947781415267087 3.338219193146398,-26.00079378350867 -10.902292999716272 -1.7962202193019936,-30.33866074564565 0.7296349698415475 7.71899313945072,51.37806016183706 2.1814065541203465 1.9833268224724745,7.1189026608448565 -3.5821090067534116 -6.050633361529515,-11.069859778642227 14.646650822398556 -39.29237848004373,25.444170440000285 55.35717656291062 13.521435813232738,8.252038746004741 8.170126559283286 -4.904893420653495,-2.4141791956341745 -17.83935871544841 26.107322296278717,27.625778868548814 -65.574190921771 -18.100179878182576
-27.860581413285423 -17.097168049691007 3.2367470212890828,-25.53277145945469 -9.860858333742003 -2.173582823747162,-28.85610171506543 1.0321504913934358 9.221360228393968,49.02918309105875 2.7965781804944245 2.618404310243687,8.151628230199107 -3.5967795713208957 -5.0689186801013815,-10.73717124648642 19.073891413029795 -38.795258985171486,25.798656106018626 56.733123693256566 14.103633882661692,9.125261792087576 7.929280376279574 -4.863227526922018,0.5951573108525601 -20.749700256465367 23.423518145088547,28.406356514251723 -69.89648494617012 -20.131735235834324
-27.562638514193527 -15.176785124719272 2.5538168974221414,-24.280717129324703 -7.890683632986288 -2.61129938876822,-27.004407213623693 1.5527834982862143 9.476170759641573,45.46258969549382 2.8160795873305866 3.4227031833989905,9.294828543879783 -3.6070623288155086 -3.734274578485331,-9.940328216121898 21.51855813293268 -37.9299156484256,26.199090638884872 58.28310054987181 14.763148091633168,10.025021970258782 7.770705487845983 -4.116674998046534,1.936879850779755 -23.772699131257962 20.089175749384783,29.032043165708437 -73.63935852966658 -21.896767293203972
-26.690571428756577 -12.17385372052979 1.2180778892072799,-22.190753236360305 -5.1036755388936434 -3.019230521753335,-25.110356046586908 2.2164223304841726 7.8994751544372805,41.03227024866053 1.9866348704391295 4.414113757327319,10.387491521286826 -3.6381305355852738 -2.243806339216588,-8.834521713422639 21.277844830166146 -36.573876117081106,26.564164302757217 59.742317756162926 15.391460148145415,10.821081021623149 7.738218970514136 -2.577603183387579,0.17866622518412434 -26.676914895985977 16.49858470099337,29.36955825371232 -76.18470882638583 -23.109998328358422
