-16.5 -9.4 -5.5,-8.2 -6.1 1.1,-10.9 1.6 1.6,22.8 4.1 12.4,14.2 -1.7 0.9,-1.3 35.2 -43.0,25.5 124.6 46.5,14.5 8.5 -3.8,4.2 -37.4 35.7,25.1 -125.9 -47.1
-16.590025306678626 -9.27227571297447 -5.978656616561061,-7.841436152430509 -6.232242342885406 0.9890860888095419,-9.9549472364969 1.5297365359963173 1.7762279369855831,21.67803180319962 4.714361861496737 12.840270212216897,14.53914790109229 -1.520804987488889 1.0304112761471191,-1.2074899534513532 35.45971794743864 -42.61189665572051,25.893237905533404 122.83079175253485 45.7395913864532,14.816159283357278 8.660392067687267 -3.843065962928519,4.434335991066682 -37.693806306763726 37.49107540611381,25.762651945354147 -123.42259259774511 -46.05297965442306
-16.75539062130241 -9.568287215067512 -5.236051466318253,-8.258400070038634 -6.329533860539073 1.467128112880348,-9.972658703311435 1.4345543251076187 1.2210598453633053,21.42531018564819 3.9880390592847474 12.061700172319465,14.516973442790999 -1.8696575110647082 0.5153145959593424,-1.345817396490327 33.812347009226826 -42.55839547604355,25.527893132696946 124.22790196237813 46.347192772121225,14.875311627852634 8.415150306627107 -3.907700202359404,3.564916709789256 -38.886975340532764 36.46199036178268,25.73499868618875 -123.56588965185051 -46.111716082287785
-17.139197001483787 -9.4238794415494 -4.510745016574967,-8.9844218085874 -6.0871964369353755 1.987986736871377,-9.623340205849363 1.376868053307638 0.25096951213983854,20.454419386363814 2.839258210105673 10.970003702929336,14.728873672124925 -2.2544155296603243 0.04857884022689411,-1.762159221359406 33.32013908644182 -42.52096566566164,25.163424240914715 125.5196046136335 46.91024266091031,15.136933431639955 8.181053431190495 -3.6732454647940807,2.84473737130228 -39.99688538486894 35.03981511835073,25.387350733816266 -124.84736124666594 -46.656235943343056
-17.518735602094754 -9.03693595238138 -4.05011892233489,-9.658917060708223 -5.710753411887319 2.4112093232005596,-9.019443556778231 1.3218362418879614 -0.6271521266114273,19.125060730956147 1.8691051548883115 10.124011966908089,14.959084066757345 -2.54783907203641 -0.25631297078409676,-2.1404483548287154 33.43093373443284 -42.56194381899575,24.806984604989545 126.73601386472271 47.44112389797411,15.369992297210043 8.023165943740139 -3.370755456182554,2.3170535865436226 -40.889643791760285 33.89334132665973,24.990095007931185 -126.28150650201584 -47.265252445138856
-17.693021450088718 -8.601700259940397 -4.067230611936567,-9.955578197830818 -5.394800822312479 2.609120355922976,-8.294315495913299 1.2390314392494435 -0.9571024158360972,17.818654479104463 1.6159390405980183 10.018178807060682,15.01936383740199 -2.6375504558028053 -0.3032453649218151,-2.1864764045067404 33.59942644614877 -42.7287561950489,24.467156919206804 127.89937524434032 47.94857937404648,15.374789495431534 7.998431778934318 -3.2118767559475425,2.027793398604895 -41.44169284399903 33.6341947270958,24.79492726871133 -126.95185181558368 -47.5470173846676
-17.704670384765663 -8.253659932418053 -4.40567217696547,-9.931181041055932 -5.200973307070178 2.5931912254347824,-7.790237961256501 1.147958731450495 -0.8474455014925426,17.117893427234932 1.9223499082243332 10.438196903871162,15.027843137926205 -2.57271562730672 -0.18053340435255033,-1.8567914423048268 33.41389608452412 -42.908893696919826,24.1699628483457 128.93519573143575 48.39702256062024,15.29784381680352 8.076733417230297 -3.1853593041007424,2.0587922179789357 -41.63433522993488 34.23660565377818,24.836543922523383 -126.74153675071689 -47.451926627540054
-17.74301953139278 -8.092913708198516 -4.686505953024271,-9.873233385762394 -5.110822572950785 2.458701798959656,-7.975335003840755 1.0981976778903506 -0.746905771690772,17.726697247566598 2.2118645904627754 10.742870586436059,15.287179991088498 -2.499798603126865 -0.08757505324975975,-1.2589726904522793 32.54307905957353 -42.89351782361444,23.95192758610293 129.7107164712592 48.72416722595434,15.494201598245052 8.175516040557905 -3.1457019219604874,2.513512538705859 -41.51203128259964 35.29089983568057,25.018942204665997 -126.01530957646632 -47.1364501376025
-17.98764969167237 -8.194001117751286 -4.565469424409835,-10.055117304790308 -5.093507039924431 2.291733552433824,-9.253987289815692 1.1377276193134824 -1.0669583467205992,20.23734733066012 1.950688367668277 10.346897705281192,16.065507411952538 -2.552740531328092 -0.20100921319307907,-0.5092489426143283 30.745436339786053 -42.500091317223024,23.849711818902254 130.09250152662455 48.86849184299539,16.278446089236752 8.219505642209825 -2.9500705682281048,3.4701433910625914 -41.12528996420211 36.39550652588758,25.24920660299742 -125.12603552759357 -46.75188153043909
-18.467719618432533 -8.311100241713563 -4.180426857134637,-10.529212284612552 -4.9738955174159125 2.046121853595316,-11.19401535281615 1.2888006563382484 -1.6834062671887549,23.794411901696925 1.2239233004139087 9.454098792291736,17.15742292582611 -2.688390194864525 -0.3871718224475837,0.19215374716439265 28.911731085482536 -41.8990484608834,23.899863095074238 129.9486948696921 48.78293399259676,17.411538719701614 8.235664396287941 -2.5132834993015396,4.6801517110187465 -40.590814767314015 37.319806847304044,25.496818104306243 -124.19018008540864 -46.34718970154668
-19.108486364666614 -7.977104452475236 -4.002264122295026,-11.195243699068369 -4.477191001783706 1.584355119777241,-12.785398775414459 1.555898197047135 -2.1020453836017037,26.54247374568006 0.5441648119025235 8.813368645958096,18.030436754753083 -2.741272569107111 -0.2980618547613014,0.5869895185661859 28.71484665371296 -41.504633161273205,24.13885081456438 129.14853177052595 48.430418660389485,18.27203522473174 8.321572534886212 -1.7899814030300245,5.669326209668287 -40.071032030831326 37.95126427842817,25.774357110334623 -123.16091926396595 -45.90066433129541
-19.83106284970065 -6.765201593541008 -4.471701325215455,-11.948235077967393 -3.3543742994113916 0.7847345492546858,-13.077076116217885 1.9400114670089452 -1.8547178563394981,26.741629354176457 0.40017101579378256 9.124361138390642,18.181037812284252 -2.556295883773606 0.3897921647716674,0.44300662375577243 31.662665449793323 -41.712645354195374,24.59565595846773 127.58673835724842 47.783236505884226,18.27346181606604 8.567197131895501 -0.749696096307155,5.993198039653654 -39.72291421852919 38.183108550951616,26.09053192893333 -122.00570371247595 -45.397080295517476
-20.52419083186921 -4.945329709229531 -5.455937135941346,-12.657267018257599 -1.7891664185728615 -0.19961430558099572,-12.216275047970095 2.3932385478393567 -0.9940449906326053,24.76278252128758 0.7765240626417604 10.150090084160368,17.658891574032815 -2.17816519734103 1.551011148374747,-0.04885235998686756 36.448428813342446 -42.55575511626162,25.182553779795676 125.55505544284115 46.95657307338116,17.493080076810937 8.921926784046715 0.4182686839243245,5.740925586000548 -39.60423627470216 37.96182775735984,26.380323985635393 -120.96514659616965 -44.94422715896904
-21.05101161180215 -3.3384458218742576 -6.36860566900331,-13.170903368796422 -0.30751728044788773 -0.9982233862841755,-11.218795860299863 2.8290107935642888 0.01549814515838506,22.646151066815907 1.259082825123435 10.91283546429197,16.95113850095575 -1.8095931932069567 2.705246353376773,-0.3629652180393346 39.539443105148685 -43.779454359420875,25.71952379782032 123.65919953150554 46.17862111304606,16.53306107065279 9.2239747935031 1.3508044445258858,5.423681797756589 -39.69432362796195 37.276028912387645,26.520408427339802 -120.49588933579027 -44.74717960823687
-21.279573893318542 -2.742860807869047 -6.640157431228312,-13.344772720479515 0.574303006199838 -1.2553043724367554,-11.074847864783955 3.1622033318073663 0.7129578872306614,22.37587245129218 1.4398252215020673 10.473056213124224,16.533436721879994 -1.647681825834125 3.382422231745907,0.005030273914971132 37.55148262463768 -45.11659219209755,26.031986877631457 122.48750275816678 45.671313436766184,15.981791605906968 9.316944841749196 1.6976284454785997,5.538842236816797 -39.95863615343888 36.13175930245493,26.396274791152972 -121.02028343803676 -44.99548776627089
-21.18626438903048 -3.2285100759901515 -6.26534025218645,-13.181846609626461 0.7076658502502527 -1.0134251447058136,-11.821788578404412 3.355994461336383 0.9227600838205622,23.97151988987515 1.2393756038645964 9.019848339457086,16.42871075740736 -1.697733620954754 3.4982942709518605,0.9720676378448355 31.143874139743616 -46.20725558606418,26.09921437065453 122.12668493725417 45.475984860400736,15.884304642152705 9.207268892886123 1.4480137962399313,6.094472014327753 -40.136098538078464 34.849849360070856,26.094506440602476 -122.18407823762384 -45.527374172923516
-20.845461115520262 -4.206516281789995 -5.7493066762705665,-12.818367688702958 0.27647297112547015 -0.6754652049874041,-12.635124807733602 3.4172525097376703 0.7274552323307957,25.675725944282874 0.8756177344930375 7.76315565857737,16.2503893554617 -1.7915692733958946 3.3176006165560503,1.923753438782536 24.633321764313315 -46.60762852437465,26.0396347896883 122.20975950700927 45.470620020842844,15.794171714229767 9.048656453906753 0.8983605401253697,6.656056858177616 -39.760735279754336 34.03584963856614,25.883575316372685 -122.93058945112415 -45.863286947306534
