-16.5 -9.4 -5.5,-8.2 -6.1 1.1,-10.9 1.6 1.6,22.8 4.1 12.4,14.2 -1.7 0.9,-1.3 35.2 -43.0,25.5 124.6 46.5,14.5 8.5 -3.8,4.2 -37.4 35.7,25.1 -125.9 -47.1
-17.37171413513578 -6.070466146093829 -8.198225536349788,-11.282179695445196 -1.370585802756801 -2.992549939813992,-8.333626358095165 3.8026872804354688 -3.099537474219747,16.852860326022196 -1.297928470563168 13.361520392497221,13.887612681418528 -0.6817673428422855 3.277239399279009,-1.8384774617161255 37.37385622180462 -42.13154737005346,27.175942737182076 117.55808324338116 43.41796174339188,13.484934489078618 10.094284335183016 0.652631906667438,1.028437960767759 -40.8827255010779 34.5760224977899,27.170010431447043 -117.29927785995407 -43.308561009895065
-17.07070854740979 -6.213375758317214 -7.9314094437215505,-11.003145579494406 -1.2728023842579987 -2.395880389978592,-8.155676502020084 3.586167523689511 -2.4861190442181145,17.832427552490877 -0.5887389375963588 11.81189901521165,13.922030864792072 -0.7661477830689208 3.1847655912863106,-1.8925800957961214 37.65605773142796 -43.86039557466428,27.132976411007824 117.76317596883635 43.53174259631048,13.598594219645795 9.883030355940447 0.06156785655665492,2.0283347611458575 -40.96011877211018 34.364857449307266,26.988071703806092 -118.0635071244652 -43.632043000235996
-17.2380498469002 -5.73509857107268 -7.681762967723485,-10.908656774135583 -0.9700827066308878 -1.752675843303664,-8.210989173460192 3.386448167395878 -1.8600156356533337,18.85690230361559 0.033929363968357135 10.644981600651304,14.231357914997457 -0.914878268671859 3.205986374534011,-1.897096245923376 39.04377176660328 -45.3874510394783,27.096147725839284 117.916575474597 43.60702477001681,13.929920137752605 9.686286969832894 -0.08766849886985734,3.185296170857998 -40.431912980071736 34.751508965401385,26.784460341720237 -118.97149834855198 -44.03235649091526
-18.06270037219674 -4.559760790634554 -7.452144322964694,-11.24263607734836 -0.5240376835643046 -1.1995048297182695,-8.458245770451448 3.2388328277452514 -1.4984674777658682,19.227044044732317 0.23582847405133442 10.47904959463555,14.739536954775444 -1.155348320122677 3.320966176433846,-1.7919488880108772 41.15400366937514 -45.952778900709276,27.020238276532954 118.25150878314203 43.73963881997291,14.378454641956166 9.531792889415795 0.39295348085680226,4.137001229637414 -39.26659794166818 35.639192356550566,26.588143364717915 -119.9005484874123 -44.463746901635524
-19.131538045515583 -3.2250318129834215 -7.2040489199993125,-11.707467426652082 -0.10360649028830733 -0.7741520395794328,-8.94210806706722 3.1203503752961654 -1.3502363479962791,19.318234841995 0.1488060325970289 10.928316748103875,15.43648612249372 -1.4399211987671157 3.4004955706178555,-1.5345502091539018 42.683917814736645 -45.58363662378396,26.889516763881304 118.81659042648675 43.965946234049454,14.9865675527279 9.408375441012991 1.146553039490117,4.667256008202263 -38.17485937606194 36.54218949782165,26.395079938946985 -120.82127102992894 -44.897930629204694
-19.912035472350972 -2.3902577054162513 -6.8907694113389955,-11.898136454351189 0.10098751411337732 -0.4948108493122303,-9.724288630002098 2.996472773678878 -1.2989389603181096,19.718977069305772 -0.0028531264471468205 11.407867956144687,16.325207585214486 -1.7060807739706254 3.2936948324233786,-1.0857817259212301 42.14826258471307 -44.46340216117898,26.69410025088393 119.62382050200335 44.31051366941612,15.824954023111985 9.297145088222571 1.7081827808233798,4.588849180967916 -38.01457320334418 36.89765068094938,26.1946830672317 -121.72278633253121 -45.31008906775322
-20.04314556515648 -2.466566778030332 -6.497141675230293,-11.539762106226757 0.0033925545166318925 -0.3749481373572394,-10.789131306611939 2.857867785562282 -1.2416090957626695,20.792925519517155 -0.05307602524293519 11.474219214033779,17.381637690374482 -1.9003704303298492 2.9371639677932366,-0.45728385031686614 38.756938312959505 -42.84492717633462,26.44658742092279 120.60304269719542 44.75522591122698,16.911702470000897 9.192803852130915 1.776389194636008,3.8461638838487797 -39.30355623357849 36.35933292130917,25.982605988808672 -122.58956342142594 -45.680348433661955
-19.79899451851537 -2.945673967346369 -6.1248395789241386,-10.839484880861086 -0.09799660348592834 -0.41052355178537026,-11.834401594423792 2.7885299156478025 -1.1249781517858535,22.070886137898807 -0.05140987207927588 11.207755745497472,18.48145937561731 -2.0028905370651526 2.5915331211379167,0.15128903027482024 34.29472961299386 -41.23839810072926,26.242850219826543 121.3797884585307 45.123871545624574,18.070042822708423 9.140397693208254 1.6553098733323641,2.8710169849619036 -41.30002605599432 35.383317454624795,25.777616150683215 -123.38884251832303 -46.00715085978077
-19.600740644697527 -3.1064652084933897 -5.902583053214876,-10.116025300229945 0.1842772713997901 -0.593444106168411,-12.491526839087204 2.894057267062511 -0.9072817027232614,22.890874125496456 -0.09731438490855444 10.810129842977048,19.477148571047216 -2.0015093507612116 2.5924400588721515,0.49676040036269326 31.1424642555599 -40.21357011182531,26.19803697747317 121.50914597786233 45.20364250144098,19.078098490982846 9.196626361888198 1.7892667413349277,2.2080582059053993 -42.970623856836056 34.61141031410132,25.603831556964515 -124.08387566142142 -46.29317831092596
-19.757236917745317 -2.4378370023968485 -5.9321918043909765,-9.644873307853457 1.0985710138138596 -0.9125380721448831,-12.520009293943266 3.239787972943866 -0.580611992576978,22.831380841615125 -0.26118308962990205 10.45028786572443,20.230240631106195 -1.8900605066992218 3.1637896111893777,0.41969204699335994 31.093858081861892 -40.20485661248083,26.38238695222052 120.72450849031421 44.86383983187023,19.743881761031602 9.396931436948911 2.4852576974869094,2.2616781811696347 -43.50671903679713 34.54771479624958,25.491204171184165 -124.59302736372996 -46.516822149346666
-20.09218142578218 -1.3359236865694761 -6.199277568956762,-9.514764355525141 2.292332916246335 -1.343333670661286,-12.232630052064533 3.717138592836425 -0.2833208196043151,22.509745708954096 -0.4878446430787346 10.155887757536078,20.641407286569113 -1.6881478543518906 4.0468044777505305,0.12239211100154049 33.406325224806395 -41.0619995709223,26.67213388306327 119.52954038901584 44.32847295474347,20.004523754174098 9.684919985941217 3.457045955483536,2.830353503412021 -43.070498528173104 35.10146349449512,25.494888444686943 -124.64074969823899 -46.55153923726393
-20.2982930248057 -0.4417902766241185 -6.658078946525626,-9.764015027513203 3.2507815550429298 -1.8577684540396513,-12.091541138740881 4.170571373712645 -0.1932462670891273,22.823770174996895 -0.6882284451535909 9.916443255684422,20.621886074449286 -1.4223325324298355 4.8523957058907765,-0.09516913656215353 36.65254415898936 -42.476894836999165,26.891135052132746 118.6358592955036 43.9173133436337,19.832014327293997 9.979406140979599 4.258236755172315,3.5489796940961167 -42.08624480947402 36.021289346018264,25.676842846662705 -123.89914341008364 -46.24245684435813
-20.139731945022596 -0.26465809111504063 -7.242730876598042,-10.397270746763267 3.5685586288387174 -2.411241745989958,-12.428887046195287 4.466203847910462 -0.4352808395139788,24.385535049301854 -0.7881510699113782 9.726824602625133,20.124439271531354 -1.1282745961856653 5.25853045197217,-0.006390550882349936 39.53579654836726 -44.12195501610982,26.89992502229057 118.6072366096434 43.884721684027326,19.23194459216019 10.206222684126638 4.5272673054428125,4.095769397746903 -40.9795804919996 37.04508214048239,26.069097498146302 -122.1852909083912 -45.4998678480254
-19.740893674852977 -0.648940879400318 -7.786003183432243,-11.249402651430145 3.392056850124279 -2.8757633464777084,-12.921270615993832 4.579348509676543 -0.8673493306443482,26.366425480024393 -0.7884965473096411 9.608913859657752,19.31120624898754 -0.8875125225163577 5.2812994949086685,0.2453761809685664 41.4179513341331 -45.57136585121631,26.743978332099637 119.26195041991838 44.155233872915666,18.37932868590515 10.326594106087466 4.330331037194279,4.367363710657428 -40.182864814893435 37.85657473536832,26.552775909156395 -120.04731185110276 -44.562648341562756
-19.339457830744575 -1.229988608031013 -8.08878913719904,-12.101892514314947 3.0411795222273477 -3.0971193328631177,-13.039144784641218 4.519656679796052 -1.2634224969032624,27.48476726581414 -0.7137555673733795 9.59308756571664,18.410169742918526 -0.7960122961010061 5.043124237485704,0.400439332968083 41.867985128732954 -46.368423425797666,26.526928080139093 120.18384157468924 44.549664939566284,17.50245964954016 10.3128746211619 3.8681390042235355,4.329093498183582 -40.13057550235504 38.122469115417246,26.961545591297256 -118.26321710030834 -43.77300484539538
-19.13646139471952 -1.689701726843796 -8.003994523429192,-12.759343782169742 2.7860408664776872 -2.969690446473059,-12.375334622566353 4.310964917147731 -1.4209891545037214,26.747816795050422 -0.5777391452695321 9.698773863348446,17.62420547175023 -0.9194768661555734 4.674468602187439,0.2790315347520563 40.61262157921718 -46.184014508896155,26.333305877573927 121.02861189964591 44.91978502670551,16.799973485844156 10.152321092511416 3.326543865740808,3.994101008589781 -41.087054816660526 37.611634978391685,27.155756561482914 -117.48357144011678 -43.41793033585813
-19.116592299957606 -1.9849688584622935 -7.6913450389736235,-13.162838220120406 2.6027433547081658 -2.6745079018777815,-11.244816204473095 4.060695353279791 -1.2764199687585396,24.867815392883937 -0.331222564194509 9.880812867047227,17.0079751787246 -1.1450975180767604 4.352999560915959,0.17300122620169128 38.30847440199499 -45.44157679911898,26.13486438089284 121.87627829120204 45.300149767764964,16.29548486500285 9.920056945132032 2.803479220118059,3.6573551563913003 -42.31324207303652 36.69552748000341,27.153224899593148 -117.60681323324627 -43.45856555097151
-19.185499550332203 -2.1731402215528024 -7.422657085081578,-13.303317300167105 2.3599779678849453 -2.4973251049933003,-10.226389469699267 3.906806487728246 -0.8168233951935326,23.179887566097637 0.09804777486973659 10.070448707822935,16.561993505585022 -1.2948497627871762 4.2736288042627,0.5464925373583649 35.951874616824504 -44.83947788286188,25.86215464263199 122.9618729280573 45.792091930420305,15.94866780755284 9.723305948377218 2.3647591418769403,3.716784763113264 -42.703502779142234 35.96574468699988,27.029293857850394 -118.25660604045552 -43.73700743278709
-19.2664270319324 -2.3129915070680402 -7.423321418907276,-13.190218814787306 1.9437264218987145 -2.663025889878424,-9.813609281062984 3.9539962467870797 -0.06192895924029307,22.79918328792787 0.753282975184379 10.214149014522643,16.284948161516702 -1.2248823273225082 4.573061448482539,1.734317277955988 34.437407352761454 -44.95242954048148,25.470066083245758 124.43512415600642 46.45907288398142,15.72446682881369 9.651670959118471 2.062393204103497,4.47596753384698 -41.389476410943104 35.91825043878408,26.855540706183955 -119.07827402649565 -44.1033804979597
-19.405228195488547 -2.4721398059863575 -7.596198335410313,-12.960513278559572 1.3607644321379297 -2.9740497209572268,-9.907219085786473 4.076401652420385 0.7432303998695692,23.31169713132696 1.4764099148116006 10.364008360134395,16.163433063083108 -1.0285770462850825 4.984886911837738,3.174213764098824 33.95184267012429 -45.49631742359172,25.082393355034345 125.85365399273202 47.101703984780265,15.624965210978692 9.672444703167754 1.8531564623303116,5.584276244301299 -39.149095479465885 36.38472380642545,26.676884585565695 -119.86989627011826 -44.46459718471982
-19.699626338896703 -2.7219425542534936 -7.707701957269302,-12.805123789805577 0.6689694882353538 -3.054121417078609,-10.157174086185908 4.05062117888611 1.2583073710287647,23.656516087954515 2.0242023923739865 10.616806685098648,16.17892586061854 -0.89967697053423 5.072156941192943,3.924414315379617 34.382510210007716 -45.82370169472101,24.89438629070719 126.5245944975277 47.40939816804207,15.667957752445451 9.701176734232574 1.6535351097581035,6.414322963942943 -37.456755030030756 36.915818889500976,26.526966943593383 -120.49417465553218 -44.75159400170056
-20.222365969607058 -3.11675735424966 -7.5518556266297745,-12.886616653437757 -0.06642084104325098 -2.5851164573929353,-10.255244530990307 3.692056258325639 1.2051752463788348,22.939363555934975 2.1919517426773627 11.037932471855783,16.302261048115636 -1.00581917389157 4.474791272910407,3.200870148402657 35.570373229259495 -45.384372906982655,25.063109301130186 125.89373652691206 47.1333675686372,15.854772998266023 9.661174372415385 1.3905918184033146,6.435325029529701 -37.56140977597059 37.11820606356113,26.43694400408292 -120.8257167709112 -44.90150445449321
-20.84067568301859 -3.5719949833761735 -7.152150175374849,-13.134393315041786 -0.7215509303488292 -1.7290436152714168,-10.242024901861768 3.1358593234687526 0.8166453025278787,21.64576631639574 2.092007718418587 11.435095756718523,16.417499810432027 -1.2985035757609271 3.465468671416319,1.5187008549006533 36.98646167699168 -44.4328080321347,25.431680611872217 124.54660937594899 46.532784373269166,16.0518009682249 9.540613048679313 1.0789434332193326,5.913553905667771 -38.85051283136869 37.064244017897636,26.41800437488599 -120.8344776871738 -44.90137163723908
-21.321429298326002 -3.9352175673855228 -6.644126925050167,-13.363999280568825 -1.1439415704392857 -0.8823639204037739,-10.328442855549616 2.673319330903059 0.5750232059521142,20.935018248715366 1.9915417902508779 11.490180490147116,16.366331352894303 -1.6236888965969005 2.6258483105797032,0.027418518342958498 37.921164626688785 -43.616417730873174,25.68991645426145 123.62528414121113 46.11486101435131,16.059540309660548 9.359343720632847 0.7759600796386316,5.504487847934331 -39.80253379398572 37.05369011881954,26.47158634519812 -120.53697128033066 -44.76260982555841
-21.455200186177226 -4.071527058492335 -6.156029541625088,-13.408187081957301 -1.2042274799680917 -0.40614716272631785,-10.698453113071373 2.5647170728081647 0.9050992596937837,21.827438541635228 2.1288553582664913 10.933617957910524,16.018066019050174 -1.8402272181075725 2.4739250484693973,-0.24877748162474292 37.77003156015616 -43.50818157410467,25.563618203121653 124.13828003513116 46.32759072958709,15.711248180085343 9.139069304184392 0.5371009128629853,5.788018104295777 -39.06399711655098 37.36047855707082,26.59526388501628 -119.96371206838946 -44.50269242803203
-21.269060744298812 -4.020634373966411 -5.737948290328741,-13.274111422945754 -0.999150118857415 -0.3027364531430607,-11.263160401952874 2.7592702559131874 1.6573243837347915,23.9509095449704 2.4520146081419063 9.975058207774042,15.512748035697609 -1.9389800992824424 2.8897968071301783,0.45699554831877953 36.96063080175818 -43.93322047085448,25.13774551904633 125.76198490940179 47.02819411716686,15.162297664546344 8.917378051710577 0.3964789178332448,6.585208549825147 -36.97141760467564 37.9930993133541,26.749763826821933 -119.27797602868876 -44.19627146945675
-20.922990592904043 -3.920376807551192 -5.396052953720286,-13.066937170510718 -0.7525179347408064 -0.37287844302491047,-11.780333788096023 3.0313860128147856 2.359383467641499,26.150794902070388 2.7459799542853602 9.093461632696496,15.142568084105509 -1.984995505643521 3.3950775391502397,1.205036132291951 36.5005024398568 -44.29637530282141,24.699097075602552 127.42415825419357 47.74189061819905,14.74908387501479 8.740785423341647 0.37621100392431756,7.290678859278967 -34.81104726418464 38.810868593250845,26.875105726773796 -118.71764814237956 -43.95013209230331
-20.575159048312592 -3.890231014322978 -5.141450029075498,-12.892518183742517 -0.6623414522187985 -0.4316141029771189,-12.02346242094412 3.1723267057283113 2.5695277834824,27.344378014052893 2.806035815219876 8.73011319618799,15.177353817081206 -2.037609770446515 3.5496940469208837,1.1350747195892532 37.30727234258816 -44.06062508578871,24.516178132409472 128.1209530307975 48.02481096935295,14.781179986486537 8.653835342977901 0.4983491554215874,7.342574011796245 -33.798689898442255 39.6562494820485,26.91649103589329 -118.50130371700651 -43.86212084495427
-20.3455071081992 -3.823544494368666 -5.048313788595858,-12.852046149745423 -0.6103018869959864 -0.4862202119317335,-11.968606143904582 3.1918979491329513 2.243073125482405,27.386181080534485 2.5685710547140785 8.853501938739077,15.607291711014497 -2.080169963071764 3.4053082992445662,0.40159195003148906 39.17832918840578 -43.41914252594966,24.61873730505094 127.74038624394845 47.835354050584165,15.232949871758953 8.676998429769856 0.7857415715423881,6.740155495761755 -34.20839771266696 40.19507417532474,26.882037970673185 -118.61339692818078 -43.922018638139775
-20.329312338854823 -3.467774970362642 -5.231507391531692,-13.0437049027295 -0.2739970296828138 -0.6679966509671196,-11.722515570684289 3.2409010041297313 1.5915059473221869,26.73539649371166 2.0610096625015 9.127087273085777,16.242154580090368 -2.046997821367115 3.3308307593825552,-0.18625399428548955 41.18832798500022 -43.03619303298793,24.88248666457192 126.74587105544185 47.39144657622662,15.862493337694902 8.815214138513339 1.2617501385569228,5.844695450686593 -35.70664123585415 39.979219455941255,26.820456209200714 -118.88733605994372 -44.049886616362784
-20.604129659234484 -2.6104288699220732 -5.788014559165283,-13.546544826840423 0.6293368173464164 -1.0963378750839772,-11.39310414883513 3.4614262399852795 0.8252134762854004,25.844877472789804 1.3183764979557833 9.229798971014537,16.888569744678165 -1.8778514172465286 3.6678531102674863,0.12493242113066406 42.4424578986749 -43.532446632705344,25.1865970878608 125.58759263650546 46.903888116379484,16.42930758189258 9.0696231845314 1.936149427049773,5.009498775453588 -37.93578216440069 38.61467261825143,26.77880160931584 -119.15871401739557 -44.16718883148846
-21.003630199768605 -1.6374690493627608 -6.553381769741928,-14.170772592814293 1.776121917265028 -1.6937956005565264,-11.073981247304733 3.839740413753509 0.07894875454014404,24.93619620226807 0.46140175896838176 9.130131931096969,17.35121195131753 -1.6005863608231177 4.298613677372257,1.1492515568698898 42.645766531008725 -44.80379464300457,25.495134230083018 124.39427970528303 46.42213515027975,16.76335449823976 9.391496746020257 2.6271767775553383,4.390629313422476 -40.34119866796466 36.49648044734225,26.771300388914188 -119.32936570816733 -44.2315234148753
-21.1812011091306 -1.3772498356535858 -7.169895640163093,-14.527859992709827 2.394560301927947 -2.2374112867770526,-10.848182361878628 4.246922219225034 -0.5684455424495736,24.05995710329414 -0.3258291832742838 9.010633631416468,17.433312563259634 -1.3081817993897817 4.765787206248067,2.0064571955036112 41.94672934672902 -46.210356848373785,25.834919736667878 123.0570336670324 45.876375980195334,16.74668495339783 9.69524139949024 3.0114812163660614,3.998346206989499 -42.22265458588801 34.60297895672014,26.787910411505784 -119.35009350938869 -44.227199562883605
-20.812898524709624 -2.603107802316197 -7.297608216328812,-14.250169764269382 1.7559126940399103 -2.512362863656255,-10.797385307169483 4.551923943795173 -1.041061460618766,23.265126184186006 -0.8617275448358873 9.05367022146906,16.960019935560105 -1.0924741763906336 4.628372550861998,1.8546264584144538 40.49333164771806 -47.12094486170861,26.232545661271907 121.46625285355285 45.19695108204129,16.280426193168918 9.897714337665395 2.784020305975056,3.835692616396489 -42.92063677903619 33.871497737021755,26.818762248846614 -119.17561660875083 -44.140041240515444
-20.040521009025266 -4.956054841736398 -6.982667869932696,-13.412507490728709 0.05903838718485266 -2.503797507793214,-10.984049846054942 4.633637511032087 -1.2911133901391152,22.641704077777568 -1.0336572557738108 9.351570320256577,16.136599958181417 -0.9990742219992672 3.865899818714766,0.7973522998480348 38.24505523164993 -47.27238832841812,26.685151636220116 119.59662861555503 44.36525459816684,15.574900578131551 9.973175195786634 2.0142760439582235,3.8399455425733384 -42.539937514925285 34.292473403005204,26.866829284899023 -118.80860171525356 -43.97125960393562
-19.39981172863017 -7.119334831024377 -6.59779954370067,-12.46391559133078 -1.7126012961437687 -2.366004826140839,-11.454380301984044 4.379362208370911 -1.2946027870947756,22.314400234554512 -0.7873053624122585 9.920505002643221,15.489837978397533 -1.0344930067321043 2.8136022038584594,-0.2620151204950171 35.001937674849806 -46.71280208133015,27.164965192570474 117.49415089749198 43.40586401717157,15.101960749309331 9.944437018163223 1.0885190052645723,3.892754192650268 -41.83183083841663 35.05542051827636,26.945947896336254 -118.29227157547729 -43.735080945149534
-19.41463772262143 -7.798315636494344 -6.511525911382175,-11.853129394373045 -2.583886214720146 -2.254297025045084,-12.242800296328099 3.690358034356181 -1.0350097001535181,22.40142726025517 -0.08311324300835495 10.763260485818938,15.532061498746383 -1.2012923537606723 1.8141272972877387,-0.4335626997746888 30.61026760974673 -45.51443385230945,27.640780553354826 115.22462100699502 42.35292875827995,15.317425421087448 9.836948816572892 0.3942923204451054,3.8778650230745515 -41.543098834136906 35.3535234929807,27.068466946647185 -117.67575046082742 -43.44863309440933
-20.082536778544178 -6.831711238011815 -6.778343184381005,-11.766737936580235 -2.296116011211007 -2.230675196248485,-13.139515220289354 2.7647070598261974 -0.6416536483080503,22.856500049520886 0.838533409727824 11.644533968165272,16.242761359329652 -1.4431377932015297 1.1279723412009175,0.33541673887581425 26.027556220836527 -44.0600347013785,28.023991455066092 113.2345241055536 41.41856350788575,16.15107372442847 9.700139941979286 0.13044735696047485,3.76245387160893 -41.88182004379053 35.00628925678923,27.20708120767318 -117.1083751584946 -43.18304169408647
-20.892030115713137 -5.154302284045976 -7.149050464876271,-12.1378068084365 -1.2834447321264975 -2.2668986233608566,-13.69854536790241 2.0875499832150526 -0.3848964857024233,23.474246651377975 1.4665128689055136 12.098765152532495,17.086118471072737 -1.6467358530182363 0.9361864215329971,1.2879628760089172 23.285985515727063 -43.03264555095486,28.170479236612174 112.33850727668634 40.986994362287405,17.023948362065653 9.606631293072919 0.31335040583221213,3.5943816932532564 -42.535089180227 34.43894547131833,27.296135711834534 -116.83639865542172 -43.061654034761965
-21.32295110573708 -3.728007611657839 -7.369222693099761,-12.884006449237136 -0.006376704280520228 -2.331035840684769,-13.480412779345743 2.1373215064814883 -0.5317781711449572,24.04181957332626 1.2980570446431476 11.673744419310829,17.518183596379266 -1.6999662293115376 1.4042847418460014,1.6520177774478677 24.380440765324554 -43.09839874206856,27.941817003418297 113.32484983806934 41.430157451861206,17.351943754682313 9.627372904855124 0.9443346544635954,3.4215480820294406 -43.17581397970214 34.09181980921136,27.271951648732966 -117.0936540661912 -43.20185548104945
-21.191911190341493 -3.023549833189836 -7.384239124945653,-13.783555487400678 1.1298656980299058 -2.391174994155995,-12.494243065616365 2.880425194893865 -1.0970099070256512,24.319507844194934 0.3696269691386809 10.549225440099647,17.354409396533217 -1.587937208736658 2.356845897799758,1.1557414185460104 29.050535054461424 -44.11320458436924,27.42057609020947 115.83201515802199 42.58348075875761,16.985653673204638 9.760610354357889 1.8146773852005063,3.2013201303200876 -43.67464085377388 34.1366371388217,27.16923765112916 -117.65923286304334 -43.49627110698105
-20.687859600865373 -2.968590914206381 -7.360380268052915,-14.460496304057687 1.7811791632736662 -2.415425912096433,-11.245132557875548 3.7171691384939334 -1.8163312531089093,24.037900553425413 -0.686151084185133 9.603652911374683,16.80759895580073 -1.4032518399496487 3.241513066008961,0.08032868781180719 34.54247962488492 -45.037201640385675,26.93366081983382 118.22724390055386 43.689235299915886,16.2562702694444 9.92420804306344 2.4834205945305423,2.790973283991478 -44.1208337185709 34.44815829400148,27.131478327306247 -117.80946961989548 -43.589033708694814
-20.018992284370604 -3.4574381987176204 -7.470573895036532,-14.541964658273148 1.6206264387367555 -2.374101992434877,-10.256533364200898 4.032755531632114 -2.414181385488593,22.939460890404796 -1.2197376612244286 9.728773434701603,16.110661670765857 -1.2429178406401735 3.500754634686596,-1.2651195834844873 38.03304367747774 -44.81072095010343,26.813217904606052 118.84865045873006 43.976040634012016,15.516236103728499 10.033315877633235 2.511397622928228,2.0495529004355317 -44.61035516060154 34.88650057761969,27.303869802024785 -116.81525171249609 -43.12146720009871
-19.392706124557105 -4.192107670377731 -7.712548032449722,-14.06054153634507 0.8340497361596965 -2.3181678315848275,-9.784184798423803 3.731995181337726 -2.7298524858290474,21.257750858925764 -1.0920043500324246 10.979391856218768,15.47978557727631 -1.1615308816416607 3.1018491667341648,-2.597637376501046 38.881185324061846 -43.34628133153182,27.120345396446048 117.37678683124624 43.29666725388024,14.985410253659762 10.056006973720507 1.9651324784219157,1.0905935589927827 -45.07017820668021 35.338308116612765,27.688147936077264 -114.70073725413621 -42.10293849819059
-19.015387608786178 -4.631467527939723 -7.862494855774156,-13.561483630427198 0.2556885259747833 -2.4005695202135104,-9.745309806348759 3.376731446464336 -2.747865589769124,19.847315062671406 -0.8092251845124303 12.352020368943128,15.110014954039439 -1.1600576240019442 2.6756850265173524,-3.6673055120408558 39.20518789496354 -41.785709587692445,27.57340685700116 115.18968497415443 42.29310944693214,14.716003182367913 10.027274567634919 1.55058281511373,0.34942531896442225 -45.21359266335111 35.723767566819916,28.104646548372514 -112.44257702821622 -41.008196015964934
-19.089336016383836 -4.230113374976515 -7.687757376150504,-13.613868433161084 0.7452249921893447 -2.7778242248538043,-10.036002329141638 3.561642277560689 -2.4639561302673205,19.59017539279923 -0.910733994961134 12.790802996621949,15.190657079841275 -1.2350371995965983 2.885080009919529,-4.228821394674814 41.26031126288232 -41.33283285412903,27.872491811590912 113.75610256334596 41.649419983841284,14.747569714520521 9.986532812221393 2.0014739924900766,0.27486657963822936 -44.74561200211291 35.96555001531421,28.36421624654507 -111.06677260082569 -40.336143992280036
-19.614703568363467 -3.0118208568205995 -7.225184789569331,-14.331047483699018 2.350563070420154 -3.457129858100093,-10.581875135779258 4.413269728793873 -1.9692307559254885,20.747208005949492 -1.5165416019786166 12.020001368787867,15.690870477282223 -1.3333995463163375 3.8580219101410327,-4.16234896089798 45.28965200281641 -42.344081118912186,27.90428547959928 113.63163520033895 41.618886034452046,15.024143861526817 9.979622582703898 3.3854950929530125,0.9561393974745919 -43.64422703207224 36.003042673321644,28.385959278518186 -111.00866379494153 -40.2992727103374
-20.298987267068835 -1.824387056336219 -6.901799624833741,-15.16660225238725 3.944367527447592 -4.229509735311752,-11.351276413106943 5.380419486231888 -1.4928682901368746,22.68003510830546 -2.1395905456747566 10.893280087319146,16.26109677582977 -1.330253673096216 4.948206810708849,-3.5296943419644835 48.62322897889666 -43.949078501336174,27.825614056514897 114.04986248113923 41.831160657094586,15.351470882414672 10.061688940372118 4.80609167273548,1.9618658893580945 -42.28262720186291 35.79983325743359,28.245697498844628 -111.84846920133805 -40.695421161737016
-20.828820223420763 -1.5702961956505006 -7.170336290811966,-15.527626197591495 4.319853295690056 -4.870599004279317,-12.313709609401103 5.864130223346642 -1.2725442739193864,24.681277822883285 -2.2503998482547733 10.345692831989691,16.530472459241285 -1.0967296975776968 5.455546704409603,-2.408698395647202 48.395103200997596 -45.187174723723516,27.812830484374743 114.14874511250629 41.87092734142508,15.526481422649345 10.287673294217546 5.3006512278099285,2.823018458216722 -41.0639633025245 35.32333631948013,28.031436708845764 -113.09979843271095 -41.29014513448557
-21.039318715827097 -2.438614270527633 -8.132452025256672,-15.195842051960451 3.1819484823943975 -5.2674070216342335,-13.27936536233661 5.649319811235777 -1.3778888823559656,26.143857934487333 -1.689739131276878 10.802725289931272,16.39292900598137 -0.6234479303150848 5.17587431393345,-1.0095353930952389 44.070176122582815 -45.515446473036505,27.924723873930812 113.63729255303792 41.60219680463559,15.492252995887652 10.644711278391107 4.591125296648908,3.295755929322897 -40.320904859272495 34.6816077656843,27.825244657787813 -114.29929109683127 -41.86131191141213
-21.01212508046027 -3.433921615095787 -9.306911927834602,-14.574968156636732 1.7492952312632322 -5.491857333992474,-13.793927835125906 5.158259343252152 -1.599527186512094,26.62722604839569 -0.9131037268850156 11.843829281170342,16.182036051928563 -0.09941781040086493 4.728397728862198,0.23790771422761692 38.98323502701363 -45.0845209817807,28.0248925385343 113.17262440717965 41.35274573413668,15.434510224409319 11.007360848051338 3.5360445838429433,3.510113318107338 -40.26910161047411 34.21620982654786,27.69933016891371 -115.02182341772962 -42.207229504992846
-20.85159705465721 -3.455108452825177 -10.160032486519453,-14.125162718051952 1.37615948638812 -5.6330432550589755,-13.381987778193825 4.871081506102596 -1.7031691486990568,25.7115263974702 -0.4316187163805715 12.970163587835504,16.27049660294163 0.2685955242256452 4.806187712031143,0.8853592521365056 36.81544077470466 -44.11074915991981,27.95937545812818 113.49718416411385 41.492052607682204,15.560391157984425 11.240251971659813 3.096377331079445,3.630499199831351 -41.109635026753516 34.28861758093426,27.72437643700166 -114.84942730310564 -42.129818452229145
-20.602092783936442 -2.0815201938695727 -10.44321842730145,-14.05609519426559 2.6105297414834148 -5.749987775963519,-12.005137104353976 5.014447921481152 -1.6125500490272913,23.544319487468897 -0.4917501374955906 13.850404913899776,16.76766018057187 0.38169370057505964 5.674081524724086,0.7494130357781245 39.14626684230759 -42.848361875882446,27.670124275041804 114.89117579253944 42.159605877540876,15.910630061939012 11.286004036861241 3.696313747210205,3.7216752883903763 -42.6418108832116 35.02130856833085,27.903321119694937 -113.76765700104744 -41.62253206912079
