5.7 80.9 0.2,-8.4 40.2 -14.1,37.0 -11.6 12.6,-63.0 87.9 -59.7,-18.7 -2.7 9.0,83.4 124.3 68.9,28.7 109.0 39.4,-18.5 4.3 -12.8,8.4 -44.2 51.6,13.9 -25.4 -3.2
4.8581232410064725 68.71196758100707 -5.638279026884775,-11.241177357757337 26.319917309511048 -13.3697546356835,38.36615392007872 -4.675029946877967 21.5046796172825,-57.06498739666714 94.46399765448942 -56.723787277035264,-18.45043190883864 -4.655595642495284 13.803349176723714,76.96905653606152 116.34218219183377 48.460968190582456,29.07417668193602 104.96783413536019 37.417135456492026,-18.963233398533315 3.2570388715245904 -4.993793299949203,5.769012395685546 -29.967493013962375 51.668529203343795,16.149179109515757 -30.109357713946068 -4.302689843645866
4.601917184245202 70.18174065243525 -5.302113789501601,-10.999617122294827 28.123897335106218 -13.296241324878388,37.883460451831034 -5.761260372157016 20.03704941665657,-58.11017532509051 92.13255464210222 -55.53268782536996,-18.244167399646354 -4.656712524331492 11.890359214184349,76.27701565230679 106.42981485345085 39.40082602529691,28.66517957934327 108.68636107708987 39.2035250919617,-18.676085928009453 3.7977296683532367 -5.072584736481226,5.562763252452405 -29.553293217020006 52.37944859793003,15.992220842270678 -29.790986020735616 -4.242688769646626
4.7870228478892045 73.27456749974814 -3.9232173175047733,-10.371780566618398 31.430450330160696 -13.390972293957546,37.56998799513037 -7.665639109732464 17.610716774515524,-59.68762734922343 90.4022750319514 -56.192259044413625,-18.044221625286596 -4.200194121374535 10.196882500884323,77.79328021561778 104.03886863190834 39.84133356000335,28.446157152790764 110.8452226852609 40.25373478163855,-18.28184015250661 4.211510549517688 -6.842978449200876,6.006383866642278 -32.686367593499014 52.799418080967115,15.368744449821154 -28.496187589590622 -3.9450803063172155
5.256280439439822 77.06299192823111 -1.970385614176793,-9.506774461075135 35.464425077503705 -13.64500610118724,37.37785972177224 -9.776052826698468 14.949985605221647,-61.39731474682426 89.29891311847052 -58.0381505779925,-18.036148783363753 -3.479641460880656 9.144876433508783,80.62316857808906 109.53283885864114 49.3257007407295,28.450564914958875 111.05450377009753 40.37300585875138,-18.039098239878058 4.400687884738742 -9.620727265977909,6.946688817480803 -38.044620888646726 52.700649826353846,14.55271229402733 -26.791508832649875 -3.5417314483102804
5.653192921201375 80.30655720244428 -0.15630594796972483,-8.610091022825928 39.33945744833509 -13.999877830055063,37.106652838934274 -11.364859528665962 12.916107991224568,-62.76298670786291 88.23694327147643 -59.55056599163286,-18.4811989738878 -2.8199215479836024 8.908357285714812,83.05074128026565 120.75997995017161 64.50047652318266,28.631112195738428 109.60384110163616 39.689073713356215,-18.306013523829524 4.352230120609871 -12.276027889043199,8.102869229065051 -43.20365514466773 51.92632050801968,13.963595596539461 -25.542054353146582 -3.2372913333906688
5.645666624745598 81.91811400499066 0.88388153883608,-7.881541090831356 42.243226412997366 -14.384542281855756,36.572395259788166 -11.832279129309875 12.236155135768252,-63.35979798289268 86.65091879806025 -59.326008180400265,-19.59354425535509 -2.503515877804302 9.564379109248033,83.53200892417804 135.37846441616242 81.94435157806785,28.934573825486574 106.85469687751682 38.36552298353148,-19.376974183067844 4.079002542317587 -13.818411867299393,9.238085576129087 -46.01544683606604 50.37235495714149,13.956064398596688 -25.481635542823952 -3.206106535121823
5.127528987745955 82.18778127248548 1.2155248527269664,-7.467892193136176 44.02680463624361 -14.618301167154254,35.74422478050657 -11.720695036862459 12.437885921998031,-63.223430348619615 84.18128787368609 -57.033424935682746,-21.165335097586766 -2.4301261597527564 10.338863668304862,82.08876447192162 149.46870523286972 97.76217743541062,29.258565043259516 103.77683185733862 36.870296332059915,-20.974891665914445 3.8203673444842443 -14.516359595209309,10.512199267348468 -46.83890740026841 48.40055952122029,14.302043377990351 -26.1632000754579 -3.349806128067872
4.110996332710363 82.12740445715778 1.2710470920352488,-7.488115701261279 44.888901358455655 -14.46299495549135,34.67151299488466 -12.171015802923383 12.420586530377115,-62.63089443323745 80.57639325826126 -52.90375472567054,-22.76757102916872 -2.2988669480615394 10.011715955527093,79.5633139872674 158.284325906013 107.81050085892274,29.474940107683356 101.65877200878313 35.83082841322922,-22.523207866975444 3.934377343379926 -15.298075352539186,12.292953931845068 -47.346651273655844 46.61687529963711,14.468082584565515 -26.520890498008754 -3.4271077026094816
2.646455733205961 82.66963653630059 1.456511621032092,-8.026073059660149 45.049070776917375 -13.724671245281899,33.42731316071646 -14.182406596886203 11.199578417154196,-61.86189204977941 75.71543486499232 -47.29589667922954,-23.987565731001126 -1.8424036636894672 7.537145072702151,76.81023702902387 157.66250984086483 108.48084724271261,29.470100660438852 101.64867107692491 35.807051218122986,-23.48026399531371 4.724748404038799 -16.988340878340157,14.862127491155281 -49.05272474005903 45.59020580073222,13.978814648943546 -25.602058028962375 -3.2219984999938003
1.1780964215117538 83.83983531169092 1.864144954515544,-8.795833022237453 44.91551192834541 -12.683614727553927,32.32836577458076 -17.1948008850723 9.07954145556348,-61.20214650063791 70.85545486417158 -41.87349249749596,-24.606304785884255 -1.1679724477408375 3.75970812215097,74.73771514072719 149.70701790058698 101.86206426524133,29.28714654514461 103.37610268557759 36.62805795104101,-23.702502249516474 5.907805021374536 -19.253437551637653,17.57031828213399 -51.66674956914626 45.47383844767726,13.003413192926491 -23.712530234751387 -2.7998207482464257
