5.7 80.9 0.2,-8.4 40.2 -14.1,37.0 -11.6 12.6,-63.0 87.9 -59.7,-18.7 -2.7 9.0,83.4 124.3 68.9,28.7 109.0 39.4,-18.5 4.3 -12.8,8.4 -44.2 51.6,13.9 -25.4 -3.2
4.540987386171565 72.6756018700464 -3.8817570723998047,-10.426202577902465 31.249112825066085 -13.2344054186157,37.58067090186995 -7.765333725107213 18.008910101476097,-58.81449655004264 90.15517111977668 -55.28437658483164,-18.388705756298386 -4.129675501451176 10.283356110848034,77.62658377030151 107.17089917432 42.98769475888739,28.618122879746927 109.32145834847222 39.533061821364015,-18.581809137247635 4.164179063604223 -7.151018716127371,6.6232172178250766 -32.28599532552828 52.75842871968233,15.413113456934484 -28.53008578071558 -3.942213823952524
4.615846364923261 70.73450235968521 -5.097073718948493,-10.891667902509234 28.722251215689415 -13.314386294568562,37.797226343884994 -6.085175750736147 19.586672336459998,-58.44708235354161 91.71775135358847 -55.557800387217924,-18.195127978196588 -4.6020505213542755 11.522374610125619,76.41512408236564 105.26879842904498 38.68650629407588,28.596993007614465 109.32443627695898 39.51097021991283,-18.598589223220777 3.8942098415960253 -5.293308668514397,5.576520344499398 -29.950057880136495 52.47680454824603,15.900651589745218 -29.60425939925699 -4.201317878700784
4.962891228233724 73.64508168789905 -3.740614137816628,-10.193609908156738 31.909055319883105 -13.597176373762716,37.52739617832411 -7.466723169715863 17.599004403613712,-60.02322339954094 90.62669187912795 -56.83819573806027,-18.247834962000177 -4.153502534794068 10.814224856276391,78.14935873576128 109.03788521912381 45.410089596320596,28.546573339935374 109.91311555376113 39.79958720338876,-18.517840878122932 4.022818858621229 -7.083024651631614,6.064201461968819 -33.711403195479086 52.207656263235414,15.396213371762277 -28.565339621626723 -3.9580641681431405
5.4056147973789495 78.36542054615884 -1.3096180595767861,-9.049517867629177 37.27762459280106 -13.923893372632902,37.120169310775225 -10.107712818548894 14.28620442656548,-62.139777330485124 88.6190122115552 -58.50969337949176,-18.45005661426114 -3.291488766010072 9.41716340309782,81.21890949185666 116.32473845110688 57.82215087159129,28.548079218256255 110.18140053246759 39.950060166883624,-18.432904256462358 4.277729224856489 -10.491856353314706,7.340385103771677 -40.0273561975116 51.94003927478716,14.471628843549077 -26.619185668727667 -3.4959939282478936
5.703869885014078 80.90509442514953 0.2113245735748138,-8.39711830786538 40.2066608468078 -14.101086251910369,37.004185778263 -11.604329650683367 12.601398900490551,-62.99119389433132 87.91654662931087 -59.7181858702357,-18.706467874309794 -2.693533174159782 9.015995758387762,83.42784624392557 124.49906382387593 69.11986208767028,28.706903113365655 108.93952048552504 39.37119072860782,-18.505140902800658 4.294459354745955 -12.824208702112687,8.416993178358391 -44.2436403106564 51.5892720874941,13.895914447746822 -25.390821422907823 -3.1975330213835687
5.701952911039072 78.65611298871758 -0.5100782250175403,-8.855722831807727 37.65603857293687 -14.005447889941523,37.452380639264085 -10.363974799902321 14.46297497822281,-61.45011213628531 89.95092844567472 -59.90042305485756,-18.92023326371624 -2.824312341496352 10.670584886108728,83.27647185774305 131.165958314661 74.11392692429116,29.06688648193807 105.63013908102864 37.78142411549977,-18.811333020681445 3.8499513656432214 -12.234241531953007,8.572602865121837 -43.201131560140965 51.13684188181187,14.18272023007028 -25.968872821264092 -3.3200703771168794
5.556944451853564 74.1311045108901 -2.3899679189906533,-9.865215177239094 32.4423901473264 -13.773488418511793,38.16094842722366 -7.7988425037376095 17.956583588373622,-58.90122469812619 93.22683948029292 -59.57050750813183,-18.988922626602474 -3.3601034744010687 13.125969303328727,81.8439776447146 134.8024222317769 73.59166673509765,29.44388215416085 102.03849469981367 36.04614394488063,-19.114975891159176 3.244989203393816 -10.023657516088281,8.073498367340168 -39.278840358621615 50.809328559145776,14.899803874845448 -27.455115826956575 -3.6578506701234623
5.498329446891407 71.02803584857 -3.785187056167524,-10.59246102285219 28.73809060540458 -13.601861369734404,38.692577775485596 -6.016686944832306 20.280660564970955,-57.310723114042275 95.57142065400058 -59.491931157116426,-18.808810731721096 -3.7946823531427167 14.591343923369704,80.80652497167253 134.08728709526315 69.72389109328154,29.600967361020317 100.4920930543925 35.296231116684865,-19.107044050236425 2.9016175399206197 -8.22276347752936,7.414601741081645 -36.13776370403158 50.89004693530115,15.395964616930412 -28.491403469652315 -3.8979083341779375
5.671071433821456 72.1086934047008 -3.4499321477984792,-10.405670867795815 29.709523311174003 -13.64034517598967,38.688863338851895 -6.597211881860666 19.3578508484718,-58.11410033778143 95.26832170219153 -60.12761765231005,-18.377338859926173 -3.7382752176567924 13.768167963262071,81.36865790815818 128.79772022940307 64.9750744240701,29.38294401153239 102.5282490698547 36.27921761523514,-18.629982237595375 3.122521553400149 -8.405939428364992,7.050513025120878 -36.59123397570394 51.49604563689396,15.191772650406904 -28.076410047708237 -3.8086289382425833
5.855004636976326 76.09059882590543 -1.854954054540357,-9.542857350105866 34.177225008264294 -13.836219581507404,38.13227085130075 -8.83896287350976 16.239355794872417,-60.4542511855982 92.57329346732811 -60.642046863831865,-18.128983863239004 -3.3041699643100437 11.484464130934624,82.69755133293567 123.4556587995088 63.07831239577876,28.987661585487174 106.27068284688563 38.08658236133866,-18.180580841540987 3.6947578465039324 -10.177978507687977,7.2616426425929435 -39.79070391461184 52.02610953459183,14.549842327199814 -26.750264474523277 -3.509831930864142
5.731387839163744 80.59942720078818 0.06557122365311896,-8.476857118787578 39.788466603365165 -14.082094938432025,37.09729239447832 -11.424631947844214 12.821005823717648,-62.8551284568008 88.27450292572051 -59.84915252849649,-18.61621085925246 -2.741468085052242 9.142372104357895,83.41034330166377 123.86400472756942 68.1091954986878,28.708283247161905 108.92153244739075 39.3627129140243,-18.43228659887435 4.266176684212255 -12.611936498712433,8.281374339662406 -43.89901376479108 51.685110919907885,13.933120669930865 -25.469248417379514 -3.216214790321637
5.088327444081241 83.5460209362634 1.4725809723078997,-7.640387347713304 44.36334965916838 -14.279197474398117,35.73336909777251 -13.186576939003453 10.751766743297198,-64.060347626036 83.32704405712029 -56.99099867332142,-20.175870163339383 -2.2798826977956494 7.9387449398995,82.46474639616503 133.96733649214553 82.35858246730378,28.773782158296072 108.29523163545629 39.049288732761596,-19.82930899709914 4.538295211442148 -14.820491530388066,10.169542731542458 -47.22735552743023 49.95429174660243,13.72491868477118 -25.026067826478897 -3.106459075940108
4.252689543952858 84.27919205637353 2.006633513590903,-7.263854471219274 46.5935227550742 -14.372201082743917,34.567846328804016 -13.711855922014651 10.435785870360746,-63.921166042165545 79.52765580249924 -53.46841491854728,-22.057620056298806 -2.051355280468616 8.035284941870152,80.5357768634824 148.34000886529572 99.11824961806039,29.08946222774276 105.29363195624296 37.587043211997205,-21.659973145977542 4.483243118082317 -16.116149216603453,12.110908836607097 -48.83502505719391 47.708432896785595,13.906987258416269 -25.38860696119201 -3.1776377709985026
3.720765405633944 82.59995466836213 1.4591148570782162,-7.514043733887451 45.444712150476164 -14.31944275838325,34.24690999378617 -12.82485953933667 11.885749180349649,-62.6371641041314 78.93775140487712 -51.3611035718279,-23.16922668364547 -2.1570808065170084 9.268167838127475,78.83849594580451 158.60969775349656 108.85000817781031,29.458842244085524 101.7894933355088 35.88812117528796,-22.849110158369214 4.1582503319673325 -15.87425544540444,13.015046980318642 -48.016576392899694 46.260545100344274,14.334797611847984 -26.26536623687727 -3.36971293276105
3.889984684877385 78.59050728338653 -0.2371818787215503,-8.469398897879236 40.3777258028473 -14.100131291603514,35.2406649657911 -10.522483040032228 14.925902136328341,-60.502764853763516 83.00227320415651 -52.31929248250523,-22.64560525219926 -2.649850445378356 11.374146341004003,78.39872495891838 157.94361925486749 104.01887281733127,29.705561418753714 99.4624302151082 34.76969315914369,-22.532910997363093 3.6418435675089618 -13.71452180445094,12.045932784958797 -44.414101596419364 46.66437393306883,14.857493187492643 -27.35018200820461 -3.6180839587942706
4.574361774372735 73.99040059585438 -2.3158194321987087,-9.687494050931718 33.77259734706898 -13.816540482766273,36.980497072943265 -7.818481591747762 18.269977734218003,-58.37098973802604 89.52986792224553 -55.4588608128347,-20.9620511657044 -3.297053141466766 13.504312282775151,79.12505309477753 148.5949919550307 88.9101302777617,29.772141139184463 98.85086392422697 34.48779048771469,-21.094874173299257 3.137967232952151 -10.697706525964268,9.868502474706245 -39.71884189248828 48.44366813200398,15.287170249995874 -28.25096552444893 -3.8313642310231417
5.374771614705168 71.14466677905558 -3.7058048210418884,-10.535613646531306 29.07584290630198 -13.615903547046319,38.518316284322815 -6.098100413274197 20.226004776396387,-57.298933298220064 95.00073219622008 -58.96981258123193,-19.083541738666213 -3.761811671130284 14.59579765099279,80.51791045553571 136.13642924226917 72.12737446891616,29.644534090320285 100.0763030196591 35.0934431561689,-19.374177819691976 2.896384658740515 -8.411026287332227,7.696039121298694 -36.37065541305068 50.563221760606666,15.42239059606236 -28.54423696398693 -3.908381380023038
5.92494986631011 71.99097630808285 -3.512208311727876,-10.48179349714662 29.194349341975933 -13.622382715717235,39.02599902201352 -6.510374371898116 19.40689450283781,-58.1363567912404 96.3678025347701 -61.20477707739539,-17.88847567145291 -3.7595905015031823 13.792424846230944,82.0729827551199 125.81887560850883 61.499583480751355,29.327453414854993 103.08403847357758 36.553366532007935,-18.144732765832703 3.11665096055276 -8.206485924857557,6.610823316215454 -36.42847051766014 52.068850985530425,15.10940993520295 -27.90577692495947 -3.77089038659499
6.088290961695944 75.64082001448769 -2.0620235763721495,-9.693472872686822 33.28848086883109 -13.799970153288562,38.50977628338851 -8.565358033556175 16.540275860610663,-60.29565559837191 93.87016799597679 -61.65163035989298,-17.65090085859892 -3.3692588970510844 11.671032843344799,83.25728298589466 120.63257947364013 59.44927228540833,28.95503917525704 106.60374159482869 38.25269624297484,-17.723975660798835 3.650282837020233 -9.802438733179045,6.782657762618173 -39.3065503681488 52.57296525122737,14.524787054746023 -26.698824656625074 -3.4994625699230477
5.825346234976154 80.01007640869155 -0.19917769668331847,-8.633972938986417 38.93363924247643 -14.04489824624689,37.32885188999592 -11.079737074184939 13.248406895146214,-62.58114898133 89.13712101233969 -60.27851343700468,-18.389195222847974 -2.823424138943531 9.414696769413364,83.52569417557106 122.61140416567429 66.11175732815234,28.71618535606841 108.85081707421 39.330531220538184,-18.236232232573727 4.201559701062688 -12.226123443107287,7.995322354211124 -43.300335300317485 51.92767069147834,13.984815111152571 -25.577448066435263 -3.241856333848593
5.1325342113635095 83.14866496493245 1.2778138243084314,-7.745297649962643 43.80702996437745 -14.257401003680009,35.860643824900684 -12.94319495792939 11.03871317381998,-63.89513978281294 83.82031734545255 -57.19451556058177,-20.045746306454454 -2.3452463237027983 8.108917881721272,82.45280831316695 133.05876745109535 80.94644032717014,28.77257975376032 108.29869694869501 39.05104711104413,-19.723370475553782 4.500356861363485 -14.530645291382665,9.973584998549063 -46.774817635662636 50.08664980648243,13.773508498400066 -25.12940480868403 -3.131256432081706
4.296364662839077 84.23611877682231 1.9564016275841458,-7.286716214095686 46.46355629944068 -14.372371659227854,34.62102151373339 -13.661828186703351 10.45466833616174,-63.95791307528039 79.71347269866087 -53.64583089421391,-21.949791465375412 -2.0762426309980997 8.02461502947549,80.5912345599696 147.340455991511 97.95929293850429,29.062118907443107 105.54313452622242 37.70710313787144,-21.559463166529607 4.489889304587049 -16.00053556420649,11.971531087545305 -48.695680271890524 47.826162305219,13.907181977298475 -25.39240713326438 -3.179863362409182
3.7450008317050294 83.00356872345904 1.612506169518118,-7.4282672576687725 45.886707123029815 -14.341627774620767,34.193461135271825 -13.042731816923217 11.56904193351115,-62.88918005244706 78.67967158242516 -51.433909434479034,-23.131162772972786 -2.1180634653780577 9.034941095994185,78.97115431713559 157.92287199325114 108.49334092768218,29.413420608295883 102.21622659809232 36.09387150409863,-22.792494270266275 4.217547190140396 -16.033332415081407,13.013408634347556 -48.321927279466685 46.32413777650304,14.27143081103664 -26.13557648894887 -3.340800211986977
3.8558000352334036 79.34564846295049 0.10121164310926084,-8.289755657679994 41.337768469333625 -14.130524197170613,35.06510099015484 -10.987957201933495 14.345335577975614,-60.8709335908409 82.24696660443077 -52.137384616097364,-22.740542469369228 -2.545984074823479 10.957661587670232,78.52458872236134 158.0929958704765 104.97000008736391,29.664516730951668 99.85879294231336 34.961402720631604,-22.58293470735029 3.742681719202178 -14.159713989941364,12.256953861058383 -45.111051455295765 46.617226830370754,14.747440280121621 -27.118491510108573 -3.5644255455676994
4.503950872113283 74.70689399951388 -1.9668136154105127,-9.509532302292921 34.744770697039584 -13.834628585597061,36.78407125523643 -8.300951789075967 17.717964409839652,-58.66312367976717 88.68873048765882 -55.136891832539824,-21.12063727014656 -3.1820343226508685 13.099357098628762,79.19994607712525 149.2886135362188 90.44697939038213,29.751941843799116 99.05811530250021 34.58903344418077,-21.203901410288683 3.233835367034206 -11.194519194573871,10.169959227716374 -40.42680765042868 48.34516038220876,15.182200138121068 -28.025797182186388 -3.778159574330629
5.282434227830744 71.40285217614938 -3.556279692830199,-10.455381586431807 29.534395493889573 -13.622685318668818,38.37080031017351 -6.291727694027275 20.043019732887462,-57.35049942303299 94.44927784477628 -58.577840191984095,-19.284045281673766 -3.705925767111831 14.479333608355262,80.39286602385926 137.52808331966807 73.95934933022228,29.66758685049913 99.86560813667137 34.99156955634109,-19.553793761508086 2.920913689911566 -8.67425687957298,7.956439825109656 -36.70422782888423 50.362631375170444,15.403483008777046 -28.50002743726119 -3.8965316620823875
5.804853320394908 71.54816202458345 -3.7133876031990622,-10.546688344150276 28.85985814628829 -13.646662856795526,38.916655642904296 -6.167017119689175 19.82077024500618,-57.90622292785452 96.23037356056632 -60.70749562715439,-18.184635124413017 -3.8201916808278615 14.203457606087989,81.52684217038535 128.54361172164718 64.02569833968704,29.41117943502011 102.26271957260552 36.151025709155675,-18.48044400092094 3.0127418630961453 -8.026481049114476,6.752773420795505 -36.18552810113441 51.5951845443165,15.255829530834093 -28.21740971741791 -3.8417569113438184
5.9610325360071466 74.80929653416389 -2.486569589328233,-9.837673977071733 32.50156683355592 -13.85404861275297,38.40589828598921 -7.867429685305097 17.302318170020712,-59.96426428366179 93.96312032070935 -61.11691170088815,-18.00693508338322 -3.511068057962344 12.421003157754955,82.42063777026665 124.14866937167368 62.38769957525867,29.066392848024798 105.48682127350013 37.70241961758976,-18.16299875183929 3.4651520177939696 -9.31884112189731,6.813867891402846 -38.73293517589575 51.893514035206444,14.78119309452857 -27.25130304432098 -3.62706379107088
5.819003466154154 79.27326673141371 -0.5708586867784518,-8.79213186589688 38.06392514979687 -14.060406742779,37.39884962335784 -10.516721730338881 13.8683357484901,-62.29459872970039 89.66206455340034 -60.264101737386376,-18.43912484009152 -2.9478249065766726 9.954410507793744,83.14802875173808 123.62851020810066 66.41482278934177,28.771058770301416 108.29523557056488 39.05690000494546,-18.349194562349165 4.0707549664653495 -11.741628719538587,7.8259408613487755 -42.673198728494185 51.70518458081845,14.148890155575467 -25.931280361944207 -3.3243990711454274
5.453550539314664 83.05081070840626 1.3310931183972259,-7.869740934583344 43.166487130462244 -14.090714680753747,36.44798870288167 -13.226159038269888 10.885365515410864,-63.711923434373105 85.33150392917628 -58.626951753608424,-19.16068596398577 -2.3072496491745107 7.623579484353638,83.76442805298933 126.12027718636978 73.32496448614981,28.653666544745015 109.52582263985963 39.663495565445764,-18.781674694678415 4.624217937857322 -14.458224039467128,9.442871466433585 -46.32824967098845 51.47075284977825,13.532475265523571 -24.59849756753062 -3.0089764664214576
4.9927486859757 84.95778565118363 2.5611195863705687,-7.376049336439416 46.1531664815485 -13.93353842655496,35.86005467940913 -15.122837467058817 9.25567127843513,-63.8638376284215 82.34216394884886 -56.759751516946444,-19.845103720480616 -1.82905816789775 6.0545626171846045,84.00667630576037 129.26816260466057 79.22725921681716,28.69837537916322 109.26376571492597 39.55744791167308,-19.232623056201675 4.987502796546355 -16.458884089988103,10.996485186390231 -48.31265991397383 51.391902540741036,13.135304190884474 -23.69713137519362 -2.788247105179728
4.604066286881862 84.33128748265791 2.493939268505895,-7.50266854529151 45.90333868131763 -13.69837205907038,35.76013065488423 -15.345554795799869 9.538312329174227,-63.01363911410942 81.59642035460246 -55.273270040225256,-20.161430782019032 -1.799484374389267 5.730116471102944,83.37611885023554 129.6127385054308 79.41122157770016,28.78265263604457 108.51629524162956 39.20733946872782,-19.4960606151452 5.072317005090723 -16.605889608173396,11.580538723168456 -47.45732769609206 51.49373747216183,13.182762377662518 -23.747513634988852 -2.7934926838960963
4.445642335002328 80.63238558143664 0.5791364352478527,-8.40946557001229 41.46592874218077 -13.49390772724173,36.24908166697316 -13.130656713742825 12.19728882455815,-61.45306882892044 83.87442621242948 -54.73961898440747,-19.80738337358567 -2.4760416359009603 7.068370617052492,81.42713084270166 123.96058709159085 69.59558466881195,28.787803002769532 108.26464653742563 39.07025209983321,-19.382902159990785 4.803902528367067 -13.8786269547701,10.362929285913538 -42.751769734096634 51.790508219741426,13.874468182161976 -25.2133698948743 -3.142232698496325
4.498068634563916 75.25736569998129 -2.4506219927956345,-9.752849839875484 34.608534628665005 -13.365858371764475,37.082139730931054 -9.398953385741143 16.189811913527315,-59.716459968160436 88.02996507854128 -55.038560915225375,-18.97883742619136 -3.600011553495728 9.426496548223568,78.7279951925096 114.17275754534379 53.26449670069933,28.704894231250822 108.66558579450194 39.22819455516244,-18.98774388482154 4.321680346836608 -9.336327681914506,7.892075625657433 -35.844442377051685 52.180207178524626,14.954893872111022 -27.547271018282846 -3.7039954030371867
4.591760082575469 71.23940129301185 -4.777383625438527,-10.763385110364327 29.398322654297314 -13.306666460394148,37.72218586110029 -6.496046138122276 19.198586994451073,-58.54334049959452 91.28741585798555 -55.464240306830405,-18.293033379525205 -4.476025108178369 11.264262628342546,76.70460078766885 106.38558058932308 40.47042179374744,28.617836306922253 109.17850841474329 39.44592291252899,-18.6451316919093 3.9462330936981598 -5.797444203235693,5.884099890916774 -30.632845359546707 52.462490666632945,15.78352993997645 -29.346510551577254 -4.138547590496702
4.561085660838163 71.51821611291341 -4.6353628826516715,-10.69495723433258 29.78000428059181 -13.307508426182851,37.649294165141654 -6.700308998866245 18.977260991085288,-58.64373949729849 90.9551464710479 -55.328665605108604,-18.35077082335541 -4.427843940376752 11.08799734796294,76.7442985969991 106.58590687000134 41.00187651243888,28.60983832867417 109.26337683711813 39.48787914588969,-18.68090556882322 3.9881272373199597 -6.002284308243635,6.01034650898684 -30.901442276735136 52.4434924327209,15.738031028039572 -29.247774252777944 -4.115126496761794
4.428634298756483 75.89075625041167 -2.1302755459141927,-9.59762147875104 35.47449178766397 -13.368490391718229,36.915741486676694 -9.860438082908495 15.687055246958998,-59.948288799649106 87.27415827389719 -54.730800503716424,-19.1088721929293 -3.4919372095326446 9.025753436369337,78.81374509531908 114.60227076078812 54.44282803154449,28.685536272071747 108.86853648654004 39.32828575485631,-19.068414365244365 4.417176389390709 -9.796558863194704,8.174531061756865 -36.44951672673559 52.13686141459502,14.852538499550194 -27.325367147013427 -3.6514201686000396
4.399023706235071 81.11456632779378 0.8222210169880879,-8.291413919578288 42.11783278608911 -13.49835444255094,36.1271857936556 -13.475371612085137 11.817572561313314,-61.63385992287884 83.32162219338379 -54.53067842289299,-19.901365274999055 -2.3940383225351938 6.773964069460241,81.50563353251214 124.30745744169498 70.50835500145016,28.77357751529134 108.41465126681194 39.144245399958166,-19.440110374543494 4.8736497761971975 -14.226594531509395,10.57088335554747 -43.222257860341394 51.756935888772176,13.796086452317189 -25.043925546543953 -3.102105781596382
4.674990879689754 83.9117988380505 2.2865377133796376,-7.605191357342189 45.303451815498995 -13.70421776199272,35.89293125768317 -15.021527248710182 9.883645651883574,-62.86477894569766 82.19379041068636 -55.58116186900585,-20.05854867813833 -1.8673431148219612 6.040776788497341,83.3895648785544 129.50030676566732 78.79764928363976,28.8017561807987 108.3276812300045 39.115179527604795,-19.427346046153232 4.995723574637584 -16.309092963521927,11.3794412357842 -47.11529819077271 51.520708019089106,13.245118871580482 -23.883946027956455 -2.825676104136409
5.200410041474069 83.47306008956308 1.8287840262381545,-7.738437742244718 44.07948966077373 -13.938294232999114,36.29520623193224 -14.018043276293485 10.456853360628067,-63.3129510267741 84.29649597927663 -57.67201559020671,-19.51430174291371 -2.0696161818290038 7.078824431163257,83.9541356619266 128.6891242892293 76.89803612249602,28.76045736880266 108.64433774706269 39.254528986499174,-19.017981025404335 4.737626552320197 -15.416772976698663,10.327194806103872 -47.0245456035969 51.49097731264134,13.360920310770041 -24.18762440558252 -2.9039275651031105
5.632959839882356 81.71804928285687 0.6753293483709044,-8.194809959940779 41.31357989636846 -14.09209730904098,36.83351037490222 -12.242465364046996 11.96033638294147,-63.21145465954967 87.06107687698982 -59.41765622097674,-18.869815418173417 -2.522432250980778 8.53154025960751,83.70397286344736 125.5889442900581 71.22842509298465,28.709266012786593 108.97098352195853 39.392228469948236,-18.594025031758108 4.403011425348236 -13.527137672701045,8.851426007911952 -45.162976402715486 51.56006972708635,13.735221242575875 -25.038664842005968 -3.1127444435507785
5.624624495818835 80.67403486863772 0.11525894758154763,-8.450878474865386 40.01653659993838 -14.057401042852433,36.98785213857115 -11.553601185491422 12.735035237860135,-62.822501399381174 87.8202006411575 -59.40818977779784,-18.74701759419883 -2.723766643554424 8.987399183182687,83.19127172189405 124.11069153044785 68.53965422248828,28.709785691431335 108.90304434326806 39.35375504468542,-18.54859963741247 4.307173436098725 -12.713649334638776,8.446715039367342 -43.87777410376139 51.61344386825386,13.937745372150498 -25.472731579625354 -3.216399232926765
5.161214759961975 81.1356303035748 0.5879962144896399,-8.309954437098545 41.20421939855093 -13.850551686970663,36.62878385095862 -12.506225870798183 12.183172779485842,-62.411681157516746 85.93009973208926 -57.57081822629086,-19.262622275136824 -2.513011530066748 8.07184885099994,82.78471292934556 125.47165922638665 71.00126773779223,28.76640454637015 108.45097333210141 39.14910270825744,-18.934802637513027 4.529574231957825 -13.627536312708163,9.464780844404713 -44.1446867138566 51.60813656933204,13.811676878565052 -25.1512037327258 -3.1336673984202204
4.65065697417226 82.33878655012788 1.4585875995868323,-7.988504708992507 43.36991615764492 -13.645414034476293,36.12069114694958 -14.006196867267075 11.048937764331182,-62.248855694704645 83.30575562364857 -55.52346909370169,-19.89451269765978 -2.1612724480151755 6.721563917941401,82.62092746205228 127.48310850478804 74.98987440807981,28.81116317978102 108.1500156563477 39.02158266456373,-19.375779966388865 4.851469570451888 -15.121646469500709,10.81222188988911 -45.20531513433577 51.59169360471757,13.545984111163584 -24.52666177168716 -2.9786896846073785
4.521757397380484 83.4225528325826 2.0290999468311006,-7.728146839898162 44.85776764258674 -13.622983449279545,35.85562796198282 -14.865049478597525 10.157945842219696,-62.595634581160844 82.00426656664406 -54.9683981314933,-20.08727682229662 -1.9643333845461408 5.947975719863361,82.81723025811768 127.77577521813444 76.56194619012891,28.773121309114302 108.5549178621109 39.22285587158161,-19.473070124838873 5.037114730543116 -15.946301821139075,11.318000570686536 -46.19407806063644 51.6163085491078,13.350310011734564 -24.098422564651763 -2.8770606620891215
4.891764012645271 83.68121834979279 1.9002902444627943,-7.702456024261227 44.649154681904854 -13.814770317725978,36.02402752861604 -14.470177784783836 10.101500578384126,-63.28513738536615 82.9755441845662 -56.394965863145735,-19.67180457682967 -2.0663741307594976 6.292090174064335,83.26832120554867 125.88896059861096 74.36158369664967,28.66477923821265 109.50856323408814 39.6719962638612,-19.128472113250808 4.9578050269656835 -15.497265931137678,10.56846817368832 -46.44974168710253 51.6759541855232,13.358510816829213 -24.163752554120666 -2.9001403577533624
5.426871218002425 82.63381852785292 1.105339430984526,-7.986500209279842 42.64801236530034 -14.035870505157542,36.524429883520156 -13.042666336046285 11.131683909381232,-63.53014402702132 85.5665881058922 -58.53658285604428,-19.03824847560954 -2.3920918915844003 7.613862210086715,83.54661276106853 124.12506133576288 70.77908615664228,28.61943706518931 109.82324623629871 39.806580152983386,-18.6784823394274 4.639801299733956 -14.104730193755437,9.246473820895893 -45.606913079947404 51.68031506315317,13.5947237545769 -24.727402862352697 -3.0407715923398966
5.76092367631067 79.82903818291958 -0.28580988318634554,-8.645233097881874 38.840594639812934 -14.086398118409095,37.23198419028928 -10.87151683131601 13.465650769869706,-62.506170534565264 88.99811110540644 -59.99996175756075,-18.617140849522162 -2.8487750990962666 9.716503510535759,83.20487543836614 124.9746005603012 68.47629690699709,28.77796675283092 108.24776160693504 39.034686619678375,-18.49027909290357 4.1224334451858935 -12.172868989223497,8.11567794922119 -43.33280708571639 51.533854740009126,14.073096322355553 -25.76871505068999 -3.2851549124028208
5.742545627284629 75.69309967341744 -1.9908624645085038,-9.56863307946446 33.94923681321113 -13.90878043676113,37.98210569783738 -8.439937977472315 16.71092168379781,-60.210006791534404 92.42999013670205 -60.17261165706675,-18.592303329366157 -3.326894624221153 12.152820251750542,82.20203276952422 128.8815449457782 68.53971670579483,29.14426276373679 104.77946016299022 37.3601159002197,-18.688046325691545 3.5134882657182906 -10.167753766154147,7.5755248777804365 -39.98256465949994 51.24114548880473,14.705711443774362 -27.08394865145532 -3.5833133102698134
5.576959053445451 72.10919771697657 -3.374954799003645,-10.356167672859954 29.918387373670686 -13.681726777147073,38.544239582433434 -6.553579663583908 19.462843401522534,-58.002000647454935 94.92109666283058 -59.738395109585916,-18.73794467648011 -3.688999202861056 14.059871267478105,81.17134265171484 132.8919709946585 69.44031081200569,29.494796319911735 101.48866579452765 35.77574187800601,-18.992525383463477 3.0344113134911255 -8.658223448513661,7.420752242675778 -37.05348794841597 50.972969713685394,15.235194605384303 -28.16539277644788 -3.8252043178264703
5.501757085193739 71.08713079163388 -3.7734438982573164,-10.58217587142105 28.796773125539953 -13.605154362332037,38.68291301412553 -6.044072834386348 20.229369020894286,-57.36299596843856 95.5259958255371 -59.49922449021447,-18.791140467258796 -3.7956898779287784 14.540485596287882,80.80616847314836 133.7510479472247 69.41409153658586,29.585975163997237 100.62843040117247 35.36159661980689,-19.08817452645222 2.9160718939164307 -8.219954562982586,7.390668010459162 -36.14239139813225 50.914679796989724,15.389617034837595 -28.47945655993424 -3.8957169838130095
5.612456329662759 73.41330124930074 -2.9151277956754127,-10.078054268148204 31.389029318891737 -13.757422468313003,38.31061085670574 -7.24073955947287 18.431920319331372,-58.85725777414708 93.89214023075787 -59.78253689352028,-18.657911070445678 -3.5854062957630974 13.26213667352184,81.40515801250646 130.41529388376497 68.02095540984861,29.33090390390229 103.0062881958281 36.505005737512946,-18.858894007148663 3.242460349711189 -9.104533708747883,7.404621902145195 -37.91704832134797 51.12651258922207,15.058747584691037 -27.808427069928978 -3.7473272494434227
5.733449248061667 77.53950877710807 -1.2796066878884618,-9.165741598790234 36.125695523897605 -13.984921754880096,37.622165137499714 -9.514347591149459 15.235088247319887,-61.29994679029625 90.79838761499707 -60.01032985067969,-18.566673627174715 -3.145127244768389 10.969806915634416,82.51372459385912 126.06113635165588 67.34716271328256,28.94171124235199 106.67129690831858 38.27140547215937,-18.569178553252097 3.817278398849058 -10.945087779102897,7.7255367061827815 -41.27234599785656 51.42994739720319,14.440922134917482 -26.537380160617587 -3.4614868928694875
5.659230698459799 81.65677529006054 0.5690534496792704,-8.222067143087468 41.171400576434834 -14.108352345044034,36.844085675262235 -12.12780562679388 11.998214895048807,-63.311943934209694 87.15096586887854 -59.5048683469471,-18.78109387300276 -2.5787813336755114 8.528942012529408,83.59286984839285 124.32797211380142 69.75153044567479,28.663588389985332 109.36735127013608 39.57997834273703,-18.525419884945595 4.4129488946605475 -13.304219668291132,8.653149923925167 -44.90400753504981 51.620184732353636,13.769109143907196 -25.119154160448385 -3.1341749483320585
