-7.9 0.0 -0.7,-11.0 6.8 -0.6,-21.3 3.4 -4.4,30.0 -6.2 10.9,6.0 -5.1 3.7,-16.5 26.6 -31.3,27.8 65.7 18.2,5.4 6.2 2.6,-14.2 -39.9 21.2,29.7 -80.4 -25.2
-15.562325717966543 -6.014188031234878 1.1409001443162057,-15.738858044076297 2.6758091622802187 -1.3227294265157514,-25.05742076943465 4.430619967753597 -0.6845628546249939,37.19227463445506 -4.671642915986813 5.393650219676101,7.363320783982019 -4.936425534984851 2.2055590304759285,-17.46299339884623 26.54795090495246 -36.252499967498515,26.758861367308576 60.725405984927015 15.828662295101687,7.096923831925043 6.321027414124432 0.9464269705671301,-12.822963078248103 -34.554119482433116 19.288510642082727,27.87827253167576 -66.41728570662973 -18.45282389253409
-13.28141275824386 -7.277220463856757 0.9721654970124514,-14.580680752577281 1.4315060022580606 -1.8455638033544044,-25.343553230018784 5.305294568477339 -2.446765761644504,36.98676916302463 -6.235462425772351 5.605527888894665,6.7347482611053575 -4.941958424135794 1.7845629714505653,-16.73731459037188 24.602584219666657 -37.12945321504121,26.73758621125842 60.67393490284378 15.837680252695463,6.42962157003271 6.535228021004104 1.4920980039608807,-15.126589276990904 -35.96710605840574 18.837590892721426,27.352596511121533 -63.63811061683458 -17.184562011179423
-11.369798741839329 -9.246073305689194 0.9720906098780807,-13.74628133093042 -0.5594333079345265 -2.1109159587839947,-25.53085195677594 5.838942479494731 -3.9741291084091785,36.87448470355257 -7.377879822802914 5.582899868373211,5.972575571971376 -4.906336809666051 0.8088017635281266,-15.629224228462446 22.110443282048173 -37.894800928687864,26.735629849171282 60.68621065360569 15.87545952195297,5.724001486692643 6.803137237962118 1.5354304267968844,-17.13547065058097 -37.00773437323978 18.872977695845222,26.97201400104222 -61.615655071394485 -16.277029809498117
-10.104565245854149 -10.303759886543133 1.0122665881964668,-13.021619912870873 -1.8005587811133452 -1.790077073198597,-25.623895371817426 5.811528173561329 -5.0455937543273475,36.508083003194194 -7.938614116805801 5.439848923540694,5.446617656125125 -4.911595080328014 0.11798404198279507,-15.143055471721908 21.104484595289655 -38.295306530798634,26.654285827739976 60.257030192108346 15.688531769993803,5.272725590733774 6.909187082704476 1.2796295475702706,-18.56524858064893 -37.76226103144184 19.536014113473463,26.940633835726196 -61.37715850046031 -16.188791827933084
-9.47163049489787 -9.60382003154243 0.9872709609150396,-12.289956544523083 -1.513726549804097 -0.9278961655272423,-25.52608151232552 5.248271815998537 -5.590821159846202,35.659664080966635 -7.954161177783004 5.472575038271243,5.269655545286475 -4.99126740390616 0.20265755449997983,-15.539314541722737 22.236114360246976 -38.13478513802208,26.518575030688815 59.52460889625681 15.335625831048574,5.1266826226794 6.764830188180665 0.9737726461713407,-19.327185342722064 -38.358297718700115 20.7431271684093,27.30219846788467 -63.19280479869284 -17.038831753025303
-9.063034007367996 -7.342143080194274 0.8227767322041897,-11.56617622851258 0.10750019392744847 -0.07456221894367054,-25.003934050048564 4.506169511827225 -5.743363951071833,34.26290114698586 -7.7272118294426955 6.223641942996566,5.206761048155195 -5.113278028109627 1.0810336867662371,-16.072276659135497 24.28781110884207 -37.294230012337174,26.520893675952074 59.49756294762565 15.29780327872742,5.009696322248481 6.4533495882687415 0.9289914904261494,-19.597174402814584 -38.97940026934533 22.10648293243056,27.883510607108633 -66.30865153339124 -18.486756546035316
-8.448821978044652 -3.7980627706937917 0.4485126856687479,-10.875355374172253 2.7937392943727324 0.19061387913474429,-23.822375802440128 3.9624564386089887 -5.650672706923724,32.27174503489467 -7.5759202500913 8.238788054054556,5.001670464052399 -5.240732103375389 2.731861451444532,-15.936013220076111 25.921366117229645 -35.66883861264326,26.861666362252233 61.22637514184024 16.076764885757616,4.626905135294737 6.070452706006362 1.454399230713421,-19.568276033658815 -39.807824254568025 23.218212740173886,28.49647009933587 -69.8973069788748 -20.15907170077628
-7.55696147508961 0.18176568610532587 -0.09488053805241314,-10.293467151003227 5.864948646254602 -0.30676180556393834,-22.233223082644315 3.7956860806578137 -5.42570742120161,30.168667509901905 -7.612523749211286 11.204975449537539,4.598875060035949 -5.327020074368407 4.777817109702602,-14.997880683317442 26.517054986909766 -33.67736027897631,27.51017286238447 64.56650824681748 17.613858012995987,3.95529214176434 5.725488614779214 2.473703343179367,-19.336500797700754 -40.70954462332964 23.764204043775514,28.98274631453148 -73.08615214767084 -21.65266950140295
-6.8701969204062125 2.8713387967285353 -0.5948489199176551,-9.975374706767393 8.004563222464533 -1.113461929936278,-21.24297712212558 3.876455297753923 -5.127967680769622,29.25534778114374 -7.630088489608015 13.478062883257229,4.25403630315565 -5.310474591807012 6.2896641578905585,-14.168827354750562 26.568804023667756 -32.550049767134084,28.077418468956637 67.52114398752629 18.98188223290015,3.3931996044467736 5.548950946012438 3.3132325089098114,-18.847432206442537 -41.060301360136656 23.57566627749599,29.230151384902875 -74.93246579652921 -22.518541757099545
-6.915050957456209 2.4880684895489353 -0.8256619024336749,-10.081035949706795 7.855802040408776 -1.7251395729062675,-21.91135842591315 4.049572062487228 -4.811722011233755,30.886855033253635 -7.396220364151325 13.315424982614017,4.247405452662325 -5.129210727083209 6.300400693237933,-14.440788534941394 26.663045262138567 -33.57382609298645,28.146883845482503 67.95085370188303 19.18666322077132,3.3716055847188513 5.671426901106817 3.2548555052719172,-18.03495608632206 -40.20107945829067 22.50060521920909,29.13193176954113 -74.49813891776829 -22.30877828189202
-7.863373540627952 -1.0370200088131516 -0.7065047091595593,-10.618320983831046 5.3691222802539915 -1.8954434741853852,-24.246102263193944 4.2229646926207 -4.47438460424728,34.882567922533546 -6.857932499103848 10.414808998392626,4.663441958839845 -4.81824557533394 4.716180166775709,-16.015860671636116 27.090196404226848 -36.85389477237309,27.598288759075903 65.22008167840073 17.92995392948175,3.9968836168716457 6.068372948277803 2.203324524480224,-16.944656730602475 -38.13964701053319 20.77325625049689,28.71306357676793 -71.80197931427563 -21.029215615063467
-9.255899592878118 -4.723647486575668 -0.4144299736113673,-11.324470393861763 2.8211192196185246 -1.83710745272405,-26.38301038349529 4.416879707614643 -4.012201374725426,38.32921213843482 -6.281480537082063 7.037003660143716,5.23820755915955 -4.585026547437013 2.996874388844837,-17.690677689583666 27.613938527730728 -40.39268550644307,26.83848956486466 61.36930803729046 16.151860811311604,4.797796376999594 6.439201359030727 1.171768856987997,-15.820877975001329 -36.07026559987291 19.31512308792676,28.23292653344099 -68.56556075199533 -19.49310058598971
-10.568913004778672 -5.291166950225353 -0.15227415260833077,-11.909310098466289 2.717237227691604 -1.8090405607655884,-26.274449560350792 4.66287552912333 -3.31226274997593,38.04685226211474 -5.9652184744096015 5.69716191398124,5.672482367389736 -4.653766087091293 2.755799549408813,-18.12222020149825 27.943736448780303 -41.98424564709742,26.327327094447444 58.70814907409386 14.917057109976772,5.245168800027877 6.456194132937545 1.2824866143382347,-14.927392197743742 -35.30391787746779 19.114292776571325,27.97406832089431 -66.67957209075578 -18.59389134131444
