-45.1 -30.6 22.3,-25.7 -14.4 4.7,-36.4 -1.0 22.0,79.0 -15.3 -21.3,12.6 -6.3 -3.5,-9.1 -0.1 -46.5,18.7 35.9 6.1,13.4 4.8 -4.7,19.4 7.6 44.7,22.1 -44.7 -9.2
-38.616456057284026 -28.71099022755377 21.131188405055088,-20.686040213780252 -12.06541156025303 3.7717021731964055,-36.73415845323601 -0.6415008242220764 21.17524378174817,76.4639238789894 -14.45508682825766 -19.29360012389897,10.764032731708255 -6.190954006958338 -2.559187825495439,-11.916217319645867 -3.2291102118031376 -47.07441256011772,17.812995199643996 33.753882195536 5.415201431166883,11.588752614641535 4.525302653597865 -5.513627095832405,18.77460938179054 5.776068987506064 43.908200586033246,20.03774689494099 -39.04063411605198 -7.148398415633761
-39.99213730994925 -28.79627966635121 20.682751802328244,-20.254690484667332 -12.624889003416975 3.726388786700264,-35.31908864153633 -0.2705548128589674 20.45612365029177,74.21520535478722 -11.12632016436654 -15.919966577674595,11.040408723120759 -6.036883320621059 -2.1885005158287836,-10.841189619268437 -2.280212793392742 -47.311651407329556,17.99958668453829 34.254305584416066 5.612455243043815,11.769524174426953 4.743429486727133 -4.87881885480473,17.70286064958399 4.9466099061678745 43.52769235061552,20.386087722963794 -39.90185270715794 -7.488934907452503
-42.266383495219365 -28.708182506976968 20.328598538105616,-20.134453186744373 -12.774973217517347 3.51922365049458,-32.97703204950175 0.021244517346069025 21.380697063269288,71.68500489180992 -7.699700572450562 -11.766976867925642,11.34265989000677 -5.860355810700603 -1.7602169547434452,-9.697330302080696 -1.4845199914968816 -47.86686434052813,18.674197531050222 35.871184817379834 6.173942931045075,11.908341701046554 5.0344111076279825 -3.905065816476574,16.04074844660088 2.7519565500705943 42.7592682783086,21.06533408032463 -41.72240986133725 -8.151853014818728
-44.26962601290821 -28.172772862048117 19.927330361181728,-20.27025696914637 -12.471297177262183 3.1413817909576522,-30.35582868361813 0.1970828403444942 23.50501734948456,68.8901978472456 -4.56363360490019 -7.694796058605643,11.590183302726043 -5.757111974655887 -1.511409176641957,-8.729599267068425 -1.1110277137830484 -48.62920367785673,19.575694452850787 37.988862460238565 6.8862997763863545,12.002147546203032 5.263127982776371 -3.0296616131109078,14.297422184879657 -0.020603157397243964 41.92831055129071,21.92261681208465 -44.09841401288649 -8.998229833684412
-44.310724835015016 -26.887185641572657 19.182391161814706,-20.46469990321655 -11.878497734731498 2.6417633012644273,-28.2568815801326 0.28706768746432204 25.80590292599931,65.43858918355814 -1.6953385841909059 -4.487904634725869,11.637682681098525 -5.836805303065615 -1.732436030044675,-8.091809921427124 -1.523504725520527 -49.4163200015068,20.294714679140945 39.658964441178135 7.427747452309341,12.01442752152997 5.259164091612104 -2.8574871146830754,13.127967504693668 -2.1862518981215193 41.557510006748004,22.729140647799845 -46.398885554333496 -9.819027548313418
-40.983652127994695 -24.64290157769978 17.85401437794722,-20.545303387909232 -11.16882919691841 2.080534419899261,-27.390523388054763 0.32082119775131 27.33192293080362,61.0607806640299 0.9025696273785911 -2.834473662776454,11.354960128992941 -6.183300641855721 -2.6593048186009964,-7.911761834652822 -2.982304595438979 -50.049941173856276,20.48188051089304 40.07733379820536 7.527509034952774,11.906880036072698 4.886108701153949 -3.8968236522876967,13.099711077250292 -2.6932535440818115 42.095146081396436,23.27676317323078 -48.045216196056145 -10.422042278591583
-35.441035482669506 -22.071653906839803 16.21436805925446,-20.567583403141636 -10.572933329665084 1.6154617880234676,-27.650385596700588 0.32065548094928376 27.79559243374604,56.59762829771573 2.9832552736797875 -2.5696410135180554,10.748972210023764 -6.6505182833318885 -4.042325045840219,-8.090007347091765 -4.82393509846495 -50.39125036142479,20.327854701737795 39.73712944104125 7.373180791158827,11.62680592915813 4.311517645276985 -5.789456766465815,13.993065952158975 -1.691062517320494 43.318977962638705,23.54439134920981 -48.93466151655718 -10.767900302973425
-30.17630843576594 -20.245491330723205 14.8038880982748,-20.70653137162714 -10.352048536112116 1.4554573471720094,-28.50212578357458 0.3050519900206125 27.25735246794343,53.471791911417924 4.171904120731091 -3.081531657890876,9.898548203991911 -6.971881237599893 -5.37728718466654,-8.408014989237374 -5.900783357078744 -50.32210639728981,20.306296083268347 39.81133954361513 7.392559170133124,11.113961316856887 3.86223361466227 -7.723104327289527,15.176080757972962 0.04140981318223158 44.655393751108164,23.608951163236764 -49.213842873625865 -10.89731511422565
-27.44604800283828 -20.102085513375588 14.111149292270591,-21.103972331392217 -10.713073531226332 1.7819758750176662,-29.42796998201696 0.2950179391751199 25.804707771475925,52.92960911895638 4.146097311416715 -3.785476066123857,8.88441511362901 -6.91381695602867 -6.191772135130256,-8.66573658658468 -5.229690949361373 -49.743911252430934,20.83810104146468 41.33629155243682 7.962392468523171,10.31856502679277 3.828387959664311 -8.939380036524465,16.054539756341292 1.7273237447736014 45.55774527019366,23.546403759402452 -49.03356049464156 -10.85300009050665
-26.86952659060689 -21.112771091190815 14.049635447582684,-21.538808298776104 -11.283708015378068 2.4804798143657147,-30.125815134081314 0.3387070460538876 23.779738884546006,54.2929925521804 3.151081209634142 -4.4270722140705985,7.800720247344771 -6.604053652833429 -6.374292949865209,-8.870277035951181 -3.6169350253158417 -48.76341791736768,21.758140455523726 43.835401703999814 8.895579733180963,9.302510761338814 4.095874704252653 -9.293909428946924,16.472947003690617 2.67055647433522 45.798161705458675,23.413329213084655 -48.56566489451545 -10.691405863112784
-26.47756244602246 -21.86570479863818 14.186451846920104,-21.571351984375998 -11.342798893933058 3.2581547969146087,-30.42345722758927 0.5006234248938807 21.677857892943834,55.72476959448661 1.7740081459465062 -4.950838896738102,6.749693992124045 -6.387931758030624 -6.030752882563402,-9.153509968395038 -2.946573575405694 -47.61106273724945,22.548320798914418 45.92085660403644 9.665412411851204,8.19495423679813 4.307114873305439 -9.012138668708612,16.54004841939113 2.2236011585432576 45.340772523848976,23.254634340866996 -47.99468522098798 -10.477257040042907
-24.442082746050897 -21.057598056150287 14.113530044206504,-20.80663214758511 -10.237163484170807 3.837341617398942,-30.185546829886498 0.8378953955509317 19.954129065091323,55.51564534256753 0.5721319655869282 -5.3166796722469485,5.841104513724767 -6.585232630091623 -5.282282453706419,-9.646029927392172 -4.915349345987874 -46.51956585552929,22.720241837450747 46.28846270827489 9.77801228148285,7.135304019237382 4.131691314606423 -8.320956036999034,16.362184417243537 -0.15164472717960176 44.17383173729048,23.105537320626283 -47.47679257892542 -10.265831767978815
-21.016917158778856 -18.927269802375 13.800834255726146,-19.459407159049007 -8.243348238086961 4.165326222218094,-29.724823922656416 1.310538126374514 18.521159773716192,53.79377461347338 -0.33934956921093745 -5.646143213634095,5.279612464367217 -7.150952423727429 -4.406401819250424,-10.440179621813028 -8.63738576948603 -45.72910992988207,22.226879421748254 44.86246192426125 9.21861442465154,6.382160736518798 3.628991781551704 -7.40073772735531,15.968560429001164 -3.6039377722063826 42.560123759078195,22.879512256360087 -46.80359494065971 -9.990255855247936
-17.89393724400044 -16.778725852948245 13.47944890258883,-18.165596672103 -6.280095603582316 4.344771936303865,-29.663539308476576 1.8114873808440384 16.916863694900503,51.95650215176048 -1.150582086957513 -6.172432052765614,5.335424011166394 -7.788117565614341 -3.7886548529772024,-11.601879898393792 -11.442901998652406 -45.485032234067745,21.326083094946284 42.415618916254154 8.303394017094863,6.276455086597716 3.1276557270066734 -6.3997324293607605,15.335102092587714 -6.3223653857163296 40.95206062406951,22.40594041916325 -45.51488394274697 -9.499280274913906
-16.691801889563916 -15.854640239713216 13.371059257651149,-17.530823241711932 -5.2196109817068 4.477061254658056,-30.56533919759 2.2407175074437564 14.711843638953807,51.318817645363936 -2.043036211785903 -7.102641602577079,6.248193004842258 -8.209902150988706 -3.783568000661629,-13.165619187345637 -10.8233912766775 -46.004545175692066,20.28125003584134 39.728458701796626 7.349154803990144,7.12302551874024 2.9429220580261735 -5.454098846933946,14.438573390302105 -6.6130931439452905 39.77953032684979,21.531063199838222 -43.194096157994565 -8.656679859669662
-17.44187917467457 -16.111247129236723 13.469842691295565,-17.557801907198023 -5.009483088001973 4.595416594964222,-31.984334550653774 2.628727239697918 12.102483990351613,51.51828179304779 -2.968245673699091 -8.20227537472868,7.760991089034167 -8.365817898450151 -4.2286595689759885,-14.684110774469781 -7.337623260492441 -47.06485004932872,19.34768967115763 37.439283356017626 6.579848863555962,8.638565269401283 3.097625530880854 -4.521501386155276,13.285332613400277 -4.90497568167891 39.06249659666438,20.39002227221333 -40.183115826177165 -7.586593452306188
-18.9202417252045 -16.487410647841617 13.59005388171853,-17.77244342032282 -4.866075386105528 4.679156556720514,-32.676253951331134 3.1092394123462856 9.780063176017624,50.86587482581926 -3.695900563095132 -8.887607676703668,9.224172086954258 -8.392282128548542 -4.552576369326633,-15.329060164879918 -3.9700971049371194 -48.095169098329194,18.774315297591542 36.073919148100615 6.1459973218923025,10.074637929276163 3.383355562917644 -3.418443753816727,11.905142460998396 -3.305578245223156 38.49673803947169,19.346433644986295 -37.42363908212416 -6.619066561430224
-19.910121118508712 -15.940398771418167 13.544303298460017,-17.700173859316813 -4.027625310916193 4.709005944279977,-31.444802974532934 3.8055006982219304 8.413312656050296,47.731464734071814 -4.00139096157804 -8.594667838859074,10.00455702042641 -8.425207941638007 -4.203875941791511,-14.31422649561821 -3.636287910990212 -48.54036588063106,18.793169112988863 36.11767194421448 6.184332850981512,10.703062294907296 3.593640832922401 -1.9748112721790603,10.330049508609608 -3.854469781388451 37.78924871360428,18.754544570736435 -35.83374202680637 -6.075355740017736
-19.995499115158893 -14.319969648563305 13.208373693121843,-17.10866098181812 -2.5409185407062287 4.721307308471482,-28.442078642478396 4.583849588476177 7.974121779926654,42.32287402653823 -3.866209399309835 -7.325510218699445,9.994408020834442 -8.492135895847875 -3.2316226020248067,-11.867053072500298 -6.6378307627322215 -48.33117756579744,19.31365790065848 37.33219987716058 6.603894501253284,10.432507637618023 3.6815106120977417 -0.3535602716216324,8.623882687104434 -6.391437415412563 37.0348166898082,18.666999259085614 -35.55855847109447 -5.9982271897573405
-19.484632875301905 -12.283135288069596 12.51518689862159,-15.98467919423509 -1.1840694681450654 4.8027092336366595,-25.039792752072017 5.078252131716297 7.8040889416054045,36.510347863949555 -3.458267262684475 -5.594156590408489,9.561246641984 -8.522584009983774 -2.228036688550287,-9.131856555565893 -10.9121527024053 -47.83781209914514,19.95336597707934 38.82462454360008 7.107773335628538,9.74767198496458 3.744261831805987 0.9810914971878764,6.87921794309985 -8.766574244119246 36.67898820183776,18.863643150414674 -36.04409895652454 -6.178553682046812
-18.707975596333046 -10.498952167584545 11.410069889539553,-14.335647531639763 -0.728818486019378 5.035610985426336,-22.616889428967728 4.932280594483903 7.245659220649503,32.175490983269015 -2.952110718468538 -3.924134500987426,9.080440805662276 -8.4461289516065 -1.7820123302754622,-7.254235707670865 -14.353425105097177 -47.43698436115981,20.32923113261346 39.70136301776245 7.399379301394632,9.140323025112531 3.8798723900171463 1.573444741335109,5.191457565067262 -8.847819844709331 37.154041949104844,19.119350118421142 -36.722886776210636 -6.40292035135177
-17.900649775343805 -9.219892528363399 10.09127953906868,-12.48067832506113 -1.1469359466858522 5.354223150908863,-21.654885078196166 4.229014491030288 6.217132781175854,30.013352818484453 -2.52028390101316 -2.620412688202697,8.700565804249724 -8.280118851123678 -1.9227217894052069,-6.603554601470445 -15.88076750391733 -47.27739510372634,20.29942176295605 39.62812180400714 7.371315718958809,8.767691238390231 4.075896999727852 1.4413929324708081,3.699776741987582 -6.691903005936485 38.25897086073302,19.327738170791115 -37.31351823851798 -6.574962590552822
-17.199204819132706 -8.267675502561403 9.01860527659101,-11.061178521094634 -1.5830135625067094 5.5395274417980245,-21.70734505172173 3.5059891140166233 5.232250868343854,29.49207035413015 -2.3332608190811017 -1.7619674532984235,8.335690624549922 -8.132658586819318 -2.1005781883328756,-6.746541307137139 -15.473108150513694 -47.27197572829994,19.971541610077654 38.848919401889624 7.111814131241692,8.441091610018756 4.205711473033597 1.0925301549006745,2.588612368258364 -4.618786877523238 39.13794276525414,19.505208177437865 -37.83039258909102 -6.7193471670489
-16.735035321326183 -7.4530151139263525 8.65322553615521,-10.711819056660229 -1.1733453097273407 5.375445557838727,-22.286707391396188 3.3058223894541356 4.819728824289351,30.022564245555188 -2.551914702543171 -1.4169279086424376,7.895096597774954 -8.113976734122406 -1.7595412800287638,-7.218310041063771 -13.179006184764628 -47.32479332399007,19.465113621935576 37.63571420458592 6.718244826195161,7.9653577199614976 4.141029911643127 1.042462430749774,2.036737694961367 -4.9855881751878295 38.93175218999766,19.671687994904236 -38.29682980940696 -6.864334106285453
-16.6202829328234 -6.868223033921254 9.117326430963072,-11.381345838311598 -0.0024432358630319673 4.963675522894638,-22.959056908719464 3.6668055510513424 5.111449622621157,30.996564694253305 -3.0353727321372346 -1.6401055609609683,7.479579246386276 -8.268780717666644 -0.9864597953300692,-7.7260696115266985 -9.705082902813658 -47.40386510350126,18.912671111159298 36.300323868893834 6.2915376236475185,7.446258436680661 3.86806161236349 1.343834573260146,1.976834435322353 -8.013739283108023 37.63327947937793,19.779220915855465 -38.58605519768036 -6.974968203398003
-16.944327443731666 -6.938530765922609 10.132319183545233,-12.207567438190559 0.7241463860869052 4.781607563055185,-23.353902501574634 4.0309877864868575 5.770139741857321,31.783113918620074 -3.2860217366380433 -2.470567129807218,7.416352434323416 -8.564315345879477 -0.6282402716184698,-8.180488277078098 -6.535955952087821 -47.55281354318598,18.462128940810125 35.201689809401216 5.936830612791559,7.345344455925569 3.5083782282441063 1.5019538412078302,2.050641696749488 -11.39975210247555 36.242786499997024,19.699593463132864 -38.393844072950515 -6.941557820104021
-17.791208977142666 -8.095810216506498 11.39588847076488,-12.297109688848854 -0.23673912484211637 5.314818998583467,-23.115031697418004 3.8185632504859823 6.438169146694772,31.76547427580878 -2.7969860920635936 -3.9392042569828933,8.038098963184764 -8.961649112126512 -1.554331295425008,-8.505512571970378 -5.174249506471873 -47.81788009088447,18.2589121600167 34.69337629609403 5.757191188862126,8.133608480256257 3.1908903336623475 1.002635242041192,1.8909001139983956 -12.733194640844944 35.79975883393094,19.304845365681263 -37.41756470913657 -6.654012400516808
-19.073267576399594 -10.235112737414333 12.58085880191366,-11.424030350460932 -2.9714107000074157 6.472682071052722,-22.339070186141367 2.986186824141239 7.045242510946296,30.989369137106813 -1.5450411102817716 -5.7669762317441045,9.353053662756171 -9.349205455550333 -3.723502578840673,-8.690310278981364 -5.974254014027356 -48.170784374053284,18.304351303300038 34.78350127432089 5.75699309465161,9.808412445404569 3.024122621923162 -0.15152396153612066,1.4631835520799572 -11.261413433853015 36.535349654353126,18.67551172595815 -35.85964282468118 -6.169321658522403
-20.47057159031704 -12.52529188180856 13.326424455845515,-10.265272872237736 -6.001218342424631 7.38509279686919,-21.73523211706018 2.21622441991929 7.909763918937157,30.396683031893964 -0.16123333352158553 -7.255573390062685,10.930546032612638 -9.517135351656815 -5.86257958764426,-8.812278900621354 -7.736821970009476 -48.48243471286672,18.404849348192172 35.01287129790571 5.807099698783701,11.726402097842742 3.0890222619174987 -1.2588360328601067,1.1833145800244176 -8.474357515834596 37.58721969906295,18.174175120004357 -34.60573357301344 -5.770497435889574
-21.64989268064921 -14.09198731920987 13.275163828715208,-9.55477917415499 -7.753010590340367 7.13893194135261,-22.045286699671244 2.2332087876550863 9.372427759802909,30.97829754173092 0.6848818778122462 -7.685602057591725,12.311777954552749 -9.252146322512338 -6.626707114662122,-8.95336666119189 -9.164345778231313 -48.6184065149705,18.35584900310952 34.895958180451835 5.770830251706413,13.204511820469193 3.462515603594004 -1.5769782151252882,1.492785434205114 -6.00924066307609 38.02563279914518,18.17857754843687 -34.57822237604175 -5.752892749063117
-22.469441054820635 -14.560865311384328 12.415932727531052,-9.601030176656929 -7.648680456688233 5.559936400684246,-23.35530668870804 3.20089643878522 11.455884921341688,32.848187755211434 0.7997460947736986 -6.858284705713216,13.219581883340684 -8.552878831173752 -5.617011597854379,-9.092796758878373 -9.667668630791262 -48.553653459959556,18.125368781659084 34.35741771934032 5.627474505793578,13.905789597537668 4.097731898350166 -0.9029366858436567,2.4556695856093427 -4.787969049171674 37.53419734782994,18.77479282659288 -35.99345241939107 -6.189708085406057
-23.084156666044798 -14.332633338078235 11.27431694612433,-10.053042250913997 -6.652439890166562 3.6190700738806973,-24.735035334020893 4.413840715228878 13.689818864278639,34.76112369683056 0.7275961321776688 -5.381798831688861,13.658317661837241 -7.746469399233151 -3.9008910251384044,-9.050568601386216 -9.755732441629887 -48.432665548950126,17.948919695493277 33.957690886807626 5.536076491404045,14.0297594954026 4.755914894829182 0.13037352928076673,3.551041418876055 -4.623722063542684 36.74720580967257,19.5968090826259 -37.97340142244704 -6.809807512204697
-23.672072370327335 -13.87318007029522 10.417715901381351,-10.504638637014493 -5.8558496876433646 2.3784364658483046,-25.173051892851753 5.096955477767877 15.563165771539191,35.363631956511284 1.0718076753595285 -3.93010899031375,13.65633356293817 -7.1857161739519695 -2.664676460144757,-8.635030142958778 -10.029502574653069 -48.41371031476157,18.083176223126156 34.30754108818608 5.669899044151506,13.820550305092013 5.1837521751573625 0.8220222495434825,4.2105779080617065 -5.233256139172664 36.37717439739549,20.24191633733704 -39.55111448040204 -7.314017638498532
-24.192528047715605 -13.514509819736437 10.021799305620666,-10.687661299266852 -5.871789263466241 2.2370616701664874,-24.220997388010534 4.936476703098261 16.713986787871818,34.08246470729433 2.0466622192018384 -2.850931940135035,13.221389299182583 -6.989990676599783 -2.4475125307232695,-7.838423667069688 -10.870854130459994 -48.582562934287765,18.618773362880685 35.62491708630622 6.09035799179622,13.38348504447747 5.30327449057273 0.8210891464433018,4.128963725678117 -6.239042675227274 36.8169264434776,20.50440551563193 -40.22776142396653 -7.545488606691491
-24.215714854242222 -13.35038912498849 9.56518149467581,-10.57954678582507 -6.461358278192281 2.4140723007435456,-22.43244153549977 4.43953053131153 17.045700408245825,31.732730509907462 3.17407559355929 -1.9114494999460305,12.324608692281453 -6.8632982135150575 -2.636921255080385,-6.9802184440674075 -12.271806540823391 -48.89600355069719,19.350890570581004 37.42878169699208 6.659845301362588,12.576891649521583 5.348523392959929 0.3994717336191083,3.4688871909545873 -7.095779504102897 37.89041435128708,20.529116754736027 -40.33750702897171 -7.6006252472421085
-23.27455174121689 -13.449787801627917 8.457580091129817,-10.184114684171506 -7.298259545106542 2.010732024611811,-20.463832654319674 4.195650156251396 16.49018916889982,29.271902925606483 3.906249623359187 -0.8204366114525233,10.934177284381128 -6.468271090643787 -2.5046360681463704,-6.412298189497612 -14.18331942235258 -49.29707595814315,20.04474660562103 39.16711766857545 7.2205039727505955,11.234975339647647 5.584624722098026 -0.10777736258187041,2.4419767534399304 -7.24322965842573 39.36271849707661,20.496520832044112 -40.29919786883707 -7.6016027744546495
-21.321781748337315 -13.846447786946701 6.545578078046815,-9.662704567033694 -8.116311880967555 0.6843215266158305,-18.91209106771104 4.467557821544836 15.143325077257549,27.546577524315357 3.940130285806975 0.5011854944548887,9.142093401255242 -5.680842985051273 -1.7542631026910502,-6.292016052643331 -16.427496128572624 -49.663955682822,20.53877568205952 40.44644828485124 7.653909741451754,9.389602978061824 6.117381875251095 -0.5202071526523772,1.3628101807920419 -6.4697031008401344 40.96476828633954,20.51250435765803 -40.3565537243324 -7.620994356056168
-19.169903013060722 -14.501968068901272 4.570412249686805,-9.499240189560744 -8.772445286176776 -0.7692147710697264,-18.252230092553734 4.8487016909742495 13.436813142540375,27.176283538142744 3.4738735610308256 1.6980425418073126,7.2939107859000405 -4.8137661038758655 -0.973837860404952,-6.378347265368543 -18.56255608607558 -49.74197493488077,20.821349480918137 41.19797099037852 7.922392393001734,7.477431459257805 6.7263228264083725 -0.9739743622486781,0.7567944986920662 -5.277296849521701 42.357555567349785,20.53021349677452 -40.394653324178734 -7.62979344202143
-17.735097472289684 -15.368766217364414 3.3814126550418737,-10.215433160102014 -9.138944259374918 -1.4161729563673766,-18.942544701096228 4.851571136048638 11.842997575082327,28.74992920179021 2.766874819743644 2.3623551975348858,5.765850743850701 -4.232735808877503 -0.8582798457464365,-6.381953867600573 -20.115089903845117 -49.260990125122774,20.89925045266554 41.3928628283231 7.99827263106075,5.984067225577872 7.151412783677985 -1.6433613231494515,1.1734116013876201 -4.254857189300846 43.194086709207134,20.484213389690176 -40.254981816246236 -7.5866372943936575
-17.489248245399622 -16.301911429860333 3.4217493193601696,-11.854395316438856 -9.166508113590071 -0.7881296245039535,-20.94008853147601 4.265577704571471 10.699501195067864,32.06798172734956 2.041946184764479 2.3076778700007896,4.828162242553487 -4.151626941695903 -1.708286533880584,-6.143814930979052 -20.80254776152067 -48.17190087314418,20.79376167241191 41.06530737689297 7.882708113083178,5.223177375154083 7.241085969078306 -2.523283518789491,2.675355422448488 -3.8094688150617624 43.289067089388965,20.342956881880614 -39.86851361172809 -7.473003499180232
-17.854008162604913 -16.926361534699954 4.174514180002135,-13.327927865742392 -8.99119252549525 0.4835119755859548,-23.01708462922902 3.5347195554552124 10.025493387850277,35.06719721516455 1.435424565613724 1.8707520436898128,4.50059761321869 -4.42544211101309 -2.8926962558885974,-5.8129519717748135 -20.793532293287083 -46.948107115736924,20.560442685538092 40.3984226001329 7.645021076592112,5.102000044202535 7.100174864875175 -3.1846703908433245,4.174654081053544 -3.9185697072768493 42.839425016486,20.15500032800312 -39.37775718670557 -7.324359432806911
-18.09978928229879 -16.834211152125068 4.984377665998285,-13.385465864370023 -8.775743588804577 1.6088130073068379,-23.77565030482864 3.197194305257317 9.794066952071825,35.41706167532089 1.0710541759239056 1.463716128712707,4.766635153647092 -4.857374668919656 -3.6461905781737496,-5.582772793456997 -20.321773572099584 -46.13816672059799,20.259821917976076 39.59684766913778 7.364377299444317,5.469061520087473 6.87051836557775 -3.137618392374421,4.418034824206973 -4.497504525528956 42.09730844215046,19.980455621656525 -38.95571546076113 -7.183962062030825
