-22.3 -1.6 -7.6,-14.7 1.9 -1.7,-12.1 4.8 -2.5,26.1 -2.1 7.7,18.3 -0.8 5.4,2.1 46.1 -46.8,26.5 120.3 44.7,17.5 10.1 3.4,6.9 -39.4 36.0,27.0 -118.2 -43.7
-20.304654153540838 3.048167222063323 -9.704832884981037,-9.693498352538002 6.528209721308536 -4.620779642082597,-14.977383264453445 4.863119601615516 -1.3162573104820732,26.665848300738375 -1.3421932746649745 12.961487741113796,21.440033417186125 -0.10773381967979327 6.940130708046296,-0.4422428044924774 40.60729639185748 -41.27580165910975,28.513622106773255 109.78982199772562 39.772617222765604,20.164812346489974 11.278833072329006 6.9549003688244415,5.621728270952777 -38.136941145195564 41.994193086584424,25.54178124277397 -124.20598585829327 -46.32979246985542
-20.403441593158117 3.645942281754273 -9.541677668680366,-9.50847651946008 7.103688621216006 -4.720008502532722,-15.397642858827535 5.137441827548446 -1.6159346102120573,27.31543048179968 -1.8966011539329215 12.66929508186344,21.433826504230506 -0.15070603016384426 7.194981367630791,-0.528540125403486 40.48773161838727 -41.145643447735964,28.77661382622319 107.87169183921053 38.824136048368004,20.050831697413393 11.302118413650984 7.627929158907287,5.69219184231264 -35.594401825212884 42.53814017582033,25.68115186525218 -123.63507330326317 -46.1038889761033
-20.396980570689156 4.472581566122867 -9.619575616891344,-9.168674973252072 7.749726913333665 -5.032802039791081,-15.605742900911077 5.4194803208816245 -1.8103691607443566,27.603951727232023 -2.324129183004735 12.723864226813458,21.3961585331756 -0.09055018932540716 7.640720109211157,-0.2640246013001125 40.502314176248646 -40.98231928304956,29.0175754765049 106.06894645328289 37.9359168300136,19.8861251946023 11.412627522932175 8.355360941312082,5.581949984628137 -32.55618073757585 43.039364735842085,25.926452114091614 -122.58768153558977 -45.64996502687937
-20.33520075964947 5.524511517412829 -10.05303560532712,-8.719195868811475 8.37405886142171 -5.526237416551154,-15.547226516962223 5.6115410136086625 -1.940580994426583,27.415414593573754 -2.53312107326067 13.287061645996001,21.348892408720868 0.08463316860605981 8.220976373311077,0.39215553014475385 40.51590328062966 -40.638683135649,29.214423947515392 104.61453335363322 37.23275791277299,19.711991569783912 11.620750912316101 9.032596414416195,5.22090421082572 -29.437817981275145 43.526904671696535,26.36162516890005 -120.75322140842401 -44.81943000421778
-20.256995605407933 6.663566262861028 -10.613767910175717,-8.306841133659336 8.93735381934399 -5.897032713366415,-15.379203760957441 5.653555412849948 -2.3004322497690315,27.02822971259021 -2.7389702099948336 14.000503444002977,21.359874406310567 0.26059941321838953 8.746427979375227,1.1629766813915252 40.46344005381332 -40.051333448701556,29.299073044469942 103.99344243425007 36.944066937617,19.61847775642599 11.82442600058311 9.575767636907221,4.759848448652483 -26.93381043104801 43.793893185914634,26.799751303548664 -118.921329410617 -43.979544301223065
-20.19906949100676 7.724886830671508 -11.005498783079828,-8.098581752327002 9.410779278874589 -5.788289776543723,-15.300742289050822 5.492917843259945 -3.233926865606816,26.799026535867952 -3.2179635343906434 14.402629778641536,21.506069558517897 0.29808727177195554 9.001386316633846,1.7083739034908545 40.29376661673976 -39.173478793077976,29.194313731703236 104.7406448077551 37.31999576715886,19.705297644032214 11.899288749066109 9.905118624735916,4.393383398683666 -25.79397549664511 43.58667938829497,27.000193505868783 -118.09983759352814 -43.59987136772137
-20.178311655847374 8.532952843709927 -11.014027092471082,-8.230442036304783 9.754044068529252 -5.006497074369996,-15.429650895233486 5.125024075920135 -4.896648787087518,26.96267913154792 -4.126783410809161 14.183237959012702,21.809108115795375 0.10920270652356036 8.841369734913897,1.7560212490469642 40.08694765746881 -38.05817473151551,28.86713657507105 107.07619805017887 38.46041880922344,20.008230327198394 11.767590119339884 9.968018192596482,4.215623199312218 -26.55155250575493 42.75095910998755,26.813302104036396 -118.91492038314638 -43.97359516494053
-20.138214865733843 8.872753443742575 -10.729153573253063,-8.72381797482822 9.884413444849333 -3.963336865482584,-15.582750702682446 4.7230701017427865 -6.746263067495745,27.303072367369975 -5.179089719192785 13.592761207844305,22.085656996077862 -0.20368101888038007 8.38565141207309,1.2845020716089826 40.409104077306374 -37.12831603837368,28.448250100029142 110.0537012201246 39.90857381824602,20.326236607831127 11.52424581346829 9.812307027146122,3.9484737707220816 -28.93756265583216 41.500414361946525,26.426449960323385 -120.57906960332994 -44.740579511055806
-20.005281815811774 8.520136378796654 -10.311050368361773,-9.57357099492416 9.70932767890347 -3.210583769311537,-15.507189163023256 4.501409724133799 -8.078878070735202,27.4996945644081 -5.985989955906889 13.011410696576544,22.104937493128 -0.49414690495489794 7.814559409740987,0.33048108126782316 41.93887075816639 -36.89240915339257,28.10626083401253 112.45673750676886 41.078846362601055,20.40345776683281 11.30414056741217 9.509083392963337,3.227680981842941 -32.497326904958435 40.13390987426461,26.1050250838763 -121.97753291862507 -45.389455408154426
-19.74073156639046 7.3710075202146506 -9.897451850042211,-10.726731778121794 9.182717087966036 -3.1511163424816,-15.010138748883854 4.605187498605251 -8.374086099148487,27.28084878596901 -6.252967857031846 12.747252671051289,21.711029713802567 -0.6485632497749241 7.287328337010917,-1.0159059807087243 45.0382649405604 -37.656533933365786,27.966599195873947 113.38031531494178 41.534730686317054,20.064951253385154 11.206198261865207 9.119496843111547,1.8453479958305998 -36.714745436451956 38.908818319935875,26.047880038896302 -122.272934865648 -45.53528248474509
-19.45575658462089 5.839919368608567 -9.529162055332883,-11.92370396362465 8.459347260539657 -3.5445876858716803,-14.158077792046347 4.880566602789907 -7.904123247672774,26.585715966998066 -6.09320900555071 12.79668998068851,21.071401054466712 -0.6949296180010102 6.872069872219999,-2.4335305062842663 48.70152742517196 -38.85229492245831,27.968176420567403 113.26478840310753 41.48386496877031,19.485329355381236 11.173993219699064 8.661718866776635,0.2690356739352152 -40.80838297011924 37.90326822785611,26.166436741037376 -121.82615775619763 -45.339287335185176
-19.302038266525123 4.481445558496348 -9.22081634556989,-12.849107250031421 7.748204097799757 -3.9769967154341295,-13.087490478718923 5.09299299919781 -7.1552188705457365,25.410408596674536 -5.729967905513783 13.071984443806848,20.440825089550387 -0.6994823417277993 6.612294866534674,-3.538901806375673 51.55363486012601 -39.67521101819847,27.999548402530202 112.91371887097827 41.30778953992675,18.933575098161302 11.109159413630877 8.142317990939372,-0.8513390684799228 -43.92517053459882 37.14699685840359,26.294518288073228 -121.32158241324399 -45.11014746461469
-19.380235862875523 3.734777420458345 -8.99799034211395,-13.259283863340148 7.222026195504185 -4.117080104624647,-11.942228916497783 5.061564294736889 -6.544993844065217,23.812214528707493 -5.357596352960268 13.481988845226716,20.01763013434908 -0.7125434797658144 6.535348832981148,-4.035802907871007 52.50857225860708 -39.518408433088005,27.966989647858757 113.00154521725612 41.32825037272048,18.616200539218642 10.943509949696033 7.57915505877754,-1.0253674654434595 -45.426554983719896 36.66644552663149,26.306853389074032 -121.27127796055673 -45.07939754240087
-19.533739258649664 3.457309364956776 -8.941425203615658,-13.272223006496493 6.870780069461739 -4.050772283839583,-10.903290564725179 4.875909211603058 -6.145111403738106,22.156878329749222 -5.02470292593801 13.918373415867148,19.715526778753535 -0.704188407460685 6.587069621486989,-4.068077241477822 51.937604818844505 -38.77141654989448,27.866120217754627 113.55160444405554 41.56548191841546,18.42471635216627 10.761031833666033 7.0470304567314885,-0.5669343466267245 -45.755630241768465 36.47144039528434,26.284432996303092 -121.31845016589999 -45.089587513719714
-19.52503416548897 3.3234765965404205 -9.149210140163051,-13.119641957372831 6.626955419337479 -3.9952049581243645,-10.163354079091834 4.7107311025315495 -5.9184405769033575,20.907145759320628 -4.734063949849807 14.267404943781367,19.35872112882468 -0.6192571147920567 6.6876631530356185,-3.9179551891793967 50.670272467292385 -38.137106273998604,27.720656904853804 114.38247995534448 41.944901507952466,18.151573897885445 10.693566597339812 6.638650498997731,-0.042852861689678 -45.69563862888177 36.5665826165104,26.373111891514064 -120.83307105487638 -44.86094227562558
-19.18200796118259 3.053901259792503 -9.682319402568607,-13.000801841832345 6.4302330221736845 -4.137674526629649,-9.875271799790042 4.721497915623322 -5.824960146101825,20.43396515990352 -4.497246270994863 14.445854461158417,18.82167630262812 -0.4140659604352477 6.773261400327513,-3.8171777878044906 49.46556929420487 -38.196405110966474,27.55353271816358 115.32182063262115 42.3932903481276,17.643782570040297 10.848347052354448 6.439125610689796,0.0836109697884106 -45.88986248456833 36.934321567723714,26.68222810668146 -119.35007546655669 -44.18741109022571
-18.718437907989042 2.641993435267704 -10.382799084175117,-12.923304164261818 6.2628277839264594 -4.489236983267336,-9.956989493246532 4.950050913394452 -5.807837430319615,20.56668759986475 -4.377758749022105 14.550407803267897,18.275446035495428 -0.11266915738057284 6.873977690306713,-3.6994200228708958 48.66544875994444 -38.81038736134237,27.382997713769477 116.25118103332468 42.84567738672277,17.070328835022828 11.187369536126857 6.488729826039501,-0.03958035155027956 -46.15541786369391 37.42647459130357,27.1056172688207 -117.37787830311342 -43.298006574724596
-18.48907865383993 2.1808209857123564 -11.012714121698963,-12.824731303224166 6.122493629680132 -4.996562307750794,-10.240634364739652 5.396720052361182 -5.804098006360246,20.936802086746894 -4.458086250838886 14.74347918957133,17.999437692951986 0.2361323699575856 7.05425961509628,-3.389464228487576 48.45950661847147 -39.57714291743232,27.225591121724246 117.07180910819874 43.24010472373944,16.717827238598684 11.619571056809386 6.811357073388615,-0.04116383884293462 -46.00759699099118 37.84713514899519,27.45838538056443 -115.78053652893507 -42.5806833058656
-18.796808056132917 1.7662247005340863 -11.378173773633401,-12.655839070509083 6.004525701524052 -5.601101277125491,-10.571135243356954 6.039729511633433 -5.742339543882825,21.236558735638635 -4.772781418799 15.138797415737448,18.226824729993403 0.591181003456859 7.3737623970603385,-2.7472311265191944 48.96494244924516 -40.139008276009605,27.095830744863093 117.70046888794471 43.524729544666265,16.83016098084209 12.05834747191096 7.397741653756029,0.3918687253592247 -45.07745663065455 38.01817138135391,27.58642385641528 -115.27320951361607 -42.35625347640299
-19.583942358358136 1.512222839270311 -11.591004770463288,-12.459292855304403 5.887039245622872 -6.208832248849889,-10.882918098845497 6.7046986990160065 -5.492879635041778,21.580852905013217 -5.024388483042157 15.512391058181365,18.869615616122335 0.9644833686389024 7.858614874316785,-1.877002322478888 49.799344574991636 -40.44730769592877,26.99425838229607 118.16113442804831 43.71770070303432,17.354200282168406 12.448503539901008 8.009235173884509,1.1669706974490694 -43.800526584839545 37.884985664395295,27.54954297090302 -115.53666753713587 -42.479106854029716
-20.640262593054242 1.5405236210488957 -11.89236729715965,-12.316640296699564 5.740881571267422 -6.710727010642439,-11.148270572032892 7.152687734565429 -4.901380546594833,22.263379578347255 -4.774995864655332 15.497424971293036,19.70395031204068 1.3905371682962657 8.5207625834445,-0.9864360362998941 50.368941302561694 -40.58408238330803,26.91550329947943 118.5231348720462 43.86677695381137,18.111164334818856 12.748131521714448 8.310149133332786,2.020025877057325 -42.952668126986964 37.44524140231648,27.498051146951756 -115.81408366472758 -42.60631369084131
-21.763158447003743 1.937240842636968 -12.479134138527236,-12.297746767869542 5.535292496254668 -7.0062807737262425,-11.366024797209262 7.179146453257428 -3.846326698850722,23.549283749697555 -3.662907389680781 14.792676778021093,20.51329255255589 1.888100815427955 9.348275682776345,-0.25160506814135086 50.14294231540627 -40.635870321831234,26.8565665232163 118.83869453509759 44.00957189990922,18.9231877661454 12.918936377327858 8.016395082778667,2.729688655191479 -43.149147002336925 36.73490235640744,27.56351323043226 -115.44576925188294 -42.439055264691376
-22.81661213498641 2.4975641761015646 -13.182707514900756,-12.375933566179981 5.226595613384048 -7.065037605219243,-11.750696568359505 6.8622700392070115 -2.474980752713257,25.465323317359363 -1.9529781359165523 13.636953910902863,21.14488546739673 2.346733407219014 10.134648140655571,0.41239356744170685 49.11109600080979 -40.722118924770314,26.833991847745057 119.01901864057676 44.09997934603745,19.62354943581279 12.951740104877484 7.2681348839879,3.4289291221913856 -43.68371067596092 36.10120575490661,27.72177354585943 -114.57813795212489 -42.04452754629909
-23.697123442695812 2.874623123397778 -13.656027957976908,-12.477378879613925 4.764807437545133 -6.890746890876415,-12.622121433951554 6.418320096557081 -1.0658515578328984,27.92185018747688 -0.21601229246264164 12.5327639225492,21.4771160857589 2.5929051622618284 10.578361087703053,1.2178990543745862 47.517333230553945 -40.97834549705852,26.873865929619768 118.90645185865169 44.05101216691556,20.050970005673065 12.851582744397598 6.412694625568318,4.423732062769043 -43.204800515059524 36.043385714284604,27.872637059456707 -113.75122849116332 -41.66865389650843
-24.313695569982155 2.755211370715839 -13.591220323210186,-12.537951744086081 4.111918324577809 -6.5020085059972805,-14.237564512760152 6.051343507193104 0.12098460938965742,30.789965159743183 1.021832121194416 11.940119667967656,21.40989720582059 2.4781195552343895 10.417595595054756,2.3278002244922362 45.63986523327811 -41.51410425184443,26.998515826240332 118.36259888084972 43.7863388498096,20.068512260838602 12.629809131691124 5.771907426686421,5.946765949113748 -40.58342048643104 36.97269561675638,27.928042434679178 -113.43926321492762 -41.52699712210163
-24.69449086632309 2.1620270624972133 -13.072255250216077,-12.590627796999152 3.3464903625179128 -6.059239460774998,-16.240381809013446 5.837824907338981 1.0128847660713745,33.56764182335235 1.687601066022582 11.889476164026707,21.04991630437702 2.1008697110018772 9.78189969995888,3.4169012878780736 44.07276057710159 -42.18602760363199,27.19317019552562 117.44042732855169 43.335682315853376,19.775023016271035 12.35799272019971 5.406694471429742,7.508098898098783 -36.892023280442004 38.436910252391804,27.922630725586586 -113.45213116976814 -41.52885564123507
-24.934636487802425 1.3065392194045637 -12.403312042718728,-12.722954438051516 2.6125963746377825 -5.802554858593942,-17.928925982606255 5.782561772495487 1.6425392947585948,35.54316452778257 1.9630311163347531 12.169886423241177,20.62006365429853 1.6984514750784754 9.02076101861908,3.8857136923288795 43.587592669004465 -42.70861151004643,27.422209215404404 116.30044655727545 42.78836573237144,19.401854496789664 12.141554114380643 5.231350207051697,8.21171360891379 -34.440227079895436 39.498548540332166,27.959999015906952 -113.22638078096296 -41.41141405941359
-25.11664746215708 0.40013586551355246 -11.87422629349645,-13.007066754670763 2.053044397147125 -5.948714630809352,-18.64969204198515 5.888270723834569 2.032558710142091,36.0601870533838 2.0143659677837054 12.577833105875344,20.330624906902415 1.4926977510720996 8.4652440351609,3.2021506961139643 44.86324943535818 -42.82349711128827,27.650041129196854 115.10666177212808 42.23419646961055,19.165682929773343 12.078687762887347 5.169139616798368,7.26204941931514 -35.314829156401174 39.30810890732501,28.131016649550563 -112.26916664386208 -40.94537320774039
-25.16776496485127 -0.3711426917400615 -11.579617241874736,-13.328876136967127 1.787469452875071 -6.4326706908039615,-18.353435178884684 6.142746862976108 2.074756543115383,35.13314347479643 1.7948157267695557 13.027379321743435,20.230333162470412 1.5077389798178829 8.203808399535152,1.6531348351707842 47.47820054181435 -42.60626507588817,27.84409593427136 114.04981339036975 41.76090505840836,19.095444486711422 12.179207964908816 5.266567492705088,5.083856755150745 -38.85238092466379 38.101590145512816,28.369677690160128 -110.95670918048665 -40.31331258434297
-24.915053492463674 -0.837609510494653 -11.488158092693391,-13.454149654200965 1.920556233437473 -7.007563327462128,-17.38075586458008 6.524158504732217 1.5765611737350649,33.209229346848346 1.1201494743681355 13.508446535208044,20.26369406900325 1.6401556261685175 8.168394513837983,0.053981727803359046 50.30096838904407 -42.347940929364086,27.973753146737142 113.3378903532306 41.45488213320953,19.098952722390365 12.395909568366672 5.649648180864774,2.8891835184566372 -42.61508163364248 36.81531386342197,28.50876634314125 -110.2259164429685 -39.963539859622614
-24.205889853606795 -0.8480769083088893 -11.56428604662341,-13.168597429875947 2.5382172730290193 -7.437241129950744,-16.076481273659 7.007246069137316 0.3754286645971844,30.745505162295046 -0.16709993222886163 14.009924845630469,20.372601949240007 1.7882399052440874 8.287568458170647,-0.8200551604249882 52.248979234791776 -42.32578767009827,28.011655911601107 113.15787062319353 41.39289216938309,19.085511998974432 12.680137481083687 6.427664884857002,1.8265756884883595 -44.28495164895953 36.33756769333068,28.39336191536067 -110.94335499423833 -40.310526719857485
-23.197329788755813 -0.5081330056720905 -11.742333840226683,-12.567094821926597 3.46541531581522 -7.679099088601443,-14.753448953698769 7.52071852151723 -1.248344734774342,28.236395973779743 -1.8150835829944842 14.48836319167465,20.486635477044615 1.9043474845566797 8.479109667511407,-0.8821793224869237 53.09530585003367 -42.57259725977912,27.97596727737505 113.39668187024115 41.51640197133257,19.0138683795146 12.97619807657295 7.455525604148459,1.9651150896615774 -43.6486527763725 36.71550734319226,28.065519648509948 -112.85297975750017 -41.22967471735997
-22.27535016200867 -0.11317995069402098 -11.934380362480214,-11.97305857605746 4.334213580045143 -7.833605729169491,-13.700849052967136 7.959257416064275 -2.687106074911225,26.20394749571188 -3.2693776068984626 14.876403251663723,20.526269341835956 1.9807988629166253 8.652823863848687,-0.5545159902868301 53.245532749618505 -42.940443572246444,27.91849955438801 113.71944833171875 41.66686348395934,18.879316263278124 13.223194697023672 8.400098883286997,2.5759211349671687 -42.04864165857262 37.37450626385463,27.712903502495777 -114.86888772402625 -42.19789352113372
-21.809571907839775 0.04891343362973109 -12.056102773512213,-11.699688958248808 4.788727006977924 -8.000320470600512,-13.187246092824855 8.221272588514609 -3.356165049801894,25.135306677851236 -3.995698637420603 15.111494729676492,20.41339935912787 2.011226472717114 8.721958357168063,-0.25422691948165055 53.10465854697506 -43.28352880263598,27.889323666062374 113.80419562924251 41.69223008832577,18.676346006746016 13.36246266877797 8.937669588499126,2.941718940274021 -40.81227495401787 37.748488344343365,27.51696257874229 -115.9418794095945 -42.709675045114935
-21.793450449923036 -0.10221125347221957 -12.094522925287206,-11.790490343405988 4.760077630505682 -8.20497732226063,-13.133635271067355 8.283549562333747 -3.201365065990389,24.902073504277727 -3.931366202774321 15.224052292622176,20.098226546689578 1.9957569453185444 8.662594691235903,-0.10591889441232108 52.81075934052105 -43.56627572528932,27.89469496646979 113.64240379542855 41.59364142879303,18.370687254515907 13.37610032140377 8.983920020998992,2.8701504469358468 -40.37383062018448 37.671864286092685,27.492412879908187 -115.99523385065817 -42.72575205343144
-21.9022645434408 -0.4713913378059461 -12.097009021870804,-12.060846936816802 4.422150199191269 -8.41086564562672,-13.167022979321871 8.189167326221185 -2.6172973400584247,24.85519235079036 -3.4126014677904357 15.323124297396346,19.55489365723419 1.940009979714001 8.503962257235685,0.013256645239261428 52.27613689760687 -43.846336333293785,27.903807751493936 113.49068583588615 41.50180855782768,17.903742626969382 13.280685053367414 8.657024938440257,2.6128544061481875 -40.41218294882064 37.31779344262843,27.512940515242835 -115.77479346868081 -42.60122350320157
-21.810155754784912 -0.9572895576452041 -12.110705187483559,-12.323153568680011 3.9553656536395443 -8.579896746062586,-12.916941169746991 7.982975839659994 -2.0043210868973347,24.34999501985507 -2.7820272498630527 15.515400317771999,18.761486995791653 1.8492788403521385 8.276947223363623,0.22759293870047023 51.40956022265042 -44.179960794568,27.88520095489778 113.60658884607388 41.547587399196026,17.219583494764034 13.094216240737648 8.081772886719703,2.4252553037642173 -40.58970556010311 36.868386481273276,27.453442076674794 -116.01985619168897 -42.68851630146721
-21.383838781369747 -1.444578637597119 -12.136700843909194,-12.480755493539837 3.5160660146114506 -8.686747043330378,-12.268362386657245 7.702947760248482 -1.5814423171241057,23.192350037756032 -2.248675859193395 15.8027663982266,17.765214027110257 1.718032071157706 8.01205809838867,0.523755472285559 50.197370739000164 -44.52937095476305,27.818511783146615 114.08689800180018 41.77651538454796,16.3367274066287 12.8419720851225 7.388047628042795,2.3417075605358577 -40.72687623089274 36.46848712479928,27.311329077897923 -116.76632249792483 -43.01291450208893
-20.67626709414823 -1.804401465716726 -12.13154559965648,-12.524956734606537 3.2373064171219683 -8.718438185402457,-11.353297493485014 7.380404660558325 -1.3922791346316852,21.6238430343652 -1.8923833256714886 16.08575238336244,16.680129755587984 1.530269555845351 7.7394381541011,0.7553090044382745 48.70093067942554 -44.7658532350292,27.694110657072166 114.87292454235734 42.15161785650244,15.345689312097813 12.556270189390382 6.710660542664326,2.1827672465732593 -40.797076334080906 36.22689798261139,27.20249803956722 -117.36983244891337 -43.28332009968115
-19.74922712610579 -1.910948000621362 -12.051830700855582,-12.451105191085441 3.2467358499594483 -8.663806450200251,-10.312635773307724 7.046572850062941 -1.4718978812076393,19.900801674737227 -1.7859138845882876 16.26428911002423,15.622864538615953 1.2711600778808652 7.489355645728229,0.7747930588971182 46.99236647162929 -44.76094831524161,27.504083943567817 115.89610852367774 42.631219490063266,14.340512543950013 12.269523948517952 6.181904455905164,1.766119368190132 -40.78276320883818 36.24606332250094,27.2437492290233 -117.17951456313894 -43.205236679369484
-18.698216865393636 -1.738339459072062 -11.905870791553413,-12.266922073399378 3.5483962116986496 -8.548036485927174,-9.25321166365526 6.7375858785803375 -1.8171385373357511,18.194026983187257 -1.9524382318612614 16.336755764253795,14.705632122139809 0.9702002725219284 7.295962365075958,0.5574065197306737 45.35738677984038 -44.49649621304014,27.275957626311026 116.99043449671241 43.13685881621863,13.431427989944577 12.008813329274824 5.858576119610449,1.0724971006431345 -40.744696950075095 36.49287285635981,27.442445487748362 -116.13609767924207 -42.74904693631959
-17.656005390678235 -1.371179856658253 -11.759165283335172,-11.993808376249635 4.0096708864963935 -8.436499262426137,-8.244208973819173 6.495002681917491 -2.382578477541281,16.579762757204577 -2.3602970418954055 16.4103748445997,14.035763299534658 0.7058951155894625 7.1977036953501665,0.21395898664849755 44.31783422386663 -44.076282569201105,27.076439303665573 117.88214137654612 43.54940404693483,12.746563304214726 11.795321724259406 5.714004733499067,0.26289771656237626 -40.830208239031364 36.78434880708881,27.68495695353989 -114.83437684470294 -42.17798072855686
-16.756620717336517 -0.8994856225697928 -11.679671426059787,-11.654847070503822 4.491312259721238 -8.394609145080896,-7.35513671862932 6.358870343231809 -3.1180668680180013,15.134178505301946 -2.97125931503463 16.595859874812156,13.718178012304742 0.5577283233902994 7.231161601804144,-0.1395943782387024 44.394285539480435 -43.60899554607647,26.97333159081413 118.29583208895423 43.74922573570856,12.412547289849117 11.649809142707104 5.716700307907454,-0.49415443642754614 -41.185280357009965 36.93487953828471,27.85374177235915 -113.89084278110336 -41.76495183068941
-16.10956177177542 -0.40210120347272504 -11.716982749424076,-11.308789589794472 4.870225310195886 -8.413215173641627,-6.738761779575506 6.303592282251375 -3.8804001541342044,14.10991246039151 -3.6103513225243975 16.925500154603224,13.778766825154044 0.5481515656440658 7.356545241391983,-0.4558604338703092 45.61348044906256 -43.151757205090746,27.00028494127858 118.10038301714296 43.67554234571754,12.46720750833702 11.588705967415425 5.816873256630614,-1.0961083192285281 -41.74250213240125 36.94640829223722,27.917290482879668 -113.47698053080946 -41.582533196258666
-15.793311039321852 0.05625565627213179 -11.89747230212307,-11.05948927818878 5.043739581380303 -8.388880332964133,-6.653128601406247 6.220567090374576 -4.408711861271212,13.982743298942722 -3.929691454465211 17.332419444878877,14.143489562915972 0.627500865426745 7.4374921979599105,-0.7741410603026846 47.377713688562395 -42.69648551741039,27.147765224301903 117.3471008497125 43.34198410184589,12.836084494067885 11.622967873031316 5.9415945952327,-1.523834549342703 -42.164630257404724 37.058036929372506,27.952879508273373 -113.20157619345062 -41.449971645081405
-15.882653741539823 0.4102074981977336 -12.24372231441611,-11.012826946630856 4.911245479386186 -8.213702665643826,-7.356380214218015 5.997820761453321 -4.440090660795091,15.230649491678946 -3.577733528700407 17.742890512801736,14.730263059905143 0.7414884214922922 7.332571284525929,-1.1381530893665412 49.051288134567024 -42.23233065655516,27.40276100539179 116.10230247727338 42.768645621674395,13.4360860743087 11.762303902910672 6.016464538502896,-1.763771327516748 -42.10211805300314 37.51802805895476,28.043417469452756 -112.64438410366458 -41.173593860576666
-16.366563478516948 0.5156785510385328 -12.6626678154137,-11.231167467292495 4.409854828683827 -7.859367925473588,-8.772202333872801 5.621492951110907 -3.9882019242893,17.722762970029024 -2.5762164970631645 18.058593019015543,15.374973675654967 0.83595270768096 6.956961782444971,-1.5339866160845128 50.102400315548785 -41.81956190302361,27.71673315808075 114.59849955646536 42.06059126252397,14.112289425070596 11.971423361380124 5.9677682613764915,-1.8132093808002954 -41.457038049636466 38.2704295882155,28.204139220693136 -111.74027854178085 -40.72713504736906
-17.109781427384956 0.11465880113519777 -12.89381742088517,-11.713876197619244 3.5312900428385348 -7.41278372115898,-10.340075369214931 5.2197658229342725 -3.467120583371008,20.446767681063893 -1.4872969826891316 18.145602341687095,15.794749442295688 0.8569150105996115 6.307799886659724,-1.8643035352245882 50.14965715756213 -41.621410103899564,27.98970789961396 113.30880959790441 41.44589898365235,14.605780028763299 12.149887889596672 5.722782579048181,-1.6851510102071119 -40.49574052375751 38.818867382685184,28.352305986879898 -110.93825309428142 -40.32669345899211
-17.967705288600964 -1.0551425322462948 -12.66702081498573,-12.454492003228214 2.2735724891629343 -6.969616479576042,-11.466621585186777 4.930648100250392 -3.3178770139338227,22.33077291534283 -0.909674447168401 17.869446036058477,15.701112883569182 0.7512667283998933 5.389857289169367,-2.0265144910793245 48.82935398325762 -41.80619370250641,28.118629650264186 112.72062340688976 41.16010606029642,14.65279489357778 12.193235283098831 5.210166373336296,-1.3942673721862813 -39.513289029494544 38.63779213485897,28.39816878982388 -110.7237868430683 -40.20555956228619
-18.823346462048217 -2.918658940678176 -11.962774784363209,-13.38136460907713 0.7820661867753365 -6.60669063440396,-11.925045592762887 4.79825907840528 -3.6626183305919024,22.987704339557343 -1.023458421672646 17.25855364058071,15.074021112724857 0.5281723597757019 4.296766752230318,-2.0110391564709613 46.20831343452197 -42.32607213764897,28.06911181874984 112.98969833615763 41.28097506421628,14.228996418883655 12.075218476015541 4.453498124570385,-0.9871882807804735 -38.819542632881614 37.58688698920105,28.29983190763755 -111.30936425106934 -40.46778016963402
-19.60556327137263 -4.840710847276639 -11.177724579584982,-14.314610449254308 -0.5532323814391419 -6.369547327202918,-12.097187325984311 4.710833780219971 -4.094050940161892,23.167485735119634 -1.3137751129166928 16.611820258268178,14.339112206308775 0.3001882035911663 3.2696967467589277,-1.962719752770501 43.06816108052019 -42.774316846642215,27.92077868316053 113.72118193487601 41.62431580632102,13.707564101880351 11.899450709879886 3.633950973953745,-0.5636043918862907 -38.74892533404242 36.16543511564788,28.09485020415894 -112.45421781773622 -41.00281932849095
-20.247458498010758 -6.137121005768729 -10.745363767516139,-15.06480979032578 -1.32214576670398 -6.299910341179409,-12.419799578416177 4.542404991447353 -4.157702317595118,23.722154518937046 -1.2034761592540233 16.25154528162547,13.961440771697742 0.18888292934011267 2.562031450112285,-2.0397819439665534 40.2536740651228 -42.71328094804965,27.76373856830152 114.4696419458693 41.981845366632356,13.496867712391351 11.781169936081275 2.946371685008572,-0.2273511249951868 -39.63422032637337 34.93098557478343,27.828306008093527 -113.87490232578664 -41.67989924900927
-20.67325319546156 -6.556913689583969 -10.827835719674631,-15.518511078465302 -1.4422418603388043 -6.340872019057331,-13.048762183734203 4.223270537559284 -3.7103379075053677,24.92566985331938 -0.48487358899146776 16.261802774908727,14.110138853780182 0.23220569684931763 2.234579522305629,-2.2667938853592076 38.12746852928882 -42.03704729874337,27.657949087235135 114.94120972583566 42.2140488684811,13.745131102263915 11.765268322230998 2.450938247623698,0.015246730683499403 -41.35851595951417 34.209489342901314,27.54943958707524 -115.29438957537464 -42.367080217076776
-20.79021944602148 -6.675790158196654 -11.069467153088574,-15.70723257850412 -1.4565238709885002 -6.247306661289167,-13.60396606195032 3.791098627876923 -3.202657513000723,25.948846134286462 0.3446805645352847 16.272062219058718,14.389630478348565 0.30853484017012545 1.9806584188646248,-2.4132655631988302 36.1320544127133 -41.27273748647242,27.60583135239497 115.13124496012085 42.31264125825601,14.10414255323893 11.76239741611384 1.9508406891848755,0.34394358991992685 -42.94674944288699 33.88493956007544,27.315425789447495 -116.44789693919357 -42.93020522246087
