-22.3 -1.6 -7.6,-14.7 1.9 -1.7,-12.1 4.8 -2.5,26.1 -2.1 7.7,18.3 -0.8 5.4,2.1 46.1 -46.8,26.5 120.3 44.7,17.5 10.1 3.4,6.9 -39.4 36.0,27.0 -118.2 -43.7
-20.039327732173415 -4.5705060677866545 -6.493565872600763,-11.04644870200461 -0.46249272590029056 -2.280963413091175,-13.859935558809456 3.3086323069529326 0.7588420503168439,25.612697914294557 1.093809906244743 9.698391086281333,17.59046413816499 -1.5910574332738923 2.505213005413786,2.292904128647632 25.418811120705847 -45.86141431428986,27.33404559360609 116.53988835922713 42.94019848132473,17.310956447403047 9.52322380880368 1.2001440527300793,3.4196135753859087 -40.137254032603764 33.799692605834956,26.12005637102219 -121.91815422067383 -45.39553574452566
-20.754505985712093 -4.219329500914948 -6.981358087098798,-11.959989960700607 0.015712593528451405 -2.6869481438781664,-14.350513542132571 3.5695329945196375 -0.42188152894491204,25.464993845216256 0.020435172567297544 10.139387675736057,17.889761647901814 -1.4418806844795635 2.381414055245024,1.6819260267190377 26.991489031432092 -45.398134489183505,27.71874315035582 114.54200272019177 42.005347004356416,17.509930210643876 9.928114195399173 2.151098331317584,2.615915379653757 -41.345753778999196 32.97470967094507,26.337703297055892 -120.88543298163201 -44.92937499915465
-21.436393593229504 -3.521073266038513 -7.607990712463758,-12.433798318309345 0.33288355671317416 -2.501199523450893,-14.398053904832446 3.63147542665539 -1.826312249448987,25.045646455875985 -0.986625615481801 10.308198666862088,18.57220962295184 -1.1989926746906083 2.6248912300953697,1.4500755727329975 29.998547915066595 -44.9559799566695,28.11738711862451 112.3228620614484 40.98069215473632,18.102863407599934 10.226774433661348 2.6608300355269026,3.1018109267365754 -41.70762484128397 32.96315725763785,26.698785623786744 -119.2681951271307 -44.19563597229898
-21.981995038236914 -2.677958018434652 -8.234244521955599,-12.479976317677199 0.4631524633559921 -1.8808183906635523,-14.144890554384544 3.5589176751647216 -3.2492525101247205,24.55023947528634 -1.8480155504903335 10.202027909845103,19.452730586929697 -0.922989512461671 3.1129565943174273,1.4862138482773195 33.72101486239023 -44.57570867769323,28.452604521467784 110.38246166791798 40.09485925658216,18.914638571550437 10.407047383882587 2.7809710077958028,4.38981517816901 -41.30413433984896 33.366206277135824,27.07077358015976 -117.6475733707047 -43.45784461204963
-22.278025993188756 -1.941274743129101 -8.651820707175395,-12.272747452496725 0.4962331478084464 -1.1602643083374573,-13.915543228636343 3.4966940782534843 -4.519572716142712,24.290695901298704 -2.6132156460198175 9.899581145746033,20.245532822283877 -0.7248089128897017 3.6033217343877424,1.5229659620123646 37.11131440845222 -44.20169235645664,28.60491136676783 109.47485076743375 39.68663071795945,19.65623593839826 10.491191303573137 2.7846115593016707,5.410996508395561 -40.517127774041526 33.36492780250267,27.22389146384484 -116.9940029519397 -43.154544626003904
-22.232126406408018 -1.538922813980616 -8.685121822492265,-11.975742820149659 0.5129935515670629 -0.6518749309188068,-13.997405619486571 3.5756406101300002 -5.475298514918147,24.53246482006979 -3.3209094981655043 9.48144933720333,20.69855613567908 -0.6979094749818855 3.8794344228000988,1.331698039149465 39.2123523099941 -43.79950030329627,28.47636602893675 110.22436162253938 40.03577200129301,20.071942354653945 10.505003949247667 2.9195739886493413,5.231313324482626 -39.71384438733138 32.269528157044896,26.963062035568164 -118.1296755307769 -43.65734843231751
-21.938462887794145 -1.4885995992094188 -8.452433290840741,-11.651149553496401 0.5104701412424364 -0.4633376067086104,-14.339582837129875 3.798518996542865 -6.034343322435029,25.12252769823327 -3.908002527231221 9.041341555801843,20.86419895153693 -0.7780670126399739 3.9589484218528854,1.0352648379911702 39.886326779246716 -43.52751060340813,28.16247339724076 112.09047023400723 40.89232021619647,20.207314761980474 10.504218041523778 3.199081170127872,4.1422269946425 -39.118192858744614 30.55732514516119,26.40610989681988 -120.54113067458718 -44.73486129178784
-21.588947157639247 -1.6978508239824963 -8.226043256201446,-11.307995352708256 0.44176938063567006 -0.5950972844657696,-14.713907453434434 4.100976527972597 -6.1564839467081915,25.688577438952603 -4.258065584916986 8.679841123682719,20.954404399315397 -0.8184272154345468 3.9822478860285226,0.94071084581965 39.42476785065229 -43.64513845284425,27.86010966513217 113.92223582392499 41.72872021879003,20.26578393337292 10.560253047064434 3.513419415317383,3.077396207359305 -38.87897270207723 29.31723514700166,25.834828835634447 -123.01498945045336 -45.83969609894482
-21.35617926950835 -2.06765481594504 -8.254012285604416,-10.959145379948742 0.274699318718258 -1.0364234635067036,-14.912816979355261 4.416315341501174 -5.809492173922898,25.911039775765982 -4.25805549453883 8.49341965986507,21.153375458259628 -0.6885474760381022 4.079128882900221,1.3072055558007731 38.15892089999458 -44.361333977407945,27.74584141150559 114.68129188075373 42.06917429532861,20.42439780410053 10.732983499041826 3.7567533098590813,2.8889732268241 -39.1160321087326 29.541720514522336,25.514759800027182 -124.40724922495554 -46.45607106935085
-21.19881167565294 -2.4396139672935333 -8.513063426962416,-10.663127220985688 0.1370973485896095 -1.6680637748809044,-14.963835283910518 4.659227614998841 -5.042030099936777,26.050106327225553 -3.8358192007043277 8.534297244904321,21.33620494104321 -0.43976426685297304 4.255633115525074,1.868951897445488 36.80119706876209 -45.340369819417575,27.771364654791658 114.58023669933245 42.01274642038588,20.565646154423042 10.958370819003681 3.875854689604211,3.5046947515884046 -39.6491621436496 31.143144745536823,25.523758629177504 -124.37505390402801 -46.43291028661684
