-21.0 -11.1 -4.9,-13.0 -6.3 -1.3,-14.1 3.3 2.2,31.0 2.9 7.7,13.8 -1.4 0.4,-1.3 32.0 -45.8,26.2 121.7 45.3,13.9 9.5 -1.5,6.2 -34.0 35.6,25.9 -122.7 -45.7
-20.52538996632667 -3.7587509637642613 -5.348032181143543,-12.110561821503271 -1.0273986108937023 -0.17193150232850093,-11.439105743311254 2.88451499531952 1.9865328488554423,25.395216352931715 2.6074458558938196 9.414881556676283,16.493455994414198 -2.040499947804216 3.1069739509425904,0.050392362734354254 39.214889751059765 -43.721919001896985,25.22011748839822 125.38311152424164 46.81117193330919,16.154330180687914 8.79539018842701 0.7254606644074612,6.224564558525237 -35.926466736627134 40.11191877827803,26.884250952619656 -118.68241033373384 -43.93508156304816
-20.349569548443316 -3.1381391682812296 -5.38591109310193,-12.842030476333623 -0.061496097433586416 -0.6229010649020938,-11.351295886567405 3.2084476730421416 1.484303552892777,25.798880112097887 1.9742798209157304 9.205571889901835,16.491392825556055 -2.030294143510289 3.414683010359348,-0.006662896742340496 40.92467632198995 -43.36395950211284,25.017801241323 126.2130650297528 47.16267356892228,16.087050676643113 8.854285278581964 1.3915346046087893,5.638770540748996 -36.37252054129012 39.943333864996255,26.86582393792935 -118.7336996917453 -43.97647310014682
-20.604996538325985 -3.584279328844108 -5.420147545742511,-13.505357781137073 -0.3445932077931243 -0.8993492141653348,-12.080832336213414 3.308444233977715 1.2248549198174201,27.299622151013715 1.8080753972721015 9.275979580498962,16.536272377311324 -1.9454108554066225 3.2386581611534853,-0.49338015560771586 42.58171296458182 -42.80358761542284,25.05944093849438 126.07737649508316 47.105593834133025,16.173307062749515 8.95776997140741 1.382774020845766,5.5705050602892 -36.473037301016774 39.102015677356476,26.692932735782918 -119.44188727861857 -44.296615467870815
-21.301761606152844 -5.05542266345294 -5.451194802396103,-13.96598174176876 -1.8916596803769141 -0.8936940202314985,-13.496764168569657 3.1492855810202025 1.2751136797127423,29.660661968075907 2.170021516902388 9.517323329259916,16.644011675085647 -1.7975771280625223 2.5854592667243437,-1.2834392723227734 43.766386027379454 -42.21430100422644,25.340325584985386 124.98505688963306 46.64299793725887,16.4238271017852 9.092197965158475 0.6687193341338186,6.1576868406477425 -36.08065550729677 37.828217689151806,26.403145077873894 -120.65645103280015 -44.82615217316186
-21.90797014659824 -6.754572230559962 -5.3984796147064396,-14.106257923491686 -3.683509257780014 -0.6388435683351592,-14.811453702847734 2.9054572731850277 1.3543786439338947,31.680685984292147 2.5624937826856247 9.538109386871357,16.67363557935289 -1.6951749882068214 1.7856183955919156,-2.0311118408558753 43.90386685880369 -41.9579775163136,25.668979038560295 123.70365294409511 46.105661820331704,16.61155435336516 9.188917816360982 -0.22477398523274944,6.905239693121756 -35.536622188791554 36.76182721181835,26.156969139382575 -121.72140149927156 -45.283592061141455
-21.878827001416262 -7.864724555436272 -5.181502369805953,-13.81219231275661 -4.67527169391924 -0.17578160156821065,-15.225486413451472 2.7567667233718174 1.1721801425307998,32.14307937655384 2.4750214856456307 8.949963823498663,16.483884847148353 -1.747646230015331 1.1794684014694985,-2.3903900756167173 42.44634806504499 -42.38916284890228,25.850173627957254 123.01610075013521 45.83090762250643,16.507355244626712 9.178453629612086 -0.7583118714489009,7.297747813041691 -35.20156421304089 36.54333522492787,26.115845208462584 -121.97633368527751 -45.385856723278785
-21.053893621805802 -8.040034517519796 -4.840786682126755,-13.060893694104344 -4.521540720843017 0.4039313835020711,-14.52748861510775 2.744794217373506 0.6371433359619799,30.758311296923768 1.8078617399425312 7.877662192217721,16.15429313824133 -1.9564972825095563 0.9439231118140716,-2.3277811107448083 39.93117170610014 -43.353707665719455,25.843157799572275 123.08278954880211 45.88384491306895,16.16445778421541 9.045727335220406 -0.7775920031186813,7.1013064090663685 -35.33562278910982 37.24702236267475,26.29072349353533 -121.36106691983119 -45.110209795060904
-19.727138443006496 -7.491685655211313 -4.559936311894636,-11.937177462813029 -3.703853874706626 0.9489403415883724,-13.201300021188898 2.747700522760389 -0.10672603592255595,28.33289926181739 0.9468561060207547 7.052652868065818,16.025427315846922 -2.1956276010155427 1.062693622475449,-2.1792639683413983 38.17860168699353 -44.09605609737954,25.789809945550502 123.32810032771164 46.007758971433475,15.969912976165071 8.839972888610065 -0.5835881588426246,6.4148280979527295 -36.08013959488635 38.27776504178142,26.51463676494847 -120.52503789535419 -44.7417052299612
-18.218082312248566 -6.464786076635383 -4.52712644367621,-10.534879047099878 -2.747940132508974 1.305942090377784,-11.766437028479745 2.6370850037618507 -0.9006798869118932,25.72985935352645 0.3018419556054014 7.227338375003114,16.44408083327753 -2.333421108445854 1.5063592887679118,-2.2947953382322903 39.04194917615732 -43.841252666717885,25.839828965244134 123.14499356148083 45.932316656381296,16.320651644908953 8.614105244363525 -0.49868591765313386,5.358018497634064 -37.55997032527457 39.01096981853823,26.613365975859345 -120.1469891118799 -44.57798405218791
-16.816879723716806 -5.279414738334884 -4.773084979956441,-9.067281238603716 -2.0275673438730792 1.3858242204536881,-10.551737823688635 2.4072112603092304 -1.5369280509291783,23.522340316801195 0.11009323785094227 8.553538516337245,17.379651618891433 -2.317322434852949 2.1612636875451003,-2.7104518908020263 42.62399819555632 -42.46826279876667,26.026637262405504 122.39914814653547 45.59901968208531,17.21273989877406 8.419637757919526 -0.6371417059889772,4.117708188682156 -39.489380676730406 39.21390455125776,26.541618407036573 -120.40774783351578 -44.695428722264
-15.773959082976937 -4.357069338345845 -5.115548966945875,-7.909252318903364 -1.7109340388866507 1.1863100397477293,-9.628095745571576 2.2182800889051753 -1.7413374282754424,21.89136540770334 0.375444298198049 10.370619388686569,18.291006107893402 -2.2017276132525403 2.7997982820003493,-3.0377010353267546 46.65946219186081 -40.74066022079842,26.226361223764744 121.5957249703935 45.23593480621787,18.0999638015872 8.306187735462544 -0.8316598914633525,2.971532769581672 -41.02720017564083 39.18393754301732,26.428509741547945 -120.81457369557393 -44.871108493686485
-15.333437633911641 -4.120187307007162 -5.359045809834615,-7.44181496304498 -1.9478106058841513 0.7131653299408416,-9.047669707703186 2.2398593106440217 -1.2403424521032134,20.98863104366686 1.0831278749734343 11.964938644389257,18.606748897501237 -2.0484477001863053 3.188755710889332,-2.8636323182889716 48.741085955465394 -39.47852503248955,26.30536364765419 121.27953170684441 45.088892192608256,18.403637817988166 8.322296427428416 -0.8970247171617928,2.200594971112277 -41.302883957442155 39.25263660560979,26.4139574718346 -120.83294810488741 -44.863645284705214
-15.529955411085705 -4.615649940923202 -5.422647578158092,-7.7270665935916885 -2.65779390043414 0.08487298796071371,-8.83713424809861 2.4968155438087507 -0.07698254493640036,20.87627670204379 2.0964941471408096 12.902568805312413,18.114116114902707 -1.9086916147406257 3.2443185604946656,-2.1210645307865956 48.02905265331292 -39.12479339953085,26.214112123216943 121.6506442115884 45.24905248897765,17.90633861570557 8.460016969210058 -0.771936654374402,1.9072889928387329 -40.04901348903938 39.54585455273121,26.543186305357796 -120.2903676957163 -44.59958891757192
-16.073462774621245 -5.308226529409837 -5.402970571186967,-8.332770491757952 -3.4037118023180413 -0.4053725606324927,-8.983663122655853 2.78972854232475 1.2149651371754588,21.477628603059294 3.0899753266512295 13.183140441092947,17.156222758738977 -1.8172349629461788 3.114223835765716,-1.278696793071429 46.11307493599591 -39.537828389935335,26.033436665352827 122.37480402228778 45.567838593079465,16.950599277255712 8.623845917883864 -0.5871663281083579,1.9170108109427308 -37.933016051113846 39.87058595102762,26.71464713286001 -119.57545270483236 -44.2657774657412
-16.647129313953688 -5.617767122043635 -5.410628698783533,-8.786544066679358 -3.722005990743432 -0.45165046249896273,-9.469796168023764 2.901198445096 2.063233981911232,22.701601849175468 3.7241635227510526 12.844864350906608,16.122484005747815 -1.8072159743643081 2.9648215520262826,-0.8477673862747762 44.77814524380823 -40.524230926376546,25.85503401241212 123.07328481663764 45.87670591748501,15.925714552249907 8.71122588138235 -0.48992735677759475,2.032633851480006 -35.701207569522 40.007764987502256,26.81498103626205 -119.12202481692063 -44.06994099513336
-17.03748331194079 -5.427622279096955 -5.441594056488155,-8.829775638017871 -3.536073883283881 0.044930463564844224,-10.166938858615229 2.7319619392751955 2.2304471783362145,24.23500579686315 3.8764258198623933 12.041483505372918,15.2658826633658 -1.8916538106392655 2.8450651166906327,-1.0195928837393486 44.576351002304015 -41.7578625026569,25.739378265365083 123.5019065273635 46.066014290969726,15.094503269198903 8.66256050172819 -0.6203148078806502,2.17439260888774 -33.96249694832073 39.8613544648549,26.804189841901582 -119.08811600926286 -44.085082382893546
-17.214972555415645 -5.445909024086422 -5.287841718141568,-8.584243781218952 -3.4578733378997395 0.8148667011641391,-10.74874091071322 2.392971366217247 2.0751406938024504,25.369428295043154 3.809865079326317 11.13232222450312,14.596629761860063 -2.047767171265132 2.5950089546086614,-1.416211747222261 43.86591213299407 -42.67638416240304,25.691385044423455 123.65590465706286 46.13093979579994,14.494729276684497 8.494699550616444 -1.1057567897079708,2.471357320084243 -33.081286989029124 39.554237928922525,26.77281564590554 -119.14100992914948 -44.1444669774594
-17.16933096041479 -6.461392118620048 -4.721829146321403,-8.210781575204937 -4.1667709597058495 1.551380296947773,-10.870061092512705 2.0166306148300333 2.0160178582779342,25.35954722345046 3.8264161420112983 10.496606261890774,14.099780847322696 -2.249027552888703 2.0344292103655173,-1.6025368180778863 40.789239571601385 -42.6963090102362,25.710105887375416 123.55568265286202 46.077705319991125,14.140570091342378 8.232503896943092 -2.0709121035866125,3.0729464688511565 -33.39371723564656 39.23147670161264,26.82437186679258 -118.89922187771263 -44.05753051615218
-16.93861958089457 -8.617148506148855 -3.739190429984763,-7.847004060855974 -5.814831348628328 2.0511928277880114,-10.421237953263983 1.7031333868871454 2.285527389942561,24.025830539634686 4.090538828805908 10.322954204187573,13.741206679055304 -2.4605182736687325 1.1685608751649925,-1.3734803500366937 35.016154652448634 -41.7068414897272,25.774363119834337 123.29376983802462 45.94828568546361,13.989037169523423 7.920156309508769 -3.424266140653578,3.9544168934531636 -34.784119152338675 38.980647374061206,26.990715604553806 -118.24999501377452 -43.76416171476583
-16.659868311180198 -10.733955127393621 -2.7926016610077906,-7.582978205659337 -7.474260660165907 2.322981904492618,-9.774847597854052 1.4867103454646355 2.734688364430207,22.347424126298947 4.485158735880562 10.409641425303363,13.447489612719048 -2.630144554042857 0.382438940294743,-0.9949689400778224 29.344452813510472 -40.565207650565604,25.821551791628274 123.11040166179586 45.857871873666454,13.880071953951093 7.641408753834563 -4.631604131308125,4.734360898820701 -36.21156929153531 38.771603920500496,27.15695943726091 -117.63089857784088 -43.47140311938196
-16.48210698241527 -11.473529650124155 -2.389671698671884,-7.502856057293095 -8.08725353896147 2.401385206668281,-9.361948102872088 1.3934040211743313 3.168008268329025,21.443638963556573 4.85888269248377 10.507434181016533,13.140548351650397 -2.703832095708392 0.10657333888039185,-0.7900945471749039 26.948365450541036 -40.24528492349882,25.78421955251866 123.2630017408367 45.93019891288068,13.639639513845532 7.484712773543019 -5.105753641936931,4.988584800436613 -36.52405432758782 38.559779017655245,27.190502950432485 -117.5459009360145 -43.41854673646655
-16.521295034376408 -10.294511902589564 -2.750040374290021,-7.664785833267074 -7.214498749309299 2.3230906360224832,-9.455490609913547 1.4181021203121493 3.443761061457839,21.955912880877275 5.10323682186844 10.447131901767218,12.783422385447857 -2.662153226301591 0.48350296953624855,-0.939958861330558 29.165197666714594 -41.195795739895864,25.657897922221448 123.75787610456675 46.17126231878245,13.193906197309726 7.497831202914018 -4.608791451201745,4.540620862243615 -35.18563794296011 38.298682834505485,27.030086718384283 -118.22339117395846 -43.71564977812014
