-21.0 -11.1 -4.9,-13.0 -6.3 -1.3,-14.1 3.3 2.2,31.0 2.9 7.7,13.8 -1.4 0.4,-1.3 32.0 -45.8,26.2 121.7 45.3,13.9 9.5 -1.5,6.2 -34.0 35.6,25.9 -122.7 -45.7
-16.141797575539652 -11.033625136819424 0.8568958115305632,-7.617632765900832 -8.023726741292014 4.945855841248521,-9.16392376499381 -0.16816885098793902 5.7503538780789905,22.32098200662483 7.169406022549107 8.911011258885138,10.642849547890712 -4.071116064958423 -1.28159509850775,-2.2993584614712677 28.681638443422266 -42.59802000302049,26.845598324538937 118.93948620862739 44.00798573278409,11.352636062946141 5.887663959155914 -6.95418675088038,3.622415505033167 -33.79516044713574 36.320797620217284,26.19672172140419 -121.60376054741404 -45.20243458073414
-15.939499504410628 -11.650905594492096 0.723869923630913,-7.334719534493408 -8.77993498765673 5.1280913071811325,-9.035506374048538 -0.49737243055330105 5.939848509764003,22.281089285270582 7.81195860127946 9.600094347195466,10.476195098355143 -3.980331662234657 -1.5515034034774864,-2.2194829998291943 28.234393784998154 -42.08700799351603,26.662133816408705 119.70638411152157 44.36680026853037,11.2809484315259 5.866261187829691 -7.719599594997751,3.4314253028802137 -34.417988199598234 36.28054326751086,26.220750705031648 -121.50952089228365 -45.16916066706746
-15.842847046397154 -12.65881087259866 0.668748355549868,-7.207172253923945 -9.609170449749522 5.236501051376161,-9.485189098637745 -0.7383763506525786 6.043945415327336,23.07154946454673 8.132923538468717 9.780542136288545,10.339618996067422 -3.9229706086890306 -2.099916916721424,-2.4826694144495853 26.66428657313133 -41.74429903737926,26.598821359156823 119.87834838880988 44.460712638614574,11.270202552860749 5.906689631903153 -8.378098264096515,3.128338174364291 -35.23737152027705 36.040101982267764,26.21172934231087 -121.56459747866768 -45.203817453546954
-15.939691828255214 -13.548869872579266 0.7207068877186183,-7.359958744513862 -10.030677426683868 5.1661489813937616,-10.429642755721687 -0.6407379620439871 5.963995715518935,24.4028601169657 7.7446265355233646 9.061138948649862,10.154325590787442 -3.8971751376166135 -2.5747278346350635,-2.883610241585738 24.099833582545433 -42.031753864916496,26.75424586802105 119.01999672622753 44.07039569554544,11.162618875482998 6.03447843845089 -8.441866262435326,3.152191567041406 -35.15971909384037 35.59051555858858,26.048209619264135 -122.19652694169329 -45.486614394797925
-16.247975618372877 -14.02265232164442 0.8777887479300809,-7.818807966675586 -9.834067089766933 4.893496453543991,-11.67689187120591 -0.13043438771388505 5.664699401307506,25.925239071336254 6.561236150708788 7.395043792785099,9.886239324942155 -3.896222898926195 -2.7750423253918157,-3.2617266395926316 20.8702718179623 -43.07827465186916,27.144066331172322 117.08533445666183 43.16661187090223,10.883534997353662 6.244666687581952 -7.74160998280788,3.71177463839278 -33.72547302461016 34.99041892920381,25.68991613303304 -123.53936608411463 -46.07368945176905
-16.631885893242938 -14.243675363139747 1.0695666549883274,-8.39119066960478 -9.40357442955771 4.574024026675664,-12.796012789178123 0.47855335707470037 5.2500810297564104,27.15632958794215 5.160770588154949 5.492806512080862,9.59963852611911 -3.9026927570993797 -2.832534777129599,-3.554812410959443 17.746286708587665 -44.280480488549074,27.60156091820219 114.88475574510952 42.13819179592841,10.541089894567156 6.465235983313061 -6.808570225063922,4.509486408270737 -31.869519086980983 34.447106105973134,25.27509819294306 -125.08171504684346 -46.74830741558744
-16.935310838174882 -14.436628666870625 1.216582946726052,-8.855791925224821 -9.201973908844106 4.3868274692036415,-13.324836638156688 0.8210094265054476 4.842627137387762,27.59682313238497 4.208905420516184 4.164928326970683,9.371884368822236 -3.8977851224664146 -2.9229505325046468,-3.7137714779965347 15.556338143427197 -44.93829738568792,27.935881957784687 113.3418890470897 41.429238979136194,10.267689701313264 6.615319268197939 -6.2664976931343,5.1806309929673136 -30.711252814839597 34.18739615091238,24.965642647372746 -126.22671801739692 -47.25759944417069
-17.070806167862543 -14.696898341164905 1.2738809867530825,-9.101180464749177 -9.440987738457434 4.422835370691668,-13.033996772908113 0.7012762933398123 4.53091702192737,27.036977465287723 4.080325491191133 3.865870396460751,9.277260530699985 -3.8817049719674803 -3.1419949364583752,-3.696783627891813 14.719691948440655 -44.67285413850558,28.017929287349393 113.0690249892773 41.32963399199085,10.169656022492177 6.645898989665336 -6.435637596163827,5.48673929362737 -30.91838768934547 34.32928114495252,24.872101788833234 -126.56547785760202 -47.42553128537307
-17.125523468901296 -14.791099847458678 1.284227357077603,-9.295318110616543 -9.694006049770032 4.5488001255989134,-12.286055630792212 0.35481988469500697 4.31731654114627,26.003309248763856 4.409834938022341 4.144817025793221,9.38222576470087 -3.9029787950119235 -3.381861524008189,-3.480528453833536 14.615186328920249 -43.921978216511434,27.87560358920227 113.88683842054948 41.73712609728292,10.286987250631391 6.588938986540302 -6.864534064720664,5.510289764865503 -32.01017848744537 34.71404681568271,24.97450331370238 -126.16700611359134 -47.271430342586136
-17.21392472472053 -14.434476353946708 1.3041075543075478,-9.64984180900093 -9.434644905758075 4.596421532655869,-11.536174140048585 0.084533660936239 4.190698502382703,25.1374868960916 4.716507874697213 4.409352026344388,9.75197135221325 -4.01767540431668 -3.5029170482096403,-3.0446323823643566 14.45902693003873 -43.25125054803177,27.56140377139338 115.49199342196229 42.488045070900505,10.649264887632944 6.489077235591489 -6.9810625040472685,5.383990349561014 -33.3261752527841 35.13968441364724,25.232428311565606 -125.17518425225387 -46.84523496738706
-17.414236087206767 -13.477644332726166 1.3683252848662153,-10.28407672705054 -8.360931287619644 4.460254173105958,-11.12727451683239 0.09260329090574589 4.148554244798298,24.910627028994064 4.676174238033221 4.259256651415753,10.399456704610897 -4.251826175089889 -3.416017607652896,-2.430613626096217 13.821776562839695 -43.062864538001286,27.1448435666211 117.51546224584433 43.39849029404652,11.247118765803107 6.382784864858183 -6.424332873756913,5.206962967739043 -34.36738769961696 35.44688478563548,25.595563110413377 -123.77728768656715 -46.22116812396482
-17.697818388041924 -12.170457995244938 1.447741153776113,-11.045105684927032 -6.832716222312448 4.22022153442791,-11.07126888602902 0.2842108994410813 4.213792550008286,25.29086148755845 4.426962207207569 3.8611334551949517,11.183601011853469 -4.542877227535882 -3.1809205361899116,-1.862519271816259 13.31905455798162 -43.27715739373976,26.74561617378741 119.39448133074923 44.22489844628726,11.956303952150547 6.282447646328335 -5.456419953916463,4.979278933053016 -35.110996190566894 35.6022667848062,25.98441278804355 -122.28856758572161 -45.54507202166717
-18.01642877848241 -10.836008867367386 1.5014858603908388,-11.730070586895303 -5.331257635366715 3.990251707200012,-11.319347933291283 0.5100554305802062 4.413984848073056,26.15405314286298 4.1918052751058426 3.485564314812485,11.935065884477304 -4.812024348952272 -2.884698036756911,-1.5978800257955803 13.75818840736656 -43.72607324152802,26.492619856800395 120.53074766264706 44.71276151031283,12.631502557709595 6.19603306528977 -4.453676975573249,4.682839432219519 -35.621531195856996 35.59554985849368,26.314129330136694 -121.0477513581797 -44.97592690930798
-18.32182440978464 -9.797388474957824 1.4886901040639953,-12.136113337220278 -4.337813452312603 3.884272782000539,-11.822702344271987 0.6208358283610906 4.7767025690530005,27.37606486598591 4.193636934613616 3.4031311073988406,12.484512933018767 -4.980463326636675 -2.6144223122901127,-1.8942265943052519 15.946505602896554 -44.24155620764691,26.5147528795681 120.32595822750801 44.607571468813376,13.127396693514616 6.13150860703031 -3.7924571697745613,4.299545651955132 -35.96352318571045 35.416453454032265,26.49986472237342 -120.39356641240383 -44.672713035701136
-18.565762433205034 -9.377688343880582 1.368484584149181,-12.060375840166873 -4.333641598680304 4.0162128494077765,-12.532522804623962 0.46725103682169833 5.329517143008523,28.832759528005518 4.65539067861648 3.88441571008452,12.662603768014216 -4.969389947886713 -2.4571655657257345,-3.0090896836163754 20.69133363647373 -44.65555041837729,26.940913505998616 118.18181001130228 43.65482030447905,13.298668470599967 6.096841756837779 -3.8491137675677103,3.811298778976427 -36.201502630350404 35.05469701875627,26.456770950434326 -120.66474015685645 -44.79441064966052
-18.7 -9.9 1.1,-11.3 -5.8 4.5,-13.4 -0.1 6.1,30.4 5.8 5.2,12.3 -4.7 -2.5,-5.2 28.8 -44.8,27.9 113.5 41.6,13.0 6.1 -5.0,3.2 -36.4 34.5,26.1 -122.2 -45.5
