-21.3 -5.1 -5.4,-14.8 0.1 -1.0,-12.2 3.3 -1.5,25.3 -0.6 7.5,15.3 -2.1 1.7,-0.6 28.8 -45.5,27.4 116.5 42.9,15.0 9.3 1.5,5.7 -38.9 35.2,27.3 -117.0 -43.2
-15.322289867920636 -8.090198201784178 0.05916611808651979,-7.602093844446661 -4.9204144892274035 4.397472048807707,-9.20920948833395 0.33963954696904347 3.403664193099316,22.236616631579462 4.833037739678612 8.608146534542643,11.996001988057257 -4.209323574968159 -0.053172833053381684,-1.2596929071049885 28.28309340746969 -42.083462327444316,26.417822709694182 120.80648892762581 44.90293000620366,12.41514483706489 5.91885130648835 -5.086208011199013,2.063794625146105 -36.83434600075202 36.189742433595605,25.904965574417105 -122.61605641397213 -45.69185148785246
-15.802774849845438 -9.328150932371674 0.3162604619047171,-8.164187150395446 -5.904926366904887 4.419086260872494,-10.700537643203893 0.5075146007750976 2.7312908141956562,24.098995008203353 3.756492043150263 7.439980121625551,12.24226643876476 -4.267058221625444 -0.9144128742652395,-1.1491393836839787 23.868236398093988 -42.09467930714746,26.285101809508067 121.26136913683133 45.085661723636626,12.747305406294764 6.124454194107078 -4.860806193982139,3.1186414011069803 -35.235431869284504 36.38290959814694,25.423303373171407 -124.67625267240344 -46.5704547888966
-16.223104558714585 -10.58077980940671 0.5129223567393121,-8.512131060221074 -6.859170533064248 4.397146404240179,-12.07822528196833 0.6021936479988277 2.509883431373372,26.01694264854272 3.190089602981939 6.67144635793923,12.40645008959371 -4.30221296157263 -1.7518604792331534,-1.5529461099166024 21.33987983782037 -42.20869024225235,26.310394356160053 121.04900986781252 44.97668929234217,13.013858695632166 6.3091533370993425 -4.806318678267956,3.5980709812109612 -34.28242445927564 36.500602881360805,25.20032768983271 -125.70768589051464 -47.0022421218337
-16.377774589072487 -11.334145607361137 0.6545834397312842,-8.474064309506469 -7.368249966342022 4.3554126576417165,-12.596809798481289 0.5500208739388889 3.000197352066214,26.933072161532237 3.54182864397627 6.734593169263279,12.388488544527597 -4.328122636767574 -2.2051297734399187,-2.479809345382059 22.42235919470529 -42.2986855467261,26.555613837098498 119.94672944347985 44.485798314611145,13.079164400429761 6.34106643502781 -5.040933686453472,3.0426638555629606 -34.8811496846052 36.366820524784046,25.450746369404587 -124.78679709763351 -46.59172530306435
-16.403588168516087 -11.697879814122807 0.7726849304406569,-8.320151752826314 -7.54377987744648 4.340366439565741,-12.467335142073884 0.39273354488900447 3.7588128100569143,26.99441429277717 4.332427007037714 7.134310378265815,12.228310227293086 -4.357140754523293 -2.4114670497375124,-3.4531574071788977 24.851477536944923 -42.35735046476608,26.88008605005942 118.56753580076025 43.87965528365542,12.98174989630219 6.2740294245282175 -5.434554433135905,2.115702910425744 -36.210778097444845 36.055702154525285,25.906222380686287 -122.98962191586952 -45.80891583881012
-16.505235592928845 -11.905282302659131 0.9038261127026094,-8.408221004693683 -7.601794918477797 4.402995114554613,-12.090542530583123 0.19495394126373122 4.202657662609621,26.58686431246613 4.9066361765984166 7.19161325603252,11.99360765228513 -4.401426109141349 -2.60681014224304,-3.90018142833291 25.57203125727547 -42.40106867193003,27.102959604467994 117.69017047252315 43.495703122267976,12.794684351578157 6.198710306583617 -5.807843952920069,1.7031258403692953 -37.10804855908908 35.69099597429872,26.202620905773095 -121.78875718304096 -45.295471789735785
-16.8318509160299 -12.134172720250893 1.0673869859556127,-8.982207845103028 -7.710263536212658 4.579637880753288,-11.78617837817599 0.005763116272764582 3.920314640839176,26.03801765693445 4.797526371899341 6.449584139464343,11.7589002337999 -4.467348236661829 -2.9610944764012346,-3.4568126175468934 22.57784049843073 -42.42687597759324,27.09983642873149 117.83754102461957 43.56012020828696,12.59756231464709 6.1812671638853915 -6.03144873646951,2.4088576770515693 -36.800024986710966 35.36137214381678,26.0891426204618 -122.20447327456098 -45.4944811181907
-17.326784557813745 -12.356868650020342 1.2189662934687284,-9.864185907766704 -7.859114086782873 4.852376254519193,-11.573979516608599 -0.18332350914461182 3.1361863641650545,25.45952370157989 4.2357116351197766 5.27385501881846,11.623994630446958 -4.5398329153181765 -3.399778620294753,-2.532167870736339 17.74837192508661 -42.36014254110261,26.955424911006375 118.58493075401012 43.88695441047449,12.494148730743492 6.1970718802773455 -6.161156976139174,3.7922317326482062 -35.959558579044106 35.025569656150154,25.734789627270832 -123.58159637744252 -46.11351630188148
-17.88575142792987 -12.49811734344593 1.2993984717822227,-10.778574711394482 -7.99706158769735 5.1907319955599895,-11.404235517386685 -0.3941160065671707 2.2218572483367454,24.913043877503714 3.6132758755624246 4.220464535321086,11.694551079987377 -4.598842047799675 -3.7917287898487677,-1.7143437924321008 13.8625551560078 -42.1096491081985,26.8028381291045 119.28826360022312 44.19485219577438,12.593803592521873 6.200480834938917 -6.295614108500125,5.1707755996131555 -35.594176396847345 34.61225058658613,25.405741121199203 -124.87711503814143 -46.68989013924158
-18.401198958392513 -12.485169807288065 1.2797151431619176,-11.486581471475901 -8.059510843395898 5.550554746973579,-11.226565790097524 -0.6285501510861822 1.505406851345017,24.444386201881443 3.2480739887410075 3.723388051500186,12.023418545621176 -4.634653360277834 -4.021678985775967,-1.4250359184666523 12.962709576153243 -41.64545539891,26.736278037587816 119.49429250106208 44.285914996389664,12.949394693004624 6.15403196783328 -6.491584966814268,5.981256400810979 -36.394118583754356 34.102270944299626,25.32007092531767 -125.23100046261668 -46.8428220980486
-18.75145919930818 -12.25609317804198 1.2613986495542497,-11.908334885916974 -7.92436703269933 5.828631116397846,-10.987694669755493 -0.8027054958421873 1.1269753630618178,24.030872533118625 3.1372942902448933 3.689292103906364,12.435303247832145 -4.682108552851539 -4.042911449147605,-1.367093354259691 13.909025745716965 -41.2023440239988,26.681851985194257 119.57414457234695 44.32276659180179,13.369745623038117 6.055607257339901 -6.624911735061158,6.175551597460624 -37.678957597330324 33.70196259242375,25.488039444400904 -124.57370214305561 -46.54536541256721
-18.811053413883958 -11.751874666612887 1.381149642748431,-12.006868329747155 -7.454011927306957 5.905802224253902,-10.633564896351368 -0.8094826415407099 1.1759642199488387,23.631335243587984 3.191553438599006 3.8824835268090094,12.69331878560661 -4.788080442392677 -3.8272146674859853,-1.049295319088205 14.702602000759725 -41.08656590663692,26.520286138209833 120.121506570035 44.565362441706654,13.59779437047157 5.91263065522933 -6.5225921758510985,5.844605077886992 -38.39822118110876 33.67853002481532,25.863802851886565 -123.04907820040992 -45.86609925399432
-18.5144247093828 -10.98142600353408 1.7242809288589929,-11.786189551628938 -6.5966758763131805 5.695170302118805,-10.168678732815394 -0.575896487267436 1.6981459139912667,23.273341955042174 3.331424180488415 4.090719570677904,12.621701710904217 -4.976883659982968 -3.3848268463728592,-0.15053974026427874 13.82527507093283 -41.51804092997718,26.179190458047596 121.51396790545836 45.178916522551845,13.447572106423266 5.744718102651545 -6.070555412752674,5.125828970063166 -37.76163669749647 34.21645251359073,26.380060159226428 -120.9015652310366 -44.916992905663356
-18.098157134094222 -10.296150783895476 2.1169924122030728,-11.456905765519847 -5.733460043824971 5.2725072762836565,-9.892809987092205 -0.20097642144868594 2.5193090915803116,23.331041738987732 3.527687123012239 4.220011455024612,12.352890355220785 -5.159087980907885 -2.919857646159947,0.7924798961287524 12.182950313212 -42.28138105932705,25.8225780806288 123.03948461898722 45.85092533672993,13.091584467341875 5.632959790948352 -5.451880799748299,4.390928711152525 -36.29095098836211 35.083083668377455,26.861322522640357 -118.88272436879491 -44.0287917164583
-17.893849791789513 -10.15515691919754 2.3040000821517674,-11.294594061988036 -5.381591616345082 4.764740239287293,-10.198587285597645 0.16215431912547523 3.396063501261733,24.287574045942545 3.7669118710355227 4.213558035671318,12.11624407334251 -5.209493536830528 -2.6973839929019046,0.9733168811183881 11.44383631409996 -43.02430583546789,25.688804469219185 123.64335288223992 46.11865631755159,12.81506749653997 5.677777880418935 -4.943093304424632,4.0852885707735656 -34.92050510809874 35.91460249588559,27.098078979292122 -117.90359353312384 -43.60104011934536
-18.152509436626964 -10.88254100129946 2.090560975330778,-11.510727854110241 -5.916207261204848 4.290859581174324,-11.342467411939017 0.3841048043975621 4.1092327746004305,26.426847844963397 4.029633522776955 4.034637664953477,12.096632375642656 -5.0365275131374 -2.9138799670007565,-0.20074120655826308 12.888434091108008 -43.450250103940746,25.95610853820442 122.5333844440474 45.63419213450293,12.844139528900554 5.946652770043605 -4.766453502640868,4.535949376974624 -34.429709141572474 36.397261846241555,26.933919911284292 -118.64319546284051 -43.931057071940614
-18.64963332240081 -12.00591909663252 1.6391570608066415,-11.938580042887617 -6.874151346048285 3.922937738449621,-12.777614234222991 0.47556523379482113 4.582594307580808,28.857547056768805 4.2607638198743665 3.7648703738640847,12.216330893061741 -4.74701447850487 -3.361093259965382,-2.061297423908961 15.509042641129259 -43.59153239408065,26.448023181553538 120.46635202319679 44.7270782032398,13.056021056830438 6.312744467013432 -4.823988771003579,5.371845880866186 -34.68335739189754 36.512914615509565,26.525681759445533 -120.41186669574363 -44.71312398507511
-18.987000528571155 -12.761928557923877 1.242775508998855,-12.273255306731228 -7.486014403951321 3.715906583178925,-13.663724132252671 0.4984017307883226 4.7921508816950835,30.259009921974656 4.392200201487627 3.5291100306765415,12.30168167521029 -4.520259638045376 -3.682912626039405,-3.4792329785854412 17.462010728253624 -43.600622511008424,26.858496327541097 118.76491118962699 43.974357815599085,13.200469512213628 6.578221791862484 -4.900735497100722,5.966873316820672 -35.212107023600076 36.35140544392315,26.144639337334382 -122.0199208092176 -45.421214196655576
-18.839309857538925 -12.528878381328033 1.1492541151364728,-12.260560077854677 -7.12731169358162 3.7090992348190865,-13.326202355715093 0.50791944843274 4.733792707312872,29.583964534628866 4.372859723660924 3.4330550781622446,12.210548549553534 -4.50544791166834 -3.586797208997122,-3.519738537074899 17.222817770194858 -43.61372626617034,26.9303100498745 118.53792679520237 43.86052702324193,13.073292659490592 6.58035145964984 -4.816240234395797,5.809708186799621 -35.59275467376835 36.014251712491856,26.022684472157636 -122.4552041870376 -45.60809445597567
-18.387827596989446 -11.668783702441068 1.292547117999822,-11.998699415515699 -6.179940409480395 3.8340403948189588,-12.240585273366719 0.5134817892252808 4.540548598695776,27.682088434651906 4.269612032572053 3.4493572788493783,12.019987548041104 -4.642513603468051 -3.2217879222641064,-2.59783470799832 15.484691623685684 -43.65323298849752,26.745628680891826 119.40849867318505 44.226887495755825,12.790387680854932 6.400093465013578 -4.630144256544564,5.186215201853179 -35.72491532277189 35.68267276150809,26.117907879708536 -121.93965707686813 -45.37423612473135
-18.02812287564429 -10.95981550292328 1.4738206484555,-11.734960246929713 -5.45154656404716 3.9766465269534494,-11.368971012349292 0.5050165464844079 4.403463712021407,26.205561626812393 4.199226493404703 3.4943831373393146,11.899783733834795 -4.782867764940781 -2.92373638175894,-1.6995862350985744 13.879076286431026 -43.69338206388615,26.530191859942818 120.37117533080759 44.642638196926754,12.603065249501597 6.2215019878135145 -4.503660655666664,4.719508705136081 -35.64477191105158 35.571605761181516,26.27256900401625 -121.21730183550929 -45.05181642394855
-18.102118894194234 -11.076830321425838 1.5150795732429516,-11.691170423039448 -5.63736563011207 4.031397880760472,-11.543223168859514 0.4763365448721684 4.483117682471587,26.57670796738097 4.258686417344032 3.495404958326351,11.991143278809949 -4.794839649086516 -2.98302550386155,-1.692246417237848 13.84583267557433 -43.70970166504837,26.486118830462665 120.52864451335503 44.72227440784853,12.721859862635691 6.207709534834484 -4.572626045268907,4.937555202265156 -35.40431933610759 35.846161463788015,26.342274551817574 -120.96318333135974 -44.94193526267414
-18.507356854079283 -11.838767653125815 1.412394926926773,-11.876881676467454 -6.502148188396421 3.9640464922102945,-12.517376721486443 0.4535510040659574 4.689584682711771,28.317190332880674 4.381925792016024 3.4704057364089524,12.199161700540198 -4.687513539048391 -3.313242152631275,-2.456066158129702 15.232775262261583 -43.689651029539675,26.618429961835222 119.88511513803154 44.45816937145999,13.02033413875656 6.347971890927502 -4.762662359439276,5.581404170167476 -35.18070219928961 36.263534010613604,26.29501955005844 -121.2737672086313 -45.08512042723902
-18.924383293703798 -12.646617052049946 1.2468354026104145,-12.197989910295364 -7.356282905855055 3.7751468809627067,-13.519155821462729 0.47853968657667423 4.8106154147920925,30.020566299573304 4.423260544271111 3.481663094731922,12.313640125836953 -4.5387053281337435 -3.64398119302684,-3.3893365779866285 17.11031173098044 -43.62651541262046,26.835900942445633 118.88501486008664 44.02721663336172,13.207505104067927 6.5466396900837776 -4.896742316945278,6.00784830722045 -35.21217652829147 36.38172916965823,26.153678984175656 -121.96299505789854 -45.394660616746144
-19.066416914574383 -12.950075734997945 1.0858572333313476,-12.55800936459918 -7.570486541722397 3.465778665129387,-13.844412978626274 0.5887824515042237 4.663599147969989,30.40969411643986 4.261321432186715 3.5919563923825795,12.154722456888495 -4.416949989579667 -3.7223195235197357,-3.924126993828621 18.577340385355388 -43.53030424080903,27.04931060826185 117.95854858787104 43.60270054863218,13.030653152368503 6.716669774155332 -4.815932282693198,5.656177850734828 -35.70453513641027 35.81572862160365,25.94408504343718 -122.8418325236579 -45.78293718456707
-18.977878915842112 -12.698801226096181 0.8592805077895672,-12.844157859182651 -7.13055671250051 3.0398296401843647,-13.484476950621413 0.7780401824061911 4.361481072660724,29.522726337758055 4.0158450784542525 3.8660230989499405,11.844478338619693 -4.296234682543108 -3.4770104674695017,-3.8518412622307214 19.060204080645434 -43.57288445262991,27.195191400290682 117.36903438914759 43.31077394478444,12.619056336087581 6.860083709265551 -4.543565801494098,4.791223940918509 -36.54463349462227 34.74631623453018,25.717153143161035 -123.71093149994276 -46.16188623478643
-18.889318975013122 -12.12341768439214 0.41957684571401577,-12.934494986090113 -6.367952872518087 2.502765735169891,-12.821518764269024 1.0155046655331945 4.1833022700569105,28.136981826559598 3.942064269055726 4.3697010988167415,11.674653005576443 -4.097412785814943 -2.9389054808219366,-3.1658213034706018 18.169262267922814 -44.01708332849614,27.224548715969274 117.28600361836322 43.25110277326419,12.316666943029439 7.028955466702749 -4.2054065419987605,4.1417534466316095 -37.44009134156776 33.67224419179192,25.537894916930895 -124.36514778113889 -46.4431936512373
-19.011584654393996 -11.445323608763061 -0.3646798368439798,-12.721977381183319 -5.601727167035781 1.8659783788537763,-12.218308415591583 1.2715235129941191 4.376149988544804,26.9836842397395 4.264535820370505 5.157834878844348,11.909128321451414 -3.749268373543691 -2.1444653765381143,-1.8936625031612144 15.664003837048089 -45.08174078080173,27.09679978641824 117.84553791972199 43.50641289178351,12.436280893205863 7.270801241138489 -3.9183155876164473,4.373721369050937 -38.11571419970074 33.06146683201126,25.465712694087134 -124.618547516004 -46.546942967024414
-19.30242193062641 -10.742343104642385 -1.4277260681789328,-12.273923879286755 -4.9620062555921765 1.2095388978866393,-11.761547035033221 1.5330573438973139 4.794173681049582,26.16263386721582 4.833690142867546 6.157328407401462,12.46593715646574 -3.279649504316895 -1.1821595052130367,-0.4350482683074772 13.013755952000977 -46.46258333274865,26.867278205028388 118.8069917125567 43.96592604885141,12.900746162004019 7.573681813265394 -3.682418307603135,5.362912633013733 -38.51926566366333 32.98280351842066,25.492978146208966 -124.5092665988927 -46.49087273893717
-19.556285434761822 -9.999671636532078 -2.5765793084213833,-11.770145056491193 -4.457029387582602 0.6578282304563928,-11.359826807503653 1.797784846383044 5.03801454536025,25.366261084727974 5.2585857722348965 7.212543382861534,13.03998399795571 -2.780316484747281 -0.17401111268940633,0.5702812060908685 12.790967243934874 -47.51784499838273,26.653199089235834 119.68666959370285 44.39402263220084,13.38133140569841 7.887299632176798 -3.4225267072449483,6.475325017331707 -38.74235324563845 33.247567178517194,25.568817359223296 -124.22000205035135 -46.355724764851985
-19.578272000699677 -9.202439810492727 -3.6236528177075544,-11.379009595667194 -4.090260025925454 0.3270405262979656,-10.931110749207077 2.0635460142883946 4.733000517614996,24.316487980686137 5.169973229275708 8.165689076278516,13.343131150637344 -2.3406495262224647 0.7611169697173901,0.532881580577259 17.346937710702022 -47.652447198807145,26.565687436879678 120.02675947869089 44.567413580715524,13.567603639608155 8.163643747262661 -3.0647311078182575,7.112227838333151 -38.82540016056351 33.69059101783938,25.64584301456953 -123.92018735280521 -46.21657924304906
-19.36174516234914 -8.356613549993359 -4.487246101783013,-11.08128118366978 -3.826499817714848 0.2076315388344458,-10.56719677842345 2.327936715393856 3.911766879885069,23.24636237919814 4.560871024731667 8.848032372578054,13.378530933267884 -2.0014918395921537 1.5567638783204065,-0.37176407630396 25.658438682744105 -47.00828106524284,26.615541637981632 119.7911583011005 44.465833813172075,13.4659855254093 8.39592304913044 -2.570814047024506,7.291489067642672 -38.05397655244032 34.53852138814124,25.735940554598955 -123.55845802542082 -46.05396332977717
-19.039239123860842 -7.483560679573451 -5.1639319870074285,-10.719041982502299 -3.601970789640733 0.19710857713360092,-10.488385197720502 2.588372354408569 2.9080389972189677,22.766766905805234 3.6920937212441136 9.082751316697472,13.364663316742089 -1.7678070728517048 2.1852053765497574,-1.4027224063285706 34.20771953644329 -46.2720211053627,26.739396562130537 119.25549909380958 44.21909780758577,13.317126025398343 8.607816994500403 -1.9289424931735208,7.486779259727025 -35.15564943561189 36.30764108864955,25.894811082439514 -122.92023112901242 -45.778508601067145
-18.742578015738097 -6.607303794461568 -5.65250659499399,-10.142845625801513 -3.3553611136784016 0.19576362125691124,-10.904468163571913 2.8414517241951653 2.0477092413755367,23.458372621900104 2.821552777261904 8.710109222264066,13.514127619358645 -1.6428514480402583 2.6216171985544947,-1.8418615842487003 39.582808046600945 -46.10713956012113,26.87266265269422 118.69963376242374 43.959078596389666,13.355470951761905 8.821594281424941 -1.1337620782958018,8.14817920979688 -28.98257457017682 39.45802968086243,26.176031880396017 -121.79590636958915 -45.30216019027103
-18.534791591280673 -5.791584944033422 -5.95849024653258,-9.406243917187608 -3.07966691888762 0.18984382984833917,-11.79110339105782 3.0697057969519475 1.3987962747193279,25.225296701747805 2.0481718694968074 7.869514896875877,13.850274095455118 -1.614879867230406 2.875667562112199,-1.5954508575269204 41.216157027795084 -46.554158192018065,26.959654913966336 118.34991803988017 43.79236992958682,13.612960277607096 9.022723886787723 -0.2813968719699551,9.132232056244472 -20.77091158331542 43.35892622535759,26.578614954578732 -120.12842750329041 -44.58798484945403
-18.42072041546275 -5.133742568699971 -6.093090873932226,-8.7344930818205 -2.8138202969871005 0.23830088011010514,-12.925907800972947 3.243766388300164 0.8111982903245181,27.399398481825042 1.3363960973547133 6.953407035063751,14.236378152107983 -1.6594584828010819 2.98619988371972,-1.09790425940056 40.94615406784857 -47.12668095163591,26.952220203768924 118.38745833798507 43.80418327296094,13.950245988763081 9.165548029843999 0.4461943099350041,9.793441731717579 -13.773311211360184 46.45689083827736,27.055418697073232 -117.98976648335268 -43.64229015383783
-18.401405880965324 -4.726323321400233 -6.070724197821788,-8.348300195835199 -2.5970098362761256 0.3983213997734621,-14.08241982695135 3.334917726519568 0.13507584071590803,29.31069811417098 0.6501248868921848 6.351081210868453,14.535884330289623 -1.7511289101881344 2.9933832009003183,-0.7850474440617695 40.635784873334586 -47.33783552325104,26.805493246103417 118.9805735990596 44.07367961776337,14.22762225820133 9.206222696818328 0.8720325594707198,9.500701711356093 -11.168655420579203 47.24104189437719,27.556811947612918 -115.46988864495249 -42.48057568229786
-18.435277961518477 -4.53508823655306 -5.971443406747895,-8.252559132276053 -2.4426226054173164 0.639203941663276,-15.080989539340068 3.3367069072268443 -0.6248140666346483,30.640035785022587 0.03323994068489882 6.210971005136317,14.725185551547725 -1.8508912055257045 2.9461980447270633,-0.7627356268478567 41.038606905540384 -47.050153733573175,26.54072264916145 120.05133957206785 44.563489454178004,14.4145666449359 9.161462700508768 0.9856646473843016,8.277502410239826 -13.160426409118699 45.75274777777912,28.01071803373636 -112.96063129624578 -41.288033121694845
-18.43955684025476 -4.403183121987066 -5.938780127075952,-8.243449360243284 -2.339092849452231 0.8452499087304182,-15.787238858003638 3.264211595159436 -1.3142031502272928,31.40753210128003 -0.39302563974685206 6.448570740955409,14.889907877898814 -1.9066492916360973 2.9021466011012307,-0.8177073866786453 41.835242088828 -46.464078511502386,26.243096204342965 121.28368855325286 45.12354583903769,14.586148696849627 9.106549703242653 0.937685451177092,6.780399358032052 -17.074577196160828 43.53456832353393,28.32335307678777 -111.14577416598888 -40.413964540761135
-18.333187133552546 -4.174158271956006 -6.111894987136242,-8.115309837247802 -2.2738575642108594 0.9018913554988668,-16.07078676682975 3.133608329006361 -1.7763536892555238,31.644223687655387 -0.5093153936765291 6.968566629726506,15.115779420725996 -1.8684139365008743 2.917149190696282,-0.7302994657978942 42.663934116516344 -45.79113828693138,25.998507690326164 122.35791046500405 45.60215330816097,14.817624777614816 9.115983790733443 0.8809629187051157,5.674799915375165 -20.185418308377084 42.14901428536419,28.404445015479368 -110.69151753822763 -40.19962654853671
-18.129761522326117 -3.842000129052015 -6.4365636744922865,-7.84835828456444 -2.2350053623101642 0.8224416818440063,-15.860790411250974 2.9671280047012374 -1.955735482940472,31.298919104101632 -0.3361783454889483 7.640134634441712,15.367344052858694 -1.7595391584642275 2.993547088549793,-0.4654733778046693 43.20487951041476 -45.16689200777143,25.83985269008878 123.12357590338023 45.930367125503544,15.069553612321235 9.176079484939338 0.8486091208454084,5.153047587397124 -21.600911446365778 42.00796644801148,28.2858360040484 -111.44469727393225 -40.57665617871565
-17.947514450916564 -3.56701553473074 -6.644757808750611,-7.628317752279899 -2.211345276060862 0.7615983672056945,-15.152231613049969 2.7936951428344265 -1.9087121491426056,30.22951654973367 -0.04884134364196141 8.293191013930866,15.47516580840507 -1.6844663926182137 3.0744452203290793,-0.19230956616340894 43.18465733565769 -44.64290767504915,25.741432617950796 123.6174101441867 46.130730766212345,15.175685594361331 9.175654407640048 0.7413354691561156,4.884472162070038 -22.456281026452558 42.251182921587585,28.13437620682369 -112.34626976849384 -41.02381998202415
-17.90784161561711 -3.5160951697854315 -6.463984448116423,-7.6480386850978705 -2.1939686538368863 0.8773134522584131,-13.94657491645801 2.6419280132401606 -1.696922435952876,28.296536665854227 0.1739578525696568 8.760286739954793,15.267368852149003 -1.7491045944048729 3.1004799341007305,-0.08539282855066756 42.33938337671097 -44.263411243090566,25.674673259420732 123.88690273293405 46.23097575084918,14.96786393537036 9.001601046698667 0.4548695947852002,4.517991738871444 -23.96823048907048 41.9699177953998,28.120579527622617 -112.3123996732249 -41.007407370631455
-18.049600632110376 -3.7820399322497473 -5.863429192663182,-7.971929387739996 -2.2561775202810064 1.1787898630891365,-12.35793504657834 2.516545678603629 -1.3631320137306517,25.628809204600763 0.3180354489819665 9.044851515727334,14.7366282983613 -1.9594383305386864 3.034145851920404,-0.13405914641921113 40.666501086427346 -43.96293666925877,25.616735953933677 124.01905452075769 46.27544088042178,14.448398981880286 8.655075494351287 -0.046657736093609736,3.946199381278199 -26.49540463083277 40.88997642198926,28.293277276523572 -111.06807718925702 -40.39501341069425
-18.307281704910274 -4.3639659777516036 -5.1178743266036015,-8.501986178415455 -2.575227316315289 1.4871408599204512,-10.642870163814894 2.392047230892543 -0.9262420014784075,22.694434314074048 0.5772821694135146 9.36638707683341,14.083689966086288 -2.1951001895083277 2.865576855831138,-0.09340184342900176 38.49389644811986 -43.537315027784025,25.55203451045771 124.15082745129078 46.32946446130403,13.835152658881174 8.281717413217434 -0.7126216437331903,3.3698092645146334 -29.311453799439924 39.539538913615544,28.54743606019928 -109.36103290733648 -39.5616744837499
-18.607741636249557 -5.253291567810795 -4.5175580133780535,-9.128381227580904 -3.3306435613254814 1.615408502913524,-9.067593607995441 2.2410110221121893 -0.4027994468503188,19.984576603404378 1.155617606791641 9.952541666660316,13.520476649192133 -2.3297779693482625 2.586802852820825,0.28966888592180695 36.171336305947 -42.778886251934765,25.466252394129313 124.41825582629549 46.45776517945823,13.357263713388814 8.03396522928575 -1.4868929461540377,3.0066546913306973 -31.627868000944122 38.49298678858779,28.768798473320786 -107.998878562481 -38.91193472636882
-18.830694499270564 -6.356610558180694 -4.144226117152671,-9.670670111421192 -4.480892870842845 1.5774084776630266,-7.92431081976789 2.0369160180640193 0.23201494469176004,18.055718153789083 2.0901407244713073 10.743760202381445,13.149801393916622 -2.3457563115050295 2.1960312068187373,0.9242983826081522 34.082883375449825 -41.75171537227001,25.38549848466535 124.74968178014022 46.626220620492035,13.115660895810397 7.940121612606122 -2.3155756627543997,2.941525303930342 -33.03023046063315 38.0597421568973,28.8756053620452 -107.50129579889894 -38.697288396016894
-18.78760422384963 -7.457713607648444 -3.7777830607965464,-9.8461743443899 -5.664407315318207 1.6776233226222046,-7.542856894214465 1.7545450339829531 1.062907937832227,17.558903387477184 3.176438547747869 11.264693510781761,12.91651532848453 -2.3825392264374448 1.7004125977098556,1.2216918082297743 32.66225167960244 -40.91325314768656,25.394406918804048 124.77276438421939 46.65761272430203,13.025658954022855 7.848773648434741 -3.1480068950410907,3.0665988811804468 -33.64571196777967 38.165636319808776,28.8331464040805 -107.97112000841811 -38.94765419912022
-18.28790701617148 -8.33270666956255 -3.1774588490606455,-9.368925787571822 -6.497526717183312 2.238831356070139,-8.249514771979669 1.3697309197479857 2.1772901430460565,19.140162581752374 4.192432442415198 11.013109618777431,12.753603690789054 -2.590104411935834 1.1084667002976845,0.5622158109008338 32.338312334463005 -40.747893480706125,25.580715208550718 124.09768829087781 46.36633872258891,12.98871398007139 7.596375030520699 -3.9336325582787612,3.260891496441333 -33.64474658926553 38.70547630378149,28.610781735529613 -109.47629302198513 -39.67465822396575
-17.382171754172123 -8.897871549767984 -2.3170688896569587,-8.295800638443461 -6.811615866014419 3.259781130157343,-9.897793600241481 0.9272875931431528 3.518262963712688,22.542140678795537 5.005989785488406 9.89855998399621,12.630208249244582 -2.985197294366933 0.4773972099357254,-1.0820015142365846 32.90477752144929 -41.46025232859814,25.924681408518488 122.77547657930994 45.771600072169235,12.954911048704208 7.159957169445821 -4.611404223130789,3.5426147094456146 -33.26153293486969 39.50109942767107,28.206120129391675 -111.91962408095101 -40.82071477644919
-16.52131900528319 -9.302223507299031 -1.5267039468993517,-7.252898287305294 -6.795044714789428 4.2012357661331965,-11.556257932859435 0.5865579857042427 4.789331756558541,26.007595266049087 5.63431498614118 8.51427858205226,12.575501327126887 -3.3633582490673315 -0.054762277465775756,-2.756332714423747 33.10080737503034 -42.79043135344382,26.228115824865046 121.58907475009778 45.23263393280036,12.955073756090943 6.749952142863189 -5.10284973845313,4.161085834839038 -32.83613765080669 40.25319167273566,27.663671466778705 -114.92975339451002 -42.213326094300115
-16.191374843307603 -9.715012868764346 -1.1679356400906615,-6.916060252623376 -6.66852212353178 4.476805922396928,-12.225177760873263 0.5166097633265841 5.672616945682747,27.648628313614065 6.108168318197917 7.514775508863246,12.624312196865345 -3.5006455870421953 -0.3429419622813339,-3.419522358356527 31.577606259615447 -44.43412964405539,26.277468502343364 121.3846242839812 45.13808386009685,13.027614167602382 6.597421630123088 -5.328112493192247,5.384007687479602 -32.7171315393966 40.65270744160423,27.03283554475554 -118.10832684439086 -43.66867385590958
-16.57821253625661 -10.1113938004483 -1.3625326093341301,-7.5149164947268545 -6.502650687046201 3.905907036165053,-11.554072367321057 0.7645127565012152 5.987188336299544,26.80009226919926 6.398740591647233 7.192718532984354,12.811135832937765 -3.3292624202089356 -0.3085251136319924,-2.7128337254244963 28.290055862655493 -46.018113506546314,26.025618942763522 122.34771305988771 45.57504177023543,13.208234848079265 6.7770202118019895 -5.236692494470196,7.092226594301045 -33.085174391683 40.58278081905142,26.416190284446493 -120.92689490385975 -44.94767817633207
