-21.3 -5.1 -5.4,-14.8 0.1 -1.0,-12.2 3.3 -1.5,25.3 -0.6 7.5,15.3 -2.1 1.7,-0.6 28.8 -45.5,27.4 116.5 42.9,15.0 9.3 1.5,5.7 -38.9 35.2,27.3 -117.0 -43.2
-17.08600113638113 -14.552742761669082 -1.4799008080433302,-14.126318263240162 -7.848890090981826 0.9318024449080442,-10.181405644045144 1.2997946413519799 -1.7923631441352659,18.886558574937325 0.5021084558988631 10.790197491263715,10.856395068022898 -3.1611117725459725 -3.201257877509417,-4.487156012743967 27.371291371854184 -37.15762428173235,28.58239793349611 108.83916863666974 39.301599486472114,11.581949464638711 7.9580390036516455 -4.806871030018414,-2.9919141147913115 -44.421857457827265 29.852592928070965,27.884172976540025 -113.79507037683652 -41.69032858195728
-16.4265868753586 -16.275144102117235 -0.6923039864921524,-13.740850937628643 -9.110598701023592 1.4997005904924183,-10.05383806533965 1.0569981883536805 -1.9304055291161348,18.79828302648756 0.5365855669861127 10.470565948461164,10.722147494334193 -3.3798653263940865 -4.067733943564827,-5.00531239253607 25.777286519642338 -35.86778827072699,29.04485318303739 106.01212811574756 37.949090517538494,11.597779833560987 7.725387968471534 -5.757800012910959,-3.810773547747608 -45.80170498230165 29.397632486685165,28.155564770292898 -112.3474881071714 -41.01835656624516
-16.671738294602253 -16.878770370125572 -0.5017408103797525,-13.678901619635669 -9.772384723501874 1.9186340662291765,-10.517584757682428 0.7529660378382759 -1.5932825862228364,19.653627097468206 1.0318752514209386 10.16440076767358,10.63095726704348 -3.3861017172058006 -4.528975068158308,-4.604185908424814 23.150408257275824 -35.36948029330643,29.156824722211926 105.5317520882793 37.72113121050634,11.600049119236072 7.681556434883451 -6.256463778532916,-3.169978400838734 -45.626234091360324 29.73398310580478,28.327719915288295 -111.349949453589 -40.527043054909996
-17.46680028908738 -16.606664948119075 -0.7482399359943726,-13.850662171305297 -9.909819649889737 2.1582568440261665,-11.270416833599905 0.4581369121717616 -1.02027900775871,20.90554117270982 1.731483896148684 9.967045185152259,10.56926836956267 -3.247640389738411 -4.6265327431528025,-3.680743525031337 20.477480706305002 -35.45425740466527,29.006262289860075 106.74722789946333 38.304943704673086,11.576524187391612 7.772390469344893 -6.362488892382375,-1.7151802078079408 -44.43798387556166 30.52497628168757,28.40277074609668 -110.84305737251876 -40.250279562673384
-18.132590249104304 -16.093356526615576 -1.0565719113800713,-14.062662061408743 -9.757311930493007 2.215210794230981,-11.7755522678694 0.3019810505712456 -0.6233825447327906,21.68287049480211 2.180478842878783 9.895868786639374,10.515259885566408 -3.1148613351434045 -4.533502357946351,-2.962675394793443 18.958235985880517 -35.74049520131899,28.82386147686377 108.04828434602477 38.92786671599655,11.520440922129584 7.882616344944805 -6.245371561907934,-0.5942598611441735 -43.33546248354289 31.14469453415493,28.407080846204217 -110.76077058938587 -40.183744117151406
-18.068869764776085 -15.914560113425003 -1.0913283564235792,-14.1367511653299 -9.537739679971713 2.094065713158856,-11.570273123500751 0.39387265634602037 -0.7594538754264325,21.24349066055779 1.9875732170179006 9.962445287502707,10.4555247931583 -3.120948707847908 -4.411221896936526,-3.088970355895036 19.61998213449424 -35.88041271545527,28.814832142605475 108.0093589375086 38.90612157061592,11.433484895718124 7.907818299282151 -6.0677559357231035,-0.8133959721547577 -43.300128875437665 31.04295413187006,28.36639473180459 -111.02819795844573 -40.315621178895874
-17.391919123334937 -16.105484666154904 -0.8808341234404612,-14.035651400624625 -9.364343454333044 1.8686821436796006,-10.860959411813942 0.6618437875363282 -1.2874175254489686,20.00716166177759 1.3363191188077934 10.130297524598404,10.451845258090733 -3.242481591311438 -4.310593553292116,-3.8950575194298778 21.947244137502167 -35.83492456787078,28.951369885068043 106.89030858008803 38.36687944076193,11.39223477392794 7.842867789603612 -5.926440117282058,-2.0962309334174334 -44.2477261629168 30.35596334310006,28.299867961777426 -111.49652272707974 -40.56916911722131
-16.593494152910893 -16.41809907850789 -0.6440203011777195,-13.795905516664188 -9.292910707796349 1.649230889158334,-10.204616905981357 0.9388982211938175 -1.8052657558206473,19.002502928863045 0.7115001109435732 10.337768350404613,10.605404652275821 -3.3739736965668823 -4.224648122529061,-4.795278557475581 24.616086149159393 -35.72671037387435,29.08356440857249 105.83419638535992 37.862271563672365,11.512515267198003 7.7346655121022865 -5.883717067993238,-3.4943228187176416 -45.53553298734579 29.57961875737846,28.223203299811605 -111.97818908765372 -40.83362324060085
-16.130151827239768 -16.616096674411978 -0.5893375589763632,-13.456317943791074 -9.369117887943538 1.5345167274913705,-10.11447198436024 1.0707385619800538 -1.945097284702714,19.170684681708085 0.5587276091605993 10.528638276765415,11.001379851499909 -3.41622905312003 -4.1453739561517935,-5.242308267419317 26.381020315801642 -35.66904605573766,29.07303022006368 105.89377316704633 37.9003940480711,11.892762633998563 7.6308747804736825 -5.9902153522314405,-4.121601237125812 -46.542983190870295 29.184433357254942,28.152114887542066 -112.29772149656357 -41.00551943324798
-16.050077846912174 -16.613957141052925 -0.7962896332083702,-13.072791861651181 -9.536762790772226 1.4994041863085728,-10.606690989739029 1.0466236456102287 -1.7251060309909907,20.46854180444979 0.8800286231083683 10.706711242337374,11.551500747916695 -3.3444275215066446 -4.0591037781944745,-5.134692506038672 26.904052236350992 -35.66037230966929,28.91501300684796 107.0814841576354 38.48263331620369,12.443323177541076 7.582391829517681 -6.176067520879338,-3.8162500070850434 -46.93661432419029 29.338125753675264,28.102759777257177 -112.41138676369039 -41.06200095622545
-16.155495028525326 -16.416979112032877 -1.2667152490148887,-12.711529062863283 -9.678281484340546 1.4441083176201925,-11.398059951191255 0.9422765302538466 -1.3960318719130322,22.26004192066919 1.4102583337837813 10.911943423059217,12.063029747547288 -3.1785456830471035 -3.9487639162700274,-4.63952621489928 26.393772741066215 -35.629964331648246,28.68524479960257 108.78319633149245 39.305183471390635,12.96125622203543 7.6420600892725385 -6.2988311203145875,-2.852672793526861 -46.55588711063095 30.026040865324557,28.091561787271313 -112.35480039785244 -41.02876106464506
-16.263958600186122 -16.02550791160128 -1.991531541116444,-12.435658351578763 -9.675650524934552 1.2795328806920845,-12.210061287426958 0.8306573830622798 -1.1951455203816874,23.925617921828838 1.8931732832050414 11.175843081575806,12.363268544548323 -2.942099946990821 -3.795756958716128,-3.927106836554931 25.094900135364046 -35.52663098805116,28.45403459393305 110.41875951036056 40.08099568309238,13.263308276237039 7.853701436934241 -6.224359262339945,-1.5166511151814066 -45.29280719241566 31.207311712386787,28.129727236204666 -112.18154990351478 -40.93959470226918
-16.4321189602075 -15.360652087378371 -2.8357456437870177,-12.267235918637759 -9.41574994638744 1.0662615652503933,-12.876753625154675 0.7342417066775042 -1.1467855642509988,25.160186989417237 2.233178428405321 11.415629547279929,12.553909022527012 -2.6959698278054454 -3.5626144912102227,-3.161495219792276 23.617784124747768 -35.56091212645208,28.208267166198475 111.95225315603417 40.790719751508,13.437665785830875 8.145525504340357 -5.937243034198494,-0.16274614563878126 -43.68039369764225 32.53817997441064,28.16175047955909 -112.16092169038916 -40.923288745157826
-16.881777791521927 -14.288788611109595 -3.577394309162491,-12.19994768355628 -8.788846783680587 0.9682671540588915,-13.309955862662344 0.6406335038691683 -1.128211024857932,25.875891456086272 2.44564413023148 11.46957883955055,12.926173837442459 -2.5268428260373397 -3.1988332467026503,-2.5024443828742116 22.825328639757874 -36.12413421479978,27.877203305769505 113.72367492265361 41.599914158677606,13.760008127631924 8.365884555978713 -5.504089940111519,0.8069724604904819 -42.69443588882566 33.465669829968284,28.086045617852616 -112.71119284525443 -41.174244274935646
-17.813646307969105 -12.69872941093799 -4.005000144913737,-12.225822816022845 -7.704457910009782 1.1374772036372964,-13.426726298028742 0.5414051280504579 -1.0171671976963532,25.994449479244235 2.5492796595764813 11.190816466651855,13.749322892817526 -2.5149752019610485 -2.659302469883944,-2.1060943406436192 23.54741118326451 -37.57143882899786,27.398617618377095 116.03806616386372 42.65797462434627,14.485583979795894 8.372930452078197 -4.989989130150879,1.018864372479837 -43.246175566186466 33.47936202304414,27.81201460049349 -114.19695530685318 -41.86175756079326
-19.04845004552226 -10.845980447994483 -4.097516138831024,-12.319864752181134 -6.371117380438737 1.5059886179957025,-13.201675928474542 0.5008041654367106 -0.7446000811656985,25.519469662293428 2.5804225741361986 10.688429112623258,14.89147125906134 -2.6323675860104108 -1.987013340145846,-2.0736015597965367 26.02075472867514 -39.63783929050401,26.860872249959417 118.53896611171787 43.80499632871582,15.493011033392692 8.202341679743638 -4.410921982154083,0.5571834545986318 -45.103347519587146 32.79710620937602,27.43463170495057 -116.09973996795196 -42.743437410323175
-20.10640609446822 -9.27604454464528 -3.9844955272783174,-12.443612271419981 -5.233834448415382 1.8320470968809386,-12.654930814475637 0.6405527927907047 -0.2835289976636621,24.51932297226097 2.589351612487314 10.273928183194057,15.903492022698362 -2.765407563299025 -1.2946317035877262,-2.4626392350154376 30.01299102811365 -41.56792575820815,26.47142022351476 120.34677066430521 44.63646674753468,16.36305156251453 8.03019215100735 -3.744033409415744,-0.1316946941920787 -47.12935373286548 32.21269732753844,27.19562950806071 -117.20271639395799 -43.25131309904701
-20.521984527140095 -8.507920830902592 -3.7984763052561847,-12.554674147882443 -4.717869405408575 1.8804140323366763,-11.816676614277574 1.0731889296384605 0.3879949278849884,23.080278894352105 2.6273718231297556 10.249886668349369,16.34760373864991 -2.8032672324238086 -0.6908352804854223,-3.3115948737311776 35.24099368060305 -42.62768595095272,26.42916319074611 120.61823975000591 44.764457281834304,16.686988959450705 8.02741238379486 -2.969491429853978,-0.6041086130860513 -48.189445801182565 32.50308867226618,27.326282429695123 -116.34562414315076 -42.843858761681574
-20.2636514140645 -8.395431339602442 -3.6502017697729183,-12.541822481229591 -4.7420743794836415 1.633497989326937,-10.887468702611105 1.70344837874271 1.2168898452268244,21.60029620387598 2.758263578605413 10.639336502204536,16.17266749264276 -2.734103150276188 -0.170469796721623,-4.309132697860138 40.688342444700055 -42.75537974036799,26.70491571358318 119.48887803983834 44.25057902921733,16.416589523370817 8.191457938709284 -2.146375186856182,-0.6599336963302267 -47.661828559680515 33.815868544548344,27.7783318420778 -113.82986145182583 -41.66236556468017
-19.69242050367546 -8.190748028509786 -3.630701998998003,-12.23156686908276 -4.767257301421036 1.270568546946327,-10.221961194449706 2.2481107434099536 2.0822089073755694,20.759255416360983 3.057091133114536 11.212465830410954,15.677261022814541 -2.6356029279834936 0.374579614214906,-4.827593589448564 44.67535567678955 -42.49733452312398,27.0631884759848 117.97946098516452 43.563049979402415,15.829674928632693 8.36287695795486 -1.4051386272479536,-0.31932346823247554 -45.38867103687592 35.7293670773739,28.250682572374664 -111.27889109682003 -40.46573000117989
-19.17298506098719 -7.156099906646338 -3.824309175596265,-11.458935745363588 -4.257332272442557 0.9721076531701437,-10.165184149638486 2.4297257404201598 2.8617764285897564,21.214763695478904 3.5906698090593503 11.733019089089929,15.166053184459592 -2.586374094136607 1.0508264532685154,-4.259918946967201 45.57168143739175 -42.407084014953284,27.269009162918238 117.10729697855585 43.16852081017241,15.20998733993712 8.382493862290152 -0.8725555641340023,0.3827316644002072 -41.26524324201226 37.80398925716193,28.44322465100652 -110.30841657802881 -40.00920855858662
-18.814234395714905 -5.329502121914639 -4.168981161140378,-10.322050595026969 -3.1555901141121554 0.7748408550280308,-10.691167387855645 2.2774508399925937 3.4631514979433873,22.831615808978132 4.214221694017134 12.029920413932462,14.784588514712627 -2.6086541252672695 1.834949893375001,-2.7812689585302275 43.537085198187704 -42.678745917930534,27.28175548390516 117.02519648214493 43.13719031575949,14.698814164985425 8.236090227709427 -0.5225682415911206,1.242556746197256 -36.076271441055376 39.663339168272806,28.302629589569648 -111.17998974026675 -40.415090209060644
