-18.7 -9.9 1.1,-11.3 -5.8 4.5,-13.4 -0.1 6.1,30.4 5.8 5.2,12.3 -4.7 -2.5,-5.2 28.8 -44.8,27.9 113.5 41.6,13.0 6.1 -5.0,3.2 -36.4 34.5,26.1 -122.2 -45.5
-20.917054442726677 -6.63307749360573 -3.839690789760165,-14.67521094436672 -0.5468457119930192 -0.545312974924089,-13.545956466418014 3.524185166189006 -0.5872019540052392,27.535185843262646 -0.5856791435518784 5.890304347533717,15.246424602338683 -2.5662856396043985 0.9499229696369905,-0.8447685898029479 24.507729025496985 -46.098455741038585,27.55439406883029 115.61740612154844 42.50987179961164,14.977762057850143 8.915111484048756 1.2111590337028386,6.06483067676382 -38.24130483715842 35.625598470725244,27.130823297661053 -117.40817646390136 -43.30175132771536
-21.027541464206408 -7.4585448424635645 -4.447250538064023,-14.441294669962641 -1.5058545476374607 -0.5678895350093672,-13.690257371879827 3.3921857308403505 -1.224199010726117,27.41914354840477 -0.6484599943483585 6.139340205514747,15.191756245720068 -2.290015614654905 0.5737200635260816,-0.9750667035463306 23.753420417469744 -46.048765162783646,27.60406482495521 115.37998854026398 42.38901936486485,15.00659564638119 9.204994460942 0.8385945827844357,6.291921788084615 -38.395207741701896 35.29788253633785,26.81366940126958 -118.91496809817966 -43.990162027229225
-21.057476252724037 -7.393185589771781 -5.504040771675961,-14.32351007265887 -1.6014853958175657 -1.1191369743696542,-13.410640994715012 3.544781010765702 -2.0110688167919952,26.96495362457606 -0.9310017076721708 6.917577223085437,15.22220502909809 -1.8336507570500757 0.9746951991388005,-1.322868392157159 27.623821080582136 -45.710695644907794,27.56616441159056 115.55227447393712 42.47157685564638,15.01910686018978 9.601267913872055 0.9575842929690738,5.844604415927985 -38.93074875651776 34.970494332517596,26.61317076792206 -119.9122873226332 -44.45229926870193
-20.967288851926227 -6.643686095349355 -6.577221250706049,-14.258819955110226 -0.9559100652840302 -1.95793952802716,-13.03130345153408 3.855147222772443 -2.5720395883141136,26.47957094365398 -1.2210555375884966 7.951630474600855,15.345040002809515 -1.3916628211136342 1.8181873596434115,-1.573628635012954 32.865275029368455 -45.270348275245546,27.509188373979722 115.79635962154074 42.59329726894675,15.046972437325405 9.957280434154834 1.4276948896203485,4.99856334958204 -39.625027426356915 34.6132672871983,26.517272455631318 -120.4462715842782 -44.711490378618734
-20.719702984245746 -5.475488870623292 -7.187222397829112,-14.171411987475564 0.2531842484566857 -2.801344317997553,-12.913299298241643 4.174762200920695 -2.500678041071865,26.300318350167373 -1.2810748815490658 8.928385380618245,15.56616164283148 -1.1782047666965894 2.713334775680471,-1.3974173350915713 35.86667276812112 -44.93453491197053,27.509561996628097 115.73573208023029 42.57095891225185,15.127567962920278 10.112207499383034 2.071899601421135,4.071643337337098 -40.236178391208796 34.17939796921876,26.502925263498668 -120.61212863829758 -44.81334028167465
-20.3267103771842 -4.199017035930636 -7.149501098635264,-14.021998662047311 1.7107990685944 -3.4287789175772105,-13.156687294264852 4.385210794497689 -1.731103117188737,26.459070763252676 -1.022390059008811 9.67781143523261,15.846803500650251 -1.2705352666038112 3.3731259690662307,-0.7679744718321367 35.0704119607685 -44.75991219810248,27.59855941663967 115.22156859177804 42.330955206072666,15.260836982300185 10.01319718820431 2.699871930074137,3.2695026064754735 -40.675445418034215 33.72678818261445,26.56752980957451 -120.39394905663589 -44.74551495944476
-19.89432072467759 -3.2105300545412763 -6.842512234044289,-13.84099266491671 2.8399052674198577 -3.7387113029869186,-13.363468808672401 4.425530967506967 -0.8473084135639439,26.404817865331445 -0.6404327131155089 10.302924983215833,16.06296138772902 -1.484678091463989 3.708726618908434,-0.23853259832262141 32.837590996746655 -44.51659609049821,27.721292990162745 114.53954336374932 42.00885771813151,15.375291606593889 9.813441326473903 3.095905553539202,2.583714227963693 -41.14624989982719 33.5131483754785,26.747511031827592 -119.5637788685491 -44.38511570549029
-19.538818426325687 -2.914431881129575 -6.706997644301912,-13.66663119232099 3.036222806532018 -3.6436734970550297,-13.080950557986059 4.241645382377133 -0.5046328606289269,25.522971162586853 -0.3621725955254511 10.937090443660233,16.081420171768958 -1.6077751961316609 3.6541751170729784,-0.4255881702516055 31.963443473421393 -43.943427157620455,27.81332696025092 114.02348526504461 41.76342887006808,15.391564193892245 9.688904817643655 3.0424158600588362,1.981703158024862 -41.88409800296753 33.817410865539756,27.083391858255098 -117.87143042770882 -43.59762607932313
-19.317216758068387 -3.415304193080859 -6.979846253560645,-13.534429664591917 2.1359664058799677 -3.1908194395426532,-12.117808634191102 3.863710011350811 -1.0131460264088326,23.590685646026714 -0.33292486223765033 11.642574261685542,15.843417227751122 -1.52548502674578 3.260095736035381,-1.5672623769495169 33.94198056422435 -42.96765319127112,27.83831172938283 113.86665226199065 41.68734161594461,15.260727740489473 9.736483934256613 2.5157916216410605,1.4163910645731133 -42.970969959654795 34.6704702949795,27.557944354601748 -115.38714796018631 -42.410718579572794
-19.15617270760649 -4.158322927085069 -7.44960877593476,-13.473917440341014 0.9441406132689694 -2.7233800183667167,-10.85755455571594 3.507137000932769 -1.9235589625585672,21.246686384469857 -0.5184199178529676 12.325275541688114,15.453934970396142 -1.3401355194294866 2.83352264433732,-3.0695073473631753 37.405406294626026 -41.93089014088767,27.821668209308214 113.9531416375588 41.72791688757154,15.000804009006393 9.879177566707929 1.9190315471991997,0.8088022139805919 -44.15119303227126 35.55770658091041,28.026927842783852 -112.88590856938437 -41.208771412324985
-18.965095662185018 -4.501515781045088 -7.8454378605508355,-13.513755227180633 0.39373567713728086 -2.623550815054617,-9.759803830488186 3.4117095652756504 -2.686032430526261,19.243698752593563 -0.8604995840020871 12.870408537503142,15.039701865695257 -1.1827642627305677 2.715249594489029,-4.228167589987266 40.606477953447985 -41.22948662812754,27.797001274404593 114.12606173088382 41.81320101299615,14.638781433404393 10.016934396120567 1.7114324917098978,0.07591090024232272 -45.12443696259396 35.89262289310138,28.32936654765059 -111.23559033814388 -40.42319139200149
-18.695979083161205 -4.059500525731693 -8.01040008952545,-13.652538372956558 1.019330052710473 -3.089215548119661,-9.115948145116459 3.6980210910419604 -2.9659314398558245,18.055047609875437 -1.3063906445075764 13.216067328060788,14.707696006639699 -1.1311149858150658 3.0928051177509417,-4.6099703389968 42.39956804788511 -41.08561253580697,27.782346423288068 114.29461718753159 41.900796556840106,14.22515834754446 10.089113447016626 2.151443360348769,-0.7836776166681594 -45.70809479629387 35.3926982106278,28.375075791702983 -110.9304833871086 -40.29883890443433
-18.409091822246268 -3.099307620930709 -8.077202616442484,-13.812417248543053 2.3424898582987077 -3.849621730385691,-8.789648859792335 4.183609764874385 -2.975804999138303,17.443646694285906 -1.8170118301352267 13.434799630731964,14.514677666747087 -1.1274250449070748 3.7640215501626035,-4.470396393712894 43.16873181207657 -41.27856628992193,27.756152048989186 114.53607086565057 42.02345655063563,13.870209977045297 10.135279522827137 2.9868317620578337,-1.563801028970869 -46.018885957473934 34.54830842524964,28.253866210047686 -111.51498322768553 -40.6062564643774
-18.181634643396812 -1.9900556089467918 -8.223863920867455,-13.903586664923639 3.726282989915345 -4.5607112549071305,-8.577659495233888 4.6386123042994685 -3.013814264032328,17.061296053138186 -2.3554201675754967 13.620189101998026,14.50953001045236 -1.0927301352104237 4.465770737366189,-4.1726988582079665 43.5374529017127 -41.518346771993464,27.690682772468747 114.95393287792946 42.22567083009859,13.693543051967316 10.21067579025314 3.885466507677815,-2.0258703235691318 -46.220330619347074 33.97071950498649,28.083713441738247 -112.3848415561156 -41.0417650959374
-18.06264937036769 -1.0116200443181314 -8.575180514886831,-13.854598132112496 4.6917739598634185 -4.97414224511521,-8.363039795718674 4.899302679254827 -3.2909074826093057,16.71871032542741 -2.877612057258189 13.84363052769084,14.724308551317677 -0.9691699852994862 5.010892940027918,-3.983047658907432 44.003035962273586 -41.57552466378316,27.576905131024155 115.56666166554662 42.51369704845946,13.779035041550507 10.354840325049688 4.59927803491697,-2.023285255654736 -46.388970653616376 34.102185544070686,27.957648359388727 -113.0577890095256 -41.36497239445974
-18.01813256389221 -0.18068449570600634 -9.098988731824997,-13.648140030626914 5.225984822252253 -5.123855448365035,-8.283380499394577 4.9970042998431925 -3.76082795142058,16.6952689496625 -3.3187609723043576 14.111080130044606,15.141441342398855 -0.7611235269826296 5.436271545501142,-3.8812987500172085 44.69066335709318 -41.399306669808325,27.46094063405224 116.14188455244451 42.78103997735456,14.105192053714607 10.560994353010825 5.128108097151365,-1.6807353165673158 -46.344834871681805 34.88651732133103,27.895135690185352 -113.41129182433576 -41.522128276222006
-17.99884672379404 0.534348159960711 -9.734331680243665,-13.276831763569886 5.401414217271079 -5.0955743450675115,-8.522964238961126 4.9988210041382235 -4.330136554015709,17.356324577540377 -3.6102205684078044 14.416489893755859,15.734252633251772 -0.48438702977705744 5.819889054010401,-3.7947858306093245 45.657254272223526 -40.971668998255765,27.399028577008426 116.40121568398092 42.90052067687001,14.631190572050603 10.813862604311481 5.517276009578921,-1.1726761638825072 -45.860896594448114 36.17608974616079,27.902144976886447 -113.38880716566713 -41.49372085944068
-17.955554349896836 1.165075045753183 -10.420252468704568,-12.733292734044397 5.2905607851091485 -4.975022415633556,-9.266073647117851 4.971856630213591 -4.905394173944272,19.067229860757955 -3.683344501262352 14.753811803521147,16.476066673432328 -0.15475676319996456 6.2397279657802605,-3.650842599755809 46.959727893716725 -40.27458785731231,27.44740825534815 116.06626920551372 42.744960207091964,15.316207080149495 11.098169809126603 5.812101087397585,-0.673563455175934 -44.71012914282008 37.823277727953325,27.984645762250352 -112.93379219864086 -41.26023826233224
-17.83901794202427 1.7430932847425682 -11.095794205769444,-12.010142345153433 4.965923165955704 -4.84792314047408,-10.696991356564313 4.983215016142961 -5.393161694755849,22.193337451012223 -3.4694864265618106 15.11699784403702,17.34020771249645 0.2119710032314573 6.77377078103528,-3.376802756528689 48.65500340762487 -39.290039455164774,27.662318964526868 114.85865926240079 42.18717962810658,16.119418061602303 11.398640697631132 6.057902645805302,-0.35785284802321926 -42.66550583770243 39.68045617610198,28.14860758903543 -111.9897040883781 -40.80216860311319
-17.6 2.3 -11.7,-11.1 4.5 -4.8,-13.0 5.1 -5.7,27.1 -2.9 15.5,18.3 0.6 7.5,-2.9 50.8 -38.0,28.1 112.5 41.1,17.0 11.7 6.3,-0.4 -39.5 41.6,28.4 -110.5 -40.1
