-21.3 -7.0 -6.7,-11.5 -3.4 -12.3,-21.9 6.4 4.3,33.4 -0.7 11.9,8.7 -1.3 3.4,-6.5 13.7 -47.9,20.9 41.3 7.9,8.0 10.4 4.3,-4.0 0.7 43.7,19.0 -36.5 -6.3
-19.518381118576617 -11.187437473751126 4.2890422564317445,-13.31906467897056 -8.193628531685205 -0.10214118859973767,-17.597671464357013 3.1206568774399948 11.06925290743666,27.812495030089302 3.661081599130581 1.4533810884029308,1.9631076425031535 -5.019104383560623 -0.22525723458564634,-8.567727014739171 6.772797953006442 -48.11361138159552,24.065966452179318 50.501145746972455 11.463577703843512,2.1826125548930118 6.188885976499162 -2.2745628043309427,1.231490480281924 -1.8020508482623765 43.53721110728369,18.932772893235146 -36.38505458623827 -6.229070515691702
-20.28895318108771 -12.778182272999844 4.844054553906758,-14.283175461798079 -8.770277458047435 0.7582422207371751,-19.212711315101025 2.5697667486534215 10.972830537980036,30.680454181389962 3.59289794214558 1.1684126833311699,2.8082483845045005 -5.020713151190211 -1.6117031140315277,-7.135624227773582 0.03184124638691695 -47.51378148989342,23.492605958942384 48.79980976793022 10.81431048606143,3.2483936701937637 6.2958858400371565 -3.026126601080128,2.372505999237404 -3.0823579504222356 43.76587214997655,19.603397468065204 -38.11329023147473 -6.829958556089217
-20.960005183924977 -15.392953307979017 5.346235595613558,-15.331480897175055 -9.095972175139323 1.4441680201922935,-21.90109688153258 2.251289761117123 10.289980723679072,35.042369365493514 2.795446848263403 0.771673230671021,4.032852106367095 -4.8629157391814015 -3.2728303099194695,-5.691901713045793 -11.521376917831239 -47.06276093625665,22.632529546122367 46.245211601841596 9.82881892773092,4.739195561792602 6.605610398829523 -3.8511166064358915,4.721606165692782 -4.487277045499813 43.88566802540265,20.52311684830935 -40.477879360419074 -7.6599027711270695
-21.77303767323296 -18.204456417345202 6.06969009314494,-16.494166851428993 -9.200923639610052 1.4671947283471112,-25.04379555878472 2.322911872559147 9.78475301945111,39.97927799945084 1.6016790857969598 -0.09087264645966488,5.2899818578158975 -4.6893449350346605 -4.572764192989757,-5.22052108021041 -20.30571429116173 -46.78540395199856,21.850940032958025 43.95909421115163 8.945631510282158,6.2011338657718635 6.919835845738436 -4.428329744734087,7.744260321189492 -4.982328616681604 43.89703321789262,21.006126317004604 -41.71524121044747 -8.106939651885964
-22.842317345167064 -20.481051834109092 7.116565293947619,-17.743262736762418 -9.115147546653851 0.5746761681184861,-28.047694844565353 2.828709370902728 9.974400013220304,44.62246868724134 0.3457929691066486 -1.5458130460649735,6.297639889429685 -4.604658300613082 -5.078845294679915,-6.283473701579149 -21.380661375807193 -46.731575060469076,21.40021136280536 42.710133277275105 8.466211212495757,7.279984880468957 7.091350891149049 -4.549304165851987,10.906940289738793 -3.829959771682348 43.79626514599164,20.632728801443527 -40.744707694014416 -7.79291402098255
-23.877516540059514 -21.795273783254974 8.04219626112348,-18.865864686257076 -8.868038674290823 -0.7362219811264117,-30.402106270792313 3.4514880867684634 10.591377952249653,48.26302513930743 -0.6340460820779334 -2.9964703213079633,6.980330370414708 -4.589575025159896 -5.004623524221272,-8.100916395460652 -18.20272807424483 -47.03066968812578,21.173929889397463 42.14427629928487 8.2561627195079,7.938438535691572 7.135160327628165 -4.364086887602019,13.67930571643221 -1.2368226107403208 43.566505661022866,19.82943011373567 -38.657223182683055 -7.083164129016158
-24.50806896069389 -21.77998581531211 8.293475270740492,-19.612393940366175 -8.488868814207128 -1.819631287126825,-31.612691642416703 3.8024072364074093 11.212500348989579,50.2237279532694 -0.998888248527403 -3.7027299801881557,7.303512219249882 -4.6002342768087185 -4.69180672638755,-9.626892272565422 -15.893731027285178 -47.82785454108051,20.994526884484127 41.68481032887267 8.094650861491212,8.202036653426228 7.098440417927886 -4.093825361516171,15.53165183414681 2.4031704042023803 43.18828906351438,19.19055660687729 -36.97441051641326 -6.490479445162031
-24.50882165540042 -20.338015320617288 7.533609755372254,-19.853484388415062 -8.016935156650023 -2.233885749035808,-31.41425725703779 3.6277662061359335 11.50953718089698,50.18750700866171 -0.561714434266254 -3.203400901468606,7.257727322799239 -4.5911884271428445 -4.410765923092656,-10.119339248154477 -17.872115228526862 -49.163698212108116,20.763211556926596 41.003434246007394 7.853937791707033,8.109405044357034 7.032992607484162 -3.921144624705552,16.149637337990598 6.598387166093458 42.73932311682805,19.176667953295304 -36.88859041598257 -6.423527571172389
-24.193241375226762 -18.37215184975446 6.227051385886673,-19.90504473927877 -7.528669565938709 -2.2936973482942853,-30.390374276618143 3.174431630428634 11.505982833945868,49.1713066004723 0.30173399831298586 -2.070440761066091,6.926426378490806 -4.511112258704521 -4.1676362906537765,-9.961839714404388 -21.246935520412382 -50.69133164513077,20.672991292074883 40.69197915507735 7.751123699412172,7.7476333934855 7.007750294187639 -3.885980394223793,16.01664002902413 10.495236175494586 42.657251884991624,19.752844064250773 -38.372328916850634 -6.905302503210102
-23.99947643095611 -17.016659667632158 5.023726632635641,-20.186057463769224 -7.109099969737643 -2.4888670690392902,-29.321088902194504 2.8051431891351912 11.306750081944424,48.500873314413454 1.0854459411088908 -1.1149641072102952,6.414566937950193 -4.307319989308367 -3.9073867739991863,-9.798544157049111 -21.666727196884093 -51.97420037131003,20.984419930763394 41.55527156395264 8.083133080265767,7.215029971784349 7.095612639792767 -3.995238167671697,15.800696497912586 13.156338315515107 43.463038737186466,20.76946947479056 -41.11583900297734 -7.8695211715395885
-24.277170571069934 -17.122061865594357 4.4313537546525525,-21.032890270301344 -6.838320591780418 -3.174475508166276,-28.848841083534627 2.773678134803254 11.049965235001945,49.25517281110289 1.4160771871059854 -0.9267361030614488,5.823160473322108 -3.94845180025958 -3.6135684672918202,-10.084839658823181 -16.185547981765716 -52.64567721547375,21.852957027500924 44.081551369115296 9.030198532284967,6.6115880766697686 7.345084774662666 -4.261992091399256,16.062165725218716 13.877336632257085 45.458148844183775,22.05830201777712 -44.73539505962973 -9.212168857261235
-24.99363112527848 -18.31313021395389 4.343316825010866,-22.42501816513961 -6.775112238241673 -4.123616198244944,-29.021616880771116 2.863100084978801 11.017235845254625,51.447086329430505 1.4933996097655404 -1.139300797481219,5.236171540098897 -3.495275242298105 -3.4364059150031334,-10.460662419242054 -7.929260242255585 -52.64121831137067,22.980058727005243 47.39141607572752 10.268447993978397,6.044580257148783 7.699290520457308 -4.725964645018399,16.8962434190397 12.960521252785894 47.99582332000162,23.370632865128915 -48.52785947456871 -10.666231519852502
-26.01294450972836 -19.883715427777886 4.487145625131833,-24.24556438434947 -6.97250164551983 -4.952261263806046,-29.726915226608867 2.7293921881594505 11.52890567764528,54.8016799733839 1.6719115551012638 -1.1280473470928594,4.7329624685494736 -3.033429865718181 -3.5711211689383893,-10.345798055769281 -1.6629560696863916 -51.97783444877565,23.944612032215158 50.236235226012326 11.337914224500931,5.623244271301823 8.072903479545943 -5.434072666745664,18.272543272308017 10.979950899131317 50.17330738447772,24.43602927797208 -51.703861683194134 -11.92068953087893
-27.194851430835858 -21.223093502285348 4.644998281908764,-26.34119229467772 -7.462531354901982 -5.339293126944499,-30.829254507735747 2.1234090623605444 12.772965190840692,58.939685861313514 2.2037707230274393 -0.45791643856711606,4.385261176898402 -2.6463971931113157 -4.150335690626817,-9.347908979325636 -1.033088150596538 -50.732457507079005,24.39847473470376 51.58191944442897 11.855687698877919,5.436010894495564 8.385437563428416 -6.387733466041927,20.068105433844863 8.480564063703596 51.21810681865776,25.03141679280923 -53.5973477996959 -12.708179307135355
-28.37718859302483 -22.201724183029718 4.874495511943385,-28.374733247151315 -8.171436900387327 -5.280815745993656,-32.077292203858406 1.2743805662245644 14.270043945657465,62.95578123247468 2.825095973562777 0.3503655765706432,4.226301367193463 -2.4067754822107648 -4.991019859741879,-8.021995838507626 -4.045525656663999 -49.28414977667983,24.361450904431013 51.47617722556996 11.827413526174025,5.466396834998012 8.580814951502347 -7.358943997302171,21.693201422865283 5.860446483279926 51.01455328519806,25.172514702535654 -54.164063685276595 -12.981465224563163
-29.39090449166842 -22.84138633365424 5.319883476093271,-29.951208455867086 -8.992180408426723 -4.872690569163292,-33.18325071088592 0.5619724770578627 15.330904768135504,65.77921346629027 3.109726077053788 0.47550391781516643,4.277211364192832 -2.3837405018582882 -5.810880430996089,-7.220971226274367 -6.932328643221346 -48.10698529205664,23.969053644156148 50.30691288224954 11.380926611995593,5.66492619877598 8.610633555294367 -8.04755479315155,22.411316801380043 3.4715027227753605 49.65353220729819,24.95013639995666 -53.55529420111752 -12.762535876716674
-30.08666881165273 -23.162201203197096 6.066536176761374,-30.731699426947618 -9.8079906003058 -4.225929785538813,-33.91638274670987 0.30385187195278884 15.403886346303597,66.55262373858345 2.7250088576711544 -0.6942666645640978,4.545684403166722 -2.6174732288489877 -6.3569628580403785,-7.58684824513675 -6.693533992947978 -47.57934222882629,23.35415080521039 48.458094261024726 10.647615612802902,5.98104631636769 8.446314250126653 -8.211328880234166,21.704686068933693 1.706471459874015 47.33378159755152,24.451155177239446 -51.94232114197937 -12.090931655741976
-30.431474619332615 -23.17418831683169 6.852434129182047,-30.70803574371292 -10.444763657190851 -3.540684539815381,-34.38236398958374 0.451715763318122 14.749152548347167,65.67752994470709 1.8901245460431015 -2.534333888160744,4.960204400315168 -2.977161045117506 -6.5495554539451275,-8.517188648895239 -4.862250511609455 -47.51501414858314,22.633760432702807 46.289741085904076 9.77956493812664,6.357925094255538 8.176170173489101 -7.94973184814911,20.34596303100745 1.1990158341602275 44.88967105444747,23.73904538123642 -49.61394021508249 -11.109558213614843
-30.434811472606533 -22.88367673082159 7.288644375104264,-29.99287938524218 -10.707450428573734 -3.049671165435653,-34.80977572203058 0.8235610977404226 13.923451828179815,64.01535617591779 1.0258546407321847 -3.968398916448758,5.420317683233603 -3.269522138819508 -6.372237450745991,-8.95491802492227 -4.62765692155758 -47.52153457325882,21.91911015241675 44.153124098752514 8.93641978952608,6.736436373120898 7.931218783946194 -7.487063691184283,19.579231161220026 2.6708160650910977 43.38778584948825,22.86873300790831 -46.90187855660021 -9.999083695412535
-30.119343229544977 -22.332903470272132 7.081887245054985,-28.737938893340864 -10.459794400071466 -2.9299548559400788,-35.35634707334671 1.2413774343577626 13.440667639066277,62.34577520933025 0.5134071019065746 -4.116019659544274,5.8192880152949655 -3.3352181707129307 -5.846079856096448,-8.036778315658852 -8.593859695840907 -47.259675573231625,21.323853875829624 42.402363850442796 8.274236671908785,7.050336177469593 7.819712084945702 -7.044053523211225,20.451298675380567 6.5509565265868686 43.677487428181465,21.913991011346507 -44.16181812604992 -8.940569753211882
-29.598499614630573 -21.812718946199254 6.602347150621656,-27.363990947749976 -9.972749626877365 -2.9730187499095933,-35.688071813337544 1.5561596801745106 13.514916595928797,60.87783062732142 0.45797901507243066 -3.457202863644711,6.007183317342726 -3.250525426757914 -5.251046655337313,-6.245865671914179 -15.297835534034713 -46.76086478101172,20.978500831668338 41.411398313136196 7.9241518035764305,7.184130343275001 7.791870102785522 -6.81543517489784,22.638503460535965 11.242104969611912 45.1020157578064,21.079149211882957 -41.914831305788944 -8.117416255037014
-29.024108756519666 -21.71914920064144 6.500886283997703,-26.40564122053036 -9.689540166692309 -2.8072259037429137,-35.26291558596505 1.6311734240559075 14.233499268500312,59.57916193252971 0.8480013559573514 -3.04749172196802,5.815797554540318 -3.1913967119122164 -4.976626235304668,-4.634849974111099 -21.555966169321454 -46.213335274224086,21.02069087286696 41.56254919819453 8.006758901832884,7.001489466131489 7.731057602299636 -6.984945199735907,25.237407374790415 14.289655727396683 46.367447700811596,20.623769374585326 -40.75195872233628 -7.714012248705523
-28.544245711673582 -22.355439209263594 7.322186599585041,-26.317791329031056 -9.972554105709685 -2.118192404874877,-33.66574028775408 1.350535212407592 15.614461502929702,58.440654247503716 1.642488529940836 -3.7884597623181553,5.141900427769115 -3.3171846175646116 -5.352573663503826,-4.156525588639917 -24.46050772671473 -45.79771291953371,21.551468319270395 43.13218458917634 8.605603681828637,6.423836208808843 7.532356351394302 -7.688027278600731,27.389654442694056 13.54940608712711 46.323933223220244,20.767403593452745 -41.16725268596816 -7.882370495519239
-28.275213309770614 -23.264020801332073 8.735562796710505,-26.90107709854635 -10.518963424581068 -1.0638814765212568,-31.52384204999179 0.7682931689207294 17.113947699580145,57.6500864887158 2.563618326862032 -5.307409795371291,4.413451905773832 -3.648758137903413 -6.217604866368374,-4.9313771565230144 -23.40700830303526 -45.627918190685044,22.372793622239527 45.531104561999214 9.50196857082112,5.844862567304922 7.188492451131276 -8.666038222754182,28.62199895930639 9.43723889243964 45.01686672876046,21.401232705542125 -42.860619488196654 -8.510057749700785
-28.317799792462843 -23.615815725564964 9.982881966859614,-27.636652050132227 -10.701110689374845 -0.03290656566358961,-29.973544520585133 0.0214741279776835 17.913722074439388,57.49138211165743 3.217919654133821 -6.609409830786536,4.317795670809591 -4.1393638126495 -7.170658117020475,-6.673466986865575 -18.91572866604395 -45.7852988778219,23.140582606281512 47.747446621933946 10.329538837733258,5.888872769883296 6.739872374878475 -9.467899624158676,28.64924710640067 3.6191436600608666 43.07528836838325,22.256091695983653 -45.144178678421504 -9.355510034943569
-28.751805862671784 -22.696601011878492 10.385574693355839,-28.05302196509107 -9.984358469407082 0.6259106603973399,-30.01897564908832 -0.7576746815103313 17.3135812225587,58.19857699635851 3.2618147424502073 -6.8014300452516245,5.44350723475333 -4.736356778208241 -7.846657088893925,-9.0594624808587 -11.635769804338912 -46.31952977123171,23.543857512959995 48.86824998037608 10.757799159088663,7.08832198742972 6.230992149734423 -9.695157648326665,27.27096352510521 -2.2838885986876316 41.11332617582209,23.084760263700993 -47.39968602772033 -10.204509503598185
-29.454452375537205 -20.93075787557845 10.064986155492074,-28.15903706178982 -8.757784922775226 0.964914868905214,-31.348408959864333 -1.4887225953484255 15.776367421897572,59.51543610927117 2.843333508797726 -6.019854628857982,7.403982272320843 -5.334381362809404 -8.245365812827327,-11.42995849717191 -3.392234459478371 -46.97516716104619,23.602395869663887 48.967752997026246 10.813216000382889,9.069497106717566 5.742888742562614 -9.472505039103856,25.09659850929061 -7.169499569850561 39.56211375313074,23.863433678668724 -49.709903205737575 -11.11660251371814
-30.189114792274594 -19.38253790125386 9.591995843506002,-28.233490508280305 -7.9295759383321425 1.2618973343819853,-32.91063689352981 -2.12035871266722 14.418528900723077,60.91020300690948 2.3867785168007214 -4.979575679321258,9.26458695813576 -5.798459586311365 -8.571580531219356,-12.936684558611077 3.328887651856255 -47.325297488721844,23.52185235898591 48.67497811870472 10.72287169702301,10.949438480888857 5.37713432018577 -9.21863134674398,23.19074017714534 -10.226791044612026 38.749945879110626,24.693861820431923 -52.55154169272025 -12.305184852023544
-30.722648434058193 -19.023955674974015 9.515053125738994,-28.51745641267103 -8.31612369424451 1.7837196127530435,-33.716985377384994 -2.6011631212452504 14.270752732843576,61.86697459527341 2.2804039939597707 -4.365980455682519,10.153511090240205 -6.013379867339789 -9.008434377552062,-12.822077648004052 6.219135448948008 -46.98978313447434,23.49760294130682 48.587227269755466 10.702629816462483,11.902870489950832 5.217769062668332 -9.317453680294571,22.51375153788944 -10.74143602808771 38.959730907878544,25.656638568976206 -56.3011882867959 -13.937964900975357
-30.877081031729233 -19.672042022320586 10.06373704404514,-28.77862396630097 -9.599603195433135 2.641037355412186,-33.60133941423029 -2.874683766218304 15.282248049539785,62.08976505055613 2.45768305074309 -4.446667349396029,10.000123662524162 -6.097544869765838 -9.460718289550174,-11.407467314908379 5.119264127674495 -46.154426053124126,23.581501428319793 48.86132342854593 10.81199818161125,11.84093466144823 5.142368814019689 -9.710648758760298,22.755534072939845 -9.084065095688285 39.96005600794027,26.570186390697565 -60.12054670078306 -15.631643820934835
-30.510035419139996 -20.398676955657415 11.261903848996432,-28.47927273678688 -10.730436431821488 3.8437282108296102,-32.92826728138243 -2.881222049081696 16.70449627723588,61.42447065875295 2.5586816253399554 -5.219693547021346,9.250683472650467 -6.320076125361013 -9.653647594772435,-9.710242829352415 1.2566200301034525 -45.37015050568835,23.732806697080857 49.3699096082975 11.009609941480218,11.149880360046794 4.89530662079436 -10.054576920473004,22.786336665130847 -6.32528144882126 41.187688228052615,27.083784904514808 -62.387525108591355 -16.647434241876354
-29.498455154772806 -20.32889404464109 13.100364982944964,-27.12020210992737 -10.728134685840738 5.380948365843641,-32.05457890893643 -2.5655861515066167 17.806676979421518,59.73842080653646 2.2457551638297493 -6.648575352476522,8.347640698090242 -6.925618678384706 -9.329916768869275,-8.69431124789953 -4.108476867368624 -45.155770229880524,23.910198421289564 49.98269449141974 11.252690729550652,10.215475098198809 4.245988664049989 -10.020120558814881,21.534972024579407 -3.517844801294831 42.101064618772746,26.872452369412432 -61.59848743024876 -16.30060386353428
-27.983114387194465 -19.51150841299413 15.152703580693856,-24.816584079876286 -9.757345910125911 6.973594813608809,-31.10318201443225 -1.936837563881663 18.271124332031818,57.16757839793419 1.5641627307271808 -8.273508676492813,7.55842530794305 -7.778606978706254 -8.52062863994073,-8.406694499927795 -9.576746707896747 -45.49199937129346,24.085937642969547 50.594773166567485 11.502322444014414,9.305143653002208 3.347760959750204 -9.549738956441697,18.947746590731697 -1.2987854686578604 42.54181760510184,26.013524622710527 -58.102622944743445 -14.751410355057832
-26.299816338357235 -18.67821377119621 16.684078912378244,-22.137747683314778 -8.829226961447219 8.144261757771645,-30.024078922737722 -1.0515351621605242 18.085585015307963,54.046485834344416 0.8422137293098892 -9.321762168402442,7.021088683891607 -8.462415876959234 -7.470083503889589,-8.216633910607227 -13.646187593522889 -45.961777636980116,24.24232503479794 51.12000688323013 11.722437614345344,8.59882938398803 2.6377858554430365 -8.786646695275353,15.723119383760677 0.0021820732081116456 42.6348456229291,24.88173904445555 -53.618768070114676 -12.784745590076962
-24.782702164855262 -18.534708218151223 17.003416901355184,-19.652547378801213 -8.916771649274237 8.448005419409744,-28.77024219260951 0.02179572089356641 17.264677885551,50.71869057356408 0.40473043963041255 -9.070752942076384,6.857695268600975 -8.580577782335883 -6.4257687437595905,-7.520047498248865 -14.891597474283875 -46.16498522911208,24.35819161494334 51.464193348914606 11.8735987935268,8.261296754003425 2.5309022907103556 -7.884753114094416,12.567459330633042 0.08314211588097928 42.51029093207816,23.848299948136344 -49.839677627327966 -11.172330521748497
-23.657956756578066 -19.059306059580454 16.302749462841344,-17.737248344070462 -9.988461352689686 8.082523076731285,-27.416272503367203 1.0266915333563935 16.164374888104177,47.60306259175745 0.4012413533723397 -7.793344695875008,6.965990275273485 -8.199788871287442 -5.603811447007226,-6.449961615148493 -13.259401227285696 -46.15633890784675,24.34820945950598 51.385877370495585 11.856854164439243,8.229974966318919 2.9401607827817275 -7.101666933639079,10.01876303029226 -1.0011950714120696 42.274106279957884,23.102496205620394 -47.450430783474154 -10.204229661142477
-23.06045103576888 -19.615069683141034 15.521076839417852,-16.60521561316997 -11.16311843265236 7.789084942524742,-26.139648733113717 1.547722643910675 15.429378820907035,45.18218283078966 0.8330040761621638 -6.604391871116793,7.053980243416587 -7.77850878661504 -5.193812839237243,-5.762879958788372 -9.856203686429168 -46.37527539456337,24.072782302978194 50.51905103535692 11.522912143389636,8.25000346492108 3.354178018757174 -6.782710189479892,8.472610658967543 -2.8944699129337135 42.011783903240314,22.67974492887066 -46.283772099561574 -9.763102167959584
-23.10918895547958 -19.575101130364335 15.582128915272406,-16.447707766138592 -11.56751662076273 8.28776592027064,-25.121458993738774 1.1916367548801488 15.682375237005758,43.92365328677654 1.6847131348822246 -6.59719519870846,6.838956393000028 -7.76835043220847 -5.369588563691482,-6.198332672996203 -5.813099943783485 -47.24500335406438,23.402130486053586 48.525890983571145 10.73391387815017,8.072971765367683 3.2706151214315264 -7.252512264729816,8.29232837304279 -5.222438247698423 41.80517376342734,22.60429745184196 -46.1351760434649 -9.716381497460647
-23.641639464939292 -18.950117106661548 16.568736534655063,-17.088095694620925 -11.080815615029282 9.468191831330374,-24.55077728014256 0.1543429530290686 16.87176760107947,43.92695125001363 2.683326104259562 -7.823109554212548,6.368965315902901 -8.205085314234417 -5.980952367364562,-7.702345675263093 -1.99989411200777 -48.57438320890297,22.45627243201482 45.764431996687065 9.63414183982977,7.721533670393415 2.672907926302397 -8.32736187612467,9.239448584149155 -7.429189985314885 41.671157427294865,22.763464189670803 -46.57427314818441 -9.879658923545216
-24.22299711278089 -18.367475758337587 17.75049141008374,-17.993963626137337 -10.309812654935728 10.41685559000388,-24.624400788533777 -0.7984677272523032 18.29385662344234,44.93553812552134 3.3065414146635215 -9.325816950614872,6.01192935447162 -8.722321919090046 -6.56437357863551,-9.453541595166303 0.9663059643196019 -49.57813505398371,21.59680797421266 43.26567795706831 8.640739275824052,7.480491082656716 2.0142882691163004 -9.331928054189989,10.493504915453435 -8.783124690084447 41.56378508899538,22.912119071507643 -46.95227875443065 -10.018388796944908
-24.417120253425953 -18.454698208838973 18.381443749073348,-18.626519255086475 -9.87490485726704 10.22031967678675,-25.52102407492506 -0.9016340576862 19.22967157147632,46.66074356933025 3.0420112099254615 -10.131697816834357,6.135673467495135 -8.948064500888378 -6.657288718073029,-10.615117326575811 2.485917471803302 -49.477572384025486,21.184403092423267 42.05733315830325 8.169465084764138,7.634430515644203 1.7540543743597878 -9.588819534752787,11.22488126741764 -8.577024773836019 41.43331479056372,22.806593589383127 -46.62978014835184 -9.902610479429935
-24.05990525317127 -19.143732233642503 18.207596673429517,-18.673930229259838 -9.94783404086636 8.878905000572493,-26.908141174212616 -0.05159471762700735 19.276745779792225,48.32629095699264 1.9366427471613028 -9.930983237988672,6.7421525405993465 -8.811365049109503 -6.179730323871257,-10.793396617155103 2.158862565467355 -48.35155640344839,21.279528350329684 42.31147535509749 8.287866755873567,8.164333627020348 1.9864973913336945 -8.921617054311797,11.010779959577732 -6.97987754959831 41.19608966772589,22.39403358375723 -45.475454649581394 -9.486540991043782
-23.288010437063946 -19.597508068551335 17.51885053863893,-18.07528839512898 -10.204314115526214 7.403172814444931,-27.88806896466878 1.123754701513279 18.382535678512454,48.6168120165194 0.6556490200757241 -9.147849611836747,7.4288199006237425 -8.574110313869443 -5.474724496329579,-10.084618942164393 -0.19436630263635757 -47.22704276536275,21.610761864931835 43.254211876849745 8.67851342615683,8.715520192149521 2.4023610307515924 -7.707769976630382,9.878176869705118 -5.1293919459382264 40.730956943111046,21.832546947031407 -43.91971781660814 -8.928021958841622
-22.25659419972072 -18.96290365444989 16.632247283287846,-16.792695534214175 -10.300881162232242 6.835108183073697,-27.55723613171262 1.9684489417794082 16.52615298868567,46.23566879612542 -0.11490230710243103 -8.241008710816446,7.779296593464714 -8.509833173778372 -4.902609166326008,-8.616840256025556 -4.716456494148555 -47.15637636484399,21.89405955317031 44.07550036180323 9.009298037114966,8.922766048250548 2.6770440521150682 -6.352609151455925,7.890224957326487 -4.186616521159251 39.92416627706453,21.289663586116426 -42.418011675355835 -8.39381397392494
-21.228313105601284 -17.256293542924006 15.828020234152538,-15.155342115825773 -10.13178979797983 7.452962262334245,-25.867481835052015 2.184777823856076 14.182775293264323,41.59370368812138 -0.09697858234951932 -7.542968723381047,7.637224772532701 -8.687801887157763 -4.656075460885774,-6.7547941943039405 -10.61976886366203 -48.32495745666536,22.012113572235965 44.434182218181675 9.140234288965125,8.670830137142989 2.6887659167859757 -5.232855119794908,5.582506070505732 -4.331511484737828 39.00409243874482,20.878157043565196 -41.27770713734396 -7.991404813550642
-20.601752560845345 -15.593509767579269 15.339859116620698,-13.95659339660317 -9.891883992056211 8.569263110436937,-23.85229113683966 1.9280360701543475 12.45484348679079,37.26082677595421 0.4715024199003579 -7.226656451510612,7.175037007003819 -8.918997029175095 -4.7158291691224345,-5.162487608995741 -15.940288847732969 -49.821955718567494,22.058450031529183 44.58199106650487 9.174267945168854,8.160569003959738 2.57220796927126 -4.689051377659197,4.087976986468993 -4.503474504141142 38.63171914143047,20.641562760550535 -40.618942763098275 -7.753333212208055
-20.77467086085306 -15.143275208892288 15.393798596064684,-14.00532813990173 -9.792014427603245 9.442580150803344,-22.603269865381893 1.3830479878869721 12.462749122613301,35.90660676364157 1.317919721794737 -7.4504630534723795,6.5856454303025105 -9.000834736811338 -5.047431465986786,-4.513600952732414 -18.664566244430233 -50.67717922545076,22.1380558702702 44.803055107007616 9.227798150232553,7.611695006874744 2.4766887910871667 -5.050904731641449,4.5551750743286465 -3.584575670410161 39.47913767214423,20.617466959539133 -40.54571751449964 -7.706102497437206
-21.665028878172045 -16.187748350844164 15.98121992756675,-15.393577766487619 -9.878365430185458 9.733229302496905,-22.64571549421783 0.7581864665736548 14.206724022164671,38.24823209935765 2.0890356662412093 -8.156769827683387,6.031161602254103 -8.88175587071256 -5.538778370364436,-5.003117944805348 -18.08733952033863 -50.47140614229701,22.252164916839547 45.09804020398098 9.310124163393887,7.172438810055023 2.460302570872523 -6.220152835360044,6.989728418353851 -1.5753981200400513 41.38193710847624,20.767696703773538 -40.95455888644258 -7.814537314217681
-22.496168326040124 -17.725578040981453 16.753788588629842,-17.175569251445676 -9.958728200646249 9.683148643781701,-23.685061498952255 0.295916484740679 16.065306404086254,42.17636347732526 2.3149010689634726 -8.97523320138541,5.629106037545634 -8.728844955685341 -5.965327395129567,-6.132996651095484 -15.397256675238744 -49.58307290099154,22.251804068119974 45.0572340910488 9.2754930724444,6.887544581425236 2.4490748197973953 -7.4789477442403784,9.742636193209965 -0.09583462793823139 42.96467363412903,20.944399927380914 -41.44163082638517 -7.9541679666533875
-22.44582913139842 -18.663744556246005 17.339129037332746,-18.331910453595214 -9.825495212609495 9.578712772832928,-25.360802003832013 0.23852455909879053 16.30773088311347,45.37556949499869 1.524148564252279 -9.513881514372871,5.4916473860662185 -8.72436333458286 -6.0958688209396055,-7.352329750393726 -11.929250810979562 -48.4526427810603,21.978908617092788 44.24638212659252 8.968761539304191,6.792514321746483 2.359700075761967 -8.067964661395004,11.050634835392067 -0.8711314373835839 42.7736778583743,20.992800063262155 -41.58410636529822 -7.994952106123877
-21.329331140325696 -18.54843242725146 17.55017079351503,-18.39651417485931 -9.508198204656429 9.627437463356573,-27.183398697012766 0.6211585285228096 14.485153382822073,46.630936899043654 -0.1931175890153608 -9.587914769561047,5.595466348684743 -8.909757945027259 -5.854379443905767,-8.210174450392156 -8.877059035671351 -47.49137628032909,21.46927880144808 42.782471932660194 8.434500609538839,6.839688535332993 2.1820234832860295 -7.738299619553144,10.25909255986693 -4.070755963254774 40.55992113134024,20.87887220200263 -41.28782845165721 -7.909876763154061
-20.02056579752051 -17.987094659893927 17.507504690637553,-17.82194338252044 -9.430090366227297 9.905909472353457,-28.449081186800896 1.1350546456673127 12.277099068779346,46.55473867827802 -1.8145838553247204 -9.35649932143288,5.692293482008855 -9.092682084690827 -5.422491661919144,-8.42155869905849 -7.199991267476579 -47.06204862539648,21.080588114724776 41.69771663756365 8.048866386550962,6.8433349993082455 2.027341870458806 -7.088498480646645,8.554034852622165 -7.281121744288672 38.07443540188899,20.769074968054205 -41.004329491130356 -7.842988268151168
-19.488235997213987 -17.683605129092065 17.36033350444807,-17.145118582746512 -10.047748243965959 10.477135683883764,-28.43847209568763 1.4404579995622517 11.554130274109937,45.92811599104802 -2.235868719874712 -9.010599034589331,5.5148100787599335 -9.06023164863818 -5.005792184383771,-7.72023904331531 -7.827411696605546 -47.51920385974827,21.198528305140517 42.10380337231137 8.216787078546652,6.606561879104262 2.017568196043814 -6.793486957871679,7.288761198954965 -7.861620181970029 37.24646638770493,20.847791626743437 -41.2339304794275 -7.953588997384935
