-21.3 -7.0 -6.7,-11.5 -3.4 -12.3,-21.9 6.4 4.3,33.4 -0.7 11.9,8.7 -1.3 3.4,-6.5 13.7 -47.9,20.9 41.3 7.9,8.0 10.4 4.3,-4.0 0.7 43.7,19.0 -36.5 -6.3
-12.375328395392685 -16.47669609149741 -3.235547969677462,-9.052325732929464 -9.327285489720516 -3.586222547342054,-18.211795341306388 6.062416575214118 6.194895041604609,26.145342467431284 0.1186502849654183 7.936061709623423,-0.20377234088908588 -2.0174755987538573 0.7338486945140323,-6.173264620355715 -22.132356883759574 -49.72991798042747,22.670134712176466 46.128670530932645 9.772855824731217,-0.09371880564814135 9.192279104327922 -1.7089968050901585,0.7343898576748369 -5.529150837616329 43.78981621770343,20.567290979083584 -40.534809573166925 -7.728054611550733
-9.983263147780468 -16.53098541669322 -3.5122023569124607,-9.318035119732077 -9.554513517152154 -3.5935924049321155,-18.471132218723636 6.175803507606701 5.684497606540714,27.135304758037456 -0.29271334287351247 7.9699722725180635,-2.1635063514026003 -2.0554758762847465 1.25610533682293,-6.500427380621596 -18.012695972906656 -50.93798562361209,22.54969222027214 45.8303166199306 9.650591110771717,-2.056868857621899 8.952681724994335 -2.188111249786305,-0.9066646963728092 -10.278788580691645 42.35367062270689,21.056515582032407 -41.794319099174814 -8.16530912895906
-8.656797726664688 -16.26738730146838 -3.219552030452302,-9.79556890707486 -8.952553150653031 -3.639486460093177,-19.362853821557987 6.309390109950724 3.690646693637383,28.552921688766233 -1.7272250397504678 7.366878210237479,-2.636217493009477 -2.382478045059614 1.2225110343635806,-7.899592618723394 -12.07807157808163 -51.30773371677849,22.224229152488906 44.961762730154746 9.319400426109569,-2.584367161022793 8.71620717905798 -1.9082501036374866,-2.8812280492760025 -14.31138420888579 41.33565060942468,21.024546525503848 -41.660543688725674 -8.102523163784092
-8.624406541314842 -15.842679118023627 -2.6082087759227095,-10.422509358171824 -7.822855551983761 -3.7256255850156035,-20.66333773124975 6.442264691964984 1.0418337753819105,30.110341909803775 -3.6150711969002134 6.4072260173489415,-1.7864739069466768 -2.8219211060707177 0.7612057979945382,-9.67577700510562 -6.677067271243828 -50.84453656654844,21.82840735415272 43.89420658026079 8.919250277854138,-1.817606464689751 8.58388170696347 -1.0687504871791549,-4.432177507212412 -16.807455163736787 40.86067617645969,20.583142871834976 -40.44956328692248 -7.657652034623463
-9.744523313841176 -15.464361692353148 -2.1405958987450857,-11.119581518421384 -6.71422879016222 -3.8579233450581794,-21.932869252368363 6.504124778296664 -0.7579185812483709,31.505180889087818 -4.8973443891373405 5.613398917023029,-0.30020493233978907 -3.0921530078447454 0.2130932967264125,-10.632140413345756 -4.898095217823219 -49.94996787463651,21.601773212616713 43.29640958409773 8.697882629727644,-0.3935478990244696 8.64328351868195 -0.17596783366682886,-4.597486670302557 -17.13939891158513 40.906919723198946,20.09084147351951 -39.13525635264969 -7.183439957006943
-11.82085879509446 -15.326265913021462 -2.2257862608146817,-11.805621862692302 -6.137207845930602 -4.0379845224719855,-22.75589432039273 6.431459631003885 -0.40870373536427107,32.451649435949456 -4.649495781173705 5.448663769308805,1.1619429029081427 -2.946831236282377 -0.11447239028422779,-9.738106810127368 -9.29211045409813 -49.015950408206145,21.752799681156766 43.75014311444035 8.870745015290147,1.0709379402879744 8.962982523034526 0.30048024961402964,-2.6075449180289323 -14.849604278620651 41.43895281181368,19.869289653425646 -38.589611504158384 -6.995214767937789
-14.187060583317093 -15.498395425772124 -2.788965502085813,-12.383427104601324 -6.250923773309508 -4.228911048314544,-22.94137099218959 6.22336264204408 1.5440909084900203,32.812180407823156 -3.163622322966669 5.839779876871499,2.187470205165236 -2.4582999672948183 -0.22199049214152025,-7.464032421838149 -17.59770447869083 -48.33086332284469,22.20895125706038 45.050319476598204 9.3612896390157,2.1598021118002353 9.443121387375149 0.23139690865175563,0.5870598160546121 -10.983502345114807 42.30696807165769,19.901059829195905 -38.74914870478329 -7.065080785880564
-15.930450232233941 -15.985864989061204 -3.5017490247439085,-12.74738868089486 -7.030362285811675 -4.373628298675107,-22.415907862645593 5.9117334924934735 3.5880930190404836,32.52687909959566 -1.3693768805148716 6.432361798886445,2.4939135168311806 -1.8659039837438238 -0.2712838543503163,-5.06680333701335 -25.031657692217905 -48.12882606853807,22.750436263512707 46.579515142693424 9.939955107030478,2.562231754509391 9.895582263530448 -0.33402485558452527,3.13430815613387 -7.37415974868115 43.30122041958658,19.991039824953933 -39.06017656592253 -7.1852837480902805
-16.255750518605392 -16.772296373794074 -4.052587767195755,-12.811419269922007 -8.410649976524565 -4.421042740818071,-21.149197678040316 5.534273857153064 4.346877936239064,31.567297636335677 -0.13058821787934946 6.890213308035292,1.8667640530688254 -1.395683126878384 -0.4098803795167257,-3.709306062152324 -27.26536197923251 -48.59860590900763,23.16664755489364 47.74621864252425 10.386239280629365,2.035662464949099 10.148494452311418 -1.3192905074984789,3.3923425803743217 -5.665433220639286 44.227611741320814,19.958352433053026 -39.01004807233937 -7.163773870406092
-15.635866401839325 -17.61940582695519 -4.33216006482663,-12.697264314050337 -9.921340642022704 -4.38538112925782,-19.55691729685328 5.187161503101505 3.9761681603899963,30.23127418106562 0.4465657341336094 7.096296489813569,0.8001257319648918 -1.1169755457335715 -0.6186358234765507,-3.4840353778710362 -25.027307958625574 -49.45301455583574,23.358134675355164 48.27223112632734 10.590005306993394,1.0515729652128263 10.210546479378962 -2.374985231426838,2.0324735681993853 -5.420854361667919 45.06359422116759,19.78968337333288 -38.56719460515484 -6.99185326626997
-15.307531659836824 -18.155255427797567 -4.352946243157463,-12.651847370240553 -10.847710723298535 -4.320212766067364,-18.32336075429902 5.0017944718273135 3.5545016762466464,29.013169669538208 0.7122417486064114 7.065572946371526,0.21490140558392556 -1.0047376277510551 -0.778018954544988,-3.8387868579257938 -22.091887543366116 -50.11819468202352,23.292397079068532 48.06806260018289 10.507589579083737,0.5115116664437107 10.199178074497217 -2.987313748143003,1.119237592547521 -4.950970533775974 45.88994515214064,19.572641872268516 -37.98980208401024 -6.771257285949595
-16.403976497413687 -18.0415559084681 -4.140507977306324,-12.895199106219351 -10.54238622367844 -4.281410179549827,-18.08139489742234 5.09823716148875 4.075442409254975,28.375860126231125 0.9912523467642481 6.82865689681664,0.952481205596985 -1.0296930387887322 -0.7772208784688468,-4.235664085142322 -21.998186028382932 -50.06338076949713,22.948001859947905 47.075538506357695 10.10834528032905,1.2393430435582857 10.22756323321345 -2.687113213641527,2.546034684875507 -2.7112912252922685 46.76799649042395,19.387177681237606 -37.515333114892236 -6.596400526059247
-18.601819758914964 -17.393422993420547 -3.866162458306128,-13.281753394038839 -9.26142671960014 -4.347366396969813,-18.759622684571728 5.4455570882011255 5.284781400360395,28.345423819880068 1.204451378037879 6.5929810889137785,2.763360676574967 -1.1250559292769606 -0.6345072552710069,-4.43279255564074 -24.743882861652303 -49.358738048651595,22.433173724876028 45.60347221364132 9.516271626389532,2.990829429326959 10.335275671436852 -1.6043632924410343,5.7749753039228455 0.7704450089562547 47.49247964163905,19.197652209362438 -37.065584855333086 -6.448767305291977
