-34.7 -22.3 5.2,-32.0 -16.0 -2.1,-28.9 2.3 10.3,54.8 3.1 -1.6,6.7 -2.3 -5.6,-5.3 6.8 -48.1,25.6 55.9 13.7,7.7 9.4 -4.4,12.8 -5.7 38.7,26.5 -59.8 -15.4
-31.203026232536043 -18.939051515568067 1.0851370489271832,-29.97860756084276 -10.281345185220712 -5.728403807306419,-32.651043549833986 1.9554705031046504 12.804548221814022,60.6226682660094 3.905258292767053 4.220960085236302,3.7834742737930305 -1.4708384033705582 -3.45936524421251,-4.82155836633275 -10.88393617402263 -49.36178531641266,22.083650404207045 44.619519998920566 9.186250949497031,4.633866693308781 9.724212959708964 -4.9887556601285885,15.608128086024303 6.25255946530782 45.90719220023814,23.273874385377013 -48.045877027978364 -10.43800520103304
-31.07974955785291 -20.2709681515004 1.850224522284424,-31.169229463833155 -9.680298461778872 -6.475833491231273,-35.63629694475453 1.866312613505517 12.880459686870775,65.18704633765181 2.8383745420881024 1.7589649755200634,3.970411611546453 -1.5784616622676297 -4.287755480702073,-5.157185585453416 -12.663898601884721 -49.40169109055072,21.571863567569277 43.172327324298664 8.671458458049484,4.971912294598527 9.676423107711534 -5.514339270549779,19.20461992691494 6.490325005532966 44.33642190179974,22.713928472075715 -46.628457493256334 -9.954331632928968
-30.695429630048565 -22.26270197459881 2.9834609040419546,-31.658192356880246 -9.545333566540277 -7.094544523105718,-38.49033093390368 1.9214400625185055 12.464251926471281,68.41264867834659 1.3693140934789156 -1.6214034506163373,4.471650702255314 -1.7600745463419487 -5.457717238513827,-6.404752365173452 -12.58138008270527 -48.646991341469864,21.107872545023735 41.86045423585505 8.21202541942004,5.647719420999206 9.662787709006405 -5.868203763657463,21.8829568558219 6.241750918472437 42.38144386848167,21.403842989353706 -43.048092568910164 -8.655366065059564
-30.25165649628841 -24.194304044577475 4.171104927926548,-31.726313495464247 -9.645681279227158 -7.404196589137483,-40.59630399676049 1.9946281413520983 11.792688723410961,70.14979687102411 0.059174382948947155 -4.9127345624267775,5.0223994093016 -1.99407064489498 -6.66524454726952,-7.885563614909851 -11.823967483569675 -47.700721762710586,20.77725580733353 40.921964715710956 7.881428501729559,6.364361418834465 9.63076141592209 -6.114525639690359,23.64208210215579 5.628267524170644 40.263699988457006,20.076525000941636 -39.35943932510886 -7.296435544365725
-29.939994802745804 -25.37698538400635 5.107969497403547,-31.64304714373221 -9.763891929448262 -7.238830330727464,-41.37115825820063 1.9675709217832718 11.107356145927751,70.27976781855976 -0.5555058491953355 -7.138434676378377,5.363693976912491 -2.255865821391509 -7.609092406463962,-8.936979505056238 -11.523800910868083 -47.14318607458093,20.65465743605026 40.56563216953477 7.74344666967974,6.831314860935026 9.530778309230712 -6.318129603506853,24.487133031628584 4.775722823749918 38.21261315305602,19.434363773996886 -37.53379922043105 -6.603191294001107
-29.745402828385313 -25.744075386769943 5.700302016152911,-31.35212393633682 -9.976474475298602 -6.650876030526455,-40.793851024276385 1.8817565256356232 10.61321524816692,68.97189736388329 -0.45098187867127104 -8.012160922965421,5.403082324228243 -2.4879378246352815 -8.088177053957795,-9.335115234310512 -11.547119504074322 -47.01560336064571,20.650373063805848 40.562884565812915 7.720501059062311,6.936397297411321 9.365744261648365 -6.512770756452,24.359924133993175 3.8279990112636764 36.53259127737436,19.52551660984708 -37.730320929356395 -6.646110707178878
-29.48944596160934 -25.7209004763417 6.0215610663935015,-30.53967874228965 -10.592412559283607 -5.865475563933925,-39.28780453323368 1.9050448418979005 10.486262502976818,66.62333031585132 -0.009047773020658526 -7.7934494258634155,5.179796714119401 -2.606715575231561 -7.980626392188961,-9.203071688655111 -10.75903537572587 -46.93286219856572,20.544724748404022 40.33927894891303 7.623221167389784,6.708465725400878 9.18006201684688 -6.7076330678421225,23.152191540424038 2.9432404690597833 35.58734354561864,19.88074701678618 -38.67502748975274 -6.977532518846854
-28.99560293234804 -25.716893000034514 6.145166517668846,-28.90581700051985 -11.887215822058065 -5.109797238983534,-37.28099479811213 2.199696146575024 10.8906971575121,63.6269934140174 0.3917412927920009 -6.753646506620803,4.744704468252855 -2.535619696619485 -7.178770672025137,-8.67634967374121 -8.096074074906396 -46.52503456787083,20.128121331452306 39.34555763920586 7.270781926137807,6.188776526709529 9.016918784466665 -6.902338149770289,20.776571114869252 2.2693005326606053 35.72069883130439,20.036026803882574 -39.106476697588214 -7.153220928614542
-28.210546786628736 -25.574729833168558 6.055553637777185,-26.55653811045133 -13.366879404274453 -4.559028293110312,-35.05485122133051 2.753080176943592 11.778037879594619,60.174091356792 0.6494181231344677 -5.104256492054959,4.304015113417 -2.346921628192328 -5.807581246190655,-7.946958596316438 -4.403016822166944 -45.94056321555388,19.454471211911834 37.70164795770485 6.7064788527132375,5.583761184356087 8.874115563534543 -6.9246943712525715,17.575983222776017 1.747646221120547 36.86103354102407,19.900997190594254 -38.761696680816556 -7.068551769336507
-27.192379346127925 -24.624459749887844 5.656671471302672,-23.96497096655424 -13.8413755999477 -4.341339289301691,-32.75825237086706 3.3943788640526416 12.907434587332872,56.27337204767723 0.912188264694496 -3.0026568594942966,4.204444591563694 -2.247527788469057 -4.202452431445863,-7.258019671150959 -2.250654607287152 -45.79675521433798,18.8160171047267 36.13275243345803 6.176323655328261,5.249251412465562 8.708401703616245 -6.44710569692264,14.28253887329814 1.133068939851073 38.5609489547553,19.723281912264202 -38.280828065921206 -6.9260782639252785
-26.00523376699512 -22.213154180560263 4.855972053896811,-21.60772605847172 -12.15125138332589 -4.574323545513393,-30.532151844939012 3.9510134361605083 14.03166108426006,51.93490045076056 1.331320997868353 -0.6072097314171845,4.778923357009676 -2.440183905077947 -2.699633159390105,-6.844210644215163 -4.159101006360716 -46.699582374902796,18.505184567653085 35.365042314389086 5.92636312111941,5.528527750582959 8.477665916218768 -5.1552939219040725,11.621838680579671 0.18630727096082966 40.36676180865173,19.755918122617416 -38.31983188262938 -6.9346564616792525
-24.762540118016872 -18.555542695268546 3.7174338278024406,-19.72315970763155 -8.497539507728868 -5.15841371647362,-28.44051847255827 4.346693726420892 14.917057218140316,47.36164553136795 1.9126312210881302 1.8519773679497933,5.899622754452309 -2.907337149934573 -1.4709249662983521,-6.688780125686866 -9.889342831045196 -48.56494004010019,18.608945368026646 35.61524711272881 6.024950245665234,6.3264521795565525 8.203807975086344 -3.1974296130958773,9.817532266222464 -1.0220918726913015 42.002136788291025,20.086586910056507 -39.12596012870008 -7.186661919415483
-23.628702068352506 -14.763523812577123 2.466885421624197,-18.303270560952264 -4.4880313794124005 -5.7694957201699335,-26.46771790577618 4.604693143145257 15.343990289579656,42.95604131142712 2.511532253009641 4.070611306363961,6.962283669449325 -3.40364333965672 -0.518088804498302,-6.5149959763546885 -16.349396645072517 -50.595176188129194,19.001829583678756 36.573327460887995 6.356700507627542,7.09455661935364 7.974915861933516 -1.1998609275211873,8.574245890488804 -2.1012360393670195 43.374118491242875,20.631989203333752 -40.52385474885183 -7.654027964258515
-22.76977026112808 -11.970733303286769 1.3357153856637096,-17.32535392497829 -1.7649743893004557 -6.079856674697561,-24.59815935474406 4.75368390553122 15.104137736848541,39.12460805403829 2.979537855366545 5.74511783345834,7.359497168650187 -3.678654060730471 0.16461002969978827,-6.043679443943756 -20.386333758163737 -51.97650760209922,19.547043136626723 37.901376142003144 6.796972704697529,7.28115002219642 7.880248551562362 0.20262311671732597,7.579149298610272 -2.6562705821815293 44.3958301819476,21.299270945398664 -42.31261706016168 -8.299878525458658
-22.32941391567316 -10.686708440138908 0.49473870452211766,-16.66080383512771 -1.0038411409585022 -5.976449777463616,-22.934235579255482 4.847886085360582 14.327672124055265,36.111412880126224 3.2646742713317796 6.703408991044183,7.081726502029297 -3.653549484337232 0.5717857869397944,-5.2987970943030245 -21.09146946082699 -52.42825036340352,20.059484145219333 39.148414638051655 7.196404991420676,6.896254502174197 7.949287517182082 0.8076998282216534,6.725505020917824 -2.635794637900229 44.90475299416238,21.942701034150655 -44.099585808342646 -8.984102573498326
-22.424841732528282 -10.683143801671937 0.043157046868979226,-16.05581216810432 -1.7371312681239055 -5.600017970292155,-21.717825815053455 4.971723795028027 13.544953095391467,33.968462098937295 3.429069972413738 6.928846962814613,6.826271458833636 -3.452418293259737 0.6849055222520511,-4.662710136042211 -20.209384562365756 -52.29997911638129,20.29693865315598 39.72978547850015 7.376409453063707,6.6139795794669265 8.14084206572499 0.9243313859148612,6.150229524238597 -2.3944568144067366 44.6489398805608,22.354034290780863 -45.26538774934594 -9.444539177522127
