-17.4 -2.4 -6.1,-9.8 -0.7 1.0,-8.8 2.2 -3.4,20.0 -1.0 11.3,18.1 -2.0 3.3,-2.0 48.5 -40.4,26.4 120.9 44.9,17.8 8.7 0.4,2.4 -39.8 39.0,27.0 -118.0 -43.6
-15.976145188675403 -1.0372154722615983 -6.457089005075804,-9.526621259271463 0.8088714481548346 0.2759882935781434,-7.379739011144949 2.05302766965084 -2.8686125759100363,15.568395500532912 -0.4760803838968334 14.841135225735218,16.690657786643996 -2.194828088199559 3.231157162669961,-3.137996698077438 47.70697616439892 -39.709207713454404,25.838976386141194 123.14831353862611 45.89709654427829,16.27806653680431 8.719895144846198 1.1574706024846089,-0.33688847459538307 -43.75942176520751 37.96148398323289,26.630114942783617 -119.80745184793784 -44.46704992260974
-16.13579560179661 -1.0823011015965975 -5.65188743437826,-10.096647862496969 1.2556028866697984 0.7653635693228518,-6.993002300531844 1.719832958589845 -2.6774097580276224,14.84539445906535 -0.43693677276173243 13.6084306890482,16.439551466267805 -2.7171180755593687 2.4692754832584063,-3.0151220180348712 46.40759954595082 -41.78210258211469,25.85787016124707 123.16409361091684 45.87761921384196,16.12076533988487 8.34162044351696 1.0024883985659685,0.3043431107056174 -44.51218392883272 38.061274942288286,26.76534000266283 -119.16781939116439 -44.17633296235203
-16.53277276910343 -2.010649350615294 -5.012116365408076,-11.350222910232093 1.3006843398783468 0.664361346060769,-8.170393087237189 1.8112635198027625 -3.013840998826042,16.644433924034622 -0.9933800768143559 12.037609238633834,16.292784037689717 -3.006179668812249 1.648500213867681,-2.988833131058399 43.14160933785726 -42.80443709447902,26.189354138156713 121.80330023384658 45.2544047631479,16.05625207370267 8.287966845726928 1.1135563490552058,0.5759222329724063 -45.550854563998406 37.463577520462536,26.945798612896418 -118.28305123268521 -43.774360777294426
-16.997464919728017 -3.2803669532713795 -4.643194034878318,-12.81983494660416 1.1168014079112056 0.14504113857652573,-10.146930725028461 2.1781459808815216 -3.6729020614930787,19.72055020520524 -1.868354442782943 10.684775780734078,16.264095965040095 -3.068892876556582 0.9923995972047723,-3.055728355485983 39.23523819103284 -42.773797317516006,26.66374209447229 119.78233087920178 44.34950162560767,16.076193173033325 8.476851582611074 1.4241990644880016,0.45205191413066637 -46.7363442262698 36.49996619335331,27.113875510875026 -117.44226773924443 -43.39419795792245
-17.284689475796576 -3.9430246222714453 -4.568809268762827,-13.743564317525864 1.0540533793606572 -0.3375030068575817,-11.45208127962056 2.476389780850354 -4.226851001831429,21.737272447331158 -2.529546251100616 10.203677898112325,16.35646289705094 -3.0177566020233892 0.759959220176659,-3.169118952436835 37.01514230557704 -42.18216042666672,26.98060466316477 118.39601299008471 43.73910874789425,16.166968021414682 8.675685123811435 1.7411866962856808,0.10431519175094203 -47.78669455016549 35.83934155441207,27.199709938755724 -117.004039267383 -43.19995621136229
-17.1839769617532 -3.1895499257287354 -4.7917674702705275,-13.4739706747973 1.420975160855964 -0.3843919566681393,-10.822978338792105 2.4083301798198855 -4.300306501803855,20.68780890355885 -2.5190822773975925 11.121640034973021,16.563236386377433 -2.9591116710867427 1.1600352805453544,-3.289563583348656 38.467473702215564 -41.50284632080723,26.883555548476597 118.75119900157557 43.915356307046956,16.309142512263644 8.677706858098608 1.8968288388623993,-0.3067888362305307 -48.447665065389955 36.05583586578152,27.14761538432654 -117.25714433286844 -43.323303082810106
-16.79692028628058 -1.4682694271339352 -5.132827086739841,-12.394776277181986 2.148559234702198 -0.10929187098441132,-8.874974678978921 2.097857592374998 -3.9934614253206773,17.545824729251944 -2.0524597254244172 12.837417338570647,16.792668529959368 -2.939814160902311 1.9541305335296084,-3.444003912925134 42.505741583630666 -41.02115097084427,26.513704498673462 120.25732211884267 44.611434521546705,16.431823352337112 8.512569370264428 1.9562115973120604,-0.7281533315639189 -48.717884292833325 36.865776123700186,27.028495765917153 -117.86663977697792 -43.60601175183614
-16.388641646255298 0.11357858892057188 -5.317348944344435,-11.430061003091458 2.9699554497087015 0.10554323302153101,-7.207661685645509 1.8897689499620283 -3.655722612039459,14.846826622775934 -1.6980404579323887 14.158363546925525,16.908416965033297 -2.975548501200058 2.66932220366889,-3.6941681287594235 46.43330564943458 -40.92384062844498,26.220460142059412 121.43432109833617 45.162828159062826,16.43715121662857 8.333812274161671 2.106402382461997,-1.162947959259779 -48.72849107255097 37.53597572832072,26.979591875649767 -118.17073509695743 -43.73794276240778
-16.202951345164948 0.5474890616794286 -5.098019858228473,-11.416684386267406 3.6340544030666657 -0.08194345451314933,-7.276352316317518 2.094890560305175 -3.604897646699173,14.89990089998134 -1.9688635873710292 14.006466043349912,16.792706043671807 -3.079388994969625 2.8752149527359867,-4.091035312464159 47.7897215659886 -41.37179466295736,26.32014467337953 120.94357332796882 44.967868026782604,16.243229056552952 8.281397043239817 2.5140962240191076,-1.6105198764786224 -48.60835925949467 37.40726703408849,27.122005082209228 -117.58343833774578 -43.4449501629855
-16.242357742824577 -0.06635485349508038 -4.526257551328165,-12.215990989275735 4.075161642672446 -0.5623986988994124,-8.914243577327507 2.6431296306697867 -3.8003846884103027,17.46689000949465 -2.7582668383183213 12.574744816566891,16.52884623609181 -3.2396352305007716 2.6143504237889568,-4.568329737772941 46.76998009146659 -42.26052344542632,26.758715791503608 119.02961037203576 44.128565431151884,15.939977284744536 8.339709408805819 3.1185284381101948,-2.0244215239647705 -48.449973028969815 36.6475012955137,27.39946612713944 -116.3532035172287 -42.8488235387234
