-17.4 -2.4 -6.1,-9.8 -0.7 1.0,-8.8 2.2 -3.4,20.0 -1.0 11.3,18.1 -2.0 3.3,-2.0 48.5 -40.4,26.4 120.9 44.9,17.8 8.7 0.4,2.4 -39.8 39.0,27.0 -118.0 -43.6
-17.008381771008242 8.42212068587977 -5.840437595469285,-9.662747184631296 11.152301397321327 -3.9412771204970003,-8.009550747713762 6.580088301920787 -2.7680776535019205,13.278064715228437 -6.478263232256651 14.979861154206295,16.713185886666267 -2.2303560206495012 9.895903961059114,-3.16481932374154 47.6676120354794 -38.937047496475856,29.55548201516908 101.46508117873445 35.72500934059973,14.844685384402915 9.058002314547247 9.9164687928767,-4.381700662416138 -45.287420476966865 36.62970774126817,28.867168843636122 -107.70514613934637 -38.7453136815214
-17.4180632062736 8.567098031801445 -5.997911069699316,-9.777305849783732 11.246323234421727 -3.977908306228791,-9.258302696578069 6.703970380021041 -3.356247550228093,15.522833719185252 -6.882619222119303 14.53707704655408,16.86878047832531 -2.21946021395731 9.757822651818897,-3.4413653936826885 47.296938452068495 -39.484313311264906,29.57193497403541 100.78376738625815 35.38705373243548,14.9095669938789 9.211123121958929 10.43701383299771,-3.1560653389291033 -42.71103535599686 38.1980555149997,28.82227139031883 -108.20740283545469 -38.99929061216949
-17.597907031665162 8.596744747082184 -6.102542014764276,-9.79665026801898 11.300979031682258 -4.110215588159201,-9.902296588580624 6.803353011847324 -3.485607907651462,16.596539036167037 -6.991938296169987 14.298365085869804,16.895347784984658 -2.198597508200139 9.701243383836132,-3.491924478891823 46.988648997022814 -39.914013068726724,29.601941046599837 100.17619608577219 35.088446469461154,14.895729092840082 9.3012537959425 10.700691511574165,-2.6045299328463765 -41.175725061169615 38.78255503411325,28.79988858295367 -108.39537258035296 -39.09796235204762
-17.349102399746773 8.483344237362505 -6.049786897121303,-9.693172013732337 11.264548665473043 -4.2157607564541175,-9.251551833152652 6.776644273299808 -2.9900296282648604,15.332726515660589 -6.673833122682677 14.520148241187469,16.752191920052386 -2.187103179979478 9.793562534935603,-3.2387492160285682 47.048799257963765 -39.7865853211033,29.616678347729444 100.25820729901066 35.1323124323991,14.806342205659506 9.233118877464253 10.427852765498152,-3.3221178563644176 -42.26740735546118 37.712882929855056,28.821905060785618 -108.07391596539192 -38.938896384533116
-16.932285206229267 8.314007486299355 -5.912388794810028,-9.556732430424852 11.177494381107806 -4.2531802579694675,-8.042621002694405 6.6795212283041785 -2.308826080455962,13.105594828053514 -6.218618813846447 14.94215509629376,16.567064158943776 -2.187855378233091 9.936646736891053,-2.9118560587788895 47.332379521827 -39.35153226957466,29.614579430122944 100.7531593150783 35.37960588316297,14.713131730888673 9.092054875291158 9.920844001236691,-4.5604135660558995 -44.62881989060064 36.050395657438735,28.865864171043675 -107.54203710627665 -38.67226662993195
-16.699208979681814 8.198618166656171 -5.7982506832938165,-9.500489280181462 11.098560307919884 -4.197190151087902,-7.294967971019204 6.5988508883389 -2.0013813157887514,11.793206477857115 -6.0004405293981105 15.20164294302044,16.50112189848565 -2.2004683394147464 9.999534835382134,-2.802296580838621 47.604923457236616 -38.9950127661994,29.599482116109492 101.2074110499767 35.60358864219058,14.701418495249575 8.999217485418324 9.597433536542171,-5.3045698591755155 -46.31900416094641 35.19987615954837,28.900515404324466 -107.1967390646777 -38.498344135962235
-16.883836831672056 8.220510919651861 -5.792663851559969,-9.593047022888975 11.078572261336978 -4.056648995512897,-7.711224642283839 6.600947208787087 -2.4161448747811147,12.667760426691046 -6.2566904344846 15.049941808540849,16.648242710399078 -2.220495531210659 9.901952287910564,-3.077176099477286 47.671070643871985 -39.0107410071906,29.57849797059945 101.26204207855217 35.625901261245446,14.813504830942332 9.039757467893102 9.750097697834079,-4.8590047303323205 -45.91564663067023 36.06848772285659,28.901070029103014 -107.32342751253886 -38.56119782777836
-17.28382914550134 8.364681190579411 -5.897164553582337,-9.737982030435635 11.139026149921243 -3.9668812117141226,-8.820458412750206 6.6759943997021 -3.1202522912797694,14.757300946432302 -6.718219447884906 14.660913933745505,16.853095682403033 -2.228449091653539 9.751370784545083,-3.4444956074038435 47.480311287797 -39.35001067115236,29.570864696232896 100.90898294408426 35.44738199768343,14.932350001319879 9.165461153083871 10.207223804632896,-3.710713502513301 -43.91752565827176 37.720180755742774,28.86667412442362 -107.79414473584558 -38.79672061729739
-17.59584943338985 8.593360526067652 -6.093901136898204,-9.800669399657876 11.294628493513175 -4.092485976903484,-9.88007588989662 6.796553893243924 -3.499977818893268,16.570387586075967 -6.998622561146065 14.306230784064935,16.9026622566886 -2.2013593395403097 9.69872216542475,-3.5059810335322568 47.01566612122444 -39.88485074583999,29.59862699613298 100.22138039074204 35.11035041621246,14.904027982664013 9.297243209921955 10.689770241081595,-2.620438606481382 -41.268120627058394 38.79223234693098,28.802014282421148 -108.38524622814172 -39.092616109771605
-17.598474693779146 8.861416471565326 -6.352378826685413,-9.690484870246097 11.539692415128183 -4.523920513430783,-10.318531534722673 6.933177335591626 -3.1330791874905257,16.9905534915567 -6.827940743175327 14.191985291656184,16.658161483587087 -2.1275100924381447 9.844368248219213,-3.0050206069355756 46.31264896748018 -40.480816189780555,29.67275689064089 99.31523997279437 34.67574137447528,14.634527353702044 9.372253613546063 10.97495945956619,-2.1729410628976584 -38.82150678869062 38.32273574405304,28.716238549764157 -108.89961814399292 -39.34994592681248
-17.424145140253998 9.0919043611978 -6.587485029567848,-9.506885323188955 11.780432321671352 -5.03135155504891,-10.30320017632004 7.047734172205355 -2.4245156255215257,16.521203807033118 -6.439257255913772 14.240973562976192,16.301516120632 -2.0437998642255213 10.07021023359375,-2.296978426733732 45.63354185194009 -40.9754943959226,29.7563928221336 98.49171571076087 34.284907103524304,14.28866554825493 9.397778258323791 11.083072595529089,-2.1927487433200206 -37.04553686993009 37.08129509990733,28.637768290841226 -109.25475810723628 -39.527477824086304
-17.300834873704567 9.199291057383167 -6.6993617581885765,-9.400644616076693 11.899278252369907 -5.298475713347246,-10.200945972289436 7.099749879605989 -2.0025693047727344,16.103067089510976 -6.201463729270566 14.299508911520617,16.10123060582306 -2.0002518755038485 10.199170623461026,-1.9024361995875156 45.30184833115937 -41.19892224011134,29.799759407953136 98.10194690747532 34.10091043884869,14.101137075848957 9.40003791717732 11.100010322816287,-2.2991462928725084 -36.303793536143175 36.30497758860479,28.600228165789886 -109.3991058648817 -39.599558716300805
-17.39669460095063 9.12029516431238 -6.614412311022561,-9.482891081926072 11.80949398439376 -5.09229012317473,-10.282588854431548 7.0594948894397405 -2.330293249321168,16.43021793411148 -6.386453265158441 14.254105928360046,16.25526758696263 -2.033725127072337 10.100614277341128,-2.205250981733854 45.555849980260554 -41.026253277471305,29.766204297052127 98.40407197314258 34.243604992566574,14.244971324821963 9.398434467406599 11.089181320438062,-2.2113934104780655 -36.86366338499633 36.905986082378114,28.628432790074335 -109.29437748537939 -39.54715256586804
-17.57822326990488 8.903834704798879 -6.39145699524022,-9.664846547752244 11.579816441275952 -4.5998204101168,-10.334654483890185 6.951418518269653 -3.0375969825391507,16.95300668184467 -6.777017886424945 14.193989936379962,16.60589387504152 -2.114700359282254 9.87808446432134,-2.8998675762978654 46.204113409388555 -40.56013102525489,29.685245701246988 99.18729205932759 34.614971159717086,14.582261506070525 9.377985749550058 11.000578940409888,-2.152864718345149 -38.507497052587 38.15844109990031,28.702773962224 -108.96922906956632 -39.38458688587055
-17.617058607384426 8.634111347590423 -6.13095764261033,-9.794867716451874 11.327874595331236 -4.140179662701385,-9.991371230221889 6.817007858932393 -3.492389202373682,16.73066644013117 -7.002140714662193 14.272133234842862,16.883519676796663 -2.1927841665388867 9.708767153157728,-3.4639295040075218 46.92007163474371 -39.97473836674574,29.60721066309519 100.09334038592165 35.048474172387905,14.877319913908071 9.31289676577514 10.74853051891277,-2.5054651829726353 -40.86511464193573 38.82133109869974,28.789673720823277 -108.47336752612294 -39.13668111281984
-17.343756283110746 8.390938684427041 -5.9239251848902645,-9.753396105594087 11.156657097811118 -3.977529676630782,-9.00874179013424 6.695641631401819 -3.202224686087526,15.090991053339872 -6.7756012139077635 14.595017177586756,16.872434968423047 -2.2258864309321638 9.733563563320853,-3.4776984238037314 47.41677020784688 -39.43683386419405,29.574132200135438 100.79935319977642 35.39320491639956,14.938020098351782 9.188717986735607 10.2875083620516,-3.5242803218583587 -43.50665093871326 37.943288420215914,28.858717062063853 -107.87673355665096 -38.83837632786382
-16.936553201249723 8.228175045592195 -5.805542879785456,-9.610233360128467 11.08270396174756 -4.051664776535021,-7.8612782993754315 6.614227450543051 -2.4988050106189816,12.94649183670968 -6.31160855102451 14.994798862273425,16.674934188419513 -2.220931799422786 9.879221869784681,-3.127107890796252 47.64116617660373 -39.06923609430339,29.579083333527343 101.19157861111644 35.59055629438261,14.829354854072541 9.057934691117197 9.808822285579483,-4.716118464645467 -45.65056628499938 36.28227070465829,28.89817304896836 -107.36855426000443 -38.584284885890796
-16.700704862339528 8.190196509950317 -5.7905984269605595,-9.504360175254957 11.09097286670985 -4.183877921992729,-7.2859863830906795 6.59511685482368 -2.014917803370837,11.78862590080892 -6.007194179897574 15.203416339580288,16.509488538481527 -2.2027515127666315 9.99425358581703,-2.8193619414782662 47.625671617844986 -38.97871101219237,29.5972504992417 101.23265969411321 35.61564196078294,14.710250505425133 8.997485491643797 9.59030609637575,-5.314419381841099 -46.3868435849808 35.22070444095148,28.903136606033353 -107.18163570693547 -38.4908188844367
-16.880410882428915 8.304857333158566 -5.883638847484947,-9.550076594463171 11.162489443566432 -4.21908109064096,-7.860329151627835 6.652381879787851 -2.2671696219601403,12.799098386269048 -6.184822182165391 15.00953886798808,16.55780585313043 -2.1932896539505062 9.953304938058812,-2.894436084813826 47.4159723758123 -39.23404771876974,29.60670528177726 100.9179861374646 35.46067067510301,14.715474164723824 9.066842148506833 9.846245125518946,-4.718442666838881 -45.05613499258148 35.87802589067128,28.87211347043619 -107.48762973085717 -38.643812271951234
-17.29590891421125 8.485735071119144 -6.01852768417003,-9.690122063038336 11.251382129778314 -4.166901605365882,-9.054642163573748 6.742825620381417 -2.9648180616576294,15.009416788864563 -6.64889014706968 14.595585917945638,16.74590960738656 -2.194320760253876 9.812741157959517,-3.2246501811315693 47.14876976978179 -39.64130165076191,29.605674697761533 100.46885796459627 35.23584880928232,14.811589104884188 9.204310921734319 10.350121369607088,-3.4781417369520087 -42.73568263489626 37.54672026393254,28.82715124409813 -108.03439795343785 -38.917196653067414
-17.588079948379804 8.598062642280883 -6.099225908807473,-9.794657495915581 11.300400533468704 -4.106649442351739,-9.870891832980208 6.799023606556655 -3.4755725896670118,16.541449755710577 -6.984628179969953 14.310552572302194,16.891656277318766 -2.199086663891119 9.70580351053184,-3.484482861228845 46.99926911986802 -39.895379045024015,29.60091249815247 100.20214632806858 35.101301500904256,14.894000141748437 9.296939134144687 10.688935438924164,-2.630269819573126 -41.23739119786285 38.746383053022015,28.800256890021547 -108.3905179936835 -39.09525856908244
-17.45277151047825 8.52908263839697 -6.045710049523686,-9.753153783248221 11.262311265634548 -4.107685549882711,-9.465994174139743 6.764559183109886 -3.2620449798069027,15.806597656221868 -6.839875908028754 14.449454539320277,16.839528316924103 -2.20148794623342 9.74609222352747,-3.3956678330250702 47.11228985694939 -39.74088558150984,29.598514003615314 100.38165784693243 35.190456931726544,14.872743099201344 9.249437864988174 10.514342766606097,-3.0506370237910114 -42.08343316593179 38.220757794114206,28.81809929206139 -108.193237963956 -38.99661997290712
-17.039978408786055 8.34720187933151 -5.909628567696467,-9.614905019556813 11.17202195866064 -4.156083062045184,-8.276010730081184 6.673623744477235 -2.5718842607484182,13.60741966437446 -6.3802026315772915 14.861595473469443,16.654620040157344 -2.201054270842475 9.884555088395226,-3.071646194124681 47.38336588587841 -39.33156684347662,29.598948231078797 100.83503128234304 35.417252068735685,14.77942242727349 9.112274389726796 10.011478294154468,-4.286420859170686 -44.40829263082402 36.56676648835325,28.863460518394163 -107.64587136747001 -38.722936949291544
-16.72145856699236 8.209290873170318 -5.8069261987095775,-9.507248024844575 11.104550247784116 -4.1972451235756445,-7.361618247531339 6.604653193722691 -2.036078333741626,11.914093579415834 -6.023988467231483 15.178634891772669,16.509751988169494 -2.20006401926404 9.992715638475001,-2.817132345678602 47.586303343931924 -39.0209541291779,29.599936836225126 101.17692175185483 35.58844487016257,14.705005338462676 9.00708969638443 9.62597852782692,-5.236018768312376 -46.18052968399041 35.28625041180683,28.89769241545947 -107.2281451736732 -38.5140730175121
-16.824447411385428 8.253422656541021 -5.839654713787917,-9.542271948718822 11.125921877823643 -4.183103826743197,-7.656454126691496 6.626687093938207 -2.2100538408154464,12.46083464310469 -6.139510503564505 15.076347433295698,16.55705387325834 -2.2005245257703216 9.957479276757441,-2.900361431805633 47.52201534652419 -39.12022702877653,29.599472790618698 101.0681516105457 35.53394467517516,14.729571930697363 9.040955254709047 9.75010164251255,-4.929772592636485 -45.61205877009959 35.70119903665531,28.886778172993957 -107.36231476828284 -38.581156038181675
-17.229705323250883 8.429507002379497 -5.970868220069837,-9.679023510412023 11.212298458865982 -4.131599320303424,-8.82073118326513 6.71470578567674 -2.891045229959146,14.616112572312584 -6.592395237722726 14.672760331091627,16.74085966840036 -2.201633180411291 9.820186432124565,-3.223123052190798 47.26237301577451 -39.516592220656875,29.59836152669429 100.63139715973492 35.315290286070564,14.823688224553642 9.174929961591001 10.241176590013477,-3.720619477090654 -43.35213591361562 37.32943694004791,28.843036858838616 -107.8949528571242 -38.84747377808094
-17.567083583427117 8.581710091099357 -6.085507211736853,-9.790542968178778 11.289339944834964 -4.09776682083411,-9.799025781243463 6.790830406764945 -3.450199705312806,16.418900422943096 -6.965790651769027 14.334436994579628,16.88872673696429 -2.2010082467325356 9.708966602316014,-3.481272515351204 47.03151988069763 -39.8589929839405,29.59898901769161 100.24888640354465 35.1241911403949,14.8963757512966 9.288016877385651 10.655913929973071,-2.7047658749033756 -41.41974919931403 38.674887931470295,28.804827279502295 -108.3491112124977 -39.074554237516594
-17.499746590238463 8.567325853103355 -6.078004675154354,-9.761668126978421 11.288576989142788 -4.130244984907267,-9.629460186070906 6.783736644743763 -3.3165007123968926,16.083303371428002 -6.880940449817469 14.39532296307207,16.844554630555567 -2.196729413561324 9.739926205278708,-3.399722533580639 47.035773230035346 -39.82598498500203,29.603278775002494 100.27146405224453 35.136549672384874,14.865748433518448 9.26986097339285 10.589975254009236,-2.881235005545839 -41.66032076859168 38.377727555913495,28.807342695853887 -108.28905087776579 -39.044529534236844
-17.110563696915854 8.409929870534091 -5.963243104473351,-9.625503022370578 11.216316471092643 -4.19851644857012,-8.530152194894637 6.705130978426272 -2.646366697781303,14.031227729370531 -6.438472669334815 14.778047866416456,16.657318852695848 -2.1924446034278087 9.878182423067432,-3.067803322286034 47.2545330544519 -39.471172897161395,29.607573843378784 100.65158666140634 35.3276821794863,14.763576311992116 9.144428410722501 10.130694764347353,-4.023197924815824 -43.72447641403586 36.79314471700749,28.845610230509045 -107.79991859915528 -38.79996852409266
-16.753181646952587 8.240376210527643 -5.833814353706553,-9.510807322560249 11.127107996369013 -4.220995447531333,-7.480507044670094 6.620288139059208 -2.065529011938809,12.108967637516805 -6.048295562854097 15.13987623157973,16.508301972659247 -2.195394147702718 9.991440027483996,-2.8099531633989376 47.52080108778734 -39.090128494993635,29.604616966514303 101.08468617066794 35.54349454831228,14.694955955349123 9.022344182620031 9.68261479908862,-5.112953324850838 -45.84684428384062 35.3827885497623,28.88874336850073 -107.3029164150636 -38.5514637649369
-16.76022145992548 8.184771075019684 -5.779718987250374,-9.537432105973894 11.075027253350889 -4.125819681512564,-7.406567217507668 6.59213606640898 -2.1583316909732084,12.05763570705551 -6.0939915117013905 15.157192262839846,16.565231265247064 -2.211553711461829 9.956929634994747,-2.9256322005311346 47.66958489895558 -38.96754230095944,29.58841857012849 101.27411940000366 35.63417127222534,14.755681475811995 9.008492389682143 9.629416419628608,-5.188325259842193 -46.33951858893212 35.515984962457736,28.906723378980633 -107.20000140022975 -38.49998684063521
-17.104518018935554 8.277144467583705 -5.836205748771283,-9.677265444442206 11.096146131040351 -3.990100715052853,-8.303857638708521 6.637963630526565 -2.8158649985775197,13.802114999257192 -6.515648472325704 14.83804332963528,16.77380304148402 -2.228238988293437 9.80895317616355,-3.307208351191807 47.59852408583349 -39.177997513580465,29.571693389790326 101.09523692807123 35.540558717061174,14.893278062096705 9.106532728966865 9.986409410776496,-4.255068400801894 -44.93840062481398 37.001625497708226,28.88784125371741 -107.54310451628731 -38.671518446879965
-17.492944793013553 8.483461746060865 -5.998049694408759,-9.792818070107996 11.213227734538483 -4.0010746998541675,-9.480045253134733 6.741322349498047 -3.416751554677351,15.924693821453147 -6.925514074897856 14.4356491286797,16.915583694350097 -2.2189718317787284 9.697922972066927,-3.5461184709770497 47.25155714806277 -39.640761616524216,29.580982776917622 100.55053070623052 35.270522395200146,14.945667423072129 9.245297707782028 10.496595828690563,-3.0344519132502046 -42.43189957205396 38.49509607803555,28.833922913218554 -108.12541012358349 -38.96268236604856
-17.641249468949976 8.765662912129773 -6.255296099834242,-9.752872532518973 11.443708746061182 -4.332109584087089,-10.25557632812122 6.883676445134237 -3.365480558208123,17.04286964469579 -6.950873936035826 14.197685465556429,16.783415348545798 -2.15947773143854 9.76691916297177,-3.2557127819467055 46.58763269062071 -40.26627260553676,29.640616156082807 99.65958152960935 34.8399213319224,14.760803968971508 9.35436597917336 10.905407124613768,-2.234244634132746 -39.63070812680942 38.70160313059461,28.748359816934315 -108.73668353036423 -39.268388709012704
-17.52682313835016 9.043613540452101 -6.532516539724952,-9.579222212542117 11.718192269906632 -4.871714234552014,-10.451438895918098 7.024041032024311 -2.7225099745478656,16.92889331735788 -6.6125142321316375 14.176294859169461,16.43203014962324 -2.0692418340047367 9.98491561340005,-2.550977286289785 45.80683024908484 -40.87512272694347,29.731006417122867 98.68627908454357 34.37582908374348,14.404871120158782 9.406614130034708 11.110890993844084,-2.0379606050191614 -37.30411793072974 37.65736447496354,28.656158821815488 -109.21252473516685 -39.50638649323097
-17.348365929630482 9.201590879188151 -6.698902168549447,-9.423083511375783 11.893833904576313 -5.267451681980949,-10.312000343418411 7.102442822202454 -2.103143842807081,16.33175484112616 -6.264060524272716 14.258229520304337,16.137677878200112 -2.004763051549095 10.173619750123775,-1.9712027050888574 45.31318807923928 -41.21190889946005,29.795419990902314 98.10115983081201 34.09938915250976,14.128639606089136 9.411541967488294 11.140184393445686,-2.185677030650255 -36.18640186585652 36.52442355376705,28.60061000049162 -109.42730265244373 -39.613742847475265
-17.303708688135842 9.13003742179433 -6.629814626973452,-9.432565879363652 11.833689061030148 -5.177925491113758,-10.089997069725811 7.0621821681267045 -2.1117689421353902,16.006059915298803 -6.2537312520379285 14.328251304606527,16.17004408356981 -2.020676319052843 10.158671818310061,-2.042386744036983 45.4936374007636 -41.03546159318831,29.779008509566818 98.35269397378697 34.22117790713598,14.175901922684023 9.380244738918382 11.026429246808458,-2.4091497928169625 -36.955629543283486 36.44923082627482,28.62297489578868 -109.26682928402744 -39.53325705630591
-17.42075549790764 8.87730726448062 -6.372152772545278,-9.600086869670607 11.578818595358864 -4.665507164585326,-9.930501423053116 6.930470337801974 -2.7373765548491207,16.161301454462958 -6.585330763692757 14.340898048897646,16.505322089880117 -2.105950521409488 9.951484144449545,-2.71276372780192 46.22511703309995 -40.46496803251246,29.693140223703036 99.27004615012375 34.658535444716925,14.513198205251136 9.333392056303797 10.84478032269537,-2.5625255753980962 -39.09571946219921 37.47170038064674,28.708070069241373 -108.83844803447708 -39.3187693897719
-17.563073126309195 8.644471879282841 -6.138710261941178,-9.76749335186458 11.34243362993546 -4.183054900388617,-9.87446312201456 6.8156694114724825 -3.373804828646095,16.479790123399276 -6.929578217398557 14.318188411896395,16.835866911313236 -2.1860484636844792 9.743130487547774,-3.371809119385361 46.891348706526145 -39.968118888780054,29.6132219220927 100.08344640497472 35.04521108656893,14.8389359616273 9.300912964183029 10.71102329592361,-2.6183160322566508 -40.93571852927052 38.56160751913316,28.786123760367346 -108.46374682172184 -39.131508603741196
-17.59171155192088 8.632084769011227 -6.141554677543594,-9.775853095440656 11.337426473009144 -4.18350016701692,-9.955496796725093 6.825456462708138 -3.411070259542294,16.630367903009457 -6.954620895787679 14.284812342187907,16.852863860139777 -2.1864412801019424 9.725696221036223,-3.406829559207075 46.87776380172589 -40.00959538924659,29.614604728577607 100.02681148327756 35.016795421611874,14.850883503327028 9.311841912557975 10.738009402255702,-2.5560651291353356 -40.81835827233797 38.67871452837409,28.78754311906977 -108.46189359268713 -39.13146980068773
-17.48444668198463 8.852937488540743 -6.3842549397776285,-9.615558917687546 11.572392053869246 -4.678473481480754,-10.121848834301016 6.956362823726731 -2.8088210350656753,16.50658870319818 -6.635389041629692 14.262986879635166,16.537286143191892 -2.104932169825809 9.915367175442018,-2.7793172224184732 46.17721272309485 -40.57488340274754,29.698389394544577 99.11637456886436 34.58195424197372,14.533489757851301 9.359871621882354 10.911015779706643,-2.416111745632585 -38.777351898755896 37.719845831845916,28.70967710591772 -108.84165086843724 -39.322486216410034
-17.348105208591143 9.112234238131682 -6.639866352479029,-9.442095615339502 11.83005657324026 -5.191708328859439,-10.227383517672624 7.082038429968416 -2.1564832995984062,16.250445243783545 -6.285988453955917 14.27219504591754,16.190492983173847 -2.01929379430875 10.13385675921221,-2.085576915397142 45.4541010525369 -41.11967616498945,29.783586351341718 98.23328850478165 34.161820803812844,14.188154298699093 9.399621420875862 11.07427517598776,-2.3060088879582903 -36.715941652044826 36.61783049738707,28.623884743380746 -109.26860065917576 -39.53574040241556
-17.294225162357563 9.208044214729101 -6.67489985307465,-9.41583298585302 11.88626417563797 -5.233485105742283,-10.126431827625105 7.073208402924439 -2.062122107819423,16.01664218098712 -6.2307173657110635 14.330380259246914,16.123580912361827 -2.0095561245312346 10.196507676576797,-1.9414074225940392 45.39120932986675 -41.08696246168269,29.78702013053336 98.27974508367076 34.187483510702926,14.125767087831896 9.385095184650872 11.068863785854745,-2.333576320857246 -36.58644878059469 36.33901545887637,28.60380172239172 -109.39730598845698 -39.596941121759684
-17.362313041801325 9.070545641599661 -6.453049909636893,-9.563169344373756 11.692874490371219 -4.746028133934597,-9.869271946869423 6.92635875819214 -2.622888567021285,15.954581407202731 -6.5243606785708455 14.404288413654838,16.397073787560277 -2.086864511952855 10.053906212219802,-2.4734643432888186 46.07156927316662 -40.45848288359447,29.701033925538905 99.28930755747382 34.67293765074924,14.404113573910374 9.321804939470068 10.887552151172834,-2.489029196163288 -38.59559353230816 37.11387149488805,28.666181280105576 -109.12916528482461 -39.45853186115649
-17.500793211325032 8.796965417811592 -6.187344806415341,-9.741099299591179 11.424314479761135 -4.217744405244973,-9.753952566462015 6.796997127173543 -3.2898954271198253,16.206959597927426 -6.880910190568277 14.395927369317228,16.75465236412118 -2.175261368934675 9.827650894685945,-3.1898935228453587 46.81984468824548 -39.89721667812545,29.61346245531888 100.19717934968332 35.104774332608216,14.760934656304697 9.280393525759449 10.714924655123049,-2.613874470653939 -40.742825813851454 38.242371743370924,28.75585016353106 -108.67769438993608 -39.23320910709408
-17.652119786890868 8.494624465205405 -6.103403443035474,-9.797811579484538 11.266873915413365 -4.164072358313976,-10.086898986961396 6.847910428680537 -3.4806762518547827,16.908713916809777 -6.996432763995518 14.205963375613964,16.923162299810137 -2.1944105963529132 9.64909523562753,-3.5656829587090257 46.92333171810168 -40.09743321214175,29.616766980988498 99.88779175894369 34.94529323038353,14.917168708625033 9.334140243285853 10.744143558811633,-2.544235145549642 -40.92140061276076 38.97214802385905,28.813768955444086 -108.27388975053456 -39.04253366393825
-17.752355385057562 8.239563512090253 -6.255747079576738,-9.685103835325464 11.285463049069103 -4.698051541294574,-10.796702096934112 7.095028554648643 -3.0080355989056744,17.82644106197557 -6.764876194670112 13.876352922227818,16.804886408252234 -2.124749271211622 9.588495529841799,-3.4035147852226992 46.23635301965184 -41.12960801396168,29.72805592863221 98.23507904116313 34.13635220277851,14.781149546318659 9.478841056985432 10.981054198210343,-2.325091870236781 -38.803872365210346 38.9202918031087,28.818491239934076 -108.02098641818498 -38.936895809014864
-17.728309429826197 8.062537879436906 -6.45119306425767,-9.50477190463361 11.3692668450255 -5.350154848780208,-11.264948968094535 7.341671450213075 -2.2570253795906625,18.19347862611383 -6.366667282135081 13.653603218089737,16.556093881303475 -2.0346978787197854 9.627655539063786,-2.9804851603169986 45.43413495134288 -42.161128910559604,29.855346844668052 96.54551276815059 33.31408191439527,14.532509783174682 9.598116654610434 11.1603167822683,-2.30379566350041 -36.63874824973284 38.23877393098471,28.80299527643178 -107.83725489757464 -38.86364981048145
-17.507524990838295 7.990394355181625 -6.479067274311358,-9.369675117779106 11.394697056758224 -5.609482089373397,-10.838277876499387 7.376534733756932 -1.6551452720324045,17.21256939260807 -6.003787969090207 13.797122339735296,16.351947356616293 -1.9989510106417478 9.741217401252554,-2.6091564713270556 45.249611002333765 -42.297254461871304,29.89897538448797 96.22454738749337 33.16253594108627,14.37076529228572 9.568150381433963 10.998599332534804,-2.8462478328902 -36.85208351542454 37.123281532524146,28.804212768735663 -107.62758861557154 -38.76275750535056
-17.123625803820445 8.023471075117003 -6.2665795247136264,-9.34348238629936 11.30946175253346 -5.272283429527444,-9.435416328269975 7.1349690757137765 -1.4597123297984385,14.897090448624839 -5.815209639547256 14.340151639392587,16.295962766390122 -2.0476813039547417 9.886436107193314,-2.481048615130318 45.939803355928795 -41.26540891033954,29.82156686695168 97.72195767876586 33.89905851339429,14.397216247463206 9.362775468224967 10.447743246188862,-3.946188463140359 -40.11940388516443 35.904431690986804,28.836804386303694 -107.3768536883824 -38.62305092964427
-16.786360944883526 8.118093957218361 -5.969867825979681,-9.408191949965703 11.179642010271731 -4.64476964701247,-7.924929477554237 6.795815990935093 -1.645490019799605,12.606312039340498 -5.835287478296216 14.94042868738163,16.37270128083969 -2.1371417575827447 9.99169883106223,-2.586715086152254 46.97158040181639 -39.82599589654834,29.689165910453603 99.90080697789232 34.96611804955049,14.550095657639378 9.117952892081352 9.850047412436334,-4.979459727280206 -44.2098373372074 35.13686520382157,28.878454282055074 -107.20269459467202 -38.514501131354116
-16.720715193318032 8.226678633633599 -5.766001060088659,-9.537965900458508 11.08227848079754 -4.080194846747108,-7.260099271529145 6.56006278233314 -2.15976669705017,11.818296553748917 -6.087777112334774 15.22218487258645,16.555210107851533 -2.216760814051016 9.983251767229042,-2.897099561698851 47.73949798966339 -38.83335214642605,29.577319571006324 101.47956660520035 35.735593099087424,14.752247259613917 8.984224635445692 9.582774037204807,-5.267383925040492 -46.62916769924772 35.39180606460384,28.903440160046937 -107.23460647319541 -38.514343429126384
-16.995973079042386 8.328841486569976 -5.757803557485771,-9.691515572675351 11.07156286362354 -3.8138974436127633,-7.844462196560671 6.5364841958230535 -2.8549370277220065,13.090166493249074 -6.512791156020344 15.02531514449942,16.782613210165263 -2.252428471813989 9.85334605111853,-3.3079098667673374 47.88653992426454 -38.74860875706808,29.533356356245733 101.74594029602747 35.859863030060225,14.924840790800435 9.032014049259907 9.81289136287849,-4.5560695304743115 -46.097085693698475 36.72467738296069,28.895111918251114 -107.52615008010298 -38.65596745408138
-17.384296875881077 8.456105997020275 -5.906419023547184,-9.79806767491764 11.158084282219408 -3.8561977424105827,-9.032477346702876 6.657886068563088 -3.4023103744525494,15.22161790531563 -6.89082654729105 14.601264491508966,16.929298937233167 -2.241448260493953 9.720189822583638,-3.57128150539026 47.52976423188889 -39.28254386198216,29.550755413956338 101.07389606641462 35.526585968083815,14.985851501280061 9.17885437258339 10.306064376754152,-3.402243028724489 -43.6497764397474 38.2066011967351,28.854131891418042 -107.98598084759345 -38.8890922610219
