-15.4 9.0 -17.5,-9.0 10.7 -9.7,-10.8 6.4 -15.5,20.4 -12.2 24.8,22.2 3.4 10.3,-3.9 65.5 -38.4,29.6 100.8 35.4,20.0 15.2 12.1,-6.9 -54.9 41.6,28.3 -111.1 -40.4
-16.048283434046635 8.638777227463555 -17.8334058821134,-9.023829130687412 10.33025839715926 -9.770180694598137,-11.52618528782889 6.570390194593503 -15.597666493246845,21.478665531791798 -12.015198226341138 24.120927094761395,22.557811706488074 3.655942666495394 10.235810383524186,-3.7406562350079513 66.08248019415797 -38.785895643813305,29.646075452864697 100.06486646073121 35.01218395970991,20.32921239951141 15.50011313033466 12.280706620418124,-6.714452815112947 -52.83704973252286 41.32647379411147,28.522757308221756 -109.74509653803023 -39.76488277159045
-16.69684233011141 8.607034076364695 -18.135773723318074,-8.969525962185946 10.100503091624496 -9.772599537605892,-12.292558820834257 6.697854741602873 -15.779849231146308,22.581055702932474 -11.90339250397658 23.59254169680096,22.837595194108157 3.8660708248707114 10.253630889698632,-3.5649101650542647 66.5235869363333 -38.98935543472696,29.69050974276262 99.31695903002455 34.61691698279024,20.56209437758269 15.752025036084266 12.556936807912203,-6.610537612695043 -50.326296494926915 41.06691579891221,28.73432658761683 -108.47989474045166 -39.17448700805465
-16.94441595450964 9.1489754624631 -18.16535440485519,-8.804386638108536 10.204550285969885 -9.56596449102534,-12.778907736158175 6.6407501585571405 -16.024187440540395,23.2165085784977 -11.944020065125699 23.585521027967243,22.880735805066337 3.8583675410277714 10.369578513289992,-3.470948119921996 66.2331691059254 -38.63967536633995,29.694598164353792 99.08448149969057 34.487478403403806,20.56088384132813 15.763444600130791 12.816247775838624,-6.624494278922567 -48.42514166528721 41.00843759389414,28.814906400765874 -108.03279976430453 -38.973700758145256
-16.657262630884365 9.967818761298316 -17.868402684655003,-8.603667015965598 10.534503201320504 -9.15592409241748,-12.866652024317405 6.392240866402367 -16.23508597518213,23.241732371726467 -12.069153492559757 24.034402656397326,22.742177068780798 3.6253168755831515 10.487219104117493,-3.5103914839063326 65.1179691949808 -37.79058496593317,29.64464950885387 99.57756262894785 34.73232248261596,20.4096066911318 15.524787841458032 12.909903629391945,-6.652269896768769 -47.9475492776482 41.20177265324476,28.7425333723534 -108.51203325508473 -39.21221094233776
-16.06949938463357 10.101367537940863 -17.432402258834273,-8.568614358575577 10.588027116987092 -8.706414455697434,-12.761378437084502 6.110741658377374 -16.24604138406828,23.048435997494487 -12.01396426149771 24.29250941689536,22.77189939780027 3.3715045807654356 10.366401799884796,-3.6671136225784924 63.66912783525328 -37.000426215294226,29.557997285105202 100.58781527069662 35.24146501157434,20.495555023615267 15.26516405134878 12.660051099694366,-6.39164746324927 -49.20980820910473 41.51847371415573,28.63263516743858 -109.16031788019157 -39.52943129916143
-15.430299423535674 8.596778062138869 -17.053058805182406,-8.897666373802334 9.864569278151318 -8.38539204671005,-12.679507205367127 5.958470762512921 -15.895248804883263,23.04330816730218 -11.515814525705576 23.709330802598064,23.319614739601093 3.305680810707472 9.771755006562303,-3.9203705219058067 62.3979329879045 -36.8344443617109,29.453606126388056 101.88433651066143 35.89334905888311,21.20382673826064 15.218277768177963 11.89859453285105,-5.545899601136543 -52.46859633847901 41.823406881677954,28.60399395627002 -109.2012434395035 -39.55573939493459
-14.927966515597205 5.77279167222102 -16.83373991324489,-9.5155218463119 8.497908801276457 -8.256584292121358,-12.706537593231332 5.976332363606082 -15.273925606598542,23.32491775283232 -10.670025828899062 22.36401539368861,24.2943497487185 3.458113968250811 8.830138525906282,-4.202074330495739 61.59924079818797 -37.337885954949776,29.356776732766136 103.13448855428987 36.51900303499319,22.405647660721883 15.414078332688838 10.809845800055271,-4.282833929517502 -56.81721293762951 42.03162958415621,28.680634190518237 -108.51878545621784 -39.23561615247968
-14.678841314708006 3.451485727716495 -16.768646135602193,-10.023250734185158 7.37176593933004 -8.260493462118037,-12.773187080774072 6.061806682476245 -14.772425601241611,23.627557836841167 -9.995118491136086 21.19835385058293,25.084129306970226 3.6480617637768673 8.096661530281384,-4.388164774942042 61.312030118498164 -37.94122721420621,29.300300642048636 103.88535717888358 36.89339920020398,23.364716508980045 15.64162477032044 9.994751836639967,-3.3194562377967465 -59.97354873567777 42.11753812243691,28.774552668222917 -107.77766285032268 -38.88489231767093
-14.791013746836507 3.500515517418146 -16.84476494096151,-10.012259159730771 7.393177305480514 -8.330838777953636,-12.802451687113006 6.105767774065232 -14.78947218511796,23.6699265246297 -10.022121087568884 21.18315109523553,25.06086803048972 3.686106060825197 8.138228594976908,-4.354563052523824 61.5562455085758 -38.05059705659838,29.316449878908355 103.68982951999108 36.79462620252073,23.32659541124115 15.680243395194873 10.064003829213046,-3.3875621197854286 -59.63137967039167 42.06030197818653,28.792999216387056 -107.67420360457717 -38.834459026948224
-15.197895734608897 6.028576209026692 -17.010311087548505,-9.458919945316843 8.616449806100274 -8.415539356045274,-12.769231120764939 6.070589959654908 -15.343945975174263,23.402814548495005 -10.773158727933804 22.401918437614942,24.192652458347137 3.5325294771069236 8.969992397620121,-4.114275525092893 62.170201259561125 -37.54791518150813,29.39688411119377 102.64452954783232 36.27178712050097,22.259719361281025 15.48748143692378 11.017656389979242,-4.496994126896344 -55.843852661694385 41.89652738478643,28.716691950461197 -108.32986503230039 -39.142886149473796
-15.596599043466801 8.764884471848541 -17.161048553261832,-8.860379508121818 9.942338326721414 -8.481723585843582,-12.718639139690753 6.015371382940984 -15.940885508928172,23.090981905273292 -11.581924283399056 23.73785795602135,23.254056016360952 3.3501261719384767 9.860709059604886,-3.8657540331324936 62.746506649950646 -36.95873949395637,29.47832359756836 101.58163520646144 35.74060676705572,21.110408195215136 15.26197904774181 12.029709815469888,-5.680954282631599 -51.85581434711723 41.74051961727573,28.62573510078171 -109.08843337804305 -39.50035396309819
-15.671420815427986 9.299894636695333 -17.190339015141713,-8.74414416472967 10.2042810869973 -8.49822406708548,-12.700231613055436 6.005245464941449 -16.05544049161767,23.018036071730112 -11.742056968544375 24.00378165537552,23.066661689941547 3.3138738774929775 10.035827133246004,-3.817997266474004 62.865470372345804 -36.847198353103934,29.494414202172912 101.37463773010043 35.637388088992324,20.881887079494284 15.216826246283025 12.226458279323536,-5.916075326990121 -51.09564484621095 41.71062396208258,28.606223677333105 -109.24720385263007 -39.57500888676795
-15.344177685554996 7.032464558142097 -17.07079275776118,-9.241351513042737 9.10966770284021 -8.454314167581359,-12.73105107132773 6.055517745762231 -15.557872211187059,23.26124549193659 -11.07599356767677 22.901186365178976,23.837817061653706 3.467272730324902 9.301226678060665,-4.023006875897971 62.415817925771165 -37.35040715061612,29.428323789511975 102.2431184184965 36.071688588543275,21.82691209778041 15.405295859631746 11.389974786725368,-4.944322386344199 -54.410357998673945 41.83666796949257,28.680416306739353 -108.62609272007938 -39.28192854539808
-14.904841503129722 4.164477552597007 -16.897855407369057,-9.868767637006851 7.720512454363673 -8.370950445655462,-12.777744369997219 6.1042605500955665 -14.930864908775451,23.5780531092875 -10.225807098180509 21.509030393033388,24.822804839651525 3.650032593779831 8.36245658972973,-4.289439101656168 61.76432085920717 -37.94361117854018,29.339979324653925 103.39309817296093 36.64661032885007,23.03501225541279 15.63294406797025 10.31878953175783,-3.6939257859447765 -58.64584991043375 42.01127669877041,28.771625221415604 -107.85507887685813 -38.91893393315466
-14.673394002695963 3.1226007240179885 -16.77722429065932,-10.093912833167852 7.207530711501174 -8.272121780362658,-12.802824676919446 6.083622038630019 -14.706184395986305,23.700154835677118 -9.899430141117032 21.01666208973414,25.20040471904423 3.685731640920004 7.997384327846989,-4.406299488400388 61.317573774401346 -38.049753881314686,29.295549805729028 103.9483646403912 36.92416611533657,23.502220573039423 15.685665791067736 9.893194441736586,-3.188616669425727 -60.326250971928275 42.115789434364245,28.795286406319967 -107.62877285993181 -38.814369709898806
-14.820614801580628 4.864599005669862 -16.78629344491207,-9.708302527582738 8.037789448592285 -8.209410414967024,-12.786916085281561 5.990448552995818 -15.091907171096022,23.51793098198188 -10.386983167856824 21.885009671121164,24.634487970424086 3.5237072720190517 8.527804459979045,-4.277885621431275 61.36535562036923 -37.50837119422434,29.32875411314155 103.47820741147551 36.689068755957955,22.814998017463605 15.497507684926157 10.483177557571002,-3.863771648421654 -57.99125257090214 42.07799431506304,28.723955764769983 -108.18761284464247 -39.08074157855459
-15.251788874309069 7.73442953510286 -16.95209320042252,-9.07997862450836 9.426262955698217 -8.28349903789433,-12.742869802345338 5.936712283969516 -15.720127432508349,23.204129553396573 -11.235119473233445 23.27882910597208,23.65211210437295 3.337076561059644 9.463962013921414,-4.013649139630594 61.98958013231963 -36.90029600338891,29.41556843184863 102.34465535996607 36.12231000381358,21.610430436613566 15.266141969482138 11.550677151380949,-5.107831947673383 -53.76709471120892 41.90833193943177,28.631830065538615 -108.96386932635035 -39.446485043555874
-15.844646061115892 9.812717490431295 -17.295934940627312,-8.635036628371616 10.461694108085997 -8.599259852460461,-12.686857177490426 6.045557698073419 -16.16494137473593,22.960000191287307 -11.91539927256218 24.232450166108066,22.86751032582873 3.3211581440442064 10.234075140964238,-3.743935733306389 63.24888945166397 -36.87983218201303,29.52601435001212 100.99113804709278 35.445572689695126,20.631758720412535 15.215463787607003 12.465739853628639,-6.203201574895065 -50.14296957544225 41.62602917812046,28.603236924263303 -109.3090135751188 -39.60165594319206
-16.44926603553919 10.08206957145631 -17.761243762894953,-8.59627713030846 10.65198210410445 -9.132782643661086,-12.634766059254796 6.337442634733606 -16.20366637888728,22.8973402978677 -12.127674639997597 24.250916855252324,22.628462846717767 3.5433185168029575 10.507108875850376,-3.5616031411012252 64.92952120493923 -37.66644591789889,29.629771161571142 99.81424728137628 34.85713305582218,20.305203758116527 15.428703955797443 12.851381616818502,-6.710532542545383 -48.60969066231036 41.289635202383515,28.671312917549077 -108.94510114839271 -39.415233878559555
-16.859103869459435 9.37225473665933 -18.131941931515076,-8.770174353138085 10.363413727510963 -9.596424495784454,-12.60190371659416 6.622533638618154 -16.029795209954674,22.94475860003574 -12.039315104844826 23.80324587821731,22.73708247828298 3.8088917958314843 10.445052274676355,-3.482737762326676 66.25985753398349 -38.58910205063345,29.695817178288994 99.11465613352993 34.50733313958284,20.407763182850754 15.701027705419337 12.848672669563008,-6.760299193762287 -48.613498072504065 41.03822707440708,28.7643608166404 -108.3531048240396 -39.12261529399585
-16.861298400202738 8.737713422807479 -18.17300658969912,-8.912584971157669 10.066742751912946 -9.670997696528708,-12.603458035125081 6.68572001384806 -15.887419757246453,23.0085485505556 -11.874688995615745 23.475588908598226,22.928963410803043 3.8915835654044857 10.270048692026169,-3.51392879144226 66.40207054529331 -38.869307409938564,29.69314224673396 99.18028729829153 34.54014286107841,20.63725296854199 15.792800508832514 12.661983452140337,-6.552679202940593 -49.35079881170005 41.020352094214424,28.798010020446064 -108.10586304085703 -39.00354078020988
-16.41564173054174 8.812540289375566 -17.813096709551434,-8.879836826324475 10.054391034671978 -9.246500787763978,-12.64110503964083 6.443852178617639 -15.920178348652227,23.02719958205715 -11.789367238004816 23.6029441194629,23.022253594837085 3.6926100180758685 10.144501556687615,-3.6346223355794183 65.10475114792867 -38.170204967682785,29.617977078764213 100.01768924969322 34.95884209568383,20.77872999234505 15.596481942914648 12.458637060566428,-6.268829823048571 -50.16141796647748 41.275466978971735,28.73346477811932 -108.47987699871811 -39.191876990941225
-15.890042486952046 9.237219727662726 -17.367781170894308,-8.765750770483276 10.197240756299053 -8.707405246108054,-12.684581517332058 6.125709265589962 -16.034257919678364,23.015305748452803 -11.77629796105672 23.926634879722215,23.030240954562032 3.4145959878843564 10.089601498610564,-3.7601038709411796 63.50266271931992 -37.19887397234292,29.530944143996024 100.96830014070265 35.43414862199105,20.823470539185838 15.316774660850426 12.318384349963784,-6.044947974263312 -50.724191232121406 41.58516092547602,28.639658835860285 -109.05116810361072 -39.47667483664867
-15.711045153758295 9.509009100191607 -17.208247033072805,-8.698374894118757 10.305389404531887 -8.509279408468512,-12.699036700330705 6.004932569192236 -16.10162417289785,22.99844280521297 -11.804942057717541 24.102445979520876,22.994392794477054 3.3035316428826973 10.106120127778906,-3.796464234843581 62.92982682694349 -36.812585938796104,29.501915092543367 101.27805064288638 35.58902547694044,20.792550198599226 15.203310030612386 12.308254966625787,-6.010615771665498 -50.76721169759006 41.693961857411935,28.601028643462115 -109.29493464560652 -39.59735636117088
-16.08937557444286 9.331673450456615 -17.52083727102862,-8.751705146737121 10.262622884531941 -8.88265775670485,-12.667385577286655 6.221388047366928 -16.048290788806867,22.99406890219878 -11.847754915473928 23.935641294362522,22.949712862744626 3.4871107667477883 10.181183154497463,-3.6997085088360517 64.05554012944816 -37.45574688635289,29.5651787171359 100.57967317040806 35.23983726261337,20.71375511157698 15.38626714442686 12.44719736504227,-6.214074165369383 -50.21209751634928 41.4744046795778,28.661804227852194 -108.93338597039813 -39.416270496629274
-16.645010728878923 8.974240291331606 -17.98593099865775,-8.851783433031496 10.154430479279844 -9.442101594343072,-12.621172395347466 6.548765559000053 -15.94821409740534,22.997422300061544 -11.885388592127969 23.640645833675507,22.913512559239273 3.7692207547631393 10.26456409513232,-3.5624693750483454 65.72958321879763 -38.442648116811455,29.65762475135939 99.56467193299721 34.73233637809247,20.63323985397761 15.668854746281461 12.62254991584706,-6.480913269671575 -49.51019268710051 41.14941098409332,28.756160717432667 -108.36486162187376 -39.13224739510218
