5.2 -25.5 10.8,9.9 -22.8 16.2,-39.7 -3.2 -12.5,55.1 -6.4 -15.0,13.6 -14.8 -23.4,3.9 -15.8 -37.1,25.3 125.0 46.7,17.5 0.3 -6.5,1.5 25.2 49.5,25.8 -123.4 -46.0
6.125313908665231 -24.673798005890802 10.627533562773989,9.967109187363581 -22.581459172472996 16.07425915984871,-40.765834840201435 -3.5873483999002915 -13.02039570360503,55.08954639690366 -6.226293311625479 -14.14378652987904,13.90128959468706 -15.359596727813212 -24.554222769762198,1.4393675652582747 -7.646999279540524 -36.1347301152696,22.17065630051533 134.44358580886356 50.37622440652526,17.985076913696897 -0.11830851374315224 -6.945015836874567,0.5951159522190821 14.532237845742804 47.65868270015791,23.90205999673541 -129.6754984598495 -48.588524227212474
5.074446483219701 -24.59698704634712 10.59345168685369,10.070149178061108 -22.50945800203835 16.163506851135857,-41.08634165079627 -3.844861641776249 -13.271361775848138,56.25138595087638 -6.050850947262372 -14.252626389918724,14.335676217262685 -15.221557008450596 -24.42617799066872,0.6365442160563675 -4.696836089772298 -35.7404875577778,20.68849613830082 139.00588581195532 52.163932725351636,18.343195425622937 0.08033321881806277 -6.5399237182075005,0.3007783740074125 10.54083925317568 46.933769197546084,22.857466361627957 -133.08817968685128 -49.99131093263068
4.572815566647549 -24.64643962608319 10.672232186125033,10.239983983999794 -22.4805747200022 16.393018977970677,-40.97147628841476 -4.111759279500575 -13.320188046917647,56.47751140384457 -5.7580164156041596 -14.51690113231647,14.514538045466912 -15.192922410610018 -24.38233509377415,0.9159805321671894 -5.228043714465079 -35.69459332633279,20.22749403305144 140.5355340823173 52.790498367696706,18.537386673366242 0.044629929267525806 -6.590693376758877,0.5134685601347839 11.503353077416541 47.201385715455714,22.33501401093235 -134.77643807313834 -50.6709607609331
4.707138425283097 -24.73847298486623 10.80839885785866,10.415853900741945 -22.483230528832003 16.659195541416118,-40.59977507595596 -4.326731690729481 -13.220602653108886,55.889870284347715 -5.449967454112911 -14.781288020077456,14.452139761071242 -15.289337741141653 -24.479144331124207,1.8455768178294263 -7.947991742584335 -35.88945108502014,20.554019692066248 139.6862867358093 52.4971883876067,18.56836418051885 -0.18908041141572243 -7.012904016444638,1.0193188729209575 15.567608793951706 48.0836235976753,22.285259410219524 -134.91505700578458 -50.706967954266794
5.037391035226807 -24.798691575591203 10.89744754487065,10.503290634865811 -22.497103419298497 16.8024413288229,-40.31647402232585 -4.409701485965395 -13.112233278958456,55.26937957588555 -5.294770870727233 -14.906940256244981,14.322754591067246 -15.388846106687545 -24.58659776579599,2.5577754769642107 -10.148437692326523 -36.08104529345543,21.03092951829862 138.31175455767593 51.982647483056,18.516731701017907 -0.3847015576431056 -7.3713188670686,1.382691512751386 18.788964300893607 48.75961250315621,22.45299985569057 -134.3534648781456 -50.463273660947316
5.163652866145875 -24.76383141092953 10.850026739873144,10.424016039885442 -22.50376383590536 16.689143237101344,-40.42030324189213 -4.297383793028876 -13.118400774202524,55.30666433258044 -5.431981224193789 -14.779912885688965,14.283741323942163 -15.383356607681698 -24.588694806493514,2.301476351647157 -9.475837013334754 -36.054962911803884,21.089628993293772 138.07095058621024 51.87343621715079,18.4580177284013 -0.3359324296079169 -7.285464568064779,1.2281322570521624 17.74360003047437 48.51839647878073,22.60186023569215 -133.87708742966242 -50.275293287636146
5.0661821836126535 -24.66919898388149 10.713721157556297,10.245228688243497 -22.502001747624387 16.419235621630868,-40.78898795863247 -4.076658582705427 -13.213576881340686,55.85996148415868 -5.744664077694769 -14.50696028297588,14.334891346642571 -15.294235481589212 -24.502334541234465,1.3806420165525637 -6.794077473335756 -35.866129971346915,20.78913845739439 138.83877742401555 52.13465565236963,18.419045784895104 -0.110357735242525 -6.8775379461569095,0.7252823520551774 13.73264931879651 47.64623476467108,22.672091958251563 -133.6720349829407 -50.21205610524913
4.924461418048657 -24.601754435241002 10.607873866192858,10.110360961700012 -22.49963062873126 16.215038141409345,-41.079635233205764 -3.913096341273844 -13.29423230915588,56.351313646778046 -5.981477693203808 -14.310489352784733,14.393426385951225 -15.210688072860037 -24.414059152036437,0.6521169904015963 -4.6530700308099044 -35.7106135982464,20.517365730827862 139.5552146443803 52.38478384640116,18.401116645696607 0.08091411784550308 -6.5331488572434075,0.329428089706512 10.533251019271871 46.95195484038828,22.69650359463769 -133.61036006807836 -50.202997709323775
4.90343717217938 -24.638196937509246 10.63909402986115,10.147591618966521 -22.503487160496164 16.275049296890767,-40.986246671389566 -3.954780157181543 -13.267878606093385,56.26036449619997 -5.917706618114863 -14.387851250572306,14.384577461322687 -15.213812101261809 -24.403509917307804,0.8808774513721346 -5.329521847480023 -35.76338521976651,20.62043110438395 139.2744753178116 52.28346362116118,18.405201178007694 0.04776262485505314 -6.599173830550388,0.44732793232901036 11.51907909370088 47.15834830043836,22.70424739877095 -133.5783642479369 -50.18531515454657
4.995291928739681 -24.741574067986335 10.772234217930388,10.316200232152081 -22.509205734764308 16.533691369264062,-40.6147280855692 -4.156972551952418 -13.166409347068846,55.718400303361996 -5.623585619098811 -14.659854798155497,14.326230459229661 -15.292382210846585 -24.470635540183267,1.8059176868325015 -8.045107551939457 -35.96249672680388,20.97054990341616 138.3496202325564 51.959292693641515,18.43115305675895 -0.1639341444589967 -6.98708866419932,0.9443812701266053 15.553460196597392 48.02691471060805,22.677057678088275 -133.64278823497094 -50.19155353824139
