5.2 -25.5 10.8,9.9 -22.8 16.2,-39.7 -3.2 -12.5,55.1 -6.4 -15.0,13.6 -14.8 -23.4,3.9 -15.8 -37.1,25.3 125.0 46.7,17.5 0.3 -6.5,1.5 25.2 49.5,25.8 -123.4 -46.0
5.145859322000872 -25.266606222079226 10.886769890149255,9.98831648477379 -22.71037354338978 16.331900182651744,-40.08656907705495 -3.5148046144302896 -12.58478237206826,55.419646799639736 -6.1393362373221265 -14.956696319342285,13.727968550228198 -14.971949827097355 -23.776646126581564,3.5233990932155566 -14.258860707955982 -36.820563562037975,24.099650765916063 128.64617800106384 48.11064115649582,17.710291911013865 0.14305386338834486 -6.634241868816974,1.5147688040216627 24.24283751931374 49.153643166524674,24.414317875309344 -127.87681249808949 -47.799123738036684
5.1097139967360725 -24.986718570205415 10.925270557210911,10.245033882244304 -22.588502403123087 16.586666426479116,-40.30195003426886 -4.011877644065889 -12.835297917228827,55.41973772483783 -5.678408576573864 -14.923881822887491,14.018935913844746 -15.218563079532656 -24.264590592231386,3.01596366889428 -12.07807828795961 -36.41685364432941,22.394834603615077 133.976892066603 50.2311667959462,18.126001385188015 -0.1517043085761397 -7.022418912489906,1.4818985553704151 21.734127330964043 48.9029809100438,23.109441407418743 -132.15223318568542 -49.54282416344315
5.100603632037973 -24.791292335658753 10.8944501232266,10.518320220844416 -22.4953443336879 16.812959339470925,-40.288474911723604 -4.422132455844354 -13.120309550209194,55.17264616220043 -5.27726387820504 -14.898337898898717,14.32012055724747 -15.409587775971634 -24.616080448113625,2.573194341917431 -10.18789944409592 -36.081275767905574,21.027193964270527 138.33692732213132 51.99785870207619,18.52505266859911 -0.41531254999474954 -7.426485649960387,1.3905730154203528 18.781451895705146 48.79927943200116,22.493609803354797 -134.22750027090927 -50.4140654399759
5.1257545061935765 -24.781109617254124 10.785246583762943,10.689214129397781 -22.477677249194073 16.897327680537764,-40.00860265423805 -4.541010602127826 -13.330343940110822,54.742465221096424 -5.133234317994812 -14.882700018923916,14.507477013222758 -15.446570848197402 -24.64431048567646,2.3661686052288564 -9.368078039331158 -35.96690007618599,20.652538976105834 139.6544641462744 52.57918612448165,18.731725138756495 -0.5194410431074434 -7.663256007583374,1.246795611401183 16.386567114314865 48.891286901395624,23.003018379589765 -132.66410143477825 -49.82247885383521
5.166867200926035 -24.91060509697658 10.661106077328084,10.721316514358712 -22.521868525196915 16.84746067972773,-39.638618400936735 -4.40311383306092 -13.405194738591048,54.33919232161714 -5.230018173943001 -14.88177005039142,14.54015670605653 -15.357482801309288 -24.426207955074904,2.4151693821285125 -9.656664543667167 -36.05861731516926,21.14720418793808 138.24474200787046 52.07230383049409,18.719508071165873 -0.46874027788157224 -7.69003527126801,1.1222060384591002 15.3323747318101 49.09604957608076,24.139938886938197 -129.03950223938887 -48.388083904504136
5.200580038263746 -25.105189302794706 10.599854402531237,10.594602902154444 -22.602304653862525 16.69507282975591,-39.39721305487081 -4.090475355647847 -13.294427142866619,54.201759632916705 -5.508944646551554 -14.900779430785025,14.393811614971451 -15.1953670117588 -24.09100450564937,2.710572705184138 -10.944609206398328 -36.30796390841711,22.23293458562815 134.89641467191169 50.75854869569419,18.491483278627488 -0.2942341967344977 -7.4919922527036835,1.1014606473795618 16.358363796480297 49.30449440771997,25.221426035273836 -125.5293015323946 -46.970946237449716
5.210398383371272 -25.296753423146566 10.649258097515574,10.321719451107505 -22.693178603615838 16.482010834907115,-39.427846280551485 -3.6958654965674214 -12.992634933091963,54.464946299516896 -5.893738150601832 -14.939904933628485,14.081601505255815 -15.013218387599327 -23.757218951741937,3.2007227183897338 -12.970382555508095 -36.65022462342651,23.5943039781338 130.5498408818952 48.99369455510115,18.08799839798222 -0.04104484166121078 -7.0971224306754905,1.2299178906811652 19.65429212032369 49.432430064304576,25.739664102200848 -123.76218725367924 -46.21987349792574
5.205263538662543 -25.44119339928267 10.74574240726258,10.036326288188814 -22.76796651940494 16.28765171529123,-39.59531674899492 -3.3518255140139694 -12.661200445619775,54.87774245218879 -6.242913924815204 -14.980600555734357,13.755617218326517 -14.863852307047548 -23.50368912806812,3.67827494415417 -14.907661139072635 -36.96048712456481,24.778201918693696 126.70730366767513 47.409234180075636,17.687435900431055 0.19348554385603742 -6.692053812590665,1.4073744624184061 23.37368023634194 49.48782857476947,25.835527726950097 -123.34105672914626 -46.00116110135012
5.2000048056603 -25.499961876017522 10.799958907457315,9.900096274186371 -22.799978613389516 16.200060138890734,-39.699917716485665 -3.2001029795574105 -12.50011481114857,55.09983444072293 -6.399892361327941 -14.999986280526626,13.600109843693968 -14.800042590129916 -23.400067378343536,3.8998455619614854 -15.799381032829675 -37.09990444166611,25.299646330772358 125.0011622448128 46.700484719100395,17.50013104011073 0.2999266027025307 -6.500135214608156,1.4999319151728898 25.19869339911669 49.49999626297963,25.800052646953947 -123.39987023658435 -45.99996581404223
5.2048780911076555 -25.446420034901966 10.750129975184523,10.024798568545675 -22.770767128543376 16.280112423409864,-39.603560800728964 -3.3386792646301764 -12.6476406414266,54.89592692766079 -6.256435442844735 -14.98224426210139,13.742457263299904 -14.85826591511559 -23.494488937101515,3.69718264661304 -14.983930061402232 -36.97249671562745,24.823399984374202 126.55978221515801 47.348090191859214,17.67149065595549 0.2026312443146654 -6.675773287573691,1.4150142003090411 23.526893712776054 49.48920825586061,25.834523917428555 -123.33964202802856 -45.99852119654087
5.210382406326791 -25.30537349345899 10.653582824563934,10.306620196203973 -22.69748957453965 16.47123222414387,-39.43434664995492 -3.6764673831856207 -12.97537564124467,54.48439978231646 -5.913139026109679 -14.942064969304935,14.064347216789113 -15.00459591376802 -23.74213592715868,3.2266012674701776 -13.076036620460775 -36.66746841344841,23.66111781942734 130.33429550651448 48.90531468261952,18.06643324709639 -0.028105166345403988 -7.075547091272417,1.2385564956724313 19.846331074872023 49.43672524531633,25.75250698311567 -123.71504959587686 -46.19842895134655
5.20168291345784 -25.11551653222694 10.59979988560631,10.583546598939229 -22.606915959301553 16.68513402478123,-39.392240044509705 -4.07133679793057 -13.282924908986978,54.206113409482974 -5.526978695779404 -14.902375324444915,14.381137479679564 -15.186099221861799 -24.073095542784632,2.732041161716228 -11.03500794591606 -36.32401896567244,22.299098878483573 134.68803744180366 50.67505375344015,18.474152738030764 -0.28258658771898004 -7.475629962873458,1.1046873788845757 16.47940690620311 49.31327503800257,25.262893053097503 -125.39222957627717 -46.91450929901742
5.168955498673252 -24.920152614079594 10.65624372593393,10.717650157971295 -22.525612139923894 16.841092750341403,-39.622156050826874 -4.389285863701061 -13.40303876835649,54.32556628450132 -5.2417840871475825 -14.882380304330878,14.53583812957608 -15.349932561932063 -24.409849610119974,2.426361953343813 -9.707223333105382 -36.069222552196315,21.19550747554065 138.0983275871263 52.015875817959746,18.71138159817089 -0.46160397180509116 -7.683793402408189,1.1187046262306364 15.34415447691896 49.107698465808575,24.20230788055194 -128.83852044693316 -48.307584230021526
5.12764176845362 -24.78582473589479 10.77934483047477,10.692460099110386 -22.479113837563162 16.89650742450862,-39.99142990804771 -4.537304825759634 -13.335599574267512,54.72221164721725 -5.13509529103416 -14.88251727436542,14.51089416239919 -15.443708393626554 -24.636533800296352,2.36570280555085 -9.36962454245449 -35.969010924875235,20.66663195958761 139.61726834354656 52.56708519448752,18.733714363872778 -0.518829369697917 -7.667140935479838,1.240530242275133 16.319617883071746 48.90016750813606,23.051454379543426 -132.51039797755055 -49.76196995162138
5.101128706720636 -24.786384091861414 10.89061713341855,10.529700501165397 -22.492632823821033 16.820766056430408,-40.280105597792506 -4.435274756841408 -13.133048130563422,55.15441655071457 -5.263606151058589 -14.897321699887433,14.3325990391429 -15.415182493440078 -24.625224968340202,2.5569185865074315 -10.12008081681109 -36.07008821559034,20.98414457217357 138.47771558025667 52.056269958798296,18.540413890490008 -0.42456449064849466 -7.442881648355796,1.3843695307316102 18.64363493848859 48.79957529028196,22.493580100981273 -134.23197665929555 -50.417792857469635
5.108526658149006 -24.971623876132078 10.924032444243748,10.263995250856352 -22.581500814596193 16.60291364805413,-40.304606608322366 -4.042021447847684 -12.855002471651753,55.40633463334917 -5.6493623398139405 -14.921813495309198,14.04012275535796 -15.232808972469686 -24.2913666857666,2.9831295357823997 -11.938437545177534 -36.39198958015293,22.29296989855486 134.2999680267526 50.36146101787541,18.15443688211923 -0.17062869300565345 -7.050445383006127,1.4759890544208336 21.529382737331208 48.89291165842813,23.055775511688115 -132.33129726363404 -49.617256642164115
5.143706769766254 -25.249436032810937 10.887109841199747,10.005964498155265 -22.702781171771495 16.34789934169322,-40.096097695038125 -3.546025026789105 -12.603296254644112,55.4144602624478 -6.1101118217110395 -14.95388238661283,13.748482142913309 -14.987113042328449 -23.80618993533147,3.4875835835868245 -14.108862882527168 -36.79405861152134,23.99061600143305 128.98893541689904 48.24775751622835,17.738383935094785 0.12429102475243503 -6.660204239620379,1.5094379683972283 24.045978376567458 49.13792689587112,24.34373622547163 -128.10973947846554 -47.894870583125446
5.1913195372068905 -25.475871636208232 10.814237470868663,9.893992154006863 -22.792250044096676 16.20301560959829,-39.76419517078195 -3.2196653800197534 -12.495185795713438,55.17094253630117 -6.3889663554510525 -14.992466529782842,13.600403204418182 -14.81321622386065 -23.434372669965725,3.8624290244716506 -15.661372797749113 -37.07711602178354,25.201536811750053 125.2841658092187 46.8043317759054,17.50587183364605 0.2951590321886629 -6.490367533046637,1.5037111485736903 25.20990942696652 49.44515611796862,25.62654411533294 -123.95493470242116 -46.220729679905574
5.2350870837814165 -25.52557120582332 10.737055463283985,10.035780890811814 -22.79540945873535 16.28560368368708,-39.42337226848505 -3.287381049335237 -12.624133647576318,54.699672987645094 -6.277845526398108 -15.031663508726615,13.711344474372005 -14.823885335215943 -23.400606617927448,3.9189899095718097 -15.74245145727356 -37.07099086602108,25.182995836442625 125.49957290450025 46.94764912685615,17.630624068741064 0.20930632465931887 -6.709648655647955,1.4711462159698838 24.198881391403248 49.71541967721605,26.254063310746268 -121.9866356221027 -45.45455533461963
5.252399022894226 -25.40239184794946 10.66790603778357,10.326356450635688 -22.72530710215631 16.505232356648033,-39.220922986443476 -3.6408756233923096 -12.918730613025128,54.24371389894877 -5.907307504781614 -15.032050961769196,14.007720203120284 -14.976679349820492 -23.651820927749245,3.6018580884226536 -14.30744007197966 -36.80692268586535,24.114431220733245 128.99405528762318 48.39528600422082,18.00967844472094 -0.041402044476368194 -7.143632857413006,1.3777405310734843 21.30718108765665 49.782769189382584,26.138818926805648 -122.45908434970164 -45.68754830999137
5.217966006304523 -25.164855609807525 10.610967452913698,10.57077182419759 -22.62356578084539 16.683572509619086,-39.31802611316781 -4.031089519422112 -13.237818674721087,54.13884750748365 -5.551171157439615 -14.940025949566593,14.33596965573462 -15.163496725884624 -24.01743758120323,2.912004212289804 -11.653865973358432 -36.40135751711871,22.565406119161274 133.87639551146572 50.357630159088465,18.42302117765727 -0.2701121251430304 -7.47274538914683,1.1698872559684854 17.30146388257991 49.45300982649891,25.431369215869886 -124.8373207140159 -46.68578752180213
5.114046137724826 -24.876356246967884 10.571009959877443,10.59726817163895 -22.5305717594234 16.664915991088392,-39.833668697845404 -4.2311769036369435 -13.4494812232911,54.65677386305197 -5.453684016063237 -14.717559708881529,14.552919477507611 -15.284407151512509 -24.334378656081455,1.8915649651847748 -8.183372262356668 -35.97392280300558,21.09615474144638 138.30539931903763 52.07172380292619,18.667951351192322 -0.31125780714739104 -7.419260173567028,0.8144278667376701 13.02165304055346 48.591506475936,24.313223340760317 -128.49093698001536 -48.178445758359445
4.984615762424563 -24.638479035149714 10.55787692773449,10.426090823491204 -22.47577832999894 16.480865914052004,-40.54185254429606 -4.199820641866067 -13.499312263028635,55.54312720617802 -5.613402601360478 -14.454231717373522,14.602564594354906 -15.308131442629223 -24.504249661025653,0.917234269376292 -5.13792678872473 -35.66774128205657,20.179333682584065 140.88490393051964 53.00710144818813,18.686579086300778 -0.17590358541515877 -7.051466596199027,0.4457774852050339 9.892261855046133 47.550872760974116,23.21171813496517 -132.0330427288241 -49.60277408275371
4.90378865034919 -24.571458421414672 10.583888962475134,10.17124201386308 -22.483300142048254 16.25449071816911,-41.048120884216935 -3.9862984884011667 -13.370754742429762,56.28666037082322 -5.908910891881795 -14.301933398912078,14.471464778907595 -15.236913213953777 -24.46024145085473,0.5290725545617921 -4.169833522970933 -35.63740860056298,20.244834810311428 140.43605837348318 52.74682513228711,18.49172668920065 0.03863615493393008 -6.606615676666208,0.28017855035095346 9.62326278886756 46.921649078348636,22.674229705955828 -133.70735205446258 -50.2534762530471
4.9362481883855995 -24.774455615101484 10.65732282277984,9.943589676556297 -22.571124647823883 16.101892480972104,-41.00249412164439 -3.648324160694725 -13.061256544199239,56.42587968103037 -6.21921435330701 -14.392763521577692,14.160012852217797 -15.079143084286422 -24.155118776433717,1.1833521348912968 -6.655450933591637 -36.006145586147674,21.620996349328696 136.0817278171933 50.989352988466436,18.110097085055976 0.23747618488680616 -6.308406621323005,0.5021445070520126 13.585718250856306 47.21914939481846,23.16825280731507 -132.01799804928206 -49.53153768052224
5.053214821266664 -25.140976797112934 10.747063452750501,9.817438290587296 -22.698150370021402 16.065585736541955,-40.49752705450162 -3.3194980107116425 -12.701640698313577,55.998818555766086 -6.435286872938654 -14.662720971630229,13.799999596382252 -14.900641657670315 -23.729457074602728,2.5127923301898076 -11.267256961942305 -36.59205436099898,23.65379960536878 129.8574344539572 48.54513726578093,17.69840396751182 0.3549611213594164 -6.237976206027749,0.9830134977767978 19.844196596616197 48.21329407054357,24.378474114582435 -128.01968376276642 -47.87833782313516
5.173384887387166 -25.448954570914744 10.799858467938334,9.84654448206987 -22.79006915981585 16.146730447101273,-39.874469022388745 -3.176067000601659 -12.497684117611373,55.32423359312924 -6.454828326321448 -14.937600838955806,13.597058541430258 -14.799503919656113 -23.429377233845457,3.6872938922803358 -15.158208495793408 -37.04176708326773,25.137163022835324 125.43554930278087 46.84954631200993,17.486424206606085 0.341862108193114 -6.396344273802946,1.4181260716479411 24.605089654714742 49.255108744905556,25.54965947707629 -124.20047614846303 -46.31993458231444
5.222032878526419 -25.49608059332399 10.76855162841099,10.071816375067296 -22.780066483029724 16.339745761199264,-39.45573438320336 -3.370556496754139 -12.630819065350797,54.7105364589413 -6.194374325632501 -15.055864364296786,13.73234917061554 -14.862268036883318 -23.47569184510029,3.9478639221275054 -15.736203877559976 -37.03628739726854,24.986773955015508 126.11036548529209 47.187673041242384,17.675315414690818 0.15981970364594572 -6.771835237635289,1.5283196968628399 24.445165293623425 49.74175607469032,25.98529880991133 -122.85211780671624 -45.800228805705274
5.207695145888608 -25.324687990354427 10.67971650296603,10.387454883191076 -22.692734356600155 16.566035588918897,-39.312627188072696 -3.7742145470999393 -12.989780487848058,54.309584363660875 -5.788556320349688 -15.017465008665637,14.092973066165934 -15.036951410813511 -23.781358599801138,3.421958506614449 -13.569294292013831 -36.67835677541481,23.605259366668164 130.56939286054796 49.0168632314824,18.12409001683619 -0.10529237228671887 -7.215547431134004,1.3535882031760185 20.48705594481766 49.66090031980833,25.728426527901075 -123.79876153240389 -46.232452685952836
5.192625369339138 -25.134943093953197 10.607494278936484,10.593011106858034 -22.611636765925336 16.699897234881064,-39.35444483859479 -4.076819961854756 -13.274466352747142,54.1722316433191 -5.512712751757833 -14.92654476228135,14.376317035453878 -15.182203207309652 -24.060719125185475,2.8089363041846482 -11.264339209318322 -36.342805611474056,22.354562100921022 134.52802305368922 50.61527096003425,18.471021607607977 -0.28744997268220257 -7.490046233471247,1.1398327503788637 16.786209886872236 49.381174516379524,25.299202529535737 -125.27256669752242 -46.8648908963475
5.233350327504834 -25.116161087465752 10.620907076631887,10.50474617689346 -22.615184785232145 16.627075098897006,-39.48846029322838 -3.9912051999262603 -13.20624389696732,54.337082737342406 -5.6200008558432355 -14.883437297504473,14.301719093395473 -15.16597386920973 -24.045888094870385,2.7690631883983134 -11.273841885509562 -36.380296811644335,22.50776486506665 133.9846055438963 50.37592187315779,18.38071859640119 -0.2334833707537993 -7.378203693683976,1.119562146151249 17.139287994184215 49.256376474734964,25.192897758568286 -125.59255983499548 -46.9837143397587
5.293104109895778 -25.26772841054501 10.705691369912756,10.196553908457064 -22.69534932907186 16.405639550884565,-39.63146524289415 -3.5975886477141548 -12.853275653135062,54.693882172419144 -6.018053729236689 -14.910361844509774,13.942308149170527 -15.008232710856777 -23.76599960575454,3.2775884738817913 -13.397043645877273 -36.737138377826355,23.860852872341248 129.62161705294852 48.5870117782385,17.94062045856905 0.009866321226812665 -6.969757381136233,1.288268540673803 21.00856268134641 49.34185619271491,25.442122092835792 -124.67533969341551 -46.56495944296042
5.2661569049586365 -25.448632215256332 10.786017146175382,9.932775568929692 -22.78020294357892 16.221047911074642,-39.70728782402608 -3.247768029672698 -12.540082467575788,55.02233412382773 -6.359085820150346 -14.971793809025224,13.632742717977688 -14.841324566192421 -23.469750705649897,3.803382951452266 -15.471839272699935 -37.060730735362675,25.11791006905892 125.58413883021944 46.9376857824152,17.550732209973408 0.24807973036695163 -6.581286256344686,1.4662364288122982 24.652236036086705 49.472344822159144,25.73747670319292 -123.61846371456016 -46.09462561254901
5.059330523401566 -25.51997717327965 10.788873352293852,9.965743781514718 -22.79971928230592 16.249976769152006,-39.64650268368427 -3.2784499312779043 -12.577044309929839,55.10868391343931 -6.31118866044307 -15.030676312475117,13.692202640549358 -14.79442093061406 -23.399351508452504,3.8331340043135893 -15.417590002427682 -37.01368992015939,25.035527646490614 125.84864919434027 47.048073006534246,17.593661637626006 0.29261698097894184 -6.5189580353470795,1.4795710339098873 24.476619233576596 49.4866237258889,25.778061671843975 -123.48814096176788 -46.04427575579305
4.824797187733504 -25.436533529592992 10.715057954540743,10.262525515229465 -22.742733440978512 16.46533436182985,-39.49365572361162 -3.6547598477519414 -12.925594714299171,54.897120765344816 -5.9210842498509635 -15.046860133684481,14.065655626237428 -14.89612097240207 -23.59554485192161,3.367626030677098 -13.360628007489723 -36.64346276811428,23.72282475067284 130.06627719789108 48.774434310804196,18.023862506738112 0.11847635302549567 -6.816561982381056,1.3263017021726475 20.75353006771117 49.3831740194077,25.548993804442183 -124.32830178216993 -46.42845291171202
4.92225685599043 -25.232297825069924 10.627799703570954,10.548898006572085 -22.64786800789017 16.667673050997745,-39.38969454394609 -4.027524302250578 -13.252013589177341,54.46542952357914 -5.555756221352945 -14.977580417567717,14.381544966675682 -15.089955539999561 -23.928664046917397,2.8424883861465533 -11.29403464307048 -36.32300225101129,22.432945767418186 134.2295888938674 50.48107632062516,18.433637836781916 -0.16101639787942254 -7.277498168963716,1.1498784605316181 17.02439500905615 49.295557610605535,25.27731492524821 -125.31819003024093 -46.87513342211676
5.679199456119243 -24.95050035361702 10.590501640740081,10.555376324287705 -22.556245263266824 16.66141092383755,-39.469826781580046 -4.052883331000072 -13.229212979068606,53.90848848621522 -5.574941090900205 -14.787533232114557,14.27837028943297 -15.312793605853663 -24.25985220632574,2.6915423708775195 -11.18177031486106 -36.415722180730526,22.39875689702528 134.394349002256 50.55785806804119,18.4228393606044 -0.4255603745282753 -7.694595376217286,1.0934230811880232 16.778850308140075 49.35373168196165,25.189843007200686 -125.63804555338238 -47.01311350837401
6.583368205405757 -24.780401099485225 10.627722702171434,10.27988373650922 -22.529171905130035 16.45241260134069,-39.67904814904672 -3.716704833721701 -12.875339984793754,53.60042617691911 -5.962671021445863 -14.604896257221313,13.828666629512089 -15.41520147625816 -24.367417343160028,3.0125564584039313 -13.082248549259067 -36.85607758969193,23.632623660723592 130.48368267973555 48.9669747419674,18.002157104635895 -0.49812274626130326 -7.788863756399522,1.1936648059137949 20.15195842604488 49.517311009816495,25.343382802382465 -125.08001384461723 -46.752866607401906
6.310381614817173 -25.0524863451403 10.726455427891176,9.978955784139254 -22.6474751180557 16.24136300570607,-39.778399124226844 -3.323738750288036 -12.542420858068054,54.18543589552096 -6.339631962772441 -14.71595134202078,13.524727591159476 -15.164281567128366 -23.9495570867873,3.578300167619263 -15.211015636535327 -37.16367458221712,24.966557143140665 126.1608654390416 47.19123843094064,17.579605579326675 -0.14680484703189822 -7.211857181518089,1.384439942894549 24.034550892083033 49.58117108090958,25.63031813058232 -124.02801847294776 -46.27727809063656
3.5580287516015 -26.083523433855355 10.871240727997392,9.911438253055803 -22.986472683945458 16.23044619760152,-39.533347022885366 -3.183046872032172 -12.583566551147012,56.29314775108717 -6.324265804155823 -15.401239522976368,13.860255438337669 -14.33574638930595 -22.717671367947904,4.147440997047662 -15.766423257315099 -36.86385236874217,25.22058735831802 125.13341141734341 46.7323725145461,17.568171448742252 0.8497305984602316 -5.631604702537332,1.593870706187369 25.283008246835458 49.34162658869055,25.93698469619119 -122.88760545488392 -45.7787352809646
-1.438529359188857 -27.64917599066188 11.021226004672767,10.106684474057849 -23.446408595668775 16.442267298034935,-39.04107585184938 -3.361325799496611 -13.00292765095441,59.84238097099879 -5.885252281606972 -16.602465969710348,14.891481233623784 -13.039038210678264 -20.840537498517676,4.456233891950135 -14.561871042919845 -36.11206432240688,24.22231588272278 128.09032499877782 47.89056146555022,18.067743907755442 2.357402086210293 -3.2522542438069135,1.70830504411723 23.48083661300011 48.821971720301626,26.168528401985917 -121.99257544442048 -45.40406890967432
-6.744431719803105 -28.926869868363525 11.107483902724935,10.340323675815343 -23.733967367578696 16.70089110907072,-38.76551160766385 -3.6573160890937677 -13.41884835552015,63.966090808690154 -5.378489888127642 -17.886722986886976,16.190973133376 -11.752566910425172 -18.992603729849638,4.216154747874859 -13.19633624222121 -35.760410466959826,22.913303311296772 132.38338243685644 49.63758277183308,18.832055349602832 3.8491813783963025 -0.8706803172991306,1.5679057785249513 21.226619404062205 48.296446465085786,26.25089148016809 -121.59740828441772 -45.249742887517925
-10.367385662740494 -29.08984336585533 11.06239301374012,10.380342724174348 -23.557470478063067 16.824046404689142,-39.16898370537813 -3.857807252181055 -13.440101769214376,67.75142686067589 -5.1737577638139385 -18.808817387048343,17.307240094319873 -10.963241672792579 -17.85785718933926,3.163647003773331 -13.321980869615269 -36.6611397073191,22.277454034220767 135.21964096470185 50.88510719182017,19.5941179686515 4.788277212762167 0.6999773169703416,1.0227779683722342 21.207247465704793 48.04669512983684,26.115149394912518 -121.93969458612737 -45.40441156323732
-11.433002399755129 -28.291671749180118 10.919356862630194,10.195689244309953 -23.051984902196857 16.773684141542258,-39.960368181243155 -3.819740376534116 -13.056094108249392,70.09742460692267 -5.415336543292341 -19.183578716344222,17.82432710264368 -10.770000900887537 -17.511324789961076,1.9963951132225293 -15.154805107187594 -38.351784129132234,22.738265930051426 134.83086581933478 50.861139009020086,19.984171848681132 5.025034337983134 1.174200155846499,0.3746227826727033 23.629660138330102 48.14994927435243,25.840941161420027 -122.78887552465898 -45.76619855080258
-10.480455621279276 -27.925542722388585 10.839522564619395,10.009420892094708 -22.892186997629196 16.694120745980552,-39.89581745594029 -3.4887615254503186 -12.73753297353377,69.66525376648826 -5.962369442628466 -19.154628992846188,17.37121359625543 -10.781203307363823 -17.258017948646227,2.6275495966559106 -17.094817156731683 -38.70744812609967,24.010616366817416 130.74454078101726 49.193678615822904,19.502504219673455 4.899321646404555 0.9336340432096166,0.4961737739326466 25.56495792873347 48.4249654726292,25.695760820110365 -123.32242861024426 -45.992305947847306
-8.14231500386691 -29.439052996893007 10.988852234488881,10.056269160526313 -23.77441593536791 16.739235629842977,-37.69952361535988 -2.8187648030749854 -12.976602253493192,65.145203288253 -6.656827409370823 -18.889193849731615,15.590602204329155 -10.579046249128378 -16.364794176412598,7.004164127268548 -17.45129865172784 -35.5396151764102,25.763427068191884 122.59712143660518 45.55021620654431,17.65356833858935 4.778833104991406 0.40007038233652975,2.2763453877864426 23.92696854635908 48.66890882057098,25.95496503067208 -122.6842291193483 -45.72551724354613
-5.187525226282655 -33.01767529622623 11.363446458619588,10.338396409307112 -25.744000901713818 16.955559592091902,-33.5610501211636 -1.8921712222971796 -13.793085178516023,57.457834814764794 -7.396955675600279 -18.680692350717067,12.669993584142405 -10.012590436596101 -14.663575951740686,14.858484292295122 -15.82872993512411 -28.8220879452395,27.64066909342044 111.32413387979078 40.293244704251016,14.57014726924435 4.85141334700832 -0.1380838373833896,5.5762387962504345 17.835554055580836 48.427170361091044,26.68341097687012 -120.23792983711745 -44.66072591430795
-2.582465728035245 -37.019662226327796 11.713491471966915,10.521266699739728 -27.903781634835617 17.23421116876826,-29.791428756087996 -0.9774746030867452 -14.522854369399617,50.75255214094675 -8.162469682179173 -19.005238110295192,9.58561115439385 -9.317243795559246 -12.804349656665973,22.716302168745074 -13.706694874520416 -21.659132631507763,29.250191570442936 99.74181306255578 34.791436282187945,11.294678653446452 5.044532966537664 -0.5855268101790556,8.76895469855078 9.604328000135938 46.880639218804426,27.64120854280301 -115.66536297410619 -42.568266849522196
-1.299507731341008 -39.67326138745483 11.772355241967823,10.24759210268349 -29.29004025012119 17.454070685049842,-28.843359825675947 -0.35509568884872084 -14.455962321226403,49.38757118801969 -8.939751058465681 -20.345357973410533,7.367686651655628 -8.756718045999433 -11.494688446888729,26.888103443018487 -12.696996408498402 -17.371385330580296,30.20082683395462 90.79234821792211 30.482032757510503,8.93242794810935 5.265532286690483 -0.8632061386709242,10.125252492827201 1.7818186568702012 43.19501097639756,28.565867940976812 -108.68671320908899 -39.23165311904276
-1.622636891725046 -40.152754776982256 11.450084285006255,9.422002352715221 -29.463383507817476 17.488562698448668,-31.396483113577872 -0.11364965547633232 -13.443169173057862,54.527353403343476 -9.736281921087722 -22.609804907204122,6.48466297076939 -8.454039541078412 -10.973668828135288,26.278066843382273 -13.353817244553753 -17.195934990798246,30.378663518374932 85.8725248892543 28.061646945964334,7.979927170548521 5.439777398270855 -0.974743134287123,8.943053315360174 -4.177987992783486 37.5062343764033,29.285941236896228 -100.00089015575821 -34.963681145083775
-2.6929148360121493 -39.20312182808394 10.95006386353832,8.3839881197487 -28.854952450767577 17.202053575454286,-35.18663252943203 -0.023297599412202302 -12.266175906396214,62.033781408446345 -10.594577448208426 -24.754697216335195,6.472247055479432 -8.298655236008337 -10.702524038449184,24.096670131755126 -14.475377103977 -18.910564882857816,30.1301178745003 83.81330054853376 26.99722805176396,7.923030443517733 5.522562507994919 -1.0610219636202562,6.225671164638793 -8.638370521425275 31.561165919983328,29.78113695030371 -91.93177684347869 -30.955914556312152
-3.547997953300056 -37.71553868261789 10.502626699938778,7.512557388661552 -27.9764503292654 16.459719749043472,-37.683390428438685 0.17463055130509822 -11.79031041417119,67.28923960586371 -11.559613899273188 -25.65269503699797,6.7799008165279675 -8.158452740194607 -10.072241295146982,23.943029970452255 -14.701143654623582 -19.977686062413856,29.84366733945366 83.20749838401193 26.641515595129505,8.15423312123483 5.472556282501204 -1.2745261376899344,3.13453751720828 -12.131620250603898 27.2499771068599,30.045706961068333 -86.9440304378529 -28.47641433267789
-3.7203290878361615 -36.3659145320933 10.257466674176918,7.018188633702632 -27.167423853582665 15.315861454820949,-37.64065904677298 0.6031311595641876 -12.409774701176959,67.99994539834167 -12.580679817691491 -24.899216028954523,7.049900147429609 -7.9539774151192155 -8.825183564687025,27.441721626066663 -13.444111227596355 -19.08521197925091,29.75548705458726 83.07764389992126 26.543555198631008,8.285541085265738 5.311244883290315 -1.6151906619917444,0.5273085945278526 -14.925759520563304 25.48920634939445,30.10706604131014 -86.08919187263606 -28.07090044260973
