-21.2 -16.3 -9.5,-16.7 -7.9 -11.1,-19.5 5.7 7.6,40.2 6.1 10.2,2.8 1.4 1.8,-5.7 -16.9 -56.8,23.8 49.7 11.2,2.8 12.1 -1.7,6.7 12.0 48.6,22.3 -45.2 -9.4
-23.24879170251932 -13.862888028062601 -8.687030246330385,-14.615090573290829 -9.829782435800409 -13.750167724098803,-23.26269287240825 7.229399547825038 12.505088016788044,36.49390480304095 3.890366942802411 13.325877464849226,7.970088710820301 0.8505110860562213 2.455718323947289,-3.460354516623315 -20.4708867409508 -51.8931958940802,17.23171863082503 32.351027228579674 5.0698338331717325,7.493419430783856 12.33340703579234 2.4079947486044326,-4.461658573838031 -0.25249429866938466 46.65446447254111,19.356440533986564 -37.28941003863263 -6.597795800587089
-23.37957174345373 -14.415743830442937 -8.359720607107032,-14.725243381742272 -9.976434343538386 -13.147545607697072,-23.793630936751004 7.228451050394827 11.879358852913953,36.92024080741743 3.3389226529241087 12.963105608761357,7.7716417300550775 0.7872061048520012 2.2740178380541067,-3.6126591575452713 -17.608438461487466 -51.526934411205836,17.030933006745297 31.874859216326687 4.923051515304652,7.372392605080824 12.278378044005565 2.086168998816406,-4.605790273485511 -3.2789894067640155 45.350578863362216,19.67818101882812 -38.08080042723487 -6.886939904158374
-22.757130970051698 -14.572607198978544 -8.879427875389881,-14.487304823289799 -8.726137052541942 -13.270387799315161,-24.765003803899205 7.693649381267914 10.472129297900013,37.79984590259702 2.1681006739711344 12.817925153370261,7.440564480826829 0.9236366099085697 2.5670886067658767,-4.070145592543475 -15.74227557913178 -51.61694650463472,16.986783798307584 31.757507715710076 4.887267598128447,6.98126271501289 12.467111807071321 2.4062482732665726,-3.820036079366157 -6.463237424770161 43.35387293630398,20.244707419836136 -39.59935560850908 -7.4182668161772165
-21.643233847721323 -14.416989498483861 -10.02487760100625,-14.093001294313618 -6.52365025630596 -13.987199849213425,-25.991068854624597 8.457904639321454 8.551868351447249,39.048308160196015 0.6605496052905224 12.839936711450706,7.051739375409381 1.216247345066231 3.1694684791333825,-4.750256314141574 -14.934344611243363 -52.111815427328736,17.095236451734433 31.99812765080229 4.959685023034605,6.4347988491236086 12.838504995510428 3.1829175822509153,-2.2526416558595357 -9.046498981760315 41.18639889833196,20.89690459474144 -41.39674529148622 -8.035158585812107
-20.67169881804526 -14.224038514668493 -11.155081069396378,-13.938023596121969 -4.386314636230581 -14.86496202963372,-27.124115227694578 9.155580278161793 6.73942411003131,40.46287175480186 -0.6315780486263903 12.836309755098279,6.751689789296085 1.5241320776935012 3.706303045141093,-5.487431152969547 -14.599372788513271 -52.789377983341836,17.255796971054465 32.38475425229589 5.069642318444866,5.981856985978043 13.212456897953452 3.9430508567145086,-0.30999155988476845 -10.056500541562976 39.69282587575009,21.346927023665838 -42.65103551178024 -8.454621260878822
-20.423762631728614 -14.242288524317729 -11.677811957774075,-14.372346810113912 -3.2611240792525904 -15.49143005123221,-27.82454703002413 9.444904922406579 5.613187720921632,41.814449347866216 -1.1953050120424913 12.639844592435379,6.669837390133506 1.714682478730477 3.832391653303479,-6.107125288301286 -14.21053604614409 -53.43206798045012,17.375867703897864 32.72043046126866 5.151932011134873,5.846602277916723 13.420453731686582 4.246557143735442,1.5920358245059745 -8.690880928500324 39.62496960207317,21.336172401606678 -42.623479702993215 -8.422883895428617
-20.88824233171351 -14.420118180217452 -11.557202884347605,-15.242035911072527 -3.2955163549674307 -15.702850257067718,-27.853953946992117 9.255757994473747 5.268352933678352,42.605717871376825 -0.9583101227175124 12.368482532015708,6.74753192671646 1.752385651378664 3.5365921722385014,-6.347246137664713 -13.921337236534558 -53.88701141105883,17.455604158053966 32.98707842486896 5.20552688178074,5.978807640674961 13.42798171998218 4.030586185694547,2.960958490431876 -5.969350245532257 40.71970566856176,20.92821480817548 -41.49250925002044 -8.007917866507587
-21.697139314401454 -14.52512176617203 -11.092482637554337,-16.089649747744883 -4.155354887593065 -15.485135425157592,-27.03486995250642 8.681634768482738 5.50908268033287,42.177795308522555 -0.1136803302263465 12.311905911752618,6.81284703220442 1.660209483635403 3.0089666257790713,-5.892970915994513 -14.295041557321746 -54.04029850759114,17.55102726641062 33.274359615474175 5.2680556141127175,6.1629789638796115 13.28123557393952 3.459500595901897,3.2581559065018997 -4.0090559914562345 42.102609066052445,20.380675842790886 -39.98897376320653 -7.471480634734917
-22.500838333265097 -14.34141675363564 -10.573201727182962,-16.48831018364615 -5.497346468589886 -14.836895848439474,-25.237347188452706 7.826372277177233 6.135323697781524,39.96059129403214 1.132873664097975 12.727898751639026,6.709084467797643 1.4638583141927497 2.4378788365223154,-4.479354894967624 -15.848901622074893 -53.791007295931834,17.713690982370927 33.66465142118073 5.374284578849215,6.198703260300295 13.0287971400763 2.7034478008317118,2.028759242424278 -4.735780298199037 42.95285665337747,19.943702487689134 -38.820953771270936 -7.066730497596832
-23.247266995885518 -13.895985624131749 -10.106408288578065,-16.454943215177664 -6.945763238973723 -13.892700164480631,-22.927886234086348 6.897216455313693 6.944254787726138,36.54689437504704 2.460948860221411 13.436516658379766,6.494009695965423 1.2137318213094426 1.954664076179614,-2.4880151645199895 -18.440305459959212 -53.19732175289096,17.92826405734947 34.128342519696176 5.5156200057577855,6.107282228892929 12.735577273752073 1.9665917898033967,-0.10388510309947846 -7.437485114797171 43.24184872667944,19.73786332307267 -38.30860293586882 -6.902924690699448
-24.08987602661363 -13.383566102284366 -9.673089769369005,-16.3130256678622 -8.102473607462125 -12.881028131056162,-20.984975186252605 6.172841334643527 7.731142843515366,33.332733691466956 3.4709203296614426 13.95546111874194,6.373525658233271 0.9772876064554584 1.6512660284572183,-0.7471713736413237 -21.470849861465577 -52.427325825919,18.1332153257114 34.558467122020616 5.653517779004486,6.063163553164806 12.477765840205455 1.4765929659174488,-1.771670266272981 -9.580098965587403 43.488201647840654,19.794222655442454 -38.50412044521741 -6.9899230205534275
-25.168415667416337 -13.001677727962122 -9.250793153157325,-16.38046163054456 -8.601023655033531 -12.017093175642623,-20.24508548833483 5.910351966251299 8.294782435507626,31.670935669909124 3.7914013852939714 13.830189005841891,6.542599713470106 0.8185858842329607 1.6053352190419283,-0.04466458204534174 -24.301203778073738 -51.650610597864386,18.271939366887842 34.85834079703401 5.752779358990488,6.233944247804392 12.326484962303974 1.436354973387996,-1.6803739770301054 -8.771295866537125 44.185642131639575,20.13465858663363 -39.43628119321306 -7.329552993139916
-26.34532368883557 -12.93916942210831 -8.802536309306824,-16.793202132792132 -8.575702223029984 -11.280183267215182,-20.76194135547894 6.008479386205311 8.489550825493687,31.991733609649298 3.5157576949550786 13.132593140304474,6.97978586661384 0.7434372108592495 1.6839378278977668,-0.40038610062008256 -25.795426045926877 -51.026172086480315,18.378943729736488 35.11553913951636 5.839647163744301,6.632930359562239 12.270361975837446 1.6555834269360268,0.08150089039206632 -5.3934399244867866 45.27018184999605,20.665616177939814 -40.851833814102775 -7.829264832411792
-27.26372764891988 -13.378033020338634 -8.279846880598805,-17.543302172778883 -8.556806311444248 -10.463006729878783,-21.97023800614959 6.0825375848799705 8.213782374655988,33.99573587184721 3.1049003787260823 12.350893740217092,7.492489459892977 0.7115858949991404 1.5876011939083714,-1.2269007044731788 -24.424835609733755 -50.70462729228539,18.560791881059025 35.56335822059887 5.988953670745449,7.151408233765418 12.23278391495816 1.6330266195399075,2.331935026455479 -2.023235336017117 46.236768270498935,21.202251251047613 -42.27448887026239 -8.321871290484431
-27.579694992462233 -14.485005088814571 -7.634251121761876,-18.612955522302073 -9.05949173876924 -9.368769665610422,-23.30416945426345 5.760236783614499 7.383212496094903,37.35029301112893 3.0080726624444054 11.954920982231416,7.884437959631409 0.6818577775703686 1.0297020838952224,-1.9440166222899036 -18.794119602879757 -50.824458518257195,18.922312905088997 36.43245983154342 6.275112555882378,7.673551870035076 12.138071525502035 0.8868994439982767,3.9070892532887784 -1.161299520120156 46.594323336217585,21.566548960297897 -43.24658441438167 -8.647318384058318
-27.315067497912672 -16.135653688470672 -6.823311802509314,-19.869734651788914 -10.097360362683814 -8.101990375251328,-24.514903247571734 5.058385009205423 6.226631884095668,41.465114090410914 3.255099910380147 11.839448998698009,7.978603297886689 0.6196395189886957 0.05979640885044775,-2.431995077550517 -10.292367658951386 -51.29408340900751,19.496797784204656 37.8257059602392 6.73880399411584,8.010488244951844 11.96301523124553 -0.524327443710065,4.571473612731949 -2.6800355989175064 46.35455383103228,21.760634747742618 -43.78810506879227 -8.822778423626339
-26.822528393672123 -17.942186109445565 -5.810051696678292,-21.077537514208373 -11.230360450782298 -7.039722861542427,-25.640308251770435 4.345727727151219 5.255988506737017,45.51687245402192 3.4964456762879994 11.37911598569934,7.615363950481212 0.496252015169382 -0.9684872030788683,-2.9875752212844566 -2.8271505504467216 -51.81382702814284,20.252831568282367 39.730364173751795 7.390196341145647,7.907273589301562 11.731864073836793 -2.0535241690992123,4.929286374170161 -4.074637172844257 45.9839334550366,21.949570239022734 -44.35106490437794 -9.025724207201833
-26.456857802693595 -19.50587305126716 -4.569908017858244,-21.99585124487732 -12.009594842767628 -6.5584487706721015,-26.722541190744455 3.991188079877721 4.973547180271337,48.69135461556789 3.383837100502997 9.964346853621096,6.651998351748457 0.2859588020409202 -1.6966355346034363,-3.906545470557535 -0.2503894471338152 -52.091820371963586,21.15294381537958 42.11641709817464 8.233167869365618,7.124990531331375 11.470807540155453 -3.149613714196499,5.590225080244688 -2.8476190214013672 45.948703482331055,22.298346720814482 -45.386415470871874 -9.432741478778745
-26.332693425295115 -20.39259466350289 -3.3769938350388005,-22.367651520910115 -12.169505558700761 -6.780609859595262,-27.65605533775824 4.058048111270162 5.395453729928258,50.602385415189275 2.934030975639751 7.82962351767032,5.343591914258582 0.029732730551197264 -1.9145516925023645,-5.09462094848088 -2.835323439348824 -52.21030610689878,22.068623387237164 44.633112406785514 9.144703309198164,5.874699840949521 11.211670195346171 -3.595435104757643,6.5588303230297855 1.2256961681689544 46.30886700628736,22.826722646267253 -46.93860456360744 -10.057539134085646
-26.316362809512757 -20.131636841553842 -2.814256642729236,-21.918840973119423 -11.634109535454227 -7.56596758543017,-28.182576822268363 4.293553294542542 6.035201099520064,51.30638646904835 2.541229143589937 6.0821929842950375,4.3565672489863925 -0.16247511456323765 -1.5656030470787905,-6.0541763022921 -7.1547913201293865 -52.63836286430517,22.77722197100536 46.598053975394336 9.87057794300241,4.832745096713419 10.992103343231248 -3.519100570488745,7.213903131797895 6.01987500562423 46.70437195712589,23.404283972502082 -48.631750208397705 -10.745409449445791
-26.262180537175862 -18.279648077971284 -3.4565508671404124,-20.393319032676995 -10.345070832924302 -8.760341189700151,-28.048309221347793 4.436555855547221 6.3964832652586265,50.890752033664484 2.605898291773812 5.838330204202315,4.353081272142812 -0.18086475193029944 -0.6089823201008314,-6.285433622480556 -9.69294362890142 -53.84113138181075,23.059133948009563 47.335983606460346 10.158730966428935,4.674777211312723 10.84938393992097 -3.0662976557829182,6.928070471966826 9.340167978195414 46.76626932094301,23.894684824681477 -50.073327269404935 -11.334978155819764
-26.006826235009314 -15.315509421175328 -5.169442010837451,-18.131304725056825 -8.526579648113142 -10.151719658327416,-27.365304421644364 4.422385644714806 6.408198022519006,49.77780301771766 3.1745113732634644 7.222498714396004,5.257359024383843 -0.021470634672654556 0.7185300664080894,-5.811085012170271 -9.53876361227275 -55.592115428455,22.92923436639917 46.88402150725428 10.017987758284823,5.372923403810212 10.800370346721616 -2.434897424106186,5.794530665247827 10.23375855744099 46.45846166635046,24.193241344968605 -50.95815946963189 -11.699932948866262
-25.366130540633158 -12.808414676017755 -6.97993619510441,-16.178018061048753 -6.736843719858341 -11.45972194953529,-26.678139789751313 4.418658890860399 6.501941911333282,48.785828569130715 3.875030975388075 9.186589440499564,6.121202932161553 0.19454964322084156 1.8519746333192175,-5.271514626238872 -8.860807354458572 -56.84712847935685,22.679613886099492 46.121499816549175 9.765607325817374,6.067567475914838 10.837780967787085 -1.8844650920518107,4.758380111213699 9.216109952853827 46.138366542650665,24.23270220901347 -51.08433903463805 -11.755413658125718
-24.162081570131154 -12.358270811334501 -7.883344389500129,-15.597748053894025 -5.545642506712459 -12.40332841617809,-26.541895407750346 4.6037623468813065 7.127142682235763,48.73199656913274 4.316119994995293 10.628964723694393,5.9654517776292115 0.34042245993213766 2.219033891235007,-5.330639034628404 -9.961582325175238 -56.53846158139753,22.6143278708797 45.96403917214712 9.732253838522132,5.868453059449974 10.95259138541784 -1.671296649729295,4.791157372070598 6.889811272901297 46.17911058220923,23.9513648192399 -50.26575583550359 -11.42300264162579
-22.530677665559 -14.189343743434012 -7.588592777719907,-16.531578735581274 -5.193581186635721 -12.842693342075696,-26.894225345202887 5.043324667004215 8.25555020362671,49.41026689389207 4.3141004748860645 11.053042149087156,4.639177243261479 0.35802980132651796 1.7419228193373175,-6.134627197519484 -13.27158693589288 -54.609230356502145,22.86493939360064 46.80058157923426 10.060644762289959,4.627150702055934 11.120898761764398 -1.7602662056280203,5.893857395543562 3.957115019201463 46.65457086566632,23.43200638778314 -48.73578523653673 -10.796986685856119
-21.03270257031059 -16.664965609202042 -6.769968859956863,-17.87170487895141 -5.475965971738248 -12.828947673473808,-26.837544769136713 5.6504380902811455 9.212723315430521,49.23042850050265 3.9662107031278584 10.780743329247542,3.1118643479955814 0.28212929059483044 1.011847900158234,-7.129251693020418 -16.688911245281385 -52.36996934253558,23.32966814859316 48.30759099028502 10.639247830622221,3.19875637218843 11.298673093834417 -1.7220194301041922,6.754547317794842 1.2550959092006537 47.233806953670204,22.952852901618687 -47.29527238123797 -10.205282930362657
-20.252819050630162 -18.033642320978604 -6.164744837744634,-18.43416496773784 -6.156181355893435 -12.427188915687712,-25.430307838372112 6.326398205083457 9.28626785960529,46.53164329971646 3.390283549200254 10.19011665557537,2.4209172248284707 0.15436962561757464 0.6607811210595094,-7.71564907139072 -17.95783954116624 -51.2136023091986,23.890356684806623 50.11156103139182 11.338589190533154,2.4995185573229968 11.440999678085078 -1.1067554244562245,5.989163038696988 -0.3761006886284139 47.56029174988224,22.801953319755018 -46.77389004206964 -9.987744278634768
-20.399280054385127 -17.579980199387805 -6.177823496746915,-17.784610578850277 -6.978826724480384 -11.727142934548876,-22.65057136718334 6.914350619551033 8.238722429379862,41.31060231889235 2.7434109826716737 9.540827546841639,2.9070723908737395 0.034308796600868385 0.9174054353337803,-7.599766187182263 -16.379778403342318 -51.65260143271467,24.4400228749467 51.875193276478505 12.035543523503595,2.840845353135045 11.535602908291075 0.08311106290569815,3.4774954324387357 -0.48629503995155543 47.46640718379828,23.02432311628957 -47.3141280780449 -10.205343206260011
-21.096903310958936 -16.194541197894054 -6.698935028029015,-16.650593583621653 -7.65938454471205 -10.856709554688862,-19.901776285798224 7.167308472464947 6.568771382452679,36.13316671612974 2.243536578248258 8.9090478142427,3.8312315586258414 0.009264196855542334 1.3853057934665916,-6.960005866600035 -13.669673964156923 -52.83473891941745,24.88900634354132 53.31731161860752 12.616825739437584,3.5966422480098554 11.620797779069237 1.1442310305481542,1.0583105833988662 0.7702458566507938 47.07734417495758,23.28827586370769 -47.99334283233076 -10.486787525578155
-21.9216393010502 -14.901232813464654 -7.572421573295113,-15.854855438451878 -7.912975983758195 -9.947536904640017,-18.7001067892578 6.833527728829377 4.838190963355017,33.76923511202248 2.112386534518087 8.355221034845105,4.366485593553467 0.16782000217461565 1.6173231419099268,-6.0162605396578135 -11.739180201115909 -53.796546178547736,25.149727273747988 54.16339496013143 12.970688612081663,4.064391187548315 11.738623365452517 1.318736053498423,0.7246977400691484 3.1870023752150884 46.54414730515835,23.232671781501363 -47.805503424836225 -10.42687013746211
-22.56819082411698 -14.292267779235754 -8.546225649764292,-15.792250730677331 -7.647442926485874 -9.173040351508776,-19.674254440915 5.9306618560031295 3.587854128206459,35.46318152430151 2.4411383554002994 7.944840575289784,4.142525574855112 0.49775532791279054 1.4385471364431601,-5.064690676855127 -11.519123960762327 -54.12777502047702,25.187701662726983 54.30322115895425 13.047551029711645,3.921178367999864 11.87467058304628 0.36810264017803057,3.193786672510303 6.534328064925449 46.07772542446207,22.761718376311507 -46.48521833136593 -9.914327043637705
-22.94257205400674 -14.191688448052842 -9.196753442958236,-16.096239547472106 -7.113560180296523 -8.780957117163995,-21.87368027017176 4.955738173361524 3.3214379059255457,39.744816551109615 3.0886673516155496 7.752385546550816,3.601530453272698 0.8074737952100547 1.158514806544771,-4.537170346753297 -12.195019398087233 -54.40259393496786,25.06292576325348 53.91892647466024 12.908452096181959,3.5195689721848598 11.914084829633655 -1.022055026846589,6.912227265682698 10.541423921518223 45.99551162545193,22.251789934541062 -45.08501151650058 -9.360945258917244
-22.972979168979435 -14.345030978907083 -9.085012195490767,-16.32310062810193 -6.596927578028516 -9.02475315583266,-24.18645158673879 4.453239448378201 4.5345048834867825,44.8645301020221 3.8897082982906253 7.852711482594852,3.2674810299347774 0.8877748061133736 1.1352398020199788,-4.876841283610368 -12.77521084730507 -55.29296897462951,24.84525043499575 53.22325286093036 12.626101043208868,3.280136770092837 11.732419597438719 -2.073183367934199,10.096736130167198 14.929912536028372 46.62410862157632,22.126315727307926 -44.788705665640634 -9.230659636431177
-22.646606222656462 -14.598117650609689 -8.10929119824686,-16.22191587881399 -6.305531947596757 -9.872446181189547,-25.707096357293885 4.678185221544788 7.090419030135761,49.13240493603386 4.650315967899906 8.239458623590266,3.3760872611211687 0.6603691890491323 1.5108554811056696,-6.124784888131421 -12.67303399893178 -56.92748264286372,24.621559221766628 52.49815153812448 12.312656560268533,3.3839265792440654 11.31782302466651 -2.3498905988888863,11.57170866123254 18.92863502335528 48.02259854956876,22.569844687268066 -46.107227881291536 -9.726009299598976
-22.07146864480685 -15.002146053047692 -6.858597517495319,-15.936607593201897 -6.288416934566564 -10.707486258817639,-25.95295202330186 5.292805119922023 9.55786876070681,50.98076842126982 5.117811536713629 8.739946922731848,3.572711061516947 0.31506045530248983 1.9853953170741667,-7.4987057445403025 -12.131203782930307 -58.32192570626741,24.51361679360978 52.16730694650351 12.161065632104181,3.521453388970086 10.889025113545742 -2.119543807982709,11.406001797413891 20.757268427285297 49.70220984755932,23.27772421141575 -48.17348665374605 -10.514222708713266
-21.370484511742966 -15.632992739054302 -6.005483180313871,-15.659333043123999 -6.574786969903136 -10.843310117650642,-24.495502265955544 5.887239275288137 10.350430788927342,48.86286843209368 5.033145622756901 9.161480094138286,3.431430529834336 0.0741373644130088 2.205387385300081,-8.117321857285527 -11.494019812434717 -58.358485716262386,24.6470895988852 52.670466216437276 12.373588220080306,3.3240957889386857 10.692530505815643 -1.7351578223771777,9.821729710687913 18.517739786109036 51.107578906446314,23.885812621906904 -49.952799213477036 -11.197415208473329
-20.697010715842737 -16.435595742009642 -5.934531564797032,-15.55123579103712 -7.08820817723738 -10.030775146235614,-21.570918294656874 6.189855745795704 8.83671360244519,42.89730301547742 4.3669717280744305 9.4089147494396,2.806311726029873 0.06445979489549088 1.9928010914768743,-7.611613279734515 -11.114786818548074 -56.66116483659275,25.044348304362465 54.08598956752949 12.990474687967808,2.6823143895986763 10.846503304807916 -1.437596676956365,7.28732539854364 11.93918473517767 51.82024920303601,24.144875794413178 -50.729101781593975 -11.49869331466883
-20.276355199851974 -17.04538158249501 -6.349627866734434,-15.70014942037539 -7.502539623414291 -9.054710483005426,-18.986554827326064 6.255764749061541 6.642822797869384,37.139212753138835 3.632913348751678 9.617702324560074,2.213254201168249 0.18731353557718214 1.5843127723158859,-6.823441342762136 -11.368095764241351 -54.60746117577981,25.483593765213183 55.63799348786696 13.66901829991133,2.0989859836333853 11.16573718961365 -1.2026231856316796,4.853468493254184 4.597122667800291 51.745384180583336,24.077297237593225 -50.539479814513605 -11.427161586720125
-20.344051843256782 -17.053446697054536 -6.856397483553216,-16.18322562677851 -7.4558905180196575 -8.848643077524576,-18.775194780112024 6.187218207875208 5.719702860618577,36.208970654591006 3.4225772202650058 9.956435590002764,2.263328261281712 0.3114402102455548 1.2763164497489001,-6.768858921378661 -12.630642963250253 -53.8269943282296,25.707895441371484 56.427684444536375 14.011412038697273,2.165034800870853 11.421295420991331 -0.9678093679024874,3.6541746558310084 0.6199806842771989 50.83519026534277,23.74476870249422 -49.53006340072697 -11.033341675884692
-21.021993041659307 -16.30857327023889 -7.108142433975927,-17.01535389442356 -6.804207863669067 -9.895952571352106,-21.928398553295406 6.047314561310823 7.159548353775759,42.409763402822 4.021742492652152 10.479070544632199,3.273363868332909 0.3334340074150267 1.2373307473312236,-7.9719639923164145 -14.622282255629845 -55.15026749185509,25.555253578553703 55.8879949340574 13.76871633255072,3.1874785368707514 11.447191412851165 -0.7414350220993,4.300222398636483 2.2926569995442674 49.2413896102278,23.257590852434888 -48.01536924730536 -10.437724152220728
