-23.5 -16.7 -6.4,-15.1 -9.3 -9.9,-25.6 5.5 4.7,47.1 2.4 7.6,5.1 0.6 1.3,-5.3 -11.1 -56.3,24.0 50.5 11.5,5.1 11.3 -2.1,4.8 6.3 47.3,23.3 -48.1 -10.5
-26.063248144803715 -19.17755043830108 -3.934925589198913,-21.78606355945146 -8.56554961560529 -8.415334051161102,-28.726630680469672 4.76549280142415 5.461390629393846,51.617727255772465 2.1613558108144058 3.6653810796978825,4.325930282328657 0.22037743593727854 -0.6781508998375487,-6.226165164748441 -5.260273548506881 -51.26181600764609,23.196327210937124 47.98966644450325 10.511188385310739,4.609709493682568 11.251997908158824 -2.848500305574154,12.218234890284913 8.973714202961393 50.48049010842259,21.02459725275988 -41.588184449709125 -8.028866447613929
-27.141605651976988 -19.46878839369135 -3.9161363876249924,-22.625465814880766 -8.826938643491976 -8.73535483815831,-30.09721296241727 4.756991970724029 3.843867477945449,55.44990190180871 1.7003396385435847 2.4646721140924566,5.027323003857292 0.4135977463368503 -0.6343686225601841,-7.416410729208683 2.6963018994604226 -52.67768159592865,23.859205813039082 49.893949556125065 11.258901741749739,5.319133428019728 11.398685534140572 -2.825348148548837,11.03959468362949 8.45755971330911 50.553879367265615,21.885368365649033 -44.055594936966465 -8.953456891566624
-28.537278608414386 -18.67364044043011 -3.778066424996945,-24.30352235057229 -7.605386900277405 -8.973341306124995,-30.737920927067417 4.2770753008937215 3.8815823962209524,57.05884560012272 2.049795362210406 1.1253569712794051,5.949294574045174 0.15075073380018697 -1.2300005007900388,-7.99265154974136 7.406213127368823 -53.43958337019695,23.67815173955008 49.280174362955464 11.013322202939241,6.304471212363641 11.297738806894422 -2.634950586093387,12.513005112573017 5.938703906757255 49.2022079462935,23.001428827078616 -47.498308267400354 -10.286005617170598
-30.031422330829077 -17.285135126282423 -3.5821375530957504,-26.29404302176308 -5.771859113161791 -8.96817619564451,-30.616512909959216 3.5844270918430645 5.292442203908762,56.29647528137128 2.9543715197753513 0.018823602156614216,6.871646997888504 -0.376525834939066 -2.1845463160343024,-7.8194190812098405 7.576397108179499 -53.4704937899807,22.893833171179185 46.88422913412808 10.064621688669437,7.315253926751278 11.072173936906893 -2.2941743426420595,15.48174910407765 2.1831794768425508 46.890359820312334,24.091520292294 -50.99100142025044 -11.661063822538617
-31.202796582767583 -16.278275924582864 -3.4882205729001914,-27.66268458075129 -4.885427903523787 -8.643770328592574,-29.93847611576441 3.1906763608375366 7.22431161898923,53.76216998303201 3.843710948551407 -0.2431387282001094,7.449294151794248 -0.769372877897732 -2.91800001525799,-7.000997279700962 2.5857757547628086 -52.91775396621402,22.1213934367156 44.559427820334705 9.1431412749642,7.947757738904174 10.974027712955177 -1.8336516930785156,17.391316035954386 -1.5819683709927452 44.576978381352795,24.814903588263018 -53.331357876864146 -12.591913899007427
-31.671758022966507 -16.50332127535107 -3.6317064013568,-27.598145886833578 -6.272783568481851 -7.967262601810991,-28.90564095256434 3.5409550589326853 8.883707287547054,50.105990065203216 4.2129127303743 0.855011108685766,7.37781751425131 -0.6789701389722711 -2.9134082059688313,-5.681561221194221 -7.762560979487228 -51.965975745997895,21.91232213636396 43.96487344218917 8.902956719075009,7.846022585733291 11.217747026542396 -1.2921273437581278,16.027874869518097 -4.179347057433011 43.163438610184805,24.881245781858333 -53.48802624681333 -12.659775451556278
-31.437612415026393 -17.67968959358728 -3.925897678334098,-26.401520363330203 -9.163404480713677 -7.286388206319689,-27.6766854676832 4.477763199548264 10.02420124226419,46.39523530266089 4.153228804792571 2.9621859201414864,6.7200167649811675 -0.21073111392399596 -2.2279034117179957,-4.349287258752395 -19.923725360931602 -51.121159027959436,22.235324291338745 44.98268575469682 9.300273465120048,7.085677330295368 11.677743791662772 -0.7798689389614738,12.269573444766072 -4.893716844785166 43.0197753412982,24.451105719008435 -51.962331506315245 -12.05541583885622
-30.698245295407343 -18.93420796097947 -4.167716666887868,-24.95682683704875 -11.687772175991215 -7.148325278586915,-26.387674682348784 5.527805055310341 10.686037612464892,43.915850420469205 4.0683116357382945 5.273161393341326,5.731124039817924 0.2918996991356407 -1.219454994952711,-3.6726178935562612 -28.39202451415876 -51.05771990554633,22.753709744883384 46.563796317059165 9.925593683377688,5.968515325344224 12.050242224460568 -0.44462411325050344,8.61484173334402 -3.2520188189491495 44.23758653149892,23.92132196215225 -50.05876328047826 -11.28902223855004
-29.652976920757204 -19.46168665883544 -4.181941476892908,-24.08294734746813 -12.147614225684642 -8.0209809416389,-25.178036640947383 6.234184879398856 10.925249007598486,43.80451197622559 4.338713971758217 7.0506069981853745,4.657021028750776 0.5159331763711912 -0.23952433792859681,-4.2285896937916885 -28.2358090964235 -52.33704412271188,23.14810759858541 47.715507982516385 10.390753997508293,4.786914290863528 12.060643387927385 -0.43621178939531036,7.350280823046402 1.0102937791860225 46.809528301609845,23.669447593611967 -49.03222778858696 -10.85446983908189
-28.497812147656564 -19.233290534640982 -4.09965918144652,-23.853501373429836 -10.763510788392717 -9.512876331961191,-24.224979018128142 6.343421887960864 10.938571835441937,45.59430699533336 5.070830992881666 8.319677127191778,3.6264569064696714 0.4936136141879233 0.45752847579904177,-5.607936199828784 -20.794905868499733 -54.305965029007716,23.311341428142033 48.12991830314674 10.568000170734457,3.7122799916934754 11.760436421635227 -0.9229217893006926,8.364555916113524 5.968824713066075 49.70483415016777,23.846437074756842 -49.536778814597696 -11.04281391187975
-27.426758960193393 -18.687784437781925 -4.236447391893193,-23.893235172760324 -8.911771005994556 -10.714922583540648,-23.72846423998023 5.724552560792915 11.007488699945498,47.85247712665316 6.2059321941165555 9.564772459044278,2.697631685255283 0.4651201302612845 0.6758276808393302,-6.807338546380915 -11.18646495045897 -55.57978849070453,23.264039991082978 47.91157813062623 10.486422943379319,2.8431565275031336 11.397514005331349 -2.0841689965980805,10.102050344761679 8.380772736978269 51.27632795957063,24.46676403692802 -51.86457544622746 -12.022950862160496
-26.64086842484004 -18.244579326784713 -4.8718050181099075,-23.850580568545872 -7.896864765884424 -10.794281497653774,-23.884274731733303 4.291084382865825 11.39986903898327,49.26219931138186 7.662803511286836 11.226669828254153,1.9363865804780525 0.6529281543894564 0.2548445109319571,-6.897586539297223 -4.292843876233519 -54.90302152653168,23.03208331844381 47.179019620850504 10.18203799433952,2.277573176735018 11.205901359756176 -4.048041082551337,11.093929824390173 5.326137877347503 50.03686635146023,25.522748256651532 -56.197948460865106 -13.913071341209907
-26.43153323207135 -17.993689504660413 -5.791850154328313,-23.755424466205337 -7.90241706807032 -9.983275395369022,-24.830788544164974 2.5032271667154133 12.194762993159925,50.15757753335456 9.10194868767885 13.108113841402286,1.5185841280847892 1.0167971400882307 -0.5245830598121564,-6.00068459332029 -1.3331288144178357 -52.79945411343995,22.686006258487726 46.156992698873616 9.751801382480764,2.11977531590808 11.207948879444938 -6.284853343885112,11.233804731541897 -1.759074090810047 46.6523167289228,26.747610153704173 -61.37947517319723 -16.204938008693624
