-15.2 -10.8 -2.0,-16.3 -1.3 -3.9,-23.1 5.5 2.6,36.1 -2.2 7.1,6.4 -2.7 2.7,-13.5 17.3 -39.3,26.7 60.7 15.8,6.2 8.0 -0.7,-9.8 -33.5 19.4,27.9 -66.2 -18.4
-13.949720564872562 -3.3419398239499087 -8.637455901472554,-13.231615114843475 4.802974392363407 -7.510010842586476,-17.267378270383436 6.067980340282069 -0.474494474652602,25.073049649691352 -2.965799548600171 14.784769849695826,5.936921475587507 -1.1515645636280805 6.352644112534201,-4.390053955685696 15.38032724298163 -33.82054514870919,26.253684040808896 58.558095267541894 14.911903062939086,4.986611452627623 9.6566407647445 3.2258484225280117,-6.103214971568018 -34.27820627005318 21.420652261445436,28.91035255025867 -72.64085758475758 -21.39961211757705
-13.788424193592196 -1.918932124745873 -9.647383310192028,-12.52321015995133 5.727817988137598 -8.620693087946822,-16.812500102499843 7.027714072323952 -0.659305623347389,24.60402559409699 -3.686035289983963 16.996830752886606,6.366663404218939 -0.6057017314696171 8.49278610433237,-4.833608871377532 21.694359165478133 -31.666548937162855,26.424829763996435 59.391284467194104 15.263272961568767,5.193497088653241 9.867463662801905 4.241153202770161,-7.73083973972084 -36.951814939267194 19.783390484221062,29.25394427210952 -75.37481929078314 -22.742802951023837
-13.463660328045727 -0.17926239681647885 -10.87157759354065,-11.656725032784205 7.026820991248627 -9.800182468099695,-16.72830615645431 7.94147771822027 -1.661954438808713,24.763298070760246 -4.774235223223728 18.995697875314708,7.361621210821827 0.044674680443182346 10.707932228485031,-5.653773254307303 29.359458653660262 -29.770330488259248,26.64675780480333 60.429304155750295 15.705148252806156,5.947951166211668 10.17355828462738 5.3654127411363275,-9.50647604444793 -40.263942190287665 18.767394867693838,29.44172696193972 -77.1579248775356 -23.62978314038239
-13.245754448620552 0.8586511315696489 -11.782040317199657,-10.983994568246596 7.988658446409799 -10.4557387860346,-17.326193924930443 8.172088233068465 -3.2798964028726427,25.82827330224232 -5.712718297133191 19.829694227965852,9.018747346304561 0.5778274871820543 11.616948002592752,-6.515451478843162 35.070624509562364 -28.29110021423566,26.898738926521077 61.508287357355755 16.185071339175387,7.5067293439410845 10.552381123937533 5.892747497234975,-10.808482180105258 -43.47544147143416 18.486062298576865,29.519121153134446 -77.80138134755042 -23.94907991871321
-13.374758287841566 0.904713132715794 -12.110273946762106,-10.599672861603066 8.290860243596297 -10.327054033386839,-18.491717537475203 7.558989754608905 -5.084378079532274,27.466662892205015 -6.226908246278784 19.27805156512678,11.124897092079447 0.8479315408873207 10.814103261794699,-7.130531713616554 37.08436136945775 -27.44140506296478,27.119434028069612 62.35492138793387 16.584197239823194,9.698537466065082 10.933122174112068 5.663559771609808,-11.347406663891634 -45.77421235414905 19.062509783564945,29.484644456676925 -77.19498191867675 -23.644183938353944
-14.049769987961223 0.6540857961468 -11.938827457772987,-10.250506154587978 8.13698965591793 -9.603526386469541,-19.534360572565472 6.586396088324549 -6.340636106973927,28.521398383146916 -6.371095050469666 18.108757223498003,13.047433815909928 0.8118536523219009 9.213171093744307,-7.27446066214658 35.76954100809786 -27.50594435132486,27.192567970913352 62.547838069520814 16.693873735280107,11.773025992078638 11.179677680044131 5.257248661253509,-11.283176872226653 -46.24946417845755 20.633003471406088,29.273365350150915 -75.33482933071741 -22.732939029295252
-15.460556080480439 0.8625983475461563 -11.375669546367646,-9.663089580132107 7.766786483940986 -8.506610972203255,-19.733788638280895 5.7801469687908105 -6.3035837554296155,27.797982500393626 -6.223486473002029 17.151567000029107,14.132794254364049 0.43571454025327083 7.813500887779826,-6.732934339074667 31.657544465073734 -28.76566182011583,26.999841668810028 61.66244488404602 16.30263495489852,12.948876792326812 11.15356874868093 5.298296096652193,-10.806495854496093 -44.00493758259666 23.324334063571726,28.81757403580751 -72.23098193910191 -21.241317471805246
-17.411406844594126 1.7299132275825768 -10.558853185870577,-8.836683236149705 7.350218175911318 -7.265891725295973,-19.034060258317872 5.41757878933428 -4.912021406944634,25.36890812354704 -5.896723562026498 16.731257173416427,14.258423620169886 -0.19649327046187984 7.129286331853523,-5.6359130978421925 26.03378593444669 -30.96887137636043,26.53549048472224 59.71125382762128 15.412682907332268,13.05283986505581 10.851892773294468 5.968783771548672,-10.040712880940777 -39.43657050817279 26.638763533372853,28.15309258606967 -68.27806524420521 -19.366330100646376
-19.109124368422904 2.593634360151898 -9.673061979249432,-8.193177916279431 6.949105033978115 -6.123552232526244,-18.409042975578725 5.3908477643459225 -3.164774466874818,23.270502871337293 -5.556818957218067 16.389885769063806,14.12483026410351 -0.8180759555285807 6.9227297767694695,-4.646967017030449 21.35243099970699 -33.03831068472683,25.96817817788016 57.38428889334104 14.357404814152465,12.854170806758562 10.481890390960157 6.7650730127336764,-9.004778864126852 -34.94320671701484 29.11053432547176,27.47621747212671 -64.46678382106776 -17.570097510047354
-19.715879451513622 2.7228292701077796 -8.906140956896316,-8.187239922420918 6.616135072268392 -5.321590712960864,-18.91258940046417 5.559314486444721 -2.1445687832270757,23.690372744314793 -5.372949646444019 15.606103021157358,14.497776343386507 -1.1485316751029575 6.892918706799149,-4.469364731340522 20.14611837827428 -33.83423963825461,25.480720779623883 55.426244887673775 13.496821741941226,13.197132528648474 10.26740387202725 7.128272595010691,-7.707918385962081 -33.07542922641247 29.204299614214243,26.995829038427548 -61.83273220634988 -16.334552386974377
-19.002162481278265 1.8918097072137574 -8.369525077222239,-8.95165833137158 6.419343990982905 -4.987885305743149,-20.825229875920314 5.812744720641766 -2.279148617924268,27.22880828769965 -5.3860067381525605 14.211276184988257,15.644240009064674 -1.0789354237329412 6.880336345297499,-5.248604177371103 22.963560819772415 -32.984745278139776,25.179298421934174 54.25724482853331 13.024145154798836,14.380348492796267 10.299633396724756 6.835244626047489,-6.092295498816528 -34.53574682833505 26.614851187859635,26.811078305791323 -60.837342674005264 -15.872509465044928
-17.820925640591692 0.7739338793008106 -8.038682965549452,-10.046464403226778 6.454077615057823 -5.047245517875463,-23.051422320465754 6.095008091425141 -2.8307647031546006,31.661584163913105 -5.408605667710527 12.664407574083484,16.94364845764693 -0.8056710696579767 6.977069659198129,-6.137669679848911 26.823214761181745 -31.484208892843082,25.03372305981337 53.71985913154368 12.835760596035131,15.731515251180644 10.433751902546685 6.2603005851495315,-3.9807447732284365 -36.73815059479919 23.225925723583615,26.82586070399494 -60.920366253170975 -15.917907063596495
-17.133098520927582 0.1324470503574742 -7.875075732347792,-10.974267452586057 6.817643674982745 -5.403341961216171,-24.357479670560974 6.355708985297099 -2.945180262258136,34.48114912708019 -5.231122053131047 11.48759255357188,17.685583781853822 -0.5560507769375689 7.300379459327811,-6.19074497621 28.391093238741124 -30.46446245884815,24.99995614127539 53.59811456721497 12.798045984604514,16.480129273192702 10.501094170486477 5.837973671244166,-1.1861092485200992 -36.76935322569173 21.139979791853126,26.924401369504555 -61.41888497183389 -16.15656169555928
-17.367021290694723 0.3186222843322076 -7.841387024731972,-11.47688888397181 7.4813144976430594 -5.929416847101083,-24.056873113088358 6.567727543611702 -2.3079919686416885,34.33693400728548 -4.8346879940084415 10.96581264691453,17.402769557651798 -0.47706527609087845 7.8549501562400055,-4.980528497644207 26.026682949870146 -30.556509620524494,25.064490653716362 53.822574837022366 12.864528252284032,16.13422556562659 10.405694025898633 5.801175473269106,2.137677764042418 -33.44586658782353 21.436961708885722,27.05845584717553 -62.06121450419549 -16.45775566642688
-17.86034760421681 0.8400573799458954 -7.902804114886549,-11.786031029288612 8.158255303295373 -6.436398257711609,-22.58359575850002 6.751610179005545 -1.7103180069195385,32.24774591705157 -4.591084583185182 10.898465439533163,16.125857268146152 -0.5512155414374517 8.414921661733862,-3.1415816402078143 21.55752460173365 -31.365710845617674,25.276344931105793 54.62389569740376 13.16720624351939,14.772256445951204 10.200465207702553 5.969917959102529,5.138166340614172 -29.126647331422937 23.10283159820694,27.31807477848181 -63.37687543635184 -17.066489718971063
