-15.2 -10.8 -2.0,-16.3 -1.3 -3.9,-23.1 5.5 2.6,36.1 -2.2 7.1,6.4 -2.7 2.7,-13.5 17.3 -39.3,26.7 60.7 15.8,6.2 8.0 -0.7,-9.8 -33.5 19.4,27.9 -66.2 -18.4
-22.65830494210345 -10.694500137325749 0.8585393279763892,-22.111873087866936 -2.8851968771750225 -2.2168074510936613,-21.480090429936347 3.3836616807899373 1.464702049719227,37.88343879397589 -0.9358871815784491 3.859345732756586,11.00532598663076 -3.9119473500591613 -0.9855066734704429,-9.149281213710907 26.43956075144139 -33.77174335741453,28.254768427018615 68.10824492402207 19.23147993325231,11.167409249130461 7.511221470755193 -1.0406305760060641,-0.1981586543164415 -32.741111508506016 18.93704768060923,28.10676924100359 -67.26637806594859 -18.845237711189608
-23.452594347024252 -12.34097707973624 1.280012116636714,-22.599546145914186 -5.4620843461938575 -2.1553416246841692,-20.991571732199823 2.9387092249972975 2.1912041773646567,37.54201543167798 -0.12318276836392972 4.618847087984735,11.181084607285474 -3.8835397341664764 -1.910929397672571,-8.956908452323656 28.071818483014063 -31.989492172193863,28.508940914548635 69.66628759313576 19.957336182126305,11.532112167322309 7.592628766104137 -1.8529009820813511,-1.61951717499083 -32.4423642353749 20.332043566185202,28.19316087883863 -67.74058673600545 -19.097365498586726
-23.78999863790333 -12.384230691984804 1.3798303039110265,-22.949858191193922 -5.747489414966665 -2.2230076527967597,-22.189623406431707 2.8115362065617933 2.201519353537,39.56039501157258 -0.10487269899587144 4.583695423208411,11.936441996395766 -3.920105887088079 -2.010171991297522,-9.223481498626814 29.640570308936997 -31.96189622703574,28.279557908714114 68.74571223967989 19.549693176558453,12.3249771960048 7.580642580554917 -1.9148794662795972,-2.2401268915624786 -32.93188602647792 20.775375247723883,27.711910569071144 -65.5208447931018 -18.099399707544958
-23.17112687041461 -10.377515704069664 1.0262770353182276,-22.82865345304916 -3.079760121219869 -2.346789350047602,-24.81249765033066 3.0849793973794273 1.3592972773386653,43.38326050008936 -1.0253376060238029 3.677820700057425,12.901625174395079 -4.040787802766132 -1.0537714879405047,-9.857760158868372 30.260806409952686 -34.39843330663066,27.52148073037375 65.06269308860038 17.8742355060925,13.136353245391513 7.42543691617329 -1.0862026105915359,-1.792543684860313 -34.29289299332876 19.950924005013643,26.730741008587554 -60.920787839881676 -15.986212914981369
-22.05814523932666 -7.747353321242792 0.38428303900210625,-22.21948475981064 0.5192156963972013 -2.5528085155313294,-27.224009916431754 3.48978228033737 0.4899492066741213,46.60497597861514 -2.0466109357131472 2.863921521729874,13.402911894603967 -4.1325927820513595 0.2828408298063705,-10.143717729910106 29.297856356614286 -37.63652418934417,26.6848608258978 60.85137982623323 15.948019305503394,13.421297697064592 7.2528428189424385 -0.051895113059160614,-1.068165705996576 -35.59686789323537 18.685507923890476,25.862211333607863 -56.936395025505284 -14.147782233919234
-21.020098007972713 -6.127171185818306 -0.34805200875237935,-21.142216791746012 2.73119659205746 -2.878096043787504,-27.639091441838985 3.7179556641887994 0.5239285451751969,46.620295138704435 -2.2232664659411316 3.2180498160707427,12.735087486095672 -4.068065399741465 1.2241888369511127,-9.298281809166316 26.14953915622418 -39.751418827602194,26.274143699990656 58.62229359940062 14.914503068345466,12.621981511303394 7.208089248765449 0.4123204345391807,-0.9757209610619761 -35.80466222613787 17.93208731845504,25.778021262838905 -56.85464544786668 -14.110293258034698
-20.376607536535428 -6.404268258767692 -1.010563912378225,-19.732726727020715 2.316607515946967 -3.3120627979768287,-25.401619793526997 3.63292105905996 1.7727537612759467,42.507434946841826 -1.2084288791729674 5.128002881260652,10.727352254144517 -3.7985877795792304 1.3358846179044719,-7.177509257470118 21.075835073165756 -39.729002010650916,26.51463485679252 59.53626372197576 15.30565243849867,10.643317589337085 7.365685738961836 -0.04748402542511115,-2.0774104840470837 -34.50212815066945 18.16897055848997,26.726564952523052 -61.84639632028058 -16.418853993782097
-19.898737097861463 -7.824966252061841 -1.5265208149180534,-18.382040586634286 0.40820819022951826 -3.7393878569935906,-22.338389076843697 3.475087307452891 3.186706082880524,37.04709024332439 0.02837094925597272 7.467884443526912,8.384257136429044 -3.448931203800879 0.933703071519703,-5.043108007200756 16.23289462129373 -38.55793778919118,27.01772104666025 61.78571252065431 16.308563361982717,8.407937379134522 7.6446070297412225 -0.8575745378471408,-4.173310903862542 -32.649695545327866 18.8305535342065,28.02525130830282 -68.42847136889209 -19.46086689307504
-19.284982553831924 -9.417730507444569 -1.8303966988416578,-17.5146235038719 -1.5465118066474084 -4.030937309529918,-20.6042306971096 3.5347021975379813 3.5364490700400975,33.509125342523014 0.3437704426856235 8.911811856667711,6.865536435192958 -3.16682914524604 0.43303498814431557,-4.342128222244337 14.02631962954163 -37.49226929644414,27.313521570476205 63.17002956342936 16.93225596620174,6.972757549960407 7.943168150876179 -1.3214084231534822,-6.961760812572995 -31.389698467975634 19.213070929780642,28.86841509776543 -72.50259603407585 -21.338561748116167
-18.418520462185004 -10.439261319848075 -1.8991136879286752,-17.337893310992065 -2.5226369846854166 -4.110260809683221,-21.342109213690147 3.9618493154665746 2.241794755803597,33.657243050366844 -0.8319675305723855 8.750524689125688,6.8096035679445315 -3.0520894150454057 0.1550353077717868,-5.794493855504462 15.643342324928216 -37.29429471159992,27.116365977596047 62.34164168812302 16.568898108345675,6.907464364674823 8.176766228271955 -1.0168097456840877,-10.01380172197345 -31.428851354322944 18.93711846678971,28.798674086420657 -71.77608951041988 -20.99108835529269
-17.65210139046591 -10.726575197815743 -1.817523669983217,-17.507397646197866 -2.569699880155428 -4.034862634926631,-23.122189846848308 4.550227049315856 0.37309720746501585,35.42554018362655 -2.610064911581336 7.842602420943405,7.529347716400234 -3.082662772422353 0.18125241101492406,-8.271318571714884 19.173336239803763 -37.47598851978187,26.608961655252486 60.1219308009232 15.584859172131488,7.542899199975688 8.304231776146075 -0.21921469160481655,-12.576806229024806 -32.366250695630335 18.44802079828319,28.24419957921651 -68.54722130983629 -19.485571394500475
-17.411851403010914 -10.207681242484366 -1.6873487524112865,-17.592388845985663 -1.9055170289961587 -3.883202048349111,-24.112283186562536 5.037786135224109 -0.7412149640138458,36.149209671354676 -3.8736545943834853 7.291812579499931,8.13031240311941 -3.21741759671167 0.5556539586301442,-10.354571809421186 22.22117579291334 -37.353734632894,26.047322947573743 57.671749997933304 14.498985323085392,8.016132292516378 8.291215276010893 0.6867522865750367,-13.847750703001719 -33.627628364478 18.320041710187308,27.771693401403763 -65.83243945625739 -18.222022623439244
-17.932866059793067 -8.961537924186926 -1.572776181022894,-17.312049869573606 -0.7950584689635508 -3.7080653626416353,-23.118514608612323 5.234394263875571 -0.24440612619060192,34.11365897432918 -3.8739814877049823 7.809088308259284,7.985317333812802 -3.4139849953315142 1.2464838280928687,-11.069179420236427 23.121231674058663 -36.48588955963381,25.643501949579512 55.95177342335339 13.741316965606316,7.733432787520678 8.126659160223287 1.3778673563361978,-13.378404008741336 -34.7319855231493 18.875185218617013,27.778525609832986 -65.76863404667724 -18.193358804758347
-18.886861107258863 -7.512277785078912 -1.4272968319713653,-16.8277333000966 0.35764246886865403 -3.486525212953934,-20.829502895757095 5.162013841280447 1.3291605696207747,30.40663169057556 -2.9479122907854007 8.94683070003424,7.255422850030206 -3.6263471609678253 1.9986642287157537,-10.746417266344945 22.35927690810912 -35.14442608121238,25.47989898267594 55.33231515836039 13.479991970198133,6.894980893879847 7.8681975864077405 1.7119870312313403,-11.766875388272894 -35.47338953456349 19.691500532310933,28.162679525066622 -67.89873678115173 -19.191907804775784
-19.84220428521036 -6.465697374133296 -1.184095122300008,-16.381904582977697 1.1230422845907624 -3.181765100565969,-18.279196813232588 4.8815145355170335 3.189934826782876,26.629939985679886 -1.6314632735899426 10.044916409960273,6.246286413264638 -3.807816918936712 2.5161506033583394,-9.957201797561156 20.815743926396618 -33.73222479183402,25.61513067556461 56.07539194324142 13.835104056397132,5.846594139950637 7.58606571902095 1.580185722152872,-9.803217759380495 -35.696366693338085 20.21056365928262,28.730529534402393 -71.289836201701 -20.789758023900085
-20.36726333344966 -6.427593240322978 -0.7763554690521268,-16.217029163639925 1.071597478293136 -2.7569685267576904,-16.501545126274447 4.453766014663626 4.548366348658359,24.385396025228076 -0.4606507060837718 10.443222093172908,5.263565485009085 -3.911707094554292 2.502898394880204,-9.272449463699465 19.37106516025301 -32.65216628570298,26.107813656947116 58.44302051828359 14.92674694373958,4.934090054089772 7.3504987225196015 0.8735378399932195,-8.277484039848169 -35.24544329409066 19.873950607545652,29.288450025138054 -75.00902085034531 -22.558997862539837
-20.030405991778842 -8.003761932620918 -0.13726228927101647,-16.57557248750635 -0.22623544993391076 -2.175318992809044,-16.530496600118358 3.939637946798512 4.614904838609858,25.274811974806127 0.028509141767939616 9.48162440480764,4.612917526756534 -3.891330513136684 1.6628630461408953,-9.263076714574277 18.905673041010175 -32.30713115702355,27.016564555525058 62.69721762377412 16.8750143517618,4.503286164653979 7.231731761360388 -0.5168822043552237,-7.979727147459981 -33.96514563143877 18.123237385113573,29.642815384571346 -78.12337926910494 -24.071715721103637
-18.4 -11.8 0.8,-17.7 -3.2 -1.4,-19.4 3.4 2.6,30.9 -0.7 6.5,4.6 -3.7 -0.3,-10.5 20.3 -33.1,28.4 69.1 19.8,4.9 7.3 -2.7,-9.7 -31.7 14.4,29.6 -79.7 -24.9
