-31.7 -22.2 10.6,-32.4 -8.1 -1.3,-37.1 -1.9 14.4,68.8 -0.6 -8.4,8.9 -5.6 -10.1,-14.3 0.3 -45.8,23.1 47.6 10.3,10.8 6.0 -9.0,27.5 -6.7 39.1,24.3 -51.2 -11.8
-30.96127149000137 -21.90517895216392 2.4539326707826037,-30.024366173436736 -9.355079696154027 -7.498883883508215,-34.60062199569894 1.306571152410508 16.703333068807744,64.23470202479008 4.16055606062449 1.7876820520719832,4.337463282658839 -1.1553064792818661 -4.149526130813877,-5.746326321733799 -1.0781971761009674 -48.36424211295358,19.68317834786505 38.160197508183245 6.859616114106908,5.469449306169391 9.426709367585154 -7.70963623304221,25.898980798517414 4.439499647029711 45.90274714643603,21.095385389041024 -41.918936946141805 -8.125114630761463
-31.097330259475562 -21.686642399104763 1.9797754546424364,-29.340827800135425 -9.770580670572969 -6.939347356080123,-35.117075076731005 1.3021164485619094 14.954516509801273,63.4118595741701 3.7702843989355173 1.309684710138919,5.430063549610855 -1.326321463069654 -4.867277444965806,-4.735415776097838 -8.287880419096961 -47.84308222665238,19.857442534041297 38.64506187370782 6.990269363680042,6.5938098433372625 9.661970621945517 -6.71150113284986,23.813854334136447 8.379638935442717 49.64640882121974,20.592029720812775 -40.62341708649519 -7.655808622618614
-30.908167679826356 -21.750765016042088 2.0864756482596922,-29.112409739142322 -10.023244807652349 -6.411186228740351,-35.8743396082191 1.2957959943473654 13.888167924890965,63.55461723402791 3.0131215131741094 0.38101556004104203,5.912512236692944 -1.5461998253791647 -5.372158817696898,-4.731088011036278 -13.76961639901422 -47.28926622628724,20.175905059140547 39.501727051770224 7.269316359716196,7.124045433468299 9.676415207488061 -6.299934561184234,23.295821025120937 10.545450657054609 51.24478488247652,20.106811938066258 -39.353879799792 -7.21767463929872
-30.15065992531715 -22.212917991223097 2.869342061913885,-29.536782414437464 -9.929824369747536 -6.165064013347604,-36.745958732363206 1.2623552312450552 14.110100303117076,65.03160266557663 2.0049246497060094 -0.7332312027103242,5.402678060391305 -1.7489320477130688 -5.470227568611164,-6.1531727051378 -14.714789199535701 -46.83165073962932,20.564040240490666 40.51886838960563 7.639237136064166,6.674261804698999 9.4029109492999 -6.850388874724118,25.030548867706795 9.206136120330171 49.61083962918875,19.7390661138297 -38.36645485321926 -6.9046201403097935
-29.291225850443574 -22.755678524053394 3.814458735648249,-30.205572854567684 -9.615450599182168 -6.222054218986613,-37.33733596816132 1.2502940173006794 15.174759528883085,66.82538060287204 1.2150847672346925 -1.5415435990076873,4.393172532790515 -1.8524060944201444 -5.1898613058860565,-7.996535525551446 -12.04118403412106 -46.63555756000058,20.828302852108763 41.194844925205125 7.907757609132524,5.703888588880811 9.029496943618744 -7.856057607715877,27.724646517949072 6.00713055964809 46.3282813674466,19.587158513846507 -37.932446819342026 -6.7899037618018685
-28.890169428006246 -23.004470024581057 4.327520434969645,-30.63036707039222 -9.246259476668948 -6.5724865166513124,-37.218880132839374 1.3177872300582554 16.496894857632824,67.73542605412892 1.1593138149855813 -1.5231100544118816,3.4925401453479084 -1.772542699829453 -4.5892610880915745,-9.06767302090588 -7.162914654461253 -46.87080798353582,20.759685419048164 40.99037165835139 7.865035098166335,4.7844411905178985 8.777957732412093 -8.69324906275549,29.82262172378125 3.0415441998630603 43.33467578685593,19.74916021339208 -38.32473765769365 -6.94391306228769
-29.27795060037478 -22.771945556705063 4.104337864551722,-30.58145877460009 -8.972366219336086 -7.1285392932683,-36.25050359751986 1.4640160344019753 17.5885998587636,67.14018732922021 2.0474959247989353 -0.5060537867209745,3.1049239365271255 -1.498767627418805 -3.8244863346537183,-8.709460418375338 -1.6490059682479463 -47.55939806432767,20.307311298683988 39.78195931790131 7.4542651710765035,4.311549866514737 8.779792266220047 -8.962763640817409,30.311381752238443 1.701276380647542 41.89903371986815,20.253615362041298 -39.631394463649286 -7.385693710953652
-30.200621814057484 -22.34681324197691 3.578378170264049,-30.486938708164264 -8.903151228138217 -7.603681418991171,-35.028218107575896 1.5381626249472642 18.20947832261349,65.89022553015019 3.3119093512269697 0.7942911774077093,3.114750417586612 -1.2074024670986496 -3.30041371515571,-7.628583524744556 2.537635924484084 -48.34745949590669,19.822371474695515 38.503331823597364 7.007762484514458,4.2336346570250045 8.936936968770567 -8.836201275097903,29.556953198015098 1.595309144620193 41.59048078032407,20.95228711371997 -41.47056918291475 -8.003748134606877
-31.312782010474855 -22.092218576011543 3.2984656974710256,-30.877697417170328 -9.14157737447704 -7.68035600201688,-34.26306059779079 1.365998991740266 18.158018291346412,65.06627160912218 4.263265048712891 1.523916732426426,3.325113181946024 -1.103971144988923 -3.460700149059882,-6.745040692206243 3.373248975995149 -48.82239583171173,19.71888636718803 38.25341593996643 6.918651091898305,4.4291094269572024 9.115408870771242 -8.574476960384466,28.141221319296392 2.053545021652487 41.712117044608256,21.66929855623709 -43.386944042690935 -8.666171011252548
-32.34064502687176 -22.238503036638072 3.626292271446593,-32.032668280998635 -9.74239249273879 -7.152218349491376,-34.36972795224615 0.8697226598576334 17.390049660994336,65.32098462596736 4.455762725494641 1.1417274432671705,3.599257343711031 -1.3155497026850136 -4.524122600679081,-6.676504389472233 -0.14902322157103473 -48.729861051138954,20.250363840665422 39.70478897125668 7.42889037855953,4.80323852928904 9.215151789880203 -8.357484092775506,26.528187632489406 2.5351157901392387 41.7608225878207,22.280481609744488 -45.065705268727704 -9.282895543390676
-33.221628595859315 -22.624347602096048 4.371665689179578,-33.487722297090905 -10.618150485228078 -6.140906506786662,-34.88896237924393 0.25590563229391 16.3254288692538,66.0445704856949 4.161689754217195 0.029457883255635968,3.977824567451259 -1.73785869904246 -6.046250722906011,-7.14903922174873 -6.0370180885991545 -48.28221520109703,21.19693430640846 42.27265479735352 8.334630706803068,5.3404727433334145 9.236165118489383 -8.126170286839773,24.83419545835261 2.880271156095996 41.804966001544145,22.814165893230566 -46.6064080733726 -9.887243500214828
-33.93189429755168 -23.01658592677334 5.243154560785682,-34.64242097124213 -11.655320792071858 -4.828224612193972,-35.201185338151156 -0.2167136192122985 15.469134711704458,66.39564707063334 3.785061565454786 -1.2618707943424932,4.53399864905848 -2.2241781805069643 -7.460993519846089,-7.725150693987733 -11.748424412522551 -47.77743222627406,22.251890459815264 45.141561115766535 9.350241954848883,6.039789033258502 9.196802730202368 -7.777650258585815,23.111812702460664 2.9991741897915993 42.01775136770119,23.32665564034723 -48.18462070272392 -10.535171403006405
-34.4476037120631 -23.182051665057845 5.949327496380639,-34.896325809247365 -12.740372853397115 -3.3959768040044973,-34.68681828833488 -0.28939662292241475 15.326145983925946,65.5328322631113 3.729893589781631 -2.181237436261579,5.340963384424484 -2.627788193524246 -8.202259995604805,-7.967344311141271 -14.74093098077483 -47.51348607135815,23.10852499628401 47.496055624005486 10.19009400091698,6.900164363232498 9.115418498622741 -7.2090387240221725,21.41360727038817 2.8019879614949037 42.57238276821444,23.874255084746405 -49.975911402880016 -11.28263577304684
-34.74491841950781 -22.887578471337434 6.198753106080173,-33.64899831690163 -13.759776109330847 -2.0259672205094255,-32.726282689162126 0.2965950929021609 16.401441481497923,62.6147439454573 4.400201257771968 -2.1776208892359668,6.471902569441073 -2.801968784540022 -7.7039591542876185,-7.438125578161349 -12.472226580789458 -47.78835068103743,23.460130611212875 48.52068601958008 10.56855672322736,7.92057569742361 9.01036629735409 -6.317450399157378,19.792147067709728 2.1988755414747487 43.64206428500652,24.51326846008003 -52.15584841993929 -12.185593131617573
-34.8 -21.9 5.7,-30.3 -14.6 -0.9,-28.7 1.8 19.2,56.8 6.2 -0.7,8.0 -2.6 -5.4,-5.7 -2.4 -48.9,23.0 47.4 10.2,9.1 8.9 -5.0,18.3 1.1 45.4,25.3 -54.9 -13.3
