-31.7 -22.2 10.6,-32.4 -8.1 -1.3,-37.1 -1.9 14.4,68.8 -0.6 -8.4,8.9 -5.6 -10.1,-14.3 0.3 -45.8,23.1 47.6 10.3,10.8 6.0 -9.0,27.5 -6.7 39.1,24.3 -51.2 -11.8
-34.72558294235848 -22.46326465630021 8.264795745204212,-36.87377194325173 -8.852291698574225 -5.543965082430302,-39.56272940834689 -0.64232692519562 22.096644898791027,76.96909674935962 -1.3293386433318835 -5.496678374517001,6.584212197782192 -3.1938175779828692 -6.066805813529845,-7.8462004785671455 -4.639529518094324 -49.362135353533795,19.580193649757103 37.92587562991239 6.767980426282169,7.9993873277939995 7.312402430153584 -9.701843577429678,34.737577122792054 17.752925972437488 56.25590833076606,21.16225765831843 -42.095872722454324 -8.277999226662837
-32.88696025475495 -23.50002826130963 8.046328923958766,-35.69260224244551 -8.71674881409739 -6.014744928224452,-39.20359340954198 -0.1684228612356824 20.5698561077287,75.87153409328792 -1.5273549433600317 -6.360165470803143,5.8041368030225255 -2.92219475281433 -6.117728104670727,-9.404239863805019 -0.7055280507057304 -48.96942430371884,19.879549596922786 38.74568413256414 7.028475769034571,7.216586659136449 7.561794053260232 -9.801780845875266,35.843807132570234 15.039128663509118 53.130820626671564,20.45647173984927 -40.166593729571446 -7.614447779400212
-31.405378902640148 -24.736282655559517 7.1690763184632305,-34.849839077016284 -8.989093419967444 -6.621699754213132,-39.25510709683496 0.41281531821257805 18.72301299229709,75.48937889189122 -1.7109729593131942 -7.388618051188152,4.994486801558419 -2.320800944941769 -6.081035878092107,-10.460576497677996 1.788840039078889 -48.70751017594708,20.343490697880927 40.00538251119675 7.4538155338302365,6.394801251180278 8.157604372992955 -9.818116269971446,37.576743629747945 12.611646229885308 50.17251850758873,19.934592524211133 -38.75562005638925 -7.12846398308107
-31.169117071575332 -25.56476778861058 5.851324035987674,-35.11774400036682 -9.483835603867242 -7.191038003389702,-40.32986869132118 0.6933539938570538 17.386810328206344,77.33220634436722 -2.5883717997346403 -9.185013519754857,4.4631468623459645 -1.632169079432239 -6.183324347092345,-10.060621172223492 -1.4391137440218829 -48.46912127092978,20.921352972156583 41.5688045479384 8.01862464358643,5.871231980000873 8.920687129854754 -9.760876106375031,38.92244297478573 13.26178247916525 49.92139467019471,19.75052782413032 -38.28256655210238 -6.945429914176431
-32.21579195383631 -25.803581961624474 4.479302544857598,-36.4812960163777 -10.087390840045584 -7.525670043489009,-42.12693682240014 0.5696624445795413 16.87270954300734,80.95811934212564 -3.949224138474501 -11.360546651188946,4.240907900048499 -1.0380032195212063 -6.4597780979478445,-8.27825660292432 -9.830753624450137 -48.22066534217772,21.50015500232796 43.12272093411063 8.606914224747706,5.681732583746495 9.661846516361122 -9.656377008732179,39.379137031405286 17.009161560809083 52.57395373290016,19.942659091019955 -38.841598642537114 -7.103572208016666
-33.81360121020428 -25.655558436210654 3.591147329169072,-38.21338015120084 -10.7512127428332 -7.4074332245671535,-43.519077142371735 0.21363162617079356 17.02252753766451,84.16012172932389 -4.752417182275882 -12.629348722403634,4.107930615541638 -0.6649879615340029 -6.772451555650079,-6.117614325579412 -18.448485014988076 -47.99519291923261,21.910549493710704 44.19374948997499 9.020735580304517,5.589589496420402 10.182796948294728 -9.545670230862724,38.90831839689057 21.366434246102003 56.206662741815215,20.44487463566667 -40.23251402674039 -7.562285745309625
-35.21875807090261 -25.33393059932401 3.7053878503855744,-39.575354589603954 -11.42702105030113 -6.634092949835522,-43.39269815851057 -0.19535673385574695 17.661505964424336,84.74343995473349 -3.9703649197156827 -11.726991384369217,3.8446766702150925 -0.6312505040141559 -6.979577292891359,-4.587471617172044 -22.356747089180377 -47.82810147658334,21.98678239531359 44.319607360766504 9.066326300338753,5.357898638648245 10.293259766265454 -9.470224425851612,37.50421877111155 23.82645351738395 58.86455148972822,21.182809285353596 -42.233205759286626 -8.272888762964788
-36.07220343236701 -24.967302152326397 4.727465083560849,-40.173999425789575 -12.015755950296356 -5.411354868561306,-41.69551780317036 -0.5373904731985021 18.623346188730107,82.36678562844362 -1.6379101865982197 -8.703309167541434,3.4597187954368933 -0.8941836458114824 -6.99845050645987,-3.9908179636075407 -20.526660074274663 -47.75346360775187,21.70058731851699 43.45040901509415 8.72445226359362,4.985174438522702 10.006700856168083 -9.468733886194705,35.55337661105308 23.60622177969888 59.69144835639936,21.972369142290876 -44.34536064411583 -9.0586914076985
-36.41269122354964 -24.59676868415793 5.928879137523101,-39.97326516138824 -12.365850965202132 -4.36673974917551,-39.472660714558934 -0.7540496749987002 19.750497021183314,78.60539630214588 1.1115399794577265 -4.967100221393141,3.1974993115548287 -1.2449788839526637 -6.807437856579937,-3.9008497889976237 -15.968899377806522 -47.80398196341098,21.165861770633413 41.96269271226598 8.156343697674487,4.71335689133824 9.547260413380862 -9.577024182182114,33.84798027733464 21.70553267093863 58.967352671579235,22.51599948767418 -45.78506490113243 -9.610641921902118
-36.29891758726145 -24.25821223902084 6.566645527993679,-38.9635753019375 -12.327877370539099 -4.131255071658629,-37.802504124195714 -0.7908499918816863 20.882456185273682,75.10330710241632 3.1150574668334876 -1.9656850267927002,3.3055863401842207 -1.4713407808338195 -6.390138231069784,-3.8660931465655484 -11.824668959890783 -48.009262309185154,20.503237183805293 40.25059919217301 7.530208414278375,4.787961381057964 9.145604248472974 -9.82629326852419,33.17358905569963 19.193579011150828 57.0287684377879,22.521111498732832 -45.78224771207915 -9.623979631513254
-35.83994073382186 -23.95018976559617 6.366545066335782,-37.45256875909321 -11.897180251703753 -4.828730062306955,-37.21157979893196 -0.6281700424788692 21.752225610434714,72.88126316545919 3.881712799964262 -0.37870512768780273,3.7852810662463026 -1.4937281905751143 -5.806792461758968,-3.720892136173602 -9.461781510946969 -48.30260593995317,19.83887634636737 38.6424477010355 6.9714190164242185,5.2114407691182585 8.930964322700884 -10.105036709956227,33.51113507317772 16.73125308961233 54.3417143938809,22.01895418715007 -44.42462614271832 -9.124045508034369
-35.204359609013835 -23.627130484127353 5.608558020826476,-36.12291349941342 -11.24026405156744 -5.983380632686574,-37.57399822003584 -0.2876053123838669 21.96690219051345,72.22312279439753 3.715049307928325 0.021789116477242743,4.346734702937501 -1.389549206202538 -5.208251594464305,-3.6375002714059983 -8.151451513937335 -48.50345784364914,19.305481512408942 37.388739787422644 6.554706027593721,5.698886375406296 8.912652064115187 -10.133039657367307,33.890277104178324 14.496732424445751 51.52532854160887,21.423635009231813 -42.8140400701439 -8.526444380807312
-34.56432533371588 -23.242444863572963 4.60447189658052,-35.66415134238139 -10.534425161842565 -7.087440186520251,-38.71915251907384 0.20547545662202285 21.1395657869219,73.3493828441146 2.965959715969602 -0.4805770059307259,4.688995043007414 -1.2450307319989504 -4.7491852517707205,-3.803359302693271 -7.063811954764403 -48.429245446309814,19.0344886448436 36.732879853289916 6.351068954744359,5.954681251224584 9.091524143249233 -9.627144819424236,33.30182781535579 12.63935474607018 49.20090076103486,21.164975216249932 -42.0940750976287 -8.262948539194412
-34.096845316052146 -22.814786313933823 3.6576972024234036,-36.13523492530714 -9.995688523359362 -7.745909651907732,-40.176066570565766 0.7662800460353187 19.448644639170627,75.59295024224761 2.0480664136317928 -1.4629257973140912,4.754665255910988 -1.1359655155086246 -4.523950257367021,-4.2214160981216855 -6.221764546032666 -48.09179461737453,19.08721027797048 36.80722291947059 6.3971025077094605,5.934287471442659 9.403188523631252 -8.594262484752283,31.422829582352033 11.267327745914926 47.704336373659174,21.399997493393432 -42.69095764914076 -8.49364166279254
-33.98549643149535 -22.45106731005271 3.0603122502124096,-36.7420711670056 -9.892470116855593 -7.716339122989817,-41.06743201889665 1.2296296023943254 17.837356531260955,77.08602183668359 1.4598509556113388 -2.314002285547493,4.815824304834543 -1.1240312306532871 -4.545313746562836,-4.645037333288882 -6.801815806367106 -47.76590871545402,19.430097676284433 37.59389910319035 6.682859423018401,5.93282071126556 9.694986303892986 -7.433699313739748,28.858639651575423 10.43321939837374 46.98547940673724,21.916689256317138 -44.06048808707152 -9.011073683591963
-34.409274426560124 -22.26218173215613 3.0981508818895573,-36.64005116953114 -10.489372353834723 -6.774799107023758,-40.50069106716281 1.42680207981796 17.290403727799898,75.90371603548301 1.6981291341978968 -2.416891050963735,5.162928314847704 -1.2686704999644571 -4.818811854337692,-4.813459217646882 -10.037761050342457 -47.74250072652435,20.021986636270782 39.06139048363338 7.194141869158049,6.264122226432483 9.809884892948503 -6.568652611460847,26.277463495557445 10.185566567962754 46.96685199827264,22.478633891131437 -45.59430224949154 -9.583601842591193
-35.24432810094131 -22.22201446976173 3.7306423089986516,-35.58671899411401 -11.599051265769 -5.1588815319992305,-38.39887900161491 1.3188487043857073 18.024336366646516,71.81024128715508 2.7983577776029565 -1.6173442721671545,5.785833346751261 -1.555338634318559 -5.263609289655449,-4.681046253278796 -15.687547189677423 -48.15904624072439,20.768796825650394 40.999101243852124 7.859939118796442,6.918991284780683 9.70435685063474 -6.184551301817719,24.16472861255971 10.568007793189317 47.575889045009596,22.956885680086067 -46.96718664354723 -10.093339642963524
