-16.7 -2.5 -9.0,-10.2 0.8 -4.0,-10.3 4.3 -0.4,21.1 0.9 15.8,16.7 -0.4 5.0,-4.3 51.3 -40.0,27.4 116.4 42.9,15.9 10.5 3.2,-0.1 -41.4 38.9,27.5 -115.8 -42.6
-20.063316842093 -3.2664838140814463 -6.40316065979217,-12.616023905508378 0.17394838542350952 -1.36254947853748,-10.881437769690697 3.222888289402256 0.481405826825671,22.651616872625937 1.347491344799912 10.903361741379806,16.986819497165424 -1.652120373252093 3.362445541041951,-0.13531981629276837 41.819232565427086 -45.10877210076566,25.800857796954126 123.29739287919445 46.0161897612822,16.541185592369633 9.304555697007746 1.454123139507785,4.993139636375235 -40.67656837320091 36.9688398172735,26.354635416493668 -120.9255970921185 -44.91443256489105
-18.993092663470474 -4.753569193961168 -6.084411216681698,-12.856416161017822 -0.4084713431831585 -1.7071254742227397,-10.058278022025435 3.1418177008218184 0.5247039197853095,22.2829584561896 1.639365793520479 10.55768507618806,16.15277514186823 -1.6734072544230836 2.9333540592826512,-0.24401853665438086 39.17268982063128 -44.974849458169054,25.510433533386387 124.33186963536058 46.46815609076117,15.86567459987026 9.150059357387903 0.3942746294835646,4.8139091131517455 -41.96023199628603 35.3754986482689,26.28673037331146 -121.2500046578741 -45.09998062031041
-18.388673981618574 -5.857323380771552 -6.122692911145721,-13.462967126838986 -0.7102055802373414 -2.1333656115723003,-9.82293768062286 3.2125781193259058 0.03833138584486371,22.790341606968713 1.463707261806185 10.173572341711504,15.46084589337031 -1.5878098706971338 2.5777011198924713,-0.30173206056476726 36.756348828696055 -44.669630053344875,25.289274244486972 125.1408320620053 46.81749829169111,15.263351289505916 9.217496409974595 -0.10341338510606071,4.471504498136469 -42.942507796657445 34.023735019937156,26.305105029213372 -121.176247522375 -45.08994104526068
-18.77386972570715 -6.131221058151338 -6.694045926341648,-14.447942992960627 -0.643887273902885 -2.56609640904519,-10.70521779917518 3.4738484389997693 -1.0174073521451266,24.631345095899952 0.7224653671586254 9.916037607311711,15.197420054776291 -1.349664742907171 2.411506004091879,-0.22173614967806693 35.57869696270248 -44.22720523090507,25.24068329651542 125.36039438823312 46.90902997310756,14.964708994594613 9.608388987368457 0.36097103452554774,4.158186537216098 -42.86965889756494 33.546612552528835,26.42254476336794 -120.61796657940005 -44.82950600821649
-19.721848308665557 -5.668471539559375 -7.540067654855673,-15.394217344929146 -0.2711026765295742 -3.0166593518111893,-12.085226785638342 3.841844812059651 -2.0379296132748745,26.875492805074717 -0.12269112870209906 9.8468548050947,15.29352469279602 -1.022663288392127 2.577517955397198,0.23520697047001649 35.07588955161514 -43.906367134781064,25.258774752862085 125.35042406466656 46.8991356608171,14.939552949699705 10.123990306719124 1.3640257037620398,4.1709329372577635 -41.724450830892 33.906618729952314,26.604023296312704 -119.7689882588881 -44.41907701117293
-20.61724522599539 -4.669327174942258 -8.316196437213609,-15.799507784594033 0.31702078760235364 -3.513553717595075,-13.115064778848618 4.20849639974383 -2.290881277167211,28.317029424021285 -0.49909077223309845 10.00732241181161,15.609709862559987 -0.6921844001075417 3.223785571396024,1.3385786825559622 34.372256265779555 -44.0104691687141,25.196176347662604 125.61432291306947 47.005990455151476,15.105987213198752 10.5060042475703 2.3190676201667864,4.8274863151111385 -39.63571745245226 34.93324836088532,26.805031908449614 -118.87870715035267 -43.98983751439089
-20.987939744617123 -3.3673610450212736 -8.775715560741876,-15.35495602440568 1.0225881388905163 -4.070471899654289,-13.188059984002786 4.488248544767879 -1.339744457048777,28.126574580893738 -0.041388860590364035 10.411670574667328,15.99194307460686 -0.4268157158989124 4.380084025341416,3.131402374074731 32.980000596503025 -44.690645615169856,24.969626111008374 126.43080509922856 47.350314979840306,15.357778862527363 10.579185814898452 2.793947060333307,6.252801455606004 -36.858215448550325 36.38537012711257,26.96670419107627 -118.23153745590338 -43.68379768379389
-20.892394602230457 -2.1195682041798714 -9.034331830086042,-14.46815821611375 1.7226369692786256 -4.646260708263618,-12.591063748219511 4.6789478686505115 0.1562036842472026,26.868863119274636 0.8478086618511859 10.9738667341774,16.232177224768574 -0.23294906344294422 5.6380966742575955,4.817887514967007 31.848033796357246 -45.53420205477688,24.733330432026296 127.24632831335236 47.69185266619254,15.498549346528936 10.475916334515883 2.92891478100556,7.85773551807744 -34.11312717824713 37.76024932506121,26.976991998916954 -118.24160811087992 -43.68307044866215
-20.511893841386893 -1.3115138539836184 -9.291647104595784,-13.712557873754479 2.2884021752976254 -5.187071107637296,-11.817763259253354 4.79774701063065 1.2840275394486644,25.431344515415383 1.5881279673434672 11.584669171240181,16.109861718239475 -0.10257896823497333 6.488095859791525,5.408072015832297 32.257841221042426 -45.997927041745925,24.69646570046337 127.31469662575475 47.70678669112445,15.311052890810313 10.399787541553398 2.996722790364215,8.887843863020066 -32.22960483551046 38.49459439080976,26.71153649358178 -119.35307486764745 -44.179051865238776
-20.025179673483624 -1.1895321123228801 -9.69861916110352,-13.521669210605923 2.639304032305007 -5.6436084089659895,-11.27481443863037 4.8684940709953555 1.3504223167150344,24.54516339532736 1.7271023903825617 12.147555317270093,15.514554145615815 -0.020707977296718562 6.5853174845987095,4.275388248427395 35.002760209658874 -45.689159313961035,24.99480718316061 126.15938254922298 47.189595309239145,14.68324349016388 10.505652634941018 3.2154437143150525,8.785878127290214 -31.840156920717043 38.1990750459738,26.12265457468367 -121.7171789749673 -45.234447848651754
-19.600013693829897 -1.398483991865118 -10.196065148429145,-13.724517062882644 2.9029218607803635 -5.986252533059614,-10.992901373368362 4.943961292839582 0.6108801815603104,24.266233242997817 1.364819451099652 12.620948861045544,14.811475364890573 0.05786644941233819 6.297633901970191,2.363119146636161 38.767346817684164 -44.86560880570574,25.447040024870212 124.4688162424492 46.445787112839696,13.957534231206438 10.737816149194941 3.566937280175299,7.846470530375887 -32.72779848863771 37.235867298255314,25.493899479400813 -124.21978191584024 -46.35602768878029
-19.40119301627716 -1.420848371751043 -10.668069697810257,-13.986929818130971 3.2630325228162027 -6.19069503487853,-10.901205509546937 5.0847296873957015 -0.42295613802235904,24.468172652561933 0.7505419640379861 12.978107555283295,14.494262975436286 0.18650144178542233 6.185310817914321,1.0383665672216136 41.66684086516918 -43.96056880077434,25.786243264106314 123.24593620434491 45.918835627011745,13.599030364660315 10.983739942007006 3.9692918610548578,6.5942389475102 -34.44620340336214 36.170034355189145,25.198249662312385 -125.40512546608238 -46.90047221015137
-19.53925805261802 -0.878257387961001 -11.012534906988405,-14.038302111840268 3.83859912882594 -6.244544597487263,-10.927220459943394 5.326036478648556 -1.2945373223160186,24.99663800910529 0.12099017613966528 13.196451004218723,14.911423924438601 0.3963756009002817 6.663257835770669,1.333862420529906 42.238744410026584 -43.34405113306981,25.80719760126908 123.25529693769931 45.94519430362517,13.937668534759794 11.147504027674243 4.341917262334589,5.505419375140875 -36.50863227278157 35.483301941745566,25.496804193349046 -124.25379282157385 -46.41614893981714
-19.851173843448834 -0.09400083563652507 -11.197038400170312,-13.928558057151905 4.421773522077924 -6.195498569457881,-10.989937365074386 5.575328681413538 -1.8251287165271013,25.556307741603536 -0.350370122595286 13.274382719863011,15.6796706820388 0.6068373010929902 7.4134482644682524,2.59632990989956 41.14975418054037 -43.0669732045366,25.615805400653198 124.05943756436776 46.321684255582866,14.62182243853881 11.216985722335215 4.610891299691311,4.812276384828477 -38.22459022061292 35.23717176177108,26.086531787343823 -121.94653459963246 -45.41796861866977
-20.087873463673567 0.38797936267334104 -11.211068847415408,-13.808419514110316 4.701934348092603 -6.110150539864086,-11.005673570667827 5.699866787709722 -1.9233607733898808,25.807526570810005 -0.5099649374177649 13.216905078832616,16.185586386678228 0.7020673715059815 7.88736701092932,3.6422886512478994 39.73614034661248 -43.07990595280533,25.415808273548773 124.84289627153801 46.67542699647977,15.085532882485108 11.206414299783214 4.704388695517206,4.670352213209808 -38.83950684817698 35.36099656721512,26.486997604330302 -120.35599384667496 -44.72479337127203
-20.04496538649196 0.1386153111432171 -11.060390798830792,-13.803297357818051 4.445024495224092 -6.051332246612613,-10.916784266026163 5.5985221498412745 -1.5488535274447053,25.50017803188363 -0.2535731867697068 13.047871488983745,15.943636854730428 0.5963104842734999 7.651508479101321,3.499120646633159 39.180100577044165 -43.31984415713534,25.38158755567279 124.91507800454356 46.692470620921554,14.87933458163063 11.134594381064963 4.573632993002026,5.161329281825662 -37.826829588875555 35.753717775890756,26.315876595630563 -120.97849054754919 -44.991347853415235
-19.781722857403235 -0.5931998338192436 -10.846710989045235,-13.889110325184443 3.8687567112070558 -6.059648695887908,-10.819192327672651 5.356682219256758 -0.9617573678978294,24.912309137013985 0.23200311385579953 12.902297826004954,15.222989747593868 0.3811928504358655 6.951148252618053,2.43894040912628 39.75372657158205 -43.64393123596724,25.514157537879 124.3226210150002 46.406756486417116,14.241263187866878 11.047257635922552 4.305776961716714,5.931456255511677 -36.00491179442019 36.13520602382035,25.769842182874026 -123.08943599239622 -45.903678129577514
-19.45374393317753 -1.3108929931688873 -10.706786769181983,-13.987163099552406 3.355889100663229 -6.1675847884858825,-10.864923608496529 5.12787448709372 -0.5320156208044674,24.514921181973794 0.6536423043106508 12.955811017417703,14.568528409705863 0.21314358628713373 6.279541455411043,1.1886013354207443 41.39662046399422 -43.88013846163543,25.75119622331233 123.38149744570279 45.97932200733323,13.660519487562814 10.999973009138815 4.037632477995625,6.467904520520514 -34.68344211182373 36.159911909644336,25.257093650216646 -125.15287555014687 -46.79394232662349
-19.212733421283126 -1.5756382949050634 -10.750417190826896,-14.037174206682542 3.2408851740490405 -6.390422280703249,-11.172937781075474 5.044174401338132 -0.5727733370381506,24.694737202304154 0.7533757877115631 13.335818764484154,14.447680031288549 0.22035439803370652 6.060533451837853,0.3819261891060871 43.96065172805639 -43.883768394775764,26.038314507351014 122.35114216778024 45.54123263324834,13.556479878831718 11.0369820050724 3.896352353593728,6.345303579472521 -34.944364446073635 35.57392026817034,25.135664466832655 -125.8090422311467 -47.07048733639205
-19.182460540678996 -1.3509002036737168 -10.900422247917723,-14.106891472518827 3.5221989252628623 -6.624435811295951,-11.632718067723495 5.088457719681073 -1.0028632480390545,25.25308584101143 0.5176711515433455 13.835512492622058,14.788858287073387 0.33487917681543095 6.234941291256352,0.0040793869690060325 46.69375121256974 -43.69962462940765,26.376686527826788 121.09685432080158 45.01477188349324,13.862589594659983 11.124010530900785 3.9417163538236166,5.7453439625312415 -36.28802162504181 34.75832945930566,25.414149965998558 -124.92613228122006 -46.672698750208866
-19.47487638903232 -0.7703316872703718 -11.000520641016067,-14.318225383582986 4.056135876172356 -6.715554183305246,-12.036667920198802 5.180481427999875 -1.5743046738758573,25.743645259988917 0.036404453601008746 14.106693783813343,15.292447751855109 0.4057959177179244 6.539237403181144,-0.234188884528296 48.58835416722292 -43.452678972104856,26.79099239376153 119.3171943382779 44.23389830173618,14.306721200502233 11.193568553121498 4.205002147670549,5.106532728090137 -37.54566180696965 34.3628796458339,25.953316045694002 -122.89183049943567 -45.76461752182636
-20.165252057333316 0.030613693229230667 -10.919122060760376,-14.762554675520365 4.701704219029182 -6.539935507448705,-12.207327607802172 5.250633571205043 -2.0614706089338974,25.7825863130424 -0.5993430867188163 13.85550728997893,15.68574425836608 0.30493877310835654 6.739907168804439,-0.5826340663653393 48.795606932130504 -43.257765521521186,27.296531305674613 116.78146350755215 43.06870415501021,14.640713334739727 11.188259485279131 4.7047894784795945,4.82065136949115 -37.653824000127976 34.93624274881953,26.617798296938645 -120.09337330723154 -44.51047978908982
-21.029638004311835 0.9067448967115255 -10.728596556202058,-15.280324214671571 5.344134305049368 -6.222090293363123,-12.216198640114877 5.317968550686475 -2.426165948865297,25.503686823378455 -1.2916662874319773 13.236044820074957,15.922484270571886 0.09241357768821226 6.85451676068561,-0.9604506448335867 47.77030748396876 -43.14458352888028,27.831302422550294 113.84157093161271 41.686964119636556,14.818136416248894 11.134089528048403 5.356786134361379,4.890376970061427 -36.42848909872499 36.193824447883905,27.308151376502266 -116.8991708579012 -43.069557853300545
-21.69797327918945 1.708116006295687 -10.600909365489045,-15.589446202899763 5.881460938730415 -6.0078011661365105,-12.256351943424292 5.44483713487704 -2.721719823710801,25.29347551342868 -1.9393277805864866 12.621133736168499,16.066976707116503 -0.07973952881477353 7.023236758874227,-1.1254180104370415 46.603835497296835 -43.10126033753869,28.295558782931867 111.13391695488278 40.40181315701582,14.891067823697405 11.097791013495648 6.026466848758339,5.128384361733586 -34.11507527395182 37.44414101761896,27.942469458016635 -113.66844031375533 -41.598700141615545
-21.84420526016857 2.2936881463686225 -10.685959057843682,-15.447640790918268 6.22085394160477 -6.111005114951408,-12.495554879522846 5.680830321676011 -2.99426214623176,25.49233675587376 -2.445294593023338 12.348474326471884,16.17883796047828 -0.07707062564635868 7.3637916028641826,-0.8731198142665177 46.282923810323354 -43.11426970244096,28.59776749871691 109.2501732962121 39.50459065605763,14.910210303984327 11.137693405509722 6.583462421609918,5.356282308898106 -31.027904768621088 38.058794461543265,28.441543958912067 -110.77144969250423 -40.26133949084857
-21.578799773593783 2.609141392567088 -10.913035556685442,-15.006850335106186 6.357260397232481 -6.428741621615439,-12.848122008400747 5.948913726109181 -3.2140725032803568,25.97641116152056 -2.753539179066654 12.400635104717093,16.264900297288616 0.05819048180407616 7.768104647489221,-0.3764779913267878 46.737323099010894 -43.15677439431099,28.728559005158495 108.3294171117115 39.06565147280658,14.906461609391778 11.227935635412486 6.9410206230949125,5.494826142538591 -28.121529240514644 38.048101386752535,28.751180125720897 -108.68627446013892 -39.28494288646874
-21.257536359034845 2.648889953136959 -11.087451605770916,-14.64056135227682 6.334956269032789 -6.679960777724176,-13.085933021139319 6.1008922986451815 -3.3088042761559184,26.360944614843934 -2.831078136354725 12.560608381951422,16.302332472897792 0.18452388974153816 8.001204032125393,-0.020470246459893315 47.30278344178273 -43.194456705144304,28.724737708000575 108.25637742342428 39.03116204342911,14.899589523261124 11.295343417294491 7.0369009959748805,5.520489371204783 -26.710295118449903 37.78132188087915,28.83124042369119 -107.95157548416928 -38.932963089224
-21.210445375735723 2.4207136985551836 -11.033210319467285,-14.689673740382279 6.2021162686458835 -6.610134495866823,-13.0034798940941 6.005828006545385 -3.2167811011490475,26.295192995154647 -2.6572226235953975 12.624995920601778,16.271522407554716 0.17238054766062402 7.855164093211872,-0.15157212644572782 47.36366267610998 -43.19575205882708,28.625603561579126 108.88973285966165 39.33464194701229,14.906997955948642 11.273803960214527 6.8258814774899275,5.418034423514689 -27.93226048559435 37.60824904178384,28.654611438520448 -109.00375977335052 -39.420348122508045
-21.436506423495388 2.0814675009985333 -10.807619343748783,-15.087624573476957 6.045860339346268 -6.296075982800862,-12.67653778243068 5.742595978772037 -3.0058794584591157,25.857509374509643 -2.3512287013878828 12.574412504193978,16.19411600014265 0.0442097622989897 7.452877453299104,-0.6412549621976728 46.946182001731565 -43.16206818637825,28.493497453486373 109.8182108173808 39.77864733353993,14.92004978478441 11.185411464239749 6.457409720792571,5.261378637015962 -30.829613646333605 37.605964513727855,28.343767702438257 -111.0827001595905 -40.39352584762206
-21.72111796698704 1.8841836530952882 -10.618505377239387,-15.50497168439094 5.978434380301563 -6.028367022166552,-12.36235485990177 5.525434674416983 -2.827558308226645,25.403083723511823 -2.1226394638096977 12.508190994382177,16.118377200276736 -0.07947570331986312 7.130667887267398,-1.0545357518120007 46.49066801339797 -43.116085275031445,28.405625389544443 110.45637660879461 40.08124181809064,14.913307220630035 11.10916786557177 6.206526744140119,5.181958645339914 -33.092368854226265 37.6756070676825,28.117692100275594 -112.65631194134717 -41.13213692451734
-21.854873754973266 2.05721153447219 -10.659377890264944,-15.625305760630845 6.098726135038916 -6.077990697022614,-12.30583052013161 5.554269333148523 -2.824220326157438,25.272996270042693 -2.1657570140117115 12.519764093479466,16.091016676435668 -0.08486648808860392 7.201123529464716,-0.9856520321422758 46.41636557243798 -43.0809821237909,28.432793877136113 110.26582914773049 39.98343858865371,14.865283979020683 11.118922151417854 6.325203850074712,5.2971917897021505 -32.576496103214616 37.720654413580604,28.178658585308145 -112.30450863086847 -40.96835489068186
-21.75170659142074 2.458588063085254 -10.886705207655694,-15.377546487550488 6.311535582829482 -6.389633268073097,-12.535286358988238 5.795599061746088 -2.9910592294458085,25.544549930649538 -2.4389708110785193 12.59156891600068,16.13061277254862 0.024384855315240334 7.5923341610051125,-0.5124520127632092 46.748291193680686 -43.08196718580824,28.552163686913424 109.41166452327711 39.56940059944793,14.814106906997761 11.202567294450448 6.71091961621288,5.513487727258465 -29.79341970859095 37.718846043542726,28.470887525336003 -110.36627654811164 -40.06055168281194
-21.41672408167532 2.6726074637491823 -11.08172989688952,-14.871965861126338 6.378188980635672 -6.66677558124386,-12.918945148322463 6.043369502333135 -3.2144488036649266,26.100057933257105 -2.726278768529572 12.62399232356443,16.2349478316439 0.1577954783177225 7.948160363024367,-0.07027899640758173 47.22003957807238 -43.14574927690156,28.671670708307243 108.57901860526513 39.17695426698728,14.841970121419823 11.284455789108295 6.99910420629297,5.581274835335587 -27.21753118950702 37.70281730753287,28.747840697038196 -108.48094531134308 -39.17784232156043
-20.86135057688978 2.3061340178149385 -11.032834928013047,-14.2209982561685 6.074319145208812 -6.62342516399325,-13.318598435565344 6.0978992373826 -3.37711626430765,26.807725617218313 -2.8146111387289774 12.52323212504437,16.40089599614108 0.2267134572271766 7.927154263987206,-0.07745051817616404 47.566278344796146 -43.29438270359004,28.700478913423485 108.43980064597649 39.13662360983538,15.026739241517118 11.29091048707995 6.840932356229516,5.2660785836210104 -27.233240188443933 37.707620914868485,28.769868197946135 -108.24050976447802 -39.06696651392247
-20.16938245334815 1.468002058195873 -10.723187239509862,-13.500901077667628 5.481547417491655 -6.253798260144116,-13.549663970697228 5.939915995765005 -3.3428189053057578,27.370613885769632 -2.6124733983445605 12.329422380833183,16.6180467189956 0.20944249781699786 7.557664825142917,-0.5123228488236502 47.65856117356771 -43.468711598686326,28.597121468809817 109.22576046572631 39.549500606566255,15.353434578273234 11.208169575548181 6.266606040610797,4.658180049252656 -29.869867843687672 37.78788473137351,28.494044613535493 -109.88938746900375 -39.83925642244567
-19.485831401304228 0.6916333775880521 -10.300710272980888,-12.757331722365942 4.940313149192191 -5.789123474555366,-13.388334588190542 5.702745178168379 -2.9592684601381443,27.35209750667068 -2.131204480938582 12.195986086845284,16.8698277552982 0.1409202037280804 7.180830779519006,-0.9811144491894316 47.484225752611685 -43.54088910187483,28.36189008974469 110.79634245637561 40.32261393108326,15.728543961583545 11.073150161723662 5.626924472756863,4.122552311388071 -33.164702018934754 38.01479411659115,28.043842405715758 -112.53215823428275 -41.06858968548048
-18.95472773889511 0.5003441322315569 -9.913914672039192,-12.035456980161687 4.782562267775388 -5.458505577677097,-12.626986833636199 5.518939442211042 -2.0863335621699752,26.340677278206616 -1.389166037649154 12.272149156002376,17.139518950164007 0.056770207131643685 7.132492937511613,-1.093981887460096 47.03713928552427 -43.38636967801383,27.99879186652886 112.98978479953453 41.35364151208777,16.05930141379359 10.92319540799279 5.2676488057911595,4.020259409550545 -35.158346879344805 38.45788087375555,27.54674772030497 -115.2533605595181 -42.319886033704364
-18.657041520818904 0.9085721420937422 -9.611558136032226,-11.390701603128443 4.979473375144788 -5.283212836777792,-11.435515497221989 5.400126076525672 -0.858306016914083,24.564758260250255 -0.486714448575025 12.538834565966571,17.411401169726812 -0.03117986554927764 7.420132456536649,-0.8004877706599056 46.37363352045132 -42.99905058248533,27.56384639443778 115.4389090684603 42.47009513569982,16.32272672161513 10.770283685001553 5.20648223053798,4.440115411135297 -35.323236713669594 39.139536538675266,27.103633196454815 -117.4813556016853 -43.33084542486779
-18.612756795784556 1.438615556750114 -9.345926619270937,-10.888410887729316 5.153324559988136 -5.083513435450958,-10.348915809102584 5.240984629995399 0.32512586988869313,22.871601238950195 0.3964962509142196 12.814198390838492,17.67072337429745 -0.1341156655079297 7.733671659473466,-0.37843657459854135 45.610450087772996 -42.48737589205032,27.16337491302984 117.5778770493418 43.43162843841656,16.563329955046083 10.60186290226822 5.143860870377034,5.207639599702448 -34.5165383780621 40.03656297666329,26.78963337156426 -118.97701772849858 -44.006264739386076
-18.834830085886484 1.6033576877425217 -9.067775550543185,-10.590639175211276 4.922952101402902 -4.678096076726792,-9.901359648749537 4.936091679329516 1.0624004966602987,22.110702190626675 1.0803330494990186 12.913611932074726,17.90217768443576 -0.26308022377001883 7.7579553272541855,-0.11326457423733559 44.86652655244494 -41.96668117180805,26.903772109704114 118.84521370998245 44.00039604208581,16.82608188899824 10.405895281948904 4.777245263813273,6.135561664142913 -33.63772404331725 41.11820005148978,26.675842521803627 -119.52641188762662 -44.26258574502512
-19.2104112704004 1.213121578940024 -8.794909268026702,-10.456838388493711 4.207786284877254 -4.070014682674448,-10.189654546328892 4.5099411085634 1.2012784724711243,22.490983285527545 1.4613988102792508 12.759951676638755,18.073902225138315 -0.39903034322445335 7.397439689562608,-0.1295601992667419 44.25316217011037 -41.61352328627722,26.836361800216043 119.02608859635018 44.08500845493889,17.092115681159495 10.212467977914697 4.081715183757982,6.980569513622323 -33.18829413661854 42.19556677923973,26.750440425070376 -119.23724322078634 -44.14973818916356
-19.487559915240453 0.40707607001892027 -8.619260578862692,-10.333024449048933 3.259590519228358 -3.4661551473047334,-10.82706326016408 4.130661816404185 0.865168048122565,23.513155987203895 1.5211346575143745 12.394950553452247,18.135733222720514 -0.48965985426794245 6.799380756287,-0.37408043342972663 43.87321137337278 -41.6721446333463,26.951582106033452 118.2889173368266 43.75599605425602,17.271986386305283 10.098240962619954 3.339282894472728,7.43739193870422 -33.22975630505657 42.904965665829984,26.909937585775246 -118.5728184053328 -43.86523452624803
-19.413097433244126 -0.6560166907134942 -8.633626745438276,-10.064138652325127 2.3455975340446016 -3.0806519812139403,-11.40557821779957 3.9698420334513567 0.19535077866437595,24.641418403647002 1.2499936935823817 11.87101068576042,18.03796866365307 -0.4826951968924362 6.123468429572415,-0.7829196617926258 43.826201460298016 -42.37886472998035,27.23450311084985 116.83011803176764 43.096116369224106,17.274492870748155 10.139591951026771 2.8425639350853227,7.204065223747098 -33.80074222412355 42.881048595405105,27.04758700310878 -118.00795320167452 -43.61145796032103
-18.952086229835423 -1.723082986812017 -8.821984501398772,-9.670735688173442 1.6697271403189182 -3.006807636920906,-11.654629307511923 4.053553753984542 -0.5347525954080661,25.344972811444954 0.8076663746855054 11.405991389864278,17.782498391346316 -0.3900913829354499 5.52459432765461,-1.2387162050602913 44.105826955594715 -43.55160958910339,27.589003704125954 115.14526427058433 42.329028176118285,17.077872180865693 10.314305652622178 2.6908067412824903,6.217157026307495 -34.9359917552992 42.02930663307381,27.111071766460466 -117.76503649767454 -43.48947900887082
-18.345549179092888 -2.4217943997957043 -9.030709647792433,-9.395429145862108 1.3558414913127608 -3.1851353453580926,-11.477432770108491 4.223867202974421 -0.8846345223132435,25.099349137618624 0.5678397069943375 11.426968609962303,17.436448907324568 -0.30501890340477394 5.151582754555616,-1.556514480524697 44.571959395959496 -44.479256734220726,27.816298469476223 114.1082045395432 41.85655647800585,16.748164266083904 10.47549830066199 2.738751712677943,4.714852169243441 -36.66532365515965 40.59770045253235,27.11690050079956 -117.7472694922884 -43.4722607420597
-17.850424481064817 -2.3824876163087825 -9.098478093506829,-9.49096825764597 1.5163422173568577 -3.5447359421937223,-10.793852205068955 4.312981395191488 -0.41305681249216714,23.39862947223961 0.9099428302473218 12.361486628234148,17.070405173057324 -0.3245992878902145 5.1480314731253065,-1.551055862855823 45.07480361164335 -44.42955176737094,27.714797044429872 114.60019613601757 42.084210154703214,16.356787814680377 10.470555468547778 2.825941678569188,2.9565797335809916 -39.008500523215154 38.857096343481366,27.085862131059454 -117.8386724245062 -43.52481381862902
-17.63379403375175 -1.7539090753784652 -8.920625433846649,-10.003562362893152 1.9457805562663926 -3.93376297115558,-9.800089899383343 4.250229363424652 0.8192543017285785,20.648843354715527 1.812059903449416 13.986118016978422,16.71843760121188 -0.48267903732866724 5.414436824106502,-1.2397729345151973 45.41020096775811 -43.31388248612658,27.27293189443525 116.65528247621987 43.028230356609654,15.962398568514981 10.260793245375476 2.816445198111801,1.2970040365016835 -41.495773592150684 37.125381069466805,27.031962551517754 -117.98836916202279 -43.62551139328293
-17.73265168962871 -1.4353247670487144 -8.474515432404452,-10.680405925260313 1.9785448481010546 -4.083179809459539,-9.092413120928898 4.105568384618202 2.0248615051227925,18.576277875706595 2.6712342132872635 15.135001312137865,16.361753241745618 -0.7214992268777816 5.49934889466051,-0.9335412804686154 45.295288979304026 -41.975459535503035,26.75423804008605 119.08096642850195 44.141302012111915,15.605174914862744 9.972468829263343 2.6098375694392115,0.2286647078174356 -42.94871172600645 35.78851454419593,26.959387630692788 -118.2397363252263 -43.772071963718105
-18.172518270532656 -2.37358256526481 -7.745319195238989,-11.247057704811983 0.9221845131360519 -3.7181765646985285,-9.291579221789933 3.9593329591101667 2.3679132721759437,18.991032874158265 2.845716399677801 14.58201141915028,15.978144960465345 -0.9764096801957142 4.9294504682018045,-0.9626064273740389 44.443553989190534 -41.32369452799033,26.441447171945857 120.59916557317698 44.836766255388376,15.323791406071553 9.743660187191672 2.110086676284269,0.24972905154734754 -42.149488817581975 35.233332744302615,26.87137013481125 -118.64347973642224 -43.963917875744414
-18.884917458952483 -4.703683446855013 -6.819167545246689,-11.55761617242364 -1.2480964312878118 -2.8112400827215467,-10.5220311879921 3.846114487737795 1.6282521543097321,22.28309252299561 2.1799854829756655 12.083018602633294,15.598024664598805 -1.203002452449816 3.6445531369875765,-1.3955361578195924 42.751017127787634 -41.778467958198895,26.447452968932662 120.68921940765776 44.87451377831488,15.152722743716833 9.633259309616445 1.3385804836667474,1.4826723888076319 -39.049590750246004 35.52274562646931,26.757714316263822 -119.24685432400119 -44.214282258585975
-19.645309832064694 -7.212721966377891 -5.949814352476486,-11.679593808846263 -3.4485894918769318 -1.745443075857367,-12.084183086006332 3.724557271200909 0.6079553181211936,26.48462816936066 1.3258036781983225 9.024296416270406,15.339167462633498 -1.3904777014548604 2.270384737632413,-1.8664356567665457 40.416761362838265 -42.946893603228794,26.60316768285599 120.08801225714664 44.589810230919845,15.119470632557846 9.568686000932637 0.5116590864133356,3.4262100210009674 -35.5419078117227 36.18184996587415,26.58592911522728 -120.09138550985774 -44.559328234457745
-20.21523522608597 -8.5669896120588 -5.4054499587353995,-11.700228796882225 -4.497011153053627 -0.9407491629810681,-13.203741311181547 3.546421120522412 0.20086764579251168,29.41416372266096 1.007271759873794 6.939199374639832,15.326769661994005 -1.5313158818450896 1.4939752478174417,-1.97013938071621 37.66849025492651 -44.36021284762928,26.713678492490708 119.64764078707981 44.370673621328805,15.250512079878709 9.465351775699487 -0.13684344084727748,5.520707686092771 -33.69228295584026 36.6869289135582,26.321838424887893 -121.2169247528984 -45.03678525708072
-20.446406501746008 -8.146751006599025 -5.298836591061493,-11.661786461919915 -3.88600025138256 -0.6102165908697704,-13.445615561597059 3.2948407582731862 0.7766690517830446,29.87390077377373 1.5194742470873988 6.606547759851131,15.593323035198463 -1.630681514148514 1.6195346705322533,-1.4937673281249249 34.73923329312851 -45.635823922223665,26.6705733359921 119.83909292934851 44.435102470336986,15.530585480593194 9.282692093924394 -0.4738756808528729,7.258890649069978 -34.41987135143011 36.72943538920675,25.978661523573386 -122.5344722445831 -45.616694751499516
