-16.7 -2.5 -9.0,-10.2 0.8 -4.0,-10.3 4.3 -0.4,21.1 0.9 15.8,16.7 -0.4 5.0,-4.3 51.3 -40.0,27.4 116.4 42.9,15.9 10.5 3.2,-0.1 -41.4 38.9,27.5 -115.8 -42.6
-21.332025905868154 -7.817872374930369 -5.654123596200364,-16.571570712786592 -1.2393763441377539 -2.643624387642778,-12.344562655773473 3.1275357866205797 0.5866785588485756,25.868684911329414 1.6657666836461889 8.72124389216774,11.999864491912733 -1.930828579840484 0.34612250146922374,0.08955479179806326 19.925572462396243 -46.242746999625815,27.165056094786966 117.49839208386253 43.40084307037252,11.955672424407286 9.533191272039678 0.34597921490957095,5.534754150672074 -37.11997625527269 33.42488550974215,26.56642693730655 -119.9552200693275 -44.474744266671024
-21.649735059044033 -7.914555428763796 -5.069301120724666,-16.194010572227377 -1.5650025268224057 -1.6613784394511006,-12.44497355646164 3.1165833954963222 0.11810442515107478,25.428610538182983 0.9302446079406695 7.5536698199939565,12.271202826889212 -2.168948957659682 0.04440838936469882,0.023722703579048807 17.69030880361277 -46.91040254879233,27.52695064907247 115.68390301964155 42.575937292930284,12.267185779087525 9.413378009555494 0.47392110755836503,5.333573719537038 -37.27100175105994 33.722038169142245,26.770282127611917 -119.022653593469 -44.053581227499635
-21.805373135203 -7.735215166768485 -4.896384176175748,-15.707337017520873 -1.5973109572811282 -1.0494702423955882,-12.791698913224705 2.980136040262586 -0.5055228576212372,25.475272902380727 0.40004917459762107 7.1406011005292775,13.114718425862316 -2.266551912293247 -0.11789233634182156,-0.15205959077933984 16.960538328592875 -46.32357797164702,27.86304174022802 113.84817884862416 41.728768487621,13.116452117539705 9.375796680615395 0.5819421368247515,5.184036994954087 -38.25695280438812 34.11058427221333,26.863060461401084 -118.70412039466034 -43.924438318066876
-21.71434755709411 -7.294514246417109 -4.959634445485343,-15.221619830426505 -1.281951793967784 -0.8178105349545612,-13.208535781988822 2.8050319776446173 -1.1295189550113367,25.768312886848385 0.04398442316963558 7.33510590729086,14.197928505363675 -2.293849792427151 -0.09910738687193872,-0.4791681039498821 18.014768259333643 -44.9961069146214,28.142564926665752 112.19359851148164 40.95411945350426,14.172683147058745 9.352720609468069 0.6968837649708671,5.010099083123971 -39.71820491968694 34.46136395661779,26.904936009834405 -118.63652792865626 -43.91416834438152
-21.34392113092248 -6.611729300142279 -4.951126710788537,-14.858575150914268 -0.6235054351890993 -0.858721792018318,-13.479961426154722 2.7665635770200363 -1.549803341989345,25.927106846496603 -0.2961228709753069 7.720876670562775,15.001845809434148 -2.3622944120847444 0.17797243463110388,-0.9545958205909861 20.938791071044555 -43.98169182178443,28.35668791088215 110.8686675242969 40.32762397442234,14.920488976074228 9.250383460253026 0.9154871343027531,4.709749545925626 -40.921875576217644 34.67781569852083,27.035354471795323 -118.03538355182728 -43.65254471441219
-20.680160200174846 -5.715250820014542 -4.611157772036277,-14.723093852815886 0.35379813729783777 -1.0672457842495926,-13.413082332188853 3.012567139790723 -1.598037676319222,25.608106872079787 -0.7586903776278151 7.9309764107113745,15.072861864329337 -2.5648862109249015 0.7703275470037529,-1.5672520725665393 25.724795054763533 -44.19531985962298,28.49684681398634 110.01433871420282 39.92101368515713,14.910288355934622 8.992780907096257 1.3174649823481768,4.192016524512451 -41.22283591844212 34.67625278684787,27.37302704562947 -116.2337505187477 -42.82454065214597
-19.874019365204653 -4.7143067000236085 -4.114745796311325,-14.769929327817506 1.4536338226195298 -1.3678655628882799,-13.017991366302072 3.4427724808126112 -1.4259260453270144,24.803730915262385 -1.300781759390781 8.049540171689628,14.54708374254859 -2.8287043469264557 1.5534668605830417,-2.2361488338655167 31.541226580657924 -45.29431971956162,28.555883502573273 109.70681362898468 39.77217749820364,14.285952939613766 8.663019861448086 1.8279802248334225,3.4652488515289384 -40.77299276353438 34.48601781996083,27.848739881918014 -113.6288938550968 -41.61480286726414
-19.162859216445597 -3.7604858602326674 -3.864714925784352,-14.875158789935236 2.389493935418899 -1.7004922214487266,-12.411151850963975 3.826894779438118 -1.352883588171626,23.682452296336834 -1.7844261819062672 8.397077167061687,13.869645712385442 -2.9938806545208894 2.3078032148201055,-2.8436699369346012 37.12486855421931 -46.27697239741845,28.52737649260768 109.98836236183331 39.901269807045225,13.502340053082186 8.427585907413581 2.2912074122534127,2.589842138734238 -40.14192158342066 34.19568386887951,28.294801227954647 -111.17574963860368 -40.4698207444128
-18.766305833724754 -2.9988718156072585 -4.2212439676490785,-14.920866081169637 2.8977246391498945 -2.0067136619058727,-11.710454879315417 3.95507507283468 -1.659747108086958,22.424577127958162 -2.077055474406109 9.248762456612024,13.463398196525175 -2.9158317136330236 2.831038434274741,-3.2707945438618666 41.272868568473164 -46.23562329538858,28.403662903059768 110.89633724970878 40.32558984545898,12.992651676042366 8.437181118082933 2.561659394556882,1.6423362717896197 -39.86909313309292 33.8948968090755,28.553495180320507 -109.77227199441025 -39.80957289857754
-18.70782372741696 -2.50159638875452 -5.070942058815961,-14.8601856681723 2.965483406019969 -2.2444627122362317,-11.039007884040233 3.846231013859787 -2.202527958542991,21.319483393156943 -2.112272899773715 10.376883356007085,13.486002233320052 -2.6202032254145546 3.1131215345061705,-3.387021774261842 43.46290586405743 -45.321799796246836,28.163844463612303 112.41909804051507 41.033809214891946,12.931383687530126 8.667321428454848 2.6110584820772584,0.8656450368217143 -40.13569921685533 33.67915331985271,28.582103250921207 -109.66000205854655 -39.74841999600934
