-3.9 -35.1 10.3,6.7 -25.9 13.6,-35.2 1.5 -14.6,65.0 -13.8 -22.6,7.5 -7.5 -6.4,35.8 -10.4 -16.0,29.9 83.6 26.8,8.4 5.2 -1.6,-2.1 -17.4 25.6,30.0 -89.5 -29.8
-3.044272264678793 -36.215259528166946 10.531751243474186,7.258438184433893 -25.81367403545397 15.694443946149507,-37.227567118802014 0.3418057360445142 -13.51846861180329,65.67297893462973 -11.10437892469618 -24.166102688375027,6.962576801506266 -8.251895032821572 -10.02271933753944,26.956639660353282 -15.015205416297505 -19.168153337864215,29.94194055864923 85.49414008533407 27.799961680583294,8.303704196269534 5.4186936636964695 -0.9335580219355253,2.574561780569741 -11.265702593183354 27.86648588430101,30.01020486331355 -89.28783793983295 -29.643251105261584
-3.275206833567432 -37.87583512028454 10.571783494044471,7.669113431034251 -27.9630289537878 16.631103127805538,-37.34363951988878 0.07132105269879535 -11.911693152692857,66.29226788205581 -11.205159202626945 -25.450830577985624,6.694717968724126 -8.236908413077296 -10.397690250784931,23.663168923277293 -14.944119102431102 -19.892288196388574,29.90413571072485 83.47345253931071 26.787712751135352,8.114035461762152 5.477778664453851 -1.2186847909372214,3.8671024298032455 -11.123616809516562 28.16621837433755,30.001523833587726 -87.91922226073643 -28.95940465093304
-4.086559516850977 -38.381246485941354 10.766894534402242,7.59366999177548 -28.18933081552847 16.45302529143047,-36.91093919428803 0.5089621544302408 -12.271409071057683,66.6697845411689 -11.88064757194493 -25.643249684522722,6.938611922550886 -7.955311594947468 -9.333611582046727,25.715829082595967 -13.842486087172077 -19.385885311543152,29.900551521773274 83.66242199706585 26.875827306602968,8.144066279527518 5.610328325305979 -0.8462537552648264,3.122266555660341 -12.630626783186303 27.398863447225125,29.996803849370004 -88.06058383530096 -29.03136289777649
-4.728236504095618 -37.34091446827756 10.92644613086182,7.148281625439436 -26.41680207414682 15.4056028204016,-36.335763659083995 1.2143539838421724 -14.114346881899015,66.49045975077885 -12.494603566093378 -24.654157356184513,7.462290942981631 -7.67432866477358 -7.865544253269699,30.876527051257934 -12.802115067533808 -18.21771775609624,29.93158361277107 85.70985811385856 27.894664705538474,8.371401909611201 5.6876029053104755 -0.20709628755013304,1.1752068299092748 -14.355697652944295 26.357024962489955,29.997180287633867 -89.3519060710209 -29.677959199268123
-4.034482463360227 -34.661939821727316 10.740794482262638,6.6810217944207855 -23.25839962260126 14.23129111204279,-36.32566320792486 1.3556519473611006 -16.055042108411932,65.4450327238193 -12.021105693718505 -22.784526556261216,7.799956922589169 -7.834429649968017 -7.8464875610539835,34.2289407959128 -13.654315757540797 -17.614596882505317,29.984472148172333 88.3054825728523 29.198368696453606,8.707220131614646 5.510532736515184 -0.0640949101598749,-0.10580005617891652 -13.873581180689763 26.496938576649907,29.999484933924663 -90.6207926603272 -30.31124346373536
-1.038540306248265 -30.369072008509736 9.958211303337947,6.5052143292425 -19.35503731840717 13.599312696493177,-37.473119480126954 0.2293771164913574 -16.853278405596367,63.30070216876306 -9.621117485903577 -20.358343524627713,7.545338969216721 -8.803589595846278 -10.839547476118497,31.511953927941285 -17.914473306988366 -18.639480212574313,30.044170154097213 90.27862684956874 30.20860235881413,9.062840799199144 4.914440748761906 -1.0710675055671028,0.8977626122253783 -9.189336293355433 29.033935420066076,30.0008081387469 -90.8090163151173 -30.400926414665044
3.4381865705683614 -25.519919595557276 8.847298177249472,6.6148024862738195 -15.56542222055797 13.505440330467826,-39.33390461246114 -1.7089621651700069 -16.60079907880882,60.504313044066926 -6.134885486144251 -17.886782597904038,6.831964560951702 -10.297381241528399 -15.793401015431892,24.410591028251332 -24.255573408087738 -20.86883919166332,30.07588108534748 91.7429889731795 30.9687390638614,9.353818766937994 4.043627761296747 -2.8953452113632845,3.5372368634841083 -2.1789482562197398 33.01144706580582,30.000732028443224 -89.90992457035085 -29.947657461950957
7.6372494036296 -21.713337781018218 7.949323875861389,6.8363653005224805 -12.862391026894985 13.592540532555528,-40.92052639592107 -3.3965162876522306 -16.08733099222913,57.85886367077468 -3.28264680894294 -15.979109833356999,6.076230395988335 -11.689500540797138 -20.286692383827027,17.725818391199166 -29.86110611519728 -23.100185601076657,30.034459077156257 93.48531043758152 31.847945506902196,9.497928146577477 3.2043075212735133 -4.687312928262377,5.975902718441725 3.2531256010949328 36.33476987240435,30.000144488556163 -88.46791914432816 -29.230312517135104
9.947239195478513 -20.384389854185898 7.7518714653709795,7.006535376553506 -12.10329805136889 13.529586857771832,-41.33454536474681 -3.8625067144060723 -16.042634523387427,56.10951567412209 -2.627212988679828 -15.179130402827015,5.665420590315257 -12.404463504283664 -22.099931979832117,15.853100562272084 -32.1642488435793 -24.232864740922796,29.88204503049371 96.19735425935579 33.171089246551674,9.426608083821874 2.6779697846415176 -5.666395616935025,6.533134426056368 3.5729324979756614 37.10494102227513,29.99987261285893 -87.0330395705707 -28.52943890431514
10.40374619098499 -21.18039941805727 8.147670067982256,7.084195885525035 -12.910004477556472 13.295387210751258,-40.672743282378754 -3.169369471893233 -16.49530748139453,55.35475868731886 -3.979565800511385 -15.327196608970786,5.651643375248886 -12.437705122865616 -21.282544151793473,18.596229098416078 -31.385447969119113 -24.318996309309902,29.65903139453846 99.50070039749092 34.76278275337751,9.216026198372681 2.468763443515947 -5.832522602604809,5.294766075505076 -0.6344867774897339 35.60530219825539,29.99997685859917 -86.16369458411664 -28.117345937212946
10.03435177204894 -22.67193067067815 8.67116701371396,7.101861774154468 -14.160231356060999 13.055363382079674,-39.63132576952405 -2.001847909382196 -17.05163597319771,55.30359043115046 -6.0955562398857435 -15.839969599273216,5.8851298358409805 -12.128526100173854 -19.25052493252497,22.99342117638611 -29.423927874637055 -24.10501846935974,29.452941691931024 102.37235528547033 36.14633379734765,9.029520376797004 2.413794399469374 -5.655722644758509,3.4105742644878494 -6.303212874171585 33.43360171257626,30.000055936219134 -86.42333370782924 -28.261381158427838
9.821071761931831 -23.507449295826348 8.88492970792029,7.092451373642315 -14.797501776488627 12.965714836196655,-38.87320987025805 -1.0193457257777925 -17.337969986704643,55.65686493642922 -7.7815819484777995 -16.16314009715535,6.214523054147008 -11.805517097775116 -17.37425699637445,26.20858611366281 -28.089695564156493 -24.291548191762846,29.345705600693492 103.8571909669351 36.876343803662216,9.016735957114333 2.357646318052397 -5.584334667643806,1.983578332739326 -10.500294182252848 32.1084153330195,29.999752205062844 -88.28237323707278 -29.18376621446949
9.989533186731304 -23.51985770901782 8.773734009014671,7.0811078389142565 -14.736772326975991 13.03203708297813,-38.53072198905468 -0.44822292624944815 -17.311175503008894,56.07977503835292 -8.675160747247443 -16.187713664358494,6.503624295087139 -11.600043458656046 -16.201349329631864,27.497247463117333 -27.758024772474087 -24.871816933207413,29.339503098446393 103.98039636746066 36.96016732406932,9.137059040526209 2.269779637543263 -5.707015188459346,1.3325479852525235 -12.427364335618508 31.90591204823604,29.999346815945238 -91.02163869156955 -30.531010688158567
10.242899229315602 -23.36018964823962 8.61398972326431,7.087603742341651 -14.5640022347616 13.155898283928481,-38.36969126629931 -0.21572129348152796 -17.156417304952775,56.21288115373225 -8.987893844802473 -16.112290188119324,6.626705103556023 -11.50724019252246 -15.711092740445729,27.55967890622264 -27.813169456383495 -25.350440565808885,29.381428292786197 103.44429911118394 36.717891118167444,9.218457108008003 2.2059114923188456 -5.863975674141956,1.234544641870365 -12.760488655014933 32.244087612274605,29.999562154993235 -93.10026419259349 -31.551959973585827
10.291578926749446 -23.639732597851037 8.66730762790844,7.128541302803724 -14.827775761639101 13.239568253986567,-38.17378713017037 -0.248046005481826 -17.05546470005426,55.73974755738027 -8.92894001517792 -16.12746071679467,6.472640604282026 -11.51989596237456 -15.869048484778224,27.094899749664904 -27.668343588627007 -25.258256613613707,29.419363320873526 102.93971842967633 36.46536770329044,9.102567660222281 2.2193055439175096 -5.899464054278796,1.4624919569355028 -12.180365743568325 32.5500849096789,30.00101834791782 -93.05920461910789 -31.53523115236596
10.120986190780187 -24.096441681536458 8.874152252514051,7.17276888809371 -15.285944469727529 13.228521069880342,-38.11845344258559 -0.548023029635453 -17.06634517253289,55.021925902361545 -8.491318009191124 -16.203565449281406,6.154699854366713 -11.636479875440651 -16.60303961089187,26.334248445008253 -27.495582857710023 -24.686404529030707,29.43056052066855 102.76804744053264 36.355443758268315,8.884880339311646 2.2982257546713347 -5.797710727956641,1.8928390175758214 -10.982584015582098 32.65981809353263,30.002604617471782 -90.96971161236429 -30.51275109655273
9.934020202365978 -23.77760454375433 8.921012344540118,7.151369138501743 -15.071015682208378 13.102398531790305,-38.68896554859573 -1.1790732337782903 -17.149226036733925,54.95714840090615 -7.497114076222937 -16.13676107102418,5.963611946293854 -11.859953370016296 -17.811044226043798,25.139202012093648 -28.067030660505594 -24.169133785226933,29.415499403958975 102.92270492695214 36.412054179145954,8.86164159725068 2.3795316269121427 -5.653650041234303,2.4839071200771174 -9.158170763711889 32.73247460248091,30.00184131650594 -88.11325900950368 -29.104286912185643
9.91594688838914 -21.80310145937341 8.511896280744958,7.005180356305462 -13.380323352291105 12.851863896779264,-40.32055725337677 -2.190511289191488 -17.258349003102545,56.3836255132108 -5.794337523757841 -15.73696254266899,6.178998038100036 -12.186052126147244 -19.371464044463345,23.384035984433762 -30.09065974051912 -24.218487620733526,29.376554019356323 103.37037575019427 36.645016413490666,9.314157809478033 2.4050322090632252 -5.555682307688615,3.1986733530941605 -6.707803679453345 32.94024078546247,29.996519860765712 -85.78652772321932 -27.938194376167417
9.796528031729865 -19.06002665634436 7.823376808195439,6.88348429402437 -10.993877424521685 12.662524670243105,-42.31798232336834 -3.327093516674668 -17.285092032652116,58.706452372994505 -3.822125114914375 -15.171860240553341,6.77218903207938 -12.468513470767956 -20.800163126789172,21.385513543030687 -32.71775988599011 -24.683577519790177,29.340450848296147 103.72366532395193 36.85937389382368,10.129100661147534 2.4393055591945036 -5.407528772579668,4.046877975163087 -3.979356483444672 33.53589917692015,29.99039192710416 -84.9414259227659 -27.49859297799798
8.893523703848196 -18.033912450838436 7.459459293149731,7.1240989872497895 -10.123212069164627 12.896314665477064,-42.96347976456588 -4.058104403723781 -17.063973071633864,60.034476922933244 -2.554286077585697 -14.93275100104346,7.43566850355316 -12.43263777744809 -21.28509164813252,19.860626210271384 -33.691607258601245 -24.813895795396846,29.355943052174744 103.2749155905601 36.67495275933481,10.836196308104402 2.6579738230089056 -4.945869188325228,5.080558348537409 -1.6347403427196139 34.8451312449264,29.992600225165557 -86.21801618341594 -28.139141051024637
6.548572818941619 -21.151046840333166 8.013718209933115,8.051581277576625 -12.925661975668655 13.901874779322629,-40.585073954637785 -3.865252220423803 -16.441981241551154,58.51554759307183 -2.9430074122248144 -15.502976060434976,7.861716707084623 -11.813335941499025 -20.041014919408248,19.52079469450509 -30.8097287300348 -23.867824332690837,29.469816862524276 101.34765479598153 35.72713513753625,10.97025570702499 3.2307012533802473 -3.9172893534031057,6.3472467918276525 -0.31398484130042603 37.1723617861231,30.005118142598363 -90.21781167186275 -30.191817176602388
3.0499484667479138 -27.98152784501843 9.448252738871627,9.500241396505983 -18.972715451015436 15.547578287994654,-35.53068990764866 -2.7765927466894453 -15.621059621626639,54.39265135097492 -4.940959710048374 -16.886362190713168,7.983250724310157 -10.69358549499769 -17.22704931983662,20.588735884332237 -24.436041899824357 -21.849202001109415,29.661373707568597 98.30988194391293 34.19472525616155,10.504789223573983 4.083697647648364 -2.457668800390306,7.7470896823299835 0.15440294296622087 40.23816327114037,29.84990850263744 -96.8746136626057 -33.57352340625681
-0.3352451439262206 -35.1421187080608 11.072209013950143,10.79746868637501 -25.162064552599603 17.20519597363238,-30.236854181341034 -1.3851116564379566 -15.170177951042696,50.07517360224624 -7.467301577749341 -18.590912442474057,7.982009009281482 -9.516269057307062 -13.978781587375742,22.781841042955364 -17.58814323629887 -19.532679154625132,29.840134917528335 95.60959135941586 32.81843232823892,9.866927686875279 4.891437969032367 -1.1054214634740003,9.027834561972696 0.781039960706523 43.159397845746156,29.162801040613193 -105.43180130559017 -37.77196766912697
-2.3249596752498762 -39.195172934971126 12.17928580667721,11.266344695767849 -28.34659497027313 18.237786343112322,-27.17770270001874 -0.2990875059207472 -15.654024539294102,48.00910756832229 -9.413079448888823 -20.10731330661775,8.046923479197174 -8.731385317471613 -11.456593870856077,25.78392053124395 -13.33665414191013 -17.714696974945728,29.914978133164468 94.70421987076239 32.34443366271343,9.495345702670724 5.3250350320691195 -0.403509534590915,9.93656618078135 2.583034097878107 45.048721972790254,27.591096368419617 -115.07783193281374 -42.24964436808827
-2.5965108648446624 -39.30177057526128 12.529232488212568,10.83572469069543 -27.873318303627308 18.459246491310516,-26.961954409065914 0.21522158106406766 -16.963761307669085,48.629280105827796 -10.290777284864712 -21.102804698156465,8.230816259461763 -8.487653590310408 -10.177692804227167,28.952942036184183 -12.548437317134638 -16.754384237672888,29.876559150814288 95.76900735252408 32.869427473898114,9.530724798204634 5.317604723920808 -0.44965783664935727,10.42255894393575 5.554420665050665 45.76958216076166,25.418883181056284 -124.26897412986517 -46.29731340621699
-1.961426079353211 -37.695345482666255 12.432788427530149,10.15064209355494 -26.037935480373772 18.216479055424674,-27.992932320663865 0.29591236722832237 -18.194271182335072,49.99280940245561 -10.347575799660849 -21.45335745281887,8.42559318454656 -8.577604566767421 -9.898888455478515,31.261644571512992 -13.484953810153794 -16.493855553283677,29.812216285399952 97.46331171871836 33.72226298031152,9.761443111791301 5.112017006781787 -0.8152077115120793,10.674126703694792 8.47970374056588 46.07304915018618,23.68309517529086 -130.5958637032206 -49.00270095647587
-1.287619572505042 -36.75268522169851 12.2285138512675,9.88516267254845 -25.26936322188949 17.883044400179173,-28.57488583644405 0.10445011537843948 -18.410359926038865,50.062095297227934 -9.874058368384745 -21.055785623928617,8.514997409076166 -8.774848120750473 -10.331090555186991,31.68213949721747 -14.280546028471528 -16.744785202688703,29.813156332211847 98.37320924583793 34.194474827749666,9.957476938778068 4.965671064541189 -1.047773146997335,10.88766484187628 10.085477546738616 46.73745693590709,23.44368790448904 -131.64231855921437 -49.45761799912801
-1.0543678175525952 -37.39741636080038 12.084454784856678,10.187611126031086 -26.415534057298174 17.65667489630229,-28.218480371276904 -0.19693105563395774 -17.355317143732346,48.61618560330554 -9.202431043959052 -20.181829585613425,8.430966131824961 -8.923298816490224 -11.100351022316744,30.108689707527695 -14.065008269862595 -17.293933604758077,29.897444210481517 97.6929110693005 33.87733162419469,9.971674214847445 4.992714632193253 -0.9794821683447341,11.015474215916978 9.607543330781956 47.517616989645745,24.88817184651404 -126.83362512614032 -47.428245267921525
-1.2152075445785446 -38.58736459357276 11.937989786870123,10.495102411771631 -28.185663527965964 17.497247077932983,-28.066391599502573 -0.44495693718715623 -15.690268890822257,47.8916453576792 -8.721206026170764 -19.610420925796895,8.170632283084988 -8.961977694454855 -11.71792819084259,27.683022278311853 -13.314757953730233 -17.89435831135167,29.98420028729995 95.4392983803049 32.76757479631732,9.76898961644291 5.113508366547865 -0.8273464751975372,10.67965054365114 6.97054522636638 46.783744391660775,27.023834986805866 -118.0861636899242 -43.593034507836165
-1.6860061455914885 -39.151456697629804 11.710708266837237,10.202052085894618 -29.150290926207635 17.34835524001816,-29.36119415039705 -0.478797602732436 -14.135637620899228,50.26802455923534 -8.81668214907737 -20.145982056976795,7.736948338189727 -8.837912852978702 -11.69426233928125,25.62099885642922 -12.599716974245826 -18.30114626495193,29.986618032582392 91.69635683674555 30.895268909353753,9.324081923806252 5.23540879783491 -0.8329461182010165,9.48764338236 2.161467787350087 42.83855384741515,28.783144962992694 -107.49104136479109 -38.696862493584696
-2.3615841220526925 -38.55698490384721 11.359258092498434,9.16993742464239 -28.668126735169484 17.1896818270244,-32.38870603965263 -0.2887097683504961 -13.060585486437624,56.23746196232003 -9.502549727107088 -21.962269229360178,7.20437236387772 -8.573499582035659 -10.97961363935719,24.273634280693972 -12.364839014534041 -18.534687575681648,29.88367964243692 87.07060737765802 28.562967495437665,8.716396131743698 5.310859540788559 -1.0727515499093851,7.574468700588348 -4.026045126039656 35.83170154880659,29.635888813954317 -97.0134638986655 -33.584766668502915
-3.104139295075052 -37.26070789565601 10.894627741821203,7.984181370439886 -27.31954678378661 17.056845915173735,-35.951772531907004 -0.09913444619762499 -12.289821173181634,63.36660889224191 -10.214955869262807 -24.25550614160356,6.758196093565379 -8.307952318640908 -10.205963097266869,22.65143083745049 -12.861377030597168 -19.026592263506114,29.75633983857046 82.97850062784693 26.495581985393834,8.187795867636348 5.3621891911246164 -1.3673133458357232,5.892870404339479 -9.548027728703472 28.77560299170652,29.884698650510508 -88.42348992170649 -29.25703351229244
-3.7734782170926504 -35.802972951514136 10.33311456675904,7.288114555968406 -25.78796505186301 16.989182647032465,-38.73183387741578 -0.15227472474730472 -11.60352483372811,68.98345341770913 -10.34586869394206 -26.141350768979745,6.591807378348403 -8.18928899811056 -10.05785503074351,19.665319270095527 -14.31810684295084 -20.237466418710532,29.693765999992404 80.89530749730345 25.448793425224984,7.992119305492973 5.417478323380198 -1.516520101709805,5.455808915395589 -12.270738192383211 24.906293551925724,29.902377251006627 -83.46110839695989 -26.72002551318742
-4.266720402734789 -34.58684623329658 9.748058742079706,7.332393146246745 -24.57235050456942 16.92750918737389,-39.964430574710235 -0.476084936820475 -10.989234727292159,71.58411272085512 -9.78197814248474 -27.052238176752205,6.7693007248089705 -8.253542776727166 -10.67321377219525,15.641604907158227 -16.440978639899978 -22.054470696718678,29.73484784170832 81.32063058336486 25.678157030006805,8.203650279464412 5.481462829447958 -1.4418815569677295,6.3658014031710355 -11.65897975179338 25.424238989085474,29.929380725793113 -82.671992314764 -26.325641327745707
-4.54738115078367 -33.77111183979205 9.314304121922047,7.66893679052558 -23.843465214372692 16.63733690899215,-39.871085427642114 -0.717278867760006 -10.803468236679995,71.74330734078968 -9.290296742252053 -26.984285916221427,7.124702253379378 -8.337477795940794 -11.217291948969084,13.425152310237468 -18.005611277590837 -23.344360052722838,29.829009522238557 83.01793954509188 26.549289377786234,8.577168341769935 5.517338385199377 -1.2813236970596718,7.105295492576814 -10.022053819105343 27.907752520813553,29.97066362531823 -84.4766136396214 -27.261207390236578
-4.586152019663821 -33.488668098057595 9.21626622922401,7.779517578344016 -23.737335874075377 15.868134021787785,-38.77587696236234 -0.4852764449018895 -11.437971090226227,70.25047362408561 -9.724429587330834 -25.99341336551917,7.4686543168741855 -8.25815794311967 -10.759603737412752,16.102595568221627 -17.698274267405015 -22.875065484146464,29.9165786444019 84.57505817938372 27.337793870315714,8.835328191264386 5.4842515321406005 -1.1945883683257978,5.998231825788134 -9.952347294598122 29.570435264547875,30.0069412474151 -87.0791318501991 -28.59546564393123
-4.402761544349789 -33.768357551339555 9.506665632541635,7.423614848828406 -24.25662889078319 14.668889826313576,-37.13846015875674 0.3142842122695587 -12.869875901599034,67.961149849345 -11.324485582158092 -24.38602348022017,7.660885393442802 -7.95685943578907 -9.038359701406325,24.123963434235392 -15.172965797971312 -20.354257707245864,29.956464725930676 85.07012768274878 27.573944629213734,8.82050519058022 5.375756074719541 -1.2686092280403385,2.6231964941886114 -12.545509367525021 28.906415261068414,30.02438065669201 -89.09125191461948 -29.613231889299325
-4.117360774230381 -34.42592756074224 9.968525635526987,6.929422862714716 -25.13090298522119 13.701980972008135,-35.69613615961309 1.169141620359424 -14.227231706863588,65.86624402407737 -13.074198661042887 -22.981482951349697,7.661647127134755 -7.62923213751051 -7.161189511393782,32.539797254888185 -12.065489501017415 -17.414094470300466,29.945631070690307 84.58540715606087 27.309554334059214,8.620249893190365 5.255868233744542 -1.441216503161193,-0.8718439234546531 -15.832029526550667 27.032203545873138,30.020313556486737 -89.95928863359842 -30.04181821360584
-3.8622146862913085 -35.25094107328095 10.35220110655883,6.694027548609307 -26.05626542764459 13.703106038682302,-35.21855565410717 1.493922546894965 -14.536368536271635,64.97110492684777 -13.80565310956019 -22.659924012721643,7.443753584815196 -7.501645206266679 -6.400964760009306,35.75078482914338 -10.25117075661873 -15.918965230598058,29.88575024872456 83.32690666025792 26.660681571860543,8.352078868186371 5.197104671421477 -1.6319724741064086,-2.0293089638062813 -17.471175706079887 25.38349297747981,29.9934635837008 -89.23382677511896 -29.663753545136235
-3.718611246761824 -36.007167852062295 10.507192482430924,6.906345226060852 -26.725729735449868 14.9089342826839,-36.0146986676002 1.029372193391615 -13.45204587199345,65.6839117510896 -12.962502368096871 -23.729673476323324,7.051073072276803 -7.680938711101193 -7.3492389173366846,31.31384767613503 -10.727277938359073 -16.779174091973328,29.79243033567857 81.72523274594299 25.851561171100673,8.118341614844969 5.236378165305287 -1.7573258174961621,0.21192566417027245 -16.266175146784793 24.860706327126433,29.94951826769981 -87.04655538756485 -28.55137073368072
-3.647339337391744 -36.39740792107545 10.517359768042663,7.263222418141887 -26.824996435696328 16.376533102319883,-37.30461528600683 0.2871121259124402 -12.114500129671804,67.00125860081019 -11.43402256375968 -25.147428688074314,6.695431384621611 -7.991410736502515 -8.987070667902435,24.246589454652145 -12.41553470205772 -18.649765191065388,29.71422005322231 80.74189150020341 25.36213416717194,7.985535823955085 5.326441291309332 -1.7263652961089195,3.612051384310155 -13.724337714846817 25.098998856063325,29.910626335826326 -84.9027735591456 -27.46203901507248
-3.5918192307009105 -36.116035216185864 10.500357783124716,7.390696433471141 -26.039199555292004 16.99335432466241,-38.15159112066078 -0.11027764946466709 -11.87752454805771,67.71657184795784 -10.31771208256949 -25.675508675327603,6.612741600660941 -8.21666733366925 -10.063623417587108,20.640404403432967 -13.938578770396864 -19.861023672371495,29.70438430435497 81.41406013759156 25.708768962103743,8.014920259954538 5.407916153963757 -1.4472543308319807,5.456170883088325 -11.742558002813453 25.551045315138115,29.901294056074665 -84.50482567419756 -27.25139182131131
-3.5212634254753543 -35.11573567355702 10.53348575318284,7.099529387518485 -24.38536460352715 16.177764861785093,-37.982556147490826 0.18987061772069652 -13.398765426294323,67.1263817017834 -10.301205877648426 -24.666412628110546,6.920362677497082 -8.223328267551508 -9.835181302842933,23.91653519841912 -14.418090816805492 -19.43717641450567,29.787560963387907 84.08796208320754 27.061888161166944,8.227133996511903 5.4396354753157725 -0.9215347218944179,4.213009173308123 -11.517767507205196 25.868394390462576,29.93223457746448 -86.62056874068404 -28.30581079640933
