-3.6 -36.2 10.5,7.4 -26.2 17.0,-38.1 -0.1 -11.8,67.7 -10.4 -25.7,6.6 -8.2 -10.0,20.7 -13.8 -19.8,29.7 81.2 25.6,8.0 5.4 -1.5,5.4 -11.9 25.5,29.9 -84.4 -27.2
-3.6623146903420314 -36.99547817546387 10.544952615861726,8.389907682687694 -27.24439472629655 16.69608196332709,-35.58042886647013 0.16898050825117425 -11.91809553934016,64.33047469951677 -11.282222863089517 -24.67763886921739,7.740485544617139 -8.176229131114585 -9.765235558360821,24.340057742466296 -16.006213134340104 -20.544951277389735,29.928503239458607 84.47939166002321 27.29348243099719,9.056815919161828 5.27760880261722 -1.4032050841579604,4.962714072180769 -10.653847104414075 31.185754903842376,29.720251082984852 -86.64703096463576 -28.30695184753441
-4.115934119347299 -36.60407010062642 10.249225563580012,7.755380456595229 -26.971225245693503 16.83112477681656,-37.858348142148955 0.1540231356891595 -10.949969111057765,68.75289174231628 -11.572124169185804 -26.286358406135435,7.307595190936741 -8.039816787189624 -9.53148281650696,22.081340694128087 -16.13092516159892 -21.022107427216266,29.83918150573831 81.2447804541491 25.661452734818077,8.61492224791074 5.334713507225211 -1.6409954245421978,4.3049369365915595 -14.070822384438172 26.73676730264832,30.078560763268072 -80.40999128081009 -25.22271666598917
-4.0461672042273324 -36.51438921901637 10.241282146091464,7.536411981804762 -26.879987107157266 17.134736849043026,-38.603493927966305 -0.04298998507466536 -10.689247133190003,69.62496656249625 -11.140906803118236 -26.706714875533464,6.856415111711438 -8.08166783540564 -9.774268819477179,20.04695999426181 -15.289544419859508 -20.841153785746716,29.74473291477838 79.93368057532507 24.98441259507322,8.224809579655135 5.3742343953223894 -1.7388549532495807,4.952429546707681 -13.94796212030117 25.16058896339718,30.085965865084432 -80.04111931893313 -25.041639375520976
-3.732651298562351 -36.364395879002686 10.408045227384324,7.457452399001573 -26.525940212376632 17.16790185191156,-38.35747281935543 -0.1480692993215995 -11.279349098977438,68.43178102586705 -10.552968218528589 -26.15476269906469,6.599508091856125 -8.175967777026665 -10.014941565612544,19.861142917086752 -14.17364457228512 -20.17349346074389,29.695407592632414 80.46855853326348 25.236121226451523,8.00934016172351 5.396094888902095 -1.6247783012497152,5.518786173168341 -12.423105452425451 25.260703816588194,29.948911189471758 -82.91209816490543 -26.4633600215362
-3.4521506571258405 -35.8117649975084 10.632610511820266,7.253024642828757 -25.497450707551938 16.522754206511898,-37.67157577817716 0.09569522482500159 -12.8204289760672,66.66660729874677 -10.355687511917937 -24.874659918207758,6.733227886011106 -8.200854196279437 -9.798110406370768,22.999329576034146 -13.460420183686415 -19.204421993847482,29.737643098695425 82.70892893853656 26.358141907793843,8.080189553797299 5.400937586722505 -1.2387082803686857,4.687074468815675 -11.58150145524481 25.84462604088588,29.869085742100346 -86.40290154300774 -28.191840184152376
-3.3366404619211325 -34.90659912434048 10.786681321820767,6.916536291149553 -23.986099069889395 15.360032786583512,-36.95904134323789 0.6183211714369419 -14.79887067280761,65.27834127169606 -10.6702353680035 -23.365042257302722,7.182027370407083 -8.135390376426532 -9.153154084330545,28.427505811711082 -13.412329307088749 -18.24337952104606,29.852000520312412 85.80037003058857 27.92156235355984,8.375925720077671 5.396366136879698 -0.7023319123525719,2.5884366231872606 -11.938537823285188 26.3602447054202,29.898580099740126 -89.11654432831233 -29.53957489505969
-3.403590686611009 -34.009348869434035 10.732951411318458,6.64613164291352 -22.66051270647977 14.290152467433872,-36.52393046720914 1.0913060089122084 -16.21566325960388,64.78536348160519 -11.280719169320319 -22.325796954609626,7.655328921150674 -8.038455832535263 -8.49282709733593,33.127076868736225 -13.963839148005139 -17.697984876266514,29.96694309647208 88.323849534038 29.204482824992375,8.698215953281661 5.395489274210444 -0.2810670836005714,0.4992122730076888 -12.768090713406375 26.761883922006998,29.971176192376277 -90.62327310130314 -30.300312697151668
-3.661882060238715 -33.48018091924775 10.347093275926978,6.635722212916779 -22.176489021768756 13.909222199701848,-36.64764935849373 1.1946307478718434 -16.11351563797825,65.64962250520415 -11.963183265263776 -22.422860907361994,7.868255405208948 -7.9692530100547465 -8.223779211067095,34.17086570042756 -15.026892081211221 -17.95186812080561,30.012739163050103 88.91474974529103 29.512414149778472,8.85269628124355 5.410935065129198 -0.23031553319775055,-0.3278365320915801 -13.333998615102358 27.020964979286152,30.019863699208635 -90.55670687276158 -30.29849101970662
-4.014843900792036 -33.51000635689142 9.760329926631584,6.88938824309476 -22.690168021196484 14.299616892767666,-37.231445151623454 0.9086289229456056 -14.597455186741703,67.4697783152557 -12.515731735624986 -23.55992823443293,7.759554339563162 -7.951105896071153 -8.432389158149048,31.445469496057882 -16.251248509975728 -18.87330107983591,29.982029836942544 87.55788145216859 28.835146459671027,8.793934866314979 5.44313831670095 -0.5360847396914661,0.30013286545048046 -13.361275650537427 27.172045100322293,30.024754052773705 -89.26464559972514 -29.697612364130293
-4.270334689011098 -34.136645236193516 9.335028813109908,7.239508333741403 -23.90575155283462 15.07904103094434,-37.832712590083496 0.4853017485206859 -12.733372180201018,69.06364972870126 -12.75642159980314 -24.95124745175793,7.470240859908364 -7.974886552823682 -8.915351778152221,27.38253320358276 -17.04952627281426 -19.864416075578166,29.923872170805467 85.45860821950296 27.781397832692523,8.611208402294723 5.481505080740228 -0.9407161297395816,1.6172701908680598 -12.992067492548586 27.30678771320066,30.008580126654095 -87.74086310356529 -28.967862259499608
-4.240759793330748 -35.37770196792997 9.425098003611774,7.516548576311121 -25.50692776988447 15.855369880529977,-38.01292501512932 0.179483732011231 -11.588969398651583,69.26876293831688 -12.516060479418124 -25.810036824257935,7.146553127636874 -8.030113307833597 -9.461595557664554,24.438289923843914 -16.85575779413464 -20.33175093388876,29.887874163301014 83.83580550106906 26.966790112748868,8.397541431905035 5.515033568744177 -1.1860437733157694,2.839696492473335 -12.385493102174873 27.514974045174565,29.995017399089132 -86.96997774769494 -28.575504508658472
-3.93376858838333 -36.89142850039848 9.974055651274563,7.655455510751319 -27.07396910015742 16.405471597008187,-37.73612504092526 0.07598899039280994 -11.429935484233427,68.09217390144877 -11.919584422640014 -25.931588963094214,6.8842558294346 -8.101794396491549 -9.925343737028891,23.42839348017292 -15.836353132580616 -20.20011416996018,29.887421456168795 83.16360578222518 26.630567075116723,8.218928343534204 5.5324659437031265 -1.2161185872173177,3.587213055457813 -11.7481953999212 27.790073959207433,29.993243646446516 -87.14382206661188 -28.620807119651797
-3.5588950986647108 -37.96450201513223 10.501071802814431,7.69920971693919 -28.08021486802497 16.680955015113575,-37.38261674998939 0.08382851274045573 -11.692666817467531,66.75024641348449 -11.396061807053059 -25.71306835182962,6.726923472288966 -8.170274564699447 -10.228335117021714,23.472118997963506 -14.915009626109562 -19.930212423024162,29.898445338582352 83.14606836480239 26.62279304684599,8.113414021000583 5.522279611372843 -1.1840861391482165,3.897031383469438 -11.33595765176964 28.025970209617313,29.997445847050138 -87.63447851590304 -28.825594048266254
-3.3327876466744413 -37.88960304178487 10.519997018402488,7.694573777034464 -28.01145349846572 16.64366106533587,-37.34111350428936 0.10625297567071179 -11.790565443646207,66.48311384132829 -11.375965043148879 -25.570017692338403,6.714624069368173 -8.215447694325732 -10.296563707237606,23.63424527231721 -15.020416745684388 -19.99237245850896,29.895932600127324 83.45502005676528 26.777286161652874,8.116541425222056 5.474179155974442 -1.246931202750206,3.825776801874922 -11.397929108333296 28.11363330570552,30.001233230839357 -87.7923714099698 -28.901283528384724
-3.402223418004083 -36.69426304034094 9.99738862353268,7.650124938415143 -26.905305180093055 16.324294373655825,-37.65755299882892 0.1211631117158734 -11.621801483923056,67.51411394026519 -11.88885218659064 -25.619792048233638,6.852558307151496 -8.209725879273131 -10.092210682186009,23.734370161856376 -16.130484130982047 -20.37734305275544,29.87974895568543 83.86704620341742 26.98218700690705,8.225369311664165 5.417213955618175 -1.3772380402955864,3.434957327805881 -11.900681523284193 27.997456821479744,30.001832464501742 -87.48113368431805 -28.783298035973296
-3.8313741953103557 -35.27479362641573 9.435018145380903,7.529295699061519 -25.45179518900774 15.834973917750165,-37.97262516338519 0.1947149505296855 -11.657663860841705,68.86447419634595 -12.490298854963065 -25.627213075218005,7.104704849723007 -8.116675842710086 -9.620239622261641,24.48447907812288 -17.09905854620188 -20.50889017947157,29.8791733190588 84.28258330764642 27.189859086207125,8.391458345469372 5.426948912512342 -1.3295827462044627,2.7918535582959776 -12.476708388109058 27.684993941358734,30.00074694233234 -87.17114101275789 -28.671889867940674
-4.667740103496636 -34.55815293809751 9.355468058494376,7.2945143866615405 -24.365384428165626 15.291569577767802,-37.91076505598125 0.39632330575774993 -12.391941036222947,69.49680061856134 -12.716062196097342 -25.338822445682244,7.431488666147194 -7.902495235460517 -8.893251456130235,26.62619080474949 -16.744178255285938 -19.79549880615633,29.92415930432373 84.61834693878424 27.36085054771497,8.56401198908948 5.577834057390683 -0.8554398368440981,1.9651448224709727 -12.747492800194328 27.191168397081377,29.999705720450695 -87.36097167927639 -28.77979470088678
-5.451154981016005 -34.63851144711023 9.850652050450362,6.976579440576838 -23.795805788222193 14.769403671547932,-37.40127721624012 0.7170124828271629 -13.866411752075873,68.83427145036937 -12.424072506573152 -24.589798118143865,7.743289549209837 -7.667395152162421 -8.144240945869484,29.96696796966248 -15.125311785290629 -18.390462705220084,30.000987699170953 85.18037288016093 27.64663493866952,8.70375924306036 5.782182866618301 -0.11099730881301278,1.0689553052408176 -12.687785613950773 26.689722403678566,29.99952892321155 -88.25763938718697 -29.199890184770407
-5.034694053387126 -34.483464711920725 10.429885541681573,6.698778725432021 -23.128841831115157 14.288946760189257,-36.785886208312085 1.0417620130127052 -15.511386988031045,66.9231158593112 -11.908088087831887 -23.335223064592224,7.882787393628743 -7.692876816904429 -7.904346274487416,33.05056945901918 -13.98130434891451 -17.45463489697754,30.036859753271752 86.80135983775601 28.45696504553362,8.787020575697358 5.732974426713875 0.20007028223021128,0.2788858878341919 -12.750229718938527 26.56924396012433,29.99980709417067 -89.67373636185842 -29.86291294438853
-2.2444890044836323 -32.99387698135106 10.566570196445488,6.589546008157198 -21.703842811135225 13.86684684959762,-36.43367374836664 1.2474553634878236 -16.719283565993425,63.86124832521865 -11.486998211144277 -21.54191398274561,7.691011506604632 -8.268754849796357 -8.719336747865935,34.345371780905595 -15.147845481030302 -18.203059396500258,29.955925178416113 90.33384165915145 30.211288022309137,8.792495848782671 5.113181066738757 -0.6530963381156385,-0.22507340795049713 -13.408890769023685 27.228599826180172,30.00004802424442 -91.39060667499201 -30.68625422131549
2.7850519483129736 -29.86479039791412 10.06055483956517,6.6921588731916675 -19.32786728629356 13.524010996101989,-36.59866333787432 1.1768543932440367 -17.213095887208166,60.194142604962884 -11.131368955404257 -19.370038437796804,7.19828824275268 -9.411537168234496 -10.743063117385685,33.17889373724083 -19.118857624816698 -20.81106839510332,29.75085979809214 95.57741549414435 32.810707775330954,8.775244831819268 3.9395097564998194 -2.700706989533358,-0.26141195240444304 -14.387869163190638 28.76835918928915,30.000031102138944 -92.9945371209071 -31.477137135938914
7.891691960684021 -26.022222839343563 9.217681394740282,6.917902822113988 -16.532921685368038 13.287947784187189,-37.35653824552231 0.6198324685908544 -17.228213600897643,57.16098933482626 -10.271865451321723 -17.2794578395241,6.728354380180457 -10.71410630040918 -13.521902374950393,30.210324685385157 -24.308524231326746 -23.84244075727934,29.520554908920047 100.69962661096555 35.352896177050084,8.908685151277325 2.7459561589594834 -4.886964836892231,0.35373782644230883 -14.24881915535716 30.826729999800726,29.99995669313456 -93.76947571398112 -31.872024220807003
