-3.6 -36.2 10.5,7.4 -26.2 17.0,-38.1 -0.1 -11.8,67.7 -10.4 -25.7,6.6 -8.2 -10.0,20.7 -13.8 -19.8,29.7 81.2 25.6,8.0 5.4 -1.5,5.4 -11.9 25.5,29.9 -84.4 -27.2
5.136710579113345 -25.377151614865124 10.720081832029846,9.857161170854337 -22.770235972730028 16.096678147715135,-39.96159373856358 -3.183786657859532 -12.625320800474961,55.41521550338454 -6.479531199066613 -14.823683733189478,13.705881644561687 -14.804363843750844 -23.461233975959313,3.210495011013103 -13.621723184513284 -36.886915262129726,24.709856940710168 126.7470247004821 47.370623928661615,17.580479167036657 0.3649222863316401 -6.351675580648535,1.1777988521068825 22.058448293391578 48.9135512643265,25.570302485520163 -124.17306535092214 -46.32996805797866
5.206162685878676 -25.495304927845787 10.819008421470755,9.924443314329892 -22.79456832580076 16.236225439633227,-39.68513174326395 -3.242624781127807 -12.496229352312795,55.06202790021902 -6.351207390018527 -15.025453721262348,13.603456373929198 -14.819791958972175 -23.432081796365807,3.970508460240337 -15.976953197680258 -37.101653444156234,25.25501829300031 125.15216228259757 46.76279847271209,17.517817073598696 0.2669056385789932 -6.550769485705991,1.5520548208684226 25.54415239530951 49.5683488299314,25.7084962885594 -123.69365975520292 -46.11617562411761
5.1848857605329535 -25.296473936495325 10.892261928565281,10.104494224018842 -22.70578611896008 16.447271506434298,-39.866227412998064 -3.624239578557652 -12.625798965399111,55.08984127573308 -5.990859998370568 -15.040676142691888,13.77528567979231 -15.01134884336276 -23.809703940891286,3.7540550256309633 -14.859924857522667 -36.845031821805335,24.07954074641334 128.81638774756286 48.21288020078635,17.792421824978558 0.03609874959637308 -6.8460819325385165,1.6277611549808484 24.723230077998615 49.47145897720221,24.5818807041391 -127.35685597004537 -47.59666362226051
5.127445440295897 -24.981075601062813 10.9215092631429,10.32992622499247 -22.576810647157913 16.664021737559573,-40.191378769067214 -4.105445773154852 -12.888100574551519,55.23182525956848 -5.567100629670158 -14.959369818937066,14.075515475706446 -15.256288992346702 -24.31475988534259,3.0722636640921897 -12.144747649396127 -36.39197869215966,22.241350824919465 134.51846022715128 50.4672644600124,18.20861577324674 -0.22942940625782504 -7.165798250310596,1.520422265942537 21.59493787894375 49.04113451581393,23.141527297866226 -132.0691715233504 -49.51714223927084
5.1004345819498305 -24.787507414209166 10.890747661968843,10.525050856870925 -22.493536998634884 16.8165198586405,-40.28450632749859 -4.4295416584030605 -13.129795938170526,55.16299874680753 -5.270024831423085 -14.895880034567549,14.329074447189054 -15.41273428430189 -24.621490703058285,2.5561768950028667 -10.124524683272744 -36.07251381781709,20.99643481701337 138.4364677157401 52.03891089081195,18.535345643662996 -0.42016029530367566 -7.435204258727563,1.3828919644463054 18.65933795386036 48.79421620649267,22.495812643163344 -134.223611777391 -50.41398624633062
5.13781231938613 -24.846141964642577 10.799261071096671,10.634494663831557 -22.504166988847388 16.85892939898257,-39.96401302170061 -4.4463833211486055 -13.251219015766972,54.74212404204009 -5.215808345183479 -14.91265982469864,14.426044789502003 -15.400089760100208 -24.549761489065396,2.562309751212031 -10.102745188085414 -36.074745188073166,21.057628941528066 138.38678139214127 52.072672513990405,18.630301216911807 -0.4673280534130085 -7.593381731505683,1.3077362068732703 17.45080962480336 49.00172946273798,23.209324050001822 -131.97553781605572 -49.53541538486705
5.190562421682198 -25.012684870207185 10.68520182693316,10.654537656619537 -22.56106252339055 16.80674153707744,-39.5427979106397 -4.27676350500803 -13.289172121454687,54.29515429066188 -5.332676463630408 -14.940219621884463,14.422169730760178 -15.293580646434314 -24.28970481800569,2.7491564353253013 -10.86668002937046 -36.22595217329725,21.756741719981207 136.3513144835354 51.320071130868264,18.576812707751937 -0.4057856292575418 -7.614490399014818,1.234231460627719 17.048361562880448 49.309683110724684,24.463995900044385 -127.96132287810414 -47.93960519860584
5.196696668186068 -25.099889259993628 10.59279829303794,10.589554064696593 -22.601596180736724 16.685052061003425,-39.411064806668094 -4.083860669491247 -13.301809798312188,54.22106221515366 -5.51944245042195 -14.888443084094648,14.399110124933227 -15.192805723191967 -24.08936330648188,2.666064303817444 -10.81012420004076 -36.296983357319846,22.20959047163633 134.96348235896636 50.78392156163462,18.493512045956475 -0.28660423457907486 -7.478203128600168,1.0776881344233018 16.146985796743117 49.26637324216639,25.22556066935623 -125.51802936480517 -46.967753183886494
5.120201625589067 -24.99124907732854 10.553517562953198,10.451216069551924 -22.585523044047374 16.52071665837964,-39.80110708741001 -3.981597456641856 -13.326099508107779,54.74915873127878 -5.698199663255292 -14.70917320064962,14.410116659190324 -15.165100284759014 -24.11073123918846,2.0543215277902065 -8.98852011749296 -36.146272238253964,21.855791992727497 135.899823152232 51.10494802137198,18.460740089201458 -0.1519096622379225 -7.189381783329879,0.7995702862584084 14.018119838162255 48.615140061678844,24.83777373346357 -126.76346390382218 -47.470898777844916
5.0016677040296305 -24.77888435311467 10.561191683678372,10.272718692003764 -22.538607818141287 16.34578124483839,-40.47951475202929 -3.9386331467604134 -13.336524587587379,55.608394682205535 -5.859698217460921 -14.47799780649489,14.424653849860194 -15.182649395423885 -24.262032471085067,1.2212807438773452 -6.408615326378271 -35.890554373565415,21.08990003871285 138.01488947100768 51.85601104409949,18.44591113859187 -0.017446219906120067 -6.8271746433059555,0.4974565408299715 11.633232038855237 47.67454036728279,23.75924105846722 -130.21965090644002 -48.85452612835502
4.89573774209938 -24.593186085313448 10.602748821479546,10.09120516416331 -22.498724201900977 16.193243846304732,-41.12744783806191 -3.8969794930012127 -13.29610610663369,56.43593342623744 -6.007282820638516 -14.293204845491513,14.396816238109459 -15.200183488733497 -24.404938482643104,0.5781350756103923 -4.435110372884209 -35.69394899032497,20.481644736012594 139.6455608152329 52.414079191571574,18.39572392424732 0.10588127994995039 -6.484357301744703,0.29389476881395676 10.27564927710382 46.868650336447566,22.653079995994958 -133.74899419501267 -50.25894258062114
4.857054578389941 -24.564545271886303 10.665117142622815,9.943818718141735 -22.503745894208976 16.096102488703742,-41.42606638304389 -3.798648248518548 -13.167865135129425,56.8689383216781 -6.14429818038777 -14.253082261500536,14.280698365104762 -15.172432998234772 -24.401120754333995,0.53607764652084 -4.432705803198164 -35.7205753156034,20.600756211046896 139.12871668484703 52.15612102554273,18.256877176287418 0.20716802486391267 -6.253705351862424,0.3114328408863165 11.228698431189658 46.62154614664246,22.182407897674498 -135.21389759189418 -50.82445547984774
4.940261051492941 -24.823352910794682 10.735224813374272,9.867702586050237 -22.59154659394781 16.087355197960477,-41.05653042451125 -3.585651166466711 -12.91482274295729,56.544572726831106 -6.27408900430837 -14.455917998383017,14.03039477201273 -15.054128357474632 -24.112250766629153,1.5063015801402155 -7.766102163507645 -36.13455257647149,22.016964590235986 134.8012365797896 50.45910510776737,17.976069624831773 0.27550920236938925 -6.227994386875421,0.6726186277230153 15.77570637939453 47.35730397533685,23.01034211513361 -132.47676491943858 -49.69137217123921
5.2 -25.5 10.8,9.9 -22.8 16.2,-39.7 -3.2 -12.5,55.1 -6.4 -15.0,13.6 -14.8 -23.4,3.9 -15.8 -37.1,25.3 125.0 46.7,17.5 0.3 -6.5,1.5 25.2 49.5,25.8 -123.4 -46.0
