-34.8 -21.9 5.7,-30.3 -14.6 -0.9,-28.7 1.8 19.2,56.8 6.2 -0.7,8.0 -2.6 -5.4,-5.7 -2.4 -48.9,23.0 47.4 10.2,9.1 8.9 -5.0,18.3 1.1 45.4,25.3 -54.9 -13.3
-32.90689561003895 -19.888273123375328 11.585543196481865,-27.073678242167343 -10.536070087599045 1.3762202253624405,-32.78200290967459 -0.361903904868356 15.38173609091886,58.38901739411163 1.4635037124225136 -6.354005510567331,9.039321392445425 -6.0377860368996235 -7.5130799473777,-11.737897697962419 9.399772660354044 -46.99367105901135,22.7758866720671 46.51698030929737 9.862170841438335,10.471424925249867 5.638495918848086 -6.498067095996563,13.14305200004465 8.277663696714612 48.994225492670964,21.330124715537607 -42.59980336900389 -8.436963671620921
-34.22035466796702 -19.33939885499656 11.580946922468534,-28.364149844318344 -10.231063614823816 0.6568127100395487,-33.48084040743569 -0.2548230595520854 16.42663594335394,59.634324140551044 1.4556172659658109 -5.614942793713347,9.393036159701248 -6.0392225103970665 -7.117374994389263,-11.954368268850011 13.132061984735941 -46.76139452391156,22.85209411145745 46.77939785939298 9.976930630136554,10.737518467289005 5.648265519115622 -6.066458838805103,12.508268316785875 9.113316225681197 49.89233941581119,21.584845466546923 -43.303541420966944 -8.709000307150356
-35.74013096843767 -18.814972071939355 10.797359027110296,-29.696121796273445 -10.140364405438994 0.014715342295204853,-33.0422738030879 -0.21040840614322354 17.701480315023826,59.6536359756196 2.402863791729096 -4.139102156088467,9.409591457256377 -5.622422094054434 -6.503678064531693,-10.38355421122439 13.008062227666919 -46.66376163613038,22.949304925472816 47.11015910674274 10.11057677862705,10.665262955897981 5.953033850677884 -5.8786310959315395,13.801288504537512 9.089674582824461 50.7592846830695,22.50640982041726 -45.94312334205718 -9.720332214748945
-36.518203110948804 -18.513033925651158 9.716010455745893,-30.529136922587817 -10.22442953291317 -0.725846170613798,-32.14236832964324 0.0577784039759931 18.69424526848162,58.912562931464855 3.394901030666116 -2.3887649438806995,9.006240724496314 -5.033367726884267 -5.740349620399015,-8.455923333677429 11.20715900096054 -46.77599576298131,23.056056133985564 47.46116962347486 10.246939870670392,10.15724521028785 6.40600328852315 -5.661796265400752,15.317020276797523 8.673171572204202 51.26959275784365,23.2993765125858 -48.216206944462854 -10.590966617072382
-35.67728193383076 -18.612636414426674 8.804303783581128,-30.358381248677233 -10.439665515209827 -1.7277449942383627,-31.439279253423898 0.8126074304252889 18.9192409212027,57.87384318075961 3.5630593302225995 -0.8116329517975978,8.1266882986468 -4.512911975147063 -4.898696576697499,-7.552789117249617 9.902430858722486 -47.15694372503441,23.160091736608134 47.78304841020907 10.369378801998511,9.143970472263737 6.861306650100067 -5.158956839443808,15.417811673599962 8.30006869434709 51.12032209377465,23.20965374896788 -47.93976227205572 -10.486301194436697
-33.61130172916165 -18.96678007141776 8.185892725241215,-29.29743185714466 -10.698373560342498 -2.8858836185046886,-31.100499144205017 1.8898788241520579 18.363660737599144,56.73957384821744 2.907585582338758 0.4582428728491398,7.130985834300159 -4.157848983384378 -4.081962533750875,-7.909790906155387 10.481179860964184 -47.62591228695801,23.233252965626292 47.99655470677911 10.44797373142483,7.999760383106397 7.227215212536823 -4.429474244782777,13.986461479347621 7.738901228843805 50.36885264783375,22.30356370528345 -45.30246494009752 -9.47542055395233
-31.719533059456595 -19.17061039809723 7.71258012881469,-27.948915145464692 -10.877974566587774 -3.8832422007036,-30.905484145958784 2.7876481264249415 17.388673960267063,55.50572629969685 2.1159019474630356 1.5348596912142898,6.70844972547258 -3.9510455169748067 -3.4186479484285286,-8.856521385025315 13.709283401844004 -47.81276999489917,23.234804484865954 47.99883341483435 10.442303441462322,7.449925013779973 7.454815193939119 -3.7828996842824996,12.10820403469452 6.230138845222752 49.35752157727689,21.296245976555216 -42.36863376936695 -8.342082432735108
-31.358158859147334 -18.83478698881961 7.2313097646193025,-26.910102445585782 -10.858879775555463 -4.416190512093238,-30.630275026972875 3.0229230630748103 16.35275474462479,54.16571237042544 1.863194171260881 2.5316019123548936,7.506616618065947 -3.8694825996152837 -3.029225147277568,-9.71304590440081 20.2072874168786 -47.36657679619678,23.126006915945155 47.692292153656105 10.314069584185912,8.17641545331532 7.502612610590356 -3.5181567208678524,10.860699848330594 3.069371539601333 48.42246242040938,20.887970195920097 -41.16023888405587 -7.854442116973505
-32.52024221553379 -18.005826655622307 6.638584845961649,-26.416716897981733 -10.597690843937768 -4.551664464782019,-30.189680101618926 2.657162283354461 15.364953203174801,52.77225608008477 2.225577152395105 3.4191195684338287,9.191935968089018 -3.836526376631979 -2.865706034586918,-10.093443732216146 28.115331464810172 -46.40720552397143,22.91332659528644 47.093494445173505 10.071536851775088,9.838115607649108 7.449897565354684 -3.5967805543229026,10.540736167861205 -1.1040290363950278 47.62956182932364,21.149286750920222 -41.89115261459945 -8.102029569820248
-33.96590966136616 -17.12447735417717 5.875734907922338,-26.377462722201436 -10.119923359992823 -4.691775591638378,-29.624022385350905 2.2442781610059015 14.308716380030903,51.43172908652813 2.737308558420968 4.038960007624761,10.543467716853922 -3.7270485461825835 -2.7277307235414305,-9.877728571343782 33.33003726660743 -45.48037741965106,22.6441182510222 46.322257377455415 9.765086023528655,11.168549128848122 7.485208893602534 -3.6751399334617174,10.738803439412871 -4.435245995056014 46.80026920764407,21.581167441689658 -43.13982992969921 -8.560560811821047
