-16.8 -18.2 -5.4,-9.5 -11.2 -4.0,-20.7 6.8 2.2,26.7 -2.7 10.3,2.9 -0.8 -0.7,-4.4 -28.6 -47.1,21.5 43.0 8.6,3.0 11.1 0.0,0.1 -9.6 40.4,19.6 -38.0 -6.8
-6.1642049968901 -9.91762302323257 -5.976815096566249,-6.45843256674194 -4.86984346684051 -7.276005218514022,-13.232887145029647 6.956949368953386 8.375118043403573,22.612185738467108 2.949769980073408 10.519333523475442,0.2875797060110765 -2.421243221788541 3.661291842269624,-9.042917470936274 -21.11179116292464 -56.9860754062051,23.636904730307716 49.0704566913781 10.906431595733155,-0.19361463223154188 8.839739264814172 1.7313820798423125,-8.094674498087484 1.4130248772556322 44.993476360161324,22.155233799130002 -44.80448972427701 -9.27508072724505
-5.982458901311736 -11.780012964183447 -5.173303765974218,-7.286213742002602 -6.434360046253733 -6.142524367817225,-15.068506568839657 7.508920655065013 7.706335124452048,24.763818822859744 1.3163340177782983 9.6295513483228,-1.2942479646150793 -2.4956039678863213 3.9293960394239567,-9.20235635655515 -19.942915023233382 -56.55232364587151,23.599538909583654 48.987885101683716 10.894036503057213,-1.713652199255542 8.61576352813143 0.9477039748533078,-6.052119235207234 0.24687456624654236 43.89471110459382,21.022793549300374 -41.702281760876375 -8.121290925106612
-7.075563819203454 -13.784102343594654 -4.3392985659795755,-8.396715172521626 -7.40943994704729 -5.793747929310698,-18.039049523789195 7.8175496829181945 7.273446847187076,28.347441302932975 -0.07196801878917942 8.382376911648922,-1.7652595536112068 -2.489656385652604 3.4632115514247923,-9.0562606184837 -22.11869168719726 -54.8091409413027,23.64538915463152 49.19041817799073 10.967871280215789,-2.0705024877633735 8.646564392220911 0.331790489558042,-3.0695650057397046 0.019020303438816943 42.28135743258378,20.04919511334473 -39.104601820346176 -7.179086646376609
-8.979675984729747 -15.468117269543601 -3.7617656988829764,-9.418632365746026 -7.709772085884111 -6.063229952861379,-21.20991387184437 7.868810524717062 6.741008098253191,32.050453440098046 -1.1999634553634457 7.227279544414015,-1.1766507575627674 -2.3955477651911554 2.447903795685406,-8.557859425036527 -26.333351324006273 -52.22879412477543,23.698310185360068 49.427309193920784 11.036453993816702,-1.35544845711953 8.930928074495851 0.057951560337615726,-0.06251973523074114 0.08866767033147693 40.57152498744488,19.29886737606154 -37.195217174624354 -6.517181035662918
-10.836002177758267 -16.487402752110754 -3.8308175641352387,-9.911985847654648 -7.5752671505052325 -6.51031085549656,-23.295835897469498 7.8131612576172955 5.569055298545737,34.00636975607877 -2.296194555791762 6.874833743915946,-0.02536090396917734 -2.1792704863168857 1.3422856131368226,-7.686166833256041 -29.97550545018319 -49.59097314942391,23.57972819791609 49.13088179501922 10.894988240805938,-0.1287759377164937 9.437911834927995 0.25697936557961587,1.7665897262934764 -1.1672255042386197 39.358839181535195,18.659682876006343 -35.667624577151635 -6.016792741683077
-11.872248398176348 -16.560322708551443 -4.861980872048812,-9.509854431916137 -7.239120519803818 -6.743856614652574,-23.19730167539847 7.792128293806258 3.3234399368810097,32.64307410640593 -3.5529161243736214 7.9211404453446095,1.2154862724144653 -1.8173485721788682 0.568305158303369,-6.452448032813947 -30.72901325443429 -47.62042021098753,23.143720851829055 47.83497624246285 10.376575019247213,1.0818688221409956 10.126162728427392 1.022831894206635,1.38828096882759 -5.106222747435916 39.15700799329739,18.03436124425651 -34.249898878849145 -5.571175106251037
-12.102971692147602 -15.96038916396789 -6.502924591356733,-8.49805038974607 -6.860263805631041 -6.825399707209043,-21.48223985827352 7.860456206745953 0.5201092964292281,29.03086925181357 -4.828798906127278 9.93267886012476,2.304484378880462 -1.3811273469830134 0.20785458553555605,-5.153603717764925 -28.961592027466125 -46.53950920388954,22.539296812598852 45.990333866416144 9.656382131512162,2.0600635894901944 10.863086341382607 2.1238706738002344,-0.6762072662740304 -10.681212643900421 39.761232370232975,17.46554617306652 -32.99952834697419 -5.188985954350396
-11.955060735699044 -15.25202704903368 -8.051341831440354,-7.504436310130319 -6.55871235957619 -7.053682328941318,-19.592364955801287 8.027413495139992 -1.8271129635879566,25.62475827099369 -5.807706407126822 11.93637804528794,3.1216532949058915 -0.9916411094820157 0.1646273348782373,-4.236215457122719 -26.44737465891847 -46.30735918994708,22.070016719653008 44.528177422325136 9.0888298110519,2.7524760911592203 11.46827521652593 3.157835714416077,-3.0930156243531814 -15.584967847772878 40.59019577722922,17.069205418343437 -32.14662295590326 -4.939358240106517
-11.84832915521224 -14.934551149812012 -8.861994116442622,-7.100896568755466 -6.42754609727799 -7.687148750615491,-18.842536046330395 8.294553857822885 -2.783456305355745,24.640139347121675 -6.196873620423553 13.03709157271924,3.578199572108862 -0.7596852239310652 0.3482028826187488,-4.099070571402699 -24.88996435071906 -46.869369354908244,22.00143121153925 44.267736935406695 8.986051523425287,3.1304827765099756 11.77758148148357 3.7611489718496363,-4.603440526948684 -17.66006782997162 41.108623312643,16.952309228016738 -31.90271440712763 -4.885154903219717
-12.089069495809648 -14.789548382934862 -8.927589819157092,-7.233671359703687 -6.277791216169272 -8.534693324756114,-19.120597979805645 8.585849496038305 -2.2990764919100792,25.621859495336526 -5.967734687289712 13.216518175796566,3.9047731500216374 -0.6828205100736511 0.7472202519914237,-4.620066774511664 -25.113650624506345 -48.04998992241935,22.18152148764638 44.79557181352213 9.194945404364258,3.4123080711202425 11.803773621449485 3.996428389125025,-4.821741798192014 -16.45559011101603 41.30471046362648,17.11955451178881 -32.26617753362483 -5.017093316087241
