-16.8 -18.2 -5.4,-9.5 -11.2 -4.0,-20.7 6.8 2.2,26.7 -2.7 10.3,2.9 -0.8 -0.7,-4.4 -28.6 -47.1,21.5 43.0 8.6,3.0 11.1 0.0,0.1 -9.6 40.4,19.6 -38.0 -6.8
-21.645589532551618 -14.48268484946144 -6.1498797129709235,-16.529155435002227 -3.605773599971697 -11.86226685985137,-26.171250023033803 7.733805166737594 6.483153802505647,40.92495902206231 -0.34576090414227234 9.146540229005574,5.972226279037004 -0.3952268818470209 1.7751407670075203,-6.72298023823614 -9.546591288637895 -51.95197171565081,18.406353022882122 35.12185929534184 5.84404772264186,5.551825275581369 11.380630098579786 2.58652238709657,5.1739980695493655 -5.004378363189194 41.236883246951386,20.261630523611224 -39.63343956533634 -7.406656805113325
-21.01074707440918 -11.24943574344741 -6.699350723789107,-14.373440602180448 -1.9577160871168824 -11.356792406213106,-21.928052502586407 7.579128419983536 7.767908888281475,32.88530118432423 0.7519234178756333 10.83363659709289,7.131843944181917 -0.7452498209225654 2.637678653460841,-5.790623046247602 -20.495710515005122 -53.28547110276522,18.69088888225495 35.81988652152696 6.061496301454415,6.481008628500613 11.139390625780168 3.8620543232897173,2.8483609123990785 -3.459757143957395 43.22035510647053,20.14346585890998 -39.40035708204116 -7.315922201427827
-21.041556052043504 -9.010563751754082 -7.130572557210738,-13.05062198343839 -1.4342924228848537 -11.331537371895022,-19.081961293978978 7.391003725134244 9.76403268327203,27.70270216634443 2.102308321739352 12.290636856531805,8.164229041857963 -0.8945820496264133 3.3393724853566034,-4.728525673767734 -28.773347353000805 -54.134878981390116,18.678133988000614 35.854486436590776 6.087395345711179,7.357175739020659 11.00172215896532 4.628936514010327,0.9806884868122828 -0.7889907829825793 45.34211144541559,19.983391492400912 -39.062535975654285 -7.186139616023181
-22.11362785259461 -9.143336187313743 -7.5137027631151145,-13.185541212717759 -2.9586097610704973 -12.209157189099887,-19.064943005589992 7.366209218239276 11.811815712198397,28.142735696910165 3.304432814039122 13.11088271509446,8.714382112903666 -0.5641874306418794 3.59635369744022,-4.0015102324019285 -29.377371767432233 -54.11805688436194,18.104365730094663 34.58670914856932 5.7153214958567355,7.894111110080614 11.22406304725011 4.550117958537328,-0.20042813977139554 1.6093763872938398 46.6958510622986,19.712486713034394 -38.422919909751485 -6.955929454031849
-23.609991755611446 -10.738541576472844 -7.918448944148209,-14.186389251187798 -5.524000251539608 -13.44711710253843,-20.65922199599752 7.392067026056633 13.21713516544434,31.72985002468628 4.15766793219577 13.456766938349556,8.794124437223317 0.03903491919908981 3.469510091784354,-3.471777202478005 -25.057344952155383 -53.50132691003439,17.319140736900223 32.8058569831842 5.177876456327336,8.064287072405063 11.666278044223063 3.9013816878829757,-0.8764727630177606 2.7034019054314826 47.13816684947623,19.437337520856303 -37.748432057106186 -6.718907061434673
-24.716828065144853 -12.433509343500454 -8.414428469951922,-15.220069324739214 -7.7410807651695235 -14.311464814017672,-22.121521676476373 7.294527522250721 13.279049086296196,34.94906594850027 4.501117156415159 13.603537993927212,8.488026969692779 0.611814181759952 3.088102989636263,-2.882013826719439 -20.100163962935746 -52.679616153578095,16.793641825576643 31.584484975127907 4.794730021069977,7.891480392941846 12.10958240273886 3.080049335736007,-1.3102559212531173 1.5338588065091951 46.67695444824215,19.299336421627178 -37.398012138662594 -6.599426387933684
-24.890303394864027 -13.204805882243885 -9.007421761651205,-15.690908634505213 -8.609607355100621 -14.270913039778929,-22.184909299209593 6.9575609221794465 11.67130078815078,35.26564713511393 4.284238769503305 13.76404357665221,7.893006845791106 0.9205509467286844 2.577499650214871,-2.0581954345153664 -17.947483775082485 -52.01465320704865,16.870215501412265 31.7088525644019 4.80441543818033,7.421402608896379 12.379798163980652 2.399992023912985,-1.6951448534800568 -2.255552187689089 45.465959307158116,19.392042480961297 -37.6100873106663 -6.679214866983034
-24.58662974820457 -13.285551550137038 -9.466753376548253,-15.882666943206695 -8.570730809449817 -13.544857794184967,-21.346858106881147 6.480046394482761 9.455490166899889,33.775735284752244 3.865251823413626 13.919995197999652,7.151712190138533 0.9897128527926785 2.0486434947881706,-1.1348013946270985 -18.91013229718489 -51.74519742737878,17.413990888179864 32.90476323683003 5.144931351851752,6.781012954450586 12.467973572946194 1.8659752022081104,-1.9672846771906212 -6.78785025201334 44.199163257744914,19.631836849924056 -38.176699003708315 -6.882108774089794
-24.493513109184914 -13.199738180873256 -9.507012247234004,-16.282678117719637 -8.399260976418109 -12.526465869022756,-20.51327216970043 6.010610978814516 8.01448298101267,32.415960357051674 3.696996732814016 13.99960016284776,6.417377095572954 0.9035057955639445 1.609139064512591,-0.317724662470068 -22.57420271318056 -52.081542825808754,18.179629172515714 34.652542450361125 5.684707612228685,6.11607816290466 12.403404010222328 1.4112114657457382,-2.0032778397023048 -9.669087125460083 43.6956039260169,19.8940869204755 -38.78655773003873 -7.0953951910684
-25.105655521599072 -13.375205371500641 -8.970661399615757,-17.212455268810604 -8.679057794916204 -11.549230442407325,-20.398197684022666 5.6720123848238755 8.300718132060773,32.65065512610494 4.077365141384288 13.9211788034688,5.8358103822848815 0.7507740803057331 1.335350535539311,0.20198776503616842 -28.073220216487897 -53.04029500439943,18.94709661277753 36.47563816669071 6.295469064859624,5.570300201945996 12.233045196769535 0.9851906018968389,-1.636645121178451 -9.15758954716536 44.490150813631566,20.102386002397925 -39.25764071025172 -7.254537965550302
-26.083989182862105 -13.82441863145294 -8.25257518869721,-18.277172005643216 -9.169084694747845 -10.688856899902612,-20.88686196393587 5.475253778294951 9.407206501983312,33.903846083251764 4.634875762732942 13.560340098049624,5.520743968680713 0.6403997695305178 1.1686848686333386,0.2974228797396432 -32.58563310679712 -53.80133283839367,19.60567643638189 38.083785960515776 6.863174812939071,5.278461328577352 12.080144867396223 0.6077192633935526,-0.514796101342203 -6.329488006959275 45.890077689665546,20.38866157754999 -39.96635253918349 -7.503122782408029
-26.86435006355928 -14.44770324315649 -7.896764696334993,-18.888608856976155 -9.405604449736625 -9.95145461124391,-21.64073272855844 5.401167497577448 9.924961649238996,35.04872995809435 4.8173339858556625 12.781162067296204,5.5772498419024075 0.6866746003396513 1.0141140777949134,-0.14101781346483067 -32.762069645868856 -53.3186406952006,20.074164616223644 39.237014228915776 7.277626839926085,5.372935709333531 12.088547621296108 0.31758783228377335,1.7651048356510808 -3.0216469010164495 46.87123932468356,20.94108594913733 -41.439858714629565 -8.040922822964498
-26.97669933039735 -15.09219010976576 -8.2942079715663,-18.58639902575862 -8.999904574853637 -9.345730319829585,-22.335814311043404 5.426434398252197 8.802381455904658,35.14416972760856 4.214531197620562 11.54345377701833,6.065742765394944 0.9483957296743938 0.8054089179398584,-1.1434879841425576 -26.43956498206377 -50.919064418436676,20.281989224162444 39.729725243799706 7.4461178399601025,5.930061562859327 12.345506118427076 0.16737212064331736,5.31737746617991 -0.7982061531223671 46.641150893123665,21.851908596224 -43.93936783561387 -8.96815952857469
-26.425618219795112 -15.336799857351167 -9.064241211696867,-17.554855506908517 -7.941583285370534 -8.893492847856422,-22.721425849381053 5.506804918288226 6.789922807636568,34.185246544905176 3.132201263729688 10.289724620525341,6.821465505479665 1.2045425983548357 0.6215533327478531,-2.3395623622911166 -17.437350482021557 -47.80952670214399,20.212185658530924 39.52963882572509 7.364132659352471,6.743630298710285 12.652920952307774 0.2791559655566924,8.8015699519767 0.15189795945874232 45.57544228085766,22.729708150403216 -46.385056681158105 -9.88308561361465
-25.364942988372324 -14.676108321530874 -9.583540373731253,-16.18102544316817 -6.339207156345874 -8.620671262661535,-22.569941980844806 5.591447452241687 5.204740819151892,32.46145655249122 2.1012223620628556 9.614280031221693,7.60885039899109 1.1460996349008212 0.5871968388600102,-3.2328445664177243 -11.455894473025147 -45.78818294668459,19.864647354449954 38.65897842009711 7.05489016219843,7.51858008910642 12.72295730247272 0.7968815753380518,10.419744603272626 0.07219306299394501 44.41708347582647,23.030962001208053 -47.27538423081117 -10.226098368160825
-24.000529949419906 -12.827119370496824 -9.342575345197517,-14.84084619489844 -4.406913681210497 -8.54053623535647,-21.751504568548707 5.645718877864884 5.123600542833158,30.32722372411762 1.569632920570061 9.963908737614725,8.210493521285072 0.5544017795701216 0.7896558243555972,-3.4186403443181574 -12.999642848682422 -46.258735105228865,19.271620362937462 37.214847233086765 6.564286218406339,7.996183117226567 12.343171916593185 1.7853972204038562,8.827684446104646 -0.7509953134842496 43.80555341073126,22.35150999505365 -45.48777270761215 -9.577557136768473
-22.844709931421185 -10.818819771269208 -8.50345441378468,-13.844297210981459 -2.9812039768587555 -8.591694853913253,-20.712802143810535 5.730464151146833 6.204312245571326,28.51925956214273 1.496427406388239 10.91507172827031,8.51626662545501 -0.25617147076799035 1.0959708837244557,-3.033353100243884 -19.515277744828207 -48.297266538637686,18.656118660568204 35.7358453281386 6.071897909897183,8.132187878097382 11.745947320974555 2.843036233940502,5.358040470245086 -1.7798656922818339 43.7691869447412,21.109429523293755 -42.1355423518086 -8.343607407548356
-22.52177828348092 -10.159503799482847 -7.473655931500842,-13.477261496471893 -3.125947640430557 -8.685477314165482,-20.11115338212419 5.9414129456463645 7.586298581371531,27.913936903744904 1.6619375596709012 11.726272630357283,8.455232553043118 -0.7765031278956845 1.2927091221085585,-2.4110657736480534 -25.8710641806189 -50.129510294912585,18.31084958592946 34.9218650834903 5.806140156901871,7.96069762790926 11.326174513576156 3.397699764008383,2.3214054631329915 -2.384744734770429 44.11304930176525,20.023186518554894 -39.14885538314463 -7.232079621570239
-23.49068102727293 -12.027015620381716 -6.631786885241235,-13.955584738399413 -5.601853576077208 -8.752177575722783,-20.476029285953217 6.346602089464172 8.494821147814381,29.185158029038124 1.8616443735867032 11.777095160215074,7.977774133905961 -0.590451480771156 1.2103675963300888,-1.8615481565391032 -27.631166032707586 -50.25642043720195,18.46773272356901 35.32564382398953 5.946515710669639,7.5176250578296155 11.409152805982366 2.9930869192660974,1.6832881970699267 -2.0867887008715584 44.640013775206555,19.711635186433274 -38.196329261573716 -6.855625562302189
-25.064576668018713 -15.306735414007688 -6.15408276440773,-15.010520127033788 -9.068654168859641 -8.8536464333778,-21.44971323812498 6.822006097623033 8.754665243950841,31.6037801218481 1.997726330395801 11.288558230215969,7.181462992344116 0.07250679921772604 0.984374130190645,-1.52424046943988 -25.203507441910627 -49.09287876206586,18.93716761180025 36.47957857566367 6.333430033974803,6.850608163426566 11.836767157082969 1.9762586143078833,3.0103339593123843 -1.4522221153715122 45.140061275475674,20.100990446978475 -39.1276710395649 -7.164932744651402
-26.071899509065982 -17.91421888632221 -6.131166009563816,-16.168314507355543 -11.297265900585883 -9.107389662466627,-22.299164833534583 7.16234772591467 8.444244039206406,33.84710361596988 2.0175001727244 10.837649026054214,6.226138817100432 0.7097668640843772 0.8791571872513445,-1.4665251870797844 -21.045160226428333 -47.86345217757107,19.3512301774022 37.48441247594076 6.663833838904156,6.012245317943611 12.246394593084283 1.0341371294754924,4.854351366708151 -1.4893845316428262 45.39771860393883,20.82444690010911 -41.023099637723476 -7.830645397017154
-25.515910387579023 -18.03687822925379 -6.625007493566495,-16.99100330311678 -10.382395455481355 -9.60921783216205,-22.390490707903187 7.191108332189653 7.6733265228871534,34.75554501990847 1.8874256275558872 10.918085456663265,5.279015090977012 0.8803901008611563 1.1201948380688174,-1.7415515183767567 -17.471098774381293 -47.65858127858707,19.394854424303976 37.57089331712345 6.679101117113281,5.075859198491504 12.320041465387789 0.7702491745118527,5.927317159368168 -2.997879318515341 45.245976819344996,21.538258577763578 -43.01288003515532 -8.541108921691857
-23.841828005747633 -16.110687660168963 -7.466079862643287,-17.33889159231229 -7.089089487749835 -10.276132140755708,-21.910487439942298 6.969012593925096 6.800361024999186,34.51901631390719 1.7289855461001713 11.333134193101998,4.565709408464561 0.6550389108457007 1.611091641400531,-2.2883290249273314 -15.575971180638996 -48.44966157680623,19.189871709400084 37.044117297987455 6.487598365958479,4.2838830736931826 12.110171606538128 1.0971089555570854,6.278925193727418 -5.05965566485883 44.91379378115091,22.095559436758457 -44.65846546572882 -9.137408939694872
-22.19898860778727 -13.669609073359515 -8.37181365113256,-17.217931493602983 -3.4863392824602757 -10.937819990644261,-21.44669992385826 6.672632667313791 6.305227638829162,33.98639702336594 1.7393615942378498 11.54891001018293,4.340358477242786 0.3541938470302933 2.098279195913918,-2.9901321252500455 -15.858532157251757 -49.66165148440952,19.071453250442946 36.7337920345995 6.376896945381414,3.9613280300913987 11.850145682041774 1.5898047127456447,6.612085422694566 -5.917920887413537 44.823480550873185,22.4456212005828 -45.73186123383931 -9.53521512889421
-21.63641441071511 -12.140340868040093 -9.059915589739779,-16.67000279265954 -1.475837592140984 -11.428440066165138,-21.52560147598316 6.463362519118162 6.606679641059324,33.94030576147933 2.0871793124241353 11.085978277983322,4.804159253402729 0.2656016150417908 2.3437197489524464,-3.7279617149076145 -18.61575574233769 -50.74693355850636,19.342034117486993 37.3903108100595 6.607131822855987,4.375710017406853 11.749367046323425 1.8518200927618054,7.56546432669754 -4.066079745978508 45.33602052905135,22.550444824955314 -46.048596030069945 -9.665664642748572
-22.183742139917147 -11.836910843702977 -9.258196194697003,-16.07595149993194 -1.2506834517602143 -11.631261310120344,-22.054893301129127 6.347744761745969 7.52250738502409,34.47728819923481 2.659071252391856 10.015269824469994,5.642870334525842 0.343052234411942 2.2703602778794845,-4.364423976606619 -22.22629138936367 -51.459819394800554,19.972466213767074 38.96018782579387 7.160509329144097,5.231364627685234 11.772949645493055 1.7842624196218009,9.111604248243692 -0.47977418456936294 46.20476213116487,22.489202591723547 -45.83258751719111 -9.60504510356076
-23.29773642058702 -12.4480505321201 -8.700144086233307,-16.00711514716196 -2.0437840165805072 -11.457151544380272,-22.594540363032582 6.245298971359046 8.532773352842883,35.308332188213896 3.183196143149091 8.717008692319014,6.2525853608410475 0.35265945332351883 1.8916176177741866,-4.7517876712707405 -23.99073256347611 -51.724298030816,20.747259036505948 40.93817501900237 7.863046048220042,5.916132548015181 11.748722181221797 1.45549694135577,10.848700497228771 2.47039145577374 46.841576350364186,22.406914476500397 -45.53725892786105 -9.511215486780426
-24.457439759054232 -13.652777407004143 -7.18240476066138,-16.96906524613821 -3.126125018703931 -10.83514153234157,-22.740420687655746 6.079671293287018 9.136956583313646,36.151643256340165 3.406196472264843 7.566054679861347,6.084257980756723 0.0862032605034475 1.2309279890533589,-4.749033107832772 -21.54130943865601 -51.48913888656727,21.457785226970138 42.83105034747855 8.544159564620962,5.8710094799099 11.52490358831362 0.9384626058258202,12.360998931801719 2.6063054662344207 46.709891457248816,22.434591302457477 -45.57455230933716 -9.527696741145128
-25.47494149595445 -15.098027388501794 -5.235088278362358,-18.67821473368031 -4.335498572984245 -9.90183798164918,-22.55086036612959 5.833730422311705 9.103918324207434,36.859181076596094 3.3100774547189293 6.834919815744996,5.264040135291748 -0.34190169882275234 0.4165061452686202,-4.294498863066621 -16.50491047216932 -50.96924578174873,21.999293631048374 44.34380246928709 9.092997821057924,5.195837701162804 11.204498830799308 0.33764289341644554,13.11898225179499 0.167937267475222 45.91663858871379,22.53187406658874 -45.844518220656845 -9.620783918499153
-26.377199897282186 -16.41003862026553 -3.8615076442776775,-20.341841982111767 -5.875378331534362 -8.92776756397923,-22.382539080016578 5.5285531496357105 8.376314796826357,37.369198318776476 3.028691226401379 6.730085309467671,4.353695567149219 -0.6090893881401448 -0.3558341063930384,-3.3777223962243443 -13.085623013723954 -50.55122214875148,22.3340500008373 45.30929791363544 9.43724447519293,4.415521796844877 11.054890956081785 -0.22212740418309146,12.519737571030436 -3.0446913782419776 44.98391202119972,22.547842587709034 -45.91695464781251 -9.642432782368555
-27.189662231323975 -17.23737175849248 -3.9910153309630267,-21.205928594311718 -7.922693768820016 -8.169801971840144,-22.565445014325586 5.187260730242807 6.927332030499407,37.61659868817594 2.6956869768344034 7.426754370298877,3.8902853748373394 -0.4164054315342649 -0.9017083607934391,-2.0081878372610418 -15.211332393167664 -50.593613588894414,22.433615557042295 45.58896755830041 9.5161259319482,4.03269034617031 11.322639391056477 -0.6213824484451627,10.038900701935516 -5.304253004889333 44.412660964486015,22.34225531641657 -45.390247350996994 -9.454162997887675
-27.866038163935404 -17.54792437477409 -5.399908731383393,-21.181246919695266 -10.194561529540914 -7.660998881309722,-22.98348659084133 4.852805409863344 5.119449907869666,37.46884460615779 2.4062014290822837 8.67499307729198,3.960581650347029 0.1535924876630584 -1.2136205133332398,-0.4643644270549542 -22.3136984922265 -51.019375292110055,22.38476961802531 45.416628208445104 9.422433441536885,4.136346139385426 11.922347000164171 -0.8210720765495297,6.275926081431691 -6.273826886807134 44.308465693613236,21.951269662990576 -44.34306622867991 -9.079076086462823
-28.307007429437096 -17.545654547132276 -7.012122881041166,-20.669996489228822 -12.068195026965816 -7.268967980720232,-23.190820769056636 4.582798916088277 3.602922445209762,36.74354449076883 2.2269020879708603 9.910597278207932,4.318493462967069 0.7363250169253245 -1.4148339795120022,0.776439190848069 -30.500677589495396 -51.4294649336334,22.35946312237633 45.30137211146516 9.362476589828768,4.509731158920522 12.523227435172968 -0.8415910699255081,2.6610183066789905 -6.644309952521769 44.48464152313002,21.54144082684367 -43.20911722886517 -8.659718246838732
-28.42171277690964 -17.431283094921636 -7.786960477811424,-20.07388711821062 -12.947213161164461 -6.866504766977963,-22.76183693728746 4.433460104827956 3.0044467068547185,35.28324114033773 2.2224734776554254 10.59143268641888,4.715917130525391 0.9804657451435158 -1.6205680427450893,1.258567163973515 -35.96769901592806 -51.443081175843375,22.518724469698007 45.721315357808066 9.530012375805716,4.932598873146194 12.805727253726594 -0.7071090288032069,0.5802988267607554 -7.090376527533105 44.746874756562,21.27927184162977 -42.425365078557206 -8.34124054599195
-28.287377271007845 -17.253640047221133 -7.642205891005942,-19.58664689679323 -12.830480913868044 -6.483372028503804,-21.755151874842852 4.430936576619676 3.425963611103073,33.382499257714976 2.434818755456942 10.685126069679638,5.005024801751793 0.8786769052247904 -1.7536600021469961,0.9820416219695347 -37.77424498662775 -51.126016909782884,22.79986237307912 46.506415212872774 9.855343214441918,5.248420629026415 12.744429725195412 -0.48303076476221607,0.319257091116609 -7.588521492779343 44.887390710048194,21.277425673724714 -42.341074413557685 -8.265411800433249
-28.123393402644222 -16.933079790774585 -7.306367748997334,-19.2260841922574 -12.220347530404101 -6.282102115101269,-20.638962329516183 4.575940394777765 4.525553175871862,31.718222754254874 2.8865716369349386 10.590481614602727,5.12280615619834 0.7145808463269683 -1.5742223532946045,0.3323163677608192 -37.402334549283204 -50.9218132776343,22.950953990648845 46.938388846446 10.045930512082132,5.354563045026955 12.562711366419787 -0.26963957184533455,1.2324215417916624 -7.524690082030955 44.687028828353775,21.60302508779515 -43.231329430356084 -8.571139976451086
-28.14307545261976 -16.391556205776453 -7.506141099756131,-19.00043405719369 -11.61612112140656 -6.4213319026231925,-19.882300269651157 4.865190790029351 5.944060487999662,30.950207055481528 3.5901030259507616 10.703476979605735,5.019037149471296 0.76969584980563 -0.8548173501854813,-0.30360247706122995 -36.353355948780624 -51.2543085601454,22.724471640488094 46.31145991840583 9.814569606723824,5.162669711222736 12.484758635835513 -0.16260523810075955,2.660238647487583 -6.301791839733243 43.94389753116998,22.31103811437355 -45.333510810951495 -9.382172502469453
-28.330949608370503 -15.673398113971036 -8.375436215583687,-18.830555197339876 -11.107473268302165 -6.884632523179557,-19.692679273971542 5.226237629359395 7.251831885969796,31.106443687875974 4.34851954038005 11.064468096000253,4.862697911309963 1.0813020352059977 0.2510849516754881,-0.7681999579422082 -34.89461183608733 -51.8624450974311,22.097329281346195 44.56518008590326 9.141788010723806,4.857005882876723 12.582460589721343 -0.13380043428044597,4.273530690622689 -4.093560531511806 42.83813805519516,23.22410105214835 -48.118517402153984 -10.49564504307557
-28.450279549513983 -14.941283968253519 -9.474877215065474,-18.55280406421093 -10.387913302929512 -7.486267847632884,-20.024696723173026 5.519736621666635 7.951033893355982,31.603902366881393 4.7625468960460635 11.369886724845266,5.034762406358304 1.4504751488809553 1.221635993472513,-1.1259035754352964 -32.099912362814024 -51.82279774714557,21.263499896079882 42.2632020637188 8.267038827588213,4.885491065951628 12.78041843978382 -0.03537280423132516,6.062628630795118 -1.8191992249874662 41.91935815051441,23.940160615321513 -50.31597829955143 -11.392824823696786
-28.257557635752796 -14.36180062155358 -10.346435971574861,-18.006648337560254 -9.151999974384335 -8.036246598581691,-20.81513536863219 5.609711921543574 7.566434838568147,31.853011872936097 4.441396239303911 11.310634089195785,5.901901377855086 1.6722685498773562 1.5380899962148833,-1.4524426895070042 -27.046517661495486 -50.233110439394395,20.42624653599602 39.994827725368225 7.43932461664294,5.681976745928685 12.995937819269496 0.27734261546390976,8.018524557687169 -0.40180090453294204 41.73660279268589,24.063285156532597 -50.67296189931498 -11.561192619369791
-27.572548576106367 -14.075644239163482 -10.665271995866558,-17.213845340245754 -7.57319644090505 -8.41869847273339,-21.793484999222013 5.529625153877626 6.327514935428173,31.776376294490223 3.459559511402493 10.814583701630236,7.193120211214223 1.6427583675371376 1.1860519530713887,-1.8852457863282106 -20.262458693933546 -47.53067811965739,19.800239212357138 38.35267593773552 6.878721375537958,6.990524910231836 13.111059831828674 0.7246174606781792,9.787809505418705 -0.02606181502642485 42.403827831779,23.622545553447516 -49.26214995320671 -11.019301547337134
-26.284970229097308 -14.19488655307093 -10.253795450999334,-16.397689635241512 -6.35443682383228 -8.599700425576613,-22.46005479406164 5.500265975768793 5.242875394673689,31.862854589301925 2.4059375123989932 10.071602791984892,7.932429130604728 1.3697102927561398 0.7087310136533026,-2.629955164994315 -13.879721226997923 -45.633787247993155,19.61275933435504 37.933032795735535 6.773324242742614,7.792574561610518 12.968837540717269 0.9786367993170638,10.636308837339191 -0.06031563431210271 43.553959806146636,23.11689037111735 -47.621806418302285 -10.372851928200795
-24.300772651639125 -14.823527942497945 -8.95301145522808,-15.791560374811377 -6.2064601322874715 -8.553981527608968,-22.322676259657662 5.745595241746732 5.335522873610441,32.628937258941804 1.883553459235687 9.282414179933129,7.136823976716833 0.8690202106183855 0.6657944385345771,-3.888937642672314 -10.058799807279424 -46.48771573033537,20.083339502103932 39.30950095342991 7.301801106490406,7.060179236636715 12.416744620774569 0.7080839441901471,9.835983269396804 0.16459303071064765 44.79820508246508,23.056846764825412 -47.32774854804346 -10.243001948778758
-21.987747537233446 -15.824249012932949 -7.005806959334266,-15.616203437526249 -7.1224465841975775 -8.417808959313394,-21.598945144668647 6.250706675588473 6.679515260452859,34.52987954713742 2.0377559129483367 8.548773556172929,4.902430997779437 0.2426472940020674 1.1629088395151528,-5.615348047800346 -8.964601078382278 -50.21961002325659,21.123860457704033 42.21809097269585 8.358209151377386,4.866903098725335 11.538016304255931 -0.07645586242504075,7.605027029764434 1.1435936356765548 45.86396792987355,23.486503167060864 -48.55362661232801 -10.70429622710131
-20.297674183940277 -16.754587339373767 -5.163238793338772,-16.07639023223158 -8.188240621756806 -8.531710943100773,-21.4039369543155 6.698652278444067 8.148987624407273,37.94350619176939 2.435174876531112 7.847295065033079,2.6899108013748303 -0.29862433363062396 1.7316679637132715,-7.447218662914986 -8.23865893701019 -54.65763323975678,22.25718459288171 45.335698427153325 9.476722195318445,2.679143917887804 10.714002623501587 -0.9320706390273696,5.358123788838363 3.1513111426188614 46.62558206115206,23.86014750118142 -49.70008456668207 -11.1400997140436
-20.201047011004047 -17.160181880937884 -4.196999899791318,-17.366862608294394 -8.44476918986761 -9.241941028118,-22.888581834085084 6.758921962939282 8.560001880604688,43.221049930583504 2.610401576937653 7.147672923085161,2.024407585907889 -0.5406432444954395 1.874087458434414,-9.004250630305158 -5.408792331047178 -57.50845541106126,22.986277691967114 47.28561578893383 10.173461156307715,2.0294957269617195 10.339107652765136 -1.3943488712256282,4.566622843531069 6.429743651333363 46.96812215956079,23.603084636414746 -49.07944817814988 -10.899265709366508
-21.726138725570763 -16.97247325888309 -4.277535941264052,-19.229823445438367 -7.6008333031604085 -10.523950139126471,-26.112253268194472 6.39321018483759 7.6786423656690035,49.626983803116005 2.3536752123450753 6.475289813578884,3.272499853796293 -0.45088100061142383 1.456515795146453,-10.00085090583347 -0.4233019138174094 -57.78490973867256,23.068375970812294 47.41184222552232 10.217543432748974,3.2868220526493968 10.502659086493587 -1.3122186793387236,5.692184220956119 10.291466286782992 46.84275918628851,22.585562027536227 -46.28169165273618 -9.824591301088438
-23.537135396617035 -16.68144037219071 -4.70484630391452,-20.752319460230336 -6.33213813777849 -11.816365543750726,-29.554040782930173 5.986245923293832 6.646373408512421,54.852441618662496 1.8253453033135514 5.936150519977142,5.12347087530064 -0.25975098585744794 0.8727585511184133,-10.2885352947915 3.2652974090945426 -56.39080657412742,22.628831656253748 46.101768667242034 9.744358091379869,5.135213916980243 10.852315097012248 -0.9882407028991419,7.734706216406747 12.703496705982127 46.29635394749098,21.321985747091293 -42.74648459349057 -8.473972914164491
-24.205273378917497 -16.815087878774793 -4.717956742399811,-20.98208066111317 -5.38536238644138 -12.520014898878296,-31.580717103847608 5.951047849375465 6.699817129806884,56.48860472936366 1.2154926291074049 5.642046525099554,6.146105560778646 -0.21597848791747468 0.5537925246813988,-9.732083811898462 1.9710406610692257 -54.37403645025961,21.82316875995548 43.82781189679948 8.919222583929377,6.137884902748215 11.00451327441832 -0.7583512404343921,9.585859339097867 11.552756396216713 45.385987773024105,20.37378395247543 -40.04893209502801 -7.4575792784658415
-23.306652180560818 -17.48754016744064 -4.076257905308653,-19.83701476925103 -5.1651447611886 -12.342398234948341,-31.38589319736991 6.3499906677637465 8.167089536844136,53.813642029108095 0.7698512673267139 5.666703159287904,5.693165293297502 -0.4033250057263973 0.6315390284407879,-8.380626717846654 -5.022847364012039 -52.49755124795084,20.905977257235918 41.30728253657099 7.999312626459799,5.657023824979383 10.819192522937088 -0.803672096377429,10.586713720534922 6.560803470033533 44.367495764670615,20.055524128925015 -39.08526192849339 -7.116750043526926
-22.08574191333441 -18.12575773591577 -3.403100363900973,-18.6797823670411 -5.5082362500704205 -11.500182598140064,-29.53597652517253 6.663276193275538 9.867917272806714,48.90662163291323 0.8265562624455438 6.020644659699774,4.4190447148873 -0.63166326548818 0.741398650150877,-6.589370309803445 -13.503406998848114 -51.05122025051052,20.296325979109472 39.664087551713145 7.394315874012494,4.381355143024313 10.560576084530247 -1.0482871390780728,10.824476034965503 0.4952364923134277 43.82670318194097,20.2719118941363 -39.62456433763831 -7.346488923910372
-21.93757435537732 -18.09599131755765 -3.399583880180174,-19.000585499698627 -6.198483126217847 -10.258154477968802,-26.72723007560186 6.320149284953942 10.486572138422298,44.10306126421689 1.7289489382175243 6.707522665922363,3.098742635226589 -0.6859471441164461 0.47455721663177486,-4.741583634025914 -18.81572908802272 -50.27823999761597,20.425516962753772 40.05160633648313 7.52508540925772,3.1222343645969635 10.529683833881228 -1.3917908042778755,10.456788540592958 -3.6036303396325273 44.37522940693629,20.88871088190205 -41.32857932878282 -7.999406219476447
-23.491397421505017 -17.228003455134424 -4.345400887293963,-21.30373369984093 -7.092208549667096 -8.893987757816797,-23.704044030979844 5.196761336786415 9.475750221906708,40.87145436618877 3.4219618864343526 7.627138920607605,2.2665074569576307 -0.4539080863612148 -0.2824314432827308,-3.130165458674135 -18.901006289172468 -50.18668294401053,21.352715918413566 42.6159590145712 8.447214232477203,2.4137848903731864 10.877438447073489 -1.7047973631040763,9.651206114947053 -4.340633236402933 46.02025121674523,21.737729395892547 -43.736332175869286 -8.89273308643099
