-7.5 8.6 -1.5,-8.9 15.7 -2.6,-21.5 6.9 -8.5,28.9 -11.7 12.8,6.7 -5.2 10.3,-15.1 26.3 -36.1,25.8 56.9 14.2,4.8 5.9 8.8,-9.9 -37.5 15.9,29.7 -81.4 -25.7
-6.578516139704778 2.9251305461166393 -5.759024603375269,-11.264141857976147 12.807861104626337 -4.419882055419058,-25.35603353682918 6.271175387012741 -6.086017244679263,35.84459094603588 -7.278379784691207 11.067778282459166,7.222485523907715 -3.055278740078932 7.3503626457410025,-15.08751349262749 12.216229637802615 -39.29687956534259,23.567965575420242 49.019537022892685 10.863806446136977,5.917633983551273 8.13285921591458 6.243289724504313,-11.006414711319275 -36.2980770001967 5.236840455022794,26.69019841167685 -61.23934094414194 -16.170387354569925
-6.381402992508571 3.4895201174484756 -5.684768525636164,-10.809166380954244 13.712144216756936 -4.506887901778254,-23.773404088168274 6.366222521966482 -5.838868225595627,32.81760722144304 -7.660633678634369 11.96738907609244,6.779346383628682 -3.22675432110803 7.464820553306092,-14.778902924672424 13.546450051351306 -38.618585126411894,23.657038072314673 49.36048873933703 11.038967818174381,5.410109138724868 8.062679374234722 6.725419773124253,-11.78629495426946 -39.03288144334521 8.759221737857722,28.237038587992338 -68.5512055284786 -19.480767552197552
-6.697460475044233 5.60911200819699 -5.04477258424837,-10.286979943425195 15.399013642599758 -4.402547020540402,-21.8869319660415 6.577131494839469 -5.695926947601163,29.20587250362519 -8.516135736802779 13.211479360584725,6.469590492718647 -3.6959834591496956 8.497150923443204,-15.151721714538178 17.908010029209436 -38.17144715087624,23.945032109400252 50.257925496497464 11.412064048165623,4.895535576833234 7.601724953090892 7.7974024052877295,-13.094672599186762 -41.758203757427005 13.026805129834237,29.220018840985666 -74.09000060760461 -22.060801573327236
-7.361091679663558 8.209978934180771 -3.9916064663797366,-9.949611477049924 17.09795931128352 -4.16579743625136,-20.30807312571471 6.860035416987622 -5.68556675375064,26.325253410100267 -9.549331117067773 14.266923427072156,6.357504415430408 -4.306114048631727 9.950782844433634,-15.746882553753018 23.5942496396417 -38.09148570802396,24.411513853393032 51.719104130812184 11.99848982648971,4.526594096884911 6.91979036481176 9.004121359850954,-14.410241333103151 -43.9804876611065 17.204537298944594,29.577971604268573 -77.14705136788554 -23.5576086959398
-7.9905086634853 9.498656758136645 -2.7964145461568966,-10.065008202115266 17.607020129975698 -3.8741969460995214,-19.842385483027865 7.138561060852437 -5.83347223732322,25.902849843426388 -10.305773574218904 14.337284962221526,6.445145111384134 -4.815138644032486 10.932662620837732,-15.778226483020312 27.800390343228205 -38.43625675826542,25.023595210523794 53.7738851715673 12.83874278476237,4.4531036967330575 6.30944623232722 9.623459114440033,-14.58072217098601 -45.01119196434949 20.43055175385951,29.543623641835183 -78.0013576856301 -24.034228725470218
-8.240425623987473 7.939128684048424 -1.7214376677739545,-10.838231082571452 15.908237657259644 -3.595299984070383,-21.13577704669827 7.329457125855142 -6.155562768440007,29.315940204882306 -10.383794922355994 12.776815535775325,6.718626995066307 -5.009237687150946 10.654291829335364,-14.590588540870382 28.090308839191206 -39.191671201535904,25.744415816235264 56.42796824133345 13.961312619231062,4.79153667766721 6.032096715148827 9.027930727496745,-12.654397904525048 -44.28323074160504 21.959268379111688,29.342681924714256 -77.0090570487952 -23.59684427265894
-8.099818560329327 4.316883204128136 -0.9444387720160822,-11.91442115101702 12.639173932073351 -3.306874428761106,-23.40580672953949 7.2897641120170995 -6.581042025463946,34.81266436873197 -9.858156970095024 10.291518224897445,7.0250813130624 -4.929058144135587 9.274652773381066,-12.708282311763508 25.355224643397598 -39.7100556694935,26.502349546269325 59.471194078791356 15.28678705053062,5.361962215520314 6.066509883739939 7.443503405261638,-9.49124724536532 -42.31826578612677 22.080367966145154,29.12528350114941 -75.16803957501938 -22.716673556694364
-7.732825866307 0.6339415505030183 -0.5989120505006265,-12.645305967475432 9.304929342788734 -2.939637529684355,-25.121539160071936 6.84523377761972 -6.993672274833078,39.00140739793381 -9.053283971167001 8.295751144040086,7.138808302308231 -4.748594451697786 7.449233765011312,-11.27370063865974 22.229976592288498 -39.011721178857755,27.207552060317006 62.58028741948992 16.679210190844948,5.829126081022786 6.243344709888913 5.543376796224224,-6.900627488337692 -40.20849269617405 21.626036548152985,29.00196469752199 -73.81249144333425 -22.05622351411718
-7.308521078805493 -1.258623667273577 -0.7964974728190485,-12.458745128536108 7.308318460081121 -2.4458784114540926,-24.909910976748108 5.865657221956665 -7.28195167166415,38.84109073419869 -8.282051060043056 8.070486732664097,6.873764745485117 -4.626673813418761 5.8158930474660515,-11.317366503788055 21.150606662709215 -36.2681351385798,27.773368065735486 65.42437555264007 17.996732501878128,5.899154226916764 6.405407970732268 3.9742602325625955,-6.533676467614684 -38.97858810625283 21.368612186910802,29.067525273105645 -74.12421507508617 -22.20338670532271
-7.03197433545457 -1.22428082768585 -1.4211737423201776,-11.617461069029375 6.886317615221825 -2.011075200619836,-23.142151639476968 4.690840474424857 -7.388849501191219,35.16156368769664 -7.711540046707947 9.415860269517006,6.471314008451026 -4.54881038351 4.779162390858509,-12.625594125535814 22.281932173608144 -32.28496192136148,28.148666515829667 67.60256146427994 19.040271501993114,5.731559224920924 6.538172136819414 3.0601605043740814,-8.27480646839502 -38.88385643635529 21.395037422388686,29.253553821200313 -75.6373986360599 -22.93682043751816
-7.129936602863366 -0.15916998294936402 -2.2197986988127565,-10.887015882048384 7.57371629508169 -1.9611562542036702,-21.240081874272377 3.9436805537501125 -7.290143125854289,31.12414363422305 -7.421021112572601 11.240095670511135,6.430247348664258 -4.396131498941032 4.603040535639325,-14.235308144792926 24.4208070150892 -28.852146197393978,28.303712692587684 68.67177235412129 19.576273186384313,5.758929369021647 6.713037528444199 2.9307199761908067,-10.944327230407826 -39.716207589790926 21.37943961801146,29.39333650366013 -76.89386873123459 -23.547777908482793
-7.814996616576322 1.0636619444742228 -2.9439030336006344,-10.981415347672874 8.894534863308438 -2.584743977238383,-20.534056333644177 4.191511669310169 -6.967763260464717,29.68693803213969 -7.476554784107109 12.502306508863255,7.200781547433395 -4.063339106430764 5.5029714319156025,-15.236265335727373 26.41649581528498 -27.630902680716716,28.217625179893762 68.25454227652193 19.403035858647716,6.375547517800321 6.9922904315721315 3.679419631648175,-13.405109933579695 -41.24154473385319 21.016106242329617,29.333245246692822 -76.54246452117025 -23.379158447904263
-9.11498220066354 2.0475650144904125 -3.4288010884543416,-11.867623410379895 10.358494152095117 -3.669132333264305,-21.00127024180311 5.242020900289205 -6.476502426710416,30.80220524454152 -7.7908381790973396 12.968448893581597,8.567283987730528 -3.6369105850553556 7.098680759630924,-15.524858455691936 28.028132859423415 -28.46480179576371,27.97888604273264 66.8190840588829 18.731894643753993,7.438309216129997 7.306676721632762 4.971827930371165,-15.250692624209014 -42.97484670538592 20.329402699949917,29.104112943272284 -74.77360056031443 -22.51934046485719
-10.930100442016835 2.7249531219579963 -3.567679463679625,-12.996596440306924 11.465437813819035 -4.655330431730222,-21.68424491178862 6.378180839581687 -5.9214813105621396,32.34595994031579 -8.17063501677491 12.961792915202402,9.854196896349732 -3.33578922269612 8.598411032824457,-15.554651570554405 29.643330802145556 -29.941904333917694,27.751518476337075 65.41775003934139 18.0594834520337,8.432918047453906 7.496082773377821 6.177939385492187,-16.579310166627934 -44.25777024743933 19.57169061605222,28.86418604139041 -72.84251072346723 -21.571630493110842
-13.130926081523482 3.040962475638646 -3.2679366587996763,-13.829842282365117 11.746012668873341 -5.0109882342717915,-21.659660645396006 6.911180807856049 -5.401603769313281,32.273051757979594 -8.426773619556432 12.81172928478091,10.407360402554241 -3.3665654590211442 9.249124643224118,-15.757145731169343 31.617539558110526 -30.703108601892204,27.693256722993112 65.06334251126002 17.864406080229283,8.85923758677959 7.409342251208195 6.695459341098307,-17.49484615602399 -44.476771243041426 18.99761606656798,28.766228006418224 -71.96389267230309 -21.12042937701411
-15.165707849535757 3.0369776764420076 -2.6405565812734344,-14.15339930507712 11.21409102550433 -4.726444500433715,-20.82658422653653 6.754808460201726 -4.903254708789216,30.411217111485094 -8.466299666611068 12.770191634934468,10.04882454115043 -3.702184903858852 9.028984414136538,-16.047100790711426 33.60991488755331 -30.602377205175312,27.84037132540979 65.97096869153201 18.255718736480326,8.552993326964419 7.062942246230441 6.445731505694961,-18.032691870949385 -43.77039797473763 18.82671622071156,28.83801251425744 -72.39028094039746 -21.295716207284276
-16.1487015382737 2.830500548659919 -1.9575269291413506,-14.009958084953618 10.265699964438395 -4.20540198579136,-19.734459803030852 6.299411225925917 -4.323834377799398,28.069349012560842 -8.272351516411295 13.027857325729657,8.977245905746328 -4.130817137972606 8.494416819258117,-15.930616215446104 34.72895423310779 -30.453014345993946,28.133074291216225 67.72488542156418 19.05022405747149,7.615524305736651 6.605957137988364 5.76421454042638,-18.174072023129096 -42.871984610847946 19.250762667040398,29.008466127489687 -73.61329152422427 -21.868094490704415
-15.244775557868865 2.532088231571897 -1.4845554823249871,-13.455107188474729 9.292170701623219 -3.846666738235948,-18.93671821733884 5.933486668092066 -3.567017969402513,26.555616526269525 -7.833854416508277 13.749233954994857,7.408135673962637 -4.443198045475794 8.190387076985958,-14.944709657896905 34.125088907944125 -31.062808829235195,28.505073307590518 69.87515360232153 20.048212241346388,6.16586055294758 6.188069341225545 4.9872424132844335,-17.911739350359046 -42.49422221490774 20.434728652746198,29.203734804267103 -75.1009237682705 -22.595924626962
-12.77306353273535 2.077934751999313 -1.2810383755763026,-12.658236843619818 8.392432137843988 -3.7362925226549235,-18.72062666497549 5.75830795068239 -2.704692059055633,26.382600253893138 -7.211403491907155 14.625459345980024,5.683963052849541 -4.577159188662191 8.135240578158719,-13.439498019596158 32.049643941513025 -32.62673210785932,28.815078702364744 71.64394164387225 20.885114279425952,4.524723034750028 5.900745035893335 4.249536720586939,-17.489793166003505 -42.63703679300742 22.040398352607824,29.348394318058066 -76.26635096681572 -23.1906266892022
-10.096727445709671 1.2465233855283877 -1.2197636699007655,-11.891670434778643 7.400936426843199 -3.6774498908084494,-19.13270836688819 5.615354895420215 -1.9608897577436397,27.343274152120344 -6.530418990627028 14.91951021774118,4.262030289051334 -4.603579593719879 7.870997145387421,-12.500543283218002 29.749698411108067 -34.78546474393922,28.85396598603861 71.95684048450931 21.047246657161807,3.195261377998048 5.782794045941369 3.503461459347866,-17.379674775058042 -42.65566115277903 23.274423399292626,29.365600216443983 -76.47315646679583 -23.32116340934792
-8.57289383178899 -0.1754554023263545 -1.1735612293573203,-11.422607576440882 6.152050470841933 -3.472625565120782,-20.198269701514782 5.343929064265272 -1.557245321345416,29.193801293032656 -5.915993020136412 13.91564357245959,3.5874421490983583 -4.595019886099328 6.94383882491661,-13.188884154724887 28.463516938603327 -37.155256759367035,28.42198699234834 69.78955737490223 20.04442407088117,2.668551676800921 5.869513798106071 2.699863119368682,-18.033099800919093 -41.906785240162314 23.36151274577281,29.183624847610798 -75.12348953691927 -22.67534211109351
-8.491571300330701 -2.061766335643248 -1.180646233065055,-11.302328569224928 4.71100680508479 -3.1567513072412194,-21.635993378457503 4.958906584493672 -1.5227404300837772,31.42428678824531 -5.428098300354368 11.795458970546415,3.705977898632836 -4.547961790204579 5.421242929726958,-15.318284060097378 28.33682999624315 -39.24334248389758,27.60835690794508 65.60417326096704 18.092240773696563,2.9798366966284275 6.156716639574091 1.9131106101965354,-19.21932569758841 -40.35056270976127 22.368685235928194,28.85707745563452 -72.60596551133762 -21.439043641619133
-9.039355695421685 -3.9350807221286908 -1.4502442643739093,-11.358850547167854 3.38175580510351 -3.0051098441080653,-22.847509547148643 4.656709794884609 -1.6871516846551105,33.24972861938665 -5.059373321531218 9.66841896654044,4.250509434213267 -4.380220532046778 3.909712346235064,-17.412808789590134 28.385674609811687 -40.444232710899634,26.801082500654573 61.39969736045449 16.136075566156503,3.693022060567485 6.599386870541094 1.3452965085288224,-20.001939966591078 -38.57113594649623 21.233918268086956,28.571201153913684 -70.32921749633735 -20.313162859820718
-9.37183991459301 -5.3161786159449385 -2.188376008709328,-11.416035868884572 2.468687054283325 -3.2938720371605883,-23.236532550137667 4.636442603811006 -1.8703664241286422,33.896592298756204 -4.797434019291165 8.657015149184126,4.8396888156915985 -4.009693651025335 3.025469077737208,-17.976036528114275 27.596858579317573 -40.17246477185285,26.392598072048603 59.19834362207188 15.132181384843921,4.357336295074004 7.149270729950668 1.1951731301327528,-19.438407302625485 -37.16818083665223 20.90936266581523,28.511540766423696 -69.70713630911432 -20.0017147501151
-9.276675258718944 -6.18007498002004 -3.2488302694091886,-11.492883294640754 1.9404647967274733 -3.9753424978115075,-22.73735063723414 4.916411332091884 -1.8701264747030617,33.358352210872546 -4.569084035497367 8.938236894304424,5.245573663130187 -3.4721205053347926 2.903718602564176,-16.750280646167603 25.684050468826353 -38.64343645726123,26.478228102206593 59.507709011286636 15.313041827277367,4.7464842003418175 7.715125591785551 1.3683691434823386,-17.42547100326615 -36.320483383270314 21.521348157214742,28.681869666386575 -70.82642253745058 -20.553383246081495
-9.288766349530208 -7.0388056320461345 -4.068968440240927,-11.8390922974562 1.3688407865743777 -4.618933798437947,-21.911524968571836 5.301173702334641 -1.4579920503288213,32.53528173835394 -4.229231458973146 9.571250185552593,5.421585871947505 -2.9425593673153596 3.110982882197551,-14.942353643118432 23.220252595216355 -37.01936571599263,26.80203791604948 61.04472911707778 16.05546158647974,4.899558458628988 8.154885089798281 1.423966730678146,-14.852114513209653 -35.70923101099216 22.219874509809166,28.871061275542207 -72.20470134652184 -21.24208478923113
-9.97737277433621 -8.419157025134133 -4.075044303387876,-12.710948136920752 0.316844885342773 -4.781082413076874,-21.351534027099234 5.585446231527956 -0.41341105599888484,32.36725073271269 -3.63380519359437 9.567583898016247,5.337395068228452 -2.6014532810174122 3.1880538508192493,-13.822205642297675 20.82361690990894 -36.49588364932409,27.090085135108637 62.4347944252817 16.69301576975881,4.874741427523129 8.326862056556102 0.9133072148157255,-12.652375326249276 -34.994137454427225 22.11563662280308,28.859156679279124 -72.29331349364321 -21.30884576292263
-11.536507997727803 -10.154287872719463 -3.2452812074735866,-14.0773797434975 -1.046828893454344 -4.407885321447701,-21.423519007367435 5.670680865705272 1.0832187043644144,33.249459372948465 -2.8593766553787328 8.660266481478342,5.208983722457222 -2.5157571072733496 2.979008133217829,-13.745518986691097 18.921421548358815 -37.36161295501604,27.16553920257167 62.80924156540186 16.823052001274224,4.890780925877989 8.230737353512675 -0.08882235149485593,-11.237954631455906 -34.144657603872005 21.04771156697237,28.578802820939128 -70.58123862789684 -20.500200775384183
-13.652561650243056 -11.139034141373397 -2.3045935143874736,-15.518587390111678 -1.7341587928053102 -3.972562764238992,-22.187437521554912 5.602718644992263 2.3091041490859645,34.84029194386839 -2.2809970878156216 7.558353473545817,5.585540334122541 -2.5989016511107397 2.738198511973607,-13.831176788296114 17.682735187174565 -38.678197408367154,26.982940073555238 61.98383881252857 16.399742954707875,5.383633825831738 8.057431075497053 -0.7995302556682051,-10.313949760818156 -33.54925665644408 19.84051411068177,28.169088139253468 -67.96114907021678 -19.246523674525854
-15.975682639639015 -10.22166384860379 -2.0209395369175867,-16.591671039063574 -0.7173875283189657 -3.978782957484636,-23.674818365124228 5.437201221772569 2.513686160691804,36.74376491379308 -2.2884202127778153 7.031491175186031,7.027662895252485 -2.753994358065954 2.744663754730818,-13.122555949408575 17.255147496045677 -39.42867941198362,26.508973102035355 59.83581294098346 15.408026249753934,6.794319099881677 8.009020132556262 -0.3988832092911871,-9.53893659318374 -33.61890018727314 19.376300912885903,27.78338821159467 -65.42425506437196 -18.026223350583507
-18.14353466320927 -7.452662922356548 -2.564774904139877,-17.123298367514128 1.9258759372072682 -4.512086873765414,-25.515490118949728 5.202857175157471 1.5904924038422883,38.43990759598331 -2.882329780536367 7.327894919553418,9.361402187306172 -2.9185965033891432 3.011245075909943,-11.400160079841937 17.5972158365124 -39.10569382988546,25.8795436048156 57.01492214681138 14.15902664237035,8.942493413097877 8.142506880562363 1.1397452733724802,-8.789613286515825 -34.3300212566565 19.81131162707067,27.55307738461243 -63.89574763399704 -17.28735574421959
-19.774429342029027 -4.745955051756513 -3.180426085376585,-17.357967010658278 4.404704957833715 -5.009918258309815,-26.71664603129404 4.8866998206860774 0.43138505550591216,39.21656921335702 -3.46035108537968 7.887562039692427,11.274260815360849 -3.0836727983868117 3.138177482434657,-9.5870391860619 18.374497492483666 -37.991743841283984,25.49284784108233 55.36834832972807 13.4694589497239,10.684701854038208 8.290028116416266 2.613356133909996,-8.280767531406541 -34.985527526901336 20.1764595482455,27.575428097336093 -64.19848801151859 -17.430929724257766
-20.488118328212387 -4.160629228812663 -3.038470261680451,-17.573968010051285 4.7950342530014805 -4.858330344895578,-26.241389757192216 4.4727281339901985 0.007594548140584379,38.35266218998618 -3.3733771876822116 8.084929137098147,11.367079033002838 -3.2448344210973357 2.694043141864266,-8.697346274507254 19.22837258628809 -36.43756169980339,25.765624603645595 56.827064155760915 14.19086731491658,10.804509397455224 8.265612381097522 2.722921639377244,-8.253869240977178 -34.83654516408509 19.415253946261792,27.943230201527125 -67.13376313592467 -18.847694970324373
-20.183512673526128 -6.3953326984825 -1.8415740209553284,-17.85637045915522 2.45349643580899 -3.8353838428479174,-23.904352994534836 3.9965582092921714 0.7050105018724355,35.809982418889945 -2.434799192124488 7.650799123030737,9.254686088999645 -3.402424091727833 1.5927104077171885,-9.099598873221169 19.892576420861662 -34.81936254497726,26.753145481029936 61.59447982583071 16.395931504402515,8.972773255063121 7.994334053614186 1.0456802745231644,-8.734526630383417 -33.68772857612006 17.31624093398501,28.60998814287922 -72.3544980756412 -21.36984159733397
-19.25626788938668 -9.727902583031142 -0.2392195167654854,-17.946418624765375 -0.9843643198998164 -2.416689111841395,-21.03540152629469 3.585655162250954 1.8679498514929431,32.76546875516547 -1.2809908484052064 6.950103618734155,6.356233121794203 -3.56520397600955 0.3624600447799211,-10.013451719865033 20.265183828254465 -33.558706514240356,27.867476669796567 66.79992999725093 18.7713970678419,6.439224584247357 7.598865748521616 -1.2818755537399877,-9.3642372502345 -32.32869663112744 15.171650077137125,29.28135781224511 -77.47018895640271 -23.835642375844888
-18.152741852193053 -12.193145613417741 1.023730392367197,-17.551790506777753 -3.6540152857613557 -1.1485358170995132,-19.115566206762796 3.376362428763081 2.735496126113257,30.517350118359822 -0.6306193248673296 6.411711784122573,4.271751789463884 -3.742628093140871 -0.40736076827501544,-10.542745111921354 20.261476154271723 -33.079383921420124,28.456974826429953 69.26915766593658 19.867285998327393,4.611879457097142 7.2220327843678325 -2.9666799143617375,-9.746015128768411 -31.64678471451885 14.423127982520096,29.63871212543104 -79.89029874481407 -24.986083143869664
-17.244930974997672 -12.787939674412595 1.530271493978978,-16.657280284411108 -4.566519413521453 -0.3961180760584044,-18.88299954571979 3.417917390300411 2.862055817887016,29.777429222028786 -0.8268969887577466 6.253242327579538,3.845909245702893 -3.9181477209923288 -0.4625363638205452,-10.177352668513814 19.836014055680376 -33.44418047117962,28.25312225010779 67.7912848744395 19.140881168728903,4.238540588784507 6.974715482933037 -3.329930111993459,-9.647074232236973 -31.965633580172305 15.68711898283811,29.55040960085495 -78.59131447900087 -24.32560967300651
-16.752547299952376 -12.479382087389896 1.534819225144026,-15.81518660943396 -4.526066515370825 -0.15376557817532902,-19.554518185439562 3.5811734898978855 2.4477833224704377,30.056570258080253 -1.444144692641322 6.259695492681484,4.376466448794706 -4.021963287779353 -0.2351647780180564,-9.1977032088272 19.023798041961573 -33.9765828102465,27.772001822724874 65.1762252084118 17.90743927466996,4.714963932710374 6.9023742089756475 -2.9507692501775598,-9.170892542378283 -32.454497308010104 17.890140888087988,29.267735390969325 -75.7588218911987 -22.922152508573436
-16.876010169783672 -12.473476999612897 1.3735256683705954,-15.645967121268475 -4.554576247064679 -0.3701774435602033,-20.161803156901684 3.7153916960197835 1.771982931233397,30.718833004138087 -1.9631460336876594 6.163752654372204,4.972916598424921 -3.9779709689924414 -0.24027631800897983,-7.981151510361862 17.870480078188542 -33.91123214165382,27.624647734481616 64.71984641221734 17.706716896380133,5.272278740458904 7.042222156182873 -2.56122547135,-8.462072788395483 -32.14319427917517 19.753206743458065,29.088425271009253 -73.9678554105003 -22.03338633164784
-17.634891642863593 -13.323033476348362 1.249746085757236,-16.39838830947421 -5.162603459136291 -0.9323750652352866,-20.056269100979797 3.7396559232060227 1.1368870906696293,31.19634181646397 -2.0350370186993585 5.880695048218239,5.064146702900773 -3.7704972182046204 -0.6843863393184545,-6.940649042473986 16.646116731883332 -32.95203551912915,28.109214821293122 67.93650804412039 19.239742882265247,5.399930153253828 7.365195516256556 -2.5735811062845753,-7.651576387940989 -30.596479842124424 20.39365467885746,29.188108784276412 -74.8181067647388 -22.442715077046287
-18.62127829201024 -14.036842834488608 1.0529315884196708,-17.44261584722445 -5.651942622687692 -1.5815864768918284,-19.345114622687795 3.7380970542851664 0.8989256523429552,31.082111603543556 -1.7136314320699881 5.757432122280466,4.834024514912011 -3.526713137502578 -1.044744815560786,-6.573290473885029 16.151210525456253 -31.91214717561006,28.784275994115966 72.12945366652585 21.224967614231492,5.19796851937517 7.685565389266672 -2.6443056791647668,-6.838119526383779 -28.643589428768504 19.865653155287873,29.453781657791946 -77.6037597515755 -23.812464964910394
-19.365754060030437 -13.401562279280101 0.627336414111878,-18.022369824996268 -5.150415956328802 -2.0381472738408744,-18.244816462421973 3.818603159399752 1.421864612067937,29.992969623290207 -1.1110164314040567 6.202859180193907,4.575455222784338 -3.394332622562676 -0.6937472450862427,-7.387758516927816 17.262164243509986 -31.764096164986356,29.101944842884194 73.9959329305188 22.095554652595737,4.85470754476868 7.795124296849738 -2.3209954033561715,-6.115781801335201 -27.296021740345196 18.359032379613037,29.73080814526635 -81.2860219477969 -25.643036730751845
-19.56809035567653 -10.818169341981108 -0.08244321289288986,-17.701537348708726 -3.218804669670305 -2.1362920218013555,-17.04058447438887 4.031712743646353 2.7355201226376455,27.932528418512067 -0.41014552389488235 7.378631460040536,4.5656161967798266 -3.4588690763250303 0.6632562284810885,-9.508709552038743 20.364048613659094 -32.89687466046828,28.769671097621746 71.80651228512035 21.034160452202425,4.598064027447489 7.588950933348227 -1.3595933271799632,-5.593136191058321 -27.29628761347571 16.28856695322669,29.907293746142134 -84.8705737072079 -27.448149886353374
