-3.8 -35.7 10.3,6.7 -25.6 14.3,-33.9 2.0 -15.0,63.8 -14.0 -23.2,7.3 -7.3 -5.5,37.5 -12.2 -16.8,29.9 83.6 26.8,8.1 5.1 -1.8,-0.8 -15.8 26.7,30.0 -93.3 -31.7
-4.286200396062776 -35.892718854167605 10.604108694583918,7.163726961718721 -25.446049702454903 16.424701048513146,-37.78156999574397 0.17444715586019238 -12.775086648219842,67.65550352965201 -10.565181006810294 -25.20700915355743,6.90067171571114 -7.995944072212683 -9.322963072707156,23.489488580496534 -13.191780689632814 -18.916141958130673,29.78191724237355 81.81474961280124 25.916745816779,8.152063745965709 5.554839192279854 -0.9590702501945658,4.397045876432778 -11.958997574309661 25.33467152031922,29.90936620654525 -85.24966433449092 -27.62410846582694
-5.0729780160062585 -35.50113457309072 10.738097901702822,6.83264987035474 -24.386839836140513 15.361744776984267,-37.13793395168872 0.6730813432184846 -14.426266791906881,67.186082705275 -11.042564957382908 -24.241672665364767,7.40534916203157 -7.728817180073714 -8.365917557168187,28.6978317715623 -12.709537728596999 -17.66142183522017,29.94055180074758 83.67805599456113 26.872235365438705,8.434830678708096 5.753790901062627 -0.13284701245861272,2.366211000544051 -12.111219427484588 25.632777937644242,29.9466039232737 -87.40617955034591 -28.702107875558962
-4.37687665996496 -34.418274223525756 10.693553903686091,6.622596569880676 -22.97539922665794 14.31210754222462,-36.5990848329498 1.1029631523033718 -15.962467862559318,65.808111746691 -11.502881507371676 -22.839386821846777,7.759516720657841 -7.814642805782901 -8.091439850336887,33.20265232070899 -13.57370970963586 -17.36962515844004,30.018844043569626 87.15761602608809 28.628696270572725,8.71585744711778 5.605722384469269 0.04456759898999085,0.41608159693044455 -12.7031821196721 26.480101999349078,29.988674406560907 -89.946855963053 -29.97303099167896
-0.977969164138745 -31.89082331521542 10.309870392328682,6.642344172447943 -20.82578604747149 13.577777223893598,-36.50407658637063 1.258561988427241 -16.962227370587883,63.119860403777956 -11.618016388179967 -20.878359878981758,7.724076315663558 -8.57230370851675 -9.172040745731891,34.81394417995085 -16.650380735838542 -18.970058205478605,29.889507378773953 92.63106559036947 31.355625945468294,8.916504468364096 4.798320475557077 -1.1260344477253075,-0.6402970232956819 -14.035790581730275 27.78333243256914,30.01142770492624 -92.10102196555317 -31.051383502572687
4.25776780692897 -28.26166454111728 9.640420499062094,6.8391962549989325 -18.137584117557655 13.226544825187256,-36.941583180028964 1.0069027224386529 -17.340035371719992,59.704995636248334 -11.128355382067948 -18.640675689118112,7.331919565554316 -9.834712208522925 -11.506618695039734,33.21525310198317 -21.370354083062946 -21.925945004395324,29.62101243023081 98.70089370918613 34.36327803986486,9.040164410154857 3.5537818469514866 -3.2852405244791725,-0.5453316258647498 -15.121281812333315 29.471602744368052,30.012264183156326 -93.41667230576226 -31.71021989438893
9.023551835291686 -24.630861815575546 8.886380338153852,7.048921051671548 -15.514820024229468 13.16443348519767,-37.82733249070104 0.265126788934159 -17.242435937589963,56.827832260165714 -9.821599620182814 -16.687388915723158,6.803810756443379 -11.099104074293312 -14.459711410075016,29.38425171967658 -26.173035031955408 -24.68783598271028,29.417046085934487 102.74343421153951 36.36839688573122,9.146892446366392 2.4635075620248963 -5.342412183011824,0.5749011067976173 -14.081765400786264 31.489549825817342,30.00346975312944 -93.66191557933193 -31.83210977900184
11.125009715592476 -22.064981252638447 8.24686726305175,7.114927505907819 -13.546855511538375 13.292690525155797,-39.05973684808475 -1.0230826172394927 -16.825221983208298,55.681144551693784 -7.535362175068509 -15.55270633812888,6.355718748553911 -11.882537007027546 -17.391177546577925,24.349696293913222 -29.548710564543505 -25.7793779457882,29.4687477672964 102.32970625928331 36.18304897056196,9.292487339630233 2.0879948449765093 -6.257060283363623,2.55716028822135 -9.227943252930618 33.75795678913762,29.99708115115241 -92.64500172950291 -31.31994159558716
10.566914601817563 -20.873563199822875 7.8430615115253834,7.034324088012857 -12.46900712424364 13.488294096241157,-40.32093650785376 -2.5158525702815444 -16.316380296444283,56.131407135047425 -4.870610649344233 -15.26579794616862,6.07058729479212 -12.115173292015108 -19.753684483755016,19.535230272753356 -31.088323373834438 -25.177756448021004,29.72972524621928 98.44582140757655 34.2892815003621,9.448823253423402 2.391491296961082 -5.99723550298134,4.777892365949616 -2.086403395938317 35.820963679737886,29.99663380095137 -90.7316325293356 -30.359365984562483
9.093215866366315 -20.767460607472916 7.734507415419593,6.925771233564988 -12.236597768556436 13.609029282643998,-41.12203479298653 -3.5564051779485366 -16.000991576292165,56.996201820482625 -3.0320050916932932 -15.456429674557645,5.9261583718774595 -12.053875465901697 -21.073296591435238,16.676790282006987 -31.253260372731763 -24.00967581689629,29.965736407220728 94.77868802252537 32.489831747308195,9.521403294849504 2.86670556938087 -5.328583667221702,6.2495094255935975 3.273009920175331 36.92484557290085,29.99893993540933 -88.72836579642512 -29.359653671373685
8.42472537315879 -21.43322165997624 7.969524480512762,6.905755280591393 -12.781590414747974 13.521166318005317,-41.00353638599824 -3.5214833663602008 -16.147002126897156,57.11788420944053 -3.163157469585534 -15.752474799028864,5.896377700921057 -11.956843687374898 -20.921670807110324,17.39162375875462 -30.533058560145005 -23.388251493704324,29.949992455728093 94.89502345673594 32.52898110422201,9.421009168942458 3.0158881575212884 -5.007709284205284,6.03959604433994 2.954001566387224 36.36652828490338,30.0007394181131 -87.42081367398667 -28.719212521641666
