-44.7 -32.8 24.7,-28.7 -16.0 9.9,-32.5 -2.0 22.2,77.1 -12.4 -20.3,5.6 -6.0 -4.7,-5.8 -14.6 -45.6,24.4 51.5 11.9,6.6 5.3 -5.5,21.6 13.7 45.8,23.1 -47.7 -10.3
-46.74111758637015 -35.321630948608544 26.810719340933186,-33.038105198115694 -16.545509403201205 8.339177618503458,-35.79565186296455 -3.5275525332115945 29.411988935184514,84.34722227417848 -34.82734729729221 -40.42078388419357,6.8751541397213325 -6.131683647374163 -5.846551400269236,-9.38393059473183 -4.4525919064614925 -44.8051729617175,22.60635605978941 46.074674287177686 9.70586317569432,8.151933481986203 4.957020572111004 -7.292249824131729,26.402324853100996 11.904888212762012 49.77934313432526,23.64881834696088 -49.13580307381665 -10.92866464014774
-46.42055022118537 -34.90603044405475 26.107096693245936,-32.707461771440634 -16.682131672544983 8.159206503495092,-35.06901542950764 -3.6155755335642166 29.469881542644046,83.63027426030256 -31.16606170615069 -36.642923071633426,6.478653216394555 -6.0294468933433665 -5.744720465234031,-9.270495371292487 -3.2308144484564845 -44.768494297804175,22.492098750337146 45.776577870686566 9.591703642880162,7.779305822359869 4.980257970935689 -7.596176083754972,26.286294387214934 9.724524981629024 48.54669819312625,24.020366258502293 -50.34054838551981 -11.395149723189414
-46.526358898489285 -34.337393140856676 24.92628850719658,-32.06337472440165 -16.727356974965943 7.812511447510293,-33.359875759416525 -3.4164277708007713 28.842543470101422,81.38997888752303 -23.16953284447903 -28.939911006182854,6.13290123439048 -5.865684158207058 -5.46079605284789,-8.757936129786358 -2.310104857115447 -45.050380119989576,22.67646998082857 46.29277585385233 9.78452343373246,7.408629393156431 5.131634671119712 -7.3752488278669786,25.602863734603275 8.708663429248649 48.27514045571894,24.40701236174047 -51.605782058197676 -11.922716745885703
-46.91971785314625 -33.721863524589565 23.540257958074555,-31.16465855591465 -16.660266647071847 7.416028570505369,-31.18327975638338 -3.0131243478138305 27.76579315754947,78.36809855729895 -12.956646857763936 -19.254096336834568,5.914221235235955 -5.681420353407177 -5.072874272038515,-8.035049415273045 -1.935797251636891 -45.485523888265384,23.17515832171284 47.73329365086153 10.341843286807773,7.123102234235776 5.361367304449438 -6.761743485978713,24.536306973915384 8.607980706359758 48.79620466122424,24.779096220576157 -52.844959829786 -12.465159783134443
-47.19678004261455 -33.20108725831612 22.333757887532315,-30.092825225499833 -16.469959082425063 7.133968610606597,-29.458080692633683 -2.589539846628274 26.71013701389279,75.95294672885547 -4.631919933558843 -11.306148956880266,5.874881504547524 -5.528093238862643 -4.6861863815657765,-7.47308382040464 -2.1469480744998743 -45.78184513294866,23.89250243591362 49.93355728764005 11.225524354846188,6.997429267357705 5.56479150255876 -6.1231287269695,23.571869928241963 8.526658351794655 49.541750639680295,25.119750889064427 -54.015857069225866 -12.978427847220363
-46.9917658490953 -32.90037243165424 21.64610231465634,-28.933219636522054 -16.155339558312466 7.101994199567136,-28.998429459003567 -2.310257423354771 26.096404718017062,75.36492235445796 -1.8176492515005103 -8.379812130313248,6.049955546613236 -5.450096344455426 -4.392437283926939,-7.391355758089298 -2.996113503399902 -45.68738945234158,24.717660427108793 52.660570355022095 12.36529788292477,7.0880128924942225 5.648146912358288 -5.79363194968559,23.147905536422083 7.674702938295776 49.9789586113467,25.404780567344314 -55.04791769490059 -13.409605939375822
-46.28926095899684 -32.79815925305404 21.407500825087073,-27.804255276977532 -15.802071673931732 7.1997928337035235,-29.669360449825152 -2.1638018090173143 25.89318336946952,76.30234315533234 -3.759235450851342 -9.793963083225824,6.322690603292868 -5.428717486052958 -4.16183663571803,-7.63921953759969 -4.665122158566362 -45.31268948578707,25.4097804823831 55.085183040954604 13.409463425654847,7.2888826615837825 5.617090809126491 -5.801365553692584,23.272313945929763 6.232077252190576 49.90697016974951,25.544246263097808 -55.61666926434232 -13.626860598325253
-45.257452132418635 -32.795925114301596 21.333781008500896,-26.841674484411413 -15.541282779780092 7.17291398499011,-30.838544862436933 -2.0464382686193345 25.83207249471768,77.6659143468191 -7.408464778700291 -12.789779986298903,6.496772771373838 -5.412175346506389 -3.9009272368915195,-7.819756376137123 -7.403544982207714 -44.958231070433456,25.659882010114146 56.06584472331447 13.858842577017072,7.408980280025063 5.5293780448510175 -6.014029243959876,23.72742618047316 4.887027862787213 49.29888381517426,25.41375773961123 -55.26458016535317 -13.457002913847333
-44.074301159291494 -32.79536870002895 21.168641458425245,-26.1638096147087 -15.482747519715042 6.8062933804499055,-31.89395795055804 -1.8664918727427915 25.649245005034278,78.40540898057795 -9.892691825754271 -14.78271349581736,6.40458882284677 -5.356444716634088 -3.5335255953393365,-7.599122864148216 -11.295662260335396 -44.90085774862916,25.20726057020724 54.629669213260634 13.28573823621323,7.285550604267923 5.438768722168252 -6.300480668601849,24.284189807494975 4.217313140033716 48.136338400842504,24.915854100817032 -53.62706756361003 -12.76405708173642
-43.004312228520824 -32.7077183618337 20.971396507633898,-25.702720143443802 -15.505524199914783 6.315128029722579,-32.48534257956138 -1.6688078571795062 25.151497449639873,78.06546609901575 -10.415455371753623 -15.230503854000215,6.190358844337409 -5.3028502546656116 -3.172600239415221,-7.335456028298364 -14.666308274579642 -45.14892814389124,24.309601680456282 51.62183244220163 12.034369588656782,7.063971321248577 5.351791379487974 -6.556829518550257,24.613867200651597 3.5813836981328833 46.47531985636133,24.241910553568484 -51.337809945347495 -11.810600540253619
