-20.8 -7.6 -4.9,-16.4 0.1 -6.5,-21.2 5.1 -2.3,33.7 -3.3 11.5,10.4 -1.6 3.3,-14.8 37.0 -30.5,28.8 72.1 21.2,9.9 9.3 1.3,-13.5 -34.0 18.7,29.5 -78.2 -24.2
-24.24409610836329 -4.757518155953455 -1.34217154331287,-20.26881693101665 4.085509353064242 -4.684349942192961,-26.0297031457588 4.533168173651305 0.9953407387672039,40.30239166125339 -2.7543919808147996 6.264269433551352,13.534269491213081 -3.433121382388321 2.9404970586298798,-15.074459656900835 35.56573913553723 -32.310860483278425,27.59509651797782 64.72674983784752 17.68510086168907,13.050589515875263 7.853743574125412 2.293404108646097,-0.9909863777709996 -35.63725594013336 20.206940594047605,28.366300536781488 -68.59729151972525 -19.47311072036416
-24.434187352692383 -5.545015256043137 -1.1783714233880505,-20.24757491977247 3.1615183787712446 -4.5029855733425785,-26.59556605633732 4.290216636506675 1.0047015811859115,41.27242255015186 -2.558360204718795 5.899100302921333,13.950880610486976 -3.4216595714902733 2.3018900445342725,-16.677623548348823 38.4842033360339 -33.34893889963306,27.569829389417606 64.80827246638046 17.71123870100813,13.549810444065816 7.884383476377026 1.8164365876491742,-1.2662871176655797 -35.2486080053831 19.651135367070523,28.48490181455513 -69.56404148340087 -19.93411991654845
-24.05109359260739 -5.35486428617473 -1.4526872951988596,-19.91565917169812 3.406075712448343 -4.6090339233443,-26.2140273695887 4.545225617757385 0.2060153775158844,40.77184035130613 -3.021658675867547 6.162614428566292,14.03323601253162 -3.2721174695519 2.7691494399321934,-16.412011900901003 38.724828987184246 -32.18955227300454,27.81828704357097 66.19598747366841 18.36178350255994,13.577660775111884 7.974345049301162 2.0553068578097498,-1.2581039503998015 -35.95310543005367 19.693912826259446,28.506072323382295 -69.83107142819834 -20.06867694346934
-23.33179219599769 -4.500558442038505 -1.9883244897488395,-19.468871443370844 4.4403833425659744 -4.929743089032154,-25.2081633796997 5.079168454768356 -0.80070347910345,39.229185134506686 -3.7644391372684347 6.8804189431555525,13.677000381368133 -3.0712605603531102 3.8947267695511316,-14.645013945171998 36.325550829346156 -29.88772266802733,28.144955190009174 67.86407432189985 19.156757785195488,13.08453010197325 8.08202719027581 2.7435755861413114,-1.248905871669335 -37.06691051406425 20.175018538875364,28.44702533093268 -69.48052168221939 -19.913457401748996
-22.632729514463612 -3.836034657875256 -2.504735961059652,-19.13812035591609 5.251227018791575 -5.311136249138349,-24.254137626490333 5.472660133297012 -1.1313853292146083,37.61012822742274 -4.140887328134393 7.710572447430527,12.812147360548613 -2.9190654996620813 4.741578828226642,-12.548291957688923 32.41093102334822 -28.473244299315333,28.246851349909598 68.34563446149902 19.407130713052403,12.118168066229714 8.179842327458037 3.26698096127881,-1.9950747804784366 -37.32517916643651 20.574129502581833,28.399285745636053 -69.18504075433582 -19.788317752981747
-22.257909735814703 -4.113921899902638 -2.7580019205192317,-19.109864533250352 4.949127749018364 -5.606657022572719,-23.95299745312709 5.366458646293965 -0.06338426122387678,36.77570825783728 -3.6121190983748757 8.338711547356159,11.418790770323415 -2.899317794472673 4.490106761653094,-11.174779760552363 28.052958083258535 -29.715056929170878,27.857259485133078 66.36595033864519 18.514616689924257,10.760704397674747 8.24770877236539 3.0954911882110716,-4.106184521739443 -35.67282438009352 20.423689886875763,28.44345962506371 -69.53752379105099 -19.974908635182505
-22.039657517921846 -5.16180455836393 -2.834547037111883,-19.173726297711198 3.773286717962859 -5.739367911822484,-24.22203390762357 4.945098838511907 1.6777988422100618,36.63250271675833 -2.6020103133441395 8.703201926466967,9.921374602033179 -2.951234273777944 3.3869677720648523,-10.485654823309895 23.807506074057407 -33.018879818789124,27.036765726273888 62.378980402030365 16.697222300309235,9.395633883477558 8.331663031137298 2.4636387007390024,-6.865137035730595 -32.945987901141734 19.741476678242037,28.559734247419957 -70.39525325383968 -20.402472321634757
-21.56312444787818 -6.322518176166083 -2.9939055782162463,-18.911374814817794 2.5543646236846493 -5.668813632711925,-24.620230898485865 4.678069608773401 2.607794274676741,36.58692515942727 -2.038949615261042 8.874846268872501,8.977184100150483 -2.938273795720731 2.2375666159195,-9.869984203516543 19.959990867912765 -36.55203956844226,26.01747155912644 57.74455695918555 14.60071372425738,8.564374904961147 8.51238936577636 2.006608656064275,-8.859621628368751 -30.971867455005526 18.799594632572344,28.675674683489785 -71.23003028747583 -20.815579391919787
-20.479989625854007 -6.982550304698994 -3.4638533896936186,-17.96750521310714 2.059598365947194 -5.373327484245424,-24.751369687692662 4.983831676942232 1.4283481212295492,36.11891348893623 -2.73990454543896 8.92116528686707,9.169887465727548 -2.7404514867309056 1.78523881234332,-8.798415926652517 16.826726698122883 -38.62643353036214,25.027225530536512 53.7612773047414 12.839470496741528,8.745743504936616 8.855844192991158 2.2941519091656204,-8.833411696477057 -31.38594414610408 17.870955159143787,28.721777791950124 -71.54046720983592 -20.97194209801028
-19.17061104415387 -7.036614489110399 -4.119171173946387,-16.674692783424895 2.328334329520737 -5.027115595308712,-24.727805223617832 5.7130316974670246 -1.1139702032809704,35.53490550975079 -4.292992176156594 8.862510379223837,10.280617770047488 -2.420453511381716 2.062849107498416,-7.660263345455632 15.076985946561317 -39.20289445227122,24.232761502077043 50.99372038872558 11.655054936180484,9.739837673203809 9.268542329442077 3.1646118444588383,-7.250637716876729 -33.69780271340416 17.213290105791028,28.66454685817409 -71.1455190543973 -20.785891856943632
-18.454231537383034 -6.685529868563875 -4.622029909749401,-15.779824497407132 2.961508898099037 -4.922358715682183,-24.96820746466402 6.374320708831788 -3.0409898552839607,35.63914166998589 -5.546190335733194 8.69082276713346,11.607139473512051 -2.150989187975558 2.6753441940427285,-7.398153887810984 15.592628436632356 -39.23541236807926,23.76400383075357 49.564364355317956 11.064480760696638,10.937962076635328 9.560966577896023 4.015803575483939,-5.611604884644427 -36.136596005816656 17.0751886382953,28.49217191470562 -70.05708395170839 -20.266092141073646
