-20.8 -7.6 -4.9,-16.4 0.1 -6.5,-21.2 5.1 -2.3,33.7 -3.3 11.5,10.4 -1.6 3.3,-14.8 37.0 -30.5,28.8 72.1 21.2,9.9 9.3 1.3,-13.5 -34.0 18.7,29.5 -78.2 -24.2
-12.953993969374858 -3.7499779597378313 -7.944180355915798,-13.696468614637947 4.842382678962484 -7.387563298072511,-18.84671433127092 6.271919537623529 -0.4043859504964134,27.995722352272583 -3.1039629259107415 13.080864169373289,5.721730813818335 -1.3356860556291594 6.452827685072911,-6.998088422257961 16.000927177738724 -35.86595439978497,25.916708820720885 57.297686873910166 14.37688439747849,4.732249875745304 9.363416172709686 3.1025674506721708,-7.1217807230503265 -34.02032391287752 21.414954870897386,27.964508035484386 -66.71280716683611 -18.6078158738646
-12.988712589720105 -3.806609667722758 -7.655112159350243,-14.398220543156436 5.122892903584993 -7.631235430633101,-20.197686833274478 6.588092762914854 -0.5500058393831055,30.657879657700484 -3.409472960387153 12.397002064478677,6.058047798623754 -1.3068225998388554 6.864168951490651,-10.140913177552775 20.25127021254942 -37.02125438251666,25.504711227207576 55.763946915298305 13.715293024374818,5.022601735224251 9.249377036616357 3.2172094570985386,-8.524786586910457 -35.73518401082778 20.242606691309565,27.37805790128035 -63.362838195756076 -17.071730562372327
-14.018233532303976 -4.258968772303121 -7.030412013132854,-15.036494223572657 4.727848159705131 -7.346266672605226,-21.262293260984425 6.698858958553177 -0.9349853946315599,32.36997175414862 -3.837369201730463 11.634129571650236,6.996518269119367 -1.4177659051551268 6.535869289284042,-11.598618934578395 22.973168875632627 -37.954847662504065,25.183806210810634 54.536226406885895 13.17063797395602,6.004255657520952 9.197627437307668 3.3046985050652595,-9.210623328995577 -37.168537026051496 19.58703880122914,27.20961170438835 -62.57282178548276 -16.736370381698606
-15.95500833455064 -5.3034022769823 -5.850183169070452,-15.278374379221095 3.281024380368599 -6.214053105687343,-21.76223862976713 6.561375468237261 -1.4546912829758332,32.372721571255845 -4.380226157980992 10.677617955896732,8.500461287132017 -1.7814723951863984 5.207403881747047,-10.016208879393503 21.809930153418794 -38.45420484963841,25.087770564535234 54.13083810167262 12.965243300292423,7.660556260659748 9.179390105369215 3.3553912408104227,-8.73286324770329 -37.33559642338288 19.930039187734863,27.637250653669753 -65.28502700160243 -18.026775284728487
-17.901916484110163 -6.335150237617064 -4.548252367401916,-15.183925613095099 1.7122149639170936 -4.736871163468939,-21.858353408399882 6.330307673458849 -2.11006645921741,31.425447362226382 -4.991224621295939 9.664208389570096,9.996923807139435 -2.2703702609301994 3.5659266288145273,-7.276062365275598 18.416036183144026 -38.91028031174206,25.036872233475883 53.92327689191188 12.85056367782621,9.325960231192747 9.158571582687413 3.4797905201713375,-7.567739488899702 -36.57135551995888 20.59787804951779,28.31821369677444 -69.42909622909768 -19.9702264630464
-18.801285764357353 -6.590578481166654 -3.6880928259679617,-14.891149764030283 1.2102211146854824 -3.579794860793417,-21.798556088015665 6.1994905442600805 -2.9229916532673133,30.58863643025951 -5.615732692446757 8.780494638576819,10.806601039136476 -2.7091856571821955 2.4865348740088082,-5.902595702007717 15.241474371007879 -39.833708427382106,24.789204700457823 53.06279265822941 12.484671733910064,10.206238739121892 9.097627737949015 3.8122258379590837,-6.374468682985335 -35.47255115638138 20.68766395968624,28.8064461833206 -72.33720735033353 -21.316801511451157
-17.98841494267401 -5.6119611267768805 -3.653751973826511,-14.522652636321821 2.499893874087869 -3.2174996299155953,-21.751111997590485 6.294714059588534 -3.8786874196253214,30.579134424034752 -6.201769991253064 8.201669381188294,10.51057780350797 -2.9589617140822835 2.5681701259311596,-7.553418945344143 14.198203635271666 -41.38256836324038,24.229189372352096 51.14283242873223 11.705675808661264,9.811534205937683 8.978540700327326 4.405169326618958,-5.644483235032256 -34.57521594048282 19.660037964365834,28.79036161746595 -72.15456416843195 -21.199986515847566
-16.254190743563466 -4.074674848774704 -4.1646734194525505,-14.144012204281102 4.587585215322167 -3.4194131999569173,-21.58924640385423 6.4897254939413065 -4.826582837068407,30.840917812975903 -6.7071775221956225 8.06069498724309,9.654437564224262 -3.0152618039804313 3.386876213814253,-10.67544009956297 15.205293292919363 -42.40905375875744,23.70917381946852 49.40217595270846 11.018547257577518,8.779398317914636 8.855619032163883 5.007888567343092,-5.247732774736039 -34.19053038220126 18.32218706671679,28.45645156594766 -70.03786697669962 -20.173435475357405
-14.726444447976839 -2.9163908369077474 -4.786455970363345,-13.807605442042869 6.081842977893745 -3.7917101119676477,-21.11788767507626 6.599928401093248 -5.5846735018876945,30.523314887451658 -7.092069777992142 8.480758208092455,9.007029281557323 -2.904788512163183 4.281913058931051,-12.972342705365389 17.720491653525833 -41.463067335401355,23.68982278581902 49.46047031297628 11.082625203373532,8.008359374110569 8.799913669783251 5.299464298587597,-4.910303940164251 -34.57762544680747 17.793001405398492,28.10650443555371 -67.8409277367315 -19.11954779075207
-14.30533147300123 -2.8636976587621823 -5.166623079171914,-13.585562704159445 5.936765331329167 -4.043927311078845,-20.260627253325588 6.49452887471649 -5.9808900486979395,29.127888471905 -7.3003748768400705 9.487367964030247,9.122777238870036 -2.660682878920396 4.722748345363732,-12.75703575644352 21.192983561034307 -37.72658403043024,24.483310296859344 52.42565538757237 12.349176986242396,8.14911738530238 8.862799222971894 5.045634923374939,-4.487336274020426 -35.801563740465866 18.822989413321803,27.982639523486796 -67.05107210576932 -18.745814543946175
-14.907455968234931 -3.731314801696275 -5.306609619557078,-13.635348214207072 4.599215024173013 -4.332123485301914,-19.453676647897286 6.275157980599212 -5.88608210831278,27.677841482804798 -7.206096400777132 10.684068576593134,9.629799087036622 -2.3438998307910217 4.741342451740131,-10.974259553973072 25.03496000622671 -33.11210725449381,25.760335994386033 57.19511495383614 14.370607581458088,8.781763370512405 9.010649302386899 4.386496733944941,-4.391473069179968 -37.08903977296448 20.571264250049403,28.069207791885194 -67.57241853126823 -19.004129382034897
-16.183888758741972 -5.087780759340209 -5.303397366851475,-14.137464126458926 2.9190625123623253 -4.932906608468967,-19.27164148659641 6.106195496864963 -5.182686327010208,27.607180183365404 -6.66436012123093 11.56048487328895,9.90613371866704 -2.02290332198554 4.521514190656942,-9.27928057075848 28.648624599316218 -30.269312264022847,27.01841807930181 62.06943999356085 16.456652446247922,9.197351697340963 9.186889454223829 3.563212940119976,-5.185869166941565 -37.440410419061216 21.767303639200595,28.280969440075104 -68.88166058946672 -19.64239424826515
-17.76965370826691 -6.528617442663182 -5.258422230532723,-15.174924948707195 1.6179534811310443 -6.029203646835963,-20.106967679462425 6.115545828102862 -3.865128176848023,29.91466879978581 -5.616633262747889 11.741882400742638,9.495488955676636 -1.7510066908041515 4.2381338921585385,-9.016899275454756 31.56130853164801 -31.115247692655934,27.849608184910775 65.68042156419008 18.05324366100768,8.867701370764012 9.346100458653508 2.7923132282667034,-7.24444247609873 -36.156105404723846 21.40028955442317,28.543455728311784 -70.54716697615942 -20.45253582577349
-19.21888288550541 -7.785423170391181 -5.295571429208798,-16.339186739448227 0.7709611062881366 -7.331569441837101,-21.433596238889578 6.24719065159392 -2.492507355264446,33.40444204493455 -4.439739329516705 11.537469469298824,8.776935715492327 -1.5051295609788595 4.020939476640774,-9.966414382274325 33.931267748140876 -33.87282089527185,28.322632351354656 68.32988979259 19.293069218697454,8.176113824891429 9.499112330792077 2.1661110520880977,-9.986919999811528 -34.049613233850565 19.76893037271589,28.836513732010477 -72.59958851110903 -21.448480411094696
-20.060270103852528 -8.63258856668502 -5.545792503651944,-17.06712388025073 0.2498292079872873 -8.402010731840866,-22.43662352909719 6.387272981377539 -1.801498146813768,36.19048372309238 -3.6474094587135353 11.471535667001206,8.392243742776385 -1.23816782412679 3.9854759570695775,-11.41481715596645 36.11516675847799 -35.60323291390629,28.656117671769035 70.84485637916268 20.52478304828404,7.792526767886459 9.674443930441804 1.7378572602718032,-12.53296182038207 -32.41023797920556 17.583744679407747,29.157071363673374 -75.21495108806809 -22.713967102406045
-19.948677854291024 -8.895447214043635 -6.075679613091021,-16.939646716112215 -0.04545515834426378 -8.871530117513771,-22.48701481781778 6.440984443272125 -2.344940013813887,36.777551745663644 -3.64666911583375 11.933236877464957,8.853821342414681 -0.9261264100377481 4.21216717382656,-12.733968581297464 38.34344819921682 -33.95820335770842,29.02214835470565 73.79511007490044 21.978457847806265,8.253905506330053 9.884120691355479 1.5490763074118312,-14.090213650689158 -32.32002593596429 15.520216995717096,29.487512873180417 -78.3806295755064 -24.24204600373873
-19.28312132681792 -8.699684020621184 -6.572278385036481,-16.387471153789477 -0.04789873891510871 -8.778362971846567,-22.052545713824262 6.425983087545744 -3.5910978652326038,35.97653609245812 -4.214937018022909 12.514295556134018,9.910583659951179 -0.681350838235282 4.574335343494512,-13.79732069333122 40.101715973968 -30.074620608919613,29.31799259369527 76.23229983122769 23.184351579091636,9.312374496657247 10.042857618103447 1.5722186295878193,-14.385875001858631 -33.63766665243075 14.046327014150648,29.724412400508783 -80.97108934454903 -25.49076554960862
-18.734477468555173 -8.280711426643663 -6.583973751574504,-16.151773081627052 0.3705041958634065 -8.30951926367513,-22.001690213388574 6.401014391561668 -4.612008330280988,35.4408273713279 -4.89961726697088 12.515107320210687,11.03251842169652 -0.6659960186295855 4.8696421207527925,-14.661572089930651 40.60346160002422 -26.362611872653062,29.34051988072716 76.65345166529929 23.417058461700265,10.433331811233346 10.02981923710933 1.7544998097775375,-13.33695428942455 -35.77492001417224 13.554246562216289,29.73299502611045 -81.45421586427943 -25.72272168993816
-18.873686636809612 -7.821431347631628 -5.755708868662834,-16.830474263435825 1.3101424083282611 -7.639426448597025,-23.00293562899586 6.412187354209854 -4.60928620713832,36.48982125422387 -5.294248717901016 11.381274330783013,11.745942767524376 -1.0108384569604603 4.935415963492733,-15.357015020122232 39.235613783752726 -24.90975025391278,28.936560524643514 73.92002328385095 22.12639973387837,11.138017356610591 9.746028340640292 2.0469565099308884,-10.948763556987434 -38.12997644164539 14.32235335221974,29.417450800578944 -78.6949712520932 -24.392091930273047
-19.577092509485517 -7.140116330412809 -4.402275492125217,-18.026636412001075 2.67960064054506 -6.853888350952764,-24.336251639288193 6.417714138829839 -3.685609892609112,38.12219890332379 -5.314091951716037 9.566579065875523,11.969968684214633 -1.6289262782607155 4.884354943773146,-15.729269293528166 36.58851402280017 -25.55769302385306,28.299828329983132 69.42194606579027 19.97783158195908,11.337170272276278 9.244186510861974 2.427334961026906,-7.835963989909411 -40.011657527658485 15.842051206287712,28.952028109351073 -74.3112657944956 -22.28128901036451
-20.427190370947294 -5.900782851486472 -3.121844122346688,-18.922446743497606 4.306321145848084 -6.001216661234833,-24.6941970005613 6.338622245071222 -2.324851789724579,38.35486565206397 -5.010511586468744 7.951313624585353,11.789879604764513 -2.3411978454580304 4.945651958854691,-15.545829238812766 33.76160632850046 -27.197965125944076,27.770785798735552 65.61881951356735 18.15108327652556,11.10630693791612 8.64116288222958 2.884680849086793,-4.8710012860923975 -40.69097747662329 17.27181547129735,28.62522323194223 -71.08564160100474 -20.734634186644243
-21.03955917194797 -3.8590500700137995 -2.4423692454290817,-18.81210260220813 6.002802920452801 -5.137167162256821,-22.99133151077391 6.114941367111435 -0.9915642477326969,35.539222137190656 -4.456460362624441 7.32017796928047,11.30242212698397 -2.9791371180139024 5.312431280015794,-14.633851377988131 31.75288864989487 -28.78762097641044,27.64860278224749 64.6712747253626 17.682950841429232,10.534855324655807 8.050855023518121 3.4034092795154613,-2.8746223612771016 -39.60463359654203 17.877784256232435,28.684265486261502 -71.41202555963369 -20.908116253054594
-21.308549882464057 -1.5231591367756672 -2.310079062068855,-17.916873778016274 7.461872006586793 -4.379385970086654,-19.972444562136754 5.842977577756474 0.018614681220495227,30.787151113607486 -3.8972282092918156 7.664720857641923,10.69311181216297 -3.4630427143887537 5.879844114701698,-13.310033923694693 30.716987755681213 -29.846629467407865,27.89092831914488 66.2670432054586 18.427882350961273,9.821049365573845 7.561018614331029 3.929787563918033,-2.2378252006661348 -37.54356073628989 17.815095949015017,29.03602190941284 -74.47652732686664 -22.403210135024466
-21.264639689279193 0.23113851183659412 -2.3871409885622366,-16.910725654421125 8.317917353236039 -3.875740658979929,-17.276038736756423 5.695347736878697 0.492528911052647,26.558496972953126 -3.6622584421731923 8.58919007951782,10.190810692310073 -3.7565820371849954 6.397539456745938,-12.130121526950102 30.39670670117313 -30.169834344773193,28.288644581256744 68.8863232659665 19.662977572464605,9.216253663060401 7.246644077259869 4.39145519442201,-3.1417585504531997 -35.95997687355354 17.672993640935175,29.421158390483704 -77.89885823430264 -24.062311376614772
-20.941030577412118 0.6441167598222248 -2.362539920830164,-16.401014752806432 8.273753632483688 -3.7517213971942023,-16.37820258221424 5.821422575305285 0.2479384964643898,25.062431933334917 -4.043029613163554 9.712873075594986,9.998209802387384 -3.834170576971176 6.644962060229879,-11.60597953525359 30.546918734348044 -29.605749522727038,28.642744531430868 71.09244415509869 20.70456962711145,8.943278805756943 7.167945450559749 4.725926115415203,-5.693331534866325 -36.152522728037766 17.980752388880774,29.602639409289964 -79.50054969681675 -24.826263151049428
-20.388417083792973 0.10574145470431534 -2.204072122098375,-16.319196817128223 7.699827294907006 -3.913751619506594,-17.12075847506054 6.140051589639537 -0.6028982112347523,25.987840973772393 -4.9571993814625355 10.826393309098384,10.061270021337801 -3.7716419726874606 6.700159862441869,-11.808102694872431 31.066637208793658 -28.50548658131907,28.86325826935376 72.33449202327917 21.287511280598338,8.944445117815505 7.242630379364988 4.96772916931409,-9.293041833617577 -37.886563500823186 18.65738975231202,29.570662521348936 -79.16385581504593 -24.640798114779173
-19.667324172637244 -0.3479201006316537 -2.0362196774496772,-16.21688630356132 7.341779084352156 -4.145144101653533,-18.427107349360956 6.440536441369419 -1.7822213315625186,27.607263386989352 -6.112346332501962 11.816661298420788,10.181675558611794 -3.7018246195583155 6.808989185321844,-12.55894523612901 31.935879029453627 -27.50260587266711,28.921492354002883 72.55932880938039 21.38185408229949,9.004443598446041 7.308321067739596 5.205913425514913,-12.944399518549089 -40.06579746351282 19.278972074412568,29.443125244928957 -77.92911126130322 -24.016374588337158
-18.830208051132967 0.22271834126779047 -1.9708187544611802,-15.684333577099801 7.866839798261601 -4.243081676747249,-19.280757616886785 6.527450551197588 -3.0053466008672105,28.30450491390316 -7.21596003405956 12.577270654789235,10.158962218653143 -3.748909586246687 7.192320981308809,-13.665994607442508 33.10930694262352 -27.205538634098723,28.797347045415588 71.75649838187609 20.978917280974233,8.908786350505833 7.213331573166705 5.511576754727254,-15.706410206414878 -41.65300270832642 19.463878051300966,29.331090254393814 -76.77846954871715 -23.435022735272295
-17.83445465295856 1.5521164904679394 -1.952438865674552,-14.810041011644618 8.982215846811753 -4.181903535955208,-19.482709557131113 6.3996507423688165 -3.928491445401425,27.9399626747691 -8.001656285621895 13.06705701845745,9.786344086058453 -3.9293101847853253 7.7588753854744406,-14.794818503289719 34.23636867487627 -27.894072424462536,28.562701962969143 70.3473647549079 20.286848348855017,8.472910656021613 6.9406229723543555 5.740085438744837,-17.334541635154864 -42.409164907175686 19.366707544302454,29.249654872921578 -75.86800031685938 -22.975282178428813
-16.576114251463668 2.597233065170741 -1.8177355526408538,-14.003963890068924 9.775743067749316 -4.050243294996659,-19.361377557794597 6.181337968800225 -4.169745349420541,27.32667338941539 -8.219906520036075 13.286947661309327,8.852956716490684 -4.189905690671377 8.215984908782477,-15.519423486571721 34.76959903683482 -29.63596662294338,28.348778248195643 69.0318855849841 19.653683934608637,7.531560364226239 6.560025386671817 5.6076240890931,-18.033591943474104 -42.61024236403172 19.488009553585346,29.152003293893145 -74.82081586752305 -22.455376062776992
-14.975628816770985 2.4001798081292667 -1.4246328988431431,-13.646230787972765 9.413436581227971 -3.9360887132674365,-19.23971615186684 5.994820931247095 -3.393978746378918,27.238836245751507 -7.658347219283092 13.248348326087887,7.194135718342339 -4.475211319472751 8.295804832709424,-15.435871978180591 34.1896580940951 -32.44183713788036,28.275503373754297 68.45268427624748 19.398905699359098,5.959442588988927 6.145159820367603 4.871940590167936,-18.00201234967482 -42.5210876237293 20.290120061391825,28.996586322472925 -73.30976650490757 -21.717567823843215
-13.311469376535845 1.3852507739310318 -0.95602188392622,-13.621298334143956 8.308119768437743 -3.891492674384183,-19.23992616516421 5.9063199014960475 -1.9340593366570742,27.67983348847432 -6.624234340628457 13.100401268539864,5.297035620888355 -4.712764134067 8.127476361752926,-14.472445300811975 32.41966622182245 -35.567052740479795,28.289767559240925 68.37925227707667 19.406870039309066,4.189729398608763 5.802656127733791 3.90900127104387,-17.243337392610915 -42.12918187582783 21.615806005805236,28.83058730461019 -71.83354348239149 -21.003919715571516
-12.126769503091683 0.9984780022878039 -0.8350157931406239,-13.447212118911525 7.794282674625993 -3.9419442525008037,-19.335807097196696 5.940593415126701 -0.6166523289191641,28.083243405368123 -5.808937392178748 13.094066446801504,4.13064909095313 -4.817550592847443 8.133600972356938,-12.803007916551023 29.709819681862328 -37.708687770339665,28.210548278745346 67.93564368826456 19.240279681929614,3.06842180038651 5.66354499329011 3.551772425723489,-15.617015137433416 -41.216967620530156 22.84983596868343,28.766782530585893 -71.50131690279497 -20.8520336147816
-11.929746300270907 2.608746944772936 -1.4652865701072442,-12.665315694482977 9.138700798141365 -4.115991339540226,-19.48318465053693 6.121674024739509 -0.22292241201601867,27.87876947182423 -5.862911110929759 13.470651347042525,4.60191523785892 -4.7085378289054685 8.721128611039255,-10.615850090710824 26.330007288588813 -37.639510974582464,27.866022408612984 66.2880222731659 18.482554221097807,3.3862670479221597 5.849616190126568 4.583791165504916,-13.02146507471815 -39.594413017561926 23.39038972287358,28.912031929280396 -73.35840361282919 -21.768465577051344
-12.516533013296954 5.83422490457062 -2.8163234021929906,-11.369147589150982 12.061389296772429 -4.505934614050121,-19.386881865515573 6.477854546168084 -0.5456484012857954,26.66033544534767 -6.572162398103011 14.262979531891066,6.347597165925171 -4.378720501447649 9.906841113717366,-8.249372693396513 22.75834849425648 -35.66972106416373,27.295598674739846 63.59377918173812 17.20644212990256,4.809602255529377 6.312730881803431 6.747115418645887,-10.08845985567847 -37.63138002246428 23.053816144394187,29.244114809502058 -77.09655606608291 -23.60217995727273
-13.080952299863174 8.812247870115526 -4.490365372927839,-10.119316152347979 14.974048137298007 -5.257999552766481,-18.539413134908965 7.0410313057314875 -0.54159061651356,24.160769530452743 -6.9915116836083 15.327530060500404,7.930089495211131 -3.8837088762678715 11.37749965780062,-6.168946481017514 19.649093014890276 -33.40993991454066,26.717354618316303 60.84872753121503 15.898586904006791,6.053690975847047 6.861017440571869 8.902876055370855,-8.070073192576098 -36.17131239864419 22.010169189322923,29.63162864259121 -81.26262481305461 -25.645922290311848
-12.833142212291676 9.712976713861416 -6.0807430129884175,-9.47121650449336 16.31056864044076 -6.502451940745935,-16.47129108092796 7.834809411279895 0.8035104267071872,20.170286363999512 -6.201667920751501 16.511095132673763,7.9429494358928245 -3.2846020804927614 12.81150203659412,-4.832253060767156 17.643330719223048 -32.45588659399461,26.345859073337518 59.03530508537924 15.039571062190888,5.863521856869405 7.30247441402295 9.928716007122617,-8.17847132047287 -36.040918142889716 20.45713808321744,29.941397682966223 -84.39367530378337 -27.187639126218038
-11.74803064774473 8.428926721893122 -7.238438425245586,-9.548392876969249 15.878966201877425 -7.986858764872834,-13.681482984382358 8.700643463837896 3.305096024933942,15.627971016273817 -4.343585708131903 17.570919815965553,6.388571217594642 -2.718708325888505 13.931296233186018,-4.443649772201908 16.97670247548326 -33.19250408874489,26.197661935505426 58.27368456916896 14.696055876110961,4.277593390086219 7.5404128924002 9.661541310031525,-10.337452101001483 -37.380887883874735 18.949860071198668,30.07635463228787 -85.5963293567018 -27.791001333205088
-10.540178919331325 6.518313747607615 -7.6701889367856095,-10.05674359438583 14.816180875934386 -9.088676423769204,-11.605555156732978 9.303829081032504 5.619222321587013,12.583988900596779 -2.5835903571815146 18.177647542513245,4.63184485128146 -2.3970381438564434 14.501931466235437,-4.962502347473208 17.492736689556338 -34.83378567174764,26.097807650050733 57.85013637417588 14.534396588245366,2.5853661588090047 7.570321368641788 8.865967817112306,-13.224823654343233 -39.66846022773335 18.389162788390326,29.974352915025456 -84.52803059465232 -27.286334626801356
-9.930435553012428 5.560903018979281 -7.098255997153751,-10.686615514091173 14.276527879900007 -9.187165323420478,-11.67288884865992 9.312293960935422 6.391808412838148,13.064508843827198 -2.095274202511819 18.007331536743738,4.050603918417317 -2.5262128849087397 14.296959319087765,-6.331153167838409 19.006670713731893 -36.561128391148614,25.869279880471595 57.0384982028133 14.214334245991427,2.086936665122177 7.392661384345419 8.321456102251094,-15.496451091839198 -42.34596167243644 19.6466904264537,29.579436015526717 -80.90553330985458 -25.532834857422916
-9.974414106262696 5.843420826645295 -5.612466276996864,-11.170899722588036 14.387784423813079 -8.131856195914178,-14.077844377579353 8.667018281099747 5.303717908922929,17.16823110389961 -3.089780352292862 16.984493968229614,4.83503220040324 -3.1073567345998594 13.277544538521155,-8.297616199487482 20.993714528715508 -37.98065734354383,25.495289551769766 55.71430443022169 13.666518175983933,2.957332074717755 7.041267058204584 8.166211872916067,-16.613799463813315 -44.63998865419829 22.391635931819927,28.967803399251924 -75.46636829998616 -22.88823428406617
-9.992252344875892 6.223025141531351 -3.7090221409502786,-11.289523695176001 14.14279962562732 -6.292204997925633,-17.64935774970276 7.610865761030562 3.1800366451334536,22.86286983785979 -4.714179608964416 15.308361288182295,5.862262123374727 -3.9143986809297373 11.612274731569274,-10.395058246797767 22.55314793692105 -39.16807185490842,25.136192924934598 54.4183180465265 13.121110644771893,4.127716407064573 6.586868829344926 7.829477157740024,-16.92899543786676 -45.53862904387474 24.963776595643232,28.361764597184816 -70.07662460762435 -20.2614410316274
-9.282967029698366 5.514993232328429 -1.9015900461085429,-10.832203373501661 12.50897227145009 -4.0670918126383935,-21.156928157780804 6.4020784444553716 0.8959569057563844,28.029194916950193 -6.074999287173106 13.200453460591154,5.967154562447558 -4.711252894245388 9.487177713776832,-12.15076506164428 22.79007660789616 -40.21554748885343,24.958966773639922 53.718251097267185 12.820714869577966,4.487925031322414 6.102553412172408 6.723202835946955,-16.838979661709864 -44.05688625167039 25.67371187542594,27.987655241199725 -66.63200451957654 -18.575933038083942
-7.765898231086159 3.710057006991314 -0.5732567231717942,-9.857962006483538 9.672464741479308 -1.9476000905537376,-23.7810689744953 5.289956237576667 -1.0068255100318477,31.402462285045388 -6.81056149742471 11.178080492372716,4.9249090394209585 -5.32564446571544 7.333849238987437,-13.28380729448878 21.73534328737154 -40.928742592555324,25.037327408695653 53.90802984256629 12.895920922264501,3.771545978590734 5.67777196145243 4.969666839965413,-16.69389775290127 -40.647362738845075 24.282868251626684,27.942358878051852 -65.97395905948083 -18.244222033374513
-6.144769874970708 2.2852823994014777 0.05800601010757156,-8.766355434310277 7.36053657011026 -0.5414022151455853,-25.222011084683512 4.512491929483366 -2.4083130607234993,32.79840490487671 -7.231630036610385 10.13257176188302,3.699760603092243 -5.665985856037495 5.8943997931138705,-13.755762972008558 20.590362914535284 -40.751021407084146,25.327065536130316 54.93538502373425 13.335680955425195,2.7790721600182176 5.42266807188732 3.5893385197808843,-16.784724142604624 -37.58047027537131 22.38720796467545,28.159070016729608 -67.61086396930786 -19.032715307727614
-5.164585206360747 2.7836726175465394 -0.20775868888131582,-7.975779861801881 7.3675841284647445 -0.45104733142539516,-25.224376917861775 4.302489910062001 -3.2196109487855127,32.11878630480163 -7.687581724819664 10.956649882731197,3.31855371130305 -5.648425050760559 5.914919960945876,-13.547519480747226 20.611676492794995 -39.11904109722091,25.77579292737828 56.72118102702383 14.117603139999865,2.3690099020077704 5.44629820120534 3.6413436974232556,-17.38824200256945 -37.20470948146957 21.67647459936641,28.55973606245011 -70.9563778045676 -20.661767788645864
-5.116028430839828 5.270042163024675 -1.1974823055062787,-7.753595750392954 9.893544945804415 -1.6457345555428256,-24.08815271871623 4.6684629599794 -3.555364506526794,30.105450096350232 -8.300376659913367 13.407227705484491,4.121182319063622 -5.31772873955432 7.340431691494696,-12.828528447792012 22.052320781961285 -36.30041712026801,26.300273861268657 58.95222520109908 15.105835042267543,2.8756868292201525 5.73637241375915 5.231764522543772,-18.258812307094697 -39.9324088380115 22.638947626272262,29.028804616286394 -74.96189822384001 -22.620373139169953
-5.632050522854608 7.669181127905094 -2.198054741524834,-8.148503943731182 12.830003885171207 -3.177740478342397,-22.917343945106143 5.2942092165635835 -3.824891082283478,28.716452595274845 -8.862735963293604 15.596867391935074,5.453018614411613 -4.904869314479872 8.956222437855065,-12.04123240848393 23.71252508425787 -33.765771709056516,26.77261364524036 60.97647250622676 16.00026342577991,3.8745591097594696 6.104923444809654 7.086929184137938,-18.39446752533551 -43.372834117199545 24.023505774711815,29.396433528703895 -77.90959195549627 -24.062575397013322
-6.29631762488267 7.761000511785513 -2.4616887061557176,-9.189074202084035 13.908335886681447 -4.0360108153050405,-22.865793471871203 5.840639784454655 -4.455960079276553,29.97995070401918 -9.143911514784932 15.5307612533155,6.586124975988884 -4.653235108687724 9.469526473977274,-11.644033536914252 24.291172914916014 -33.06449988193287,27.063017551827954 62.12388605680521 16.49192301532005,4.883887195292904 6.351821695184528 7.837592549506598,-16.746517658484095 -44.93790669244347 24.455330824402,29.490672170210022 -78.05410508743216 -24.128457528273437
-6.852013107536089 4.97052875103171 -1.7927999289642549,-10.68428133266331 12.348097119790607 -3.8230098346486083,-24.13494457147836 6.15251066471297 -5.54087337707698,34.09874200472703 -9.080401154434286 12.765764685589739,7.1218828786403945 -4.649235730716185 8.512621378668962,-11.701977122249582 23.386326219010574 -34.62688242748208,27.157764300851063 62.344988964017915 16.563181701566634,5.581785598211967 6.392411562201028 7.017688841478067,-13.17373725456657 -43.64296550283536 23.464521509327113,29.29532254421719 -75.45876477052168 -22.849738257275217
-7.307166209568606 1.4541767215826544 -0.9126247865676025,-12.078507448451262 9.839665584585804 -3.1598244049264257,-25.344974953683153 6.379814864866854 -6.6149573575399225,38.2449867025696 -8.886380575936773 9.434953606762786,7.208441083413023 -4.718649589038786 7.2536307331336545,-11.627019461979923 22.088949586999966 -37.02513888788238,27.235848930447574 62.62061782308156 16.680106760790956,5.9117739409619325 6.333758495540063 5.6606976504862345,-9.041560916606132 -41.16549778419414 22.083606859884586,29.05278217864322 -73.18984468322087 -21.738515883738867
-7.694836333275721 -0.3868955586129115 -0.6244232109790888,-12.785330614433121 8.297241804608989 -2.7603465671061223,-24.97597708373502 6.700247316434471 -7.163693112142183,39.322545403765666 -8.801026972440473 7.901717335873094,7.045226742914517 -4.663775899217039 6.9979462209556145,-10.774337842657589 21.62373740374961 -38.662973864085366,27.493163258614082 64.02156637029414 17.35090993062707,5.843366005451332 6.300524900365962 4.935682370335339,-5.85102987233217 -39.42550388410084 21.48075960293365,29.02841082005078 -74.57602994618354 -22.436214770977763
-8.054852825319687 0.3965893083671797 -1.2294105094819456,-12.624172458098624 8.596820005972514 -2.970912877926211,-22.531112029067202 7.169115656501696 -6.97581219730179,36.21725949038104 -8.929532222380187 9.099549929591793,6.800670346027676 -4.411249076089392 8.194406353942503,-9.04422733741921 22.41685345930394 -38.702082033004054,27.980902493157863 66.8021264935112 18.69053100781158,5.45641028742505 6.362915330030528 5.352703800346461,-4.370540899601831 -39.378838358406334 22.141043999034764,29.326292129222267 -80.5915554635169 -25.41943659895061
