-20.6 -17.2 15.8,-14.3 -11.0 8.3,-27.5 0.7 12.4,42.4 0.1 -7.7,5.9 -8.8 -6.1,-6.8 -13.0 -47.8,21.9 44.0 8.9,7.2 2.6 -6.5,5.4 -2.4 41.4,20.8 -41.1 -7.9
-28.93554754359665 -14.458197738616006 -6.776901092186141,-20.400856898965255 -6.840543947704275 -11.486456072691498,-24.07550516300196 4.716156024408601 15.841154529112591,42.69561862303545 7.847519198035533 12.689997173554932,6.860156404304066 0.6808594479078027 1.5004586599859204,-3.2625309724360196 -6.433553649935351 -53.26992590671286,20.37379034239854 40.11794282025241 7.480360706681308,6.892081743836635 11.463812585278708 -1.418027440149358,10.833055492368574 -5.065525258437204 48.89915572325293,26.153481040610785 -58.22676609603938 -14.722501905440005
-28.437252366284163 -16.190249432194427 -5.948364217693693,-21.398416952069486 -8.839062503791096 -10.456092534664437,-23.605714949915978 4.269569866585974 15.937089517387317,43.74407445383738 8.718197165024167 13.49118306024486,5.791099811892394 0.6712256428174512 0.7364861033118846,-2.8020774477322283 -10.907194228605183 -53.1349547835914,21.10933303571271 42.15247400445363 8.226726630561094,6.004037828264084 11.444938371785854 -2.4789159721209937,9.280039522220338 -4.278558074759762 49.16660396323013,25.566963048701876 -56.0629023566582 -13.792057624198032
-27.087707459275187 -17.91411489455543 -4.5302027726936025,-22.14945612923969 -10.474420675415967 -9.209587942456729,-23.477819271729427 3.812306158899786 14.972472982315658,45.3750245274127 8.774376276363437 13.498370408932443,4.424612925344978 0.33402788941999784 -0.2615116221258118,-3.0726100378624785 -14.991697740985478 -52.96532087798739,22.22822482762263 45.237154348754935 9.368931224927737,4.830840503217678 11.164360488421014 -3.5141868499831275,7.281922679800893 -2.199973761375119 48.88480991664741,24.8082626829955 -53.25858566437151 -12.594615641017867
-25.926341083360196 -18.91150421805555 -3.2997377803232655,-22.69804599068663 -10.673765387203739 -8.700456291332477,-24.110967456343456 3.5826147245992614 13.325067442723498,47.756293472516106 7.960025759750944 12.356081877202827,3.471862507369253 -0.07888457988123034 -1.010449513535082,-4.059508122430506 -13.946915132037892 -52.75265525823207,23.29327178637893 48.26304037278626 10.517554380897275,3.9806702464983674 10.840358172815161 -4.045424734371301,6.974734741818544 -0.14217301506945507 48.40079153741726,24.50401240319397 -52.10555395373391 -12.101963832247833
-25.55282976672409 -18.814957429203048 -2.712558477712121,-23.049330184146616 -9.044689512368297 -9.364919691776086,-25.50621725118005 3.6862947489214357 11.443132921896463,50.59875128493687 6.450974437413234 10.141817432019318,3.3092366214673823 -0.4042213717896791 -1.2332630494292218,-5.562315013280859 -6.203513884100196 -52.54702018679873,24.021269893925325 50.48869390287815 11.405926729609002,3.7819674270054082 10.605553566473157 -3.8572546658216007,9.210585914582593 1.007725698523246 47.953191291039424,24.924609869110117 -53.60050341709047 -12.736311423648257
-25.599694362587208 -18.0286025588373 -2.516662296016673,-23.12283734171726 -6.691305691732273 -10.501508814119099,-26.745108378526133 3.937843810519224 9.92997615801314,52.608277567691765 4.932985046594979 7.885333577038465,3.576837161499422 -0.6734614991528376 -1.1059930922908963,-6.971860663742429 2.834191844389461 -52.52698693890444,24.46768854238903 51.980939283962805 12.037347309412867,3.9479338283653287 10.404181272029911 -3.3128121881904513,12.017833803470463 1.297936495367765 47.542299043412996,25.556977695918526 -55.89191640832671 -13.711167205381148
-25.571261546945724 -17.058992813956962 -2.366166901658506,-22.827017323913424 -4.915677746533227 -11.258100043916073,-26.788407291016163 4.11320439158777 9.408506669208428,52.35931447349355 4.15866731777774 6.741666158405298,3.8172668889359116 -0.9439340775138286 -0.8648827239809442,-7.625446408776234 6.841267716994355 -52.88773165495622,24.73298160756426 52.913999407716474 12.450997095293165,4.110302828496472 10.155528218097915 -2.851812198268596,13.051812362161243 0.9010232518494456 47.13654041758013,25.784473522587053 -56.751739113521545 -14.080248820436491
-25.192267212841955 -16.3007871238738 -2.0387708459828056,-22.20236258984886 -4.507933647274983 -11.102017626141615,-25.268874991213284 4.078204759449988 10.070032122480587,49.39565494514101 4.453717137124954 7.256039118767616,3.7801384783107506 -1.2427400872863152 -0.703164874595204,-7.223197725598218 2.636549609449106 -53.616001898142294,24.879756306224202 53.38875195505224 12.665596707130785,4.074447517346049 9.831276461599483 -2.7399943515765415,11.13706700299045 -0.06746461191008009 46.645343198343376,25.287167671019382 -55.01377828469045 -13.347907914935682
-24.74786554374354 -15.86413907529131 -1.6263926988362758,-21.62510059357911 -4.9565397637321515 -10.312822361280574,-23.527903553889374 3.9272191501951954 11.008457930965537,45.72578881916035 5.0583479867604115 8.423152565975949,3.74141347075631 -1.5201216549802001 -0.7047137275939575,-6.387766328088178 -4.967693517420779 -54.16858923214154,24.874389941388337 53.319585138894304 12.647843726105194,4.0872418978871385 9.536329295063643 -2.800744265107331,8.071011040949974 -1.6369441365255835 45.82812571042839,24.499559959067255 -52.21175536438459 -12.164290040658877
-24.61087909042106 -15.81459309455726 -1.2701389281074633,-21.52387081017925 -5.546333710969403 -9.297178527144354,-23.173902541595865 3.7903820827737755 11.14619727988238,43.743403161438344 5.043101223791754 8.995264926913533,4.059370289657662 -1.7142967699491478 -0.9362298295088917,-5.886035910346827 -9.909204161075388 -53.9195167416518,24.668217041844287 52.5917607816279 12.35631974947795,4.464597528818308 9.396416915353932 -2.7882384915767977,6.115910927561414 -3.859395069930607 44.42095329899105,23.974130798827492 -50.30162524155151 -11.358728698509639
-25.046963460142507 -16.14467021971179 -1.0922194063710333,-22.129025022586397 -5.805030545930836 -8.358709808937352,-25.153985680915536 3.763989048708099 9.836658059079639,44.9192727639279 3.852049312514738 8.160651471191262,4.964547232138428 -1.7771729709311723 -1.4033114795825519,-6.206551750155941 -8.217256560995795 -52.51076971180273,24.244394069468182 51.18423786813578 11.787017684524352,5.403186491871447 9.495199803508706 -2.5289379143585533,6.713039673734416 -6.616735727119528 42.329212384671884,24.072428623558945 -50.56889118423018 -11.475877179705147
-26.005721633670266 -16.63153372158941 -1.159114894352704,-23.08613258124786 -5.97663013238734 -7.497156540657308,-28.464998462497995 3.844538781794013 7.704321158681067,48.00235504955278 2.0308682868511854 6.393471565146618,6.31075632978197 -1.701030489000125 -1.931356580275015,-7.016994177022461 -2.0893898980786076 -50.37459723933181,23.679925506844743 49.352303449919134 11.046262434603678,6.748024391073941 9.792268053296427 -2.0624815836463,8.882428023232578 -9.289345788214328 39.95764458926425,24.592912620682302 -52.32178633585228 -12.220820854190364
-27.37877899271209 -17.012841025373564 -1.527083044879454,-23.933488672241765 -6.436529670680707 -6.6565138239639,-31.746023585770395 4.010223012748837 5.606836740630276,51.24230946714266 0.3273154947845473 4.403770836892422,7.882701868989069 -1.4855556375487469 -2.3127065571246264,-7.834461703193241 5.145332458577757 -48.08821667807758,23.069031586280094 47.40193499048762 10.26061852045343,8.279617958956889 10.22445193127825 -1.467614563147186,11.19994710333202 -11.16560124963234 37.80259468293074,25.230747273542807 -54.50582774482903 -13.14463234771386
-29.05776091897578 -17.02624955624774 -2.252381510778262,-24.20938848164631 -7.560126361152732 -5.780776760516776,-33.63614375016004 4.239233472289895 4.401854966870792,52.88879546552732 -0.510851715701802 2.901594914541408,9.465088136160558 -1.1304347299697755 -2.339702835669756,-8.176052840915172 10.157847139875154 -46.22884538187852,22.505932540080344 45.639109953350825 9.55665046281108,9.778473928051453 10.72858170401534 -0.8230819165683422,12.24146804130896 -11.533878107791026 36.36040743583383,25.68109706548574 -56.066532459571704 -13.798384286024238
-30.934292794169178 -16.40941673939539 -3.391267944876128,-23.45212719553966 -9.722817404145252 -4.813940451975581,-32.77444165509415 4.509761891134511 4.947025999346186,51.19147249353651 0.26412400337555497 2.596989426206343,10.842619417697277 -0.6353540796559425 -1.8046868414487558,-7.558866102435128 9.619090776715312 -45.37370070457315,22.084848600551606 44.369805802018405 9.060922782414105,11.02509903088879 11.241487638068874 -0.20762870761689553,10.582861964439545 -9.682552359107758 36.127427618136075,25.63912647985638 -55.94941752849162 -13.733149294870085
-32.9 -14.9 -5.0,-21.2 -13.3 -3.7,-27.8 4.8 8.1,44.4 3.4 4.2,11.8 0.0 -0.5,-5.5 0.2 -46.1,21.9 43.9 8.9,11.8 11.7 0.3,4.8 -4.9 37.6,24.8 -53.1 -12.5
