-20.6 -17.2 15.8,-14.3 -11.0 8.3,-27.5 0.7 12.4,42.4 0.1 -7.7,5.9 -8.8 -6.1,-6.8 -13.0 -47.8,21.9 44.0 8.9,7.2 2.6 -6.5,5.4 -2.4 41.4,20.8 -41.1 -7.9
-26.4060851745252 -18.110242765881114 14.130113157482104,-15.734918043337922 -9.338102597172973 3.9816364549310883,-25.232394939902505 0.7881806773518905 17.791635598555064,42.09061141532977 3.881851060091316 -7.0741808687039285,10.825347527104286 -8.180152005705722 -7.252220480903977,-8.153802346163971 -14.016002860079064 -49.32815274780154,20.8347171504719 41.25320847042198 7.945698557119676,12.162149854432787 3.7049186419355857 -5.310175118070365,8.413999342360059 -1.9591946664461553 40.52393933226213,20.962133849078636 -41.392378039117105 -7.970020903973996
-25.962918600528155 -17.708446747348468 13.686630325829201,-16.09426364481553 -8.473905238077691 2.9267843975144396,-23.42516695273365 1.45243340647434 18.196292516955506,38.91618466966134 4.848267515023506 -6.2543709084193555,10.726077177226884 -7.995716145209008 -6.883077507077621,-7.808588998850761 -10.98469175832266 -50.15615792469789,21.24894321659345 42.362134242675474 8.328633216105,11.965393644663646 3.9205761803739136 -4.836077609587211,8.84820036989509 -3.2317796629114133 40.794350628245574,21.14886153267282 -41.922186268080104 -8.14163154652598
-25.57561696839211 -17.97696832643749 13.808068419657564,-17.481666265118015 -8.024810348418692 2.132056629523786,-23.641678781669714 2.144556409588842 18.216135253193677,38.89137990870586 4.504510170159773 -5.994669688260352,10.38163103266234 -7.851456439403331 -6.550180076619903,-7.670109734227947 -5.710968232295981 -50.40248418928825,21.58778455569804 43.26198997070844 8.646879834013095,11.531035974487054 4.043742067515492 -4.660175814332293,9.712928411533317 -4.950186963690113 40.07978920954674,21.51063030345749 -42.94286128341276 -8.504248245593951
-26.26552753253815 -19.074039298783504 14.370975935695713,-19.078002194522995 -8.303021003197061 2.0355140340940117,-24.908211140077047 2.467435832804707 18.21751065575015,42.0652765778112 3.266791132944809 -5.995565701674291,9.492457714071792 -7.583906779387755 -5.973367223655386,-7.621621723502652 -1.9354617200963111 -50.2416008563279,21.98694128124166 44.37888429533132 9.062882515302416,10.541217106730034 4.198315309013183 -4.669534138724908,10.664764056235548 -5.961521178582471 39.56937159948667,21.88302524619299 -43.98096506963988 -8.882119539356744
-28.97511360177296 -21.122477332389025 15.244024193127354,-20.08801803836524 -9.58439600423048 3.0327192350736234,-26.25517060649952 2.053754883667768 18.548042642696146,48.363844087321446 1.5679556817042903 -5.962490811891348,7.801260562127667 -7.042832220923201 -4.896175589959429,-7.5467829044512635 -3.179994277601191 -49.85080525048517,22.572919818931 46.11054035255234 9.728120629500324,8.721644273498868 4.500904625394739 -4.747394894245799,11.367154048889153 -5.1879718841252656 40.38991080074224,22.10814128090172 -44.582914417030445 -9.106591577838344
-33.25383971309636 -23.732016999241164 16.235472514924997,-20.287948608484513 -11.586104304911128 4.836138349669771,-27.130064084526126 1.0535040038536327 19.12113781842338,56.070733158045705 -0.09203065033154136 -5.792527619781264,5.740781312601927 -6.316774513706211 -3.5020704358288084,-7.377706288384926 -8.839716557315873 -49.340670719456,23.307785185437858 48.33959265026913 10.5952565062242,6.51580141842065 4.928432156650337 -4.765585312875599,11.633731281003824 -2.985880169563474 42.3881222191309,22.174085167249878 -44.72945640630731 -9.167211886746143
-37.54952915716163 -26.10662546304667 17.105803910005903,-19.905985310529935 -13.583479737597786 6.618016425134721,-27.310258726896116 0.02578166706553227 19.506805713106036,62.17078072527132 -1.1601208464705053 -5.534324084166425,4.289472704743132 -5.683109927627862 -2.3224308326994225,-7.0848251699352005 -15.0462361849439 -48.769002520510845,24.02355530588833 50.54132223007678 11.459719707859842,4.934820100527504 5.347350097070418 -4.586905107933646,11.396902082442242 -0.8457736660729824 44.39836694933144,22.18443588803985 -44.74482453913325 -9.17864020596096
-40.345168118775575 -27.47584487098456 17.62301493717436,-19.189501485777033 -14.866528456239646 7.565878939817298,-26.606721144962 -0.4827954717844939 19.29438554996068,63.781363995183995 -1.1161989317256855 -5.237937223227565,4.383048793811318 -5.410056768972704 -1.8697974461763376,-6.646437978974173 -17.996249433923243 -48.19549485461918,24.55150998250839 52.188381198408685 12.115761950076822,4.946049536449557 5.626800801074588 -4.086015545089833,10.61574145876571 -0.21506754833612704 45.28025830990359,22.24188781975354 -44.94934206268659 -9.25428864282358
-41.38454779273564 -27.77754001400854 17.72550243236933,-18.51803950159409 -15.241933174294449 7.447596596642385,-25.305615294466364 -0.3826889570798582 18.62794508250638,61.266395135990045 -0.10450655080576815 -4.900671867124726,5.843388687174068 -5.489221313574445 -2.109092396269572,-6.172604563153226 -16.86635648177199 -47.744188610806425,24.777291038001874 52.9175795909494 12.417845665239483,6.37126089701061 5.746204699984373 -3.3715497409226307,9.701983470677739 -1.1095837020909083 44.91558836574918,22.37110741122972 -45.4065158426891 -9.417439421270046
-41.55185255955053 -27.590250735792477 17.50578961376007,-18.390688090984014 -14.983708526501427 6.555960077613537,-24.122919265071346 0.00221422853769513 18.153301843858408,57.926264453692205 1.1298057906760413 -4.472118698886985,7.48491215112849 -5.662015340804396 -2.5099189766701464,-5.8925624556377665 -13.5284688978248 -47.59732600502868,24.635710529346117 52.514207646440326 12.274893642770891,7.9960545044211555 5.784728313085548 -2.7637674333437787,9.476790518588786 -2.250273499010558 44.11070584808292,22.5261851568382 -45.947563335262124 -9.609852639254001
