6.7 89.3 0.9,-6.4 49.4 -15.4,38.1 -28.3 -1.7,-68.5 93.5 -61.9,-21.3 0.7 -11.1,42.7 58.2 7.6,22.6 133.9 50.3,-18.5 9.2 -26.7,12.3 -26.4 63.6,24.1 -50.6 -11.5
-1.1927719955170977 95.46535504830446 -2.1623903958270043,-3.372852168667955 68.16106158559873 -17.50591120939881,27.62739568292317 -23.66876802848749 -1.896128227189877,-64.55043667715863 38.114534836732545 -12.83644376015243,-19.74992180645937 -2.7955368605282565 -8.144950919554084,32.704791965775684 44.65327113143617 -2.30095974748649,27.667869785617622 115.18517544503408 42.317278262269596,-17.454995066717533 6.732278460701493 -20.821345357300828,17.29093639159177 -33.65121026742643 55.19411892553959,16.842543407009487 -31.57318270989079 -4.736965766966027
-1.9384985015594163 95.13913916149855 -3.5132481672589617,-3.8405147263771235 66.20900495083919 -16.825943152173338,26.171492392153603 -22.146274429296522 -1.892926389260717,-64.84238962438432 29.980893576958472 -4.91533158076615,-18.31530015640744 -3.6091585245010305 -7.01200776572954,34.080496959637465 49.29033500389338 1.8689377023273168,27.015916483735307 117.63270493189113 43.3622387423034,-16.23414294089091 6.15200491567912 -18.600154810284778,16.34081856174406 -36.499535399642134 53.84575461244104,18.003824963255152 -34.29779097762282 -5.6187578414536
-1.7471930804532714 93.3894891715264 -4.360459873738962,-5.03374371223732 60.7973164949714 -15.449309385709677,26.1205044127822 -21.533374562627255 -1.848010819629663,-65.47376685008058 28.232848028568977 -2.1766634951718196,-16.166278528734047 -4.219010852419932 -6.803794767635356,32.47842931683661 59.25693892229972 8.409122091566012,25.465329272711898 123.70767958768998 46.01402293963362,-14.165574452080001 5.795374620488132 -16.865586969650465,14.691969129735906 -39.40310108084762 53.86196754894332,19.375381316496227 -37.58447751406034 -6.706659848677674
-1.1948755468544046 91.76528986251675 -4.652119483011541,-5.9449905745161455 56.17118117693363 -14.397240482421868,26.680994012627956 -21.461478973281057 -1.7544232382196927,-66.16489020754776 29.865338291188877 -2.7509923675815937,-14.739106693680657 -4.452807633610099 -6.910309670608643,30.761483898651537 67.4367286140073 13.411920715657336,24.126430038337432 129.04879288082535 48.36865347875407,-12.744235027301984 5.6768290596104265 -16.111453998584626,13.54418588620756 -41.22847188483242 54.25952005072353,20.353877260210425 -39.94701320900236 -7.488268868227263
-0.8339217149028031 91.73867375104136 -4.347106988358699,-5.62147943017497 56.356767282495646 -14.633649022431575,27.090419229503052 -21.571246738620385 -1.6078471906620335,-66.6478714043564 31.97087225936827 -4.815264143402252,-15.379473237485445 -4.155732444493855 -6.749780674682734,31.645130174157966 67.08570379342208 13.177369405696409,24.049435588583663 129.52719772835226 48.62274374309394,-13.372722587827218 5.805497777090444 -16.783484744230822,14.023222381473033 -40.917561687429355 54.10194974909649,20.367285880219036 -39.97666484390579 -7.478722077400182
-0.6955584449335555 93.26527117897619 -3.505295469448366,-4.171654688312249 61.105998860326906 -16.01862010979321,27.29731412995547 -21.836701484584758 -1.4673550560716775,-66.88622044447315 34.14123642542326 -7.975212272194016,-17.76830041167088 -3.438288838249902 -6.400452181208146,34.8254595240889 58.71900025496356 8.00829757456772,25.108341855189266 125.5825774405873 46.95540788768381,-15.732610901619651 6.136236528949288 -18.608687959470117,15.90628464903203 -38.72163988909268 53.4779658916868,19.42424492029842 -37.70706431582263 -6.705152612325691
-0.39886637388118634 95.10139962473195 -2.266427530466612,-2.543217811901442 66.79055021024674 -17.53928626518669,27.812561217874258 -22.49550535870823 -1.442149734090156,-67.02644670903814 37.94475053147233 -12.96651466484516,-20.26994415272019 -2.6208064180077137 -6.462536798072182,37.61071381505407 48.592579901757844 1.373109938995087,26.246940480917505 121.26759878358729 45.11360396312136,-18.144416403633716 6.580979106959351 -20.745678715550508,17.904091373473083 -35.92746858506467 53.287025990918835,17.992605836717473 -34.3125257218113 -5.599601264205749
0.4229909540060801 96.02166378980871 -0.7749851525977156,-1.6686236343200227 69.8377290012399 -18.201496553785567,29.127603668798535 -23.771119321458883 -1.6335817082207638,-67.20935118889189 44.876869081694956 -20.464033385261196,-21.284776374463075 -2.0177741415085806 -7.511528001628655,37.37853331452255 42.870351127568405 -3.2998639159873466,26.428552701133956 120.55915834064973 44.81165138969433,-18.967193923394515 7.050777833853071 -22.36809173789601,18.75413740088232 -33.804339832034564 54.397022718058714,16.54348451011658 -30.972520657403837 -4.593413485585139
1.6472297377955374 95.78691525402428 0.7751145488532899,-1.7428350842899794 69.53362221673072 -17.833424214033915,31.0614979985665 -25.473465282595125 -1.9648107603953995,-67.36886024831661 53.982019695352484 -29.371182229042105,-20.603873574783453 -1.720094387592016 -9.369816176839493,34.10764295933894 42.90800947207441 -5.027149656397248,25.484746402307568 124.06344488891003 46.30582959002267,-18.022922789918123 7.46230157749573 -23.239734375033326,18.274110050817125 -32.737536881212364 56.63807394995651,15.368752438880618 -28.364249735325625 -3.890830454590064
2.708206575042187 95.05006202983304 2.145240573690911,-2.293756555770232 67.75007151577209 -17.00703147332525,32.82512962692301 -27.038420702719613 -2.1978238819725586,-67.25178296339067 62.087685789068374 -36.989106982057706,-19.276199092453194 -1.6164363515555722 -11.178612916739292,30.129438566388117 45.7122408098622 -5.036634932267925,24.03241516091414 129.33785521728055 48.53362652836516,-16.4567918033203 7.737299348792961 -23.658222797984685,17.258726497762478 -32.31276048699945 58.901634332846086,14.598155280775643 -26.710611434637862 -3.4906784240088564
