2.5 97.3 1.3,-4.2 65.9 -15.6,31.7 -31.0 -6.7,-70.3 53.9 -27.4,-19.3 -1.1 -16.0,24.3 54.6 5.2,20.7 139.3 52.3,-15.7 8.7 -26.0,17.8 -25.3 65.9,22.1 -44.7 -9.2
0.7812618228908583 95.32100083208148 2.2489765551545338,-5.250495615928804 63.06697951049875 -14.848782693232486,31.392116869006255 -31.81960751098566 -4.929066929178349,-65.79258497978991 58.2766375919249 -30.033834212794243,-20.85272945474244 0.141540218795006 -15.722460042625052,41.20217314599493 47.58879751375248 3.3416123670440534,18.521645958325664 144.46075923882384 54.03099934597696,-17.362769339050352 9.197474602677353 -28.32510279801989,19.401621861140583 -23.2130034315122 66.09412924967997,23.73725268063545 -49.32916136803454 -10.958126457263806
-0.22119317655699572 94.60478867372527 2.1134851886095682,-5.987018142577378 60.85990237299335 -14.531661986247984,30.778892811056135 -31.625538446530975 -4.169042517429806,-63.95476316509344 57.1721040649419 -28.359127308214454,-21.16526288170846 0.19130081356925277 -15.427371337765077,44.84789185427554 45.56977968201121 2.5279100038901006,18.727068918179597 144.00461684057393 53.919574339607536,-17.7217185088397 9.258733133881984 -28.074051250039787,19.758594889005664 -22.08779751280011 66.5705238429641,23.182285943727237 -47.63002692941855 -10.278988944362299
-0.7654260182474661 93.91969924629899 1.929061733630292,-6.55971512344472 58.86073070909279 -14.360973720937352,30.497881426589277 -31.2829734383106 -3.5185513025493145,-62.76076157844747 56.8869828872982 -27.64014407205999,-21.02830474115275 -0.00949866406354738 -15.153030206226651,44.76855098749373 45.31922185426537 1.6818598931559814,18.89143838445159 143.67320148319897 53.84828117465655,-17.625781954419125 9.182005371961312 -27.419761081513048,19.494297503517323 -21.631851693087334 66.80564741739258,22.037271365805122 -44.395978498910274 -9.058950880514045
-0.4162819607442082 94.1757034726856 1.6882952738305645,-6.42679742041207 59.068540148377934 -14.517566072021433,30.583109813555712 -30.990133191167317 -3.7506505408659576,-63.567949857519785 56.16125716314405 -27.212009838944358,-20.56880066819564 -0.3715153245242351 -15.138630070123973,40.28597904297451 47.18313297933962 1.8604471413677068,19.3583732205731 142.59033478532322 53.494013955965386,-17.15486154036154 9.02612245579515 -26.69683147456543,18.947907924731595 -22.17371674568995 66.71964424143738,21.262730536171564 -42.24460136258226 -8.255724253375613
0.7391616843832832 95.44757289281667 1.4382393897698187,-5.569859558911333 61.670432894374 -14.969945870675572,30.963394124629485 -30.85786184394056 -4.915680530820281,-66.30701134799871 54.790359047749725 -26.87224855209965,-19.9655315404582 -0.7733402714314164 -15.422672425975088,32.80562092485136 50.54062169876228 3.18397605119253,20.102109579373973 140.79786063199495 52.86534096787642,-16.48276704359877 8.852619954271088 -26.15110792890952,18.375965564287508 -23.51850973773351 66.37852981444124,21.24951298625686 -42.23467484784205 -8.255738444431437
1.996416882439028 96.82266157193106 1.2903385094293127,-4.589268283209833 64.71129905001261 -15.435578630880086,31.443164493990153 -30.893702276020313 -6.209546847787798,-69.22192439511227 53.81752913350544 -26.9650565730377,-19.45856063745856 -1.055654456520849 -15.80639001937639,26.196284528941785 53.627675287835736 4.665356675709846,20.660179575411618 139.4229580348537 52.362953486473856,-15.894331208234192 8.7262307583812 -25.92350658397942,17.937309805322613 -24.85251635441722 66.02077642314049,21.714971407970744 -43.58207433046542 -8.770021919124556
2.6269250595294813 97.3479709138419 1.3573859499749903,-4.110677339387761 66.14752602735128 -15.622527711868441,31.82171712949861 -31.097852265589495 -6.792504519339429,-70.48938178311798 54.333672057742056 -27.85482588686632,-19.287764406950828 -1.0600373548974187 -16.07965210969776,24.39706121310226 54.64639513269608 5.271450108231239,20.55503742627446 139.63108184602322 52.4016898793239,-15.676473822051111 8.710640720705417 -26.14529913597439,17.783045211662657 -25.34226037911341 65.88924471164228,22.339927534462593 -45.40237356655221 -9.472692621094797
2.3962280383070933 96.78150144398967 1.6511007852592487,-4.31417576593173 65.43719115220661 -15.456182333685463,31.985752632529444 -31.411656517135643 -6.408807768146832,-69.5707641741796 56.38915277643824 -29.420807685245133,-19.534094301358554 -0.7597790402176502 -16.132065622869302,28.277109557727044 53.16927011341144 4.732671230090221,19.741697365314952 141.54690067243442 53.033939503027106,-15.931659343591598 8.81699733495736 -26.794833936349754,17.97500207747208 -24.835654702843286 65.9891763468073,22.905947450272418 -47.07226239354791 -10.127112471136037
1.7382746482297167 95.84307601795324 2.046471309498193,-4.777103494825593 64.06982136553836 -15.15592485854254,31.940210143544622 -31.69684472753829 -5.592730733284818,-67.66534676597051 58.62671945607613 -30.885966486326115,-20.06351190226514 -0.3063444824908542 -15.988160175912393,34.55265769988014 50.62261600309783 3.8123519280596274,18.760330301374257 143.88713278595088 53.821779501862885,-16.51282554538545 8.98537547997764 -27.643588352757618,18.45424263482466 -24.102378839559613 66.00436781866208,23.330881749801442 -48.32166213703482 -10.61737047316519
1.1302976983520843 95.31236050966521 2.4093591055634764,-5.039109285184886 63.65941164010116 -14.959553488969943,31.69913142698206 -31.81105935720548 -4.92923453584061,-66.08398484064708 59.60512976954707 -31.435832537451702,-20.726432744400544 0.13683249052816202 -15.682692573233329,39.67516678811228 48.55062770997862 3.337717287636014,18.186825919359308 145.28226126322156 54.297159448304136,-17.25483542949258 9.151105879807814 -28.44890182652632,19.151787159823883 -23.967049315030714 65.60159960198914,23.542695787674223 -48.90741451640778 -10.83703003732077
0.7998388069443193 95.4632228589484 2.640356300452106,-4.945466013387568 64.63614197886812 -14.957706860860046,31.319140485398282 -31.705787152358063 -4.67982268473151,-65.43068615945461 58.83871909070727 -30.80498958508898,-21.356146433612928 0.44702934470212957 -15.289418244791689,41.89731326701582 47.6748424322089 3.5704147063296827,18.248031735138735 145.18508534730043 54.27260296668429,-17.97079414830392 9.26756659177135 -29.000896949965508,19.910486950700577 -24.624720658225428 64.79571882276085,23.49580795976097 -48.697180150080335 -10.733945095167913
