2.5 97.3 1.3,-4.2 65.9 -15.6,31.7 -31.0 -6.7,-70.3 53.9 -27.4,-19.3 -1.1 -16.0,24.3 54.6 5.2,20.7 139.3 52.3,-15.7 8.7 -26.0,17.8 -25.3 65.9,22.1 -44.7 -9.2
1.1114794779955304 92.17979988303149 1.497656164186154,-6.889009514089932 54.864799305304004 -14.554447182306989,32.55833490890533 -30.217479259233517 -2.6442940659638188,-63.844075918769754 67.29496240362043 -37.123847850905975,-20.94997374132486 0.033474815190542864 -13.859735824308558,43.362630126143046 49.30070921433579 3.0534460400141175,20.152739360364382 140.43528511680114 52.70862718905664,-17.737352285564505 9.122080652467309 -26.749303928538225,17.157823876100274 -22.73108219729252 66.0502573200753,21.963151387984922 -44.27409459717745 -9.035824665057667
-0.9445157774833978 94.20039282073502 1.8760098953640636,-6.522115929338932 59.323113723447676 -14.384315973584,30.209142851216946 -31.274927171675163 -3.671170989779855,-62.825933536052766 55.01103441670056 -25.985671144173885,-20.76242033538052 -0.2288335109256319 -15.329401883601776,42.55504684736141 45.69509199583788 1.4185132762142165,18.883177128909402 143.75752003192252 53.8946800271462,-17.328680679862053 9.095763849997095 -27.08909570890503,19.515986961560056 -21.7037467928684 66.88828105170876,21.489416174188985 -42.86661208175519 -8.486895737105149
-0.9110082471185079 94.86938894075702 2.1961201876208767,-6.129025536324458 61.43287351063226 -14.446692900605974,30.101206062230638 -31.790280548254657 -4.219511042218325,-63.38886399283075 53.64937971167348 -25.05336538207841,-20.600511156970285 -0.20527347344027505 -15.90598951804697,40.95144623109996 45.960503211453045 1.57396069431085,18.20167978091318 145.43592107682917 54.447118039126565,-17.087475007596097 9.084438219659717 -27.601710268626245,19.889256071975126 -22.00508913386459 66.76302032398301,21.989506705285763 -44.332596203886766 -9.05788144070127
0.27768922453135625 94.97853806319222 2.359029639613571,-5.618821316017711 62.415948423419124 -14.69349009379966,31.11826555204312 -31.891307524386143 -4.599910370074164,-64.94696577232735 57.52688309207426 -29.084407072840904,-20.502975670424664 -0.06167936111017433 -15.911288519122047,39.24441942759709 47.98531823423698 2.631485579913243,18.06613513374466 145.66365731416917 54.46849675191259,-16.993701931318107 9.087436655006384 -28.054599669433095,19.263692103010786 -23.029280026595323 66.18075473791019,22.90503255935828 -47.03256453869845 -10.110296302781942
1.4271445798847242 95.56085324650581 2.2649788854261614,-4.862762510948395 63.93333881232791 -15.06209687952954,31.83447642990756 -31.776065265704602 -5.229296657422865,-66.76820855948353 59.36354062811373 -31.375649173201232,-20.5092713134701 -0.005069239794967154 -15.790867499257402,38.21692536776602 49.10984674318801 3.470822233126109,18.371334309058025 144.81436278151818 54.13186519206721,-17.00756469458867 9.103190447703618 -28.190169004443913,18.91443007970542 -24.02055121253818 65.77358825088015,23.556228957537606 -48.96980796700065 -10.866435359536311
1.7388226911575437 97.13705404269467 1.909667811455413,-3.8664816001890245 66.84835432876976 -15.471605998371595,31.37871559917109 -31.607892966431947 -6.277522533455079,-68.23957087727342 54.93122564513402 -27.978039879907854,-20.638588661539163 -0.1436497349984534 -15.837859425853617,38.319383021556774 47.78745994025016 3.404199473820446,18.95974945796802 143.35207108087565 53.624761675103336,-17.10061424385925 9.129787427327356 -27.910988782261544,19.611045210403873 -24.484043960275557 65.89932129691965,23.532601212909356 -48.93302956542554 -10.853776049215414
1.4208064094107422 98.92528901811907 1.5315135175765011,-2.977271999280389 69.99607520673976 -15.79458880914821,30.290310232339962 -31.46185499069387 -7.286221074109626,-69.05062626012277 47.76159509654079 -21.945162609593996,-20.858587231285423 -0.3343868969852287 -15.957810373474459,39.15668648061012 45.30162862205452 2.8435180985390724,19.54082513673888 141.97066813179998 53.171565364895855,-17.273254494343643 9.164442127680271 -27.52687032262203,20.837662975094634 -24.58829498571002 66.21830293446868,23.108307878647032 -47.707942181615 -10.375760637329149
0.8387766158720622 99.93999926302628 1.4068421377864548,-2.595798946191666 71.89434269469236 -15.896384585126011,29.329301615228108 -31.399155381583046 -7.698820792035323,-68.9384941616295 42.60032312319362 -17.42621655931382,-21.128856227058176 -0.39496000253851465 -15.995599991489062,40.20143226118197 43.37859383959601 2.3727485602740512,19.80329570700716 141.39973780473858 53.002326753796005,-17.53039494106285 9.204231446139069 -27.411267878774066,21.87725679152307 -24.605665182697606 66.28179981993776,22.664636136941304 -46.39274127269385 -9.85725197275215
0.3255959120561386 99.51735505125583 1.691089820214269,-2.963902877020608 71.50415936038009 -15.707486229194991,29.075180773865167 -31.43453583785136 -7.165828024213257,-67.84226065221814 42.86360236459979 -17.437964727063925,-21.407554933292975 -0.21059102049486703 -15.82721689122319,41.05211849381106 43.26160281768861 2.4197891227014128,19.584939041683423 142.00453486879226 53.22634386958502,-17.86152128126928 9.245131951844417 -27.781379426649465,22.179031872609666 -24.739487273595703 65.80240154545866,22.483792533831643 -45.8062297992641 -9.616149332919312
0.11734049163837507 97.9423579862954 2.183168617936236,-3.855024233005645 69.09348208369804 -15.350535221929906,29.574966854836624 -31.445713099969915 -5.948455059779521,-66.29664397794744 48.04676976857734 -21.657432843316954,-21.648625569632358 0.1343037716256899 -15.420395037680759,41.67854750578636 44.769475972269404 2.9522559536788293,19.16308640264502 143.075848725015 53.596796217512335,-18.210631941270268 9.279875168238604 -28.39357794111235,21.68243784579988 -24.98951875325233 64.9684650982562,22.55577881537012 -45.943237120871956 -9.654899145822846
0.4323317724213287 95.67406600841728 2.616588782864066,-4.9566788187214215 65.17001918698267 -14.983421329354313,30.77800083803914 -31.285267657591383 -4.419943836937743,-64.94562685720382 56.92590928461608 -29.148995668404908,-21.805236765274522 0.5187673217792992 -14.759698426324507,42.11863472975037 47.459732785564604 3.853329755051837,18.895701984424722 143.70736576982694 53.80153590104772,-18.51338103210481 9.300597338286444 -28.91970133892078,20.416856178113868 -25.318172693694272 64.05562359921974,22.816993842156457 -46.64744051963341 -9.918080265222713
1.4888911722075426 93.1715370578938 2.724860566909489,-5.956382438742623 60.24147899257031 -14.764034317491761,32.63362370336941 -30.805780000368436 -2.9535362938915024,-64.43319200837374 68.27710486220607 -38.977027962659946,-21.8305571494177 0.8218425779221186 -13.82969105261715,42.41029559834561 50.88989273980057 5.006191228665996,19.14074998155527 142.9927723996483 53.52841502366094,-18.705422664811937 9.299434704952745 -29.031587536832824,18.411668336571786 -25.68786216694833 63.339510169238636,23.203836474790393 -47.76251727766454 -10.35027154487888
3.5053401087996017 90.89382907499726 2.241494221984222,-6.541650897643931 54.81556982279726 -14.85026395236581,35.09117643072416 -29.859830617953747 -1.9224743688443793,-65.40332214984366 80.8764404508375 -50.205904486414376,-21.677755351260124 0.9225724880103023 -12.614936912021395,42.59144554421466 54.617475317203635 6.294021076366878,20.256194588569457 140.02575501089922 52.46528568882178,-18.722410950430664 9.268523511202327 -28.401074451606533,15.696255788193755 -26.061000245041313 63.09575792920228,23.652705573871668 -49.132144677081406 -10.896051838551326
6.7 89.3 0.9,-6.4 49.4 -15.4,38.1 -28.3 -1.7,-68.5 93.5 -61.9,-21.3 0.7 -11.1,42.7 58.2 7.6,22.6 133.9 50.3,-18.5 9.2 -26.7,12.3 -26.4 63.6,24.1 -50.6 -11.5
