-25.6 -15.4 4.9,-24.0 -6.2 -1.4,-24.7 1.5 11.2,44.0 3.4 1.7,5.9 -4.4 -3.9,-8.2 6.6 -39.4,26.8 60.9 16.0,6.8 6.8 -5.0,2.6 -24.4 20.1,28.4 -69.5 -20.0
-22.656169542707225 -3.3777325806862075 -1.2930385764824837,-19.2221908602845 4.955934818357393 -4.254708959157417,-21.96262565210215 5.199740560267599 -1.2448058127974415,33.711695464989496 -4.583167336984437 9.475485285646243,12.719006902503079 -3.6626781118044587 4.023471050425208,-18.048333919783534 36.461174270800775 -25.338387617926948,28.558551382688435 70.64996180815673 20.45341685871089,11.935769887062694 7.676361925220553 3.4528166418583615,-11.868577804368169 -42.007113573704935 16.858447911802084,29.40771202313557 -77.72718825346637 -23.979262405262315
-21.47143302332781 -2.9275474832172983 -1.6714609258923385,-18.267299102953068 5.3088259083777976 -4.317972589256387,-21.110786907214624 5.489745275381041 -1.858959951988151,32.23212221328311 -5.103888199732054 10.061618045009615,11.96718249236293 -3.577505719082818 4.596701187988441,-16.73021837014976 35.17654720148898 -25.11726976518847,28.790213198041613 72.16207053254537 21.16718362874386,11.113922920793277 7.667985406847365 3.7245152120223373,-11.95658497358437 -40.96442667534105 16.61936398421859,29.53860340489125 -78.94800450081682 -24.560249722920407
-20.16591817463486 -1.6332151685391205 -1.9185531900784727,-17.0473147733823 6.404269733635618 -4.290941630752059,-19.914027452652476 6.022259870984326 -2.156732109655475,30.047831925312273 -5.852511026323356 11.039100987926462,10.937441091890287 -3.6169391930596912 5.779319137871196,-14.801429737573732 33.492113793482055 -26.186891541227208,28.867944572932114 72.4990669348103 21.33669458517901,9.911068089531282 7.495845564306653 4.501807131681261,-12.738881082803635 -40.50491706668341 17.785770539590715,29.50713629156671 -78.58689841570626 -24.357156739930254
-19.375302775640087 -0.488146315438134 -2.015583108579836,-16.186454419106916 7.322739838757866 -4.228237149750082,-18.97743893816381 6.44596356553836 -2.2246468376240047,28.319718588780006 -6.419402335179164 11.884830838556818,10.227505052996419 -3.686348308059696 6.757157795421322,-13.239344214081889 32.34446489244833 -27.235008123647578,28.882571924273904 72.37847379875672 21.28930653044335,9.051645528998193 7.327081962303678 5.188034440557202,-13.651018767258698 -40.524905289831494 19.095833216216647,29.424601611890434 -77.74618773862376 -23.92443469018101
-19.719812698030413 -0.5011244248702916 -1.953253647367045,-16.302049350426095 7.133764325827453 -4.1894950300270635,-18.909908874536082 6.408966791030422 -2.1630779573522765,28.217745958305695 -6.395760832102111 12.070872845660496,10.43040372453858 -3.6859905698009947 6.711400538527287,-13.025996072589855 32.66979124237266 -26.93645465014609,28.928643613990968 72.54811874686114 21.366614334262398,9.256747351713358 7.333139816407293 5.17847982066645,-14.110743047940659 -40.89428549386608 19.263509393311434,29.405939713096274 -77.56177957091897 -23.83296606862331
-21.0052781657001 -1.7066598818684735 -1.7737380389581432,-17.341290135438136 5.911841526007831 -4.201845713518502,-19.770446680291208 5.920617207079269 -2.0219814150702704,29.84050321334487 -5.783092290939715 11.466989876156722,11.441958563737435 -3.6102072420919638 5.638072868293528,-14.320421023286908 34.29944607440728 -25.406001154877455,28.985753946015453 72.96037920453014 21.547272449404975,10.42606932941843 7.518437599226855 4.453567485461196,-13.813209027678658 -41.3699002979807 18.123012967162673,29.469596311793993 -78.2150015912606 -24.172731832939295
-22.074707218572463 -2.987425175720715 -1.5800604236345974,-18.459091039288808 4.919599438654727 -4.253989966621689,-20.967966421467523 5.417336485035509 -1.791706442666725,32.01994308814846 -5.067989492603539 10.413124236545697,12.33371449008068 -3.5645704501609172 4.496550316970641,-16.30866176526645 35.75858449607531 -24.460785882756895,28.89759237573086 72.62720874046299 21.380847715202083,11.488208455421177 7.689925815715354 3.6855073286784514,-12.781540876394569 -41.57493674351534 16.832985130911812,29.519936000448435 -78.75862652224626 -24.465165368580347
-21.741039678824983 -3.1828178891509054 -1.4770156016383156,-18.779968782599067 5.458115890432494 -4.33187424287427,-21.88028370969545 5.351405378008952 -1.4586137644714547,33.52866104051909 -4.755072237031402 9.275105119178797,12.147631502817678 -3.658541991692969 4.282351358119382,-18.12523380661786 35.522373872190364 -25.974883993605,28.503447847486665 70.52831830489836 20.402299396257582,11.336622160555638 7.647364518362299 3.5726209865058927,-11.06481668163871 -41.133079848587386 16.60695192460827,29.45666094085232 -78.19917533938697 -24.20834499706501
-19.906322718563747 -2.1235963948966035 -1.4950350342311562,-18.083398014315335 7.541892667559227 -4.3986199425956025,-22.160043080893608 5.799588259697063 -0.9857581442328855,33.72738431602254 -4.923017429521044 8.364810761497942,10.694116256972983 -3.893509167223785 5.159710290198819,-19.103459601358225 33.151231538706014 -30.057668105157457,27.789672324749095 66.58460168824539 18.580447478284384,9.757939485396594 7.370216020866292 4.222993181424823,-9.01132635017622 -40.01848697090092 17.737176800090833,29.26160600266751 -76.35019738106529 -23.304605298713224
-17.94592146095169 -0.981607846334706 -1.563953265183762,-17.0348645493652 9.44498276035287 -4.386471288898821,-21.831670959744795 6.330660073058102 -0.3046666087014089,32.7724505475342 -5.0742967805016574 7.921135860479564,8.823111365580624 -4.1246587244122335 6.168320384847148,-18.845602807738754 29.673674614365055 -34.43126412921227,26.941561048720384 61.99016195063341 16.47102818505979,7.747050314678647 7.081039488032648 4.946250485398097,-7.374126265140719 -38.67942593054519 19.26966157214573,29.02771318643724 -74.11697033926292 -22.203148894867844
