-25.6 -15.4 4.9,-24.0 -6.2 -1.4,-24.7 1.5 11.2,44.0 3.4 1.7,5.9 -4.4 -3.9,-8.2 6.6 -39.4,26.8 60.9 16.0,6.8 6.8 -5.0,2.6 -24.4 20.1,28.4 -69.5 -20.0
-17.861256741420885 -3.0606687460549984 2.3906804023908093,-15.123611120825007 4.541867811951644 -1.4747623626589408,-21.590363134063537 5.755801776405032 2.8490061752672062,31.036031304127757 -4.42773716011585 6.818552159227081,6.93142929878146 -5.707822635461631 4.043888623310028,-9.077332008041306 18.93871105411378 -39.304333918548366,24.80721918709551 52.60166850058864 12.252034883597801,6.262963757766801 5.637000982522153 3.136679311372503,-11.178201503994469 -33.57645140374171 16.625654466786962,27.8143019881901 -65.74308385770571 -18.21109238094429
-19.16701304535602 -1.888107443372032 3.1831025066031673,-14.939399478836854 5.486055873218406 -0.6796377708571475,-19.826643294413444 5.9405371161347515 2.8278831957272623,28.162562704034773 -4.586018938518355 6.201484988968485,7.8860760598760145 -6.110939899746598 4.510488998434822,-8.910689833349743 18.768742963835777 -38.538645731806426,24.538102587718825 51.777396215373706 11.927316732266707,7.066956741819534 5.2863312359610894 3.900399873120357,-10.916932360994695 -34.16264308541537 18.85960729742138,27.248699120451292 -62.919820635277055 -16.892676659091073
-19.110275162829964 -1.1747481738441434 3.2719707879265885,-14.554002901830833 5.903318822990536 -0.1818234453426991,-18.429435152133248 5.8866868945130255 2.685204488425404,26.108386582557618 -4.4835148903650595 6.347947355076933,7.827709783300104 -6.190362661895098 5.043247436668097,-9.5889928126992 19.583297985519955 -37.65763672773083,24.848111130504986 53.42525668532155 12.703017509681022,6.925168980239965 5.0929005036961605 3.9686286220594758,-10.916146918818994 -34.950704188293834 20.816678409844652,27.111244172793974 -62.590698182061196 -16.742579686209375
-16.80814869021043 -1.3793676579505245 2.457224733372637,-13.765244462567477 5.464711332529923 -0.2413068643534031,-18.133846716355357 5.593333021331557 2.4620933801085507,25.998554898715884 -4.156965886739391 7.407656290542428,5.960548666432291 -5.847092466175494 5.556481275526458,-11.144464932269585 20.768193326759572 -37.55853021026661,25.765449580583415 57.49136992429705 14.538157722592732,5.090352268600416 5.123060672047837 3.034029640085035,-11.318253715999525 -35.354194942202646 21.726074739020056,27.55404289713029 -65.29247069202043 -18.00510767859545
-13.771556866150398 -2.552962615449969 1.2945772300095013,-13.023766460940672 4.20751521521768 -0.601670265354417,-18.65897071310297 5.155821352306783 2.262093166109881,27.299123450386926 -3.6682876812754768 8.656639767251354,3.4335059607201184 -5.26574414477498 5.699941799563333,-12.747247212334786 21.756828306707508 -37.85176830040593,26.884497167656757 62.227744169460934 16.65316276199544,2.7054383274399045 5.345781635370212 1.4882687950047921,-11.73879470819088 -35.31610164506532 21.73706792022967,28.28210300046038 -69.4010612078006 -19.920425153510458
-11.986164759160156 -4.665654648831213 0.48962584885391924,-12.909677162997179 2.2416454664939236 -0.9040816361750784,-19.522399795412717 4.688588893822221 2.201125267517712,29.147129502075277 -3.0843891042308518 9.197657188507788,1.781167652087469 -4.6871791115892485 5.070913636130685,-13.396513891117474 21.99204229959554 -37.89259551896032,27.71359742557176 65.55041518970418 18.121981622667203,1.2882197486164157 5.7107199691113495 -0.13836043392387057,-11.688824299524482 -34.88440904529788 21.181400855279424,28.91176342333494 -72.86385663076005 -21.529555247285025
-12.766885304842804 -7.532914877280751 0.5189248087812879,-13.748500795794996 -0.23180570753207416 -0.8844505011274214,-20.273113377952 4.284751945782757 2.3136121476497515,30.730181159519336 -2.490391162924458 8.4688320384383,2.0495529856282775 -4.298677113501422 3.473479085453076,-12.427784153996205 21.131961596457515 -37.1919222198833,27.919062022711685 66.08812332648577 18.338211343666085,1.8560192485436888 6.161175172434476 -1.4088996907524247,-10.866095040805334 -34.130998246539185 20.39333626833243,29.165566746200454 -74.22193428009471 -22.152655333959917
-14.944125542417177 -10.397379808222214 1.0106380947718996,-14.92276712545552 -2.674020275651597 -0.6296146849726287,-20.57634931202132 3.958453639969822 2.3320992705622494,31.423203939862574 -2.038873854479589 7.150496353869274,3.4750008657893914 -4.089048207773438 1.4777113591571123,-10.422418926436038 19.632148065447026 -35.83725428524168,27.75232601722182 65.1095091557229 17.879444380269234,3.5723892826082615 6.616899754879434 -2.2321094817230374,-9.659900550690168 -33.21626387708253 19.716470455816445,29.159440164465323 -74.21543618367505 -22.14381264847362
-16.773170456022335 -12.369084203348933 1.396541373493955,-15.596718284695081 -4.468002259536833 -0.30764611444511436,-20.124257355668565 3.7055561248862663 1.9192525639218543,30.644484245306707 -1.898032817305125 6.210532922344205,4.874939105655342 -4.001159998508995 -0.16900209421168183,-8.250170907455642 18.132756732083188 -34.04956993281335,27.600270861995373 64.49430652956815 17.597348559429108,5.171765126913937 6.992195487035177 -2.596778516187544,-8.619614776360482 -32.32108998336901 19.49656028188816,29.10037291067093 -74.09355150681107 -22.09645210142609
-16.98152370482229 -12.838427706708146 1.2520450398921872,-15.225660430093175 -5.17998086696096 -0.07750265692109007,-18.80344775254641 3.5172367864380063 0.9278043228757673,28.208170417080773 -2.1286548198951523 6.350952376075216,5.3282657868212935 -3.9750183831320762 -0.9076981075022421,-6.655378048781663 17.136635480762514 -32.125436300032234,27.75433796476821 65.62297267500483 18.116391532295793,5.677542733040944 7.226344174961619 -2.5430202192154496,-8.15489950463809 -31.577212154708263 19.947289760270174,29.150299748590985 -74.80738850042222 -22.460464733183297
-16.336656068211617 -12.40697583086991 0.7730561750957433,-14.522285480305548 -5.167711297811742 -0.058769782186657085,-17.340592814579026 3.36443501027963 0.031566483907960075,25.63851965588212 -2.327524305897649 7.125207520686549,5.043420830055428 -3.938266792601179 -0.9933994040568741,-5.840591256437317 16.553470450958788 -30.687961847044647,28.093671286412135 67.71910836010771 19.07954463727195,5.3614174278120625 7.366540449259626 -2.3326688796555652,-8.071865183730093 -30.904046472815473 20.711793100938912,29.276521811932184 -76.02035694714276 -23.06568060092084
-16.15677652224073 -12.003277449884163 0.322999867063954,-14.538746887577922 -5.002640234148568 -0.36040343417342274,-16.689159817183153 3.2126264470614654 0.12602118421107922,24.921474186646208 -1.966157129533049 7.77667034731438,4.53379114737115 -3.815211112666398 -0.9008837792422622,-5.862092990467854 16.13280950026645 -30.448412719197094,28.386105173972382 69.42401906748108 19.864800672691516,4.832092982936192 7.489112603418221 -2.287417667153264,-8.013679059219657 -30.163688260866245 21.279170869455026,29.393794203943813 -77.04822145178672 -23.574529383488418
-17.42381526894545 -12.349109466127185 0.19018285477077196,-16.02123041859838 -5.145277900990092 -1.0283683610296228,-17.51704602923761 3.0421518307306386 1.8048097760781026,27.42113354923674 -0.6992086288742909 7.723952332728624,4.228194638384978 -3.55680441719729 -1.0052299017454647,-6.716626329174511 15.74043157139387 -31.813932456014182,28.45386150251944 69.70474488177747 19.999457669394285,4.589795641936727 7.6509750116161745 -2.6413996086687246,-7.707851496077682 -29.282140328301704 21.22595103370069,29.43730489957631 -77.38348896127411 -23.737533081220306
-19.424059026265724 -13.123628002059743 0.28413353104368294,-18.173130947892098 -5.4967488496824295 -1.791013083091123,-19.052216807061598 2.908305723155428 4.139600846155861,31.36607750744876 0.8952217735052533 7.269289870111734,4.12900746470251 -3.248361703957339 -1.1787916658193058,-8.100733703397074 15.828193875154591 -33.65819684984508,28.393406178600063 69.17080555584602 19.763668153255928,4.587754781156383 7.811150007827782 -3.1872432907970327,-7.307184400826699 -28.507647227620296 20.56950411246931,29.445273566620568 -77.40987206972274 -23.74940998409832
-20.910561051057734 -13.678113484404234 0.3952648671055218,-19.712677845046088 -5.782266149204798 -2.2768045111212114,-20.06981833557374 2.8899536133823487 5.723444207090221,33.99885068374506 1.948636767791172 6.992795201489326,4.1045015342681594 -3.0174511179003654 -1.1358297851875354,-9.616552657708347 17.032259195024686 -34.37264806199792,28.387447349808312 68.94823573876658 19.674336781036804,4.607184235095215 7.897875558971184 -3.578736238891416,-7.09822222834818 -28.18978971882385 19.465833539680713,29.488320519990502 -77.79134315241902 -23.94456595626181
-20.901673061212907 -13.493498236031597 0.34991117773865904,-19.64169549865158 -5.7759832888940545 -2.2116784658200834,-19.64771852291852 3.037893182643416 5.44943514087723,33.21900681266718 1.7781076040768211 7.340493373381137,4.071619890639431 -2.9692193528557174 -0.6795945764966158,-10.888418661983874 19.73985299952762 -32.77343831161591,28.564453656552992 69.85471641294558 20.106319981441114,4.49917986419219 7.858917546571071 -3.5343193750991513,-7.302364149175552 -28.584336149071152 18.115882255884024,29.612156457340518 -78.96850415590585 -24.545049534199375
-19.981530398004995 -12.816061035746124 0.18651446123592144,-18.635595043451083 -5.541065571086437 -1.8966226879749775,-18.65010489284187 3.2373374390116467 3.981260484191963,30.80302784680952 0.7957478970622127 7.96701278061666,4.234639257896912 -3.0764884191066413 -0.13850563832527096,-11.671785846620546 22.8696603899731 -30.182546516229962,28.73282280487939 70.88825664741388 20.596214711294696,4.527347090792632 7.7572768017109395 -3.1540351845643424,-7.756517767326812 -29.393564532688554 16.985332016591947,29.715514281453185 -80.06399451848725 -25.109965067482197
-19.306297084044314 -12.171685147553896 0.021006144625982815,-17.981200075785907 -5.246263159150006 -1.8427089853126528,-18.5937621982975 3.313006241428707 2.629458360875746,29.94375627740768 -0.18627624695710016 8.23786039899903,4.902808147997094 -3.263738069994371 -0.03284298172305844,-11.77001000183372 24.803863724123012 -28.837406781770735,28.584020792144614 70.3820836668089 20.374376085858657,5.105993705827335 7.698053009527712 -2.677336883018188,-8.157124149493596 -30.117545924819467 16.636581769246405,29.643431408116054 -79.71896163551777 -24.95622310356276
-19.873808928445943 -12.013022684500575 -0.058854413765109935,-18.732594033115724 -5.062479469720413 -2.451512896515432,-20.682779280260362 3.1241071922029753 2.5094086202805075,33.192915992378126 -0.4646514514142312 7.64030389267698,6.2921784269123195 -3.4512049037696504 -0.7709626519872466,-11.08641764871786 24.260370770031063 -30.55711492694983,27.882123798797917 67.04275109423133 18.843441709226223,6.537310742230785 7.775718271611052 -2.3179409278867062,-8.24191903287519 -30.292743326803993 17.496907461248416,29.278511353019365 -76.88771740045603 -23.55780655489737
-21.580017375359127 -12.282920417348297 -0.16112297395809766,-20.32645114016519 -5.1744450884782855 -3.364466925976551,-23.949915081045802 2.7692100833542965 3.3788832612281485,38.64956532015348 -0.0936935681013355 6.507462969151669,7.972568383806656 -3.530245924422502 -1.9844579567862823,-10.215900910017599 22.28665638530605 -34.255433457051105,26.89505241897703 62.16798616229684 16.601817218777597,8.345812439272459 8.010744248606988 -2.1099745545428275,-8.035939008911052 -29.70961198708129 19.057197400424215,28.763960521226444 -72.6973990336823 -21.478518656553547
-23.854722849048606 -12.708552503830164 -0.47669467552057937,-21.515202357974548 -5.772740170403309 -3.901425868160546,-26.50934971659903 2.448146629118134 4.4213197114648155,42.52906711462137 0.5517673042114496 5.530294151852142,9.240407873911568 -3.380000654012426 -2.9763135458690755,-10.045918007767142 20.91571633084955 -37.6170266795627,26.103878095285722 58.15170936960904 14.753776658764547,9.72701768785902 8.392296792571678 -2.0115899671474793,-7.685762992786984 -28.266058306672722 20.412202090059544,28.353233095633286 -69.1943552212979 -19.743209983073314
-26.133430457559612 -13.040117945154435 -1.1538731852904969,-21.226606121051283 -6.980480887340467 -3.493370768786709,-26.71288851366976 2.3417397220979876 4.918563022378788,41.57885522636919 1.1318461880642519 5.318012416961731,9.482705168125282 -2.9087278456456396 -3.1310782516080566,-11.271048870255758 21.827603211799246 -38.62204522622059,25.925622230249743 57.07501119189909 14.258977744481163,9.979576999297786 8.895990730746691 -1.9848720146736518,-7.307287654911157 -25.952921683980637 20.7626150194421,28.268526360666637 -68.18171474599392 -19.2539654934462
-27.911842855761332 -13.222155329169453 -1.9906994515542988,-19.84029405541485 -8.369634306347455 -2.48823792868284,-24.87983609069299 2.4726112762093697 4.972918683426218,36.946774209677336 1.6014110293477593 5.801803925192062,8.834202928122515 -2.262859652376879 -2.509027987073499,-13.002096116326035 23.791114581832762 -37.69975509156462,26.247987471820032 58.43210037757896 14.881229849698245,9.254020517783799 9.387683517225966 -2.02624124014558,-6.762279835843514 -23.516888705040238 20.185929686165643,28.47354427280963 -69.44939677691579 -19.896784951371114
-28.71505755792466 -13.29410054646886 -2.614178825490101,-18.444857048472127 -9.243037749178649 -1.6817189514039854,-22.29023995519918 2.7861326233905985 5.087328430789702,31.9294182069652 2.0592595717146183 6.581768891852353,7.794767453439796 -1.705129870336071 -1.5004006584572,-13.576493452114057 24.153462939500567 -36.47534146529354,26.700206626727468 60.453994254888144 15.800401710743824,8.116856834427379 9.679637356426358 -2.1488845325990535,-5.788413103040724 -22.07373112599587 19.18778681852378,28.80576679052424 -71.80425694227358 -21.06150701379794
-28.1523359219198 -13.287520422801745 -2.699039036647895,-18.03773021228309 -8.979151234829477 -1.7893881391934354,-20.1666518975483 3.2161807570259984 5.706289267211721,29.573021654813726 2.5910713808409094 7.270650420376028,6.845160309169643 -1.473448389511247 -0.48743555728901367,-11.547581740192088 20.594664485582364 -36.43641570088845,26.940212383561764 61.50941693598942 16.261086642376302,7.110531064684586 9.609868256247385 -2.3593877594052794,-4.139899129850344 -22.576384914985084 18.260492280219047,29.106584115377682 -74.08035421827437 -22.154986045881312
-26.64747696237933 -13.151411770404243 -2.3941930071175674,-18.685488808207214 -7.707721913533882 -2.7201989504421196,-19.11076127057735 3.590200492369657 6.6810163004796,30.353968533690185 3.1458143113636647 7.625584678247047,6.256828483045689 -1.5572714130120993 0.24689345877697233,-7.61399747934819 14.116611027521747 -37.65744781705558,26.92132909493665 61.38594191536905 16.17411937727372,6.5167292426416115 9.269748334630227 -2.5991994970506056,-1.7395349801323858 -24.373885177437117 17.738871222868127,29.26360966284065 -75.44021159498801 -22.78173180253352
-25.082031841622957 -12.788368880148006 -2.115035249477196,-19.93158544966213 -5.98070368680246 -3.9298017696103598,-19.375346469066507 3.675824114564038 7.529313335238365,33.30444370600451 3.5956272600165304 7.4848535413540125,6.183588799809401 -1.8064296670595124 0.4753975104366003,-3.679985867672264 7.588014992626624 -39.418753657297295,26.76288469536689 60.66850465919246 15.824747589491174,6.470596565954338 8.893030239794072 -2.7731626052082525,1.3951410214468885 -25.91391020797366 17.86924812095131,29.19043327226262 -75.23094157352207 -22.65733199609742
-24.293179131858274 -12.134141871413544 -2.24412276366448,-21.344620775703802 -4.339430503841762 -4.907650176159316,-21.15315288158243 3.2742065362792916 7.816476389307213,37.47201209531006 3.8261334043723187 6.707574231855341,6.740518271991659 -2.069661156168068 0.010327729275002745,-1.5390712362130723 3.7127129312502145 -41.039935048883336,26.57974465610561 59.917101709534094 15.485177741927648,7.068555586584701 8.702735927044879 -2.7971792650192078,5.213142889848092 -25.75188549326328 18.873851545401067,28.813578273377416 -72.8975433473318 -21.54250591615519
-24.54308340409093 -11.515916738397712 -2.7478231383619267,-22.853175597420044 -3.1471923810698357 -5.5947673131400215,-23.984152795069274 2.583936359700166 7.70300510841798,42.26975191707733 3.889643880231322 5.384583567414811,7.607551964507854 -2.2010531320424387 -0.8847870500526864,-1.5417750409263307 3.036498632795948 -42.39996934116917,26.413435758489435 59.29872392005092 15.227604478225777,7.9758243221390615 8.778734709500418 -2.720449012096038,9.286904658063424 -23.812333785678323 20.706237415041453,28.206561337398686 -68.99908338457703 -19.708266201101658
-25.7229324543576 -11.513418749372459 -3.3239946646680494,-24.618075998177297 -2.652412281492798 -6.2235115259195695,-26.987174559940613 2.0600110189563234 7.733401478891322,47.34655641382017 3.946010441605123 3.7562148789254826,8.183888201876282 -2.0581439736067155 -1.6552710876848709,-3.1076491409335034 4.712880234441542 -43.73872131711404,26.25816950003789 58.72681008735649 14.995182558637062,8.579424316446003 9.108539356931267 -2.6781696752587814,12.945905532008704 -20.90306639610975 23.146624453787894,27.537733549398087 -64.8133812338722 -17.75484700469469
-27.695781690641642 -12.653484663067008 -3.6773241971722617,-26.77686724901319 -3.0706608731001643 -7.008828628815383,-29.324464130298047 2.1258585287415936 8.4221342571449,52.36080559765384 4.143610050307939 2.0645782568043938,7.916645354042705 -1.5189526636657082 -1.783214820045547,-5.636866141226924 7.877148937329024 -45.2826158952807,26.107220933811906 58.11416426260312 14.731593348537768,8.315793090955422 9.66842536289719 -2.7980955885159164,15.5529630745378 -17.83123410213878 25.95601609051495,26.97115994811905 -61.57237922051639 -16.26008717835534
-30.015465185513282 -14.658567939258385 -3.671744139652212,-29.084586316648174 -4.1816598596552 -7.851953628788562,-30.868813740786763 2.6999560493142285 9.77040429204125,57.04915911474288 4.443913709614441 0.5417130765232036,6.9939506245657315 -0.7492163740499334 -1.3370273163756294,-8.475175798489644 11.734863873327974 -46.984002943056616,25.951782128151518 57.424181833100505 14.41823529809604,7.382855079888048 10.298043850796804 -3.0829257026254138,16.997607325175675 -15.187287616946403 28.665412036619102,26.58825727292069 -59.6929444524995 -15.409022392006262
-32.00723415275698 -16.65650513074833 -3.2889045263128183,-31.013512053478753 -5.442942302573441 -8.422219962742856,-32.01826625240151 3.32751054048183 11.399994092905434,61.20614254896888 4.670227641025721 -0.5877857689210838,6.151700397764197 -0.1273595611989186 -0.8185366047653222,-10.928097365150776 15.54352769387556 -48.592630335195636,25.781505365658226 56.65765635673792 14.06438811300615,6.541441721331784 10.736050360817956 -3.4429154214865676,17.55872516881144 -13.401488447643487 30.635788459674323,26.40934691693758 -58.98942344184657 -15.096320013372607
-33.031073921937995 -17.80297565130975 -2.523456607611627,-32.06259549994551 -6.331366837734926 -8.400165756133557,-33.15278967951024 3.565825265025493 12.92793638009605,64.61105787454214 4.6558524468097655 -1.1156899911829372,6.095295275307955 -0.014661607191627096 -0.7165327986656075,-12.33612857888748 18.584397042807144 -49.85458723841864,25.590916226646993 55.83578485096904 13.688478533934846,6.520719152001344 10.736484800007146 -3.7882316718373747,17.521649306834274 -12.861220885489047 31.273906001562203,26.449831614009256 -59.257757549703776 -15.209125132792215
-33.14124889001997 -17.97720009841953 -1.5474017010841192,-32.30745335928911 -6.789245473048184 -7.75450172442381,-34.12612150922737 3.3332064446295218 14.043042800283164,66.75609182065591 4.4632489923824075 -1.1141658940099985,6.779673092770913 -0.3891612867893265 -1.1180791849718732,-12.661813780600955 20.528983894849144 -50.5348547883503,25.459555178791955 55.31790412603496 13.456011662544618,7.2729930505905696 10.360795171983925 -4.065037934422497,17.125268569074464 -13.27640515195114 30.848387986590268,26.664741263052058 -60.21977160139263 -15.622200161593911
-32.9792739974792 -17.67040074630984 -0.68275129765862,-32.311470495719554 -7.152590327139129 -6.697687124627461,-34.34689123441316 2.853311843002898 14.49483864608791,66.89057692198114 4.348711567504719 -0.8925493637238625,7.524998598116596 -0.904736290959241 -1.7704415421765092,-12.393850587284039 21.378894657840327 -50.414393745420234,25.538871870315404 55.74936390315474 13.656897686996308,8.093467726000272 9.930448225379342 -4.24994509492454,16.569187598215507 -13.783933759790262 30.35685757854621,26.958039870624635 -61.534599527477674 -16.19983371847815
-33.182352994108044 -17.38030828384506 -0.23981065020450876,-32.629322546296784 -7.757263278336624 -5.447390386119666,-33.244784694247215 2.3545389539497705 14.060953961996978,64.31894867308132 4.564385943853043 -0.7560761256032249,7.661455630452273 -1.2179674994524143 -2.4168869474500414,-12.026264491150513 21.170466747467444 -49.29736480667638,25.972185303406047 57.73847921520671 14.56406295859176,8.287554839473428 9.762019785157623 -4.321786795404713,16.045318350959242 -13.537023125205643 30.77852162299514,27.235511212853385 -62.871089333825836 -16.81050181423379
-33.89334086277741 -17.327893616856162 -0.17277132025718708,-33.293936952256544 -8.66709169232782 -4.167768327813357,-31.009703291581975 1.9595434600990524 13.086666403269065,59.70565075692507 5.140179878450427 -0.7592063749112288,7.169724121413912 -1.2653245769231116 -2.946000349862377,-11.809344677150191 20.46738605346309 -47.4798171307263,26.67751178555644 60.89567487525435 15.997422589699937,7.830485695325461 9.88857335475856 -4.286782692060852,15.605673261655655 -12.433872539876672 32.19577456293114,27.477240399034145 -64.15141508463822 -17.420581633075116
-34.77700456045937 -17.466471398802675 -0.09142491717723022,-33.8336549564887 -9.68281652328688 -2.9712263293129597,-28.566758027055144 1.6887174254717516 12.46622945720605,55.0303999460651 5.89107324579086 -0.7138736008457516,6.65958316003744 -1.2539595192043158 -3.3869045922802696,-11.757661303956386 20.343340730736823 -45.733508524171235,27.35497586899537 63.86630933597329 17.338781468848914,7.345278691301905 10.068985759743267 -4.177637640027078,15.166966993241424 -11.093159257802363 33.823697519587945,27.73516985878716 -65.54274418331649 -18.09113124418681
-35.48192572475681 -17.740301649916752 0.39944332416651923,-33.76730116057167 -10.600723529046467 -1.9633695647381584,-26.854362186649627 1.5558878768838664 13.079582064740352,52.27635966565138 6.6209901336912 -0.4331203235977349,6.747402787667112 -1.3969782850314103 -3.773854573429139,-11.877841439261621 21.84557595637644 -44.82613556092523,27.70264953274208 65.28881506327743 17.96713987146041,7.462272991048723 10.055807826083456 -4.032660775309754,14.64163760300525 -10.154477401132791 34.8536238478962,28.059208494650356 -67.20056152619256 -18.877415607447848
-35.75026015188656 -18.146216824993115 1.4429877417400396,-32.92244540750475 -11.392138253382978 -1.119821420823037,-26.34541735744935 1.5087754800230329 14.786094881158126,52.0290738379443 7.071021247684131 -0.03611969468207894,7.518242043544161 -1.7654208185777547 -4.1239854315741304,-12.223675468932276 24.708396686638753 -44.87258650183942,27.609017227383884 64.70507324086869 17.681060443521297,8.27953533032222 9.737309273297075 -4.015636309995612,13.977036300203041 -10.019974710389583 34.80247057943036,28.361243041750345 -68.67795800251045 -19.566419233367515
-35.42761810400237 -18.739172831083476 2.903687692483347,-31.468002571169013 -12.221908125182843 -0.2724989812505642,-26.998160983034964 1.4220145016513284 16.316810522168655,53.3288950482317 6.912789460478331 0.01950078502598407,8.469748904034319 -2.2732605845309637 -4.435504903423947,-12.9010969769759 27.214536938052888 -45.26601257707575,27.173081145218344 62.65580710440838 16.742968948967523,9.30665844120023 9.151808999621702 -4.42907219332915,13.159113855598331 -10.829281058299031 33.547116148399375,28.400564584571065 -68.86202492203459 -19.648518989682355
-34.37640720005484 -19.57203076572809 4.626825951398978,-29.5964194435962 -13.257493507725655 0.7472314859957893,-28.731306058935385 1.170542049037389 16.37666615939472,55.14273398289455 5.830308086604429 -0.7258187791692075,9.078659929844916 -2.825846386031976 -4.705399404657756,-14.011215037773004 27.61645672418155 -45.37413568693975,26.50682906342981 59.73969185267784 15.44155899178236,10.031423312094352 8.34880304748758 -5.56857857105706,12.179964857202783 -12.692999775210215 31.000951901833844,27.937865891895697 -66.64919681284185 -18.61896657197212
-32.87808605856027 -20.510796229420936 6.282826048458977,-27.71499545108176 -14.395307098968624 1.855845729364573,-30.991529659827194 0.7788860829718417 14.852865751182152,56.67632925531195 4.092958611739878 -2.1610181087537974,9.169122310567852 -3.3103476652966104 -4.9217999810648765,-15.379657404088258 25.808790917098868 -45.00119952618205,25.79882839234884 56.78470055529905 14.14838738164183,10.258066850522907 7.502733937497253 -7.214289518894888,11.183516241879019 -15.156294373142401 27.7322928745585,27.07434172216539 -62.5401380066732 -16.713605887058506
-31.743993174678486 -21.185200555734596 7.3210062179010125,-26.50270599124257 -15.189028364841361 2.6509718120198116,-32.628630829379446 0.46072858867999134 13.127561077878628,57.437411629288476 2.710306448195776 -3.4535014860814854,9.004575592498005 -3.5909465013451354 -5.061640276901794,-16.483712345266238 23.762664869409484 -44.503419064726224,25.334479640442037 54.90874790628252 13.339789452211415,10.190976837175091 6.946035996762741 -8.494532061187702,10.50568328767735 -17.049343358718307 25.137589300357025,26.341743382937782 -59.064022709614925 -15.10474182131633
-31.803654364958298 -21.216575295627386 7.188521424801106,-26.641511853550316 -15.17907551448265 2.7169133747627945,-32.47717479840293 0.43808486749571784 12.658117084988833,56.96711727743457 2.720426948907727 -3.7370160539706676,8.873251587682955 -3.5336004802195857 -5.101259675075392,-16.785142982287013 23.548331723808705 -44.26815112678986,25.399331612920705 55.223906876267606 13.488251254733765,10.057963988726748 7.014231425263433 -8.512035830562683,10.488368531047088 -17.17711000120953 24.64521338813631,26.2900552338436 -58.83534065369397 -15.003929407227792
-33.09229063197869 -20.565858292332027 5.936647502367757,-28.087530748385134 -14.344377968504746 1.9963045545546234,-30.530461639331456 0.7419378988198384 13.86210361819017,55.51177296565292 4.207844627310422 -2.7800627373512796,8.893063353600983 -3.1676067042640605 -5.023232770297761,-16.088525110090647 25.523213731483768 -44.46826179772361,25.974198777331008 57.613908635366016 14.53500847775,9.973894952577748 7.688663977963149 -7.184528357101765,11.155402208107638 -15.382444678515453 26.61790757803579,26.99747052345128 -62.21629696437361 -16.576135429805582
-34.49518069885584 -19.685647047929603 4.491266752199554,-29.746052504660256 -13.298712844805854 0.9505468183637402,-28.4593315346853 1.1267066278546554 15.65174355025963,54.338634030395134 5.876595792972427 -1.270097248108349,8.935347654322564 -2.758734486993108 -4.819161086930819,-14.694736171031558 27.565009207578854 -44.966091575171404,26.598721265218497 60.18417186556722 15.652187467510775,9.89012337936557 8.437921146443303 -5.609637535927615,12.070130393680966 -13.010782477238921 29.875665602383943,27.85915435276749 -66.30838721466401 -18.471145028694874
-34.81941441492273 -19.063736390658914 3.8383393459941098,-30.450958744426462 -12.7004270370349 0.07909722090078312,-28.048652277145575 1.3271717046191442 16.829486792095828,54.77921716161299 6.335628121847107 0.0369036098619003,8.853498782245865 -2.588820144352244 -4.482680262547143,-12.945176243330355 27.380900296749022 -45.599247218710566,26.782661411689297 60.92017939716527 15.96016683443715,9.74588793346324 8.695698329637867 -4.966931519957208,12.762158282937367 -11.514206310293007 33.12207671326458,28.2224915342987 -67.98515384927529 -19.232911770804467
-33.73148483172015 -18.949098689663288 4.354587831903445,-29.824482072102423 -12.835588202643763 -0.3038033232375898,-29.82707246956716 1.2241397083871797 16.78296302667836,57.026917939771124 5.136518755895791 0.6323858586162948,8.599555888294795 -2.7621277002069577 -4.104031527564873,-11.303486535775786 24.392260892063764 -46.17399773008896,26.374171452205537 59.207610164473756 15.193909225930643,9.530071312587724 8.276868031657115 -5.678937218685887,12.928349824930555 -11.547947836227213 35.376364421307244,27.847916475934095 -66.10257010979933 -18.33337462180105
-32.32474898177901 -19.194190262180012 5.405219768761335,-28.797751333392853 -13.37217015019532 -0.19142757679234973,-32.237544606637115 0.9408635325831626 15.87137376385614,59.38551364630998 3.395889078259641 0.4185907296316771,8.289337819790328 -3.0880985539084707 -3.933850023478372,-10.43626475738278 20.866531152158846 -46.44458214679891,25.783231131259342 56.75688355194149 14.108768909305432,9.313980020729424 7.629169704694508 -6.9112687449294326,12.543268063630858 -12.44422950192263 36.181798637629896,27.18164831210335 -62.8080318106196 -16.7852032974472
-31.821121151077758 -19.6145292414402 6.262908713717387,-28.42061933616027 -13.921412670347193 0.39303860087229175,-33.53419792438636 0.622983730978116 14.545070305761172,59.99017282843304 2.372411313120186 -0.6612585994639832,8.053270291842088 -3.349162466218749 -4.2360804801479395,-11.02375953027099 19.326632700260305 -46.16217415140536,25.470645116511886 55.48855311226985 13.552297834736105,9.176050200181777 7.257812440543122 -7.715202383975635,11.608916781703392 -13.41310808683506 35.13645917046062,26.732382066977685 -60.548846319007076 -15.741373101892322
-32.763750082052 -20.07640486550787 6.522542338001036,-29.21068051644172 -14.269805918722893 1.3218941272131162,-32.860290567144524 0.3626092207698511 13.20287580578637,58.061535551903354 2.698892275731178 -2.4081449198428713,7.926898612009524 -3.4169942901987356 -5.068632162856704,-13.122907500748557 20.834459249858238 -45.28708568681655,25.653311503955408 56.29459310522874 13.916496444763249,9.121804613306358 7.418060551672899 -7.615738293508637,10.270303942718105 -13.956976035742994 32.452240644893855,26.760797396215832 -60.58863508541632 -15.791172243118062
