-0.9 -12.0 -2.5,-1.3 -11.1 4.6,-11.9 4.0 6.6,23.6 2.9 4.2,2.0 -1.7 7.9,73.1 -39.1 -44.2,29.9 84.3 27.2,2.1 5.4 -9.6,53.2 47.9 49.7,26.0 -122.3 -45.5
-0.9705901745366169 -12.256496278245947 -2.5028571579268233,-1.2070515573521081 -11.316467413877763 4.505341760476695,-11.978220507395378 4.016135329799249 6.7551600708527175,23.577836972688207 3.024728173795789 4.1761899818447725,1.9582217527378183 -1.6841062207848716 7.763384928089183,72.53957381110986 -37.6510022184664 -42.61988106489655,29.89655287506524 84.65708893529609 27.371679604523724,2.0654406124501623 5.404514275131921 -9.659866387885637,53.286997037164625 47.87712356465899 49.540064582455585,25.98407706128526 -122.5561325021502 -45.62455367687317
-1.034593704647781 -11.868743789340558 -2.4839565288078775,-1.1854080558230977 -11.044449700645895 4.513636807192742,-12.034521335460683 3.962180822737587 6.632690349540487,23.643233874602153 2.9748126290932557 4.213027802040844,2.0999885491835646 -1.725744361772596 7.841148045150902,72.65916981055389 -37.83427154008967 -43.15549266965637,29.902001191876323 84.7911269471747 27.449417962269536,2.1882368513938357 5.389107744531151 -9.523722078881338,53.30455193526591 47.40588092173206 49.196009341753935,26.025810752144515 -122.41331688239468 -45.560223390111744
-1.113848234789667 -11.256055653379493 -2.4203123536881224,-1.133287626379118 -10.65639178404398 4.591871020382207,-12.153667204922646 3.8443754182416563 6.4749245059041245,23.826271459810876 2.91658900461719 4.206331712444383,2.441616345471902 -1.7984746497685615 7.929002621337874,72.77375109296091 -37.6384408885906 -43.625854678226275,29.90271200219699 85.05613743442541 27.58331071802187,2.4957431441483013 5.35341189069983 -9.336327254490724,53.27980026533155 46.5617754940493 48.66124701089824,26.098695440670596 -122.169801691065 -45.448742499199184
-1.1797832935952717 -10.69127037927232 -2.340590851011016,-1.0546130340463953 -10.312441954882887 4.717458798404384,-12.349847646287085 3.7327939073902514 6.341486157807295,24.190244474466944 2.8463693017857867 4.152356463197638,2.867576082518475 -1.8711768667103301 7.990702944542703,72.86509253738005 -37.20076923596057 -43.976455388951436,29.901023918574264 85.2711661745379 27.687577477319543,2.8847874171432464 5.3153836293564165 -9.16434847010316,53.189221085095596 45.68168074378723 48.16884128323241,26.171368646807153 -121.9144844804062 -45.34026055957402
-1.203984991430701 -10.448599641396392 -2.2746555626386633,-0.9535772428621666 -10.172954116726165 4.8660591402026245,-12.636110548689345 3.6983175269963517 6.291720048847026,24.796254148612338 2.7604645790677775 4.048840836164133,3.2602613819023483 -1.9123475282595206 7.990606922472386,72.91678359615979 -36.660481292822084 -44.153001517282064,29.89950760354446 85.25466893970243 27.676352364449663,3.2504355307069486 5.293401209437415 -9.074507897087239,53.01036384532408 45.104509304682956 47.95205677037425,26.212091875573037 -121.73738438991367 -45.285374252523496
-1.1906875964835641 -10.566499561103106 -2.234469830296348,-0.8427018496666108 -10.258540030853279 5.0146440056698935,-12.976478040523594 3.754787476972372 6.327877483314626,25.572564651062287 2.661507795345279 3.9102558357300956,3.5627132120249105 -1.9155191789331785 7.937778841918227,72.92742866738199 -36.13014293167106 -44.17907005332998,29.89927420112559 84.9902895868834 27.54362901793741,3.5427440266707286 5.291739545037558 -9.074069718853167,52.77295306854301 44.927509594742766 48.05169634449569,26.214658492972248 -121.66076487827785 -45.28976221781542
-1.1827237789608445 -10.804703409170006 -2.210834419710867,-0.7443550073891444 -10.424600808178097 5.141737607504538,-13.277011368202905 3.8486091684329455 6.384710841518052,26.29039305718394 2.559605999003914 3.7708541965447644,3.789673085215796 -1.9038232984168735 7.8941372671520975,72.91338362273052 -35.69080251773691 -44.17030039952391,29.899709334317567 84.65696618044848 27.377815274269373,3.7767823778734915 5.29799983190543 -9.100003698677929,52.56839744353966 44.96222164366303 48.28102429402712,26.20304699949619 -121.62678500684186 -45.305998579061814
-1.224098958187619 -10.911326238364271 -2.193533586827444,-0.6813500953658621 -10.519538528914113 5.225997323357676,-13.441494214721843 3.92312864593252 6.394371273424025,26.714534484830445 2.4654358801837293 3.665781191730239,3.9588591714810013 -1.9016296226937066 7.923325775645123,72.89176600610183 -35.42201121902953 -44.24545570885926,29.900108023020618 84.44207277647033 27.271362099042957,3.9700914271841095 5.299075154521887 -9.086549071710802,52.49019726595226 45.00771498297638 48.443567121342625,26.2024686151731 -121.57446506448606 -45.284690498830656
-1.3137648037741159 -10.825467837968018 -2.181120622191466,-0.6712372804523484 -10.500164130023027 5.247937187270133,-13.419332195595045 3.9573046069034272 6.344320359850962,26.722699444643798 2.3955620187724707 3.619526344495744,4.038343686768811 -1.9132165873594733 8.032375408987413,72.86845646377873 -35.417092093517745 -44.42977066299152,29.900150956667396 84.41176546422717 27.256615899414665,4.085485953224799 5.29272538147031 -9.024626257506432,52.569127256943304 45.03489632935989 48.487966769820225,26.216363112582364 -121.50625714035259 -45.22335355535201
-1.3897253677961978 -10.744587506731088 -2.1840113532145926,-0.7244467835885965 -10.46994141488152 5.19058287291867,-13.221647167760088 3.978271679987317 6.296842288093863,26.345347646100468 2.3745139887970668 3.642164338567823,3.9290390070765815 -1.9156836051866954 8.151733146257834,72.83413464007707 -35.78799847716602 -44.6219569008576,29.900040549059785 84.46821961385069 27.284615096788077,4.011748645080794 5.291410702739057 -8.981832604185783,52.75110850513677 45.24712956686602 48.5591738242408,26.218718379372948 -121.51042232119907 -45.182959891403925
