-14.7 3.1 -16.8,-10.1 7.2 -8.3,-12.8 6.1 -14.7,23.7 -9.9 21.0,25.2 3.7 8.0,-4.4 61.4 -38.1,29.3 103.9 36.9,23.5 15.7 9.9,-3.2 -60.3 42.1,28.8 -107.6 -38.8
-14.809130185284998 4.653910926578973 -16.79056753650125,-9.755296720001926 7.938479319461843 -8.223823813771661,-12.787045268487434 6.005376749082315 -15.044703279998235,23.53785692492792 -10.32989406741658 21.779313579163627,24.700616043266432 3.5460954246907606 8.466012095369335,-4.291645916142001 61.379941109267115 -37.58449728285606,29.325909463027106 103.52234272094523 36.71117136047258,22.895008125996586 15.522932128251746 10.415084854835776,-3.7873209107404855 -58.262823877094206 42.07880676872219,28.73325627727105 -108.11627881856901 -39.04655776106503
-14.677748975593486 3.0853995012674083 -16.783168904093635,-10.102478953495822 7.190806996807327 -8.280908528391667,-12.80192007605087 6.0897190204447735 -14.697521046504232,23.702764608699134 -9.890970930152886 20.9969075246101,25.210213902146602 3.6924289846949607 7.988655910002601,-4.406945060450946 61.3391710882769 -38.073106502332315,29.296159847898945 103.94382144951064 36.92191072475531,23.513713754596353 15.692823928794782 9.884420813801839,-3.17979077350099 -60.36192180069221 42.112255700054206,28.79773962429825 -107.61158753371141 -38.80599123890564
-14.942166926290744 4.381429323460801 -16.913524083463837,-9.821188896155444 7.82514695851681 -8.379185347623341,-12.77642397325151 6.1020506085571276 -14.978811103844244,23.557391118661975 -10.290284578752091 21.612333640865504,24.748597329246635 3.637729187143056 8.434233302832029,-4.2681538277596704 61.820910318871555 -37.902424852335606,29.34715205349315 103.29983662224146 36.59991831112078,22.943530513165637 15.61735648980933 10.401758053658284,-3.789655501819709 -58.313340482703886 41.99608590477508,28.765661264158254 -107.90789590171852 -38.943761602192346
-15.396378714824282 7.3193799404826265 -17.093285470881106,-9.178338821759334 9.247702437099827 -8.466476945953008,-12.730928820242616 6.053596489401884 -15.621661178240068,23.23633595222988 -11.16135015972147 23.036368602523066,23.73993667694989 3.452049867429108 9.396659060583977,-3.9940732974114934 62.49557032784056 -37.29841225711363,29.438142359507438 102.11548316098222 36.00774158049121,21.70591461275915 15.385812146319626 11.501039141199705,-5.071656942927686 -53.962081156316984 41.8152149050523,28.67319147506952 -108.69203975512926 -39.31290101700979
-15.692025783562597 9.405310710272525 -17.199519172417663,-8.720957470138167 10.254859299718822 -8.503406127160856,-12.700901608526426 6.005069083901097 -16.079042529861578,23.009957800645164 -11.773492618379079 24.052775562032714,23.030775010469455 3.3088157783281233 10.071168466901252,-3.8069724544330543 62.89741549493511 -36.82943268119986,29.49819678294402 101.32552555941479 35.61276277970744,20.837366790795983 15.21023832127766 12.267942706895225,-5.963294403940841 -50.92680662947225 41.70204363084727,28.603886954742173 -109.26956555679882 -39.58549404987414
-15.531551160696013 8.491739517248318 -17.12828844922016,-8.920166474436277 9.810465327042103 -8.458312665876084,-12.716678267973615 6.010013629416522 -15.879833525564802,23.110916317046623 -11.498108345364486 23.613797646315437,23.3494272190815 3.358382273680752 9.765584889250235,-3.8975703683445477 62.6323313042982 -36.98849276972995,29.466643464066077 101.73030264786384 35.81515132393174,21.229486239641023 15.274227461829293 11.916383165169918,-5.551336252936027 -52.3186221511603 41.76921231132332,28.63002421666024 -109.04062875929768 -39.478236973723284
-15.075512503255913 5.56889384928111 -16.946133498817666,-9.559562448009077 8.39478162494496 -8.367585880675879,-12.762292153439283 6.056028303450685 -15.240437551993125,23.430564205271185 -10.630542747352031 22.197913549928618,24.353984769187516 3.541338801235969 8.806741421749289,-4.171403976811892 61.94917509242513 -37.583176632137835,29.375415693148597 102.91646406407656 36.40823203203791,22.462313611328344 15.502847973415573 10.820647942722685,-4.273045291506192 -56.655899056906165 41.95151755744146,28.72145238186702 -108.26373984790354 -39.11262451004193
-14.724532157096617 3.271247485776642 -16.808929130881374,-10.062459949148302 7.282711666353217 -8.303274926265663,-12.79751279460681 6.096153206974175 -14.737540050852788,23.681399923037258 -9.95031597475596 21.08339146016421,25.14171256368595 3.6883516938687566 8.05546033401003,-4.384566922239616 61.43373916347928 -38.06188808238923,29.30497441079994 103.83465286578563 36.867326432892625,23.428596742873065 15.685694540015934 9.963091898664995,-3.27338061716764 -60.05028955918105 42.0905610237588,28.79434579538868 -107.64721099693374 -38.822276921540656
-14.836008837615546 3.9525625807142273 -16.855513901354804,-9.913602028587416 7.613256942953083 -8.329251674560368,-12.786441822610778 6.088150078490671 -14.886397971408858,23.606587482278158 -10.153761794286646 21.41240281503113,24.90620426955571 3.6479026103528565 8.280664617034033,-4.319291531751636 61.60785683212671 -37.93100378163473,29.327116354732524 103.54834151641273 36.72417075820698,23.13926751065317 15.634557964967387 10.22112561714458,-3.5749312626579672 -59.02884217684684 42.045126694591914,28.773737773190664 -107.82429658777708 -38.9054759711952
-15.286493962484352 6.835837231953087 -17.035697411562698,-9.282884748534443 9.009840283534434 -8.419329241560407,-12.741392904720636 6.043084945640835 -15.51711525145741,23.29123086908537 -11.009727717409126 22.808994263113682,23.91508551221827 3.4676866701637272 9.226730402752084,-4.048991943957553 62.28354803573931 -37.34529893572754,29.417214190458317 102.37706154449236 36.13853077224755,21.92289605650814 15.409291080040429 11.302340183317423,-4.836345554044045 -54.74903485694042 41.86493710376438,28.683631829965144 -108.59018697081203 -39.265895690343015
