-24.1 -3.4 -8.8,-13.2 -5.3 1.9,-13.6 1.9 -9.2,27.9 -2.6 17.4,29.0 -1.0 1.8,-9.2 75.5 -37.1,27.9 113.4 41.5,28.7 10.7 1.2,-3.6 -61.5 37.9,28.5 -109.8 -39.8
-18.44192820366457 9.216184888176038 -12.277057583182113,-14.629341571802545 12.460021517062046 -4.722822250943848,-11.123230339147076 5.535416434922157 -9.907348394368151,27.686777303551388 -6.81429414037188 13.784502911150916,26.472199430696996 1.8897085551802684 10.745931963226901,-6.578150700559128 67.69774601225922 -37.18105612389243,28.46756750551954 110.36030280594625 40.02446450142556,24.607310417449344 13.195150061125103 9.956780984956852,-5.189260208328437 -65.89425667370043 36.179146855836485,28.145959964571208 -112.29984520602228 -40.95487900717168
-18.20837852779475 9.392694940265693 -12.227446514809456,-14.3871783020567 12.960749005153824 -5.345120391582821,-9.737305262733111 6.011750275158019 -9.677974884556706,24.98911809181165 -7.538665848141353 14.217849606292175,25.555461139204102 1.8938345778113586 11.187948932735504,-6.125506978534781 66.88239549188863 -37.902648481754824,28.7100510721738 108.83965277607194 39.27193594926622,23.58607761904333 13.178818835128173 10.528120409845446,-5.476190609417627 -64.88936302553465 37.12946657922879,28.296239498810316 -111.50729454414318 -40.581454229358705
-18.21527677134123 8.58936281830579 -12.045591152496549,-14.14087544312526 12.467302928599024 -5.938653903490537,-9.833349982660048 6.368291025078165 -8.985924635333486,24.69555336326336 -7.3227314848991485 14.719839846333974,25.17991045518395 1.9075954897980378 11.122764275528958,-5.887705025003283 66.63474405852834 -38.38413328546911,28.794356484576692 108.3573112561534 39.024594995292965,23.1828481922475 13.218865575072254 10.684598777341733,-5.147902456212347 -64.5166002321128 37.98977327158995,28.425174733171257 -110.73504577554901 -40.225484436028815
-18.333871300558567 6.9213302352421495 -11.833343764371671,-13.930635946511044 11.076104166965564 -6.367790822469031,-11.78785933289605 6.489133620120847 -8.054843985744984,27.70472654158269 -6.060992936462899 15.101745550252781,25.51129763698833 1.9630869327157034 10.514246457894753,-6.101042353306265 67.20256089676097 -38.50892590027642,28.629398129228658 109.5145656498293 39.5768007965154,23.576554027449202 13.345853072338397 10.348243391412407,-4.242746876761038 -65.12091192235263 38.54053635771581,28.467821218595397 -110.35905011652754 -40.0658965696775
-18.522125723458007 5.173822216365038 -11.723560908549757,-13.713124265134162 9.519983347649573 -6.621497979001259,-14.206155133682259 6.459416673071378 -7.295070497328097,31.423081897361122 -4.65225399721872 15.363528633960295,26.12872900063581 2.040306721558169 9.712835671261484,-6.427460902956928 67.67790049027802 -38.53969915407427,28.395338386732043 111.06147404744361 40.32767146052022,24.28414381608638 13.532202888243148 9.884187441588978,-3.2323653421624856 -65.79991499165216 38.94523757407129,28.44487509416716 -110.36391777549233 -40.084629653015725
-18.74769177856068 4.205157841921621 -11.851846731339679,-13.435807594193564 8.601301482669523 -6.702809843333073,-15.498851586985559 6.386644662900326 -7.136385881760213,32.873217005425516 -4.105268994638943 15.52614684000233,26.54669820546419 2.113342266251806 9.111445805983458,-6.465277789768974 67.02668018806553 -38.781038293361284,28.30230317493306 111.54378313220845 40.57749534601465,24.74966994871765 13.743742788121823 9.706286425743444,-2.6358444378822736 -65.51424692067307 39.409825509289476,28.386634096034058 -110.69005181937861 -40.24141305374167
-18.965595591054498 4.4242537753347495 -12.20690167929332,-13.085341434305718 8.717369376227309 -6.625845215240431,-14.9653753530894 6.3300793901792325 -7.7003861070153,30.84128587252327 -4.834599628160648 15.566132890010847,26.549830897003535 2.1460053448584 8.90449020240317,-6.004609682047221 64.97611778820196 -39.390959528512816,28.453093919967685 110.27658958714952 39.99339762717713,24.72482738040587 13.935274684651631 10.008229504027353,-2.7176405218950364 -63.87851268274871 40.019954044415286,28.317592007818075 -111.23839552739324 -40.48460829390126
-19.103095496532234 5.251646042618265 -12.454337655225864,-12.734568989662945 9.37466198563864 -6.429100904665874,-13.859937915856401 6.242881469902377 -8.430867444407006,27.99207102414805 -5.947986658002943 15.362314578265568,26.51685995007734 2.0795083118677318 8.849815567481096,-5.25740222998206 62.92777594087163 -40.20512655927114,28.714470928576645 108.26703850166255 39.04929576929703,24.63791613689314 14.037351089816324 10.499489158920936,-3.1821960823579443 -61.945602367298505 40.59671025953375,28.249477852468008 -111.82310739813926 -40.73757534211955
-19.083864675046815 5.9769211498397565 -12.217289817722998,-12.467708775256549 9.961600648333398 -6.154330789730837,-13.695277647961664 6.0641969676202585 -8.682128550475687,27.502988488276255 -6.380389377036263 14.7808076116117,26.90499592632658 1.852181999852547 8.64749062643655,-4.4915461397662355 62.50408159085729 -41.016461796623446,28.921932975108813 106.74628647981297 38.325929370414606,25.00662985898055 13.977422963384504 10.825443084456955,-3.6597013799288747 -60.95843190334577 40.92625010758439,28.19231136538276 -112.24700752086005 -40.920434248767094
-18.877769166818982 6.139138341552818 -11.3378901082457,-12.329002289289317 10.079880318201603 -5.848523129748032,-15.29829714649372 5.777789882425352 -8.106315122551,31.0534891348034 -5.546163388369551 13.809643726487273,27.9233093417984 1.4551359759058764 8.133799626874739,-3.8924353454502585 64.50038288725082 -41.68540250552205,28.975282819969113 106.44895099787198 38.17159232846947,26.073796857609175 13.735540343448568 10.778164646412607,-3.898056462117764 -61.57497126411443 40.912092444205925,28.151771593528572 -112.40152036300894 -40.98991633181029
-18.57212619706086 5.91167282914664 -10.215097466292539,-12.261044412344335 9.873471073246792 -5.571975259748289,-17.75207487079475 5.480870948410616 -7.112886602117319,36.514258101142715 -4.078590001671008 12.746841572742992,29.14994328581316 1.013676409999093 7.491371997459763,-3.435705311683086 67.60907561199717 -42.24405099988846,28.93782423507197 106.84713604534664 38.343555971596786,27.38336560411193 13.425493072394115 10.52271949588594,-3.944453386079403 -62.96589140269809 40.75616613788281,28.12250083494026 -112.40335822176823 -40.995841684137744
-18.272616337686326 5.567173474224423 -9.334937217358195,-12.190529941655472 9.571214343201664 -5.387050541201249,-19.866927009086965 5.288383677929492 -6.229765795515428,41.160258768004354 -2.801620087081994 11.93886633331403,30.06438776595872 0.6740861910825308 6.957014319670808,-3.06416041823625 70.1936666104439 -42.75137075706774,28.898443383241844 107.21541577787572 38.506619831645835,28.370001373887092 13.181980961474412 10.2825297472597,-3.892935597179734 -64.06924148832415 40.70705642856012,28.09741772992182 -112.40445523412691 -41.002582475938794
-18.050090473870544 5.312947120258824 -9.027197543417657,-12.064686032771577 9.349258311305238 -5.333800403689782,-20.824749545818932 5.2760847213572415 -5.832493290180557,43.11610943405558 -2.2917124688433943 11.616067286930573,30.32287566720131 0.5369671290093393 6.697658695683475,-2.7387135072544138 71.1237094403979 -43.24209964016972,28.92132989503816 107.03259053622311 38.41893237456635,28.658032975460078 13.099940777883404 10.219424068615547,-3.8199386814511045 -64.15957173718667 40.92527364465687,28.075096601702814 -112.48791618748508 -41.044135838952165
-17.872681118738953 5.1635964449006915 -9.160898054036764,-11.891293082396945 9.228350265621827 -5.386474785732897,-20.90328730385408 5.404162343446422 -5.847209896491741,43.01219799133944 -2.3954319517383893 11.666349155226849,30.102883168249583 0.5682001527490048 6.674166101747485,-2.47368220138595 70.76117115379 -43.679530262887475,28.99783933826894 106.37975666867575 38.113943151135864,28.43113761190785 13.157041649167315 10.313582106025624,-3.7499698036455613 -63.50382830624064 41.31158097422128,28.07079129599307 -112.5338569996601 -41.06491801020436
-17.689677833038832 5.098373921672884 -9.520533652110025,-11.68923954723203 9.200730308900514 -5.507252811858033,-20.58131075574107 5.611604613276157 -6.117617242539126,41.93857788321587 -2.825449491034261 11.914797649442399,29.677504810578558 0.7089526070097151 6.809595236536991,-2.29318084917857 69.74179140853326 -44.01384911772517,29.105966391657343 105.4484974282567 37.67560373165917,27.975600957908068 13.309440791173534 10.511861288679517,-3.6980102301803917 -62.55100530626752 41.71909284589555,28.10281539788026 -112.38515672882552 -40.99291225081531
-17.45037017751745 5.096532024098261 -9.890599240531973,-11.477413883977267 9.258638543890381 -5.658313606592633,-20.3375903740286 5.837399599925577 -6.487416956412862,40.98530255304481 -3.294436041998295 12.186498480816748,29.31983513566327 0.9003918364996581 7.027004798726143,-2.2213237991799795 68.70130986254064 -44.19524269718703,29.223705733926536 104.43039606798902 37.18786568644109,27.577708688138394 13.513295419749456 10.761119045766815,-3.679041227472883 -61.75009684804874 42.00092368832193,28.18948249245203 -111.88469443315492 -40.75610182190494
-17.104047712922082 5.1373232256996815 -10.055589722197125,-11.274704549333109 9.394315073340517 -5.801836294464143,-20.65089663126535 6.020535372473818 -6.800310666203107,41.24242544418621 -3.5150625598977823 12.30653736058944,29.302968684978737 1.0836851859270256 7.249453486989099,-2.2822253999378876 68.27546617372522 -44.17389749377724,29.329052043799702 103.51703584089576 36.73468058578643,27.523746477276482 13.724762750742483 11.008212806477117,-3.7080440619403237 -61.55009704236575 42.01018793014268,28.349106164796062 -110.87534917082186 -40.28246998459319
-16.6 5.2 -9.8,-11.1 9.6 -5.9,-22.0 6.1 -6.9,43.8 -3.2 12.1,29.9 1.2 7.4,-2.5 69.1 -43.9,29.4 102.9 36.4,28.1 13.9 11.2,-3.8 -62.4 41.6,28.6 -109.2 -39.5
