-24.1 -3.4 -8.8,-13.2 -5.3 1.9,-13.6 1.9 -9.2,27.9 -2.6 17.4,29.0 -1.0 1.8,-9.2 75.5 -37.1,27.9 113.4 41.5,28.7 10.7 1.2,-3.6 -61.5 37.9,28.5 -109.8 -39.8
-22.381286695337995 -2.762136081518285 -7.342812074771494,-11.711043314672692 -3.704679079178869 1.203016149615337,-10.545173797140237 2.012661288530342 -7.372998530595106,22.293074694689995 -2.779737120525934 16.565268740752135,29.50434307865002 -1.5817828866799828 1.9128262027751017,-9.808427890514585 72.98132370959846 -37.416887127320365,27.832647396424413 114.16255995973265 41.827391627944046,29.129802485742758 10.231952783764232 1.8382542937097217,-4.466628264236085 -64.68409737666761 38.79915641981609,29.034204349692324 -106.41260818335064 -38.18284913139364
-22.192613720368985 -2.6969385151352614 -7.192157679444357,-11.594700944077854 -3.4921324610595303 1.288779913097089,-10.087160673212741 2.0968687208158934 -7.192706638250759,21.67082244614202 -2.801467839391802 16.30473735793527,29.606212436274603 -1.6052049386000813 1.9955932133807806,-9.623250907952333 72.77867914287029 -37.68720640906879,27.895748252807408 113.92608773963049 41.71229112636338,29.206678423339543 10.197501790801915 1.904531763471783,-4.02041730189633 -65.12801481940122 39.198493271843596,29.10477791102908 -105.77424893554739 -37.88736155266241
-22.38654862693007 -2.7662222029068646 -7.3628680041325145,-11.717473148526095 -3.7078225658474264 1.3075256939217497,-10.524225986182953 2.0577995152060184 -7.378402948503351,22.349769477027426 -2.7735538219109697 16.463611355324932,29.481913675453566 -1.5486938681573017 1.9682438945031766,-9.584337649760023 73.08862299619018 -37.58202023175403,27.88119438538278 113.90276922456813 41.70399195694842,29.09738486356653 10.241710960138391 1.8222565078855006,-4.2062469660201005 -64.58286471579474 38.91024008710252,29.01665557382202 -106.44302142435218 -38.20215216667258
-22.806647878807066 -2.9209065260060236 -7.713271340115976,-11.990824312718962 -4.174878943031582 1.2642588473782408,-11.481709860826896 1.9343891505820772 -7.786233298396791,23.772146313085823 -2.7220432855081387 16.890557145500363,29.242296367352395 -1.4560440314818723 1.856529369204949,-9.704250420790256 73.6651431170398 -37.213254211319885,27.805789467621985 114.09257107625325 41.80029699786504,28.899059242444995 10.328972304175197 1.6548911365676753,-4.801066399704853 -63.5189539055519 38.205060131998295,28.84149017451503 -107.85117589192964 -38.86138137229289
-23.15721854375085 -3.0724173389862006 -7.978095259379678,-12.253790793603157 -4.556702806728202 1.2096581171559522,-12.230284715322409 1.8177476959267616 -8.147498367461221,24.889794810187553 -2.6964010404332632 17.256156599241248,29.096742597403725 -1.3997680742538252 1.7276461643399217,-9.930992193308477 74.07458202441451 -36.85620903264087,27.71839879666089 114.40899942772424 41.95600748042357,28.791256588258406 10.394542628410363 1.5168038650690212,-5.266771056730005 -62.81552733661145 37.64952062073509,28.710524545414255 -108.91454395904339 -39.3595802412038
-23.17246879711822 -3.135860155265263 -7.924835659296047,-12.353494288688388 -4.552657622556323 1.1904351231403736,-12.12708316351791 1.7915501999552503 -8.215795973218961,24.775498027587865 -2.737224410179724 17.26533744662775,29.22139653553993 -1.4411103530172418 1.648584949025215,-10.195125986669025 73.94079927688277 -36.764732274733916,27.667153073913877 114.74541237239805 42.116708575266806,28.922858817090294 10.381651474880092 1.5108465776977074,-5.134807715819164 -63.22268631424515 37.74165669785876,28.73865401329082 -108.68417834657092 -39.25413264341476
-22.858727817966837 -3.060828113033048 -7.6179057591245645,-12.21219439107525 -4.189041914075932 1.2159811605592246,-11.313939847148848 1.8710227394175403 -7.948583257346865,23.599430376173316 -2.805210210719976 16.93641008177518,29.492430684340196 -1.5398287241080573 1.6826517738347269,-10.27502036917835 73.40751149475267 -36.99459400682304,27.692216431066786 114.81987199249338 42.147956509987786,29.166304255565386 10.305728265137887 1.6351864293822003,-4.569193128460727 -64.3238453528299 38.35685379131321,28.89274009334856 -107.43666969226777 -38.672052547493905
-22.36492368956507 -2.8149868161635188 -7.277311636325447,-11.791525021572388 -3.6634771838761946 1.2761306461611357,-10.343894892962089 2.035522243648189 -7.410145264705358,22.106829573611993 -2.819185190433726 16.45190604998628,29.628824126996527 -1.6024993213011318 1.8912218476963518,-9.869289823088458 72.89085472330157 -37.497766224991594,27.829578297749556 114.2585804300943 41.87337014083065,29.249167172052093 10.220037147065934 1.8331328922770613,-4.065428142284417 -65.09104294035704 39.044211720482295,29.062070504470803 -106.09082427192828 -38.03885578976373
-21.834791340915235 -2.3659509435679316 -7.112960509117603,-11.067061263286027 -3.1562101334109216 1.3547489391626195,-9.724356695759985 2.263664218738932 -6.6707420955138605,20.986229858029084 -2.7069008132279473 15.990061621273059,29.37961389946185 -1.5419902800550433 2.3289755836590382,-8.719055044277907 72.76438746087034 -38.22006615641681,28.10837876667498 112.7334174951875 41.13838417458057,28.92843559167604 10.177455632735262 2.056982876135184,-4.067686400377287 -64.58660188179604 39.403137408948936,29.14592968156596 -105.47719328360083 -37.73903889002183
-21.343677432747462 -1.67910843263822 -7.213127236934486,-10.158567873548217 -2.64721619408693 1.3742168727295268,-9.440373541159353 2.529547899592736 -5.8540374093507115,20.271082915086996 -2.4946743730298806 15.668230080691814,28.827311102549576 -1.3428678485473122 2.979766510288007,-7.023713869930757 72.92465395956827 -39.05171861197742,28.485501344521225 110.40930734696332 40.02373280356044,28.286588422416898 10.223229523417489 2.3594764415997935,-4.444813499193656 -62.887485196954415 39.59706117680496,29.15686991502928 -105.43033233948802 -37.69417704875891
